http://movie.douban.com/subject/1951081/	金牌冰人 金牌冰人 / Better Halves
(4星)	 因为盖鸣晖！！！！！！！！！！！            
(3星)	 冰人……KIMI么……            
(5星)	 为嘛评分这么低，我认为这是我看过TVB最好看的一部，本来就是当娱乐看            
(3星)	 张可颐，无聊片，嗷～            
(5星)	 这个也有…我发觉可以添一堆港剧的条目…            
(3星)	 = =一直对那个女扮男的木有好感。。            
(NA)	 盖鸣辉气场强大            
(3星)	 到底好看在哪里            
(3星)	 我记得看了三遍才全部看完~每次电视里放的时候都会少看几集~喜欢马浚伟~~            
(4星)	 嗯，这部片会让我想起某个人            
(3星)	 好吧好吧 小成本这样也不错            
(4星)	 我是看张可颐的。。            
(4星)	 可颐和阿Mo            
(2星)	 哎            
(3星)	 他们俩不太配=v=            
(NA)	 很有趣啊            
(2星)	 不喜欢这部戏里的马浚伟            
(3星)	 题材很新颖哦！            
(3星)	 某个暑假，和表弟在电视上看的~            
(3星)	 两主角有喜感            
(3星)	 暑假很无聊的时候啊。没电视看，哪个台都播。            
(3星)	 那个叫盖鸣晖的 我真的一直疑惑于TA的性别            
(NA)	 角度还是有心意的，嘉碧儿其实是个有潜质的新人，可惜没有继续下去……            
(4星)	 以前看的，纯添加……            
(4星)	 很搞笑的啦，蛮不错的呵            
(3星)	 何用冰人开口            
(4星)	 这应该是我对陈豪比较早期的印象了..            
(3星)	 编剧编的不错            
(4星)	 轻松，剧情可以。            
(5星)	 太对胃口了= =            
(3星)	 那個女的穿女裝真不好看            
(3星)	 那个令狐喜，也太丑了点吧……            
(3星)	 喜歡張可頤的感覺。            
(4星)	 盖鸣晖，她真是观音的不二人选            
(NA)	 想不出张怎么会是les            
(4星)	 搞笑小品系            
(4星)	 早年都不喜欢梅小青的剧集，觉得太悲。但这部《金牌冰人》非常有趣。从《锦绣良缘》开始，就觉得梅小青在改变。而《金牌冰人》正是改变后的一次最好例证。但最近的作品有让人觉得可惜——不过这是TVB内部的事情，和梅小青本身的才华无关。            
(4星)	 不错~            
(5星)	 哈哈古代媒婆的闲杂故事我觉得蛮好看的吖^-^            
(3星)	 這個女扮男裝也太難看了。            
(3星)	 小马果然有喜剧天分~张可颐演得收放自如，也不错~            
(5星)	 我家令狐喜真棒            
(3星)	 还是得看港剧呀~ 咳咳~            
(3星)	 金鹊桥...金葵扇...            
(NA)	 汗了、            
(4星)	 有趣            
(4星)	 MAGGIE....劇情還蠻無聊~            
(3星)	 原来以前的媒人叫冰人啊。            
(5星)	 是我钟意的马仔和可颐的合作            
(NA)	 曾经的最爱，有一天会怀念的            
(3星)	 http://www.imdb.com/title/tt0855518/            
(3星)	 有空的时候看看也不错的            
(3星)	 2003 翡翠台            
(4星)	 小马哥很有喜感嘛            
(3星)	 马马虎虎吧            
(NA)	 喜欢            
(5星)	 曾经沧海难为水，除却巫山不是云..            
(NA)	 剧情..其实还好的一部 小马同学倒是稍微出挑点            
(3星)	 小时候最爱            
(4星)	 无厘头，看起来太轻松了！非常喜欢。            
(5星)	 一段时间居然很爱唱它的主题曲．．．            
(5星)	 某个夏天看的 张可颐挺好看的            
(5星)	 在播的时候好期待剧情..等下一集下一集..很好看            
(4星)	 2004            
(3星)	 喜欢张可颐            
(4星)	 男女冰人真是牙尖嘴利            
(3星)	 结局很搞笑，编剧还算不错！            
(5星)	 搞笑！            
(4星)	 轻松搞笑，挺喜欢女主角的            
(3星)	 喜欢，tvb轻松叙事的古装风格            
(4星)	 两个人真是太能说了，很有意思，比较轻松的片子。            
(4星)	 古代的媒婆也有难那            
(3星)	 好玩~~~喜欢张可颐            
(3星)	 前五集貌似笑过很多次            
(NA)	 没意思            
(3星)	 要斗嘴，看它就对了            
(3星)	 盖鸣晖~~            
(3星)	 喜欢            
(3星)	 搞笑，点解古代男女会分唔清呢？？            
(3星)	 忘了什么时候看的了            
(3星)	 可爱的连百合。            
(4星)	 那不男不女的,快,谁给拖走!            
(3星)	 还好            
(4星)	 非常喜歡。馬仔和Maggie的搭配超級好笑，中意蓋鳴暉，女小生就是女小生，令狐喜這個角色簡直是為她度身定做，最後和阿mo也成就一段良緣。            
(4星)	 嘴皮下的真情！！            
(3星)	 一直挺喜欢港台局，无论过程怎样的坎坷，最后都能皆大欢喜。            
(NA)	 好看            
(4星)	 喜欢，不费脑子。            
(3星)	 那个令胡喜真是扮男的不帅，扮女的不靓，真是……据说还要糟塌贾宝玉那个角色，天哪            
(3星)	 非常喜欢的两位香港演员都在里面呢~~~如果那位女扮男装的演员真的是不讨喜            
(5星)	 要的就是这种小青姐的古装喜剧            
(5星)	 很好笑很好笑啊，很喜欢马浚伟            
(3星)	 补遗            
(3星)	 6.9            
(3星)	 坏蛋的桥段在几集中解决了，不愧为神捕高斐            
(4星)	 大爱的一部古装喜剧，二小姐演技真真了得！            
(4星)	 依然是搞笑剧，就是爱看二小姐挑起眉毛的可爱模样            
(4星)	 哈哈！！！            
(3星)	 真心觉得女二号长得只丑。            
(3星)	 名字太俗气了            
(NA)	 还是 当时超喜欢 我小时候看的东西原来就这么杂了……            
(NA)	 张可颐漂亮妹子            
(4星)	 很好看。            
(NA)	 喜欢张可颐丫。回上海前一天看着打发时间，好几个编剧一起写的喜剧，很肥皂也很欢乐            
(4星)	 当年好喜欢啊。            
(NA)	 马浚伟yo             
(5星)	 最爱的一部戏。            
(4星)	 春节很适合看的喜庆剧            
(3星)	 张可颐            
(3星)	 依稀记忆中特别找抽的男猪            
(3星)	 那个似男似女的女猪脚是nightmare!!!!            
(4星)	 哎呀，好喜欢马浚伟他俩那一对！            
(3星)	 前面还行，后面烂尾以至于都不想看完它了。            
(3星)	 我爱全家福！            
(3星)	 还行。。挺喜欢马浚伟的。            
(4星)	 小时候还是挺喜欢的            
(3星)	 挺喜庆哒~            
(4星)	 到时候叫亭亭来看一下，上次跟他聊到这个。            
(4星)	 喜欢金葵扇和金鹊桥，欢喜冤家            
(4星)	 热热闹闹的TVB喜剧。主角我都喜欢。结局太完满了！但我老惦记着要给连家续烟火的外孙。人家连老爷似乎找到老伴忘了这茬事了。话说结局体现了严重重男轻女的思想。            
(5星)	 那个女扮男装的后来扮回女的，真心吓到我……            
(NA)	 轻松。            
(3星)	 福头、百合----绝配！            
(4星)	 媒婆伤不起啊。            
(3星)	 电光幻影：热热闹闹的喜庆片子。看个乐趣。盖鸣晖的演出一直可圈可点，但是总觉得他最适合演的是断袖、龙阳之类的路线，应该很文艺很招人喜欢。不喜欢看喜剧，但是这部戏算是喜的恰到好处了。            
(5星)	 很欢乐呢。。陈豪和那个盖鸣晖，哈哈。。            
(4星)	 很久以前看的   已经及不太清楚了    马仔很帅。。。。            
(5星)	 我大概快背出来了            
(3星)	 轻松；张可颐的连百合；            
(5星)	 哈哈哈哈。。原来当年TVB就有这种腐剧了。。。。。            
(3星)	 忘了看过了- -            
(3星)	 爱死张可颐了！            
(5星)	 超级好看的TVB古装。几年之后重温一次依旧吸引力不减。            
(4星)	 为了可颐看的            
(4星)	 喜翻张可颐            
(4星)	 一直等tvb重播             
(4星)	 马仔好帅~            
(5星)	 开始喜欢张可颐。            
(5星)	 有演员，有剧情，有负责，有细节，很好的小喜剧。            
(5星)	 马浚伟张可颐也蛮配得嘛            
(4星)	 当年还不知道这个人叫张可颐。            
(3星)	 能看            
(NA)	 初中看的吧            
(5星)	 开心做媒剧呵呵            
(5星)	 我觉得可以用马浚伟和张可颐来给以后的艺人做老师，如何演戏。            
(3星)	 从这里才知道冰人是媒婆的意思            
(5星)	 挺搞笑的，当年也看了好几遍！除了陈豪其他三个主演都挺喜欢的！哈哈            
(4星)	 欢喜冤家。张可颐很娇俏~            
(4星)	 张可颐以前真是好看啊！陈豪在马浚伟旁边真心难看....帅哥是经不起比较的。            
(5星)	 大爱            
(NA)	 小时候爱死了            
(5星)	 绝对最爱的一部！！去年下了整整一年！！终于20集收藏完毕！！！            
(4星)	 哈哈哈哈哈哈，为什么每次看我都会笑喷！            
(3星)	 张可颐那时候真漂亮啊~            
(3星)	 估计假期没游戏打才看的= =            
(3星)	 張可頤啦            
(5星)	 不要和任何深沉的历史的文艺的碟战的苦情的剧作比，单说喜剧片，我真想给它打100分。让你忍俊不禁笑不拢嘴瞠目结舌原来如此，还让你老想回过去看上好几遍去咂摸那些幽默和趣味。还有一个很重要的，它让你感动。            
(3星)	 怡情小作~            
(NA)	 很长知识的剧。当年KC还是一个小小的酱油配角啊~            
(2星)	 女主尼玛还能再丑点吗            
(3星)	 快十年了，姐你从媒婆变法证了……            
(5星)	 好看！二小姐~~~还有KC的叶知秋            
(3星)	 媒人故事            
(3星)	 ……具体已经忘记了……可素好像还蛮有爱的            
(4星)	 小时候除了玩就是看电视。            
(5星)	 当时和妈妈一起在家抱着碟片机看的            
(4星)	 不费脑子            
(3星)	 我这辈子再也不想看到女扮男装的桥段了。            
(5星)	 很欢乐            
(3星)	 很欢乐，各种书呆子，曾经沧海难为水可以念各十七八遍.....            
(3星)	 那时年少各种剧~            
(3星)	 马浚伟。。嘿嘿            
(4星)	 个人比较喜欢的港剧之一，质量很高。            
(3星)	 还是不错的。。            
(4星)	 那个时候的张可颐真漂亮，现在。。岁月是把杀猪刀你懂的。            
(3星)	 马浚伟和陈豪 都喜欢 所以看了            
(5星)	 很好看，当年错过了，如今看来也一点也不过时。马仔和2小姐搭档得很自然，对话诙谐抵s又好笑，这对欢喜冤家看得我很乐。盖鸣晖的男装真的很英气，陈豪在剧里一吟诗我就要笑了，高兄的专情和重情让我想起绝世好爸的他，这样有担当的男人真man!            
(4星)	 嘿嘿。蛮搞笑的。记得那时南瓜还梦到自己变成金葵扇了==            
(NA)	 很喜歡裏面的張可頤!            
(4星)	 真的挺好笑挺好看的 就是盖鸣晖的女装真的不能看            
(5星)	 男女主都大爱啊            
(5星)	 好看好看~~~            
(3星)	 前几年看的            
(5星)	 其实马浚伟很适合演这种角色，傻逼善良又自恋神经，多可爱。            
(3星)	 张可颐很漂亮啊。            
(3星)	 女二纯爷们儿            
(3星)	 做媒吧~反正就那样吧            
(4星)	 他们是一对冤家 欢喜冤家.. 还不错            
(4星)	 张可颐和马浚伟好登对啊            
(3星)	 男不男女不女的            
(NA)	 这个不错 喜欢轻喜剧            
(4星)	 最后一集笑死咯。。马浚伟好搞笑~~~            
(3星)	 挺乐呵的  向我普及了古代的时候媒婆叫冰人这一常识            
(3星)	 有一年暑假好多个台都在播它，我重复看了一遍又一遍= =            
(3星)	 看了开头就知道结尾，但是还是喜欢大团圆。。            
(NA)	 媒婆媒人斗气冤家之间的爱情，总之很美好            
(3星)	 曾经沧海难为水，除却巫山不是云            
(3星)	 戆。。            
(5星)	 老点的港片都不错 挺喜欢张可颐的~~            
(4星)	None
(5星)	 热闹的剧~很爱看            
(3星)	 我的童年是TVB            
(NA)	 这个剧播一次看一次，。。。            
(NA)	 看不全啊看不全。。            
(4星)	 张可颐还不错啊~            
(NA)	 从此知道冰人就是媒人的意思            
(4星)	 对盖鸣晖无语。。            
(NA)	 20            
(4星)	 小学的时候好喜欢啊            
(4星)	 超级喜欢里面的每一个人物~成了十足的金牌迷~            
(3星)	 好玩~马浚伟帅， 张可颐美~            
(4星)	 小学的时候看的耶~~趁妈妈不在的时候...            
(3星)	 挺搞笑的            
(4星)	 很有趣，盖鸣晖真的像男人~很英气。            
(4星)	 很搞笑！台词都很中心水，尤其是马浚伟—///v ///— 跟张可颐很衬哟~ 最后一集传统大结局啦 连七年后都顾及到了，笑过就好            
(3星)	 電視裏播了N遍 我愣是從沒看進去過。。 = =            
(3星)	 想来这个我也是看过的，就是太没新意了，一点记不起来            
(4星)	 蛮好看的。。            
(5星)	 可颐和马仔都很有爱啊！这部很轻松很欢乐，也还蛮有智谋的，稍微感觉像有律师的那种探案剧吧..            
(4星)	 爱马浚伟，爱陈豪，也一直爱当年青衫碧箫的张可颐（话说我以前看金牌冰人的时候都没认出来百合是她……）。            
(4星)	 以前很喜欢的            
(5星)	 阿喜和百合太配了有木有。。。百合的名字真相了。。。            
(4星)	 好看好看 记得好搞笑 马浚伟跟张可颐也好喜欢             
(NA)	 大爱               
(5星)	 稀饭 好可爱~            
(NA)	 马浚伟呀呀呀呀            
(4星)	 很喜欢可颐和马仔的组合，嬉笑怒骂中的温馨            
(NA)	 纯为马浚伟！！！！！！            
(3星)	 服装漂亮            
(5星)	 金鹊桥加金葵扇无敌            
(3星)	 张可颐的戏我都觉得还行            
(2星)	 女扮男装真的这么容易吗？            
(3星)	 盖鸣晖            
(3星)	 记得有看过啊            
(4星)	 结局很搞笑~~            
(5星)	 几够经典！~~            
(5星)	 啥都不说啦。。。全是回忆啊。。            
(2星)	 有点窘其实            
(4星)	 欢喜冤家，斗智斗勇，还不错            
(5星)	 买了碟~看了无数遍~            
(3星)	 斗嘴的时候很好玩            
(3星)	 还记得那个熬夜看剧的中考毕业夏天和主题曲            
(3星)	 无法忍受可颐已经如此沧桑了            
(4星)	 很新颖的主题啊。“你们私媒真不堪！”            
(5星)	 一线牵            
(3星)	 看过几集~            
(3星)	 3.5星            
(5星)	 热热闹闹开开心心            
(3星)	 媒婆的故事、大媒婆套小媒婆、            
(4星)	 哈哈哈~太扯太搞笑了~~~            
(4星)	 跟着电视台看完~~            
(4星)	 好笑的。。。槽点巨多。。看得我欢乐得不行。。高斐简直太欠打了特别是吟诗的时候。。。            
(3星)	 纯喜剧~            
(4星)	 以前的Cast真是神物            
(3星)	 初中那会儿            
(5星)	 当这么多年男人都没把喜公子给掰弯了，其实我希望她和百合姐在一起阿            
(3星)	 觉得张可颐很美            
(NA)	 没看全            
(4星)	 很好看的好不好            
(4星)	 香港的电视剧总不会有太过于离谱的剧情，喜欢这种轻松的小喜剧。。开始关注张可颐。。            
(4星)	 张可颐哇,绘声绘色的.            
(4星)	 基本是看这个才去普及冰人的知识            
(3星)	 还不错啦            
(4星)	 老早看了，呵呵，那时印象还好啦啦啦            
(NA)	 好看。            
(4星)	 挺轻松好玩的            
(3星)	 很欢乐，喜欢看里面连百合摇扇子，拿着扇子指着全家福。            
(5星)	 张可颐 马浚伟            
(3星)	  TVB             
(3星)	 当时只是单纯的喜欢盖鸣晖。            
(5星)	 小时候放暑假就守在家里看，那个时候对电视剧也没有什么要求啦~但是却总是看TVB的剧，这部剧来来回回就在电视上看了三、四遍的样子。            
(NA)	 第一次看女人长发造型 第一次看女人古装 直接秒杀&gt;_&lt; 福头和百合 欢欢乐乐的 合该是一对啊 女人和马仔也老友鬼鬼 不过看那集正识第一“耳鬓厮磨”有够暧昧。。好多年了啊。。。还记得陈豪“曾经沧海难为水” 盖鸣晖“我不是男扮女装 我本来就是女人” 大力想想穿越到楚汉骄雄叫戚姬。。。            
(3星)	 当初我是有多爱一直放tvb的有线一台（电视剧频道）啊！！！            
(4星)	 一个不爱看港剧的朋友也说好看，哇哈哈~~~~            
(5星)	 古装 喜剧 姻缘            
(4星)	 从这部喜欢上马浚伟~~~            
(3星)	 令狐喜那段有点起鸡皮            
(3星)	 勉强看完。要伐是有张可颐的话。。。            
(4星)	 经典~~~            
(4星)	 比较搞笑            
(4星)	 很好看啊 怎么这么低的分            
(NA)	 tvb前些年的小品剧真的没话说，请的主角配角也都不错，属于实力派的电视剧            
(5星)	 虽说是不太有营养，不过还是很搞笑的啊。至少看得心情很放松。全家福和连百合挺登对的，大爱马浚伟和张可颐。            
(5星)	 小学的时候觉得太尼玛好看了！！！！！！！！！记忆犹新啊！！！！！！！            
(4星)	 喜欢小马哥~            
(4星)	 我觉得很好看哎 也蛮好笑的            
(4星)	 被人逼着看啊。。。            
(3星)	 轻松搞笑大团圆！            
(5星)	 古代片子永远都是很明显的男扮女装一直到最后才看出来。。。            
(3星)	 当年就感觉盖明辉很老 跟陈豪搭档很不搭啊            
(4星)	 挺好            
(4星)	 很搞笑，马哥哥无论怎样都可爱啊            
(3星)	 内个令狐喜帅么帅么帅么……            
(3星)	 重又认识两个字：士心为志，非在心头            
(NA)	 有情人终成眷属            
(5星)	 天才口才～～～马俊伟实在是太搞了，虽然有点老了.....            
(5星)	 马仔太适合这样的角色了!            
(4星)	 这个搞笑的             
(4星)	 印象中还挺好看的            
(2星)	 貌似好好笑            
(3星)	 再次感叹：我都看些神马剧啊！            
(4星)	 初中 迷恋TVB剧的开始            
(3星)	 就是其中一位长得太不好看了。            
(NA)	 这个好像是很久很久之前半夜睡不着觉 偷偷溜出卧室 悄悄打开电视  在怕老爸老妈发现的情况下看地。。。            
(3星)	 为了张可颐和马浚伟我把这个电视剧看完了……哎我还是很爱张可颐，但是马浚伟和她气质不搭啊。            
(NA)	 喜欢马浚伟            
(5星)	 福头锅,百合姐~            
(3星)	 张可颐挺好的。那个倒男不女的 还是当男的吧            
(4星)	 那时候觉得陈豪真是帅啊            
(4星)	 继续大爱二小姐            
(5星)	 03年暑假看的，无聊时看起来非常解闷。马浚伟张可颐这对欢喜冤家很讨喜。            
(4星)	 算是一个新的门当了吧，感觉古代的婚姻介绍的故事还是挺有看头的。            
(3星)	 喜欢            
(4星)	 这部剧教会我什么叫iceman            
(1星)	 官方的媒婆。            
(4星)	 好玩好玩            
(3星)	 喜欢张可颐和马浚伟            
(2星)	 女扮男装什么的            
(4星)	 打发时间的搞笑剧            
(3星)	 知道了冰人=媒人            
(4星)	 很喜欢~            
(4星)	 打发时间的好选择。。            
(5星)	 不知为虾米，我就是喜欢这部~~~~==女2还是继续扮男装吧            
(3星)	 第一次见识了马仔和可颐的搞笑细胞~            
(4星)	 不错。至少那嘴真的是黑的也能掰白啊。没想到张可颐是这个风格的，马浚伟的搞笑功力不错！@Home            
(5星)	 我记得有个暑假，这部剧，我不下看了十几遍。。。            
(4星)	 个人比较喜欢的港剧之一，质量很高。            
(2星)	 里面那个女扮男装的人太man~            
(3星)	 喜剧。            
(4星)	 我的tvb启蒙之一            
(3星)	 那是小浚马还挺泼的。            
(4星)	 那时候认识陈豪的，支持张可颐            
(5星)	 全家福、连百合。            
(5星)	 这个比较后期了            
(3星)	 张可颐不错~然后第一次知道原来古代媒婆叫冰人            
(5星)	 只求一笑。张可颐古装很漂亮。。            
(3星)	 记得那个像男人的女人            
(4星)	 除了怨念搭陈豪的女演员之外，一切都很不错            
(4星)	 高中看的，怀旧又看了一次，还是很喜剧的            
(4星)	 为嘛 到处都有陈豪。。            
(4星)	 规范的港剧            
(NA)	 喜剧~~~~好看            
(4星)	 前两天还翻出来看呢，挺有意思的            
(3星)	 热热闹闹的            
(5星)	 连百合~~            
(3星)	 很搞笑~~            
(4星)	 好看。挺有趣的调调。            
(5星)	 虽然具有港剧的一般模式，但是非常有趣的剧情。            
(3星)	 看过，但是什么都不记得了。。。            
(3星)	 我还特意去补充了古代民间风俗常识= =            
(NA)	 O(∩_∩)O哈哈~            
(NA)	 欢喜冤家的两人还有那句“曾经沧海难为水，除却巫山不是云”。            
(3星)	 衣服有点雷            
(4星)	 很有趣，很有口才            
(4星)	 蛮好玩滴            
(NA)	 马仔 × 张可颐            
(3星)	 电视上看的，蛮有趣。。打发时间还行。其他不行！            
(3星)	 挺搞笑，剧情已经记不清了            
(2星)	 = =            
(3星)	 接触的第一部tvb，剧情还不错，就是陈豪傻了点            
(3星)	 我只记得以前看过，记得这个名字为神马都想不起来讲的什么了撒            
(3星)	 典型的TVB剧，只是啊并不一定是人人都喜欢长久的类型啊。            
(NA)	 总觉得女扮男装的情节很奇怪。            
(4星)	 欢喜冤家。            
(3星)	 TVB的剧好像没什么爱。。            
(4星)	 马浚伟一直很爱很爱很爱他            
(NA)	 是喜娘的意思哦，这叫法很好听啊            
(3星)	 不算太好，也不是太坏。            
(5星)	 马浚伟逗逗逗，张可颐美美美            
(4星)	 夜里无聊的时候看，还蛮好玩的            
(3星)	 还记得一句台词是：落地开花，富贵荣华~~~            
(2星)	 不喜欢 不知道为啥 其实  很TVB的 可能男女主角都不是我的菜吧            
(NA)	 第一次见陈豪            
(2星)	 几无聊            
(3星)	 挺搞笑的，没什么印象了            
(5星)	 經典啊            
(2星)	 乌龙            
(4星)	 看这个片子起码让我知道原来冰人就是媒人的意思，呵呵。。            
(4星)	 从此深深的记得盖鸣晖的那张脸了.....唉            
(3星)	 完全冲MAGGIE和晖哥而去。。。            
(5星)	 经典好剧！这么低的评分没天理啊            
(5星)	 很喜欢 很好笑            
(4星)	 很多年前看过的。很喜欢。很欢乐啊。。。今晚无聊，心情很郁闷。突然想起。找来在次重温了一遍。依旧如此喜庆。。看完让人心情大好。。            
(4星)	 女主是我第一个怀疑性别的人。            
(2星)	 看到那个男不男女不女的就没有兴趣。            
(3星)	 陈豪...你太作孽了            
(3星)	 关德辉，嘉碧仪很配~            
(4星)	 鸳鸯谱。            
(4星)	 超爱古装造型的马浚伟   张可颐一直粉棒            
(NA)	 令狐喜很帅气。。。            
(4星)	 两大主角都是我喜欢的型。            
(5星)	 太好笑了，太好笑了。            
(5星)	 大爱，不看后悔。百看不厌。            
(5星)	 陈豪和马浚伟都好帅！            
(5星)	 太好看了 就是- -我家momo和盖鸣晖在一起 也太诡异了            
