http://movie.douban.com/subject/4046891/	刑警
(4星)	 全剧最爱的是Carson，这样的男人哪里去找啊。话说，我觉得这男配角真的很好诶。还有stone，真的是一个绝世的变态，黄日华演的太好了吧也。呃，最后我想说的是，宣萱你老了，真的，你咋还不和男友结婚。。。            
(NA)	 三哥你还能在有型点么?恭喜王浩信上位 Carson的角色太梦幻了            
(5星)	 秒杀发证3            
(2星)	 1、前几集进展太慢，铺垫的好枯燥，差点弃了；2、最后那个拍下stone sir杀人过程的毒友家里竟然有传真机，也挺神奇的；3、中国很需要stone sir这样的地下判官，非常需要；4、最后还是靠stone sir自首才能入罪，法律的漏洞果然不小！！            
(4星)	 演的不错啊            
(4星)	 剧本水平很高，案件比法政系列什么的猎奇多了            
(4星)	 挺好看的，就是三哥的白球鞋太扎眼了！            
(2星)	 完全不懂评分为毛这么高 特别想吐槽的是精分那段（话说MPD和DID是不是一回事？）现在tvb的警匪剧不精分不舒服是吧？这就算了，精分出一个很不合理的人格。这不是精分，是鬼魂附身好吗？！而且要是稍微受一点精神刺激就精分，那人人都能精分了啊！            
(3星)	 石东升没错            
(3星)	 很讨厌萱萱那个角色啊！            
(5星)	 宣萱怎么没被炸死啊！！！！1            
(3星)	 我的小帅哥死了！！！！！！            
(NA)	 stone果然越来越邪恶，mad很有爱。carson怎么就死了呢！？文诗美起来不像话~            
(3星)	 萱萱爆炸头            
(NA)	 好有内涵唷！下一步看读心神探噜            
(4星)	 五虎已老。。。邓健泓的双重人格演的非常到位。。。            
(5星)	 三哥宝刀未老，不过不知道是不是我多心啥的，为什么每次三哥演的警匪片一定都会有个幕后黑手，林保怡啊别人啥的都是简简单单的单元剧破案，不过真的好经典，赞一个            
(5星)	 升级为大叔控了。。            
(NA)	 总觉得黄日华的笑很怪异            
(3星)	 黄日华演的石东升看到让我想揍他！            
(3星)	 我深深的喜欢上了苗侨伟            
(4星)	 魔鬼之路是可以由善意铺成的。            
(3星)	 结局比想象得好            
(4星)	 tracy  那个CASE一出来我开始相信宿命神马的            
(5星)	 我给满分！            
(4星)	 终于追完这部剧了…            
(4星)	 演戏还是老生们擅长些，三哥永远都那么洒脱帅气            
(3星)	 为的就是25年基友再聚首，阿苗是个BG多给力的人啊，再给力居然也扛不牢和基友的TVBL。这年头搅基都是老的香╮(╯▽╰)╭            
(3星)	 我觉得stone sir一点错都没有啊            
(3星)	 虐            
(3星)	 高纪炀好帅啊~干嘛要死~            
(3星)	 郭靖杨康20年后再聚首，郭靖残了，杨康翻身农奴把歌唱了            
(NA)	 黄日华hll的大眼袋啊   时间真是把杀猪刀  当年的五虎多么拉轰TT              
(2星)	 无聊...侮辱智商的tvb警匪片啊            
(3星)	 苗侨伟太帅了~~~~！            
(5星)	 好久没看到这么劲看的TVB剧了！            
(5星)	 第一集就很好看。。。感觉和与敌有点像的。。。            
(4星)	 说实话，这部戏真的不错，黄日华苗侨伟时隔多年后的再次合作，的的确确是在互飙演技。虽然案件设置上TVB已落入新瓶旧酒的窠臼，但剧情还是很发人深思，看得人蛮过瘾。            
(4星)	 除了主演年纪大了点，总体不错            
(4星)	 案子很粗糙，人物还蛮有爱的            
(3星)	 Carson真心帥&gt;///////&lt;            
(5星)	 魔鬼之路，可以是由善意铺就的。TVB近年难得一见的佳作。不过最近看这样的题材确实多了点。            
(4星)	 哎 王浩信啊王浩信            
(4星)	 mad sir 终于和 阿kim 有野了。。╮(￣▽￣&#34;)╭ 结局太完美了。。            
(NA)	 ……步子道为咩看不下去            
(3星)	 又是开头很惊喜后面很失望，一直想快点结束= =喜欢胡定欣和王浩信这一对，王浩信的表现很出彩啊，那几个老人拍拖真是肉麻死顶唔顺啦。            
(4星)	 carson死的太可憐了TAT            
(3星)	 看到“三哥”和“靖哥哥”同台，让人唏嘘不已。当年的五虎将，如今都已步入知天命之年。偶尔想起曾经的青春逼人，也不过是再看一次《那年17岁》。歌声已显苍老，脸上皱纹争先恐后爬过岁月，留下的只是一些记忆躺在几张旧贴画上。相聚或别离，都留给“靖哥哥”一人评述，所谓的三角恋也不过是留恋过往。            
(5星)	 Mad Sir实在太迷人            
(4星)	 &lt;29 完结&gt;①黄华的复出再拍戏和两虎的再合作都是看点②三哥太帅了！！③中年人的N角恋太狗血④Stone Sir算是个既可恨又可悲的人物吧⑤喜欢Carson和阿诗这一对。            
(4星)	 今年没一部比得上去年这部 三哥和我爸一样大诶怎么就能这么帅 和萱萱很相配！戚美珍真幸福~            
(3星)	 讨厌死黄日华了.            
(5星)	 我又发现了一个我的菜，Carson死的好可怜啊！！！！为什么总要牺牲几个警察咧。郁闷~            
(4星)	 两个老戏骨演的，不错的！但总结下来就是幸福不能来的太快。。。            
(4星)	 角色太不适合胡定欣，演的讨人厌            
(NA)	 30集啊，两天完工。佩服自己。            
(5星)	 苗侨伟和黄日华的演技确实不错。            
(3星)	 1.香港有且只有一个牌子的手机 就是索爱 香港人全都用它；2.在香港 移民是件很简单的事情 只要呆得不开心了 随时都可以拍拍屁股走人 换个新环境重新开始新生活；3.TVB这种假惺惺的温情戏要多肉麻虚伪有多肉麻虚伪 香港人活得那叫一个相敬如宾 不累吗？            
(5星)	 好久不見黃日華，還是不錯滴            
(NA)	 主角太老 too to            
(3星)	 黄日华你也太不会保养了吧，全程2个大眼袋的            
(NA)	 爱邓健泓演的丁医生和TRACY！爱分裂！            
(4星)	 没想到他们在TVB还能合作~有点Dexter的味道~不过是个杯具的~            
(4星)	 一堆老年人。情节好像之前灵异组一个多红的犯罪心理还是什么的帖子。            
(3星)	 看了几集就不想看了，作为刑侦剧节奏未免太蘑菇了吧！黄日华很有风度的蜀黍！苗侨伟怎么酱样了啊一点没有当年的杨康样了            
(NA)	 破案的过程都很简单，直到最后一集才算给力了一点            
(5星)	 魔鬼之路，可以是由善意铺成的。太精辟了……            
(4星)	 米安定真帅            
(3星)	 看二十分钟实在看不下去。            
(4星)	 三哥依然很有型诶~！可怜的Carson啊！！！            
(NA)	 魔鬼之路，是可以由善意铺成的。虽然是个大鸡肋，虽然STONE最后变得疯狂，但我看到他最后一集抱着阿君流泪的时候，心里还是觉得非常非常痛，恐怕这是这部剧给我印象最深的一幕了，黄日华凭那一刻绝对应该拿视帝。            
(4星)	 这么多年，终于见到你变坏的脸            
(5星)	 法律常常无法让正义得到伸张，还常常被坏人钻空子。很应景的剧情~            
(3星)	 传统猫鼠套路，只为黄苗两人才看的。            
(3星)	 不喜欢看三哥演戏，小定演戏也有退步，黄日华后期过于用力，OO几乎没得发挥。编剧活生生把一个三星的故事写成二星的水平。            
(NA)	 前一半就是山寨版LIFE            
(4星)	 结尾是向七宗罪致敬吗。            
(5星)	 虽然还是老面孔，但黄日华的确演得很好，女同胞们强烈抗议Carson怎么真死了！不行啊比以前的刑警片上升了很多层次            
(2星)	 主要去看大叔的 情节编的太烂了 最后一集是亮点 让我想起 七宗罪            
(4星)	 三哥啊            
(4星)	 警匪故事不出彩，但是凸显的司法制度漏洞也足以让想伸张正义的司法工作者感到无奈和愤恨。司法制度无论在什么时候都是会有漏洞的，法学家们能做的就是尽量避免和尽快弥补，法律规则的创设也代表着人类社会的理性。矛盾和无奈始终存在，但是我们还是要认识到司法的存在的根本目的不是惩治犯罪而是杜绝！            
(3星)	 - - 不守法就沦落到蹲大牢且被起外号~            
(4星)	 黄日华演反角真是看的够虐心的            
(3星)	 老了就是老了。。。            
(5星)	 三哥一星。STONE SIR 一星。宣萱一星。卡神一星。剧情一星。            
(3星)	 唉，真的很扯 同样是地下判官题材，跟Dexter差的不是一点点            
(4星)	 魔鬼之路可以是善意铺成的。            
(4星)	 Carson为什么死！             
(NA)	 萧峰大战鸠摩智，杨康险胜郭靖 这些脸看得我好错乱 第一次看黄日华演这种角色！            
(NA)	 巨难看            
(4星)	 这部比起谈情说案啊读心神探什么的，案情好多了，老戏骨真的演技好啊~~            
(4星)	 还是不错的，两个演员演技过硬            
(4星)	 其实stone这个角色，我的确不太理解为何最后落得如此惨烈。好在我个人偏爱Mad sir，也不去计较结局了。            
(4星)	 两大帅哥巅峰对决~三哥真是太赞了！            
(5星)	 港剧永远是我大爱！！！尤其是警察剧！黄日华和苗侨伟这两个老男人简直帅爆了！！！哎……            
(4星)	 郭靖的眼袋大了。。。。杨康真不像年过半百的。。。不过说到底，鸠摩智才是不老滴传说！！！！            
(3星)	 情节一般，节奏看可以，苗侨伟和黄日华都挺会演。毕竟还是故事，是非不分明。。。片尾那句很好，魔鬼之路可以是善意铺就的。            
(5星)	 2010-12, 二十几集弃////结局没想到那么精彩！！！众人加编剧演技大爆发！？为结局数集补给足5星！            
(4星)	 结尾好莫名其妙……stone sir点解会截肢啊？            
(NA)	 魔鬼之路，是可以由善意铺成的。            
(3星)	 觉得结尾很一般，中间每段故事连接的不是很好            
(NA)	 两个老大叔一台戏            
(3星)	 时间啊，他门都老了啊~            
(3星)	 本来不知道好评在哪，案情又老又没创意。看到最后才觉得编剧很妙很给力~            
(3星)	 三哥老啦，不过越看越喜欢胡定欣啊！~            
(4星)	 魔鬼之路 也许是由善意铺成的 错着错着 错的都以为是对的 最后一意孤行 是非颠倒 黑白不分 公平不公平 自有天惩 就算很俗套但还是一部不错的片子             
(3星)	 十五年冤狱任谁都心态难平啊。            
(4星)	 结局很加分！            
(4星)	 我试想过三个关于结局的。一是黄日华老婆死了。死前煽情一下，于是他自杀了，当然，死不悔改。第二是苗侨伟被黄日华爆头，黄日华想起昔日兄弟情，醒悟了，苗侨伟也时转运来的脑瘤和子弹一起取出。三是萱萱假象的死后，苗侨伟杀了黄日华。黄日华不成功便成仁，苗侨伟成为黄日华第二。这个是我想看到-~            
(3星)	 亦正亦邪神马的最给力了。。。苗侨伟好有型~~~            
(3星)	 三颗半，三哥帅气如昔，只有你配得上江枫呀            
(4星)	 不错，剧情都几紧凑。            
(5星)	 3gor都52了 还老帅~            
(NA)	 苗侨伟还是韵味咧!!!!!!!!!!!!            
(4星)	 結局先嚟好戲大爆發，太遲            
(4星)	 三哥~！            
(3星)	 我还是最爱大团圆            
(4星)	 虽然很多都抄袭了美剧 但是还是挺不错的。            
(4星)	 mad sir完全是我的菜            
(NA)	 宣萱你都这么大年纪了，怎么还演这么蠢的角色？！！！！            
(3星)	 黄日华演坏人演的那么好~他心理会不会有问题啊？希望不会啊~~~苗侨伟真帅真帅！！！            
(3星)	 前面不错 三个主角都挺赞            
(NA)	 “Carson你不能死啊，你刚买了房，谁来还贷款？”。。。            
(4星)	 只是中一枪为啥要截肢。。。。            
(4星)	 carson死毛啊。。。。。            
(3星)	 copy 七宗罪么。。。            
(5星)	 大概5年没有这样追一部电视剧了！想起以前小学和初中的生活，暑假几乎每天都要追tvb，从8点到10点，一个也不拉下。话说 苗乔伟好帅= = carson腿长但是声音不好听= =             
(2星)	 其实开始还是不错的。但看到后来，我都替编剧不好意思了。            
(3星)	 俨然是一部老戏骨们的同好会嘛。黄日华后面看得我慌兮兮的……我不知道演高纪炀的那个男生叫什么名字 但是外表没骨气内在体贴、偶尔还会爆发一下小宇宙英雄救美的好先生形象 真是让我小心动了一把~ 还有 宣萱的爆炸头让我好想吐槽!!            
(3星)	 感覺比預想不好看。有些情節很跳TONE。:-(            
(NA)	 我不想落伍，我也看！！！            
(3星)	 为什么“好人”眼中的“坏人”每次都要得到报应？            
(4星)	 MAD型~STONE的心路实在无趣            
(4星)	 喜欢三哥            
(3星)	 即使是老牌演员什么“封笔剧”，什么“回归剧”的，我也熬不住了。。。            
(4星)	 苗侨伟和黄日华彪戏啊。。。            
(5星)	 魔鬼之路 可以是由善意铺成的            
(5星)	 而家食飯睇 雖然是睇少少 但唔錯啊 mad sir幾hot &gt;&lt;            
(NA)	 啊……舍友在追，我在旁边看了断断续续的。            
(4星)	 那华丽丽的皱纹和眼袋啊！！            
(4星)	 终于终于看完了，前面比较恐怖后面慢慢蛇尾，三哥太帅，喜欢上了卡诗组合，黄日华最后狰狞得吓死人            
(3星)	 不是很给力~            
(4星)	 好像看到第10集，不跟了。            
(3星)	 放弃不追了。。。。            
(4星)	 TVB我永远抵御不了。结局挺不错。案情挺劲爆。演员们真的是满脸邹纹让我心酸啊！！            
(4星)	 没蹲完，光看苗叔了            
(4星)	 我灰常有自信的说这部戏实在是近几年来超水准之作了~别拿《与敌同行》来白瞎这部剧！可是carson为神马要死啊！            
(3星)	 本来觉得有苗侨伟就足够四颗星了，可是因为这个狗血的结局，突然觉得其实也不过是个破案片而已。。。            
(3星)	 carson死了~~~後面看的比較入神            
(4星)	 老演员有老演员的看头            
(3星)	 哎，可是是他们都老了            
(3星)	 一开始感觉比刚刚播完的读心神探好看，看着看着越来越忍受不了里面人物都那么二，案情没什么出人意料之处，唯一的亮点是对法律的质疑，可惜拍得不够好看            
(NA)	 我的Carson啊！！！ T T ~~~~~~~~~            
(3星)	 案情越来越离谱，凶手随便猜猜就能猜出来，而且长个脑瘤就能千里眼顺风耳，这福利太好也未免太扯了吧！            
(4星)	 杨康好帅啊啊最后绝望的机枪帅爆了TT0TT简直和郭靖云泥之别，不过变态的部分郭靖演得还不错嗯。胡定欣的靴子真美，声音也好，但大中分太丑了还是马尾吧。卡森是个好人。。杨康的衣服也好好看，各种小食品也馋死我。。。（最后郭靖都死心塌地地爱上了他）            
(3星)	 我也很喜欢Carson啊！黄日华真的老了。但是苗侨伟还是当年的样子呀~~~            
(NA)	 对黄日华改观之作  胡定欣的御姐造型好给力~            
(NA)	 居然抄柯南，TVT完全吐槽无力            
(NA)	 Mad Sir的腦瘤真是神奇，什麽細節都可以察覺，囧，也是這個片子最大的敗筆，還有為嘛要讓Carson陣亡            
(4星)	 苗侨伟52依然很秒            
(5星)	 嗚嗚嗚可以寫續集讓CARSON復活嗎！！！            
(5星)	 娃仔强势回归，今年等的就是这部，肯定是要追的了。- 11.02 该剧还是挺不错的，就是几个案子都太弱了，很容易就猜出凶手了，不过该剧主打也并不是破案，而是地下判官。结局除了没料到死了个人，其他跟我预料的完全一样，太聪明了。。。该剧整体3星半4星，然后这几个老面孔就是在加分推荐了。            
(4星)	 正在看第一集，不予评论。            
(4星)	 第11集上司询问stone和mad，大sir被杀现场的情况，两个人各种摸鼻子 啊O(∩_∩)O结尾大赞！            
(NA)	 老了，都老了~3要抄柯南了~苗侨伟，神经啊~30大结局~不是TVB的欢喜结局~            
(4星)	 12.15-12.26 想起Joker..苗侨伟真是还蛮帅的,为啥以前还一直不理解为什么他可以演杨康,不过这部里自从开始追kim就没那么帅了..一对比,黄日华真是显老太多太多..Carson啊!!!编剧太过分~在3星4星之间纠结了一阵,不过怎么说也是让我留了一些眼泪的片..            
(2星)	 苗侨伟搭宣萱 ，黄日华搭谁？陈秀珠！郭靖配武瞾~~诡异  所以说，黄大哥，你能拿视帝，才好出奇列            
(4星)	 算是tvb近年来不错的剧，虽然还是没逃出虎头蛇尾的怪圈，越到后面漏洞越多。对人性的剖析值得玩味，结局那幕颇像七宗罪。苗侨伟、黄日华、宣萱的对手戏看着就是舒服，姜还是老的辣，胡定欣演这种角色看着顺眼很多啊，她还是不要演美女的好。            
(4星)	 點算...我凈系想睇卡詩戀喎!!            
(4星)	 为毛要carson死勒？            
(NA)	 乱七八糟的结尾            
(4星)	 再赞苗侨伟和黄日华的双剑合璧！            
(3星)	 三哥            
(3星)	 结局实在不给力 ，28开始就仓促了。            
(3星)	 美剧看多了 TVB的探案剧怎么这么挫啊            
(4星)	 55555555555  carson為毛要死嘛~            
(3星)	 老套            
(5星)	 三哥！帅！            
(NA)	 比较好看            
(3星)	 信号王居然shi掉了。。。。定定演介么cool的女纸有点不习惯的说            
(NA)	 【2010-11-01】            
(4星)	 老男人的逆袭            
(4星)	 港片还是警匪的好，而且，确实不要那么高科技。真心的。飚演技才是硬道理            
(4星)	 最后mad sir也变成地下判官的话会是多好的结尾，可惜这是TVB             
(4星)	 慢慢就变态了            
(4星)	 乔帮主虽然鼻孔真的大 但是演得真的是不错啊~~            
(5星)	 难得一部TVB剧没有雷死我的演员出演，没理由不给刑警5星。三哥好帅啊！            
(4星)	 三哥和宣萱很配~！小定和Carson很配~！Carson很帥啊！=V=            
(NA)	 喜欢胡定欣和王浩信啊!!!!!!黄日华太丑！！！！！            
(3星)	 结局设置得不错            
(5星)	 好喜欢三哥啊            
(4星)	 果然过分苦逼是会引发变态的。。            
(4星)	 不喜欢苗乔伟            
(4星)	 中秋三天。追完。黄日华演技大好。从一开始的同情他到赞同他到最后真是受不了他变态了。            
(5星)	 好cult。感觉不是只有这一个结局。结尾笑趴。            
(4星)	 地下判官又是一个灰色地带，和《真相》类似，法庭判决结果是否就是真相，在理性的法律面前是否有探讨人性的可能。几个案例有争议，也有启发，是不是有另外一种解决方式。当初看这部剧，CAST绝对是亮点。不过感觉两男一女还和年轻人一样的拍拖桥段感觉有点超龄。            
(4星)	 黃日華bt的扭曲 噁心            
(3星)	 TVB才是最大的童话啊。虽然还是有很多味同嚼蜡的地方，但相比近期TVB的警匪片还算有新意吧，当然，三哥才是最大的看点，哈哈            
(3星)	 。。。这俩我都喜欢。。。            
(4星)	 还是tvb的好看啊            
(4星)	 最喜欢三哥了！            
(4星)	 为毛都要以圣经结尾捏。。。            
(5星)	 老黄和老乔好给力啊！~            
(5星)	 好久没有看到TVB一部比较好看的警匪片了，这本比起《谈情说案》，比起《读心神探》都好看的多...哎...黄日华终究还是老了...            
(5星)	 爱苗侨伟！！            
(4星)	 不是我喜欢的探案剧的类型，不过还是蛮不错的，苗侨伟太有型了-0-            
(4星)	 苗侨伟太帅！            
(5星)	 三哥！三哥！！三哥！！！王浩信比黄浩然嗲太多了吧……            
(4星)	 还不错。            
(4星)	 蛮不错的一部片子，一直喜欢探案风            
(4星)	 岁月是把杀虎刀啊~            
(NA)	 stone sir 好嘢 越看胡定欣越顺眼            
(3星)	 三哥咋，你唔在耍酷玩帅啦！你知唔知有华哥在你永远显得唔演技的啦！唉~            
(4星)	 TVB的探案剧~不习惯突然镜头就切到死者的脸上。。。            
(3星)	 此类型算少见咩。            
(4星)	 石头SIR，你真的错了。            
(3星)	 看到一半弃了，我只能说，我喜欢胡定欣。。。。苗叔还有点魅力在啊            
(4星)	 TVB连最拿手的警匪片都开始创意枯竭到需要凭借神力才能自圆其说了            
(4星)	 我花癡三哥。。多給一粒星。。            
(4星)	 不错滴~~~~            
(3星)	 没看完   对 没有 枚男的 没有兴趣            
(3星)	 嗯……终于看完了……            
(NA)	 剧情不错！喜欢三哥啊，可是你比我爸都大了            
(3星)	 侨伟好帅呀！！！ˋ( ° ▽、° ) 口水ing...            
(3星)	 港剧美剧化            
(4星)	 老而弥坚            
(4星)	 mad sir 犀利的眼神还有stone sir变态的人格            
(2星)	 为神马我觉得苗侨伟很像马国明呢~~黄叔叔演坏人真让人接受不鸟~            
(5星)	 比别的都好看,carson不死就好了            
(3星)	 技术含量太低，一帮人都有点蠢…还有，没什么事能不能别放吓人的歌剧背景            
(5星)	 大爱苗侨伟!!!sb黄日华。            
(3星)	 肥皂剧            
(4星)	 苗侨伟重返TVB之作每部都这么帅，迷死人不偿命哦！另外，宣萱近几年拍的戏好少哦，有一部是一部，支持再支持！            
(5星)	 世界原本就是灰色的 做好自己就好我会爱三哥一辈子            
(4星)	 不愧是黄SIR荣休之作，TVB很花心思了，本子算近年来不错的了！虽然案件一个比一个变态不合理，但总算苗大叔有好结果就好~            
(4星)	 整个一后现代版郭靖和杨康相爱相杀的故事喂~~~ps.苗侨伟把ck穿的帅翻了❤            
(5星)	 “二虎”重聚，值得一看            
(4星)	 三哥很型，不过编剧水准欠佳，浪费了HELLO KITTY藏尸案这么好的素材……            
(4星)	 纠结？纠结！纠结…            
(4星)	 Carson死的好不值啊，穿著小風衣走路像走臺步，帥哥一枚。看黃日華演奸角有點不慣。萱萱和胡定欣的髮型很有問題，造型師沒品位。三哥一如既往的風格。案件不夠強大。            
(5星)	 苗侨伟❤            
(2星)	 没觉得怎么好看呀            
(3星)	 这个剧好多人赞誉啊，可是我觉得它很一般，至少在查案、推理这方面做得还不如90年代的那些什么档案、什么实录用心，不过胡定欣很PP倒是真的。            
(3星)	 和美剧无法比较，不过比内地的要好很多。            
(3星)	 可以打发时间，但tvb电视剧总有些师奶情节，有点拖沓。            
(5星)	 魔鬼之路，可以是由善意铺成的。            
(3星)	 靖哥哥啊···            
(4星)	 前10集很套路的TVB刑警剧情，阿SIR+女记者，案件也一般，本来打算放弃的，可看到10集以后，黄日华转性做了地下判官，案件也精彩起来，直到最后一集，剧情还是很紧凑！地下判官和正义警察的较量与探讨，才是这套戏的亮点呢！            
(4星)	 港版deathnote啊~~            
(3星)	 永远的潇洒杨康            
(4星)	 魔鬼之路，可以是由善意铺成的。            
(3星)	 因为某人最近一直在追 所以看了 麻麻地咯            
(NA)	 粤语又进步了……            
(3星)	 近几年TVB叫好的作品。            
(3星)	 一直到结局，才能承认这不是烂片……演员不大给力，就这样。            
(4星)	 姜果然是老的辣！            
(3星)	 黄日华果然还是比较适合演古装剧            
(4星)	 许文诗的八字一定不好...            
(3星)	 Mad Sir &amp; Stone Sir 瘋狂的石頭 哈哈哈 &gt;&#34;&lt; 黃日華和宣萱證明了歲月是會留下痕跡的            
(4星)	 一个人半夜看 吓死啦            
(4星)	 邪恶可以是由善良一步步走出来的            
(NA)	 赐给我一个MAD SIR一样的好人吧。            
(4星)	 刚开始不想追下去 看了几集被吸引  黄日华最后的命运真的可悲            
(3星)	 大概是近年看的最不知所謂的港劇，不過是失眠的背景音樂罷了            
(4星)	 其实carson可以不用死的嘛  T_T            
(3星)	 爱情线有四星。三哥比五星啊！            
(4星)	 宣萱好老            
(NA)	 周末睡不着看过了.            
(4星)	 案情设计终于有点进步了            
(4星)	 苗侨伟真的是还可以。            
(4星)	 法律虽然漏洞很多 但是作为社会的基本秩序 每个人都应该遵守。老戏骨飙戏还是不用凡响 心理转变比较真实~            
(NA)	 看了这个之后觉得苗侨伟真的很帅啊~！~~~~~            
(NA)	 黄日华怎么会老成这样呢            
(5星)	 大爱MAD SIR~            
(4星)	 比TVB的传统探案剧要深一些，对人性和感情的描写都入木三分，黄日华的演技没的说。但是口味也真重 ，看得人晚上都不敢独自入睡。结尾还是令人动容的。            
(2星)	 宣萱的拉面王子头造型好雷-_-! 胡定欣长得还能更加难看粗糙一点么！ 王君馨每天到底是选美还是上班...并且为神马老是说出不经大脑思考的脑残话...你是警察好么~！！三哥作为老男人倒还是魅力十足...可惜这剧情...加上案件有点重口味...so...6集弃~！PS.阿ben...            
(NA)	 stone颠疯就不唔想再看了            
(3星)	 TVB很聰明，最後讓黃日華走上邪路。其實現實中還是有灰色地帶的。            
(4星)	 宣萱真的老了啊= =于是我想说，地下判官神马的，有时候真的需要啊！            
(4星)	 也就是3星，为了三哥加一星            
(3星)	 港剧真是不行了～～～            
(4星)	 是我喜欢的风格，虽然有点俗            
(4星)	 好久没看到这么能看的港片了！            
(4星)	 可惜stone sir么有咱家dexter这么聪明啊~~~哈哈哈 PS：里面苗侨伟帅气的，爱死他了~            
