http://movie.douban.com/subject/3114226/	皆大欢喜古装版
(4星)	 古装比时装的好看点...            
(5星)	 很欢乐的喜剧，曾经心情不好时候经常看。            
(4星)	 这电视剧也太搞笑了。。。后面几集有点扯淡，但总算是看完了！！            
(5星)	 初中看的，超级喜欢。伴我过的暑假~~            
(5星)	 很欢乐啊。只是剧情好慢。。什么时候公主才和金年结婚啊            
(5星)	 当年笑到抽经的剧            
(4星)	 哈哈 记得当时很喜欢公主和县令那对欢喜冤家啊 剧中梅小惠父母很搞笑            
(3星)	 童年回忆 莎莎裙主....            
(5星)	 超级喜欢，吃饭时间南方台就会重播            
(5星)	 小学初中时代吃晚饭必看 笑到喷饭            
(NA)	 怀念O(∩_∩)O            
(3星)	 文颂娴真美。            
(3星)	 超级肥皂            
(4星)	 古装版好看些            
(5星)	 呢个系最好睇噶~            
(5星)	 没坚持看完，打马吊真是欢乐啊            
(5星)	 超好笑啊！！！！            
(5星)	 164集的喜剧编剧！！            
(4星)	 初中看的电视剧，整天和同学一起讨论剧情。再看的时候还是觉得很好笑，每个人都傻傻的好可爱。            
(3星)	 超级长。。。            
(5星)	 每晚9点翡翠台,守侯!            
(4星)	 小时候追的，这么长的居然看完了……            
(NA)	 好笑            
(5星)	 搞笑！当年好喜欢！            
(5星)	 美好的回忆            
(5星)	 看了好几年的剧。，经典啊  对慈姑一家很有爱            
(4星)	 觉得古装好过时装的            
(5星)	 好看哈哈哈            
(4星)	 超好笑的~~~            
(5星)	 我很久以前貌似就看过了.            
(5星)	 我喜欢古装多于现代.            
(NA)	 078            
(NA)	 还是很精彩的,就是结尾有点仓促~            
(3星)	 肥皂~~挺搞笑的            
(4星)	 一百六十多集！！！！！            
(NA)	 开始还蛮好笑得            
(4星)	 可以任意挑一集来看，不用理会上下文，然而看得极开心            
(4星)	 都系古装版好笑D……成家人都好搞野！            
(5星)	 看了很久很久的剧。气氛喜庆，角色鲜明，能找到很多如今红段子的雏形和影子。还是蛮经典的吧=v=            
(4星)	 很经典的啊            
(5星)	 以前TVB时不时的看几集，每晚看完都11点半了，老是笑到睡不着。。            
(5星)	 百看不厌啊！！！            
(5星)	 哈哈哈哈哈哈 经典            
(5星)	 我勒个去，经典中的经典，杀人越货居家旅游必备神器。            
(5星)	None
(5星)	 哈哈哈哈哈哈            
(4星)	 TVB永远循环播放的剧集= =            
(4星)	 古装版比时装版好看。也许看的在先。有点先入为主了。这么长这么长的剧最怕半路换角。还好在这部剧里不甚明显。时装版貌似比较明显一点。好几个只演了一半。就莫名“失踪”了。            
(5星)	 太好笑            
(5星)	 兒時晚間配飯的好劇            
(5星)	 6年级天天守夜看            
(3星)	 我发现我真的看了好多这样的情景剧OTL            
(3星)	 从古装到时装，长的不得了！每晚都播，貌似每个人都看过呀~经典喜剧嘛。            
(3星)	 傻仔戏            
(5星)	 奇葩,我居然能看完....            
(5星)	 肥皂剧一部，不过真系好搞笑            
(5星)	None
(5星)	 超级好看啊！可惜没有看到结局，矮油，真是太好看了，啧啧            
(5星)	 这轻喜剧还是不错的~            
(5星)	 以前很喜欢看，但没看到结尾，最近又重看！依然那么好看~            
(3星)	 咩工作来嘎？            
(NA)	 小时候爱死了 神剧            
(5星)	 看不完。            
(5星)	 爆笑！            
(5星)	 寿头~~~            
(4星)	 养病无聊打发时间全靠它 可以一直看啊一直看            
(5星)	 当年放暑假一次就租一堆，几百集啊，最后金年和joey都退出了，从古装到现代，喜欢他们每一个人（除了国舅）            
(5星)	 应该是看的第一部TVB吧 我小学时候看的了             
(3星)	 实在无聊才发现此剧的，居然还蛮搞笑的，是我的笑点低吗？还是我低俗了？            
(4星)	 以前读高中时候 六点多播的 一边煮饭一边看 好好笑的 唉 回忆啊            
(5星)	 小时候看很喜欢廖碧儿那个角色~又是满满童年回忆，和小眼人追的TVB剧从小就很同步。            
(5星)	 我所见过最搞笑的古装长剧了，值得温习            
(4星)	 家里有TVB的都几乎有看过这个剧吧。。我永远都记得莎莎郡主（沙沙滚）那句 你信唔信我将你犒赏三军啊！！！            
(NA)	 好喜歡好喜歡~每次重播都會看~哈哈哈            
(5星)	 太有创意了TVB            
(NA)	 大工程啊 每天吃饭的时候看两集 还蛮打发时间的            
(5星)	 哈哈，给我童年带来无数欢乐！            
(5星)	 帅帅的林文龙，漂亮的廖碧儿，还有谢家燕，谢天华。。还有可爱的姚乐怡，刘恺威。。从头笑到尾了            
(4星)	 一百多集虽然好看但太墨迹了。            
(NA)	 古装的比现代的好看呢 哈哈哈哈~            
(4星)	 一年三百六十五天都要在放！            
(NA)	 无厘头。            
(5星)	 会被笑死……            
(5星)	 终于看完了！！！和老妈看了N久。。。从早播到晚= =看得我眼珠子都要掉了！！！总之就是好人平安，坏人死光的大喜剧咯~还蛮搞笑的~就是太长太曲折了！！！里面人的身份背景真是变幻莫测啊...            
(4星)	 家庭古装轻松剧，睇晒就无噶啦，但系都睇左大部分噶！            
(4星)	 &#34;死了记得烧这个碟子给我&#34;, 豆油这句话亮了. 哈哈.            
(5星)	 太好看了            
(4星)	 看屎人了╮(╯▽╰)╭            
(4星)	 当时挺费劲儿才看完的~太长了~            
(NA)	 小时候看的，太喜欢啦！            
(5星)	 高中时代逃晚自修课去大学部的食堂看电视还被班主任抓了尼玛真是好青春的记忆            
(NA)	 小学的时候很喜欢的！！            
(5星)	 我记得以前同小学个老友改编依出戏嘅主题曲~回想起来发现时间过得真系快啊......            
(5星)	 呢个点睇翻都觉得好搞笑            
(5星)	 笑点很多            
(5星)	 周末窝在家里就追着它看。10年前的片子，看起来怎么也不过时，台词还是很潮很幽默，都是水到渠成的笑点。绝对好戏！看着laughing哥尤其亲切啊~而且那时候的TVB真有钱呢，几集就换一身华服，养眼哪！哪象近几年的，一套剧下来连主角才那么两三套。            
(NA)	 没进宫前每一集都认真看了，进宫后就不好玩了。基本都是拉快进。            
(4星)	 好長啊好長啊好長啊好長啊～～            
(4星)	 我小学天天守着看啊，到学校就和同学讨论。还记得那个玉米            
(5星)	 经典吖 哈哈            
(NA)	 處境劇中難得的佳作，進皇宮后的部份可以看成第二部，但是同樣有趣。趙學而真是人靚聲甜，姚樂怡原來不止是靚，扮可愛也是得心應手。家燕姐、李國麟、苑瓊丹都不錯。            
(5星)	 嘿哟嘿哟嘿 嘿哟嘿哟嘿,~~~            
(5星)	 经典啊！回忆啊！宜家睇翻都笑到抡地啊，喜剧电影都能做到呢个份上真系唔慌冇好票房喇            
(4星)	 蛮好看的，TVB的剧还是以前的好看            
(5星)	 小学时候看的            
(3星)	 我承认细个果时追得几癫....            
(5星)	 五星，不解释            
(5星)	 哇哈哈当年你的片尾曲伴我入眠欸~            
(4星)	 看到有人说自己莫名的喜欢林玉露，我想说我也是=v=            
(4星)	 小时候看的哎            
(5星)	 回忆呀！！            
(5星)	 一部几乎集集都笑到肚子痛的神作            
(NA)	 时装版的也看完了！！真有毅力。            
(5星)	 陪伴了我的整個童年。。            
(4星)	 古装好看一些            
(5星)	 在我心中真的是很经典的情景剧            
(5星)	 好看的舍不得再见。每个人物都个性鲜明啊            
(5星)	 最爱的一部电视剧。最爱的TVB。经典。百看不厌。            
(4星)	 大爱            
(4星)	 打算从头再看一次！            
(5星)	 看完觉得好不舍得 TVB最经典古装家长里短肥皂轻松长剧            
(5星)	 看金家女人口舌妙语连珠            
(5星)	 笑S了嘛这个             
(5星)	 太好笑了！！！！！！！            
(4星)	 8/10，幾時出第二部古裝情景劇啊~            
(4星)	 怎么说捏？这个电视剧很耐看吧~因为故事太长了，就感觉貌似很累赘。            
(4星)	 很搞笑！            
(5星)	 粤语长篇经典~            
(5星)	 经典啊，以前很喜欢            
(4星)	 經典喜劇~            
(5星)	 四大美人一唱一和好正            
(3星)	 好长啊            
(4星)	 笑S我了            
(5星)	 现在在重播，星期一到五下午14：58，看不到啊……很喜欢林玉露，虽然她心地不好，但是那才是女人，她身上有所有女性的影子，无法否认            
(5星)	 给我印象最深的一部港剧,那时候我还在上小学,晚上一家人齐齐整整的坐在电视前。            
(5星)	 金月&amp;林玉露            
(3星)	 个个角色的个性还挺鲜明的            
(4星)	 肥皂了点            
(4星)	 就算电视重播还会翻炒的好片！            
(NA)	 留念            
(4星)	 好劲            
(5星)	 虽然很长  但是段子都很经典   从头笑到尾呐            
(4星)	 不看不知道，一看吓一跳，原来这么多集啊！！            
(3星)	 茶余饭后的一部消化剧            
(4星)	 非常非常好看，超爱这部片的            
(5星)	 一百六十四集,我全部看完了, 突然没有了感觉竟然有点失落.金家的吐槽伴着我度过了这么多个双休日. 今天看的大结局, 竟然流出了幸福的泪水, 是不是我的泪腺太发达了? 嘿嘿, 这是个好剧!!!!            
(5星)	 我初中不分黑夜的看的我肚皮都笑爆了            
(5星)	 力荐力荐！！有点长，但耐心看非常有趣~            
(5星)	 最爱最爱~~哈哈哈哈            
(3星)	 很吵            
(5星)	 超级搞笑            
(4星)	 很经典阿。            
(4星)	 三个女人一台戏，更可况一堆女人。            
(5星)	 真的好好笑，但是B2就是其中的老鼠屎，有点受不了            
(5星)	 这么长的剧又能集集都那么好笑，绝对的经典            
(5星)	 這部戲看了整整一個寒假+一個暑假，劇中人物都像我的朋友一樣親切，超級好笑又動人~            
(5星)	 近十年都找不到这么好笑的tvb剧了            
(4星)	 说实在的，这部连续剧是我看过的最长的。但是真的很有意思，很搞！经典！            
(4星)	 今年今月今日杀得鸡犬不留！灰常搞笑            
(4星)	 一部非常闹的闹剧，无聊时看着还挺开心的，不过我也佩服自己能看完他，还是刘恺威最帅，O(∩_∩)O哈哈~            
(5星)	 高中时代超级喜欢的电视剧 看了不下三遍了            
(5星)	 400集古装版和时装版都看完了，笑料不断            
(NA)	 看好几遍了 真喜庆            
(5星)	 看皆大欢喜，就觉得人生很美好阿~哈哈            
(5星)	 ！！            
(5星)	 大学时候看的，特别好笑            
(5星)	 最最最喜欢的一部剧            
(5星)	 好看            
(5星)	 暑假前看评论说好看就去追，太长了，三百多集，我追到一半败下阵来看了个大结局就收掉了。            
(5星)	 在六枝，皆大欢喜的时光。            
(4星)	 饭后娱乐            
(NA)	 好搞笑。            
(4星)	 好过时装版            
(4星)	 也是小时候看的轻松喜剧            
(5星)	 好好笑！！ 香港版的情景喜剧！！个人觉得古装版比现代版来得更自然            
(5星)	 都系古装好睇            
(3星)	 貌似很长很长恨长            
(5星)	 TVB黄金时代的经典之作，能拍出160集的古装喜剧，也只有TVB了。            
(5星)	 看过的最搞笑的一部古装粤语情景喜剧。            
(5星)	 轻松诙谐            
(4星)	 经典中的经典            
(5星)	 从小看到大            
(4星)	 比现代版搞笑            
(4星)	 小学-初中的记忆。            
(5星)	 入口即化的情景喜剧，百看不厌            
(3星)	 几百集，有点长了~            
(3星)	 平淡。。。            
(5星)	 爆笑            
(NA)	 我怎么不记得有赵学而啊。。囧            
(4星)	 这么长的电视剧，能被看完，自有它的魅力            
(5星)	 古装版真的是我的最爱啦            
(5星)	 最最最喜欢的连续剧了，翻来覆去看了好几遍~~~~            
(5星)	 追忆            
(4星)	 TVB里比较好看的喜剧.            
(5星)	 莎莎郡主，秒杀一切的贵族            
(4星)	 嗨呀嗨呀嗨~~            
(5星)	 沒有語言能代表我對這部電視劇和那些主角的喜愛。謝謝TVB陪伴我成長。            
(5星)	 太喜欢看了！！            
(4星)	 为什么打四星？因为这部剧里面太多猥琐角色了，我喜欢~            
(5星)	 100多集的肥皂剧，还能拍的这么有意思，真的很牛。            
(4星)	 比之后的时装版好看            
(4星)	 164集总算是看完了！            
(5星)	 经典打发时间的搞笑肥皂剧            
(NA)	 超级好看~~            
(5星)	 超好看，乐死了            
(5星)	 哈哈哈.....看好多次了...好搞笑!            
(5星)	 喜欢舅妈那种呆到极点的可爱~~~( ∪.∪ )... zzz ZZZ呼嚕http://www.syooy.com 呼嚕呼嚕……             
(4星)	 好看，搞笑啊            
(NA)	 超级搞笑！            
(4星)	 看完古代的，300多集啊，挺好笑的。现代的又来个300多，看多了也会烦。            
(5星)	 港剧的精神就在这里，什么叫搞来搞去，迂回曲直，多次利用……300多集，我。。我看完了！！！！！            
(5星)	 小学的时候看的，现在看依然会哈哈哈哈哈哈哈哈哈哈！哈哈哈哈！            
(5星)	 还是古装的笑料够多            
(4星)	 还是很好看的，我觉得比现代的好看            
(5星)	 貌似一共7部165集，中学时候同学推荐的，真的是超级好看，好好笑！            
(5星)	 超级经典好看的一部大戏。偶尔从借来的盘中发现其中的几十集了，看了不过瘾，又自己下了全部的上百集来看。看不厌啊，而且不觉得长啊，看完还恋恋不舍，意犹未尽的。喜欢这种毫无悲苦不用担心的剧情。觉得金月的演员帅。            
(4星)	 记得当时是和同学一起看的，后来慢慢发现的确蛮搞笑的，可以让人暂时忘记烦恼，太可爱的一家人了！！！            
(4星)	 XD            
(NA)	 327级！ 我真有耐心            
(3星)	 情景剧            
(4星)	 很佩服自己竟然全部看完了。。。三百多集啊。。。            
(3星)	 太长了            
(5星)	 看了两遍。头一遍是喜欢，第二遍是因为学粤语。            
(5星)	 幾百集就這麼看下來了。            
(4星)	 这是我看过最长的TVB剧，最后一个橘子飞到现代得知还有个现代版的我真是要崩溃了。在里面记住谢天华            
(5星)	 很欢乐的一家人~            
(4星)	 200多集...至今看过最长的电视剧，明星很多，也看下来了...            
(5星)	 重温还是觉得很搞笑。            
(5星)	 搞笑            
(5星)	 BI儿 咩哈哈            
(5星)	 虽然无聊+无厘头 但是很搞笑 最啱食饭时候睇            
(3星)	 跳看.            
(3星)	 喜欢林文龙和廖碧儿一对            
(NA)	 古装的175集 金家陪了我好几个漫长的暑假             
(4星)	 好长的啊~不过是很好笑咧~            
(NA)	 很不错，就是被这个长度雷到了            
(NA)	 超级喜欢他们的无聊~            
