http://movie.douban.com/subject/2134784/	雪花神剑
(4星)	 绛雪是我最喜欢的类型了            
(4星)	 当年很喜欢的亚洲台经典！~            
(4星)	 那年夏天。            
(4星)	 纯粹为了绛雪            
(5星)	 13岁时的是非善恶...            
(4星)	 梅绛雪那么好            
(4星)	 完全是奔欧阳明日去滴。            
(4星)	 该死的男猪脚毁了一锅汤            
(4星)	 甄志强的角色当年让我很感动            
(5星)	 降雪~很是喜欢啊            
(4星)	 只因为降雪和曲子            
(4星)	 梅绛雪。男主角为什么不喜欢她！！！            
(4星)	 姐妹的可悲的爱情            
(NA)	 我看过的啊            
(5星)	 当年的杨恭如很惊艳~            
(3星)	 哎呀，也是忘得差不多了。            
(NA)	 叔控            
(4星)	 米雪的戏分几乎可以忽略不计            
(3星)	 很喜欢降雪            
(4星)	 “转身走 走不远 雪花漫天忘情我不愿”罗玄，聂小凤。            
(3星)	 歌            
(5星)	 遇人不淑偏偏又爱得深切，便会堕入万劫不复的深渊。小凤，亲爱的小凤。            
(4星)	 ....聂小凤.....            
(NA)	 哦。。。。这又是神马年代的东西了。。。嘛。。。话说当年很爱降雪啊啊~~人美，名字也有爱，性格也有意思~~~真是久远了~~            
(5星)	 小时候都喜欢梅降雪。。长大了都喜欢聂小凤。。。            
(NA)	 童年回忆            
(4星)	 永远的杨恭如            
(3星)	 杨恭如的梅绛雪实在太经典了！！！不过把书改编的好乱            
(3星)	 还是初二逃课看的呢~当时对绛雪同学惊为天人呐~卧龙生的《降雪玹霜》改编            
(4星)	 后半截拖沓了            
(4星)	 当年觉得杨恭如惊为天人            
(NA)	 龚慈恩的聂小凤特别美，杨恭如与之相比都大为失色。剧情方面也是只记得聂小凤和她的师傅，“师傅，我喜欢的一直都是你。”             
(5星)	 梅绛雪啊！            
(NA)	 长大回想起来，这里面的男人都好渣啊！            
(4星)	 一切都是为了尊……            
(3星)	 比较让人震惊的片子，比如师徒乱伦啊，还有就是杨恭如很漂亮。            
(NA)	 三星。            
(2星)	 无聊            
(5星)	 从那时开始杨恭如就在我心中留下烙印了            
(5星)	 这个电视剧提供了我花痴五年的一个人物——罗玄，忘年师徒恋的始祖，仙气飘飘的男主的滥觞。师父，我最喜欢的人，始终都是你            
(5星)	 7岁时候看的一部片子，十几年就这么过去了。我喜欢聂小凤，敢爱敢恨。            
(4星)	 当时感觉杨恭如好美            
(5星)	 龚慈恩啊龚慈恩~杨恭如啊杨恭如~            
(2星)	 虽然忘记大部分剧情，但变态的聂小凤实在太慎人了！            
(5星)	 我邻居一直很讨厌聂小凤，当时没什么感觉只是觉得她很可怜，今天再看，应该是可恶可恨可怜可敬……            
(NA)	 额。。。。            
(3星)	 罗玄到底爱不爱小凤，他俩的感情真纠结啊。            
(5星)	 杨恭如演的梅绛雪，永远是我心中完美女性的代表。十多年后，那首笛子曲还能时不时哼哼出来咳咳...五颗星只为了这一个角色咳咳...            
(4星)	 记忆中很喜欢降雪，对玄霜是无感还是各种讨厌来着？            
(3星)	 算是看過吧.            
(4星)	 虽然威亚的钢丝还有大侠而后的发卡给我留下了很深的印象，但是当时演员们的演技真的很好，尤其是聂小凤自杀的一段，真是看了多少遍都忍不住流泪啊！            
(3星)	 陪我姐看的，超无语的一部电视剧，聂小凤的那两个女儿不孝至极，这种女儿不要也罢            
(3星)	 童年回忆            
(4星)	 白衣胜雪，杨恭如很漂亮，不过我更喜欢聂小凤，其次是玄霜            
(4星)	 什么时候再重温一下吧            
(4星)	None
(4星)	 童年回忆            
(5星)	 这是第一部真正意义上教我去认识爱情的武侠剧，十几岁的时候看和二十几岁的时候看，看到的东西就不一样了……            
(5星)	 童年的回忆啊             
(4星)	 算是杨恭如比较出色的几个作品之一了。            
(3星)	 假正经死硬派的倔老头。            
(NA)	 天啊！！！原来杨恭如演降雪是这部戏啊！！！那会觉得杨恭如超美的！！！            
(NA)	 降雪啊！！！哎            
(3星)	 就记住了小凤的师徒恋，震撼到了            
(5星)	 少女心就是靠这个培养的吧，梅降雪，当时觉得她是世界第一大美人，好爱她！当初就是我心中的女神！            
(4星)	 童年回憶            
(NA)	 龚慈恩啊！！1 这么漂亮的姑娘···            
(NA)	 杨恭如啊            
(4星)	  姜大卫             
(3星)	 记忆画面 -雪花、神剑、美女，很矬的男主角            
(4星)	 梅绛雪，明明是正室却被自己整的沦落到小三的地步，叹            
(4星)	 那时对杨恭如的脸留下深刻印象，很漂亮～            
(3星)	 不太记得剧情，但是这片总会让我想起蔡某人            
(2星)	 当年演员们的演技嫩就不在话下，重要的事ATV多年以来拍戏的布景是在差得不得了，一个字，假            
(3星)	 那首片尾曲            
(3星)	 记得当时很喜欢梅绛雪，杨恭如那时候真漂亮            
(NA)	 因为这部剧，喜欢上了杨恭如～～            
(4星)	 为什么每个女主角ONS后都会怀孕，为什么大家争着教男主角武功，不解不解。。            
(4星)	 我还记得当时日日追！            
(5星)	 龚慈恩，杨恭如，十年前的最爱。            
(5星)	 主题曲荡了一天了 好想重温啊 绛雪~            
(5星)	 杨恭如是当时的当家美女            
(4星)	 学笛子先吹会的就是其中姜大卫为杨恭如吹的曲子。            
(NA)	 我看过吗？是小时候的那部吗？一直不知道谁是好人谁是坏人，也不知道男主角喜欢的到底是谁            
(5星)	 ·老房子的古装记忆            
(4星)	 杨恭如很漂亮            
(4星)	 亚视的武侠比无线制作精良，可为什么不如无线经典            
(4星)	 喜欢绛雪            
(NA)	 陪我走过童年的电视剧，我9觉得杨恭如长得好看，记得那年戏里面她演了第3者，后来爆料出现实生活里也当了小3的事情，造化弄人啊            
(NA)	 忆起小学时光            
(5星)	 杨恭如美死了！            
(NA)	 放着美丽的降雪不选，不明白            
(4星)	 由此难忘杨恭如            
(NA)	 总是记得降雪这个名字            
(4星)	 咦，看过的……            
(4星)	 情节不大记得，唯有降雪玄霜之名。聂小凤原来就是观音姐姐！一直很喜欢她~一样纠结人家降雪到底哪里不好~            
(4星)	 杨恭如这么漂亮            
(4星)	 姜大叔            
(4星)	 只恨风寒露冷,未知此心凄然            
(3星)	 原来不是TVB出品！尼玛我当时对于玄霜绛雪迷的不可自拔啊有木有！            
(4星)	 最近要重温呢 当时大爱绛雪            
(4星)	 绛雪玄霜            
(3星)	 如果是十年前，我肯定会给五星，但是如今长大后看，真的觉得后面很多集在逻辑上存在巨大的问题……但是不失为一部记忆中的武侠巨作……            
(4星)	 第一次看这部片子的时候才小学四年级呢，John哥和龚慈恩两个中老年人的光芒完全盖过了三个年轻主角，后来再看的时候，就专挑他们俩的故事来看，也永远猜想着罗玄到底有没有爱过小凤这个问题。当然，当年的杨恭如一袭白衣，手持碧箫的打扮还是很漂亮的，另外那两个，就算了。。。            
(4星)	 当年很惋惜绛雪。。。为什么男主不要她。。。就因为是魔教出生？可玄霜同样也是小凤的女儿，待遇怎么差那么多。。            
(2星)	 挺狗血的剧，小时候看的了，小时候都没看完，可见真是不咋地。            
(3星)	 力顶小凤踩罗玄            
(NA)	 这部是贱男贱女集中营么？不过小凤和大师兄是好人            
(4星)	 小时候看的 就记得那个女魔头自杀的方式震撼到我了。。            
(4星)	 聂小凤，爱的太过于惨烈。            
(NA)	 完全忘记剧情了，貌似最终Boss是个女的吧，只记得当时觉得杨恭如真是美若天仙，尤其是吹箫的时候。还有，那首萧的音乐也很好听。            
(4星)	 4星全给梅降雪            
(5星)	 绛雪美呆了。男主角是个傻瓜。不过后来听说电视将绛雪美化了，但为了尊重原著，男主还是不得不爱上玄霜。小凤真是一枚情女子，可恨的世俗，将她和师傅永久隔开。可叹！            
(2星)	 那时候的杨恭如第一次让我......            
(5星)	 集天下薄情男人之大全            
(5星)	 啊，我的小学，啊，多么美好的杨恭如~            
(4星)	 杨恭如~            
(NA)	 美好的杨恭如            
(4星)	 杨恭如和陈炜是atv最漂亮的女演员 没有她们，atv真的失色不少            
(3星)	 很久以前看的，故事不是很精彩，但是也还不错~~ 那时候就是看了这部电视剧喜欢上杨恭如的古典美，她很有气质~~不过后来还是走了女演员的老路~~~            
(4星)	 因为一度看不惯龚，所以看到这部戏里她不仅演反派还被虐，心里可爽了~~三代的感情数第三代最没意思，白瞎了杨大美女的巅峰期~            
(3星)	 喜欢姜大卫啊~~~~~~还喜欢小凤那个演员啊~~~            
(5星)	 小时候一是不明白方兆南有什么好的,二是不明白梅绛雪那么好方兆南不喜欢.一直对玄霜无感.那时候觉得聂小凤好可怜.四颗星,另一颗星是给杨恭如的颜            
(4星)	 方兆南这个大傻逼啊。。。            
(4星)	 剑锋划破一地雪 当寒梅滴血 书写恩怨千万年……            
(3星)	 当初这戏看得我憋屈得            
(4星)	 坑爹啊，40集大剧好么！！看了一天一夜啊，好些死老头，色字头上一把刀啊，好吗            
(2星)	 渣男中的战斗机            
(4星)	 我长期纠结 那个谁到底看上陈玄霜哪一点  梅绛雪比她美好一万倍啊            
(NA)	 玄凤恋，师徒文之滥觞。            
(5星)	 小时候看的，从此爱上杨恭如啊！            
(4星)	 挺好的故事，挺好的画面            
(3星)	 罗玄是渣男            
(4星)	 纠结的爱额             
(NA)	 童年的经典啊。。            
(4星)	 以前看的時候覺得楊恭如超美的啊            
(5星)	 现代新拍的电视剧，看一眼就不想看了，每每此时，总会想起儿时看的每一部经典武侠电视剧，真的太经典了！如果以后我有了儿子、孙子，我一定要陪他重温我的经典！            
(4星)	 一口白牙的男主，还有那个唯唯诺诺的玄霜            
(4星)	 自是人生长恨，水长东~            
(3星)	 剧情有点看不下去            
(5星)	 里面最爱聂小凤了   可惜里面没个好男人            
(4星)	 最近怀旧，又看一遍。。。以前年幼，现在才发现整部片子里那么多的贱男。。。            
(NA)	 小时候对杨恭如，那个迷恋。            
(NA)	 看的揪心死了，姜大卫你怎么就那么像大侠呢            
(5星)	 经典，超级喜欢梅降雪            
(4星)	 爱恨炽烈            
(4星)	 降雪，玄霜。            
(5星)	 不说神马了，主题曲《爱不了忘不了》已经写尽玄凤            
(5星)	 杨恭如漂亮啊。            
(4星)	 当年那是觉得相当好看的剧啊，也是因为它喜欢上杨恭如，还因为在法什么大法刚被揭露插播新闻中断播出而气愤，现在也只记得绛雪吹笛子和小凤用发饰自杀的那一幕了            
(5星)	 有姜大卫，有龚慈恩，足矣。            
(5星)	 just because of her            
(4星)	 当年喜欢死了这个剧。            
(NA)	 小时候看的，对杨恭如，陈炜，米雪，龚慈恩四个美女印象很深刻。主题曲我现在还有呢，哈哈。            
(5星)	 当时很喜欢的，但是结局很遗憾····            
(3星)	 要有多深情多美好多豁达才能成就一个梅绛雪。            
(4星)	 罗玄如果不是姜大卫来演，确实要被唾沫淹死了~罗玄的隐忍和痛苦。            
(2星)	 看了三集当背景剧都实在受不了，貌似高中时就没吸引我，只记得杨恭如美啊。前些天天涯上一个帖子说到渣男，让我又想找来看看。这如蜗牛般的剧情，渣男都不说了，每个男人都是磨磨叽叽，受不了啦，跟莲花争霸一点可比性都没有。话说白玉川死前的模样今天还在脑海萦绕，老火了！            
(NA)	 上学期间翻出来看了遍，发现没以前的感觉好了            
(NA)	 Ambiverlent            
(4星)	 那时候想姜大卫和那个男猪的脑门是不是被挤了的~冷血和无情，龚慈恩和杨恭如多美啊            
(4星)	 shit,,,你到底爱她不啦？？？            
(3星)	 只能说一般般，杨恭如感觉像是木头演技，只是个花瓶，无意冒犯，个人观点。＠Ｈｏｍｅ            
(3星)	 BGM好听！！（剧组抄的）；故事凄美！！（我当年记错鸟）；男主好帅像李逍遥！！（我当年狗眼瞎鸟）；杨恭如好美好飘逸！！（只有这个是真的）总之今天查了剧情之后才发现我的童年回忆又被破坏了55555杨恭如美死了，冰雪少女入凡尘说的就是她！这部戏绝对是她演艺生涯的巅峰TVT            
(4星)	 这就是部励志女与渣男的故事~每个女角都有让人喜爱的地方，最爱聂小凤            
(4星)	 看到聂媚娘被围攻时说给那些所谓正道中人听的话，竟有些许感动。。。            
(3星)	 很小的时候看的了。只是因为当年很喜欢姜大卫这个满脸风霜的演员。            
(4星)	 一段一段 挖旧坟 顶着道德的大框框为了你娘我还是爱你的这是两个男人的承诺 神马逻辑无语无奈            
(4星)	 当年超喜欢杨恭如的            
(4星)	 其实我希望杨恭如那个幸福…            
(4星)	 实在太遥远了。但是，姐妹两个我一直喜欢妹妹的。            
(NA)	 风霜约，烟花扣            
(4星)	 杨MM漂亮            
(5星)	 聂小凤对于罗玄，爱到即使被女儿出卖也不以为然，只要执着地说出那一句话：师父，小凤这辈子最喜欢的人，还是你。            
(4星)	 杨恭如真是美呆了。            
(5星)	 当时看的那个惆怅啊            
(5星)	 玄 凤            
(4星)	 只是为了聂小凤            
(NA)	 忘得差不多了。            
(3星)	 除了小凤和绛雪，其他的都是些什么人哪            
(5星)	 话当年~            
(4星)	 这个明明是电视剧嘛。很好看            
(5星)	 本来只想给四星的！但是想想现在满地的武侠烂片我就气！拜托你们这些大牌导演制作人！！！敢不敢再烂一些啊！！！            
(4星)	 其实小凤真的很可怜，她只是一个一直得不到爱的人，用了一种错误的方式寻找爱            
(4星)	 电视在放...多久前看过都记不得了...            
(3星)	 片尾曲好听            
(4星)	 泪流满面，广西卫视居然放了TAT            
(3星)	 男主角太不入眼，最讨厌这种喜欢谁都分不清的剧情……            
(5星)	 喜欢主题曲与洚雪……            
(4星)	 小时候朝思暮想的            
(5星)	 应该是我看的第一个男一号不喜欢女一号的片子！            
(5星)	 郁卒……小凤啊……            
(4星)	 绛雪当年很美            
(5星)	 无法形容当时的感觉，萧笙的永远，龚慈恩的经典，也许还会看无数遍，记忆感怀始终如一。            
(5星)	 龚慈恩，米雪，杨恭如；确实看过，我确实看过，只不过忘记了，好囧啊            
(4星)	 港片认真的时候，反派都可以塑造的那样深刻。            
(4星)	 玄凤之恋~~太凄美了~~            
(5星)	 好看~~！！            
(4星)	 还不错捏~            
(5星)	 降雪初晴。。。            
(3星)	 随便看看~还行            
(5星)	 姜老先生啊，当时没太注意            
(4星)	 年少时的经典~~            
(5星)	 太爱            
(3星)	 印象中劇情很糾結。            
(3星)	 小时候真是奇怪，永远喜欢得不到幸福的那个女主...            
(5星)	 只看姜大卫那段，儿时就凸现出我的恋父情结啊。。。            
(4星)	  杨恭如 小时候老喜欢了            
(2星)	 纠结的要死            
(4星)	 就是喜欢聂小凤，怪怪的            
(4星)	 唯一一个完整看完的电视剧…            
(5星)	 挚爱中的挚爱了            
(NA)	 其实这部戏应该叫四世同堂            
(NA)	 猪脚最后貌似不是选的杨恭如吧，好像是央视的天气预报播音员杨丹。可是主演阵容里没有啊            
(NA)	 当年的杨恭如还挺清纯的            
(4星)	 我爱杨恭如            
(5星)	 罗玄怎么就是不喜欢小凤呢，杯具啊            
(4星)	 聂小凤，敢爱敢恨。            
(3星)	 看原著的时候很喜欢絳雪，杨恭如选的不错，可是对手戏的演员太差了。            
(4星)	 那个时代的经典吧，我那时候很迷姜大卫的。哇哈哈，那么小就觉得这个叔叔真是有味道，但是我也是知道他不是帅，但是就是喜欢啊。现在翻出来看，但是太长了~            
(NA)	 十多年前看过的经典，现在重温。感觉还在~            
(5星)	 老姜你怎么可以这么酷？！            
(4星)	 男一太瓜了，抢毛啊！还没姜大卫帅，哎。            
(5星)	 降雪最好看吖            
(NA)	 我小时候好喜欢= =            
(3星)	 龚慈恩好有气场的说            
(5星)	 天啊，那时候好喜欢好喜欢……            
(NA)	 喜欢那个时代的感觉            
(3星)	 聂小凤这个名我记了好久...            
(5星)	 什么都不记得了...就记得龚嗯慈的聂小凤            
(3星)	 原来已经十几年前了，那时的杨恭如啊。。何其清纯动人，算是无记同亚视末期对抗的剧集了            
(4星)	 好好听的那首歌            
(NA)	 一直不知她叫杨恭如。。。            
(5星)	 玄霜、天相，當年的最愛，當然還有可愛的姜大衛. 小鳳演得太好，方兆南sx一個，絳雪有些做作不喜歡. 最後，小鳳的眼中，映出這無常的世間.神來之筆的主題曲、插曲、片尾曲，配樂第一.            
(4星)	 那段情。            
(4星)	 还是喜欢玄霜多些            
(4星)	 聂小凤。            
(5星)	 即使是十多年前看的，我仍然记忆犹新，太好看了，爱死小凤了。            
(4星)	 记得梅降雪手拿玉笛的样子~            
(5星)	 永远忘不了的绛雪，最心疼的你。            
(3星)	 我记得那结尾被很多人说            
(4星)	 哇 甘旧的片都能在豆瓣找到。。            
(NA)	 哎哟喂，今天若不是看到在线图片，我是真的想不起原来这部片子叫“雪花神剑”了。时光匆匆逝去啊。            
(5星)	 女兒情             
(4星)	 年少独爱絳雪，长大了，却为那个一身火红的女子伤心落泪～～令人刻骨铭心的聂小凤，让我爱上了龚慈恩            
(4星)	 两个女主角都好帅啊            
(4星)	 啊...聂小凤啊......            
(4星)	 小学时候第一次看到，只觉得世间最美好的女子便应如绛雪一般，白衣玉箫，温柔深情却又不失坚忍；长大后偶尔看到当年的片段，却是忍不住将所有的感动都给了小凤。她狠毒，她睥睨苍生，但却坚强地让人心疼。如果上天吝啬地不给她爱情与亲情，那她自己去争取一个天下作为补偿，又有什么错呢。            
(4星)	 我还记得白裙飘飘长身玉立的梅降雪            
(4星)	 无可救药，我浓浓的古装情怀            
(3星)	 应该是看过的吧，尤其是听到梅降雪这个名字            
(5星)	 蝶梦如斯岂自明，十年应悔误卿卿！！！明明已经知道结局，明明告诉自己不要再纠结，但是看到玄凤的时候还是会不自支得虐到自己！！！心里明明就很想抽罗玄，但是看到尊的颜又只有抽自己。谁叫尊演技太好，让我不能敞开心来恨！！！            
(5星)	 当年看的时候不认识绛雪是谁演的，但是很喜欢这样的女子，很完美。杨恭如那时候演技状态也很不错啊，那几场哭戏好真实的感觉，唯一无语的是剧情和男主角            
(NA)	 冲着杨去的，为什么男主角不选择她啊？            
(4星)	 杨恭如的梅绛雪，我心中完美女性的代表。            
(3星)	 聂小凤 梅降雪.            
(3星)	 故事太……            
(5星)	 聂媚娘 聂小凤 梅绛雪 我崇拜你们            
(3星)	 好像没看全。记得里面的米雪、姜大卫、杨恭如，杨在里面很惊艳。小时候一直纠结于女主那么漂亮那么聪明，为毛男主就是要去喜欢那个傻呼呼的女二，导致现在都很讨厌那个男主。            
(5星)	 原来当年梅绛雪是杨恭如演的啊。。。当年是觉得绛雪这名字相当之好            
(3星)	 22集的版本，很多地方被剪掉了。            
(NA)	 一个女人最大的悲哀 就是她争了一辈子 那个男人还是不把你当回事            
(4星)	 杨恭如的梅绛雪。。。真是美啊。。。但是不能理解她对聂小凤的无情。。            
(4星)	 一家三代女子，爱情始终得不到回报。            
(NA)	 要不是重播都忘的一干二净了 还有个帅哥叫袁文杰 有个靓女叫龚慈恩            
(4星)	 亲切啊            
(3星)	 我都忘掉剧情了，我小时候看的。不过记得很清楚，就是所谓正道，往往只是伪君子。            
(NA)	 为什么男主不喜欢绛雪？            
(4星)	 四星，两星给聂小凤和罗玄，两星给龚慈恩和姜大卫。            
(4星)	 当年觉得杨恭如演的绛雪美极了。“他对我的心意我无法改变，可是我对他的心意是不会改变的。”            
(3星)	 既为聂小凤不值，更为梅绛雪不值。是不是男人真的不喜欢那般冰雪聪明又独立倔强的女人！            
(4星)	 看到时候年龄太小了，朦朦胧胧多年以后听到主题曲才又重新记起它            
(5星)	 梅MM是杨恭如除了孔慈外最美的一个角色，小凤的经历也让人同情，但这部里，除了小凤师兄之外，罗玄和那个和两姐妹纠缠不清的方渣渣都JP得令人冒火啊！这片子里的男的怎么都这么白类？            
(4星)	 我只想说一句——姜大卫好帅啊~~~！            
(4星)	 喜欢杨恭如的梅降雪~~            
(NA)	 罗玄与聂小凤。。。            
(5星)	 超爱梅降雪！！            
(NA)	 龚姐姐太有气质了            
(5星)	 里面的每一个女人都是一部传奇            
(5星)	 超喜欢绛雪，主题曲也很好听，虽然很不喜欢结局。            
(5星)	 当杨恭如手持玉笛一身白衣出现时，那就美到没话说            
(NA)	 杨恭如美貌的巅峰            
(3星)	 记得玄霜绛雪            
(4星)	 当年的杨恭如那个美啊            
(3星)	 如日中天的杨千桦            
(5星)	 凤舞九天，唯我独尊！            
(3星)	 看不下去，因为不喜欢杨恭如，很诡异吧，虽然很喜欢尊，可是还是没有耐心一直看下去            
(5星)	 有时觉得罗玄他是爱小凤的,只是爱小凤胜过爱他的名声.小凤用一生的时间去等待,追求,生生把心烧成灰烬,她的狠她的怨她的狂他的痴为的不过是罗玄的一句话么.            
(NA)	 灵蛇剑  无数次武侠幻想中有他            
(NA)	 故事不错，就是人设、表演太狗血了。            
(4星)	 很早前看的电视剧,那时候觉得很经典..姜大卫,杨恭如,米雪,袁文杰,个个都是很喜欢的..            
(4星)	 聂小凤！            
(4星)	 片头片尾曲好听，HC罗玄帅~~~            
(4星)	 由爱生恨，但是不能让这些作为做恶的理由。爱死陈天相。            
