http://movie.douban.com/subject/2239286/	宰相刘罗锅
(4星)	 开辫子戏、皇帝戏先河            
(3星)	 若干年前张国立老是演皇帝，不过当他遭遇了皇阿玛，马上就退位了~孰是攻孰是受一目了然哇~~~&gt;0&lt;            
(NA)	 经典！～古装～            
(4星)	 晚自习前看一集            
(4星)	 童年。★★★☆            
(5星)	 歌儿~            
(4星)	 这部剧总让我想起舅舅。还有村庄里凛冽的秋天的风。            
(5星)	 李保田            
(4星)	 好好笑。            
(4星)	 记得最清楚的是 片头曲完了有个印章 郑重其事地盖上 不是历史 好像其他历史剧就没这么办过 以至误人子弟            
(3星)	 老乡！            
(3星)	 哇，这个我也看过。。。            
(3星)	 经典            
(3星)	 就这个还记得一些   片尾的歌谣的声音记得可清楚.词忘了=  =            
(5星)	 电视剧的最大价值就是伤感            
(3星)	 小学时候看的            
(4星)	 记忆中是不错的            
(4星)	 那时候觉得邓婕乱有气质 唉 《红楼梦》后遗症            
(5星)	 经典的没话说了，李保田着实演技派            
(4星)	 小时候跟着爷爷一起看的            
(4星)	 片尾曲。            
(NA)	 很有趣            
(5星)	 真好看呀真好看~            
(3星)	 忘记光了  实在是太小了那时候            
(4星)	 现在再看张国立演皇帝有点怪怪的            
(4星)	 儿时的经典            
(4星)	 姥姥家的回忆            
(3星)	 放了几十遍吧？望天，纯粹被放烦了            
(NA)	 儿时很爱看。            
(5星)	 那时候天天看,反复看```            
(4星)	 以前每天都要和爹娘一起看的            
(3星)	 跟著爺爺看電視劇咯            
(5星)	 老乡            
(4星)	 小时候喜欢的            
(4星)	 真的是能撑船啊。            
(4星)	 想当年老爸居然还买了VCD～            
(5星)	 这个什么时候看都是经典，尤其是李丁老爷爷。            
(3星)	 铁桶江山。我老爹说那其实是解缙的传说……            
(NA)	 这片~            
(4星)	 当时还是看的挺带劲的...            
(5星)	 我就知道豆瓣会推荐这个。。            
(5星)	 李宝田演得好哇            
(5星)	 喜欢。            
(NA)	 幽默            
(5星)	 主题曲印象相当深刻。            
(3星)	 哈哈哈            
(4星)	 哈哈            
(NA)	 我爸爸喜欢的……            
(3星)	 里面的片头曲片尾曲记得不要太牢哦~~囧            
(5星)	 铁三角啊~            
(4星)	 小时候很喜欢看的剧。。。            
(5星)	 呃。我小时候的爱好真广泛。            
(4星)	 相比而言，不错。            
(NA)	 小时候最喜欢和姥姥一起看这部电视剧，然后吵着吃那个“超级大的芋头”，而且听上面的对白知道叫“离谱芋头”，妈妈买来才知道是荔浦芋头。。。。。。            
(3星)	 [昔日所看]            
(4星)	 那时张国立多年轻阿~            
(NA)	 我还记得里面有道菜是芋艿蘸糖，被他说的跟什么似的            
(NA)	 中国人。            
(NA)	 天地之间有秆秤，那秤砣是幌子            
(5星)	 灰常经典滴~~            
(5星)	 王刚是不是又演的和珅。。。            
(4星)	 很搞笑..不过王刚饰演的和珅是我看过的最像和珅的和珅！            
(4星)	 中国大陆            
(5星)	 有意思            
(5星)	 其实我很喜欢这部电视剧的，尤其是主题歌，唱的太形象了！            
(4星)	 我也忘了，但我记得我当时……            
(3星)	 天地之间有杆称~那称砣是老百姓~故事里的事~说是也是不是也是~~~            
(4星)	 还是爷爷喜欢看的，带领着我也看了下去            
(5星)	 当年看过的电视剧            
(3星)	 老了            
(5星)	 外婆家            
(3星)	 至少十年前了            
(NA)	 以前觉得挺逗的。现在偶尔还能在电视上看到它的身影。此时觉得那时的化妆确实不如现在自然。            
(NA)	 宰相刘罗锅            
(3星)	 经典            
(3星)	 智慧            
(5星)	 野史。精彩。            
(5星)	 “天地之间有杆秤”...对比起纪晓岚，还是喜欢刘罗锅~            
(5星)	 小时候的经典啊。。。。            
(3星)	 故事里的事说是不是也是,说不是也不是.....绕口令            
(NA)	 不是历史            
(5星)	 官场。            
(NA)	 王刚是和珅，和珅王刚，王刚是和珅，和珅是王刚？他俩到底谁是谁呢？            
(4星)	 我只记得皇上喜欢刘罗锅他媳妇= =！！！！！            
(4星)	 大概此剧开始，清宫剧开始泛滥，王刚开始了和珅专业户，李保田真的红了。“天地之间有杆秤，那秤砣是老百姓”。最后罗锅牵着毛驴回乡养老，孤身残影，弯着老腰回头恍然一笑。各种回味。。。            
(5星)	 天地之间有杆秤~            
(5星)	 真的灰常棒！！！！小时候暑假在家每天下午都能和姑姑姑父奶奶围成一圈看一下午的连续剧，这部就真的是很开心的追啊！可是刘罗锅为什么不见了，当乾隆皇帝还活跃在大屏幕上的时候。            
(3星)	 乾隆剧里最精彩就属刘罗锅智斗和珅啦~~！！好喜欢~~~            
(4星)	 儿时的记忆            
(4星)	 就记得送一桶生姜那个，一统江山。            
(5星)	 OHOHO            
(5星)	 天地之间有杆秤，那称砣就是老板姓~~~            
(NA)	 三四年级，那时候在老家。            
(3星)	 哈哈哈！            
(5星)	 我太喜欢刘罗锅的老丈人了            
(4星)	 特别喜欢那主题曲            
(4星)	 很好笑。。。            
(3星)	 儿了   我那时候觉得邓婕为什么非要和刘罗锅好            
(4星)	 小时候做完作业就是为了看这个！！！家里面还拿录像机录下来了！！！            
(5星)	 童年记忆  “天地之间有杆秤，那秤砣是老百姓。”            
(5星)	 90年代出了毛泽东热，还有复古潮。。            
(4星)	 很小的时候看吧            
(NA)	 现在还清楚记得在姑姑家看这个电视的情形= =            
(4星)	 我外公看的都快能背了= =            
(NA)	 【江山都被他给走散了】哈哈哈哈            
(NA)	 第一集有露点！第一集有露点！！            
(3星)	 各种贫~            
(5星)	 塑造了多少牛逼的人物！            
(5星)	 寒假里重看了一遍。今天来看讽刺性更强。            
(4星)	 怪微妙的。老相熟都知道我清史本命CP是个很附会很扭曲的CP，这片就是进一步被扭曲的点之一= =            
(5星)	 绝爱！！！！！！！！！冷幽默绝赞            
(3星)	 好像是我学龄前看的            
(NA)	 老少咸宜= =            
(5星)	 故事里的事            
(4星)	 我爸爸很喜欢看的电视剧。            
(4星)	 小时候都爱看            
(NA)	 哈，今儿怎么发现这个了，小时候老和奶奶看            
(5星)	None
(NA)	 还记得那首绕口令主题歌            
(4星)	 有一次童年记忆了，穿越了~            
(4星)	 经典！            
(4星)	 我怎么这么爱看啊 以后的这类剧 都是模仿刘罗锅哒            
(5星)	 当年万人空巷啊~            
(4星)	 天地~之间~有杆秤            
(4星)	 小时候超爱的~            
(3星)	 故事里的事...            
(5星)	 总是在看 但是从来没有看懂过.小的时候每年冬天晚上爸爸妈妈忙着他们的事情我就自己看这个等他们忙完来陪我.            
(4星)	 很喜欢              
(NA)	 这种片子电视上播时停下来看也别有一番感觉。            
(5星)	 都是实力派            
(5星)	 童年啊            
(NA)	 陪老爸看的            
(4星)	 小时候            
(4星)	 早期戏说搞笑古装剧里很不错的一部            
(4星)	 关于吃芋头 我真是印象深刻            
(4星)	 我只记得那个会动耳朵的人了～            
(4星)	 后来我一直不满纪晓岚坏我人生最初的CP啊……            
(3星)	 李保田确实不简单，有戏，总之            
(4星)	 超爱把芝麻酱当屎吃那一集。。。            
(4星)	 比现在的清宫戏强多了，不回避矛盾            
(NA)	 小时候~~            
(NA)	 天地之间有杆秤~            
(4星)	 好看，哈！            
(NA)	 2010-11-11            
(4星)	  喜剧 经典 野史             
(4星)	 呵呵，小时候看的            
(5星)	 还是小学时候看的 红烧狮子头~            
(4星)	 这可是我印象里第一部清朝剧            
(5星)	 喜欢李保田。            
(3星)	 那杆秤是老百姓            
(NA)	 到现在我奶奶还是每放必看……            
(4星)	 好久以前看的            
(4星)	 小时候爷爷给我讲了一个故事，故事里有好事也有坏事……故事里的事……            
(4星)	 好看~            
(4星)	 贫嘴先锋            
(4星)	 张国立邓婕都年轻            
(4星)	 疯疯癫癫的人其实不傻。            
(5星)	 很则劲额！            
(NA)	 看这部剧的那段时间，我姐姐班上有个小姑娘长得可清纯了，天天和我们一起玩，我最大的爱好就是听她清脆地唱天地之间有杆秤。。后来姐姐结婚的时候咱们还在婚礼上碰杯，女神就是女神永远让人家心里小鹿乱蹦。            
(4星)	 天地之间有杆称  故事里的事...            
(5星)	 最好的一部国产前朝片            
(NA)	 我为毛看过啊 我看了毛啊真是＝ ＝            
(3星)	 补充            
(4星)	 我喜欢和二            
(5星)	 这个赞            
(4星)	 到现在我还会唱片尾曲呢 天地之间有杆秤~~            
(5星)	 一个个人物都是经典。            
(4星)	 这种该被称为：中剧            
(4星)	 我记得那个荔浦芋头            
(3星)	 李保田是不是很久没演过戏了？            
(4星)	 小时候很喜欢看的            
(5星)	 王刚 老师            
(4星)	 天地之间有杆秤，那秤砣是老百姓...哈哈哈。我挺爱看的。耶             
(5星)	 童年最喜欢的三部剧之一。            
(4星)	 突然觉得电视剧还挺好玩得            
(5星)	 绝对的五星电视剧~            
(5星)	 那会儿肯定觉得这个好....也真正捧红了里面的三大铁三角...            
(4星)	 片尾曲记忆犹新            
(NA)	 荔浦芋頭換做修仁薯莨，有膽有識。            
(5星)	 利浦芋头!            
(5星)	 牛逼电视剧！            
(5星)	 利浦芋头            
(3星)	 毕竟曾经风靡一时过~            
(4星)	 六王:&#34;皇上圣明...&#34;            
(NA)	 天地之间有杆秤，那秤砣是老百姓            
(4星)	 2010.06.01            
(4星)	 小学时看过，哈哈，村子里的一个老爷爷长得好像刘罗锅。            
(4星)	 小时候超级喜欢的电视剧  真怀念            
(NA)	 看着郁闷的电视剧。。。算是隔靴搔痒吧            
(3星)	 记忆很稀薄了，只记得主题曲很好听            
(4星)	 经典            
(5星)	 小时候最爱的黄金档！！还有那首童谣真真是至今难忘呐   哪回有空再看一遍            
(NA)	 这个也忘了            
(4星)	 小时候看的。现在仍然记得片尾曲中出现的刘罗锅站在田里回眸的那幕：天地之间有杆秤，那秤砣是老百姓……            
(4星)	 和爷爷一起的记忆            
(2星)	 小时候就不待见。            
(NA)	 应该是幼儿园的时候跟着家里人一起看的吧.....就记得片头有句：天地之间有杆秤 那秤砣是老百姓            
(4星)	 只记得到有一集李保田喂那个家仆吃假的米田共，那娃吃的只有那么香了！我太恶趣味了。。。            
(NA)	 那时我还太小。。            
(4星)	 好玩的东东，当初每晚都看            
(5星)	 动耳朵            
(5星)	 就记得每天赶着看这个~刘墉比纪晓岚强啊。            
(5星)	 可好看了，荔浦芋头是什么东西。跟蜜蜂肚子似的～            
(3星)	 小时候我怎么那么爱看这个，啊印象最深的情节是这样的，一群赤裸少女被席子包着挨个儿送到皇上床上，当时我就想，这生活也太美好了，啊呦小时候怎么思想如此不纯洁            
(NA)	 当年全家一起看啊 那个主题曲什么老百姓心中有座秤？            
(4星)	 我对乾隆请刘罗锅和和珅吃满汉全席的那集印象比较深刻 刘罗锅让人把什么换成什么来着的~~·            
(4星)	 天地之间有杆秤，那秤砣是老百姓            
(4星)	 小时候啊~            
(4星)	 补录            
(5星)	 李保田的刘罗锅好鬼死经典啊！            
(5星)	 第一个让我懂得人格魅力的男主角。。            
(4星)	 小时候跟妈妈一起看            
(5星)	 秤杆子挑江山，说是就是不是也是            
(NA)	  张子恩 / 石零            
(5星)	 劝和珅上吊那是经典            
(NA)	 那秤砣是老百姓            
(3星)	 邓婕女扮男装，轻盈潇洒一把把刘墉扶上马那一幕印象太深啦            
(4星)	 7/10            
(3星)	 王刚就是那时候开始一直演和珅的吧...            
(4星)	 天地之间有杆秤，那秤砣是老百姓。说的真没错。            
(5星)	 真不错的。            
(4星)	 很小的时候看的            
(5星)	 童年。罗锅。才子。            
(3星)	 觉得比《金殿斗智》还是差了许多            
(4星)	 好小的时候看的了。挺经典的            
(5星)	 挺早的一部电视剧，当时相当的好。            
(NA)	 很经典的电视剧，我喜欢。            
(5星)	 当时特崇拜李保田            
(4星)	 呵呵，戏说~            
(NA)	 可爱..我就爱老头            
(NA)	 这两天，刚回味了一遍~            
(3星)	 断断续续得看啦            
(4星)	 从这部电视剧认识了李保田，也喜欢上了这个演员            
(5星)	 那是真正的百看不厌啊            
(4星)	 记得最后一集刺死刘罗锅的时候狂飙泪，但是，那尚方宝剑是断的。。。换我想死。。。            
(4星)	 属于那种老百姓喜闻乐见的电视剧吧。头头总是英明正确的，如果偶尔不那么英明正确，也是被少部分坏分子给误导的。            
(3星)	 李保田的刘罗锅印象深刻            
(3星)	 看的时候貌似很小            
(4星)	 当年觉得很不错            
(4星)	 这都好老的电视了，豆瓣猜里居然有            
(3星)	 股市里的事说是就是不是也是            
(4星)	 荔浦芋头~花生米~红豆泥~小炒肉~小时候看的，只剩下关于吃的记忆了            
(4星)	 小时候觉得很好看            
(4星)	 刘罗锅喜欢了好一阵子咧~~            
(NA)	 好老的回忆了            
(4星)	 小学2年级那会天天看。            
(NA)	 好看呢 嘎            
(3星)	 我爸那会老喜欢看了            
(3星)	 那时候的国民剧            
(3星)	 感觉不好            
(5星)	 不妨去读读《官场斗》            
(NA)	 张国立扮皇帝的戏  倒是基本上都看了            
(3星)	 1996            
(4星)	 看这个长大的……            
(4星)	 對李保田印象深刻            
(NA)	 瞄过 可以深入            
(4星)	 比起这部，后来的戏说历史的连续剧就是垃圾。            
(4星)	 过瘾，好看            
(5星)	 无尽清剧的开始～            
(5星)	 还不错~~~            
(2星)	 LONG LONG AGO            
(4星)	 伴君求生的智慧。有个吃屎的段子印象深刻。片尾曲很好听，象征了一段岁月。            
(4星)	 喜欢这里的主角            
(4星)	 三年级            
(3星)	 而且越往后越不爱看了，哈哈，歌词印象倒是很深。            
(4星)	 呵呵～很喜欢的说～            
(NA)	 曾经的经典、热点电视剧。为了探讨剧情发展，同学们甚至相互辩论、打赌……            
(3星)	 當初很在意為啥是“劉”羅鍋            
(3星)	 这不是历史            
(5星)	 清宫戏被拍烂的罪魁祸首            
(5星)	 国产戏说剧的经典鼻祖            
(3星)	 我爸天天看。            
(4星)	 小时候看的了，坐在奶奶的床上，离着电视机很近            
(4星)	 有劲 刘罗锅            
(4星)	 我小的时候MS每天都在看            
(4星)	 王刚版“和珅”一举成名            
(4星)	 MS初中的时候看过            
(4星)	 小时候超级喜欢~            
(3星)	 经典            
(5星)	 当时看的时候特喜欢结尾的歌            
(4星)	 经典。            
(4星)	 很聪明的刘罗锅~            
(3星)	 宰相刘罗锅            
(5星)	 你就是那定盘的心。            
(3星)	 小时候还真是通吃~ 什么都看·            
(5星)	 太帅了呢。            
(4星)	 我看过多少张国立夫妇的电视了，简直数不清了            
(5星)	 章程 刘安`            
(4星)	 。。。。我喜欢这个            
(5星)	 看多少遍都是经典~            
(4星)	 看过无数遍的一天晚上，电视里又要重播，年轻的我要睡觉了，可怜兮兮得对我爸说，明天早上你给我讲今天晚上都演了什么。            
(5星)	 天地之间有杆秤，那秤砣是老百姓。秤杆子哟，挑呀挑江山，你就是那秤砣的心。            
(4星)	 让我认识了李保田            
(4星)	 罗锅子～ 和珅演的挺好～            
(3星)	 小学跟老爸一起看的..            
(4星)	 难得会认真看一本大陆片 刘三本            
(5星)	 超喜欢看李丁装傻            
(2星)	 主题歌，都还记得吧            
(3星)	 补漏            
(5星)	 经典三巨头啊~            
(3星)	 宰相刘罗锅 大陆 喜剧 国产电视剧             
(5星)	 看到这个就想起我爷爷~~小时候跟爷爷一起看的            
(4星)	 歌很好听            
(5星)	 我心中最好的中国清装片，古装片，中国电视剧            
(5星)	 这都是经典 爷爷很喜欢的 哈哈            
(4星)	 爸爸爷爷            
(NA)	 记忆犹新的就是刘罗锅的动耳朵……            
(4星)	 故事里的事，说是就是不是也是，故事里的事，说不是就不是是也不是。。。            
(5星)	 牛            
(3星)	 还不错            
(5星)	 美好的童年啊。            
(3星)	 满有意思            
(4星)	 芋头~            
(4星)	 一家人的电视剧。。。            
(4星)	 这个四星是与国内水准比较。            
(4星)	 对片头曲那句：“天地之间有杆秤，那秤坨是老百姓。撑竿子呀挑呀挑江山，你就是那定盘的心。”印象深刻。。            
(4星)	 野史            
(4星)	 美好的童年 整部片有下滑感 结局没什么意思了            
(NA)	 恩 好看            
(NA)	 断断续续的看 挺喜欢李保田            
(5星)	 故事里的事 说是就是不是也是 故事里的事 说不是就不是是也不是。            
(4星)	 小時后看的，很好玩兒的說。            
(4星)	 几百年前看的了            
(5星)	 童年的陪伴，片尾曲尤其经典            
(5星)	 小时候的记忆~            
(5星)	 智慧            
(NA)	 小时候哦            
(NA)	 哈哈哈            
(5星)	 谁知道这个片子背后还有不为人知的事情？            
(NA)	 宰相刘罗锅            
(5星)	 由此喜欢上李保田            
(3星)	 刘罗锅到底多大，好像总是个老头            
(4星)	 后面就是狗尾续貂            
(4星)	 小学时候看的~对最后一集印象巨深的~            
(5星)	 就是从这里知道芋头是啥滴。。。            
(3星)	 儿时的记忆啊~            
(NA)	 好早的            
(4星)	 就记得住他这么一个古装片。。没了  李保田同志            
(4星)	 我电视剧生涯的启蒙之一            
(5星)	 喜欢李保田老师的表演            
(3星)	 李保田演技不错！            
(4星)	 挺幽默的            
(5星)	 李大叔很会演哦            
(4星)	 李保田很囧            
(3星)	 这个，应该是看完了的。            
(4星)	 就是这部剧让我喜欢王刚，他演的和绅太厉害了            
(NA)	 和我老爸一起看的            
(4星)	 很有意思的老片子            
(4星)	 我喜欢老刘，也喜欢李保田            
(NA)	 田地一之~间有赶秤嗯~ 那啊秤砣~是老白姓应~~            
(5星)	 这是一个时代人的集体美好回忆。            
(5星)	 超级搞笑~！            
(4星)	 那个时代的经典            
(4星)	 我妈喜欢~~~那个时候的张国立还真是年轻!!!            
(5星)	 当年的经典            
(5星)	 如果处于那样的年代，如果你我都深信金黄衣服那人就是天之子，如果你我都可成为那个罗锅，你我就知道了这罗锅的智慧、这罗锅的是非            
(NA)	 全家人一起看            
(4星)	 内地戏说的老祖宗            
(3星)	 都是以前看的片            
(5星)	 这部电视剧实在是太牛X，难以言喻。再过十年来看，还是不会过时。            
(4星)	 当时真的到处都在看            
(4星)	 李保田演的真好            
(5星)	 看多少遍都是经典的经典！！！！！            
(NA)	 应该看过的，不过就忘了（我很少会忘记看过的片子的）            
(4星)	 比较早的一部戏说，挺好的            
(5星)	  喜欢刘罗锅与和珅的政治智慧  都是人才啊            
(5星)	 喜欢 智慧            
(5星)	 很有深度的电视剧 很难得的            
(3星)	 张国立从此当上了皇帝专业户            
(4星)	 李保田到底不是和张国立王刚一路的。。。            
(5星)	 支持国产的！            
(4星)	 好久了，只记得很好看            
(4星)	 不错            
(5星)	 看多少遍都不会厌~~~            
(5星)	 幽默之中有深意            
(4星)	 小时候，小时候……            
(4星)	 学到了很多            
(4星)	 我还记得李保田动耳朵            
(5星)	 经典啊~太有才了~            
(4星)	 三四年前看            
(4星)	 故事很有意思^-^,演员的表演都是神的级别的.只要你认真看,就会觉得非常有收获。            
(4星)	 这一连串的开端            
(5星)	 那个,我耳朵也能动            
(4星)	 清朝戏好像就是从这部开始的            
(4星)	 虽然戏说历史，不过还是很好看的！轻松一下!            
(3星)	 谁人能没看过刘罗锅            
(5星)	 嬉笑怒骂，尽展世间百态。世态炎凉，伴君如伴虎，做人难啊，难得糊涂。            
(4星)	 是看着这个长大的。            
(4星)	 荔浦芋头            
(4星)	 7.5            
(4星)	 主题曲好听            
(3星)	 我不喜欢看，黑白年代，大人们当时爱看。天地之间有杆秤……            
(3星)	 太小的时候看，都没印象了            
(5星)	 那时候的和绅还没有开始卖萌。            
(3星)	 不喜欢看这种类型的            
(5星)	 绝对经典，是中国电视剧的一个奇迹啊            
(3星)	 苦了凤姐儿当您媳妇儿咯！            
(4星)	 故事里的事 说是就是不是是也不是            
(3星)	 现在想想 真是骗小孩的电视剧啊。。。            
(3星)	 大秤砣是老百姓。。。            
(4星)	 儿时回忆            
(5星)	 李保田的演技就算别人说他戏霸又如何，太棒了，刘墉的一生虽是戏说却将他演绎地酣畅淋漓，看多少遍都不会觉得腻，王刚和张国立的搭配也早已是注定的默契与成功；再看如今的官场，和那个时代也几乎没有差别了，只是剧中刘墉这样的两袖清风如今哪里去找啊            
(3星)	 看来我小时候很热衷电视剧。            
(5星)	 小时候大街小巷都会放这首歌，天地之间有杆秤，那秤砣是老百姓......这剧绝对值得力荐，虽然从现在看，画面是简陋了些，但是生动的人物形象，还是很值得一看的            
(3星)	 还是小学时候看的了            
(3星)	 我怎麼看了這麼多            
(4星)	 儿时回忆            
(3星)	 保田兄            
(5星)	 又是一代人的记忆啊。            
(5星)	 当年的万人空巷            
(5星)	 罗锅子            
(4星)	 小时候的回忆。            
(5星)	 所有有和珅的戏里最牛的一部            
(5星)	 很好看，小时候好爱看的。。故事里的事说是就是不是也是            
(4星)	 小时候全家一起看的，笑半死，哈哈哈。            
(4星)	 这个片名老被作为反面教材出历史题~            
(NA)	 小时候电视上天天放感觉。            
(4星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(4星)	 有杆秤——秤杆子呦，挑呀挑江山……            
(NA)	 李保田一定是超级实力派，嗯            
(5星)	 老爱看了，王刚老师的和珅太深入人心了，导致看任何文学作品和珅的带入形象都改变不了，其实也是很坑爹的            
(3星)	 @晕眩的猪             
(4星)	 睿智剧            
(NA)	 和老爸老妈一起看的家庭电视剧            
(NA)	 昨天我听爷爷讲了一个故事，故事里是那昨天的事，故事里有许多是是非非，故事里有许多非非是是            
(4星)	 音樂記憶深刻            
(3星)	 我的童年            
(5星)	 主题曲我会哦            
(NA)	 天地之间有杆秤，那秤砣是老百姓            
(4星)	 刘罗锅勒，和绅勒。            
(3星)	 小学的记忆            
(5星)	 犹记得很小的时候和外公外婆出去吃饭，外公的老友谈到这部剧，我张口就是字正腔圆的“故事就是故事……”，秒杀全桌爷爷奶奶，外公外婆特别骄傲。。再想到现在内向沉默的我，和在天堂的爷爷，泪都不知道该往哪里流。。            
(NA)	 四星。            
(3星)	 讲什么的 完全忘记了            
(4星)	 他把刘罗锅演活了。ＰＳ：故事里的事，谁是就是，不是也是；故事里的事，说不是就不是，是也不是。。。。            
(3星)	 这么多年过去了，回头再看这部电视，记忆最深的还是六王爷，总是喜欢跟皇上倚老卖老，装着自己听不见，还老喜欢说那句“皇上圣明”记得第一次看这个电视，六王爷喝酒一醉十几年的时候，还难过了好久            
(5星)	 李保田。童年的记忆。            
(5星)	None
(NA)	 现在还会唱主题曲            
(NA)	 小時候的記憶啊。。             
(5星)	 这都是童年啊！！            
(5星)	 李保田，王刚，张国立。他们才是铁三角            
(5星)	 这才是智慧智慧！ 刘宝瑞经典段子大家可以听听 不光娱乐也长知识。李保田其他的戏没什么感觉，就这部别人演都不合适 而且我觉得他和王刚也对手戏精彩程度绝对比什么纪晓岚铁三角强多了。            
(5星)	 精品            
