http://movie.douban.com/subject/2303257/	蒲公英
(NA)	干净
(4星)	都靓的一刚
(4星)	孙莉真的很美
(3星)	当年超爱剧中孙莉演绎的夏冰
(4星)	开头很美很耐人寻味，到后来就有点陷入拖沓和一味的不切实际。不过演员都很喜欢。
(3星)	我记得很久以前艺术频道貌似放过，不过那时没看全，感觉是个杯具，貌似胡歌第一次当男主的其实是这部剧吧，应该拍在仙剑之前，戴眼镜的造型让我一度幻想成手冢国光
(3星)	喜欢男二
(3星)	哪一个夏天看的吧，后来才知道是胡歌大二的第一部戏。在不认识他的状况下喜欢了袁弘。在你什么都没有的时候，会把最真的东西拿给别人看，这才是表演的初衷。谁会想得到那么多的后来呢。
(4星)	为了老袁咱也要给四星，汪博深好男人啊。
(4星)	是孙莉比较幸运遇上黄磊,还是黄磊比较好命遇见孙莉?我倾向于后者.
(NA)	第一部看老袁的戲，沒記住胡歌反而記住袁弘了...緣分天注定啊～
(4星)	关颖好看呀
(3星)	胡歌的第一部电视剧，那时候真的很青涩。
(2星)	剧情很没有说服力，看来导演不知道怎么展开故事，不管是孙莉和关颖的姐妹感应还是胡歌对这对姐妹的吸引力，都被导演很心虚的略过了，剩下的就是按部就班的流水账故事。所以这是一个很乏味的片子。但是，袁弘是很亮的亮点。这个人物真实可信而且形象鲜明，而且很惹人爱！
(2星)	不喜歡男主角，還有孫莉的角色雖然可憐但很不討好。
(3星)	先看的书
(NA)	怀念青涩胡
(3星)	博深多好啊！多好啊多好啊！……&gt;_&lt;
(3星)	吼!!!!前几年暑假煲的剧!!!如今忽然发现演员表里有好多熟悉的名字!!!!袁弘???关颖???????洪乙心(⊙o⊙)????????????????
(5星)	失忆的爱情
(4星)	今天才恍然发现剧里的帅锅男二是袁弘。。。就喜欢这样的男生啦。。。
(4星)	嫩胡嫩袁搅基的同时和孙莉缠缠绵绵 尼玛 我是三个人的脑残粉啊
(3星)	主角们都很好看。多年之后难以相信胡歌当年只有20就演了那么大的小孩的爸爸。。
(3星)	当初很喜欢这本书才去看的电视剧，孙莉演的很不错
(4星)	胡歌帅帅～
(5星)	我讨厌你
(NA)	太过悲情。。
(4星)	这个 一直断断续续的看 当时很喜欢胡歌
(5星)	真心喜欢这个剧，喜欢孙莉啊
(4星)	第一次认识胡歌和老袁呢~~   挺感人的
(NA)	孙莉好美啊（¯﹃¯）
(4星)	不错，很感人、
(3星)	很早的时候看的，印象不是很深了，挺喜欢胡歌和孙莉的
(NA)	剧看过一点。书很不错。
(5星)	挺小清新的，什么时候应该再看一遍。四个主演都好喜欢！
(NA)	没记错的话，是在初二时和我老姐，老妹一起挤在电视机前看的，呵呵，那个时候不懂得忧愁，像个傻子一样，单纯的活着
(3星)	好长时间了，记不清了
(4星)	当时好喜欢看来着~
(NA)	胡歌的处女作~
(5星)	大概是我最追求的舒服吧……
(4星)	青涩的胡歌和袁弘啊～程灏真是个理想型：阳光，有一技之长还有点坏幽默。唐人的电影电视总是不错，就算不是经典，起码也用心，不矫情。
(NA)	太古老了。。。
(4星)	孙莉很好看！
(5星)	很难忘的一部剧
(4星)	哎呀我去~~老袁和胡歌的第一部戏啊~~那个时候我就特爱老袁~~
(3星)	终于拖完了这部剧，真的要不是老袁老胡，我看不下去这戏，所有的女演员的戏基本都特别狗血..整部剧包括画面声音什么都还是比较粗糙（和清晰度无关）..看当年老袁老胡的表演觉得都特别青涩，但是也正是这样才透着可爱..不过，可能短期内不会看有他们俩在一起的戏了...我没有办法不想歪....
(4星)	剧情有点狗血，不过难得啊！
(3星)	为了看袁弘啊！！！喜欢。
(NA)	老里吧早的片了，恩。。。。
(5星)	天哪 这怎么会这么好看。。。。青葱老袁 但是 更爱。。。。T T
(4星)	很久前看的了，情节比较狗血，但是狗血的特别。那时候胡歌和袁弘还好嫩啊~
(4星)	完全是为了当初那本小说。
(4星)	看过小说
(NA)	完全忘了在演什么了。。。
(2星)	看不下去
(3星)	胡歌的现代装差点没认出来~~~听说还有袁弘，内个就实在回忆不起了。。
(3星)	胡歌明显在这部里面被搞得跟韩国人一样了啊！！！
(3星)	喜欢关颖，胡歌，结果收获了袁弘，，好帅。
(4星)	还是觉得孙莉应该选袁弘的！那时大家都很年轻啊~
(4星)	初中时看过的剧吧 一直跟人说起 没几个人看过 那时还不知道什么胡歌啊 什么的 很喜欢这部剧 却不喜欢这样的故事 两个失散多年的姐妹 爱上同一个人很难让人做选择啊 ..只知道人总是不能和最爱的在一起吧。。本来蛮幸福的剧给毁了...为什么没发现里面有袁弘呢~~？
(NA)	那个时候的胡同学和袁同学还是很萌的。。。十年。真伤不起啊。。。
(4星)	小时候因为孙莉在印象中留下了这部剧；一年前因为胡歌重新翻出了这部剧看了几集，发现老胡在里面青葱地不太让我受得了；现在因为袁弘翻出来继续看了下去，老袁果然没让我失望啊！博深多好啊！多好啊多好啊！即便如此，剧情还是,,,有点...看不下去。果然现在极其狗血的剧我都看不下去了么
(4星)	当年真心喜欢来着。喜欢孙莉来着。
(4星)	这样认识的胡歌
(NA)	啊呀呀，第一部胡歌，第一部袁弘
(3星)	胡歌在仙剑后看的，其实在仙剑前拍得。
(3星)	挺喜欢孙莉的~~
(3星)	看的时候只知道孙莉啊。。。
(5星)	曾经的大爱。
(4星)	看过胡歌的第一部戏呀~从这部开始喜欢孙莉~~
(5星)	上初中时候看得，喜欢胡歌
(4星)	很早之前看过的一部剧，喜欢片尾曲，静茹的《昨天》
(3星)	太早了 已经不记得情节了 只记得当年的胡歌一身的书卷气
(NA)	好早好早前看过 喜欢孙莉
(4星)	当年只喜欢孙莉，不知道胡歌，不知道袁弘，不知道关颖
(4星)	小时候觉得男主角不专一，现在看来真的是无奈。
(NA)	我居然看过这个
(5星)	我最喜欢的一部伦理剧。喜欢妹妹孙莉演的那个角色。
(3星)	两姐妹一老公。
(5星)	看过很久了 总的觉得还不错
(4星)	喜欢孙莉在这部戏里的表演，出彩
(3星)	青涩啊青涩
(NA)	貌似是看完仙一的时候看的吧……那个时候电视上有播……
(5星)	很久以前喜欢的一部剧 先是看的书 后来又重温了两遍 很喜欢剧中的夏冰和汪博深 现实中也喜欢这两个演员 这大概是胡歌拍的最早期的电视剧吧 很青涩的样子 另外剧中的片头曲一直都是我的最爱 可惜遍寻不着啊&gt;_&lt;
(4星)	很喜欢的一部电视剧
(4星)	大学时看的，当时还以为胡歌是台湾刚出道的新人呢，呵呵~果然时光飞快，一晃这么多年过去了~
(3星)	哈~居然看到這個~~還是高二時候迷上胡歌同學的李逍遙，於是偷偷看的~還買了小說呢!!可是書已經不記得借誰去哪兒了...再次證明，連續劇沒有小說好看~~
(4星)	终于知道这个电视剧叫蒲公英了~~ 静茹的昨天就是从这里听到的
(4星)	关颖很漂亮啊~~
(4星)	喜欢汪博深啊~~·
(4星)	当年那个嫩啊嫩啊。。一颗星给当年的胡歌和袁弘。。
(1星)	一直一直很讨厌讨厌孙莉
(4星)	大胡的处女作呢！还有老袁！故事一般性，几位演得不错，当年青涩但是有那股认真的劲儿！@Home
(5星)	胡歌无法超越的作品，所有人演技都一流，孙莉尤甚。
(3星)	记不起来了……就记得当时一直恨为什么胡歌没和孙莉在一起
(3星)	传说胡歌的出名之作，里面难得架着眼镜的胡歌有和仙剑里面完全不同的气质，多了几分书卷和儒雅的气质，倒是惊喜。。。剧情。。。其实没什么好说的。。。
(NA)	所有的结局都已写好所有的泪水都已启程却忽然忘了是怎么样的一个开始在那个古老的不再回来的夏日无论我如何的去追索年轻的你只如云影掠过而你微笑的面容极浅极淡逐渐隐没在日后的群岚遂翻开那发黄的扉页命运将它装订得极其拙劣含着泪  我一读再读却不得不承认青春是一本太仓促
(4星)	记得那首《昨天》
(2星)	在大连拍过
(3星)	好早好早的老胡和老袁
(3星)	剧很好看，袁大帅哥也很好看~
(3星)	突然发现我还看过此片，到底是初中还是高中呢？貌似我比较喜欢袁弘
(4星)	電視里介紹這部片子的時候就很想看 但一直沒有播  後來隔了很久之後才播出  裏面關穎雖然穿著質樸 仍然覺得很漂亮  很多年後才發現原來袁弘也有演這部片 
(3星)	胡歌第一部电视剧，也是除了仙剑一以外我觉得最好的一部。
(3星)	三八剧情 养眼阵容
(4星)	很早之前.
(3星)	很喜欢孙莉的长相
(3星)	一般般吧~~
(3星)	很早以前看过的电视剧。有点模糊的印象。喜欢剧中的角色吧。
(3星)	我很喜欢关颖来着
(2星)	小三的故事
(5星)	曾经很喜欢很喜欢，只因为那里面的坚强
(NA)	现在看依旧很感动~
(3星)	大胡的片子里 唯一一部让我喜欢男二号的
(3星)	我竟然又看完了。
(5星)	大家有机会要看啊
(4星)	超好看！！！
(3星)	当时肯定是冲着胡歌而去看的，但似乎剧情太一般了，以至于已经没很深的印象了。
(4星)	很早很早的时候看过
(4星)	其实很好看
(4星)	那个时候看这部片子是因为觉得关颖很女人，可是后来看了他的其他片子，都觉得比不上这一部。当时还没有仔细看袁弘，后来才知道那个人是袁弘，演得很俏皮……
(4星)	这部我竟然看过，很喜欢孙莉在里面的角色~
(4星)	孙莉
(3星)	雪好温柔。。。
(5星)	这剧本其实不错，两岸亲人为副题的。还有青涩的胡歌和孙莉是大亮点。但是胡老大的金丝发型悲剧了，青涩的感情戏比现在的要真实很多，大爱孙莉
(5星)	好久以前看过。
(4星)	只是觉得胡歌好帅，关颖好漂亮
(4星)	看这部片子从此喜欢孙莉。
(4星)	真实
(4星)	先看的小说　很难得不做作的大陆偶像剧　　我喜欢大连　然后现在在饭男二　他演的杨康灰常帅　
(4星)	n年之前看过。还不错的。
(4星)	以前看一直挺胡歌的，老是默念跟孙莉一起吧，可是现在越来越中意的却是老袁
(NA)	孙莉，我喜欢，(*^__^*) 嘻嘻……
(4星)	好几年前看过很喜欢。喜欢袁弘。
(4星)	这应该是第一次见到胡歌吧！
(3星)	好老
(4星)	挺朴实一剧。
(4星)	片尾曲大加分
(5星)	我很喜歡的一部戲~
(3星)	当时的胡歌真青涩
(3星)	桥段很俗套，但是拍出来的感觉还可以，胡歌的表现很好。
(4星)	整个剧情还蛮让人纠结的。胡歌很帅，梁静茹唱的片尾曲非常好听~
(4星)	孙莉很让人心疼，狗血的我很喜欢
(4星)	比韩剧更唯美的爱情~~~。
(5星)	嘿嘿~
(NA)	忘记是因为剧还是因为书了...记忆是一种很悬的东西
