http://movie.douban.com/subject/1453238/	海贼王 ワンピース
(5星)	 怀念以前看的漫画            
(1星)	 垃圾不解释            
(5星)	 热血！！！！！！            
(1星)	 女角太丑。画风太滥。剧情老套。人物没卖点。一部看了也就是浪费人生的低质动画劣片。            
(5星)	 很热血 称之为神作还早            
(4星)	 My youth my love!!            
(NA)	 哎哟,反正我高中看过一部的.            
(1星)	 垃圾            
(5星)	 没追完 大作追不完- -|||            
(3星)	 为了J看的。其实是不错的片子，可惜过了看的年龄了。            
(5星)	 亿万星！            
(5星)	 海贼王，我当定了！            
(3星)	 动画没法儿看            
(4星)	 我還是比較喜歡銀他媽.TT            
(3星)	 还是书好看，动画画得好烂不说，剧情改编的也烂透了，考虑下平衡性好不好。            
(4星)	 少有的高质量连载            
(4星)	 看到60集。那个时候看不下去了。不知道什么时候有时间再捡起来接着看。            
(4星)	 不用说也知道的吧？不过我还是很想念索隆了……他什么时候回来……草帽海贼团团聚了才更好玩啊……            
(NA)	 i like            
(5星)	 重温海贼王  经典399            
(5星)	 经典!!            
(5星)	 one  piece!            
(5星)	 仿佛人类共同的理想。            
(3星)	 。。。。给3星是因为它太拖拉了！！现在还米结局！！！！            
(5星)	 将近400集的动画 让我看了又看，真赞！            
(5星)	 永远的神作...            
(4星)	 就是太臭长了....            
(5星)	 有梦想有友情的人必看            
(4星)	 实在是很热血嗷嗷~~!            
(5星)	 真长            
(5星)	 啊啊啊啊啊啊啊!!!!!大家都來看OP            
(5星)	 骨子里面爱的动漫            
(5星)	 尾田荣一郎的神作            
(5星)	 充满坚定的梦想给人以希望和友情的温暖            
(4星)	 很多年了            
(NA)	 终极推荐            
(3星)	 ep35左右            
(5星)	 这个年代的长篇日本动画片目前为止只喜欢这一部．讲简单．开朗．努力．奋斗．            
(4星)	 我們在一起，始終。            
(5星)	 brand new world            
(5星)	 我的最爱            
(4星)	 长。。。            
(4星)	 碧海蓝天的光荣与梦想。            
(5星)	 太好了            
(4星)	 很难的不是凑集数的好作品，最爱路飞            
(5星)	 有了一个梦想,不管它真的是否存在,都会追逐它而去．．．            
(5星)	 很励志的伙伴情意            
(3星)	 太长，弃了永远不会醒来的美梦不是最美好的梦。            
(5星)	 TAT！哭死啊好吗！            
(5星)	 燃爆吧 艾斯请求你快点回来看你的哦多多。            
(1星)	 讨厌拖戏            
(5星)	 话说这个我竟然没有标记过            
(NA)	 趁年轻再热血一把            
(4星)	 说实在的 前100集真水啊 用我朋友的话说打一拳要回忆个一年。            
(5星)	 跟了5年，有生之年期待能看到结局~~~~            
(5星)	 你要是敢在我死之前都不完结 那 那 那可怎么办·            
(5星)	 或许应该抽空写个影评 感觉会喜欢这部的家伙会成为未来的伙伴呢！            
(5星)	 爱与勇气？~            
(5星)	 热血型，但是¥热血的让人上瘾            
(5星)	 进度ep.456。巅峰对决快点结束吧，我要看两年后！！没有zoro和sanji的OP很寂寞            
(5星)	 热血！            
(5星)	 海贼王剧场版10  酷毙了！            
(4星)	 太长了 没看完 在大不列颠村子里宅着看了一百多集 很。。。            
(5星)	 毕生最爱!!            
(5星)	 永远的经典啊!!我应该能活到尾田死的那天.,.            
(3星)	 慢慢追..            
(NA)	 喜欢MR.2            
(5星)	 最好看的动画!!!!从头到尾都没让人失望!火影和死神我好早就不追了。。。            
(5星)	 我羡慕的是路飞对人性所抱有的好感和信任。可以毫无保留的去相信一个人。            
(5星)	 史上最热血动漫 &gt; &lt;            
(5星)	 看海贼的人，是很需要耐心的~ 不要JJWW和我推荐火影，抱歉我没兴趣~            
(4星)	 民工漫            
(4星)	 看了才一百多也算看过点了...初中看的...记得那时候是茶不思饭不想啊...没给满星因为银他妈在我心中才是最高的            
(5星)	 让我们把性命绑在海贼船上吧！            
(5星)	 绝对经典~~            
(5星)	 到司法岛为止5星+            
(4星)	 到底不是粉丝 自己不会专门去看的 全都是哥哥弟弟聚会等到牛皮吹好 牌打到么劲 集体观看的            
(4星)	 就是太长了。。。            
(5星)	 痴迷。怎么搞笑的地方我都流泪了、。            
(5星)	 确实很好。搞笑。            
(5星)	 热血            
(5星)	 狂看200集之后 我被路飞身上的纯真严重感染了            
(5星)	 永远的海贼，一定要看的海贼，最最热血的漫画            
(NA)	 在室友影响下看过一部分......            
(5星)	 追啊追啊追,,,,不知道死的那天會不會出完~            
(5星)	 就是太长了            
(5星)	 史诗了都。。。            
(5星)	 杰作。            
(4星)	 太长……囧。            
(5星)	 其实很久没看了            
(5星)	 无敌了！！！            
(4星)	 6            
(4星)	 这剧，就是话实在太多了            
(5星)	 我的最爱，没有之一！！            
(5星)	 到现在也没搞明白 为什么会吸引我一直看下去            
(3星)	 大长篇之三            
(5星)	 以前有人对我说，你和妮可罗宾好像，遂去看了海贼王，还真是的            
(5星)	 爱死他们咯。做梦都梦见自己变成了海贼。- - 。            
(5星)	 我的青春            
(5星)	 梦想、伙伴            
(4星)	 路飞話“因为我系要成为海贼王噶人”            
(NA)	 曾经的记忆            
(5星)	 以后再接着补            
(5星)	 两个字神作            
(4星)	 这部动画真的是赞!秉着积极的主题..是不可多得的热血作品..还有它丰富的动画概念和构思,人物的饱满刻画与剧情发展紧紧相扣..如此全面丰满的动画,不被吸引才怪!            
(5星)	 喜欢路飞            
(5星)	 大笑也大哭。。喜欢每一个人。。            
(NA)	 还是被弟弟拖着看的            
(4星)	 罗宾酱~~            
(3星)	 好像不是我的菜            
(4星)	 主题歌巨好听            
(3星)	 热血            
(5星)	 男人的东西            
(5星)	 OP 貌似谁也跟风搞了个组合            
(3星)	 画得实在不称我的心            
(5星)	 OP是目前为止我唯一追看的            
(5星)	 神作            
(5星)	 我想作勇敢快乐的路飞            
(NA)	 ……我对不住它……            
(5星)	 没有什么漫画能超越他            
(5星)	 我的财宝吗？想要就给你。       没看完，好想有时间，有心情，有人一起看。            
(NA)	 额……好长啊，真的好长            
(5星)	 就指望这部漫画活着了。            
(5星)	 来吧来吧！出发去海上！            
(NA)	 堅持系靈異片  個個頭甘大            
(5星)	 虽然已经很久没看了。但对于那看过的100多集来说。还是很赞的。热血热血。。大爱-0-            
(4星)	 那几个大波妹不错             
(3星)	 橡皮啊...            
(NA)	 如果有来世，我一定要当一只贝壳，要是有洞真想钻进去。。出生在这个世上真是愧对大家。。            
(5星)	 经典            
(5星)	 有这个就可以了            
(4星)	 中文翻译太纠结！！            
(5星)	 慢慢的有西游记之嫌了。            
(4星)	 实在太长了，追不下去            
(5星)	 my bible            
(NA)	 持续关注哇咔咔            
(NA)	 赞!            
(5星)	 挺逗的            
(NA)	 超搞笑，喜欢            
(5星)	 又回归到这条道路上来了~            
(5星)	 我喜歡喬巴。            
(5星)	 我热血的时候让我很热血的热血之作            
(5星)	 梦想 远航            
(5星)	 我爱这个漫画里每一个人。            
(5星)	 幽默加热血加冒险。。。代表我们这一时代的动画            
(5星)	 无可厚非            
(4星)	 挺不错的            
(5星)	 最愛            
(NA)	 大热血片◎～            
(5星)	 追了这么久，喜欢每一个人。            
(5星)	 一切开始了            
(NA)	 哈哈忽忽不想多说／／／            
(3星)	 东映你敢再崩坏一点吗            
(5星)	 one piece是唯一一部我一直追着在看的日本动画，喜欢那样充满梦想与冒险的生活，真想成为luffy草帽海贼团的一员！哈哈～～不知道，动画会出到几百集呢。            
(5星)	 少年和热血永远与他们同在            
(5星)	 海贼王道            
(4星)	 热血 ！            
(NA)	 什么时候能结局啊            
(4星)	 越看越没劲。。。。            
(NA)	 我的最爱            
(5星)	 漫画和动画都好好笑            
(5星)	 我爱OP！！！            
(5星)	 在我的字典里，onepiece=友情+梦想。尽管有很多人说还有其他的，但这两点却是我始终看下去最实在的原因。 忘不了那些日子，他们给我了希望。再一句， 这是我目前看过最好的少年动漫了，搞笑和感动都拿捏得恰到好处~~~            
(5星)	 现在进行时的超神作            
(5星)	 我真希望它可以陪我走一辈子            
(5星)	 伟大航路            
(4星)	 香吉士和路飞我都很喜欢～            
(5星)	 看漫画时，便热泪            
(5星)	 个人认为比《火影忍者》更吸引人            
(5星)	 热血沸腾，真气乱窜            
(NA)	 尾田这孩子就是爱 飞 高            
(5星)	 最爱            
(NA)	 無漫畫咁好睇 同狐忍o岩o岩相反            
(5星)	 逻辑渣，人物动机极度幼稚，意淫无底线，主角光环闪瞎眼，强忍过前两百集，从水之都开始，终究还是被那生机勃勃的想象力征服。            
(4星)	 半路杀进来的表示追不动啊。。            
(NA)	 【1999-10-20】　至今未完结。             
(5星)	 老子是要把海贼看完的熊猫            
(5星)	 这个我竟然木有标记！不可棱！            
(5星)	 目前为止最喜欢香吉士，他最像法尔斯塔夫～            
(2星)	 看了一百多集，看不下去了，漫画还是留给十多岁的少年们吧~            
(4星)	 三大民工漫中唯一追到现在的，路飞还是非常值得看的！热血！            
(5星)	 重新定义动画片。热血卖萌。数度感动了我。路飞背nami找医生，和比比公主告别，艾斯和白胡子的过去，路飞，艾斯和爷爷的过去。也让我捧腹大笑，开party，女帝对路飞的痴心，各种卖萌！            
(5星)	 最爱的动漫之一。            
(5星)	 ONE PIECE是不可替代的，正如一切JUMP的漫画一样。            
(3星)	 民工漫啥的。。。。。。。。。            
(5星)	 全宇宙最好看最感人 爱勇气梦想纯真信任执着所有美好的词语都在这里             
(3星)	 106弃            
(NA)	 45            
(5星)	 相当给力的世界架构和人物设定！            
(4星)	None
(5星)	 我居然没有标过这条。。。。。(﹁&#34;﹁)             
(5星)	 天马行空的想象，至死不变的梦想，掰扯不断的友情，诠释出的三个字，海贼王~            
(5星)	 大爱            
(5星)	 神级动画。            
(5星)	 宇宙第一神漫.......没有之一......            
(5星)	 爱死了            
(4星)	 动画节奏一般吧，挺拖的            
(4星)	 正在看...            
(5星)	 是我喜欢的。类似于永远打不死的圣斗士星矢们。永远的希望和前进。            
(3星)	 身为民工漫之一我觉得可以收手了、、、            
(5星)	 40个G终于腾出来了 呼            
(3星)	 动画太差，完全没有漫画的感觉            
(5星)	 看得流眼泪。。。废话不说了。。。            
(5星)	 太长了啊。。。。            
(5星)	None
(5星)	 虽然很拖- - 但是没办法不去看 总之很爱OP~            
(2星)	 看到第68集“克比加油”，我忍不了看不下去了。只有三分之一时间能好好的讲故事，剩下的三分之二都在无耻的拖延时间，难怪能拍500多集还没完。我现在见识了什么是民漫，太过分了。。。另外，话说。。。Luffy的智商，真低啊。。。            
(5星)	 一种梦想的奋斗            
(5星)	 热血，给力，不解释。            
(5星)	 刚开始看！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 也许这是一部最好诠释伙伴一词的动漫            
(5星)	 力量果實很好吃            
(2星)	 再多人喜欢也不是我的菜            
(5星)	 哈哈~            
(5星)	 现实世界容不下简单执着的梦想。            
(4星)	 日本版的&#34;西游记&#34;            
(NA)	 像鲁夫一样乐观，乔巴那样简单，香吉士那样做出一手好菜，娜美一样爱财            
(5星)	 從頭看的人真傷不起啊。。。            
(5星)	 最爱             
(5星)	 有欢喜，有梦想，再大的困难都可以应对！伙伴，伙伴！            
(5星)	 哈哈。真的很好看！            
(3星)	 表示欣赏无能             
(5星)	 4颗半星            
(1星)	 人物很丑 有损儿童美学形成            
(5星)	 乔巴！！！乔巴！！！！乔巴！！！！！            
(NA)	 瓦咔咔。            
(3星)	 dropped 48            
(3星)	 与漫画漫相比差得远啊            
(4星)	 温情感人精彩绝伦。一旦拿起就放不下，不过一旦放下了……也就放下了。乔巴我的爱。            
(4星)	 为什么缺一星？？！！因为ACE死了！！！            
(3星)	 看不下去，弃了            
(5星)	 目前最爱的动漫            
(5星)	 从不齿到大爱。            
(5星)	 梦            
(3星)	 这太那神马拖了            
(3星)	 我果然看不下去            
(3星)	 哎==青儿迷得一塌糊涂            
(5星)	 动画做得很细致，配乐也很讲究。很注重细节            
(5星)	 我又加入等更新一族了- -            
(5星)	 最爱香吉和索隆            
(5星)	 不看海贼的火影不是好死神            
(2星)	 不是一般拖剧情。            
(3星)	 弃【鉴于还没有看完，先打个4星呗            
(1星)	 垃圾            
(4星)	 好长好长好长········看到后面就不想看了，还是喜欢真人演的东西            
(3星)	 热血无爱者飘过～～～            
(NA)	 无感            
(4星)	 下一百次决心看完  一百次都失败  追不下去了            
(4星)	 在追到最新一集的那一刹那 我犹如海贼王附体             
(5星)	 爱、友情、成长            
(4星)	 430的mark /（是银他妈中毒太深导致我没发现此片的美么？！！！            
(5星)	 哎 日本历史上唯一能跟龙珠相提并论的热血动漫...            
(NA)	 弃····    我想我跟不上这缓慢的进度 还是漫画这种可控速度的适合我            
(5星)	 牛逼片，我现在才开始追。。。。。            
(5星)	 看了他，决定和船长一起当海盗            
(5星)	 突破300集纪念一下！草帽小子一伙自从上了司法岛 已经把我看哭4次了.....555555555 ~~~~~~最完美的热血动画！            
(5星)	 我最爱的动漫之一！嗷嗷` 有生之年一定要等到完结啊~~！            
(4星)	 不行了 = =            
(3星)	 不是我的菜            
(5星)	 路飞路飞路飞            
(3星)	 不给力，看了12集，不想看了~            
(5星)	 好像是有了太多剧透搞得我都没法爱上            
(5星)	 姑娘我也有少年英雄梦想。            
(5星)	 不再追动画了            
(3星)	 还在看……            
(5星)	 特别的喜欢画风和色彩            
(5星)	 sanji!!!!!!!!!!!!!!!!!!!!!            
(4星)	 又狗血又彪悍 泪流满面吧火红的太阳正冉冉升起！！            
(4星)	 喜欢这样时不时犯傻一下的搞笑。控娜美哦，有女人味，又很有勇气！            
(5星)	 什么是青春  青春就是友情 和热血            
(NA)	 最爱            
(5星)	 我没有追动漫的潜质T T            
(5星)	 纯粹的力量！            
(5星)	 補得好辛苦~            
(5星)	 果然不是盖的~            
(3星)	 少年热血漫都一个样            
(4星)	 个人看不下去 但是画的好            
(NA)	 神作，不解释            
(5星)	 乔巴你敢不敢不那么可爱？大爱育江~喜欢Mr.2 人妖冯·克雷 麦ちゃん～ごめんね～泪奔~            
(5星)	 罗宾酱 御姐极致！            
(5星)	 史上最强动漫            
(5星)	 超越龙珠            
(3星)	 太慢了 還是漫畫書過癮            
(5星)	 海贼最高因为是和so sun一起看的            
(5星)	 男女皆宜，老少通吃，唯一翘首以盼的连载            
(5星)	 罗宾是俺的挚爱！            
(5星)	 自信打不死的心态活到老~！纯粹、信仰、自由和爱！            
(5星)	 虽然跟漫画相比，动画显得渣了点，但是绝对不能不看啊，如果不看动画，怎么听得到宾客斯的美酒呢？怎么听得到哉叔的zoro大人呢，怎么听得到乔巴的萌音呢？怎么听得到虎叔卖萌呢【诶？】怎么听得到罗宾的女王音呢？还有hentai我也好喜欢你啊！！CAST好棒！爱你们！！            
(5星)	 追了很久了。            
(5星)	 路飞，我一看到他就想笑。最近在看标题补想看的剧情            
(5星)	 非常 非常 非常爱            
(4星)	 有点拖            
(5星)	 坚毅的灵魂，看得热血沸腾            
(5星)	 四百多集了，应该能算看过了吧。应该会有它完结的那天吧。            
(5星)	 就是太长了点            
(5星)	 好吧 我爱。。。            
(5星)	 我唯一还在有看的动漫之一。。~~            
(5星)	 T T            
(NA)	 热血！！            
(5星)	 OP!!!            
(4星)	 挺有意思            
(5星)	 无敌了            
(5星)	 没啥说的，去当海贼吧。            
(5星)	 现在居然只能看进去op了            
(5星)	 日本动画中最喜欢的一部。            
(5星)	 有的时候，你会发现当你什么都没有了，至少还有海贼王，让你有勇气继续走下去。            
(5星)	 那些年少青春无惧的交付和情感，也许就是你们教给我的。friends            
(5星)	 A529C651            
(5星)	 尾田。。。。。路飞叫你出来给他无敌霸王气了~~~            
(5星)	 追了七年，爱了七年            
(5星)	 看过之后,其实画风也不是那么不能接受            
(5星)	 赞！还没看完~继续努力            
(5星)	 前7话不完全观后感：这是一个有关梦想和诺言的故事。//过200话了，开始司法岛冒险！//300话了，不容易啊，mark一记。拯救罗宾进行时！//325话，暂告一个段落。//开始一周追一集的日子……//452话马克//458话马克//523            
(4星)	 热血漫画...被人笑又如何,我还是喜欢活在长不到的世界里...            
(3星)	 实在看不下去了            
(NA)	 感动于那些羁绊中            
(NA)	 你们不看 我不跟你们玩            
(4星)	 热血动漫            
(5星)	 为了ONE PIECE 扬起风帆 远航深海 大神们 TEAM            
(5星)	 19年的语文修养竟然找不到任何一个词来表示我对这部作品的感情。            
(5星)	 经典不需要理由            
(5星)	 看过最好的动漫，故事已经超越的动漫，可以和小说媲美，画面始终的高质量，卷首也是充满了特色～            
(5星)	 喜欢路飞            
(5星)	 我亲爱的路飞，            
(5星)	 受不了热血            
(NA)	 看一辈子            
(4星)	 搞笑～            
(5星)	 能让人哭能让人笑能让人镇定能让人沸腾。可是每个角色给予的又不仅仅是这些。有些灵魂的东西，也掺杂在其中。每个看过海贼的人，多少都会对过去，对现在，对未来，有写感悟的吧。            
(5星)	 大爱.            
(4星)	 好拖！            
(5星)	 已经到417，继续每周追看！！            
(5星)	 One piece！for our dream            
(5星)	 热血海贼            
(5星)	 彼此信任            
(NA)	 追了一半 有空继续            
(5星)	 我的最爱。。。            
(3星)	 460/581话            
(5星)	 响当当地看掉一个暑假            
(3星)	 漫画原作始终强太多...长篇动画连载难免有苦衷...            
(5星)	 不错！            
(5星)	 好搞笑啊。原来这么好玩的啊哈哈哈哈哈哈。对柯南太专情都忽略别的了            
(5星)	 我的热血啊！！            
(4星)	 号称是最热血的少年漫            
(5星)	 每到夏天，OP魂就会自动燃起            
(4星)	 其实它不错，但我貌似不太来电.            
(3星)	 还行吧            
(5星)	 最爱..            
(4星)	 漫画5星，动画恶心。            
(5星)	 实在没有心力追下去了。等哪天没事情做的时候，攒一块儿看吧。            
(5星)	 毋庸置疑的神作。同学们，你们的热血呢？！            
(5星)	 看完421。            
(5星)	 一场打斗好几十集啊~~每场都有鼻涕~~            
(5星)	 乔巴~你能再可爱点吗再可爱点吗            
(5星)	 很好看的成长动画            
(3星)	 年龄大了。。。。这种热血的。。。接受不了了。。。            
(5星)	 \(≧▽≦)/            
(5星)	 十年后，我们一起喝茶聊OP，約束だよ！            
(5星)	 有点拖沓 冗长 赘述！！！！            
(5星)	 大大大大大爱吖,,            
(5星)	 不喜欢是不可能的！            
(5星)	 又开始想看了            
(NA)	 看了380多,咱无力追了            
(5星)	 海贼就是比火影好看。            
(5星)	 果然还是日本的动漫好看~就算没有帅哥也是那么好看~(*^__^*) ~            
(5星)	 路飞永远都是那么宽心            
(5星)	 爱它吧            
(5星)	 可惜前后风格不统一~            
(5星)	 海贼王，正如一杯茶，耐着性子，才能品出它的好。关于热血。            
(4星)	 少一星是因为它太长了            
(5星)	 梦想、活力、不离不弃的铁哥们            
(3星)	 我真的决定挺一般的。。为啥那么多人喜欢            
(5星)	 大爱啊            
(5星)	 我只是先看的剧场版，然后用一个星期时间追完400集，现在真是后悔看得那么快.....            
(5星)	 海贼王，武装起来！！！（阿咧？）            
(NA)	 one piece还用多说吗?            
(4星)	 看了300集。。没有继续            
(5星)	 爱啊爱~~~~            
(5星)	 ！！！！！            
(5星)	 高中时候的事            
(5星)	 收集恶魔果实的说            
(2星)	 鼓足勇气好多次，115EP弃            
(NA)	 我无条件喜欢佐罗和香吉士。路飞的精神则是我想要而不可及的。            
(5星)	 神作！其实每个人心入面，都有一个海贼            
(5星)	 感动？励志？伙伴？总之就是最喜欢            
(NA)	 GOOD            
(5星)	 梦想！朋友！自由！未来！怎么可以不在乎？！怎么可以不去追逐？！            
(5星)	 等完结了再看吧。。            
(5星)	 永远的路飞            
(5星)	 “那就是我的夢想，我就是要成為海賊王的男人！”這就是路飛。            
(NA)	 因为你才看。后来就一直看。            
(5星)	 我不是圣斗士五小强，不是打不死的海贼，还是老老实实做哥哥吧            
(5星)	 为什么那么长？为什么不全出完？            
(5星)	 有很多人我都很喜欢很励志很激励我一直在追也会一直追下去我爱海贼王            
(5星)	 飙泪动画。【 就算我死掉，我的伙伴，也一个都不会给你的！】            
(4星)	 如果没有过分的励志主题，会更好            
(5星)	 这部要打六星！！！            
(5星)	 友情.夢想.偉大的航道...是男的這東西必看...            
(5星)	 喜欢啊。            
(5星)	 动漫无与它比            
(5星)	 有六分的话我会打六分            
(5星)	 前一段时间很喜欢看。现在都没有什么兴趣了。觉得画的嘴巴都很大啊。路飞的橡胶身体真的很奇异。勇敢的追逐梦想。我也应该这样吧。即使那个梦想多么不可思议。遥不可及。可是路飞还是成功了。ONE PIECE就在伟大航路的尽头。那我的梦想呢？那一定就要努力的尽头。ADD OIL!            
(5星)	 精神很强大，台词也不错，我至今最爱86集            
(5星)	 少年漫画中很不错的了            
(5星)	 伙伴。梦想。            
(5星)	 叹为观止。            
(5星)	 很让人心潮澎湃的，            
(4星)	 暑假。。。暑假。。。现在没了。。。            
(5星)	 热血的海盗历险            
(4星)	 都是攒个100集再看            
(5星)	 每當我看海賊還能熱淚盈眶的時候，我覺得自己還保有夢想。            
(5星)	 丰富的想象力和历险故事。可惜190集后的套路单一            
(5星)	 sanji kun~            
(5星)	 我真的哭了无数次。            
(5星)	 热血！梦想！冒险！友情！这才是真正的少年漫画啊！这才是JUMP的代表！            
(NA)	 热血！            
(4星)	 http://www.imdb.com/title/tt0388629/            
(5星)	 每个人都有一个“海贼王”的梦想吧            
(NA)	 476            
(3星)	 前面看了蠻多的，後來就不知道爲什麽不看了。蘿蔔青菜各有所愛。            
(5星)	 一个月出4话,一年才50话有完没完啊            
(5星)	 在濒临堕落边缘的高中生活拉了我一把，让我重新有了梦想。            
(5星)	 你，是我的伙伴~~            
(5星)	 海贼王出一辈子 我就追一辈子            
(5星)	 如果可能的话我都想给6星            
(5星)	 不能打六星。。            
(5星)	 很帅啊啊~            
(5星)	 anime的最爱，moe！            
(5星)	 集英社TV版我全弃了,追漫画,昂!!            
(NA)	 几好看，但好长啊            
(5星)	 制作组的想象力很让人佩服            
(NA)	 热血……            
(4星)	 路飞，很多人都跟他一样的拼搏，朝着自己的梦想            
(4星)	 融合了多种情感            
(NA)	 第二次热血             
(4星)	 想象力就是一切            
(5星)	 伟大的漫画            
(5星)	 2000 本港台            
(NA)	 大爱的op            
(NA)	 简略不简单的线条 直白不直接的叙述方式            
(4星)	 不是还没完吗？            
(5星)	 非常好            
(5星)	 好吧终于赶上进度了             
(4星)	 继续奋战中``            
(5星)	  超级大坑...进去的基本都出不来了~~     尾田,你可千万要有良心啊            
(4星)	 不同于火影的热血，不错开始也看不下去，后来却盼着看            
(5星)	 经典的人物设计            
(NA)	 我的最爱            
(5星)	 我的爱            
(NA)	 最爱            
(5星)	 好看呐！！！            
(3星)	 动画比漫画差多了            
(5星)	 标准的热血少年漫             
(5星)	 我一直喜欢One Piece 这个名字，其实构思很不错但是故事情节真的很。。。- -b            
(5星)	 喜欢香吉士！！漂亮的踢腿吖~~            
(4星)	 ,,            
(NA)	 海贼王            
(5星)	 尾田大神。            
(5星)	 很热血,很有爱,很好!            
(4星)	 彪悍的人生才NB。只是不知如此热血。除了在路上，该如何结束。            
(4星)	 看了几集            
(5星)	 monkey            
(5星)	 喜欢啊 不过太长了 最近看得有点审美疲劳 休息一阵再看            
(5星)	 forever memory            
(4星)	 那大厨太逗了，哈哈哈。            
(NA)	 非常喜欢的电视剧卡通            
(5星)	 梦想是没有尽头的……            
(5星)	 開始不是很吸引人..慢慢都會看都着迷.不能自拔.            
(5星)	 真的是最喜欢的漫画了吧            
(5星)	 我想成为NICO ROBIN            
(4星)	 去吧 我的儿子 我对这傻气十足的动画很有爱            
(5星)	 最爱!            
(5星)	 当生活失去乐趣、人生失去梦想与动力的时候，来看ONE PIECE 吧！            
(5星)	 不用说什么了，太经典了……            
(NA)	 最爱ONE PIECE~            
(5星)	 追 追 追            
(5星)	 最喜欢的动漫····            
(5星)	 我爱路飞            
(3星)	 热到不行的片 偶硬是没看下去              
(5星)	 终我一生也不会看到像luffy那样自由的人了 而且也不会再那么喜欢一个人了萨博的配音到底是鸣人还是龙马啊？497艾斯一定喜欢温柔的女人，他脸红了～看到505才真的觉得艾斯死掉了啊，哭            
(5星)	 OP是真的很棒  我喜欢整部的色彩感 以及耐人寻味的日式人生小哲理            
(NA)	 动画             
(3星)	 太长~~太托~~            
(5星)	 挚爱            
(5星)	 看过20卷漫画，虽然也是个超级大坑，不过也的确是个激奋人心的好热血            
(1星)	 作为漫画家来说，画功并不优于其他的作家，但是若从叙述故事的角度评价，则成为了九流。故事中经历过几次大场面，结果作者没有一次能成功的描述出来。而如今的故事也变得平庸，毫无离奇，基本脱离了海洋，已经谈不上海盗这个主题了。            
(5星)	 灵            
