http://movie.douban.com/subject/2229482/	拿什么拯救你，我的爱人
(5星)	 看完我才明白为什么别人用“他站在那里就是龙小羽”来赞刘烨演技纯熟，也更懂得为什么罗晶晶爱他爱得死去活来。他明亮清澈的眼神会让你看着就心疼，即使知道他是杀人犯也会不计后果的爱他。绍兴水城很美，真是让人欲罢不能的一段感情啊。            
(3星)	 结局太坑爹了！刘烨一如既往的猥琐！            
(5星)	 重温了《拿什么拯救》，还是那么好看。还是很爱很爱韩丁，当年初出茅庐演技使劲但到位。还是总是被龙小羽眼神的忧郁所迷魂了是否他已罪恶，他是个得天独厚的演员。还是觉得罗晶晶比新版的看上去让人怜惜，未被大家熟知前的程瑶很是自然大气。韩丁说，你不是不会这样爱，只是因为你没有遇到。点头推荐。            
(3星)	 那时候的刘烨帅的让人流口水啊....            
(5星)	 不知道是刘烨本生的气质，还是演的好，反正我觉得是绝了，还有那首片尾曲《我需要你》很有感觉            
(4星)	 当时能看下来完全是因为刘烨彪悍的演技！过目不忘，10年我都还想得起刘烨演的那个角色叫龙小羽！            
(NA)	 经典的电视剧，最近又看了一次，准备看新版的了。            
(4星)	 电视台在重播。海岩最好的一部剧            
(3星)	 海岩有那么不堪吗？我觉得人家既然敢歌颂真善美，我就敢接着            
(4星)	 我的刘烨当年多纯啊。            
(5星)	 从这个时候开始西环海岩的            
(4星)	 刘烨超帅，他俩很陪            
(5星)	 此片让我喜欢上刘烨，永远忘不了片中龙小羽那双苦难深重又极度渴望的双眼            
(3星)	 刘烨倒是不错            
(4星)	 罗晶晶和韩丁都是那样子。但是刘烨的脸太熟了。（看书的时候急死我了我喜欢韩丁啊）            
(4星)	 我的爱人，我拯救不了你，            
(3星)	 其实 刘烨是个很帅的男人            
(4星)	 不记得什么时候看的，当时很喜欢刘烨。。。            
(3星)	 那时候的刘烨啊....唉....            
(5星)	 印小天萎了~！            
(NA)	 我怎么看过这么多电视剧!!            
(5星)	 海岩的就最喜欢这部了~            
(3星)	 尝过饥饿滋味的人和没挨过饿的人是不一样的。            
(NA)	 又是一张千年僵尸脸。            
(4星)	 那时就觉得怎么会有那么好看的电视剧。            
(4星)	 可以的！            
(4星)	 凤凰            
(4星)	 爱就是这样吧,感性,无法说得通.你的选择可以是理性的,但那与爱无关.很佩服那些坚持自己情感的人,放下一切跟从内心...勇敢的人生选择.            
(3星)	 败笔在于选了于娜，毫无演技            
(3星)	 可能，书要好看得多。            
(3星)	 因为这片喜欢上闷骚的刘烨了我日...            
(NA)	 其实这故事真的很扯淡。            
(NA)	 女主角的演技好差啊            
(3星)	 律的记忆~我因此喜欢了刘烨的样子            
(3星)	 诡异的那个夏天            
(3星)	 就是为了看刘烨才看的            
(5星)	 我全部看完的电视剧啊，于娜那时候多漂亮            
(3星)	 小说我也看了，刘烨的那种感觉太神了，差点爱上他，就是讨厌罗晶晶            
(4星)	 我爱刘烨            
(5星)	  刘烨 脱衣服好帅            
(5星)	 最好的海岩剧~            
(2星)	 呸呸呸 就因为于娜 毁了刘烨 毁了海岩            
(4星)	 我就是喜欢刘烨。。whatever            
(3星)	 对其主角关系无语了。。一个比一个犯贱。            
(NA)	 印小天，于娜，演技不是一般差劲，刘烨怎么更这样的人合作，糟蹋了海岩剧本，真是            
(4星)	 超爱里面印小天这个角色，简直是我的理想情人            
(3星)	 于娜演得真爛~~            
(3星)	 拍这个片子的时候于娜还是个花瓶，现在她进步很多，有大陆林志玲的感觉，说话蛮嗲的，人也越看越经看            
(5星)	 只为刘烨            
(5星)	 看的第一部海岩剧            
(2星)	 这部海岩剧算是比较差的，冲着印小天才勉强看完。            
(2星)	 作了点            
(3星)	 一通胡扯，有点意思            
(NA)	 老早看的了。。。刘烨，是喜欢的类型。。            
(4星)	 只记得于娜那浅浅的一笑……            
(4星)	 跟我亲爱的妈妈一起看的...一切玄妙而支离破碎...            
(4星)	 爱情中没有对错之分，虽然觉得韩丁如此付出相当傻×，但可惜在同样情况下我们未必就能做的比他好            
(4星)	 亲爱的小烨烨。亲爱的龙小羽。            
(NA)	 刘烨 。 刘烨 。            
(3星)	 刘烨在里面我的印象不深。            
(3星)	 现在想起来这部戏可真是纠结……另外就是我不大能理解龙小羽这个人物            
(3星)	 女演员很傻            
(4星)	 呃……我看了这么多国产连续剧呃~            
(4星)	 早点看的话，或许就不会对律师这个行业充满那么多的期待了...            
(5星)	 这是我最喜欢的一部海岩作品，三个人物，我都偏爱，罗晶晶，龙小羽，韩丁。            
(3星)	 完整的看过，不止一遍。            
(4星)	 只记得一集，刘烨吃雪糕。只记得一集，你再要我一次吧。            
(3星)	 看的过程中发现是在杭州取景。            
(5星)	 印小天和刘烨实在是太帅了，故事也好            
(3星)	 围绕一个女人的死。。            
(NA)	 大爱。            
(4星)	 喜欢韩丁喜欢的不行！            
(3星)	 第一次看到刘烨,眼前一亮            
(4星)	 因为刘烨。所以是4颗星。            
(3星)	 不知道这个罗晶晶演的哪里好，当真那么多人激赏？            
(4星)	 于娜很花瓶。            
(5星)	 印小天在里面,好得一塌糊涂            
(3星)	 很好看。            
(NA)	 恩            
(2星)	 不喜欢海岩            
(4星)	 我的刘烨，帅呀……            
(4星)	 忘记当时为什么很喜欢            
(5星)	 妈的，我就是觉得特凄婉！悲惨的爱情和悲惨的爱人！            
(4星)	 第一次看到刘烨就是在这里            
(NA)	 我挺喜欢刘烨的            
(4星)	 没看完            
(4星)	 男一女一不会演戏，幸好有刘烨。            
(4星)	 至今还很喜欢，却不知道为什么            
(4星)	 看上了龙小羽,看上了刘烨            
(NA)	 拿什么整死你，我的爱人            
(3星)	 结局不详            
(4星)	 刘烨的演技真的是没话说。            
(5星)	 你们这些打低分的怎么会懂剧中的情感  虽然那只是虚构的剧情            
(5星)	 睇了N次，海岩真喺好掂。第一次演戏的主角们，拍得好，影得好。就这样爱上刘烨了。            
(3星)	 剧情有点过分纠结，但还是很能把现实的一面表现在偶像剧中，这点不错；片尾曲挺好听的            
(NA)	 看完之后忧桑了好几天好咩╮(╯-╰)╭             
(NA)	 于娜太愣了= =            
(3星)	 很早了~~            
(NA)	 因为这部电视剧知道刘烨，也渐渐喜欢他的演技。            
(4星)	 为了印小天的娃娃脸            
(4星)	 本色的刘烨，无论他演什么脑海里总会浮现龙小羽的影像~            
(NA)	 小猴受不了这种悲惨剧情的            
(5星)	 不管怎么评价祝死萍，我就是反感她。            
(3星)	 忘了            
(5星)	 就记着当时在家看最后一集的时候哭得得瑟得瑟的            
(4星)	 拿什么拯救你 成了 刘烨~建议可以翻拍成电影            
(4星)	 最喜欢这里面的刘烨            
(4星)	 别让人知道我喜欢祝四萍。。。            
(NA)	 不知道为什么 很讨厌这部戏诶            
(4星)	 喜欢刘烨的长相 和某个人很像            
(4星)	 我爱你啊，刘烨！就从这部开始。。            
(4星)	 人一比起来,..挨过饿与没挨过饿的人心理上一辈子都是不一样的,龙小羽有他的无奈与伤痛,但我不喜欢他,因为在他简单纯朴的外表下隐藏着虚伪...            
(5星)	 妈的，好喜欢女主角，腰细腿长什么的            
(5星)	 这是一部很好的连续剧，刘烨演的很传神，让我们多次无比同情他，现实生活中穷人的那种压抑的生活被表现的淋漓尽致，全片是给人很压抑的感觉。            
(4星)	 还是原版好            
(NA)	 刘烨~            
(5星)	 看到新海岩剧，忍不住再看老剧，刘烨啊刘烨...            
(5星)	 刘烨啊            
(4星)	 为刘烨的小羽            
(4星)	 我更喜欢刘烨演的龙小羽 可是我喜欢新版里的晶晶            
(3星)	 多年过去 我已不太记得内容了 但是那种爱却很深刻            
(4星)	None
(4星)	 我对海岩和赵宝刚有信心！            
(4星)	 刘烨版的龙小羽很棒，令人同情！            
(NA)	 还是老版的好看多了            
(4星)	 龙小羽和罗晶晶美丽虚幻的爱情 韩丁和罗晶晶彼此依存的爱情 祝四萍和龙小羽宁为玉碎的爱情 三段始终纠缠的爱情注定走向毁灭            
(4星)	 当年很爱看            
(3星)	 印小天怎么没大红            
(5星)	 老片子，五星，最爱。最爱印小天。            
(3星)	 海岩剧里的女人都不正常            
(3星)	 同样 是N年前，看得很起劲~~            
(3星)	 满眼都是印小天的苦逼脸和于娜的揪心脸            
(4星)	 海岩的剧在豆瓣评分貌似都不高，其实剧情远没有现在的大部分剧集狗血啊~            
(5星)	 龙小羽            
(4星)	 已经分不清哪个是男一了.....             
(3星)	 还是觉着国产电视剧在走下坡路            
(4星)	 于娜刘烨都是我喜欢的，还有印小天太像温猪啦            
(3星)	 真没啥印象了，人到底是谁杀的？            
(3星)	 印小天太雷了。。。我果然对京片子男人没好感。。。去年暑假的阴影没完没了。。。刘烨很萌。。。女主角是史上第一无用女主咩Orz。。。            
(4星)	 很早之前看的，觉得很好看，还找来原著看了一遍。            
(4星)	 我一直挺喜欢刘烨的。            
(4星)	 从那个时候迷上刘烨，印小天总是有一股土气……            
(5星)	 刘烨动手打人的那一刻，以及真正的剧情的片子，海岩的片子不靠偶像            
(3星)	 有关杀人的片段拍的还挺吓人的            
(5星)	 我对刘晔最早的印象             
(5星)	 刘烨成名作。相当红的一部电视剧！超爱！            
(4星)	 刘烨，你演的真棒。因为这部戏，让我特别想去绍兴，到现在都一直特别特别想。            
(3星)	 刘烨现在是大紫大红了。。。。            
(5星)	 爱上刘烨            
(5星)	 从此爱上刘烨了~~~            
(3星)	 女猪让人郁闷            
(NA)	 于娜那时候很美。虽然说话不太利索。            
(3星)	 刘烨的眼神。            
(5星)	 刘烨啊，刘烨，我还是喜欢当年的你。。。。            
(4星)	 烨哥的眼神让人心碎            
(4星)	 拍的可以，于娜那时候演技不出彩，但是我挺喜欢看她的~有一种说不出的优雅~因为罗晶晶本身就是个纯真的角色~所以不用去拼演技~整体剧情还不错~和玉观音永不瞑目比差点~但是还是挺值得看的~            
(4星)	 刘烨的气质~            
(3星)	 原著更好看。            
(NA)	  曾经让我上课都心神不宁的故事情节  内地偶像剧的经典之一  刘烨诠释得很好 其他主角演技就不评论了  重点是故事情节好            
(2星)	 从哪到哪，都没有我喜欢的。            
(4星)	 哭了很多次的龙小羽 就从那时开始喜欢了刘烨            
(3星)	 对于刘烨，一直抱着莫名的厌恶，所谓厌屋及乌，给三星            
(NA)	 我好像看过不少海岩剧。。刘烨            
(2星)	 于娜演技真不行。            
(4星)	 不错            
(4星)	 从这部戏才开始认识刘烨，很喜欢他，“他看你的时候，总给人一种一往情深的错觉”，看到刘烨，终于理解了这句话的意思。                  道是有情却无情            
(NA)	 龙小羽啊            
(NA)	 海岩剧里最失败的一个女主            
(4星)	 额，前面一段刘烨和那女孩的回忆里，貌似有很黄很暴力的画面。。。            
(3星)	 讨厌罗晶晶，也许是因为不喜欢于娜的原因。讨厌她的声音。            
(4星)	 刘烨哥的长腿！            
(4星)	 这部电视剧真的很惊艳 =A= 偶MS是从这部电视剧开始改变了对国产电视剧的古旧看法～情节悬疑、人物关系纠结，总体制作水平不错～就是印小天比较杯具 =A=&#34; 除了《一米阳光》里的阿伦，他所接手的其他角色偶看着都觉得没有顺眼的 OTL 满大也很杯具 == 那首主题曲我老喜欢的……唉。            
(NA)	 海岩            
(4星)	 刘烨帅气            
(4星)	 刘烨依然那么忧郁和真诚。整部片子就因为他而出彩。于娜依然那么做作。没办法。            
(4星)	 fuck于娜的演技 不然我给你五星            
(5星)	 个人认为刘烨演地最好的电视剧，一下子就被他迷倒了            
(5星)	 嗷嗷哭。哎呦我的天啊。            
(NA)	 这部剧 俺爱上了刘烨            
(4星)	 刘烨，真是个不错的男人！            
(4星)	 第一部海岩剧，为的是那个为爱而不顾一切的小律师            
(NA)	 上学的时候看了这部电视剧 然后喜欢上了那个安静的男主角-刘烨 这么多年未曾改变 那是我的梦想 最爱刘烨            
(4星)	 看了很揪心            
(4星)	 原来《拿什么拯救你，我的爱人》是海岩的剧作，旁白不错，没看完。新版好像是贾乃亮演男一号，论姿色，他和印小天还颇有几分相似。            
(1星)	 实在不知道刘烨有什么好。。。如果你看过幸福街的话            
(3星)	 一个星是给刘烨的            
(4星)	 刘烨的脸加粗枝大叶的国产制作画面，彰显该有的劣质生活情节。            
(1星)	 刘烨适合演乌七八糟的电视剧 哎            
(3星)	 不喜欢于娜不喜欢印小天也不喜欢刘烨，我就不喜欢演员……            
(3星)	 木讷的于娜            
(4星)	 那时候的刘烨多么青涩。            
(4星)	 带出来的是七年前的回忆            
(3星)	 配乐是败笔             
(NA)	 比起书，差的太多了。。。            
(5星)	 喜欢上刘烨，也喜欢上海岩            
(5星)	 刘烨的演技没的说            
(3星)	 刘烨就适合这种角色            
(3星)	 赵宝刚加海岩            
(NA)	 刘烨的演技太赞了            
(4星)	 从那时候喜欢刘烨到现在            
(4星)	 -我就是想喜欢看你逛街然后买一推倩碧 香奈儿回来            
(NA)	 恩 龙小羽。。。            
(2星)	 故事挺好的，于娜挺差的。            
(4星)	 纠结的情与爱！            
(4星)	 刘烨成名作^_^            
(3星)	 她的眼睛很像你。            
(5星)	 从这个时候喜欢刘烨·龙小羽·这个名字被我一直记着·            
(4星)	 刘烨演得很好　悬疑到最后            
(3星)	 只能说 一般般            
(4星)	 忽略于娜和印小天，刘烨和傅晶演的不错。7.5分，打四星。            
(NA)	 于娜和刘烨哈哈哈            
(4星)	 现代都市的悲凉情感故事.            
(4星)	 海岩的小说更好            
(3星)	 喜欢印小天            
(3星)	 这部剧让刘烨从默默无闻的影帝成了家喻户晓的阴柔小生 我并没有看完这部剧 只是看了书 因为不喜欢于娜 所以一直没有看下去的欲望 当初看的时候就觉得于娜一定不会红很长时间 现在看来还真是这样            
(4星)	 怎么会有韩丁这样的男人...            
(NA)	 典型海岩剧            
(5星)	 尝过饥饿的滋味的人和没挨过饿的人是不一样的。本质上不一样。            
(5星)	 非常非常喜欢~~~            
(4星)	 救赎。            
(4星)	 此生能遇韩丁一样的男人~~呃  无憾了            
(5星)	 我爱死憨憨的刘烨啦～            
(4星)	 当时疯狂迷恋刘烨演的龙小羽~            
(NA)	 早看过            
(3星)	 比起大学时看报纸连载，电视剧赶紧差了很多，尤其是于娜，失望至极            
(5星)	 很喜欢 很凄美            
(3星)	 趙寶剛導演真的很厲害，眼光很獨到            
(3星)	 只觉得很混乱            
(3星)	 应该叫拿什么整死你，我的爱人。            
(5星)	 不知为何看了N多遍 很喜欢的一部剧            
(5星)	 海岩片子中最喜欢的一部            
(3星)	 演的不怎么样 剧情还好            
(NA)	 一点　早年            
(4星)	 印小天再帅点就更完美了            
(NA)	 双重救赎，是救自己，还是救爱情？            
(4星)	 看刘影帝的第一部作品            
(4星)	 片名不错            
(5星)	 对刘烨印象深刻            
(4星)	 喜欢小天~            
(NA)	 那个叫傅晶的女孩儿呢            
(3星)	 补漏            
(NA)	 因为这部电视剧喜欢上刘烨至今；因为这部电视剧讨厌于娜至今...呵呵，善恶分明啊我            
(4星)	 与2003年夏天的记忆连在一起...            
(4星)	 因为这部电视剧 开始喜欢刘烨            
(3星)	 对三个主角印象不坏            
(3星)	 有一个人曾经想要看de~~~            
(4星)	 看到这本书会想起你，这是我们共有的回忆，还是只是我自己的？            
(4星)	 却是喜欢上了印小天。            
(NA)	 那什么整死你,,            
(3星)	 很傻很痴情            
(5星)	 故事有点曲折 看不是很明白。            
(5星)	 爱是自私的，也是无私的。            
(3星)	 为什么一直要哭            
(4星)	 海岩的剧本真的很棒。            
(NA)	 很久很久之前...            
(NA)	 赵宝刚 海岩 刘烨             
(NA)	 很记得于娜。            
(NA)	 迷上印小天。            
(3星)	 没有耐心看完。            
(NA)	 我超级喜欢这个！！尽管剧情都不记得了            
(4星)	 ,,            
(NA)	 喜欢印小天的角色            
(3星)	 刘烨~~~我稀罕你~~~            
(4星)	 剧情很喜欢。            
(3星)	 我曾一度迷恋海岩剧~不过还是书好看，真的！            
(4星)	 适合刘烨            
(5星)	 因为这部，爱上刘烨；不知道因为什么，忽然不爱他了...膜拜海岩~            
(4星)	 原来死不瞑目也是海岩的，印象深刻剧之一            
(NA)	 拿什么拯救你.我的爱人.            
(NA)	 淡忘了            
(3星)	 当时觉着印小天可帅　刘烨依然性格着            
(NA)	 压抑            
(4星)	 不错啦            
(5星)	 最后一集 龙小羽死掉后 片子里开始回放那些他生活过的浙江小镇的每个角落时 “我需要你”的音乐响起来了 我的泪水落下来了 海岩 你怎么这么厉害？            
(NA)	 如果你的爱人需要拯救～，你愿意为此付出哪些？            
(5星)	 令我喜欢上刘烨的戏，当时真的陷进去了！现在听到主题曲还会心潮澎湃            
(NA)	 爱上后就会无药可就！            
(4星)	 看的第一部海岩的作品。很好，关于真爱。            
(3星)	 看过小说，觉得刘烨是我喜欢的型。。。            
(NA)	 我超喜欢这个，超爱刘烨            
(5星)	 五星给十年前中国的气息            
(3星)	 我就记住了几个不和谐镜头。            
(5星)	None
(NA)	 就是喜欢刘烨            
(3星)	 又是爱情为主题，然而迷上的却是孙楠演唱的片尾曲。            
(NA)	 狗屎。。。你妹的爱情            
(5星)	 于娜 刘烨  ===美~~！！            
(3星)	 貌似就是这部片认识刘烨的吧，对他的印象很深刻。。            
(5星)	 刘烨扮演的龙小羽，刚开始出场的时候的确给了我很淳朴善良的感觉，可到后面她跟晶晶好了之后、甚至出卖了公司的标底的时候，对他的感觉有些变味了，怀疑他牢狱里表现出来的眼神到底是纯洁简单还是故作镇静...看到最后，人性还是源于劣根。            
(4星)	 小时候觉得很好看，但是沉重了点            
(NA)	 海岩的电视剧就是这么嚣张。 三星。            
(4星)	 这部剧总给我一种很变态的感觉，喜欢这种感觉~            
(4星)	 刘烨不错，于娜太呆            
(NA)	 小時候的記憶啊。。             
(4星)	 那时候的刘烨还是一脸民工像            
(5星)	 刘烨！            
(5星)	 尤其是地铁驶过，一黑一白，两件大衣飘起来            
(5星)	 关于两对男女的苦恋，和生死有关，我想说的东西太多了，却总也找不到下手的地方·····总之，我欠一篇影评            
(5星)	 太迷恋这部电视剧了，每个人都那么美。            
(4星)	 韩丁就是圣母啊。。。。也太好了吧。。。            
(3星)	 那时感觉印小天很帅，刘烨长的就像变态，于娜演技贼差，不知道是靠了啥后头去演戏。            
(3星)	 连个主角其实都不喜欢。            
(5星)	None
(5星)	 人性是我们这个时代永恒的话题，海岩把他闪闪发光的探索交给大众。对表演一向苛刻，却能忍着于娜一直看完，直到发现好与坏都在成就着这部气质出众的文艺影片            
(4星)	 喜欢上刘烨和于娜            
(4星)	 小说很好 排成电视剧后并没有让我失望            
(5星)	 我喜欢刘烨&gt;33333333&lt;    几个演员都演得极好啊 ~~~~~            
(4星)	 eternal trangle            
(5星)	 我觉得韩丁或许是一个值得学习的人            
(2星)	 贫穷使人异化。            
(5星)	 龙小羽            
(3星)	 = =真不知道对于娜那张木头脸说什么好……            
(5星)	 小时候超爱的片~爱上刘烨~爱上龙小羽~~~那时候是初中~~~~当时就被龙小羽忧郁不自信但还型的样子迷住了~~~还有刘烨的吻戏~很精彩~~故事也耐人寻味~~~~            
(4星)	 刘烨演得非常好            
(4星)	 对罗晶晶无感。            
(3星)	 還是有點做作            
(5星)	 女主面瘫男主迷人。            
(4星)	 当年就是“罗晶晶”演得痕迹斑斑，不自然。除此之外真的很好。            
(4星)	 中有以激情片段。。。作为小学生的我和妈妈同看的时候压力很大。。。            
(5星)	 依旧经典            
(4星)	 我太喜欢刘烨了。            
(4星)	 真是一波三折，峰回路转，出人意料            
(5星)	 大陆最喜欢的男演员刘烨！！            
(4星)	 龙小羽！            
(4星)	 因为小说才看            
(2星)	 故事不错 现在看起来拍的有点土            
(4星)	 曾经认为刘烨是大陆最有前途的演员，这些年让我失望了。            
(4星)	 那时候居然没看懂！            
(NA)	 海岩剧一直是青春期的迷魂药。            
(2星)	 不喜欢于娜            
(3星)	 一直就没觉出于娜有什么好的。            
(5星)	 我靠我爱死刘烨了。            
(5星)	 很喜欢的一部剧，如果现实生活中能有印小天饰演的那样就好了。            
(4星)	 那个时候觉得于娜好有气质啊            
(NA)	 为了平衡一下《步步惊心》的心情，选了这个剧来煲。刘烨演得很好耶，但于娜的演技是一败笔。            
(NA)	 记得当时的于娜什么都不会演。            
(3星)	 快进看完，像是置身事外看了一出戏，戏里人的悲欢离合，也不过就是过眼烟云，纷纷扰扰，太投入了怕是太傻            
(3星)	 不是赵导最精彩的 但是让我喜欢上刘烨就打这起            
(NA)	 已经不记得了。。。            
(NA)	 刘烨啊啊啊啊            
(5星)	 最爱的一部海岩剧~            
(4星)	 喜欢，值得一看~充满无奈的悬疑剧            
(NA)	 那时候就开始很西化刘烨跟于娜。            
(5星)	 一个对下班没有期待的人，下了班去干嘛            
(5星)	 刘烨的声音真好听啊真好听~            
(4星)	 比较纠结            
(4星)	 灰色暗调早期海岩，一直觉得只有赵宝刚能完美诠释海岩。理智与情感向来不能两全，重要的是关键时刻天秤斜向哪边。事隔多年，如今已不觉得晶晶无理取闹，龙小羽死有余辜，只是一个先来后到的问题            
(4星)	 印小天！！            
(4星)	 和我妈一起看的，经典。            
(4星)	 满满的爱。            
(NA)	 我一直奇怪怎么就非要喜欢那个不好看的囚犯            
(5星)	 为什么只是强调罗晶晶的初恋，龙小羽的初恋呢？            
(5星)	 最喜欢的电视剧了 真心觉得只有于娜是罗晶晶的化身 太萌了^_^)Y            
(5星)	 原著就很棒，演员也都很贴近角色。            
(4星)	 配乐很好的 演员表演虽然比较生涩但是我觉得现在已经拍不出这种感觉了            
(3星)	 其实就是救不了            
(3星)	 好压抑            
(3星)	 哎            
(5星)	 我可以给5颗星            
(NA)	 爱情就是沉沦            
(5星)	 喜欢印小天。。。。            
(3星)	 照书差点儿            
(3星)	 看了新版才发现老板的好            
(4星)	 十年前于娜和刘烨还是挺好的，印小天的最大特点就是没变化。            
(NA)	 不喜欢女主= =            
(NA)	 看书时的激动在荧屏上弱化了很多。女主演的真是矫情。 不过这个有点男权了吧海岩，男角儿都很出彩，难以取舍。绍兴啊，真是美得让人心碎。            
(NA)	 第一次见刘烨。            
(3星)	 刘烨那时候还很青涩。。。            
(4星)	 赵宝刚这导演确实挺厉害的！！拍了这么多好剧本的电视剧！！！            
(4星)	 演员发挥的都不错！            
(4星)	 为啥主演刘烨到第四集才出来呢？！于娜是个头发可以中分的美女。            
(2星)	 一直对刘烨不感冒            
(4星)	 那个时候很喜欢刘烨的好不好            
(4星)	 最近又在重温。            
(4星)	 病房电视剧            
(5星)	 拿什么拯救你，罗晶晶。            
(NA)	 感觉好            
(2星)	 你就骗吧。            
(3星)	 小时候看的。当时就觉得刘烨这家伙唉，各种能演。尽管我一直不喜欢他，说真的。            
(4星)	 好看            
(4星)	 海岩是张标签            
(NA)	 刘烨和于娜一起出来了            
(5星)	 好            
(5星)	 海岩的作品就是能让人看了又看            
(3星)	 不喜欢刘烨            
(4星)	 中国式黑暗。            
(3星)	 不太喜欢剧情。。。            
(1星)	 烂片。。。            
(4星)	 当年……            
(4星)	 关于原型的传闻……            
(3星)	 太太太太纠结了。            
(3星)	 韩丁好苦逼。。。            
(5星)	 看过书看过新版后再看，影响过大。唉如果小时候多看点电视多好            
(NA)	 刘烨演的太好了，特别那眼神，但是不喜欢 这个角色            
(5星)	 我爱刘烨！            
(5星)	 最爱的海岩剧            
