http://movie.douban.com/subject/4889475/	爱在路上 ดอกรักริมทาง
(NA)	 金毛真不错            
(5星)	 happy ending多好啊            
(NA)	 弃            
(3星)	 狗是亮点！其实剧很狗血，但是男女主又有着一股台偶的熟悉感，哈哈            
(3星)	 安徽卫视的泰剧轰炸            
(4星)	 为什么我都没看见男女主角的亲热戏 太背了 每一次对台都错过了            
(5星)	 bie帅小伙子~~帅死            
(NA)	 =暮光系列..            
(4星)	 刚看完，不错~男主角比在伤痕我心里成熟了~            
(5星)	 爱你～Bie～女主也很漂亮～唔，好神奇好有爱的hungtu啊～将来一定也要养只金毛,嗷嗷嗷～            
(4星)	 Bie演得超好，太逗了~Vill好可爱……            
(4星)	 男主很可爱 女主角长得好像杨怡……            
(4星)	 结局没看了 明显的大喜剧 不过还是推荐 因为狗狗！！            
(5星)	 超可爱的狗狗            
(4星)	 哈哈~~~好看！狗狗爆乖！！！亲亲╭(╯3╰)╮            
(NA)	 有点像花样少男少女            
(4星)	 好神奇的狗狗            
(3星)	 伪BL戏码。            
(4星)	 怎么说~每次看这种剧都觉得是不是只有演员看不出来女主男扮女装？？？？？只有尹恩惠那个可信度还比较高。。。但还是挺轻松有趣的            
(3星)	 守着电视机看这戏的老太太们，绝对多数是为了亨嘟，呵呵。            
(3星)	 所以女扮男装的女主都不会被男主识破，男主每次都会纠结自己是不是gay            
(NA)	 呵呵，男主大概一开始就对女主有不一样的感觉，总之挺搞笑的！            
(3星)	 好一般            
(3星)	 三星给阿唐！！！            
(5星)	 赞赞赞！            
(3星)	 到快结束的时候拖得很，前面很有爱…            
(4星)	 哦~我爱帅哥~我爱美女~            
(NA)	 狗真是可爱！            
(4星)	 又见女扮男装，Bie好可爱~            
(3星)	 喜欢BIE，哼都比较好，我也想要这样的一只忠犬            
(4星)	 第一次完整看完的泰剧，男女主角都很爱，其实配角也挺漂亮，剧情也不错的说，大爱那只狗哼嘟，算半个主角了。            
(5星)	 哼嘟太可爱了~~~~~~~~~~~~~~~            
(3星)	 打发整理房间的时间。觉得自己一下大妈了。= =            
(4星)	 哼嘟。有爱的狗儿。            
(3星)	 打发时间的消遣，宛如言情小说            
(4星)	 剧情总的来说还行 里面的狗哼都真的很有才很可爱 好想也养一只            
(3星)	 三颗星都给狗狗，剧情有硬伤。。。            
(3星)	 泰剧似乎总有烂尾倾向。狗狗太可爱了，BIE久闻大名，的确满帅。            
(5星)	 里面的金毛超可爱的            
(3星)	 这片的亮点也就是狗狗了，不过狗能说话也把这片子弄得不伦不类了。男女主的颜实在不是我的菜，也是中途放弃。            
(4星)	 看到BIE亲还是【男生】的女主。。。姐真心被囧到了呀~~不管怎么说。。。她那时还是男生呀~~女主是女生的时候~~反到米有了= = ；狗狗很有灵性的~~非常可爱~~女主男装的时候真心像ROME~~~;泰语版么有最后两集啊~~于是姐只能看中文版了~~真心被中文雷到了~~取名字简直就像山沟沟的名字啊~~一身汗~~            
(4星)	 bie和亨嘟！！            
(3星)	 会说话的狗。。。。            
(4星)	 还不错啦            
(3星)	 那只狗有思想，哈哈。            
(NA)	 就喜欢里面的狗狗，剧情有些幼稚            
(5星)	 爱情~应该是没好的东东~我的爱情在哪里呢？            
(4星)	 太搞笑了，就是觉得男主有点rain，吉娜有点蔡依林的味道。。感觉好怪啊。            
(5星)	 bie锅实在是太可耐鸟~~            
(3星)	 跟着我姥和我妈看的，呵呵。            
(4星)	 看这个觉得bie还是挺帅的~            
(NA)	None
(3星)	 帅哥美女，泰流来了，只是剧情够狗头，他们思维啊，一般人接受不了啊            
(4星)	 狗狗的表演是亮点！            
(5星)	 从头看到尾哦～～一集不差哦～～～～            
(NA)	 超喜欢那只狗狗！(*^__^*)             
(4星)	 挺好笑的 总的来说这是一部全体零智商的富二代不工作也不结婚一起联手找狗的故事 主角和狗狗的颜都不错            
(NA)	 超好看，越来越喜欢Bie            
(NA)	 节奏慢得受不了，女主傻的受不了，男主很帅是真的            
(4星)	 很棒哈 粉红多多            
(NA)	 那只狗不错，不然为什么满电视都是人们在大喊狗的名字呢！            
(4星)	 我竟然开始看泰剧了....—____,—            
(2星)	 最初搞笑部分可圈可点。剧情越发拖沓、笨拙。阿雅愁苦的表情看到快吐。狗狗的话也该适可而止些。            
(4星)	 还不错吧！喜欢华珍。            
(4星)	 真的好好看            
(4星)	 大爱亨嘟~~~ 配角比主角好看            
(3星)	 为了看亨嘟,硬着头咬着牙看完.编剧逻辑有问题.且拖沓到让人抓狂!            
(4星)	None
(3星)	 就是为了看狗狗！！！！！万能的亨嘟！！！为了它再给一颗星好了！！剧情什么的就不说了，只能说剧中的反派智商真低            
(1星)	 一星给亨嘟。韩剧是有情节的长，泰剧真是没情节也长啊= =            
(4星)	 “哼嘟”传奇 哈哈 电视台在放            
(4星)	 it&#39;s hard for me to resist Bie            
(5星)	 BIE好帅  ！！！！！！！！！            
(NA)	 女主这个造型不好看啊            
(2星)	 男主好帅捏。。无视剧情            
(2星)	 这两人也该是公认般配的，不过这部片子我不喜欢~            
(3星)	 哎。。我是有多无聊。。            
(4星)	 这剧太基了⋯⋯            
(3星)	 这几天安徽台在放，看着看着就看出了点味道== 狗狗很好玩~            
(4星)	 亨嘟可愛死了            
(4星)	 哈哈，演员长得好，是我看下去的动力            
(4星)	 這狗實在太神奇了 bie也實在太帥氣了 遠離泰劇 真愛生命 免得像我一樣 病入膏肓            
(4星)	 好犀利的大狗            
(5星)	 看到天涯上八《爱在旅途》的贴子：为激萌的俺一身鸡皮疙瘩外加花枝乱颤bie vill泰剧《爱在路上》盖楼。被里面的一句话深深吸引：此剧打破泰剧rape的历史局面，男主色色不下流，女猪欲拒还迎小娇羞，更具风情，就跑去追看这部剧了，果然是消暑良药啊，男女主角很养眼，互动很有意思，男主不知道女主女            
(3星)	 亨嘟太可爱了。。。            
(3星)	 看完都有养狗的冲动了！            
(4星)	 妈啊，终于看完了。亨都好有灵气啊！！！真是太帅了。比较喜欢达伟发现阿雅是女生那段为止的前半部分，后面有点拖沓了。            
(3星)	 男主一出，差点吓死爹了，跟俺领导一个样啊，那小眯眼......--！            
(5星)	 不错            
(4星)	 在北京看电视居然觉得有意思！！            
(NA)	 那只狗狗我很喜欢^^            
(3星)	 大致剧情还不错，就是细节好多漏洞            
(NA)	 。。泰剧套路原来都一样            
(3星)	 很养眼，这狗狗也绝对是一神兽！            
(4星)	 bie真帅，可是这剧太白痴了，白痴的雷人，不过bie还是帅。            
(1星)	 1.5 哼嘟可爱~不过台湾配音让我在食堂看得差点吃不下午饭            
(5星)	 那只狗狗哼都是看点~！！很口爱啊            
(5星)	 hungtu太可爱了            
(3星)	      很韓劇嘛            
(NA)	 我了个去            
(5星)	 很好看            
(3星)	 vill这样洋娃娃般的女孩扮男仔居然也像。            
(5星)	 哼都实在是很可爱啊~~~~~            
(4星)	 喜欢阿唐和华珍~~            
(3星)	 坑爹啊，一见钟情什么的最不能信哇！女主角是男的就好了！            
(3星)	 狗太可爱了~~            
(NA)	 那个狗狗也太聪明了吧，从这部剧认识了bie，好帅啊。正在看他的其他剧。            
(4星)	 爱亨嘟~！            
(NA)	 Hungto阿-你老可爱了-29J我一集一集等中字的-            
(4星)	 小狗太可爱了~那段伪基情真是萌死了萌死了……女主好漂亮！！男二帅呆了……            
(NA)	 亨嘟太可爱了。。。为了这条狗直奔去看。。神犬嘛--   我也要金毛！！！！            
(4星)	 感觉泰剧要像当年韩剧、韩国电影一样起来了，初露端倪啊；哼嘟的配音太可爱了！！            
(4星)	 后面果断跳过。。            
(3星)	 换寝室前大家一起看的最后一部剧了，虽然很狗血~            
(3星)	 小“男生”很萌啊            
(3星)	 看狗            
(4星)	 过年的回家时无意中看了两集。感觉蛮搞笑的。看过不少与狗狗有关的电影、电视剧，还是觉得hangdu最可爱。为整部戏增添不少的气氛。            
(4星)	 我爱hungtu！            
(4星)	 男主角很帅！            
(5星)	 太好看了！以前最害怕的大只犬，因为这部戏爱上金毛狗狗啦～太可爱啦！哈哈^0^～            
(4星)	 亨都很帅很抢眼！！！一部比较有趣的泰剧，情节没那么复杂很好看。            
(5星)	 哈哈，很好看喔 。我还是在电视上看的。            
(4星)	 想养一条黄金猎犬            
(5星)	 好好看哦！男女主角欢喜斗阵很有趣！晕+_+！我还以为我看了完结了，结果狗狗哼嘟和和主人团圆了还做了爱狗丘比特呢？O(∩_∩)O哈哈~            
(4星)	 bie bie bie花痴了            
(4星)	 bie&amp;vill~~泰剧都稍显拖沓 但是表演不错 颜不错。狗狗太会演了 给加工资 多给些骨头吃            
(4星)	 不小心在安徽台看了，觉得多有趣的，就继续追下去了，最近很迷女扮男装~~哈哈~~狗狗非常可爱~~有点拖,再剪辑点就好了~~18集最搞笑            
(4星)	 这狗真帅气啊啊啊啊~~训练得真好啊~~~~男主像黄教主啊啊啊~~~咆哮啊~            
(4星)	 亨嘟好可爱            
(4星)	 亨嘟太有爱了~            
(3星)	 俺的第一部泰国电视剧啊~~~好偶像好花痴好漫长……            
(3星)	 我以为是港剧...            
(5星)	 真心喜欢男女主角！            
(5星)	 我妈现在在看这个..跟着看了几集，演员很漂亮，剧情又搞笑，消遣神马的比较合适~那头金毛太萌了~            
(4星)	 男主角的爱呦~~            
(4星)	 有点拖拉。。但是那只狗超赞啊~为哼嘟来个四星~            
(3星)	 狗狗很有爱!!!            
(NA)	 这剧的亮点是狗狗Handu啊~ 然后男主女主都不错~            
(4星)	 完了~我开始喜欢狗了~            
(NA)	 喜欢动物题材，可爱滴狗狗..            BEI~~飘过            
(3星)	 女主的表情是有多呆滞            
(5星)	 反正看的就是青春逼人~~            
(3星)	 三星半吧，男女主角都还行，剧情一般，喜欢狗狗            
(NA)	 为了oh哥而看，果然眼里也只能看到oh哥。            
(4星)	 哈哈，bie真可爱，狗狗真可爱，虽然有些幼稚，但是很搞笑，很温馨~            
(3星)	 狗狗和可爱 剧情很吐血            
(4星)	 喜欢那只狗            
(4星)	 vill··            
(5星)	 喜欢达伟和阿雅 喜欢这样的相遇            
(NA)	 好吧，我真的很恶趣味            
(4星)	 还好！            
(3星)	 喜欢亨嘟            
(4星)	 亨嘟亮了。。。。。。            
(4星)	 剧情狗血，男猪够帅            
(5星)	 推荐帅锅Bie Sukrit，喜欢他唱的片头片尾曲。            
(3星)	 那只狗蛮可爱的            
(4星)	 泰剧还是好看也，虽然有点狗血。            
(3星)	 真想说男主真帅            
(3星)	 狗是亮点            
(4星)	 嘿嘿，这两天就和我妈、我外婆，我妈三个女人就看泰国连续剧，还真有爱啊，比韩剧还好看嘞            
(4星)	 那只大狗,简直想马上养一只啊.            
(5星)	 我想，亨都是这部戏的主角吧，呵呵            
(3星)	 狗！狗！狗！            
(4星)	None
(5星)	 最爱亨都~~~            
(4星)	 这年头动物都太牛X了。            
(4星)	 本人第一部泰剧，剧情怎么比韩剧还拖拉，不过女主很美，看男主总觉得rain和何润东附体，男二我喜欢            
(NA)	 很不错的一部片。狗是戏的一个大亮点，太有灵性了。            
(3星)	 认识了BIE.泰国顺眼养眼的演员看不过来呀.            
(4星)	 狗是亮点阿            
(5星)	 金毛金毛金毛！！！哼嘟值5星哈哈~            
(3星)	 亨嘟小家伙很有爱~            
(4星)	 男主角好帅            
(3星)	 不错啊，够轻松，不过那些&#34;坏人&#34;演的可真用力，不怕长皱纹么？            
(5星)	 感觉剧情太拖拉了……女主角怎么整天都在哭……男主角欺负女主角的时候太好玩了……狗狗好聪明额……怎么比人智商高？……总体还是超喜欢看的~哈哈生病还坚持看完他~~            
(3星)	 宅在家里,真的成了potato coach.居然会看泰剧,这部片子最对的台词就是：遗嘱遗嘱遗嘱遗嘱尼玛啊,磨磨唧唧的.不过BIE坏坏的样子是我的茶,终于看到了一个长得精致的泰国美女vill,HIAHIAHIA...            
(5星)	 这。。狗 是主角 ？？？？            
(2星)	 狗狗，最爱            
(4星)	 神犬喂...            
(4星)	 依然狗血的泰剧，可是有hungtu,我忍了            
(5星)	 5台当年破十啊啊~~~~后面有点拖~~~前面很搞笑~~~~            
(3星)	 放松剧            
(5星)	 在看这部剧之前，就被Bie的一张照片秒杀到了，木想，他竟然就是男主            
(4星)	 我干嘛要熬夜看这个狗血剧。。。            
(4星)	 四颗星给英俊帅气的小BIE，喵呜。剧情拖沓，最大的硬伤。            
(5星)	 vill超漂亮的啊～～～～！！！！ bie也不错！整一个就满足我要萝莉的心理啊！越俗越爱！！！            
(4星)	 各种治愈~            
(3星)	 裏面的狗狗是亮點 特別是那隻貫穿始終的狗狗哼嘟 很會演 很可愛            
(4星)	 无聊的时候把这剧看了。Nuth还是小男生的感觉得时候可爱些。。Tan是明天依然爱你那里面的嘛~            
(3星)	 也就能看看吧。。。            
(3星)	 这狗真q            
(4星)	 还不错            
(4星)	 是我喜欢的套路，但是还是快进着看的。人物设定的都很有爱。            
(4星)	 我更爱那狗= =            
(NA)	 狗狗超可爱            
(5星)	 很赞！            
(4星)	 还不错啦~两个人靠很近的时候还是很有感觉滴，看的我心神荡漾啊，哈哈……男主帅气，女主变成女生后讲话的口型很漂亮诶~~            
(5星)	 轻松幽默，好看            
(4星)	 寒假跟着安徽卫视看的，哈哈确实还不错~            
(5星)	 好可爱的哼嘟·，老妈很喜欢，老爸老叫他嘟嘟，呵呵            
(4星)	 joker加了很多分 主题曲好听啊            
(4星)	 哼嘟是绝对的最佳配角。PS：让动物开口说话原来这么有喜感。            
(3星)	 帅哥哦            
(4星)	 我竟然，，看完了它。。  最近泰国片开始流行了。  这剧本身倒还可以。            
(4星)	 感觉不错            
(4星)	 泰国片永远用最烂的剧情讲述最温情的情感            
(4星)	 应该算是看的第一部泰剧吧。过年在奶奶家也只能看这个。狗狗们太可爱了。喜欢。            
(4星)	 看着剧情进展慢   也是挺郁闷的            
(5星)	 P&#39;O&amp;TOEY感觉好配            
(3星)	 老妈最爱            
(4星)	 剧情没吸引我，hungtu吸引了我            
(NA)	 哼嘟实在太可爱了~好想有那么一只犬。            
(2星)	 冲着狗去的，就是图一乐。怎么感觉泰剧和琼瑶阿姨一挂的，难道阿姨在东南亚市场也很吃香？            
(4星)	 亨嘟是神兽好么 四星给它            
(5星)	 喜欢bie 喜欢金毛 看完这剧就特想买只来养养....            
(4星)	 剧情狗血以及无脑至极 却还是和谐又欢乐 狗狗是神狗~~欲罢不能            
(3星)	 你和薩達哈魯一起留下來、陪我。            
(4星)	 没这个电视剧的话我会吐更多次            
(4星)	 男主喜欢~剧情真是一波三十折~            
(4星)	 亨嘟太可爱了~~~我也想养只大型犬            
(3星)	 给金毛加分~~            
(2星)	 在电视上看过片段，女扮男，现在很流行，有点好奇心。看了10几集，确实是没什么感觉。            
(3星)	 女主不讨我喜欢            
(4星)	 蛮有劲的            
(3星)	 =  = 一边吐槽又一边欢乐的看....满是槽点但是还是一直接着看...泰剧演的还真是卖力....            
(NA)	 我是怎么了。。。            
(NA)	 狗狗們比較有愛。。小綿同學還是這麼美的說            
(1星)	 狗血泰剧            
(NA)	 墨迹            
(5星)	 最喜欢那只狗了、、、            
(3星)	 纯属消遣            
(5星)	 bie很帅很帅~情节温暖中有点小起伏~很好看            
(4星)	 因为狗狗多加一颗半星，啊真可爱啊            
(3星)	 结尾很拖沓啊            
(2星)	 hungtu这条狗狗太神了~  女主很漂亮！女扮男装的都能有几种不同的感觉！但是剧情太白痴了~~ 无数次快进！            
(4星)	 刚看的时候很喜欢阿            
(3星)	 话说女主化起妆来从某个角度看像杨怡……喜翻那只狗狗~~~            
(3星)	 主角其实是亨嘟            
(4星)	 延续了泰剧拖沓和狗血的情节，不过用来打发假期无聊的生活还是不错的。帅哥美女够养眼。            
(3星)	 我还是喜欢女主在这个片的样子，里面的狗一个比一个强大。我要有一只这样的狗多赞。            
(4星)	 这片是狗片……            
(4星)	 有别于其它泰剧的可爱狗狗拟人手法，Bie灵额，狗血又何妨～～            
(4星)	 很有趣，男女主都很养眼，不用动脑筋的看一部片子真好，我越来越喜欢泰剧了            
(3星)	 那条忠犬~            
(NA)	 哼都是神犬~~~~            
(3星)	 虽然剧情不真实 但还是喜欢看 也许极至的夸张和巧合的剧情更能看到人性中最宝贵的东西是什么 喜欢里面的狗狗            
(NA)	 冲着P‘OH去看的，然后被那只狗和BIE\VILL给迷倒了- -但是终究是泰国，一切都是我所迷恋的            
(5星)	 痒            
(5星)	 其实是因为挺喜欢那个女主角的            
(3星)	 男主角，神犬，支撑我看下去。            
(4星)	 真是觉得泰剧越来越火了 对热带夏天没有免疫力            
(3星)	 亮点是金毛~和~男主~            
(4星)	 bie帅的勒            
(4星)	 因为狗狗才看这部剧集的，发现还真的很好看，但剧情真的很狗血 很弱智 很白痴，但比春晚强太多了 ，看春晚简直是谋财害命，损人不利己~看到好多次奇瑞汽车 呵呵            
(3星)	 超级罗嗦的一部剧……看了几部泰剧，发现泰剧有个毛病，都是围绕着争夺财产展开剧情，除了钱财，还是钱财，sigh……            
(4星)	 狗是亮点            
(4星)	 女主角短发好像曾沛慈呀            
(3星)	 泰剧中的男猪也就属着Bie看着好~~~            
(4星)	 剧情太长了。。。。            
(4星)	 第一次看bie的戏，发现bie的表情真是丰富多变，给这部戏增添了不少苦笑，还有一大主角就是这只可爱的狗狗，配音也让这只狗狗显得聪明懂事，剧情的呢，其实很简单，发展呢感觉比韩剧还拖拉，跟大陆青春爱情剧速度差不多。以后还会继续看一些比较有趣的泰剧。            
(4星)	 男主太有爱了~            
(4星)	 里面的那只狗狗真是超有爱的！            
(3星)	 不知道高收视是怎么来的，第一部快进看的片子。女主哭的让人厌烦。            
(4星)	 狗血的剧情，奇怪的逻辑，也可以让我看的津津有味~Bie和hungtu是亮点哦！            
(4星)	 可爱的大肥狗！            
(4星)	 狗真的是亮点啊~~对女主很是反感，整天一副郁闷哭泣的表情，剧情太拖沓了，只好弃了。。不过前面还是很搞笑的~            
(4星)	 我爱Toey~~~            
(4星)	 有点点拖沓，不过狗血的泰剧始终是我的菜。            
(3星)	 有韩剧 咖啡王子一号店 的感觉 不过没有韩剧好看~~可是~~泰国的男人女人们长得太好极品了~~~~~~~羡慕嫉妒恨            
(4星)	 囧rz    果断表示小Bie你的各种表情不截来玩玩实在太浪费啦 - - !!            
(3星)	 那狗狗挺可爱的，我不喜欢女主，还是女二可爱多了            
(NA)	 我爱女主角！爱那只死狗~            
(3星)	 Handu 很可爱啊 剧情太拖沓            
(4星)	 这部电视剧情不错，男主角演技也不错，人也蛮帅的==~~~~但是女主角不怎么喜欢，演的不好，特别是她在 “新凤凰血”里演的很烂，还是喜欢bee演的“凤凰血”。哦对了 还有里面那一只可爱的狗，加上配音真搞，这也是一大亮点啊。我也想拥有这样一条狗。            
(5星)	 那只狗绝对是亮点，其他几只狗也不错男主角色色的样子太招人喜欢了            
(4星)	 集数太多了，不过女扮男装的戏码一向是我的恶趣味            
(5星)	 真正意义上看过的第一部泰剧，温情兼具搞笑，看这种片子千万要把自己智商降低点，泰剧就是这样的，主角都很不错，属于耐看型的            
(3星)	 bie成熟鸟~            
(3星)	 喜欢17 18集 很搞笑 很甜蜜~~            
(5星)	 Bie好帅，比在爱的轨迹里帅气多了，还很可爱，萌yi萌yi~ ╭(╯3╰)╮            
(4星)	 BIE很帅,娃娃脸的,女主女扮男装也很可爱            
(NA)	 说到这剧，我真是很无奈又耐心的看完的，觉得拖沓的无以复加，本来觉得男女猪脚和狗狗都很有爱，但是越看这情节越消磨我的意志，最后用史上最快的速度倒着看完的。            
(5星)	 真好！！小bie和兔兔！！            
(3星)	 Bie~草莓型男人，呵呵~            
(5星)	 虽然后面的剧情很脑残，但是因为男主角很可爱所以我就忽略了。那条金毛也很搞笑            
(5星)	 这部剧里狗狗好突出哦好聪明的狗狗啊，好可爱女主角真的挺像男的，和《咖啡王子一号店》挺像的            
(5星)	 这部剧总的来说粉红多多。满足了我的口味。看到脸红心跳处我真想跳出来告诉男猪。她她她是女的。            
(5星)	 感觉目前为止看到的最好看的泰剧~~            
(4星)	 bie好可爱呀，爱死啦，觉得他好像中国的一个明星哦！            
(NA)	 狗狗超级可爱，看完之后真想养只这么聪明的狗狗不过主线剧情太反复，还是比较喜欢男二那对~~            
(4星)	 很狗血...很好看            
(3星)	 到后面太拖沓了            
(3星)	 那只神奇的狗            
(5星)	 很可爱的一部剧，照他的收视率，应该很快我们就能在电视机上看到了，不知道配音了会怎么样，狗狗可爱，女主甜美（装男孩时要用假小子的声音），男主要帅帅的。。。。            
(3星)	 BIE的演技又有进步啦~典型的纯纯的浪漫泰剧            
(2星)	 太長看了很累!女主角一開始感覺還不錯，可是之後一直苦瓜臉又哭個不停，超想扁她！！狗狗好漂亮，匍匐前進的時候太Q了！            
