http://movie.douban.com/subject/2190925/	鉴证实录 鑑證實錄
(4星)	 精彩的不是里面的案件，而是主角们的感情纠葛            
(5星)	 好经典。            
(5星)	 我的聂医生和曾督查啊。。。。。。。。            
(5星)	 老子重看看的开心的来......            
(4星)	 小时候最喜欢看了            
(4星)	 嗯嗯！            
(3星)	 原来那时候，额，李珊珊是港姐            
(3星)	 不是当年俄感觉了麻            
(5星)	 今年暑假怎么没播啊            
(5星)	 吓得不轻            
(4星)	 李珊珊是个歪嘴            
(4星)	 当时把我吓坏了。。            
(NA)	 其实我喜欢林保怡和陈慧珊搭一起            
(4星)	 经典            
(5星)	 正！            
(5星)	 从此认识林保怡            
(4星)	 我喜欢小棠菜。            
(2星)	 小時候挺喜歡林保怡             
(4星)	 我还真挺喜欢的。。。            
(4星)	 那那种红蓝白三色的雨布袋装尸体！            
(5星)	 重温            
(NA)	 法医            
(5星)	 太喜欢            
(3星)	 当年居然觉得李珊珊比陈慧珊好看许多。现在发现，我的审美也是在不断进步的。            
(3星)	 看过。。。吧            
(4星)	 这几天下午电视剧频道在放            
(NA)	 某个阶段看的            
(NA)	 嗯！            
(3星)	 当年觉得陈慧珊真好看。            
(4星)	 这部很经典很经典啊            
(4星)	 喜欢它的主题曲            
(5星)	 破案片是我的最爱~            
(4星)	 风车啊风车            
(4星)	 我无敌喜欢陈慧珊！            
(5星)	 林保怡演的家原实在太有魅力了。。。李珊珊是港姐居然。。。长的太寒碜了。。。            
(4星)	 那个时候的梦想是做个漂亮的女警            
(4星)	 那个时候真的好喜欢那首片尾曲...            
(3星)	 Flora的力作            
(5星)	 我最爱的TVB剧集之一。            
(4星)	 陈慧珊+林保怡=金牌搭挡            
(5星)	 怨念得可以等待很多年。。            
(5星)	 追了很久，好看好看            
(5星)	 特殊的情感。            
(5星)	 经典。            
(NA)	 曾经看了很多遍            
(4星)	 由此觉得法医实在是个神秘又有趣的职业            
(4星)	 你很难想象我竟然会这么喜欢林保怡。            
(4星)	 大二那年假期每晚回来pplive必看,看到超晚            
(4星)	 女法医是当时的偶像.知性.冷静.遗憾的是错失了自己的感情.            
(5星)	 好看。            
(5星)	 想来是我最爱的港剧，小棠菜和聂医生我都喜欢，还有津津，还有小青阿姨：）            
(NA)	 再问我一次.你觉得这个剧好看么.我依然会用童年的记忆回答你.很好看啊.怎么了.            
(NA)	 经典之一咯            
(4星)	 我爱陈慧珊！            
(NA)	 从洪天飞一案 开始发力了            
(4星)	 最近···我在怀旧的看港剧······还是十几年前的······不过这个真心觉得不错~            
(5星)	 就是这部 我爱上了 陈慧珊 和 林保怡            
(4星)	 幼年挚爱啊            
(NA)	 我只是马克一下            
(5星)	 可惜我总是不像聂医生~            
(5星)	 内会儿可喜欢了！            
(5星)	 重温了一遍第一部，还是老片子老戏骨给力啊，果断开始看第二部！！！            
(4星)	 小时候最爱港剧！            
(NA)	 童年回忆之            
(5星)	 超好看            
(5星)	 最近又抄出呢套戏来睇。发觉果阵时嘅编剧真系好掂。            
(5星)	 后来不敢看了，怕怕。            
(4星)	 初二，什么事都不懂的时候看了，晚上吓得睡不找。另外，也第一次看到一个男人为了另一个男人而疯狂。            
(NA)	 小唐菜是什么菜            
(4星)	 都老了老了！            
(5星)	 林保怡X陈慧珊 这个组合最赞了~            
(NA)	 鑑證實錄!!!歐!!!            
(5星)	 我的童年xxxxxxxxxxxxxx            
(5星)	 為何一直在談戀愛啊親們            
(5星)	 超级喜欢的，我还记得当时录了片头曲，很喜欢            
(5星)	 演员其实长得都不咋的，但是剧情很好            
(4星)	 电视上老演，就老看咯            
(NA)	 那时候TVB最佳情侣~林保怡&amp;陈慧珊...            
(4星)	 1不如2            
(NA)	 三遍以上            
(4星)	 案件之间有交错，前后有呼应，现在的侦探剧都很难做到了            
(3星)	 林X陈。警察X法医。经典CP            
(NA)	 还记得它的片尾曲特别好听，而且从此了解有种修辞手法叫“顶真”            
(4星)	 看过这个电视剧才有了想当律师的志向            
(5星)	 小时候看的港剧，现在还是觉得不错。            
(NA)	 追着看过            
(3星)	 这个时候认识林保怡，后来在家里一个黄碟上竟然还看到他，记不清是预告还是什么了            
(5星)	 这俩人真不错            
(4星)	 当年真是在大夏天给我看出冷汗了            
(NA)	 小学？～我 我哥 我妈··那剧情我看的怕死了··            
(5星)	 最初认识林保怡            
(4星)	 我心中的港剧经典。            
(5星)	 我就是一看TVB长大的主儿。。            
(5星)	 经典啊            
(4星)	 总觉得很血腥            
(4星)	 不要再说我长得像小唐菜了！！！            
(5星)	 聂医生啊聂医生~~            
(4星)	 好老的片子哦，只是现在的TVB还有这样影响广泛的好片吗            
(5星)	 这个小时候给我的印象太深啦。            
(4星)	 当时就很喜欢“宝言”这个名字呢。            
(5星)	 初中的时候看的，那时候还不敢晚上看。怕人的            
(5星)	 从这部戏开始喜欢陈慧珊。            
(4星)	 宝言~~~            
(5星)	 哦也。我喜欢陈慧珊。            
(5星)	 很喜欢这部连续剧,喜欢陈慧珊，气质型美女            
(3星)	 反反复复经常发作。。。。呀            
(5星)	 就是有点怕····            
(NA)	 最爱晓棠菜~            
(4星)	 记忆中非常恐怖的电视剧 记得那时候还做噩梦了            
(5星)	 好中意陈慧珊！！！！            
(5星)	 小时候的回忆啊。            
(4星)	 中学时代痴迷的一部港剧~~看着抱着尸体的陈慧珊，突然发现自己的胆量可以很大。。。哈哈            
(5星)	 主题曲很好听～            
(4星)	 谁没看过，请举手~！            
(4星)	 小眼睛男人好可愛            
(5星)	 每一部的片尾曲都很好听~~~edmond            
(4星)	 当时当成鬼片看的            
(NA)	 聂宝言            
(4星)	 小时候看这个有点吓人~有阴影            
(4星)	 林保怡啊。。。            
(4星)	 香港版的CSI哈            
(4星)	 对这类题材的TVB电视剧没有抵抗力            
(5星)	 以前电视上总放~小时候好喜欢看的。小棠菜哈哈            
(NA)	 当然有人不能错过TVB的探案片时代            
(5星)	 重播必看            
(5星)	 高中时没看,大一时最爱            
(5星)	 这个，我实在是太喜欢了。            
(4星)	 小时候记得挺好看的            
(4星)	 没什么印象了，记得挺好看的~~            
(3星)	 喜欢看            
(5星)	 这一对太配了~            
(4星)	 林保怡和陈慧珊            
(5星)	 喜欢..            
(4星)	 电视剧频道在放....又看了一遍            
(4星)	 喜欢这种类型。            
(5星)	 从小看到现在啊～李珊珊很灵的～！            
(5星)	 林保怡avec陈慧珊..聂医生啊 聂医生            
(4星)	 林保怡和陈慧珊我都喜欢。            
(5星)	 我想当个法医，想当年            
(4星)	 很久以前 很不错            
(5星)	 喜欢林保怡            
(3星)	 flora的经典角色            
(NA)	 小时候可是这剧忠实的fans            
(5星)	 很有爱~陈慧珊和林保怡很配            
(5星)	 我爱林保怡            
(4星)	 很不错            
(5星)	 那时候觉得陈慧珊很气质的            
(4星)	 一集没落            
(5星)	 林保怡怎么是同性恋呢！！！真让人伤心            
(5星)	 就是看了这个才想当法医的            
(NA)	 当时就觉得女法医很酷啊！            
(5星)	 绝对的经典！！！            
(5星)	 非常好的港剧，看过非常多遍，各个人物都历历和栩栩。            
(5星)	 第一部让我如此喜欢的TVB剧。            
(4星)	  看这喜欢法医这个职业            
(5星)	 香港的推理片！很爱            
(NA)	 满配的一对            
(5星)	 哎哎今天又在电视上看到~~真怀念。            
(5星)	 最爱的TVB剧            
(4星)	 林宝怡的腔调很喜欢。像巨蟹座的男人。            
(4星)	 从这个时候开始喜欢Bowie这些年演技越发的娴熟            
(5星)	 爱推理剧没商量！            
(4星)	 这歌我都会。。            
(5星)	 法政片鼻祖，当时超迷啊~            
(4星)	 第一个理想是当法医啊。            
(5星)	 走在大街上，我听见这电视的主题曲一开始，就匆匆跑回家了。            
(NA)	 还可以            
(4星)	 不错，不错！            
(5星)	 法医这个职业不错            
(4星)	 主題曲《留痕》是偶的大愛            
(4星)	 超爱看这个的  片头非常好听            
(5星)	 我的最爱            
(4星)	 很想再重溫一遍的港劇港劇還是老的好看啊            
(NA)	 ~~~~~~~~~~~~~            
(5星)	 對法醫了解的起源            
(5星)	 ~            
(5星)	 超级喜欢林保怡和陈慧珊.不是因为容貌而是因为演技和深深的侦探片情节.            
(4星)	 小时候看的被吓到            
(4星)	 还是很好看的……            
(4星)	 哈，已经没了印象            
(NA)	 真萌林保怡.            
(5星)	 喜欢小唐菜            
(5星)	 探案剧集，很不错的作品            
(NA)	 鉴证实录            
(5星)	 哦，我破碎的梦想            
(4星)	 害怕,但是陈慧姗非常喜欢            
(5星)	 太经典。。。            
(4星)	 因为法医            
(NA)	 以前是真的爱看tvb的剧集，现在不怎么提得起情绪了。这也是我第一次看到当年的港姐李珊珊的表演            
(NA)	 喜欢聂宝言。。。            
(NA)	 因为喜欢林保怡            
(5星)	 看了N邊都不會膩            
(4星)	 鉴证实录            
(NA)	 TVB            
(4星)	 这个港剧还可以啊。小时候觉得很好看哦！哈哈            
(4星)	 很喜欢这对银幕情侣，很喜欢陈慧珊            
(NA)	 吓！            
(5星)	 百看不厌            
(4星)	 半夜看的,不怕不怕            
(3星)	 当年对马德钟那个同性恋案子还感到触动呢            
(3星)	 不喜欢小棠菜，虽然知道她很可怜，但还是没办法喜欢她~~            
(5星)	 &#34;（家原）你……你问我日子？（宝言微微颔首）又没人喜欢我，……你又不肯嫁给我&#34;oh..迷死人了...            
(5星)	 flora  flora flora            
(5星)	 儿时最爱            
(5星)	 兔年年底重温了一下，还是爱得要死呢啊~~我最爱的港剧~~当年真的是倾尽感情去看的一部剧啊~~            
(4星)	 还行。            
(5星)	 不管多少年都是我的最爱             
(NA)	 林保怡姐的爱 特别要说一下我妈极爱陈慧珊的颜（该用“＝＝”这个表情吗）好吧其实我觉得她还不错            
(5星)	 回忆啊，那时候港剧算是电视上放的比较好看的剧了，每到广告时间就好心急！            
(5星)	 儿时的最爱！[我是变态~~            
(4星)	 後來我發現原來大家都不喜歡小棠菜 = =            
(5星)	 当年很喜欢看！！！里面有个很帅的gay！！！原来我那么小的时候就是腐女了！            
(5星)	 最近喜欢看破案剧了，TVB破案剧环环相扣，故事紧凑，画质已老，大致上能猜到凶手了，可小时候看片的记忆太深刻了！聂宝言是最喜欢的女主角，没有之一。梁汉文的《留痕》很好听，经过岁月沉淀的老歌很有味道！            
(5星)	 重看依旧经典！我最爱的couple            
(NA)	 【1997-12-22】            
(5星)	 当年看完以后我就各种爱法医！ (*￣▽￣)y             
(5星)	 聂宝言啊.......            
(5星)	 聂宝言&amp;曾家言!!!!!!!!!!!!!!!!!干练知性,黑白工装也穿出优雅气质的聂医生和铁汉柔情冷幽默的曾Sir~“风车啊风车，转快点带给我们多一些好运吧...”TVB的黄金时代,已经远去了...            
(4星)	 感情戏是一大败笔。            
(4星)	 又翻出来看了一遍，还是蛮赞的。            
(5星)	 TVB不解释            
(5星)	None
(5星)	 很喜欢的一部TVB            
(5星)	 我爱林保怡，小唐菜真是SB啊。。。            
(5星)	 红白蓝塑胶袋成了我永远的阴影啊。。            
(5星)	 小时候的最爱啊 超级喜欢 林保怡！陈慧珊！            
(5星)	 太喜欢了            
(4星)	 当年完全当鬼片儿看的- -            
(5星)	 今天突然很想看             
(5星)	 有几个案子是要吓死幼时的我啊            
(5星)	 看过的为数不多的TVB。            
(5星)	 看完之後我在聽《相思風雨中》。。。。。            
(5星)	 多爱这一对            
(4星)	 小时候看的            
(3星)	 怀念下我的童年。            
(5星)	 哀悼下我的青春。。。大叔是永恒的！            
(4星)	 过目不忘的经典。            
(4星)	 再见，我的小时候~~~            
(4星)	 我小学时候看的，那时候超级喜欢            
(4星)	 很喜欢那时的陈慧珊。            
(5星)	 小时候因为宝言一直梦想当法医            
(5星)	 经典港剧哦 重温了一遍             
(4星)	 重温一遍鉴证实录，林保怡你还是我最爱啊            
(5星)	 小时候还会害怕得不敢一个人看，对小棠菜印象深刻。            
(5星)	 喜欢林保怡这个演员。            
(5星)	 怀旧一把系列~相当的怀念！            
(5星)	 最爱最爱！            
(5星)	 只有这个叫港片儿！            
(4星)	 比《刑侦》系列看得还早，奠定了对TVB侦探剧的第一印象，还是很不错的。            
(4星)	 俺从来就没喜欢过小唐菜！囧 梁汉文唱的主题曲好听！            
(5星)	 baby 我爱你啲~~~讲多一次~~~陈慧珊~~~你好有型~~~俾多你❤❤❤            
(4星)	 主角身边的人都慢慢死光了。。。            
(5星)	 因此片萌生做法医的念头            
(5星)	 回顾~~林保怡陈慧珊陈慧珊林保怡林保怡陈慧珊陈慧珊林保怡~~            
(4星)	 喜欢林保怡            
(4星)	 我有个初中同学长的像小棠蔡            
(5星)	 噢噢主题曲真好听            
(5星)	 回忆啊            
(4星)	 还是那时的TVB好看~不过那时也看不到啥好的            
(NA)	 我还洗翻陈慧珊！！！！从小就是御姐控看来。。            
(NA)	 想当年，看某部的最后一集，他拉开窗帘，坐在病床旁，给昏迷的她读书的时候还滴泪了呢……这个画面一直在脑海里。            
(5星)	 【谁没有幻真千变的个性，谁独有慧根事事透澈看清】看的时候还好好学了学梁汉文唱的这歌            
(5星)	 TVB最爱！            
(5星)	 小唐菜，至今不知道咋写的那姑娘名字，TVB缔造了一个时代的神话呢。            
(5星)	 女神陈慧珊            
(5星)	 以前天天守着看的            
(5星)	 至今我的梦想仍然是这个            
(NA)	 經典！            
(5星)	 因为这个认识林保怡的，我眼睛很小但是很有神。。。            
(5星)	 这部真是赞到家了            
(5星)	 我觉得TVB史上最好看的一部剧，比一季季看CSI爽多了，差不多有十年了！我那时候才多大啊！            
(5星)	 又翻出來看了一遍            
(4星)	 李珊珊~差点儿成气候            
(4星)	 我爱林保怡！            
(4星)	 那个时候我多小啊 我那个时候真希望林保怡要和陈慧珊在一起啊            
(5星)	 可能是第一部TVB剧当时还在读小学            
(3星)	 小时候看的，当时看了觉得挺吓人的            
(5星)	 主题曲至今难忘            
(5星)	 当年多喜欢这部片啊            
(5星)	 从小学看到现在。。。一直觉得很好看。。。。掩面            
(5星)	 喜欢林保怡，当年看鉴证的时候总是吓得半死。            
(NA)	 林保怡，是从这时候喜欢的。            
(5星)	 有林保怡的必看啊！            
(4星)	 悬疑推理剧总是我的心头好            
(5星)	 喜欢啊喜欢~            
(4星)	 其實我現在只記得一點點片段..好久遠啊            
(4星)	 曾经一个人看的时候还觉得好吓人。            
(5星)	 曾经最爱的刑侦剧！百看不厌！            
(NA)	 暑假必炒冷饭剧            
(3星)	 案情太弱智。。            
(5星)	 第一次看到陈慧珊            
(5星)	 当年在老家看的，晚上都没怎么睡好            
(4星)	 不愧是港剧的黄金时代，到了今天就很普通了。大爱陈慧珊            
(5星)	 小时候超级爱看啊啊啊啊            
(4星)	 林保怡经典，虽然都是些猎奇悬疑的东西，模仿美剧痕迹很重，但是掺杂了港剧模式的纠结感情，也算别有风味。可能现在重口味的爱好和年纪太小就接触这类剧有关……降头那集尤其恐怖，从此对东南亚乃至东方原始宗教都有阴影……            
(NA)	 经典老片            
(NA)	 小时候            
(5星)	 当时很迷啊~            
(5星)	 永远都会爱            
(5星)	 情像支夜猫优雅的野性  情像片烈火但又盖满厚冰            
(5星)	 我现在是如此的想再看一遍！！！！            
(NA)	 林保怡 陈慧珊 嗲。小唐菜13点            
(5星)	 林保怡，陈慧珊。            
(5星)	 经典~伴我度过不知道几个暑假寒假。。            
(5星)	 遥想当年...            
(4星)	 当年大爱这个，对法医很迷恋            
(5星)	 爱死曾sir了，小眼睛怎么那么有魅力啊            
(4星)	 哪一年看的，真不记得了。。            
(NA)	 经典之作啊，不过好讨厌小棠菜&gt; &lt;            
(NA)	 很久了 记得Edmond的《留痕》太好听~            
(5星)	 当时又怕看又爱看            
(4星)	 陈慧珊大好            
(5星)	 小时候超喜欢！！！！！            
(5星)	 我爱林保怡和陈慧珊！            
(5星)	 晚上闲的蛋疼，就又翻出来看。            
(3星)	 以前喜欢陈慧珊            
(NA)	 林保怡            
(4星)	 经典系列啊！！我喜欢林保怡 这里面而已            
(5星)	 经典来的么..            
(4星)	 很久啦            
(5星)	 绝对的经典            
(5星)	 TVB最经典的系列之一。看完差点想去做法医了。            
(4星)	 那简直就是一个暑假……            
(4星)	 我喜欢TVB剧,特别是有法医的            
(5星)	 绝配的两个人            
(5星)	 非帅哥非美女演绎的经典～～            
(5星)	 经典中的经典            
(5星)	 陈慧珊很好看            
(4星)	 忘记说什么了            
(4星)	 从这部剧认识陈慧珊            
(4星)	 大家都喜欢看TVB的警匪片啊&gt;&lt;            
(5星)	 小时候看还怕怕的            
(5星)	 没有最早贴加它，是我的错。。。            
(5星)	 儿时记忆，有了当法医的梦想            
(NA)	 美好的回忆            
(5星)	 当年让我喜欢上陈慧珊和林宝怡的片子,当时超级喜欢,这部片之后TVB的刑侦片成了一大特色            
(NA)	 曾经因为这电视想去做法医，很爱这气质的主角            
(NA)	 人生，还是多多行善，处处留心。            
(5星)	 啊啊啊啊我好喜欢林保怡啊 我还喜欢小唐菜 我还喜欢陈慧珊啊啊啊啊啊             
(NA)	 小时候看的。那时候特别喜欢陈慧珊和林保怡            
(5星)	 这两部超级无敌喜欢~            
(5星)	 当时就立志要当个法医。。            
(4星)	 这个我还有点印象，宝言有气质！            
(4星)	 童年啊，都是很妈妈一起看            
(4星)	 当时还是蛮经典的            
(5星)	 我最初看的刑侦            
(4星)	 超爱这类港片啊~~~            
(4星)	 有爱情有奸情有案情            
(5星)	 重温“大佬原”            
(NA)	 我却爱小棠菜~            
(4星)	 讚            
(3星)	 喜欢陈慧珊            
(5星)	 又一部百看不厌= =            
(NA)	 最爱的一部TVB            
(5星)	 不喜欢李珊珊。~~~            
(5星)	 片尾曲多经典啊 小唐菜和家乔真的配            
(4星)	 小糖菜，我们宿舍的最爱            
(5星)	 经典!!!!!!            
(3星)	 卖麻辣串的阿姨说我长得想小唐菜哈哈            
(5星)	 从这部戏里爱上陈慧珊和林保怡这2个其实并不是很好看但却很有味道的人            
(5星)	 我最喜欢的港剧之一              
(5星)	 我小时候超级喜欢 现在还经常会哼哼上几句主题曲            
(4星)	 将法医鉴定联系起来，当时非常有新意。            
(4星)	 因为这个电视剧，我曾经一度很想去做法医嘞..            
(4星)	 第一眼觉得男女主角太丑，后来越看越顺眼。            
(5星)	 不用讲了 不用讲 都懂的            
(4星)	 不敢晚上一个人看~            
(5星)	 经得起一看再看~~~            
(4星)	 念小学时看得我是又吓又怕又超想看啊~            
(4星)	 有点恐怖            
(4星)	 那时候喜欢上林保怡这个不太帅的演员            
(4星)	 儿时看 屡看不爽            
(4星)	 我这人呢，比较乐观，整天笑啊笑的，怎么戒也戒不掉            
(5星)	 像美国版的CSI很过瘾俄~~~~            
(4星)	 早期很爱的港剧！因为有我喜欢的探案和验尸= =！            
(NA)	 经典。            
(NA)	 不是一般的受吓啊！            
(4星)	 小时候因为这个，很想当法医…－ －。            
(5星)	 我的法医情节，不知是不是因为这个当年选择医学院如此一无反顾            
(4星)	 我的童年啊~~            
(5星)	 impressive聂宝言这个名字谁会忘掉呢？            
(4星)	 他们两个连气场都那么合拍            
(4星)	 《留痕》            
(4星)	 童年记忆啊。。            
(5星)	 从小看到大，超喜欢            
(5星)	 很久远的片子。我还能记起一些情节来。 重看会惨不忍睹吧。 倒是现在还喜欢梁汉文的片尾曲。            
(3星)	 星光度较低。            
(4星)	 真得很早看的，一直喜欢tvb的推理剧了            
(3星)	 有的还是挺恐怖的            
(4星)	 陈慧珊            
(NA)	 觉得女法医气质的不得了             
(NA)	 曾经朝思暮想做梦都梦到的片子。大爱聂宝言。            
(5星)	 经典之三            
(5星)	 最最最爱的港剧。            
(5星)	 喜欢林保怡，一直到现在都是。            
(4星)	 陈慧珊就是神^_^            
(5星)	 要重温            
(4星)	 狗血的爱情啊            
(4星)	 曾SIR和宝言，求求你们在一起吧~            
(5星)	 我真是好羡慕陈小姐            
(4星)	 聂医生真小资            
(NA)	 当年非常有爱的阿            
(4星)	 经典            
(5星)	 前阵子才知道林保怡不是一般的厉害...            
(4星)	 他們兩個的搭配給我無限的遐想            
(3星)	 晓棠菜            
(4星)	 聂医生，你并不算漂亮，但我喜欢你            
(4星)	 聂医生最爱出国散心            
(NA)	 慧珊姐姐            
(4星)	 也是沈迷的一部戲。            
(4星)	 法证技术看着新鲜，不过案子其实太简单了，基本没什么悬念，第二部还好点。            
(4星)	 以前超爱这片子            
(5星)	 不知道为什么很喜欢林保怡和陈慧珊一起            
(4星)	 男女主角都很喜欢啊，觉得这是陈慧珊所扮过的最好的角色了            
(3星)	 港剧展现的总是那么专业的人士            
(5星)	 潘嘉德出品的代表作、代表作、代表作。没看过这部戏，就不知道没有出众相貌，单凭气质取胜的知性情侣档，在悬疑剧情推动下，看着这么顺眼！！！            
(4星)	 flora的经典            
(5星)	 曾经很迷恋小眼睛男人            
(3星)	 不知道为什么，就是不喜欢陈慧珊            
(5星)	 喜欢聂医生            
(5星)	 看了又看，我要变法证专家拉~~            
(5星)	 小时候觉得有点点害怕，但是还是坚持每集都看            
(4星)	 曾几何时 我们也想做聂宝言            
(4星)	 最早看的這類型的片子。            
(3星)	 看得没头没尾的~不过蛮喜欢看的拉            
(4星)	 以前看这个像看惊悚片。。。            
(5星)	 心目中港剧的最经典            
(4星)	 曾经的TVB.            
(NA)	 不错            
(4星)	 虽然情节不错，但是我至今有阴影！            
(4星)	 还是TVB好看·            
(4星)	 嗯马脸阿姨是我对&#34;知性美&#34;最初的朴素印象。。。            
(3星)	 好看的...每次法医验尸...都不赶看...            
(5星)	 我一直都认为他们是一对的            
(5星)	 那时候就觉得法医实在是伟大~            
(4星)	 看着挺害怕的~            
(4星)	 好老啊。            
(5星)	 我最喜欢的电视剧之一啊，初中追看时的美好回忆啊。            
(5星)	 还是林保怡～            
(5星)	 这个 绝对经典的            
(4星)	 主题歌or片尾曲很赞            
(5星)	 我爱TVN            
(5星)	 很经典            
(4星)	 时隔N年，还是动容            
(4星)	  推理             
(4星)	 喜欢他俩演情侣            
(3星)	 陈慧珊、梁汉文的主题曲            
(5星)	 FLORA讓多少人以為法醫是個易又酷的職業...            
(5星)	 儿时            
(5星)	 小时候很爱看 聂医生 很灵的            
(3星)	 不错   就因为这片子  对法医产生好感的            
(4星)	 四星半，而且非常想给五星，还是四星半吧。。。初中时候在电视上看就挺喜欢的。之后下下来仔细看过依然不改初衷。主角感情线细致不狗血。案件也都很不错。            
(5星)	 MUA~~~林保怡~~            
(4星)	 这么老的片子 说没看过也是骗人~~嘿嘿            
(5星)	 就喜欢看这类的片子。            
(4星)	 经典港片,老搭档~            
(4星)	 第一次在电视上播时都是晚上一人看的，怕怕~            
(5星)	 经典..!!            
(4星)	 还蛮喜欢看到林保怡那张搞笑的二逼脸            
(3星)	 都是小时候看的了，情节大部分都忘了，但有屑记忆下来了，就很难忘掉，很喜欢上面的人，            
(4星)	 第一部把我吓坏了的片子，记得一个起案子的红白蓝塑胶袋，一拉开..            
(3星)	 20            
(5星)	 全家一起看这部港剧！            
(5星)	 小棠菜~~~~            
(5星)	 有林保怡的我都爱 有陈慧珊的就更好了~~             
(4星)	 爱死陈慧珊了            
(4星)	 记忆            
(5星)	 我爱看的题材            
(4星)	 我的头几部TVB啊            
(4星)	 回忆啊回忆．．．            
(3星)	 林保怡和陈慧珊也蛮登对的哈            
(4星)	 最爱的港剧之一，很喜欢陈慧珊和林保怡。            
(4星)	 好看            
(4星)	 我们真是有缘哪，逛街也会碰到。 --百货公司大减价，没缘也变成有缘了。             
(5星)	 看了又看。            
(5星)	 TVB 经典            
(4星)	 很怀念            
(NA)	 爱死了！            
(4星)	 荧屏情侣            
(5星)	 比较喜欢的一部            
(4星)	 小堂菜..            
(4星)	 喜欢陈慧珊            
(NA)	 最爱的港剧            
(5星)	 陈慧珊和林保怡其实还是相当登对的。时至今日，我还是能想起其中的情节，那么动人。。。            
(NA)	 陈慧珊哦也            
(4星)	 聂宝言，完美了。            
(5星)	 經典。。！            
(5星)	 重新看,经典.!            
(3星)	 后面有一段简直不是人看的            
(4星)	 很早看            
(5星)	 很好看 真的很好看！            
(4星)	 TVB很擅长的路线            
(5星)	 感觉是无法逃避的            
(NA)	 好久远啊~            
(4星)	 小唐菜满好额。。。            
(5星)	 主题歌好听，哈哈            
(5星)	 从这里,开始喜欢你.            
(5星)	 2005            
(5星)	 喜欢林保怡。            
(4星)	 我有一个同学，因为这部剧，报考了法医系，并且毕业了，成了法医。            
(5星)	 我爱你们。一看再看。            
(4星)	 睿智的对话            
(3星)	 喜欢推理的悬案，林保怡很酷            
(4星)	 高中时看的经典            
(4星)	 挺喜欢            
(NA)	 怎么每复习多一次就讨厌小棠菜多一点呢?            
(4星)	 原来我看过这么多TVB的电视剧呀            
(4星)	 典型的搭档……还是有点害怕……            
(NA)	 TVB的经典啊，聂宝言我的偶像啊……            
(4星)	 还可以，女主不是很喜欢的说。            
(4星)	 喜欢陈慧珊和林保怡的组合            
(4星)	 很喜欢的电视剧。            
(5星)	 每看全,不过很好看.有一点点吓人.            
(5星)	 嗯，法医+刑警。马德钟在里面演的是同性恋，那个时候的他还在走变态路线~~            
(3星)	 当时这片很红噶            
(3星)	 小时候看的时候觉得很怕，但还是忍不住要看            
(NA)	 小时候迷得            
(4星)	 考大学那年的梦想            
(5星)	 好看，宝言很特别，超喜欢津津！            
(4星)	 难得拍了这么多部还这么有水准地~~~            
(5星)	 &#34;（家原）你……你问我日子？（宝言微微颔首）又没人喜欢我，……你又不肯嫁给我&#34;oh..迷死人了...            
(4星)	 哈哈..因为这部电视剧.而喜欢上林保怡.觉得小眼睛男人也不错...            
(NA)	 银幕经典情侣档            
(3星)	 男女主角,最佳拍档            
(5星)	 1999            
(5星)	 神剧            
(4星)	 港剧制霸的当年            
(5星)	 我喜欢侦探片            
(4星)	 法医，警察，强强联合            
