http://movie.douban.com/subject/1968568/	雪山飞狐
(NA)	 雪山飞狐是少有的没看全的金庸武侠改变的电视剧 于是就不打分            
(3星)	 又是一部改得面目全非的金庸剧，冒出来一个神秘的幺一一，没了我最喜欢的程灵素，3颗星            
(4星)	 因为这部剧迷上陈锦鸿，只觉得这才是心中完美的胡斐形象。还有魏骏杰一人分饰福康安、乾隆、陈家洛三人，养眼呐。尽管后来看了原著发现改动太大，袁紫衣和程灵素通通没出现，反而出现了个神奇的幺一一……智叔的平四造型一度让我害怕。            
(5星)	 喜欢陈锦鸿。。。            
(5星)	 都有些不太记得场面了，雪山和外传的结合体            
(4星)	 为了张天王完美演绎的片头曲和漂亮的片头啊~可恶的TVB为了省那点钱居然就买了半部版权…………            
(5星)	 和老爸一起看的~             
(3星)	 这也是金大侠不让我喜欢的一个作品,看过书,看过电视剧,到现在也不知道是怎么个故事.            
(2星)	 僵啊            
(3星)	 还是不知为何~对阿佘印象那么深~~~            
(2星)	 我的程灵素啊，居然成了幺一一？！            
(4星)	 只记得扮演苗若兰的你。            
(3星)	 就只记住大雪一片白            
(2星)	 旨在记忆给两星            
(3星)	 就冲着魏俊杰和滕丽名看的，心酸的说            
(3星)	 讨厌佘大妈            
(3星)	 唯一不喜欢的金庸剧            
(NA)	 佘诗曼出演的第一部电视剧，演技就不多说了...            
(3星)	 喜欢郎剑秋。。女中豪杰            
(3星)	 其实这个一一很不错            
(4星)	 温柔的SS^_^            
(3星)	 胡斐好型啊……但系佘斯曼好煞风景！            
(3星)	 犹记枯燥高三生活的每个中午有它陪伴            
(2星)	 真够难看的            
(4星)	 新版的也8错            
(2星)	 谁改的            
(1星)	 乱改！            
(3星)	 07年5月19-20日，开头几集            
(5星)	 金爷爷的小说，经典啊，当年……            
(NA)	 有点过头            
(5星)	 又是黄日华            
(NA)	 可能没看全            
(3星)	 【好無聊的開始馬克看過的TBB】請不要告訴我幺一一是程靈素謝謝。            
(2星)	 佘诗曼总给人一种扮猪吃老虎的感觉，太不小白兔了            
(3星)	 非常喜欢苗若兰            
(3星)	 佘诗曼的确不够漂亮啊。。。。唯一的亮点就是黄日华。。            
(3星)	 不怎么稀饭佘诗曼。            
(4星)	 匪夷所思的改编也是一种...才华啊....望天 .            
(3星)	 佘诗曼太美了             
(NA)	 不是很喜欢            
(5星)	 嘟嘟脸的佘宝贝，看着就想咬一口，哈哈            
(3星)	 华日华的这版反而印象不深了。            
(3星)	 陈锦鸿一向不喜欢 除了创世纪里的。。            
(3星)	 当时貌似不爱苗若兰。            
(3星)	 挑了两集来看，阿佘好水嫩。剧情能改编成这样也算是奇葩了...看到滕姐那个角色的介绍——融合马春花、袁紫衣等大成者，我的一口鲜血终于喷了出来。            
(2星)	 不如早期内地的那部好看            
(3星)	 喜欢黄日华 张学友的主题曲好听啊            
(3星)	 阿佘第一部女主角的戏。            
(3星)	 刚才又看了看，发现这剧好弱智。。- -            
(3星)	 滕丽名啊            
(5星)	 追溯记忆最深处，一曲追梦断肠人~            
(2星)	 似乎是那个把苗若兰变大把马春花和袁紫衣合二为一的剧？            
(NA)	 忘了哪一年看的= =            
(3星)	 这貌似是我唯一不那么喜欢的武侠片了            
(3星)	 原著没看过所以改的面目全非也可以接受            
(3星)	 演得真心一般@Home            
(3星)	 还行            
(4星)	 那时少年各种剧~~~            
(3星)	 桑青            
(NA)	 喜欢陈锦鸿            
(3星)	 陈锦鸿扮小男人多,扮大俠不行,阿佘初出道            
(5星)	 我最喜欢一一            
(NA)	 武侠剧里面算不好看的            
(3星)	 里面的那个谁谁谁是我见过的最丑的女演员了。初三时候播的。            
(3星)	 那时候其实觉得很难看的，可还是每天掐着时间跑回家看，经常弄得上晚自习迟到，不知道怎么想的            
(4星)	 觉得以前好看的电视真心多，为什么现在电视台都不放好看的港剧了呢            
(3星)	 那时候佘诗曼还很嫩啊。一点也不像现在，明显是心狠手辣的角儿。俺喜欢程灵素，当然，谁不喜欢呢。            
(3星)	 几个主角都不太喜欢，而且拍得很小气            
(3星)	 这个和小说出入也太大了            
(3星)	 佘诗曼那年好年轻            
(4星)	 拍的非常好 改编的恰到好处            
(5星)	 我觉得挺好的啊，至少动作比以前的好了很多很多，胡斐性格也明朗了许多，不错的啊。            
(5星)	 因为版权的缘故，剧情改动太大了，不过90年代的港版金庸武侠剧看看还都不错的            
(NA)	 TVB 有什么是我没看过的么？            
(2星)	 佘诗曼早期的电视剧，超级僵硬！滕丽名扮相很美。            
(3星)	 当年看这个时候是中午 需要老妈把我赶去上学我才肯走~囧            
(4星)	 那阵好顿看啊~            
(3星)	 黄日华好MAN啊，降龙十八掌咩~            
(NA)	 无法超越经典，苗若兰还可以，乖巧美丽            
(1星)	 不知道这是个神马二货！            
(4星)	 佘诗曼的一定看哇~            
(5星)	 飞天狐狸、胡一刀，两人一夫当关的场景让人印象深刻            
(3星)	 死了最后是不是            
(3星)	 看过几集            
(4星)	 完整看过的 武侠剧 属于小时候抱电视的年代            
(3星)	 拍的其实很不错，但我抗议智慧近姚的程灵素变成了阿七...石万嗔和阎基合并了，袁紫衣和马春花合并了。。。            
(4星)	 太爱这版了！            
(3星)	 啊佘的第一部戏            
(3星)	 剧本被改成琼瑶版了，虽然幺一一临死的时候还是心痛了一下，但还是更喜欢原版的程灵素。            
(3星)	 阿佘也有清纯时啊            
(4星)	 4颗星。摆在当年来看是不错滴。            
(5星)	 好帅气的片子！现在还记得主题曲！            
(NA)	 不喜欢这部。            
(NA)	 接下去按照“飞雪连天射白鹿，笑书神侠倚碧鸳”的顺序把我曾经看过的tvb金庸武侠剧添加一遍= =抱歉今天又刷屏了= =            
(3星)	 他们说这个版本是瞎改的？            
(3星)	 3顆星全給滕麗名            
(3星)	 经典。 .            
(3星)	 儿时的回忆 就算电视剧本身不那么好看 但值得纪念的是那段时光和重温的感觉            
(3星)	 ~            
(3星)	 看完了哇咔咔。。。            
(3星)	 哎呀。好难看哟。不过有个配角还有主题曲            
(5星)	 儿时的记忆            
(4星)	 难以忘怀福康安摘梅的场景            
(3星)	 为了阿佘支持一下！            
(2星)	 什么乱七八糟的..虽然我不喜欢金庸，也不带这么改的..            
(NA)	 佘佘很美！！            
(3星)	 男主太丑……            
(4星)	 印象最深还是苗若兰            
(1星)	 死去吧            
(NA)	 貌似不是原著。。。。            
(4星)	 貌似从这部开始喜欢佘诗曼。            
(3星)	 已经不是很记得剧情了，只记得主角是陈锦鸿，还有他那造型            
(3星)	 程灵素和袁紫衣压根就没有，这里是苗小姐的世界！！连情敌都没有！！            
(5星)	 出了人名还有什么和原著一样，甚至有的人名也不是            
(NA)	 当时佘诗曼好嫩啊~            
(3星)	 故事改了很多，其实我并不太喜欢，不过胜在演员的表现不错。当中比较喜欢前面说胡一刀和苗人凤的故事，而说到胡斐的故事线后，我反而比较喜欢福安康和聂桑青的孽缘，最后桑青死在陈近南的怀里那幕当时令我很感动。最后要说的是，斯文柔弱的苗若兰由佘诗曼来演绎，绝对是找对人了。            
(4星)	 雪中情 这歌小时候还会唱的~~            
(4星)	 虽然不太喜欢黄日华……            
(NA)	 那女人在这里恶心到极点            
(4星)	 佘诗曼的处女作            
(NA)	 嗰阵嘅佘诗曼好靓！！一啲都唔姣！            
(4星)	 童年回忆            
(2星)	 胡一刀那几集还行，其他的了了~            
(5星)	 这里的佘佘令当时初中的我很惊艳啊 苗若兰 ~~~            
(2星)	 TVB你就扯淡吧            
(3星)	 喜欢里面的聂桑青啊            
(4星)	 只能说，改编得厉害，抛开原著，还是好看的电视剧的。看来很多人喜欢张学友唱的主题曲，勾起回忆啊～～传说的1999年。            
(4星)	 佘诗曼当年的雷人小清新。。。            
(4星)	 前几日还同亲友唱雪中情来着，原来一直中意的苗若兰是佘诗曼演的啊            
(4星)	 拍的不错。            
(NA)	 基本上只爱看黄日华演的胡一刀那段...            
(3星)	 主要是主演都不是我喜欢的            
(3星)	 面目全非。            
(3星)	 低成本            
(3星)	 觉得有点诡异的一部            
(4星)	 翻拍的东西难免会被比较            
(3星)	 看过，忘了，只记得阿佘婴儿肥了！~            
(4星)	 给佘诗曼的四星            
(NA)	 生命何时开始，确信不疑，偶遇你时，凝望你一双眼开始            
(3星)	 无论你到哪里，我都会跟着你。。。。            
(3星)	 我喜欢福康安。。。哦也            
(2星)	 一直没搞懂雪山飞狐的故事            
(3星)	 没有伍宇娟那部好看            
(3星)	 干什么乱改嘛。。真是的            
(5星)	 其实相当不错，只是看过的人比较少            
(5星)	 好看！演员表演很到位，有侠骨也有柔情            
(NA)	 不错            
(5星)	 喜欢那时候看碟的感觉，是个冬天            
(3星)	 看看当年清纯的阿佘，想着现在的自己老了。            
(4星)	 很小的时候看的，剧情都不记得了，但是小时候该是挺喜欢若兰            
(2星)	 一个字：渣            
(4星)	 对胡斐印象不好。偏偏喜欢上了幺一一。            
(4星)	 电视里的胡斐比书里的可爱多了            
(4星)	 印象深刻            
(NA)	 童年记忆            
(4星)	 佘诗曼，黄日华没有强奸你啊。他是清白的啊，你要相信他啊。            
(4星)	 蛮喜欢这一版的。。。            
(4星)	 小时候超级喜欢的.            
(4星)	 这是我看的TVB第一部戏            
(4星)	 当年老经典啦            
(NA)	 虽然没有了袁姐姐和程妹妹，苗妹妹也有Babyface，但是还是很爱。片尾曲+1。因为这片子爱上雪山飞狐。            
(2星)	 - -。小时候看这个就觉得是在瞎搞            
(2星)	 佘小姐在此片中很娇弱            
(4星)	 这一版的苗若兰真的让我受不了！佘诗曼怎么看都不像温柔可人的苗若兰！陈锦鸿的胡斐倒是有几分气魄，但是给我的还原感也不强~倒是演过萧峰的黄日华扮演的胡一刀，英雄气概自成，豪气干云，大爱！！            
(3星)	 好讨厌佘诗曼在上面的扮相~~太作哦~~            
(2星)	 香港在改编方面实在不行。            
(3星)	 桑青.            
(3星)	 喜欢这里的阿佘            
(3星)	 黄日华几乎把大侠演了个遍。。            
(4星)	 不得不说，早期锦鸿同志的前途，怕是被蛇给拖累的差不多了吧。。。长脸蛇太做作了            
(3星)	 温青青太丑了。。。。            
(3星)	 8岁的时候看得            
(4星)	 犹记那一声声的“胡大哥”…… 婴儿肥的佘诗曼。一人饰三角的魏俊杰。十四当家是我很爱很爱的李冈龙。            
(3星)	 瞎编乱造的剧情啊 和小说简直不是讲同一个东西...            
(3星)	 黄日华版的胡一刀，难忘经典。            
(NA)	 超喜欢那音乐和那冰天雪地的儿女情长。            
(2星)	 什么玩意儿！            
(4星)	 音乐很有记忆度            
(3星)	 那个时候很迷的呀            
(5星)	 我爱那时的阿佘，清纯美丽            
(2星)	 喜欢古装            
(2星)	 话说TVB拍的金庸剧好看的不多。。。            
(4星)	 比内地的好看。。            
(3星)	 因为喜欢陈锦鸿看的，但是又不怎么好看            
(3星)	 改得太多了            
(NA)	 比较爱胡一刀和他老婆。            
(3星)	 程灵素去哪了？            
(2星)	 很烂。幺一一很经典            
(3星)	 改编的一塌糊涂，一看到幺一一，就有点反胃，糟蹋我最爱的程灵素            
(3星)	 不喜欢陈锦鸿！            
(5星)	 经典之作！！人物的演技都很好，有原作十足的色彩！            
(4星)	 当然不错            
(NA)	 不好看。。尤其佘佘还演我最讨厌的苗若兰。。            
(NA)	 不错~            
(4星)	 还可以啦~            
(NA)	 经典的苗若兰            
(NA)	 这一版比较经典            
(NA)	 小时候看的，挺好            
(4星)	 因为这部剧而喜欢阿佘            
(2星)	 还是爱孟飞89版的。            
(2星)	 至今还记得那首主题曲。            
(4星)	 一只觉得tvb拍的金庸片都很好看            
(NA)	 就是喜欢这本电视,看过无数遍~            
