http://movie.douban.com/subject/2299409/	白领公寓
(2星)	 ···            
(3星)	 有点假= =            
(3星)	 董洁老美了  那时候觉得的            
(NA)	 曾经的偶然            
(3星)	 很普通的剧情，可以用来打发时间~~            
(4星)	 当时就被董洁惊艳了。            
(3星)	 为了两个主角看过一点点。。            
(1星)	 安在旭在里面实在是……又老又丑啊            
(NA)	 开始挺期待安在旭的，太让人失望了            
(3星)	 那时候普遍觉得韩国男艺人很帅            
(3星)	 董洁惊艳了。            
(4星)	 80分            
(4星)	 当年我还很萌董洁~~            
(3星)	 初中时的我还是追看过的            
(3星)	 里面董洁很好看,,            
(3星)	 那时候的董洁真的纯的没话说，现在呢            
(2星)	 董洁哦~            
(3星)	 我真喜欢那时候的董洁，百分之百是纯情的代表！            
(3星)	 董洁给人的感觉很清新。            
(2星)	 中韩合作的烂片，可惜了我的女神董洁            
(3星)	 三星是为了董洁            
(2星)	 小时候和妈妈一起看的~ 喜欢董洁~            
(3星)	 我其实也觉得董洁是花瓶~但是这部剧还真的是不错的~呵呵~            
(2星)	 董洁不管在哪里都闪闪发着光....            
(3星)	 献给我寂寞的童年            
(3星)	 记得那时周围好像有一同学老喜欢安在旭的，我一直纳闷，他这么老这么难看，要气质么气质的，怎么会喜欢他呀？哎。。            
(1星)	 什么东西            
(3星)	 安在旭在中国的人气不是永远都能成为收视保证的。。。            
(2星)	 安在旭在俺心中就这样幻灭了            
(3星)	 按记忆，还可以吧……            
(3星)	 安在旭不咋地，刘孜还可以            
(4星)	 哦，安在旭            
(NA)	 还记得那时候二姨夫一直惦记着要看            
(3星)	 当时很喜欢安在旭和董洁            
(4星)	 看的時候挺好的            
(4星)	 当时看的如痴如醉~            
(NA)	 有些感情只能是回忆的，有的感情确实用来珍惜的。。。安在旭和董洁。。。            
(3星)	 董洁的舞跳得好，科班出身的就是不一样，不愧为军人。            
(2星)	 不怎样            
(3星)	 好歹里面的墙上有HOT的海报啊。            
(2星)	 唉～当年的小民哥啊            
(2星)	 中韩合拍好像没什么好作品。那双小舞鞋倒是很漂亮。还有那个鲜橙多还是什么的橙汁广告做得太过了吧。            
