http://movie.douban.com/subject/6536294/	守护BOSS 보스를 지켜라
(2星)	烂片烂片，满都是抄袭的桥段，毫无新意。女主太老，男主不帅，男2非常抢镜，完全乱了套。果断弃！
(NA)	男主的爸爸好萌。。
(5星)	非常喜欢池城，感觉在中也慢慢有了点感觉。姐姐的脸虽然老了点，感觉还是有演技的。简洁明快的风格我很喜欢。
(4星)	很搞笑！
(5星)	不看不知道 一看吓一跳  笑死老纸了 哈哈哈哈！！！！！！！
(4星)	觉得没啥意思 不想看了
(5星)	每看一集都好想拍桌狂笑啊！！！！实在是很欢乐的剧本 （没有比这更不正经的剧了吧？） 然后女主虽然有点年纪了（或者保养不够..）但是依然很欢乐 最喜欢看在中和池城的对手戏了 每次都很恶搞再装正经 哈
(5星)	要不要这么萌，全是一群萌货！
(4星)	在在帅捏~~8过卷卷毛本部长太可爱鸟~~
(3星)	只因为这个名字
(3星)	编剧你是逼我怀疑你的智商咩......
(4星)	深入下去，发现女一其实越看越好看，故事情节也有意思
(5星)	车车CP 圆润CP 嘤嘤嘤~~~
(5星)	因为在中而看了此剧，继而喜欢上了男主，继而觉得和男主互搭的女主也不错，继而没想到第4集中女二也跟男主一起抽故女二也可以，so卖萌无罪
(5星)	时不时就戳中笑点
(2星)	太没劲了
(3星)	我真是对不起我男人TTATT前面还不错，13集以后拖拖拉拉看了那么长时间，有的还是快进……咱还是戴上美瞳，放下刘海儿吧……不要公鸡我，喜欢了他6年，说点坏话饶了我吧~~TOT
(4星)	我快让池城个娃娃脸萌翻了！！！！！！！！！车会长的角色各种洗翻啊！！！！！！
(3星)	三個星給演員金在中...女主角非好感,男主角的設定有點模仿...
(NA)	片尾曲响起的时候心里好像被掏空了一样，很久没有对一部剧的结束这么的不舍。很久没看过这么单纯的给人快乐的剧了，没有奸计没有权谋没有仇恨没有纠葛，就这样和剧中所有的2货一起傻乎乎的走过来。我爱这种没有纯粹坏人的剧，我爱这种单细胞的卖萌剧！
(5星)	偶吧在里面很凌厉，不一样的金在中~~不得不说，剧本选的不错哦~~~
(5星)	看起来非常轻松愉快的电视剧。。金在中在里面真的是非常大的亮点！剧情也很有意思。。炎热色夏天，此剧带来一阵凉爽啊！极力推荐！
(3星)	池叔童颜啊！相比上部皇室，这部里面真是弱爆了，大爆笑XDDDDD 可惜不是我的菜，最后情节也弱爆了
(4星)	池成转萌的形象真讨人喜欢 前面8集真的是很不错很不错 后面太拖太重复 都没什么兴趣看了 不过看在2兄弟的用力力卖萌+bromance 我还是勉强给个第四颗星
(3星)	欢乐，很欢乐，非常欢乐，那么就足够鸟~~
(NA)	戏里戏外，从未有过改变的是希望你幸福的心。圆润大发，请你一定要开心。
(4星)	虽然不舍得但还是结束了。。太喜欢女二了，真的太二了，哇哈哈 。wuli五元本部长没跟女一纠缠太久太万幸了！♥
(NA)	在中 ！！！！！
(NA)	我们结婚后...恋爱吧
(3星)	女主太惊悚了。
(NA)	男二就应该老老实实观望女一嘛！
(3星)	小学生社长与亲妈秘书，励志热血且欢乐。新鲜的梗用完，7集后回归狗血，难掩颓势。被迫加集导致严重注水，剧情拖沓无进展。接档剧《根深蒂固的树》才是SBS亲生的啊！！
(4星)	吖...真心看不出 池城 比 在中 大那么多岁喵~
(4星)	女二啊咋就成苦主了呢
(3星)	唉~老套路，前面几集还挺不错的，不过说实话对韩剧的苦情戏实在有点看不下去，而且没什么美女啊~
(NA)	这其实是一部可以忽略女主的电视剧。。。个人觉得去掉女主完全不会损害电视剧的质量。。。反倒可能收视飙升！！！
(5星)	……作为纯仙后。。。这部剧必须满分！！作为标准韩剧这部剧很有看头。。金在中爱人好萌♥女主角什么年龄真大了。。
(4星)	果然在中还是蘑菇头最有爱了~\(≧▽≦)/~
(1星)	烂，虽然里面有在中，真的是没意思
(5星)	很不错很搞笑。特别是在中和池城的对手戏。
(5星)	喜欢极了！
(3星)	前面很搞笑，喜欢。可是他们一开始有荷尔蒙反应我就受不了了，毕竟这部戏没我喜欢的人，所以就坚持不住了。还有，韩国整容的看起来真是不自然得受不了。
(3星)	池城好帅
(4星)	很搞笑 值得看看
(3星)	池城在里面赤果果的可爱有木有！！
(NA)	看了一半弃了、
(NA)	真心想好好看完的，然后都这年份儿了我也觉着不可能了
(5星)	异常好看
(3星)	金在中演技着实需要磨练
(5星)	好看！好看！好看！
(4星)	还行吧！
(2星)	快进着看了8集~看不下去了~
(4星)	怎么看池城都比在中要老很多，女主的妆容也画的老气了。就是一部典型的偶像剧，多金男主和灰姑娘的故事，看多了实在腻歪～～～
(3星)	是看金在中来了
(2星)	有一个社交恐惧症可以当个病例拿到abnormal psychology的课堂上展示一下
(5星)	这是必须要看的~
(4星)	虽然我觉得两男争这么一女的实在太狗血，但是我受不了金在中的眼神啊！
(4星)	是一部让人身心愉悦的戏，标准的韩剧剧情，胜在有够搞笑~
(4星)	还是没能看完。已经连续很久没有看完韩剧了。这次坚持了11集。
(3星)	快进，不好看
(4星)	虽然女主不怎么太合我意，但是男主从里到外从头到下实在太赞啦！！！故事的后半部分不如前面精彩，但是，卢恩雪，我们结婚后，恋爱吧。我真心表示很赞！！！我爱池城！！
(NA)	演技夸张却不浮夸。池城很可爱。
(NA)	有碟
(3星)	除去在中的因素……真是非常无聊的剧 女主角丑爆了
(4星)	友人推荐的，另外里面有花花，忍不住打开看了，花花那曾经真如花一般迷人的美颜如今也染上了岁月的痕迹，有些心痛。但男女主角演戏还是很出彩的
(5星)	不得不说，韩剧又慢又长不是我的菜，最开始只是单纯为了看在中。看后发现，在中确实有当演员的潜质，剧情也很搞笑，在韩剧中真的很不错
(3星)	最近一直想着当特务……我也想当个暴利女。
(4星)	开头真的不错，结尾又有点拖沓了，不过现在已经没有什么韩剧让我想要一口气看完了= =演员真的很赞！池城实力偶像派~
(3星)	搞笑效果还ok。。。
(5星)	这个剧总体来说很爆笑。女二不是耍心机的那种人，虽然男一跟男二都喜欢女主。不那么苦情，但很煽情。一直觉得严父会一直严下去，没想到也有可爱又调皮的一面，男二某些部分像韩剧男二的普遍特征。不过两个打架的时候太好笑了，总之，这部剧里的人物打架都好好笑。在电梯里面更好笑。
(3星)	搞笑+花痴剧
(5星)	除了丑的要死的女主，其他都满意，女二够可爱啊。
(4星)	这分是给我在在的
(4星)	冲着在中去看的剧却意外发现可爱的池城~女主的演技还是不错的，就是一笑起来那长长的鱼尾纹啊.....sigh.....娜润是难得的电视剧中又美又富而且任性执着的可爱的女人，最后和在中在一起也算是~happy ending啦
(3星)	男一男二暧昧，女一女二百合，这是个神~奇~的韩剧
(4星)	还蛮好看的 歌也很好听
(1星)	烂俗到看不下去了……
(3星)	老爹是笑点= =
(5星)	看这部戏绝对是为了池城去看的。不是在中。
(5星)	回顾了一下温馨的小细节，多了一星。和《最佳爱情》一样，不是青春偶像的演员们却连卖萌也这么流畅自然~
(4星)	boss很可爱。好久不见 英奎兄。
(4星)	池城让我眼前一亮，表演风格行云流水，不拘一格，萌的太可爱
(4星)	很有喜感，超级感动的
(4星)	喜欢！！
(4星)	池城在中的互動太有愛太喜感了~~
(4星)	都好可爱~~~我也想要找个boss~~~哈哈
(4星)	哈哈哈 无厘头有点 虽然没逃出韩剧的经典束缚 但演员们在努力 我能看得到
(5星)	不好意思，金在中脑残饭
(3星)	看这个是为了学习来着
(4星)	真的好喜欢车智宪这款的。哈哈哈哈。
(5星)	太欢乐了，没有更欢乐
(3星)	我居然看完了东方神起之一的人演的电视…………
(4星)	女一长得像猴子，女二表情像贤重，什么情况啊！！但是女二的性格好好玩啊，真是非传统的大小姐女二~武元和智宪好幼稚啊，整天撞来撞去的，太欢乐了~看照片的时候不喜欢在中的短头发，可是动态的影像看起来，越看越帅啊~真的像一个漩涡一样，会让人越陷越深~醉酒后起来茫然失措的表情简直萌翻了~
(4星)	搞笑到不行，感觉一部戏中没有完全的坏人~喜欢~
(3星)	女主角太做作，丑都是其次了，还是女配有爱
(4星)	韩剧中算好看的啦！
(4星)	女主有点老~~其他都还不错~~挺搞笑的~~哈哈~~
(5星)	好看啊
(5星)	绝对搞笑  哈哈
(NA)	挺搞笑温馨的，完全是冲着在中那张脸去的。lol
(4星)	蛮可爱的  
(NA)	金在中还是那样好看  池城 发型不是模仿的吧 个人觉得
(NA)	喜欢那个爸爸~当然在在是不用说了！
(3星)	池城卖萌怪怪的
(2星)	因为是驰骋 就快进着看 完 了 但完全没有营养
(4星)	一开始池城还挺搞笑的，但是到后面.......一个劲儿地扮野。
(3星)	故事不算有新意，但是人物都很鲜活，基本上所有的人物都有可爱的一面，变态加幼稚的男主就是来得人欢心的~作为一部韩国偶像剧，女主不漂亮是不能原谅的！但是，不脑残率真的女主还是看得下去的~后面剧情好啰嗦好啰嗦好啰嗦
(4星)	轻松搞笑啊~~~  金在中很帅
(4星)	冲着我们在中看的！
(2星)	好久没看过这么烂的剧了哈哈哈哈哈哈哈哈哈哈哈哈哈哈
(4星)	
(5星)	当初完全因为金在中才去看的。不过真的很好看。
(4星)	不同寻常的男主呐，喜欢老爹
(4星)	三心给在中，一星给男主，女主太老了导致我一直不能hold住，看一段就要切掉。。
(4星)	一部质素不错而且完全不虐的韩剧，男猪各种卖萌，男2终于不再拖泥带水，痴情的感天动地，女1虽差强人意，但女2是我韩剧观剧史上见过的性格最可爱的，全剧没真正意义上的坏人，剧情轻松搞笑，继美男后又一部让我观看心情很好的韩剧
(4星)	3颗星给演的太乖了的池城 一颗给他爸和不讨厌的女二 P.S.女一吐槽无力。。。
(5星)	喜欢
(NA)	！！！
(3星)	还行
(4星)	虽然又是狗血的都市童话，我却看得很开心。每个人物的性格都很鲜明，甚至“反角”们也让人又爱又恨。特别提一下女二，真是我见过的最可爱直率的女配了，演技很赞。后期剧情拖沓，但不失为一部好的轻喜剧。
(4星)	中间看的很痛苦。。。看完会了基础韩语。
(5星)	2012
(NA)	又是姐弟恋。。
(NA)	为在中而看，但是真的是一部好剧，成长、爱情、亲情之间深深的羁绊。
(2星)	弃。
(4星)	很有趣很可愛，兩個男主耍賴真的搞笑死了~~~~在中演技大發呀~~~挺好看的啦啦啦啦~
(5星)	池城演技大好 在中和池城互动大好 在中和女二互动大好 女一完全没有爱！
(5星)	帅哥，暖女~
(4星)	女二男二的LOVE LINE真好看
(3星)	开始不喜欢女主就没追，当时在追女香，现在看来其实四个演员的演技都还是过得去的，感觉在中其实比有天会演戏
(3星)	自从金抽抽火了以后，接下来的各种本部长一水全是抽抽啊!!!!!!
(3星)	没看完
(4星)	女主小个三四岁就好了，女二很有意思。
(5星)	很有趣的韩剧 金在中很棒啊/(ㄒoㄒ)/~
(5星)	难得的从头和谐到尾的剧..赞一个，以后多拍剧吧，在中。
(5星)	喜欢这种感觉~
(5星)	在中希望你越来越好。&gt;3&lt;
(4星)	有钱真好
(5星)	看到剧名就能猜出内容，可是可是可是，真好看，姜还是老的辣，女主楠竹除了老之外没有一点可挑剔
(4星)	基本上没有快进过。池城好可爱。穿插着兄弟基情无限╮(╯▽╰)╭女二号就应该这样子嘛有点坏有点嫉妒有点傻而不是从前那种那么想把唾沫喷他一脸的坏女人形象。
(4星)	对女猪脚表示不怎么满意。在中的歌真的很好听。（*@ο@*）
(3星)	金在中！唉还是回去好好唱歌吧
(4星)	我是真心不忍心看女主角啊。。第一次喜欢女二号的性格。别扭但是很可爱啊。。
(3星)	前四集的噱头，后14集的垃圾。
(5星)	在中有前景。。
(5星)	很喜欢池城演的本部长，不过对于其他的剧不是特别喜欢，刚刚开始的时候很想看完他演的所有的剧。像个中学生一样追~~可是才发现池城也不来中国宣传，也不会讲中文，对中国池迷也不是很care，就有点心灰意冷了。再加上看完最后之舞觉得李宝英一点都不好看，也不喜欢，觉得配不上JiSung，就更失望了。所以
(4星)	池城和金在中是亮点，女主长的~~~~
(5星)	最喜欢这种轻松的片子
(5星)	很可爱的剧，大爱池城！但是，女一的法令纹&amp;眼纹是否太重了些？笑一笑全暴露了。也是真心喜欢男二女二。越看越喜欢，哎呦，这个剧太欢乐了！！
(5星)	完全讨厌不起来的女二号···
(3星)	我只看开头前4集，又是四角恋，不过金在中的发现不错，想剪池城的发型都说瓜，我晕哦
(4星)	哇 超级强力 笑的我居然直拍胸口 那些笑点有新意啊 看着经常抽风 并且没事儿就打的人儿们 真是对我猪狗不太如的生活的安慰  不过后面几集我就没怎么找到笑点  不过还是要推荐一下 最欢乐的韩剧了
(NA)	守护你~~
(5星)	很搞笑很温暖。
(2星)	女主角太老，实在和池城不配，坚持了很久，还是弃了
(4星)	主角可以再老点。。
(3星)	双肩包。
(5星)	为了 花花 花花发型很酷
(5星)	男一男二幼稚搞笑，第一次在韩剧中看到。喜欢上金在中~
(3星)	片子拍的怪搞笑的，但是我不喜欢女主角╮(╯▽╰)╭
(NA)	大爱池城，也就是从这部片子爱上这位不是太红的男演员，然后开始复习他以前的剧。喜欢看他被父亲打的镜头，太搞笑了。几位演员都很不错。
(4星)	夸张的表演，却很讨喜
(3星)	沈佳芸推荐的……诶哟除却在中某些戏份其他笑死我了……这么没节操会不会掉粉……
(3星)	小背包
(5星)	因为这个 爱上 池成成&gt;&lt;
(5星)	剧情很诙谐,本来只是冲着金在中才去看的,但是约到后来,变得越来越欲罢不能,4位主角用他们自己的方法很到位呈现了剧中人物不同的个性.是很好看的电视剧!
(5星)	极力推荐~好欢乐
(4星)	池城太抽了，眼睛忽单忽双什么的，最迷人了。在中还是去唱歌好了，演戏就。。。。。。
(3星)	实在是找不到点吸引我看完了
(3星)	沒看下去~~~~~
(4星)	就是女人太老了。。。。。
(3星)	不讲剧情只图轻松，韩剧就是这点好啊。池城各种萌，男二颜不错（这货肯定整容了，尼玛和《素直》时完全不是一张脸嘛 - -），女二也越看越有爱，我肿么那么爱女二啊！
(5星)	史上最可爱的女二以及最有气质的男二的小蜜 觉得很美好
(NA)	我只有在看到两兄弟打打闹闹的时候最感兴趣好搞笑。不怎么喜欢女主，倒是很喜欢女二，可爱
(4星)	被池诚完全秒杀！！
(4星)	看这部戏是因为有在中才看的，剧情一般般吧，不是很有吸引了，不是在中的话，不会坚持看完的。
(4星)	池城表現得比我想像中的好，可能是我沒看過他什麼作品的關係，崔江姬好陌生的名字。這檔不看別的，光看那些可愛的配角就夠開心了。
(5星)	操你妈B，巨好看啊，看的老娘要疯了，池城你能不能再嫩再装可爱点啊，我操！我想娶你啊！池城！！！！！啊啊啊
(5星)	只是看了在在的 CUT   其他的看不下去    娜润其实还蛮可爱的
(5星)	今年唯一一部让我爆笑爆哭的韩剧。。没有之一
(3星)	很搞笑啊，刚开始特别讨厌女主，可是后来无条件爱上她~其实我是来看在中的...
(4星)	挺搞笑的剧情...没有坏人~
(4星)	喜剧
(5星)	为第一个打动我心的女二打五星！
(5星)	超级爱池城，太可爱鸟~
(5星)	池城。。非常帅。。有点觉得。。比我家金花儿帅多了。。。。。。
(5星)	故事情节很吸引人 池城的演技也能那么萌！只是女主角太老太丑了！
(4星)	池城真是无敌了，脑残角色也可以演得演技简直是才华横溢得满地流淌！
(5星)	池成演的很好 是最近大爱的一部韩剧！~
(4星)	超搞笑超搞笑
(4星)	断断续续的看完了，在中依旧很妖孽的美丽着~
(4星)	我耐心的在播出了很久之後看完了全劇~超好的劇~不錯的說~戀愛還是剪幸福到不行的事兒~
(5星)	每个角色都超Q可爱的，老爸和奶奶尤其搞笑~~啊啊啊，好白痴啊，太和我口味了！！池城又帅演技又好。。。
(3星)	刚开始爆笑，尤其怒吼老爹，后来就没劲了，拖曳了（难得女二很招人爱）
(4星)	不拖沓的剧情，4个主角都是很好的人~没有坏得让人想诅咒之类的，蛮好看的~
(3星)	看到后面实在。。
(4星)	除了女一 其他三个都很喜欢~
(3星)	看到十幾集...放棄了
(5星)	挺好看的~轻松些~
(4星)	1、女主真是丑 2、看着看着就NC了
(4星)	咆哮的爸爸太可爱了……每一个人物都有饱满的性格 会让人记住每一个可爱的小人物…
(5星)	情节很轻松，看着很舒服，没有纠结，让我第一次有想要这种爱情的感觉~
(2星)	灰姑娘模式就得有弃剧情看脸的觉悟！男女主的脸要再多一分好看我也不至于弃剧了。我这么说你们是不是就了解到剧情和演员有多让人无语了吧
(3星)	女猪长得真是对不起大家啊。
(5星)	在中的首部韩国电视剧 里面展现了他的出色演技 时而可爱 时而深情 每集都会有笑点 更喜欢他和池城的一些小打小闹 嘿嘿 没看过的都去看看哦
(4星)	除了女主角看的不顺眼以外，其他都还不错。
(3星)	只看金在中~~车本部长完全理想型啊★罒▽罒★
(4星)	一半……看到一半就没追。。。女主太老了…
(4星)	我喜欢男一男二女二。不管长的多丑。
(4星)	米有坏人。男主很亮~~
(3星)	一般般的韩剧，蛮轻松搞笑的。
(4星)	池城接吻的画面让我心跳了。。。在中，你还能再妖孽点吗？女二很有爱呀！
(NA)	我知道自己抵抗不了这种电视剧！
(4星)	爱情从来都是悄悄发生，然后忽然就惊天骇地，但最美的结局也不过是平淡执手。
(5星)	这是我今年看的最合我口味的韩剧！！！！！虽然女一丑爆了！！
(5星)	武元大神&gt;&lt;
(5星)	超欢乐的~
(4星)	大众剧情中的一个另类（作品）
(5星)	太搞笑啦 
(3星)	没意思
(4星)	人物塑造的都太可爱了！爸爸简直就是加强版的李俊和啊！
(5星)	喜欢猫像的女主角~总有种韩版Zooey的感觉~
(4星)	池城好帅啊 好可爱 金在中没什么突破 感觉不如唱歌的时候好看呢  女主角看不过去了！演技还行 可就是看着很别扭
(4星)	演员两星，ost一星，各种温情奸情萌腐两星，剧情薄弱拖沓减一星。话说这部剧看着一点都不累，一点都不虐，两对都很可爱。经常暴力的爸爸和抢戏的秘书们都很喜欢。话说在中同学，你比较没有存在感，不过很值得期待你的下一部戏。
(3星)	说实在话，故事实在太狗血，要不是金在中，看不下去啊， 男一女一都好丑，特别是女一又老又丑，你整也整好看点好不。倒是最后看女二挺喜感的。
(4星)	池诚还是一样帅 为什么女主都这么丑啊... 
(3星)	男猪脚太抱歉了。为了在中看的。
(4星)	男主好帅~~~！！！！
