http://movie.douban.com/subject/2157146/	孝庄秘史
(3星)	 无视马教主无时无刻乱摆pose的话还是可以看的。宁静的声音真是不一般            
(4星)	 其实这个我喜欢！            
(4星)	 咆哮马也有不咆哮的时候嘛            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 0.0喜欢！            
(4星)	 宁静真漂亮！            
(NA)	 主题曲            
(NA)	 里面的配角演的非常好，尤其是胡静，很奇怪，这么有灵气的姑娘怎么会慢慢走下坡路了。            
(4星)	 其实不是很喜欢宁静，但她演的确实很好。            
(4星)	 宁静的演技在这部剧集里得到充分的展示。            
(5星)	 话说清宫戏里算是很好看的一部了，前面比较好看呐~            
(5星)	 一群我爱的大叔们+布另布另发着光的各式美女+清宫大戏+片头曲+零食一堆+YY无数= 每次看此片都想穿越回清朝去&amp;……            
(3星)	 妈妈喜欢，嘿，奶奶也喜欢            
(4星)	 故事编的很感人啊~很有情            
(4星)	 最近老哼哼叽叽这片头曲......            
(4星)	 宁静真漂亮~            
(4星)	 你            
(5星)	 秘史系列都很喜欢            
(2星)	 看它只是为了听片头曲和片尾曲 =。=            
(3星)	 宁静美人儿～            
(5星)	 很好看！            
(4星)	 秘史系列唯一能看的~            
(5星)	 高中时深受感动的一部电视剧。这里面的人，都活得太苦了；即便是高高在上无限荣光。 然而，又可以有得选吗？            
(4星)	 宁静宁性美            
(4星)	 教主这里面可帅了！！            
(4星)	 觉得这是宁静拍的最好的片子了。特别喜欢片头片尾曲            
(4星)	 俺粉粉粉粉稀饭哲哲……            
(4星)	 大玉儿的角色讨巧。            
(NA)	 隐忍            
(5星)	 还有点意思，学了点历史，不过顺治不是出家了么？怎么挂了            
(5星)	 入戏太深，惋惜落泪。            
(5星)	 最喜欢的一部古装            
(4星)	 主要是美女很多            
(4星)	 最喜欢片头的内一幕，孝庄文太后的话。            
(4星)	 初中超爱看，大学毕业的时候又看一遍。。。            
(4星)	 宛如的感觉很好……            
(4星)	 秘史系列经典款..            
(3星)	 电视剧             
(3星)	 野史外的野史。其实马景涛还是不错滴。            
(1星)	 我家老三超愛看的，（真是個低俗的人吶·）            
(NA)	 很爱，中国的历史剧            
(4星)	 宿舍姐们儿一起看的难忘岁月啊            
(4星)	 喜欢宁静从这里开始            
(3星)	 这就是我们考试经常考到的历史剧不尊重历史的典范！            
(3星)	 剧是挺好的，就是几个主演的女人没一个我合我心意的，还搭上了个咆哮马。。。几个老女人倒是很不错。邬倩倩年轻时一定是个绝色。好不容易看见了我亲爱的何赛飞阿姨居然把人家整得那么猥亵。。。我真佩服造型师。。。            
(3星)	 马哥你老这么激动 会不会心肌梗塞啊            
(4星)	 喜欢漂亮又精明能干的女人            
(NA)	 宁静确实很狂妄，但是也不像孝庄啊            
(4星)	 主题曲很给力。。。            
(NA)	 我想再看一遍这个。            
(4星)	 前几天在听百家讲坛的多尔衮，就又把这个挖出来看了一遍。虽然和历史有点出入，但是看的还真是虐心啊！！成功成仁都要忍的了一时，成的了一世            
(4星)	 宁静真心美。舒畅真心美。==            
(4星)	 历史感还是可以的，宁静难得的内地好演员啊~~~赞！            
(4星)	 当年还喜欢看呢            
(4星)	 喔唷 当初初中的时候每集都追的来 宁静演的好啊 为此耽误不少功课了呢= =            
(4星)	 小时候好喜欢苏麻拉姑            
(5星)	 能够理解玉儿，皇太极，海兰珠。但是。。。就是无法理解多尔衮！这不是一个真实的人。一个人的心，怎么可能永远只为一个人停留？            
(4星)	 小时候最喜欢的古装片了吧……            
(4星)	 蛮好的            
(5星)	 情节配上音乐真是百转千回。            
(4星)	 哎我操。宁静美惨了。            
(5星)	 哲哲，多悦耳的名字。            
(NA)	 现在想想，除了咆哮哥哥哪里有亮点了！！            
(4星)	 孝庄情结……            
(5星)	 和爷爷一起看的电视剧            
(4星)	 想看看孝庄秘史，居然遇见马锦涛，我咆哮啊咆哮！宁静真美，舒畅这扭捏的神情样子演得太让人欣喜了。一点儿也不做作，看着还尤其喜欢。正正宗宗的小家碧玉样儿。            
(4星)	 始终抵不过一个情字            
(NA)	 小时候看过的             
(NA)	 寒假的回忆            
(5星)	 吹泪啊            
(5星)	 神剧            
(5星)	 姜胖子要看的            
(3星)	 反正我相信，皇太极没那么弱，毕竟是个射手座。康熙演得不好，没感觉。            
(3星)	 做人是不是别太为别人着想了？我不明白。            
(4星)	 女人很美            
(4星)	 老公说，看完这部剧，感到自己是多么地幸福=_=；            
(5星)	 那时候教主还不是教主。。            
(4星)	 寧靜很美。。            
(5星)	 喜欢多尔衮到骨子里            
(2星)	 看了一部小说《独步天下》，很喜欢皇太极和海兰珠的爱情，这剧为了多尔衮和孝庄黑了皇太极和海兰珠。            
(5星)	 教主有木有！！！！！！！！！            
(4星)	 多尔衮和孝庄纠缠的一生啊……            
(4星)	 教主很帅嘛            
(4星)	 教主！！！！！！和迷死人的胡静~嗯~            
(3星)	 我应该是从这部剧开始不喜欢马景涛的。            
(5星)	 很多美女！宁静有气场。            
(4星)	 里面要是没有教主就好了  = =            
(5星)	 多尔衮开始深情款款 一往情深 陷入苦情的没长胡子的形象还是很感动，很有好感的，后来得权得势的多尔衮，充满霸气的多尔衮反而不值得同情了。。宁静这部剧中演技太好了！太好了！30集！38集！一颦一眸！爱与恨的纠结，矛盾中挣扎的神情，演的太好了！大汉天子中差别怎么就那么大呢            
(NA)	 亮点在两首歌            
(4星)	 当初我很爱这部电视剧啊（还是小学）！顺带还觉得马教主很帅~~            
(NA)	 当时很喜欢宁静            
(4星)	 你            
(4星)	 为了苏茉尔。抛开历史，喜欢这剧。马景涛的那把刀太给力了。我最终为苏茉尔心疼，这个爱得隐忍的女子，一生透彻。也从这里喜欢上胡静。            
(3星)	 咆哮的多尔衮！！！！！            
(5星)	 喜欢一片，必然带来的是喜欢上男配女配，而主角是本就喜欢或者还成的才去浪费时间沉迷度日。苏茉儿，暗生情愫，此后难忘怀。            
(3星)	 等我回过神时竟然一直在听片头片尾曲            
(5星)	 看了一遍又一遍 我不管真正的多尔衮是什么样，我就是喜欢这一个            
(4星)	 超喜欢宁静的！            
(3星)	 主题曲好听            
(5星)	 经典            
(3星)	 服了我自己了。。。看了那么多电视剧。。。我的时间啊。。。。。。            
(4星)	 孝庄是个了不起的女人呐== 求该种气场 ==            
(4星)	 满清为什么能入关？看了太祖秘史和孝庄秘史后我思考了很久这个问题。好吧，我说两个答案第一，大明朝运毕，第二，满清八旗制            
(4星)	 看的时候觉得宁静真好看..            
(5星)	 真相是玉儿和她儿子一起虐多尔衮。皇父大人情何以堪....            
(5星)	 是唯一一部马锦涛没有咆哮的片子。本质很可爱的            
(NA)	 好爱苏茉尔。好像是这名。。            
(3星)	 有点寒酸，撑不起皇宫贵人的场面。            
(4星)	 JQ            
(4星)	 片头不错，扮相什么的都不错，最好的还是多尔衮的爱。            
(5星)	 野史中的佳作            
(4星)	 最美的女人宁静，教主不咆哮其实也帅的...            
(5星)	 天啊天，很经典的清剧，虽不是完全的女士强权，但感觉这个女人的智慧，力量，精明，变通，作为女子必看            
(4星)	 我全家心目中的经典            
(4星)	 一人一颗星，这个还是要推荐的            
(4星)	 片头歌片尾歌经久不衰            
(4星)	 不要小看了女人的智慧！            
(4星)	 台词很营养            
(4星)	 从那会儿，开始知道尤小刚            
(3星)	 修成好颜色,卖与帝王家.            
(4星)	 曾经多么执着的相信 大玉儿和多尔衮的爱情 曾经多么厌恶海兰珠的出现 后来读了独步天下 又喜欢上皇太极和海兰珠 一切是不是都太荒唐            
(4星)	 跟着俺娘的IPTV看的咆哮马演多尔衮相当之帅啊            
(4星)	 【2003.12】大玉儿和多尔衮令人扼腕的爱情。宁静很有气度，小马哥靠多尔衮翻身了。            
(4星)	 应该给4.5            
(4星)	 扮相很美，爱情很感人。            
(4星)	 那时候宁静年轻呀            
(4星)	 咆哮教主~            
(NA)	 马教主            
(NA)	 宁静，喜欢            
(4星)	 编剧大好            
(4星)	 只为那个深情的多尔衮            
(3星)	 我爸说我是个红旗马桶！悲剧            
(4星)	 更像一部言情剧。            
(NA)	 曾经看过 觉得那个谁呀 现在在说不出来 很有爱 也很可怜 啊~ 多尔衮            
(5星)	 话说偶本来还有些萌皇太极，这之后转而喜欢起多尔衮来了……貌似这跨度也忒大了……            
(3星)	 挺喜欢马景涛的，只要不是琼瑶的剧            
(NA)	 我没有那种力量。。。屠洪纲吧            
(5星)	 挺难得的            
(4星)	 受不了马景涛= =            
(4星)	 片尾曲好。。。            
(5星)	 除了声音，宁静还是很美的。            
(5星)	 景涛为数不多不太咆哮的作品之一            
(3星)	 38            
(4星)	 教主威武！！！！！！！！！！！            
(3星)	 海兰珠可以的            
(3星)	 真是乱编...            
(4星)	 第一次出国在车上居然看了一部电视剧，奶奶的，你想想坐了多久的车。。。            
(NA)	 我没觉得多尔衮帅。。            
(4星)	 服装真不错，教主很好很强大！            
(5星)	 你。            
(4星)	 曾今小学吧！很喜欢，很感动            
(5星)	 那场哭戏，好似水龙头            
(NA)	 你在那万人中央 感受那万丈光芒            
(5星)	 国产电视剧中的一颗明珠            
(3星)	 宁静的大眼睛，忽闪忽闪滴！            
(4星)	 蛮不错的。            
(4星)	 高考那时候拼命追，蛮好看的哦            
(5星)	 我如痴如醉地看了好多年，又如痴如醉地买了套正版DVD收藏。。。            
(4星)	 爱看宁静~            
(5星)	 秘史剧里最好看的一部。宁静和小马哥魅力不减当年！            
(4星)	 宁静当年不错,精灵,大气,沉稳.现在越老越不上道了,装傻装嫩了开始.老刘内样,用我爸的话说,在陈道明演的皇帝面前他充其量就是个县令            
(3星)	 三颗星是给海蓝珠的            
(3星)	 我们乘车时还在喋喋不休精彩的情节-只是我想你早就忘记了吧            
(5星)	 一声叹息将我一生变凉            
(4星)	 改动太大。  但从总体来说，还是很喜欢的。看了好几遍呢... 正史始终是揪心的，这些多少给了我们一些小幻想。            
(4星)	 喜欢邬倩倩演的博尔济吉特哲哲            
(4星)	 捎带着了解历史            
(NA)	 最后的那一块手帕            
(3星)	 那个时候还蛮喜欢看的            
(4星)	 马叔叔依旧额头暴青筋            
(5星)	 有我孝庄在，这大清的天它塌不下来！            
(4星)	 宁静扮相真美 很喜欢胡静            
(5星)	 传奇。            
(5星)	 宁静很美 那时超喜欢董鄂妃            
(4星)	 宁静            
(3星)	 主题曲好听...            
(3星)	 说实话，看这部片子，我只记住了苏茉儿和片尾曲。马景涛的演技其实是值得肯定的，大概很多人不喜欢他是因为他的话剧感太强吧            
(5星)	 优秀的女人。头脑感性。心灵理性。如何学习到呢？            
(5星)	 红了多少人~            
(4星)	 不错...            
(NA)	 除了姓马的其他都是经典            
(NA)	 爱上多尔衮～～            
(NA)	 我还是很花痴你们刘德凯和何赛飞            
(NA)	 歌不错            
(4星)	 撇开历史的真相不谈。演的真的是很到位的，连马景涛都不让人那么讨厌了。            
(3星)	 快忘记了            
(4星)	 喜欢宁静            
(4星)	 宁静的孝庄很端庄，很美丽。            
(4星)	 你 从天而降的你 落在我的马背上            
(5星)	 当年看的时候感觉还不错，制作相对比较精良，片尾歌很好听。            
(3星)	 马大哥很猥琐……后来貌似还被下了猥琐的避孕药。            
(5星)	 比《康熙王朝》少一些政治，多一些感情。历史大人物的每个决定都是掷地有声，不管是政治决策，还是情欲私心。            
(5星)	 宁静演得太好了~            
(3星)	 男猪脚雷死我你雷死我吧！！这么多年了你老当益壮啊！！！            
(3星)	 宁静不错            
(5星)	 天上的雄鹰，英雄美人的叹息            
(5星)	 2003 红红的美人脸 月上柳梢头            
(4星)	 智慧与勇气才是王道            
(NA)	 ......            
(3星)	 我就记得大玉儿小玉儿的了....            
(3星)	 对于感情占大头的历史剧我向来不是很喜欢，而且我总觉得那些编剧有点脱离史实。他们很好地贯彻了失事求似的原则~~~            
(4星)	 依然很帅            
(4星)	 宁静太漂亮了            
(4星)	 有些剧情处理得很圆滑            
(4星)	 得不到的，最是精彩，也最悲哀。            
(4星)	 人物的装扮都好精致 美            
(5星)	 宁静很不错，喜欢舒畅            
(NA)	 有感情的孝庄，但她懂得分寸，没有把感情当成全部，很多事不可能兼得。            
(4星)	 后来出现了一堆秘史，始终还是第一部好。            
(4星)	 秘史的几部中算好的            
(NA)	 很有味道            
(NA)	 最爱的宫廷戏            
(4星)	 马景涛果然演技派啊            
(3星)	 片头曲很好听，宁静也很大气。            
(3星)	 董鄂妃很漂亮            
(4星)	 演员 剧情都属上品 尤其喜欢宁静的演出 日臻上境 她和胡静的搭戏很出彩 还有不能不说舒畅演的董鄂妃 我看了都要把持不住了 青春可爱 温婉良善 难怪福临为红颜弃江山了^^            
(5星)	 英雄，帝王,过眼云烟,爱情，誓言,无可奈何,紫禁城里的皇帝原来也是这春梦了无痕世界的一粒微尘,我那若有若无的遗憾也太太微不足道            
(4星)	 老我一簪华发            
(4星)	 这里面的马大叔刘大叔都好帅！            
(NA)	 孝庄秘史            
(4星)	 重温！！！            
(4星)	 虽然没尾巴 也有的地方篡改了历史 但还不错            
(4星)	 两首好听的歌，有点萌的故事~            
(4星)	 此片无论从剧情还是演技都是电视剧中一流的，鲜有新片的李玲玉也演得很好！            
(4星)	 尤小刚所有秘史系列中最喜欢的一部。那些浅浅的、朦胧的、美好的情感……难道尤导也江郎才尽了？            
(NA)	 喜欢            
(4星)	 喜欢舒畅演的董鄂妃～            
(3星)	 新的古装剧            
(NA)	 无意苦争春，一任群芳妒。零落成泥碾作尘，只有香如故。            
(NA)	 美人吟            
(4星)	 那么多秘史，我就喜欢这个秘史。            
(5星)	 意料之外情理之中            
(5星)	 令人佩服既女人，超强既才智。            
(NA)	 总感觉宁静是个倔强的姑娘            
(4星)	 还可以            
(4星)	 我喜欢它的片尾曲和主题曲            
(4星)	 当年看的 时候真是慷慨激昂很期待的            
(5星)	 多尔衮死前回忆和大玉儿在草原上自由驰骋的那一幕真的触到我泪点了。明明相爱却不能在一起T_T.            
(4星)	 n多年前的片了，最近突然又看到，听那片头曲还真让人伤感啊。身不由己            
(NA)	 主题曲好听啊，好听~！喜欢大玉儿            
(5星)	 我是很喜欢的 哈哈 宁静和马景涛！            
(NA)	 个人认为最好的一版大玉儿和多尔衮            
(3星)	 宁静好漂亮            
(3星)	None
(4星)	 很不錯啊            
(5星)	 秘史系列里唯一一部还不错的            
(5星)	 ！            
(5星)	 “你在那万人中央 感受那万丈荣光 看不见你的眼睛 是否会藏着泪光” 大爱！大爱！            
(5星)	 好！！！            
(5星)	 清宫剧泛滥的今天想起当初这剧是真不错，四星半            
(4星)	 那个时候迷恋宁静啊！！就像有恋母情结似的...            
(3星)	 以前的了，作补充。            
(5星)	 总觉得宁静的大眼睛略显呆滞，马景涛倒是深情款款            
(5星)	 片头片尾曲神作！宁静真是漂亮！            
(4星)	 一度特别喜欢的古装剧。当时觉得大玉儿太美了            
(NA)	 好喜欢            
(2星)	 果然对这类的。。。食用不能OTZ            
(5星)	 本来应该四星。给一星现场收音。            
(5星)	 当年迷恋到不行啊            
(3星)	 当时只觉得皇帝好讨厌啊~尼玛真爱就这样被你拆散啦！！！            
(4星)	 是野史。。唉~            
(4星)	 当年蛮难得从导演到演员都靠谱的戏说剧了。。。。            
(4星)	 挺喜欢~当年滴舒畅真是宛在水中央。。还有大玉儿的隐忍~按照当年的水平~水准已然很高了            
(5星)	 Quand j&#39;etais petite...            
(5星)	 宁静咆哮帝经典之作            
(4星)	 自从看了孝庄秘史，我就觉得历史上的孝庄就该长宁静这样，一点妩媚，一点野性，一点娇俏，持重，端庄，识大体，巾帼不让须眉。            
(5星)	 好喜欢里面的宁静            
(NA)	 就记得宁静从小演到老换了好多衣服，还有咆哮帝景涛。            
(NA)	 补咆哮！！！！！！！！！！！            
(4星)	 爆崇拜斯琴高娃⋯⋯            
(5星)	 最爱的一部清剧            
(NA)	 言情剧            
(4星)	 记得很虐……闭起双眼你最挂念谁     眼睛张开身边竟是谁            
(2星)	 董鄂妃好像从来都是个符号 但还是美的            
(4星)	 呼呼，經典言情+狗血~            
(5星)	 多尔衮。。。唉。。。            
(NA)	 很喜欢舒畅的董鄂妃，宁静总是那么大气。《你》《美人吟》都是心头好            
(5星)	 多尔衮太像我了            
(NA)	 片头片尾曲至今还是心头好。            
(5星)	 经典            
(NA)	 这部戏咆哮教主靠谱。。。。            
(5星)	 迷多尔衮转他的玉扳指。那些年还觉得宁静是最有风韵的女人。            
(4星)	 一分扣在咆哮哥上...伤不起啊...            
(4星)	 胡静当时美得很== 还蛮喜欢这里面的教主的。。            
(4星)	 很早之前看的都没啥印象了。只是记得宁静大玉儿的出场真把我惊艳的美到了。。马教主的具体表现我当时还没啥深刻体会。。            
(4星)	 很好了，冲台湾口音扣一星            
(5星)	 老剧。好歌。            
(5星)	 片头片尾曲大爱~看的时候感觉好虐心，莫非我入戏太深？            
(NA)	 三星。            
(4星)	 第一次喜欢电视剧里的马教主            
(5星)	 原来看我过这么多电视剧——宁静好漂亮啊……            
(5星)	 看完甄嬛后就想起来小时候的孝庄秘史，同样很大气的清宫戏！            
(NA)	 小時候的記憶啊。。             
(4星)	 看到这部剧我就彻底爱上教主了。。。。。。。。            
(NA)	 我最爱的电视剧！            
(5星)	 小时候电视一到它就不转台！            
(5星)	 当年很喜欢看啊，还为此看了一遍原著小说，老长的...            
(4星)	 秘史系列也就这部还能看了。。。            
(4星)	 虽然说历史比较假，但是演得真好啊~那时候我眼泪哗哗地呢。            
(5星)	 冲动之下又去回味了，所以又哭了……            
(2星)	 教主………………            
(5星)	 宁静特有腔调了 话说 我一直很好奇大玉儿和多尔衮的爱情啊            
(NA)	 = =            
(4星)	 虽然我不是很喜欢宁静，但这剧不错            
(NA)	 直到现在我都觉得孝庄的爱不如多尔衮给的多            
(4星)	 当年不能看，心里一直痒痒，后来考完看了个够，其实剧情演员都没得挑，就是看到最后没有一个喜欢的人物了            
(5星)	 当时好喜欢宁静~            
(4星)	 皇帝真是想干嘛干嘛啊 宁静演得真好 马那时还在咆哮中            
(4星)	 小时候很喜欢的一部清宫剧            
(4星)	 那时好像看的很着迷，虽然对历史还是不见长。。            
(4星)	 不爱辫子不爱马景涛，其他都好。            
(3星)	 那个时候还没意识到咆哮帝的存在。            
(4星)	 咆哮马要是少咆哮一下下就更好了~苏摩尔好美~            
(4星)	 小玉儿为爱多尔衮而活；多尔衮此生心中只有大玉儿；玉儿爱他，但她太理智太聪明，所以她最爱的必定是福临；最爱皇太极的人该是哲哲吧，皇太极的最爱却是海兰珠。            
(4星)	 一直觉得宁静不是个简单的女子            
(5星)	 因为是秘史类最佳 加一颗星            
(4星)	 岁月不饶人，现在美女都成大妈啦            
(5星)	 喜欢宁静            
(4星)	 当年爱死了大玉儿            
(5星)	 玉儿终究是负了多尔衮啊，唏嘘            
(5星)	 尤小刚拍的唯一一部由诚意的秘史 ，好看            
(5星)	 那首《美人吟》的声音至今萦绕耳畔。宁静很美。            
(4星)	 对小玉儿大玉儿的初印象            
(3星)	 大概是尤小刚秘史系列最好看的一部了            
(5星)	 为了宁静给五星。            
(5星)	 关于历史的，我都爱看            
(5星)	 没有人不爱里面的多尔衮的吧，不过咆哮哥马景涛。。。嘿嘿，孝庄端是我崇拜的历史女性之一，人这么过一辈子，虽然苦，但是也值得了。千般万般，不要生在帝王家            
(5星)	 虽然有戏说的成分，还是基本保持了历史的原味的，值得一看            
(4星)	 那时候很喜欢~每天晚上偷偷看            
(3星)	 每个人都很悲剧的活着。。。。。。心中原以为是经典，却是越看越累            
(3星)	 马景涛！！！哈哈哈哈！！！马景涛！！！            
(5星)	 最后一集是大玉儿带着小康熙，小康熙突然叫了一下他看见了一只鹰，大玉儿眼里那个目光至今都难忘，宁静这块演的太好了。还有一个是他问“皇祖母，什么是皇帝啊？”看了7.8年都没烦的电视剧            
(4星)	 对秘史一类的很感兴趣，越扯越有意思            
(3星)	 三星半吧。小马哥，你亮了。无能的小皇帝也亮了……            
(3星)	 讨厌死多尔衮了 大玉儿是真心喜欢他?            
(3星)	 啊 有寧靜的地方都不是好地方            
(5星)	 真不好意思的说，其实我真的是看马景涛长大的。。。            
(5星)	 宁静演的太给力了！            
(5星)	 宁静，胡静，舒畅~都是美丽的妹纸们！最近都在回味经典电视剧~~~            
(4星)	 化妆师太牛            
(5星)	 宁静演技超棒啊~咆哮爹爹太悲惨了啊！！            
(NA)	 咆哮吧，颤栗吧            
(5星)	 让我心疼的剧，让我心疼的人，无论是正史抑或是野史，无论是真亦或是假，那样的感情，都让我高山仰止。            
