http://movie.douban.com/subject/3137852/	萍踪侠影
(1星)	 离谱 烂俗 看不下去了            
(4星)	 好几年前看的，这版的张丹枫可谓是谦谦君子最佳代言！电视剧舞美相当出色。印象中是清华美院设计的            
(3星)	 黄海冰演的还行。            
(3星)	 這裡頭有個鳥人            
(3星)	 越来越鄙视”光腚“总局了，一部好好的武侠电视剧，怕友邦惊诧，瓦剌硬是改成了瓦迟。瓦迟国人也是各个忠肝义胆，坏人全是汉人，总之一切矛盾都是汉人挑拨。我又想起了精致的《贞观之治》，由于涉及征高句丽和突厥，硬是给爱德华了。一部百无是处的贞观长歌却在央视上映了。            
(5星)	 还是这一版好看            
(4星)	 为毛分这么低啊。。。好喜欢范爷演的云蕾。。dream lover。。。            
(4星)	 張丹楓是我心目中&#34;俠&#34;永遠的代表            
(5星)	 这是我迄今为止看过最好的武侠 小说本来就好 很大气 梁羽生的 拍的也很棒            
(4星)	 这部萍踪侠影里不怎么有名气，与原著剧情也差了十万八千里，不过喜欢~ 大爱张丹枫~            
(3星)	 正在看的时候，时常会因为一些细节上的问题而有点火大，但是看完后抛开原著再回忆回忆，就会觉得整个剧情改编的逻辑还算合理——当然是指的在国家大事上。小青年谈恋爱的情节本来就不能以“逻辑”这种词来定            
(4星)	 虽然背负着上一辈人的血海深仇，但喜欢他们两个忠于爱情时可爱着急的样子……黄海冰很帅，范冰冰美得不柔弱……结局也算团圆了……真是守得云开见月明啊！            
(3星)	 黄海冰没有延续《武林外史》里面的那种少有的侠气，你在新一代人注定红不起来，可在我们眼中你是最红的……            
(3星)	 头一次对范冰冰刮目相看            
(4星)	 我觉得很好看啊            
(5星)	 五星送给黄海冰            
(3星)	 是不是那个。。。            
(4星)	 为毛演员表里只有黄晓明！！！            
(5星)	 时隔八年又重新再看了一遍，依旧动人。不去与原著相比，人家也说了是改编，演员演技，画面动作，音乐效果都非常喜欢，还有主题曲以及片尾曲也很好。我想将来出的版本都无法代替它！            
(4星)	 最养眼的一部            
(5星)	 片头片尾太威武了 现在重看也舍不得在奇艺上跳过直接看剧情 黄海冰的玉树临风不多说了 当年中午不睡觉在家里看碟 上课的时候还在想呢            
(NA)	None
(4星)	 我还是喜欢这个版本，虽然它颠覆原著（好像自己打了自己一巴掌）。。。除了武打场面有点弱之外真是各种美各种美！黄海冰的张丹枫一直是心里古代翩翩美侠士的标本啊~ps说范冰冰什么都能理解说她不好看真是笑死了好么。。            
(3星)	 澹台镜明这么好的角色怎么被改得面目全非。。。不过范爷版云蕾还是挺威武的            
(5星)	 演员气场很好，而且歌曲的选择也不错            
(3星)	 最近不是有个《新萍踪侠影》么，突然就想起老版了，新版看了几集实在看不下去，虽然不喜欢这个故事，但还是老版好。P.S：潘粤明的气质怎么能演张丹枫啊！            
(4星)	 帅哥美女哇            
(3星)	 范爷演的云蕾比男主出彩= =黄海冰是得罪了多少造型师啊一部比一部挫 话说 哥以前居然能看完这部剧 太葱白自己了 嗯 哥果然是范爷的混丝            
(4星)	 很配的一男女主角            
(1星)	 导演读过原书吗？主演实在看不下去。还有剧情简介是怎么个意思，托也要有分寸好嘛！            
(3星)	 改的太糟糕了~演员还是不错的~            
(5星)	 好喜欢这部黄海冰的古装片....            
(3星)	 看不下去了!            
(4星)	 虽然跟原著有很多不符，剧情也有漏洞，但是演员演绎的还是很动人，至少现在的电视剧是越演越难以入目了。            
(3星)	 梁羽生的武侠小说里面比较好看的一部了。            
(4星)	 以前看的，印象不错，我妹妹至今还在念叨~~            
(5星)	 晚上想到这部老剧。很怀恋            
(4星)	 我快被嘟嘟萌死了！            
(3星)	 澹台这个姓真好听            
(3星)	 黄海冰的大侠还是很不错的说            
(3星)	 终于看到结局了            
(3星)	 韩雪不错，范冰冰一般            
(3星)	 云少主~~            
(NA)	 孙菲菲，我喜欢里面的剧情。            
(4星)	 片头很美，整个片子感觉像是一幅水墨画。            
(3星)	 编剧不是梁羽生，吼！            
(4星)	 嘟嘟的生活很幸福。羡慕一下。            
(5星)	 五颗星都给云公子            
(2星)	 范爷的过去。。。0 0            
(4星)	 改编了很多，但是水墨画一样的画面和演员阵容其实不错。            
(4星)	 虽然和书里的内容几乎不一样了，但是电视剧版也挺好看的，几位主配角演的很好            
(3星)	 韩雪在这里面片尾那一笑简直是我心中的女神呀!            
(4星)	 = = 怎么可以改成那样！！！            
(5星)	 黄海冰~            
(3星)	 要不要这么烂啊，哈哈哈，真是浪费了俊男靓女和好剧本，拍摄和导演都太差！！！            
(NA)	 啊哈，韩雪超漂亮            
(4星)	 灵的，黄海冰那个帅啊。。。            
(4星)	 人物演得还不错,云蕾的性格比原著有魅力,张丹枫很俊朗.就是剧情改得真有点乱了.            
(3星)	 只为看韩雪，我爱韩雪！            
(3星)	 难看            
(3星)	 好吧，武侠剧我基本都能看下去，何况这片男女主角我都有爱            
(4星)	 黄海冰～～～            
(4星)	 我喜欢这被改得面目全非的剧情            
(4星)	 当年的韩雪很水灵            
(4星)	 张丹枫！！！            
(4星)	 唯一喜欢范冰冰的电视剧            
(4星)	 各方面都挺不错的，觉得这个古装造型的范冰很漂亮。张嘉译版的张风府很喜欢            
(4星)	 第四颗星是给它的片头片尾。            
(NA)	 在娘家的时候看了一眼，查查才知道那时2003年            
(4星)	 这剧的武术指导和配角阵容太牛逼了            
(4星)	 观感颇佳却少为人知，个人认为是难得的梁老先生作品改编中的佳作            
(5星)	 当年超级迷，看了几次，男女主角都喜欢。            
(4星)	 其實mostly都好好, 只係過不了劇情呢關, 可以落多少少功夫, 男女主角演得好好, 攝影都好掂            
(4星)	 张丹枫的泡妞技术那叫一个绝啊！            
(5星)	 片头片尾曲都很好听啊，喜欢那种水墨画的效果。每个角色塑造都很成功，公主和云重死的好可惜啊……            
(4星)	 拍的很好，尤其是和现在一些粗制滥造的金庸片比。梁羽生自有梁羽生的风情。            
(NA)	 跟原著相去甚远，不过还是很喜欢演员们            
(5星)	 很喜欢主题曲  听的很有感觉  而且很喜欢范冰冰和黄海冰在一起的感觉  觉得很般配啊 呵呵              
(3星)	 冲着黄海冰打三星            
(3星)	 拍摄手法很不错，剧情很有些水准但不够吸引人。            
(NA)	 画面很漂亮，人也很好看            
(4星)	 还算好看吧            
(4星)	 最不满意的是范冰冰了。原著里清纯的云蕾变成了这样一个老辣的侠女……受不了。不过喜欢里面的其他人物，因为每一个都是有血有肉的……只是可惜了静公主和云重了……            
(NA)	 2            
(3星)	 虽然喜欢沈，还是没看下去            
(4星)	 很爱原著，但我会说这部拍的还是不错的，即使我也承认改了许多乱七八糟的            
(4星)	 不喜欢女主角            
