http://movie.douban.com/subject/2119417/	我和僵尸有个约会2 我和僵尸有个约会II
(4星)	 冲着第一部的余兴，把第二部看完了，感觉一般。看完后就不想看第三部了，其实第二部看完都有一些是睡觉睡过去的。感觉续集总逃不过商业的味道。还有一个原因，本人没找到粤语高清的，看着有点不爽。            
(5星)	 马叮当有爱shi了~~~~~~~~~~            
(3星)	 真的有杜文泽吗?            
(5星)	 纯属怀旧。            
(4星)	 再回头看            
(NA)	 小学时先看了第二部来着            
(4星)	 马小玲，原来能哭是一种福气。            
(NA)	 没第三部好看哪            
(4星)	 况天佑老的肉都掉起了            
(5星)	 参照1吧，苦情的俩人能甜蜜一下，是多年期盼。好在大势所趋，编剧也看出群众们的渴求，一部比一部更有盼头。            
(3星)	 张文慈你好妖媚啊~~~杨恭如一如既往的纯情到底...            
(5星)	 况天佑这一生最想见到的，是马小玲为他织衣做饭，在寻常而温暖的家里等着他回去，过平凡人的生活。            
(4星)	 以前总觉得三拍的很白烂…现在觉得三拍还是不错的            
(5星)	 经典中的经典.            
(4星)	 万绮雯的腿啊~~~~            
(5星)	 马小玲挥剑斩妖除魔!~            
(3星)	 故事背景很好，故事也不错，但节奏掌控得不好，打戏有点凌乱和过多。值三点五星            
(5星)	 杨恭如！            
(3星)	 看到自己都想被咬一口。            
(NA)	 第八集太天才了-----哈哈哈            
(3星)	 只记得万绮雯 。。。            
(4星)	 将臣，大概上帝就长成这个样子了吧。            
(5星)	 不断重温的经典港剧 小学时候的最爱~！一天一集 盼星星盼月亮~ 美好的回忆啊 哈哈            
(5星)	 最爱的港剧，爱恨生死的最佳诠释            
(5星)	 当年曾幻想自己是 况天佑 ...             
(5星)	 马丁当            
(4星)	 配音太烂了。            
(5星)	 &#34;我刚开始学做僵尸,以后请多多指教。&#34;&#34;不能同生,只愿同死,千秋万世,至死不渝。&#34;三部里最中意这一部。            
(3星)	 43            
(NA)	 太长太长了。十三兄，注意控制节奏            
(5星)	 重看后，觉得必须修改评价，升一星，给风中的丁当……这部的国语配音十分杯具，估计这也是我当年给四星的原因之一。这次重看了粤语版，感觉好多了            
(5星)	 好看!很好看!            
(5星)	 那天在MTR不小心看到，虽然视觉效果仍在，而且作为一部多年前的电视剧已然显得很前卫了，但是还是被囧到了……但是还是那句话，勾起了我的童年回忆。小时候我多爱这部戏啊，觉得天佑几鬼帅啊，小玲穿白斗篷超短裙驱魔的样子几梦幻啊。僵尸以及吸血鬼就此在我心中埋下正面的种子。            
(5星)	 自从看电影以来，流了最多眼泪的就是这一部了！以后应该都不会有这么好看的了！            
(4星)	 剧情有点过于离奇~~但是继续萌马小玲的短裙            
(5星)	 第二部搞笑点 情节多点 巫婆玲漂亮点            
(3星)	 我都看晕了            
(4星)	 重温之后，觉得无趣了。最好看的果然还是第三部。            
(5星)	 有时间就复习~            
(5星)	 造化弄人            
(4星)	 其实剧情一般 太过冗长 但是如果从第一部开始看的话 会有种很深的触动 看完之后会让人相信宿命 生死也好 爱情也好 都是命中注定 即使上天帮你改变了这一瞬间 每一个人依然逃不过命运原本的安排            
(5星)	 御姐大愛！～            
(5星)	 我先看得是第二部。。它首先震慑住我得是万绮雯那修长的双腿            
(4星)	 这一部终于为马小玲和况天佑之间的爱情画上了完美的句点，剧中各种人物之间的情感贯穿始终，你会问自己到底什么是真正的爱情，答案或许有千千万万种，但我却喜欢那句最老土的“不能同生，但愿同死”            
(4星)	 还是有点弄不清线索～            
(5星)	 第一部都没看过直接看二了            
(NA)	 强啊~            
(5星)	 童年啊童年            
(4星)	 看了1－3部，觉得2和3最感人，特别看到晓玲看着身边的人一个个死去，却坚忍着不能流泪的痛苦。。。。            
(5星)	 非常喜欢            
(5星)	 马家的女人最大的本事不是抓僵尸  而是能忍住眼泪不哭。            
(4星)	 到后面所有人都打酱油了            
(4星)	 况天佑 马小玲            
(5星)	 我想这是经典中的极佳！！！！永远忘不了的剧情和马小玲的长腿。。。            
(5星)	 好好好好好好好好好看！            
(5星)	 小时候因为忍受不了国语配音所以没继续看下去。十年之后，我终于将这部剧补完了。太多泪点，太多感动，太多纠结。重要的是，它还是我心中的经典。没有办法不喜欢的马叮当，直到最后那一刻依然那么倔强。况天佑。马小玲。千秋万世，至死不渝。2012.02.13            
(5星)	 变僵尸后的造型太囧~~女娲太老~~叮当太悲~~剧情非常强大~正中的菠萝油台词很经典~            
(5星)	 小时候好喜欢的            
(5星)	 最好的一部            
(5星)	 第二部的剧情最好，任达华的出演非常到位。看得人唏嘘不已。            
(5星)	 僵尸作伴好童年            
(5星)	 万绮雯真美            
(3星)	 看来和主线故事相比，我更喜欢支线故事。爱情是永恒的话题，缠绕着我们生生世世。堂本静和未来。            
(3星)	 第三部没有可看性            
(4星)	 神一般的故事            
(5星)	 感觉这一部情感戏份多            
(5星)	 最喜欢她马小玲 腿各种长，各种美，裙子各种短、我都替她冷。 不喜欢珍珍的个性，不过她会是个很好的朋友。 况天佑各种没表情。   1、2、3部好几年前都看过一遍。 现在又来重新看~!            
(5星)	 2度重温 十几年过去 只差一步 就成经典 那个在风中飘过的女子 马叮当 风情万种 却又冰冷如霜 一间酒吧 一场等待 白蛇等了许仙800年 开了一间waiting bar 叮当把它变成了forget it bar 可是忘记不等于放弃等待 我终于知道曲终人散的寂寞            
(4星)	 情深意重的菠萝油！！！            
(4星)	 謝生的秦始皇（伯爵）經典到光芒勝過男主            
(5星)	 经典，小时候看多很多遍            
(5星)	 正在反反复复看。            
(4星)	 还是喜欢万绮雯！马小玲！！！            
(5星)	 马小玲~~            
(4星)	 这部在探讨人性和社会深度上比第一部更进一步，剧中处处可见隐喻和讽刺。但剧本有点混乱，很多设定都自我矛盾。始终觉得将臣最爱的是马叮当。            
(4星)	 僵尸系列。            
(4星)	 感动得一塌糊涂.就像看迷失一样,到最后喜欢上里面每一个人物.            
(5星)	 算我特别喜欢的港剧            
(4星)	 虽然对珍珍都很好，也都很深情，但这部里的司徒奋仁就像温开水那样缺乏特点，反而第一部里的山本一夫，不是完全的正义（曾经的天勇者），也不是完全的邪恶（狂热的军国主义分子），对待自己所爱的女人也不是总那么温柔（但是看珍珍时眼神始终透露着一股爱意），角色形象非常鲜明，让人难以忘怀。            
(5星)	None
(5星)	 这部超喜欢马叮当的~            
(5星)	 千秋万世，至死不渝            
(5星)	 任达华！            
(5星)	 这部好看            
(5星)	 “而况天佑和马小玲，只是名字被放在一起，很多人都会感觉幸福。”            
(5星)	 如果真的要在杨恭如和万绮雯做出选择，我赌后者            
(4星)	 讨厌~ 没有第一部好看了~ 而且怎么会这么长嘛。            
(4星)	 好早了            
(5星)	 大爱将臣啊！！！！            
(5星)	 二比一还好看。。。一比较讨厌王珍珍。。。小玲姐姐巨帅气&gt;&lt;2的开头也挺有意思            
(1星)	 快进看的~~~没有感受到精彩之处咯            
(5星)	 这部最多帅哥儿美女子了            
(4星)	 感觉1比较好看点，但这部也不错            
(5星)	 个人更喜欢第一部            
(5星)	 1好看，2悬疑，3唯美            
(5星)	 风中叮当，尸中将臣            
(4星)	 最经典的一部            
(5星)	 不能同生，只愿同死。千秋万世，至死不渝。            
(5星)	 凭着小时候模糊的记忆去温习，后来却被真实的打动了。大爱马小玲。            
(4星)	None
(5星)	None
(4星)	 05年，的广东。。            
(5星)	 经典就是经典 当初为叮当不知道哭过多少次  如果先遇到的是她？会不会什么都不一样？            
(5星)	 爸爸妈妈们都爱看，还有什么挑的？！  不多说，你们懂的。            
(5星)	 记得很喜欢那首插曲！忘了叫什么？！            
(4星)	 女猪脚的长腿很诱人            
(4星)	 僵尸继续约会            
(5星)	 就算下一秒是世纪末日，只要这一秒我跟你在一起，就够了。            
(5星)	 重新再看遍,经典,依旧喜欢            
(5星)	 珍珍死了以后，我很难过。他和司徒真的很配啊            
(5星)	 经典            
(4星)	 大爱            
(4星)	 分段看的……还是有很多经典的片段，配那煽情的音乐。。。。很多演员都喜欢！！将臣在告别叮当之前都相当帅~！司徒也是~。还有珍珍告别天佑……哭！最后赞：编剧的想象力够屌~！！            
(5星)	 好看！经典！            
(5星)	 满大街二三四五部中难得出彩的续集，像羽毛所说，第二部甚至比第一部更出彩。虽然当初的我也看不懂觉得那些人好麻烦啊 我爱他她爱她然后争争争然后放弃或坚持blahblahblah~~马叮当是，马小玲如是，王珍珍小me如是。可是呐可是呐这就是爱情吧~爱的形式和内容其实是差不多的，不同的是爱的背景和因果。            
(3星)	 重温经典！再次感动于况天佑马小玲最佳荧幕情侣，心中最爱的王珍珍却过早逝去让我纠结不已，任达华饰演的将臣也帅气有情。但该部故事已然无法超越第一部，虽然有亮点但并不多见，现在看来反倒有些雷人。            
(5星)	 临 兵 斗 者 皆 阵 列 在 前            
(NA)	 咦现在想起来还真是不缺基不缺百合            
(5星)	 情节2比1更精彩~连王珍珍都不那么讨厌了~最爱马叮当，烟视媚行的样子秒杀其他一切女纸；挚爱未来，之前的性格简直是跟我一个腔势经啊~~美瞳莱利好帅！马小玲不如马灵儿好看我赶脚~~有木有人跟我一样感觉孔雀大师有萌点！            
(4星)	 更扯了...不过同样好看!...            
(4星)	 马小玲。            
(5星)	 没啥疑问，重温10次以上。            
(5星)	 太好看了！            
(4星)	 我不待见女娲            
(4星)	 第二部效果好狠多            
(NA)	 万绮雯好靓女啊!!!特别系扎高辫!!!            
(NA)	 这个不能不说的大爱啊， 十三是个人才~            
(5星)	 1.外援阵容真不错，选角很给力。2.最抢眼的果然是将臣和马叮当。女娲造型真是太难看了。3.是不是魔幻剧就必然动漫风？4.很熟悉的主题：人类虽然各种丑陋但命运由自己决定，就算是神也不要来随便代劳。5.果然说到最后都是爱的力量最大！            
(3星)	 三部曲中最差一部，況天佑變的小家子氣優柔寡斷，複生管【老豆】叫【大佬佑】，所幸馬小玲真正和況天佑走在一起，不像第一部是一種含混曖昧的感情，但是爺爺撿孫子的剩飯，真囧；不過將臣是亮點            
(5星)	 遗憾的结尾像残缺的碎片，唏嘘之时愁肠百转，幸而有你            
(5星)	 最爱的一部电视剧！            
(5星)	 最后16集，追了一个通宵看完。为了一部连续剧，这是生平第一次...“不能同生，只愿同死；千秋万世，至死不渝。”            
(5星)	 反正……就是喜欢啊！！            
(NA)	 这个电视的构思好宏伟。！            
(5星)	 童年的大爱            
(5星)	 花了三天时间看完的啊，还是很给力啊，万绮雯的腿很有诱惑力的呢，那个年代超短裙已经这么潮了，现在依然是时代的前列，谁让裸露是时代的趋势呢。关于剧情由于第一部已经忘了太多总是感觉有好些分不清时间观念，但依然很感人很纠结很有看点。剧情比现在的肥皂剧好多了。            
(5星)	 想当初5年级一放学就跑回家看= =。。。            
(5星)	 马小玲            
(5星)	 马小玲和况天佑，我永远永远的至爱。            
(3星)	 僵尸约会系列里最好的一个了            
(4星)	 前三十五集的还是满不错的..越到后面越罗嗦，对白越来越惨白..死一个人要死一集.哭也要哭上十来分钟，不知道为什么要打架，也不知道为什么要在这样..郁闷！剧情比第一部要好..比起第一部搞笑了好多。不过在心目中还是第一部最好看...            
(5星)	 比僵尸Ⅰ丰满许多。陈十三乃神人也。。。僵尸最大的力量不是来自怨恨，而是来自爱。            
(5星)	 谢君豪演的莱利印象深刻            
(4星)	 这是最近用来打发时间的唯一乐趣，哈~看粤语看了43集，乱七八糟的一顿打来打去，也挺好看，准备继续看下一部了。            
(5星)	 这是我童年的一段记忆......            
(NA)	 王珍珍的真爱是马小玲，马小玲的真爱是王珍珍，况天佑你该干嘛干嘛去！            
(5星)	 只记得是好久以前看过的            
(5星)	 第二部还是依旧好看，经典。那首片头曲到现在还会唱。。            
(5星)	 三部里面这一部故事梳理的最好~            
(5星)	 我将无节制的顶下去.....            
(5星)	 大长腿+吸血僵尸+各总蛇神鬼怪+感情啊感情            
(5星)	 比第一部和第三部都要好，经典            
(5星)	 最爱的剧之一            
(4星)	 扯得不够水平，但因为扯得早，只扣一星。也许是没找到粤语的，感觉不好。            
(4星)	 挺夸张的女娃变成了罪人            
(NA)	 初中的时候很爱看来着~~            
(4星)	 重温一遍。            
(2星)	 续集的弱点开始了            
(3星)	 原谅我当天不懂得珍惜            
(4星)	 既是经典，何需多言。小玲姐姐、、            
(5星)	 超喜欢秦梦那段的，其实这部比一编的要好。            
(NA)	 马小玲~            
(4星)	 还好啦            
(3星)	 后继无力....我果然只喜欢第三部=。=            
(5星)	 当时差点因为标题而错过~第二部最经典            
(4星)	 7/10            
(4星)	 第二部比第一部好看 不过将臣女娲他们出现以后就不好看了 好拖啊            
(5星)	 不只是僵尸片            
(4星)	 爱在地球毁灭时！            
(5星)	 很爱主题曲~很爱马小玲跟况天佑！            
(5星)	 再后面就没看过了            
(5星)	 真是经典 巨好肯 喜欢马小玲            
(5星)	 好看            
(4星)	 第二部剧情比第一部好            
(5星)	 好看            
(5星)	 第二部~好看~            
(5星)	 港片中的经典 尽管是ATV的            
(4星)	None
(4星)	 世人皆爱马小玲 唯我情衷王珍珍 第二部的亮点就是马丁当 如果她和奋仁在一起 我也很乐意见到的            
(5星)	 第二部是三部里面影响最深刻，最让人意味深长的，经典无法超越。            
(5星)	 ATV难以超越的经典。            
(4星)	 拿电视剧教化世人，这部片做得好：信息量大，十几个出场人物都有大段内心独白，都是编剧苦心写出的劝世范本，有关于现代城市的孤独，一个人的自信，爱的力量。            
(NA)	 原谅我当天不懂得珍惜，只知任性……            
(4星)	 长腿姐姐马小玲！！！            
(4星)	None
(5星)	 虽然故事有些玄，但编剧功力超强！            
(5星)	 我最中意第二部，我很喜欢马叮当这个女子，金未来也变得好漂亮好有个性，将臣不再是第一部中的邋遢怪物了，前半部分很搞笑，后半部分用情至深，喜欢那首主题曲的高潮部分（假如真的还有个约会）堂本静死前那场战争以及最后世界末日大战都很精彩。僵尸的最大力量来自于爱。            
(3星)	 部分有雷点。。            
(4星)	 还是1比较好看            
(4星)	 陈启泰那角色不错，嘿嘿。            
(3星)	 还记得万绮雯当年拍的美腿广告吗，哈哈            
(NA)	 没看完            
(5星)	 看了第二部，很难再看第一部了，第三部说的已经不是僵尸了，神话故事            
(5星)	 小时候超喜欢            
(5星)	 好看！每一部都好看！            
(4星)	 这个结局比第一部的好2011-5-3            
(4星)	 4星给了任达华，以及编剧陈十三。/            
(5星)	 较第一步添加了更多的笑点            
(5星)	 個別片段還是很有愛的...我很喜歡姑姑啊！將臣你的混蛋！叮噹很好的好嗎？！！小玲和天佑果果曖昧時期等等萌點是塞滿的！            
(4星)	 大爱马小玲。            
(5星)	 马丁当。            
(5星)	 我的青春成长片啊  去年这个时候连着把3部都看完了              
(3星)	 幸好有马小玲，温暖我的夜。            
(5星)	 主題曲百聼不厭。            
(5星)	 超级喜欢            
(5星)	 经典，看过的人都知道            
(5星)	 第二部很好，但最爱还是第一部            
(5星)	 不及一但也很不錯!            
(4星)	 第二部是我认为拍得最好的一部，也因此给我印象最深。            
(4星)	 就是看着这些长大的！            
(5星)	 马叮当。。。除小玲外我稀饭的人。。。            
(5星)	 其实最后的世界末日有点假，感觉像在拍日本片一样，但是前面和第一部一样经典。            
(5星)	 第二部持续好看。持续大爱马小玲。            
(NA)	 好吧 未来和叮当死的时候骗了我一缸的眼泪 呜呜呜呜呜风中叮当 真是美好的女子            
(5星)	 经典经典 僵尸系列永远是我最心水的            
(4星)	 马叮当的爱和死让我感动了。            
(4星)	 将臣！型！            
(NA)	 我只是想念华娱卫视了。这部有将臣，我记得将臣。            
(5星)	 虽然没有第一部经典，但还是要献上我赤裸裸的爱！            
(4星)	 not too bad             
(5星)	 还是给万绮雯的美腿            
(5星)	 年少时的美好回忆            
(5星)	 编剧，神啊。2011年2月26日看完的。            
(3星)	 还是第一部好看            
(5星)	 神作不解释            
(5星)	 任達華好靚            
(4星)	 没第一部好看，但依然很喜欢！            
(4星)	 PPS上的国语配音太煞风景了。。            
(5星)	 无法形容的喜欢            
(5星)	 第一部给四星，第二部给五星，确实是第二部更好看，逻辑也更顺一些。任达华演的将臣很不错。马小玲继续敖娇秀腿。陈启泰这次的角色没山本一夫萌但是还是不错，况天佑继续被我无视……            
(5星)	 风中叮当。金正中。未来。            
(4星)	 陳13很經典            
(5星)	 最爱这部~            
(5星)	 十三叔的少女心            
(5星)	 忘了有几部 初中时不上课天天赖在家里看天佑。。 马小玲的大长腿。。            
(5星)	 大爱。看了很多遍。            
(5星)	 万绮雯，我的童年女神            
(5星)	 僵尸系列最爱的还是这部~            
(5星)	 爱万绮雯            
(5星)	 不爱我，就别咬我。            
(5星)	 谁忘得了马小玲的长腿？            
(4星)	 马小玲            
(5星)	 童年记忆            
(5星)	 来世你我要是重认 能否找到彼此背影 假如全无凭无证            
(5星)	 就是好看，马小玲与况天佑            
(5星)	 千言万语，不知从谁说起。。。            
(4星)	 山本一夫最帅！！            
(5星)	 六年级时的回忆啊······            
(5星)	 陪了我多少年的剧集.如果你是马小玲.你能像她那样坚强和敢爱敢恨吗？            
(5星)	 不如第一部好，但依然爱马小玲！            
(5星)	 曾经只要打开电视在播这局的 我必看因此我已忘了看过多少遍了            
(5星)	 心中的经典            
(5星)	 喜欢雯雯，虽然3部都看了，但还是偏爱前2部~             
(5星)	 哎。同样不解释            
(4星)	 帅的将臣，有点搓的男主            
(4星)	 看在万绮雯没腿的份上还是打了四星。。。             
(5星)	 除了况天佑和马晓玲！还有一个陈十三！            
(5星)	 小时候不知道什么是第一第二部~但是一样好看就对了~            
(5星)	 最后每个人都以自己的方式死掉的时候，心痛得不得了，每个人都那么亲切可爱！！            
(5星)	 小时候的期待。。。            
(4星)	 这部在我心中的位置就是仙剑的问情篇……            
(4星)	 继续欢乐~~~            
(5星)	 不愛我，就不要咬我            
(5星)	 好！            
(5星)	 噗。。。我看过            
(5星)	 香港难得的cult电视剧。个人认为。            
(5星)	 僵尸和天师，想起一次就心碎一次啊。            
(5星)	 永远的万绮雯            
(NA)	 小学最怀念的电视剧            
(4星)	 其实只看了 诗雅和莱利的故事 很感动。。。爱是永恒的。。。            
(5星)	 永远的最爱！！！！            
(4星)	 经典的僵尸戏，还一度感动到了。            
(4星)	 万绮雯很漂亮~~            
(5星)	 恩，除了国语配音很撇以外，其他都非常好            
(5星)	 女神万绮雯嫁给了陈十三= =             
(4星)	 II里的任达华很赞 将臣--僵尸之祖 长着一对翅膀 每次出场的音乐都很震撼 好喜欢看马叮当骑Moto出场 超帅 马家的女人都有一个特点：爱钱 挖哈哈（我也爱） 其实爱钱只是掩饰她们感情的一种方式 最爱当然是小玲拉 很喜欢看她说临、兵、斗、者、皆、阵、列、在、前——诛邪 象美少女战            
(5星)	 还是不懂。。为什么会觉得好看呢。。            
(4星)	 在我的脑海里，亚视最经典的剧了~除此之外，还有什么能和TVB抗衡？            
(5星)	 凤凰卫视            
(3星)	 没有第一部好~            
(NA)	 任达华，万绮雯            
(3星)	 其实三部里第二部算最有内容的了            
(4星)	 冲着任达华看滴。这一部增加了不少的爱情元素，相比第一部来说内容更丰满，但是第一部的悬疑点和恐吓点多一些。            
(5星)	 这个国语版烂到不能看了，下了粤语版。            
(4星)	 这部里面喜欢谢君豪            
(5星)	 经典，第2部同样好看  大爱 天佑VS小玲的CP            
(5星)	 马小玲、马叮当……这两个女人绝对是女人中的极品……陈启泰也是一如既往得帅……还有任达华，将臣都帅成这样啊……            
(3星)	 该死的都死光，过渡时期，要原谅它            
(5星)	 哇咔咔            
(5星)	 好看喜欢！还有任达华演的角色太帅了~~自此也比较欣赏这位演员了。            
(5星)	 第二部剧情不错！            
(5星)	 大爱的一部。            
(3星)	 终于搞清楚这部有神话有古装有民国有现代有科幻的剧到底在说什么了。。看的国语配音太烂直接导致好感度不佳~不过主角们还是顺眼的~10年前的制作水准和妆发在感叹的同时还有感慨~惊叹的同时还有惊讶~额 比较雷的不是僵尸天师恋，而是莱西是秦始皇、僵尸后来跟女娲是一对。。            
(5星)	 大爱马小玲            
(5星)	 最愛的電視劇之一。第二部，完美的世界觀，完美的故事            
(5星)	 最经典的一部了。            
(NA)	 我最亦只喜欢万绮雯小姐和陈启泰先生!!!!!!!            
(5星)	 ATV名剧            
(4星)	 编剧很有创意            
(4星)	 90年代前的港剧迷都追过的电视剧            
(5星)	 很帅的秦始皇,很男人的将臣,漫画感比第一部更强了...            
(5星)	 比第一部更精彩……终于看到况天佑和马小玲走在一起。任达华演的将臣很有大哥的风范            
(4星)	 ATV的僵尸系列是不是就已经是巅峰了？            
(4星)	 自己吓自己            
(5星)	 任达华的气场果然无比的强大哎。秦梦的故事太短，如果长点就好了，为爱痴缠。可惜僵三看来看去除了万绮雯的长腿之后，没什么好看的。            
(4星)	 感觉有的地方不如第一部，但也有比第一部好的地方，总之还是很喜欢很喜欢！            
(5星)	 经典啊！想象力丰富，完全不像是2000年前的剧。            
(5星)	 非常喜欢，百看不厌！            
(5星)	 第二部个人认为是三部里面最妙的一部~我爱马小玲~不过第二部中我也爱上了马叮当~            
(3星)	 初中的记忆,好象没看完,也不记得看的到底是不是这一部...            
(5星)	 第二部永恒的经典！            
(5星)	 剧集里有着爱的力量。嗯，珍珍是个完美的女人，完美得太不真实            
(5星)	 这个12部都很经典，80后基本都看过的，FANGTIANYOU  MAHAOLING            
(5星)	 爱爱爱            
(5星)	 我的最爱之一，马小玲况天佑绝配            
(3星)	 怎么说都是儿时的爱 呀呀呀            
(5星)	 成功之后更成功的续集。            
(5星)	 顶！            
(5星)	 OH.i do love u .            
(4星)	 狗尾续貂            
(3星)	 只记得那个结尾            
(4星)	 =3=            
(5星)	 十三说人生观 世界观最完整的一部            
(5星)	 小时候很爱看            
(NA)	 我只记得当时《午夜凶铃》很红，然后此剧也出现了贞子，结果我被贞子的菠萝油那段感动得哭得稀里哗啦……            
(4星)	 画面感好些了，那个对感情拖泥带水又很爱哭的僵尸。            
(5星)	 三部曲中的最经典的一部，当时觉得将臣大叔真帅！            
(5星)	 正            
(5星)	 整体在剧情连贯性上感觉很不错。很值得看            
(5星)	 看了10遍，每次看都是感觉很新鲜，那种感觉，让我想哭但是哭不出来，电视剧的结局始终是美好的，但是现实往往是残酷的~~ 今天是第11遍看这部电视，依旧感觉那么美好，不过前提是看粤语原版的~~因为国语配音超级垃圾~~               
(4星)	 最后的终极boss反转但让人震惊了            
(5星)	 童年的小回忆...            
(5星)	 怎么看这部的人那么少 小学的时候看的 马小玲和况天佑之间的故事 或多或少 让我对爱情 产生了很深刻的认识 很感动于他们 并且懂得感恩            
(3星)	 2的剧情比1真是烂好多。。。不过马小玲依然美好^^            
