http://movie.douban.com/subject/2135732/	力克千年虫 The Millennium Bug
(5星)	 喜欢这部片子，不是因为故事情节。是因为它是好友和我多年前一段共同的记忆，还有两句直击人心的台词：一是“你看到的事实，不一定是事实”，还有就是昨天、今天、明天的那句话。            
(4星)	 看过好多遍类最记得的就是有个帅哥叫刘星宇            
(4星)	 新加坡剧啊。我的菜。            
(5星)	 对的,就是这部！当年还说有续集的说~            
(5星)	 力克千年虫 The Millennium Bug / 千年虫            
(3星)	 难忘            
(5星)	 刘星宇是天使!            
(3星)	 有一首很好听的歌，假如智慧可以迁移            
(4星)	 男主角现在哪去了？            
(4星)	 小时候看的，那时候觉得好先进，范文芳很美            
(5星)	 突然想到。。            
(NA)	 Yesterday is History.            
(4星)	 我还记得那个男主角的名字叫刘星宇，郑惠玉不是那么美，却真的那么美，我很喜欢这个剧            
(4星)	 有点紧张，记得打阿尔法鞋带；            
(4星)	 又见郑惠玉            
(3星)	 当时很喜欢的新加坡片。忽然想起来。            
(5星)	 一直等下半部，可是就没了，很喜欢的故事            
(3星)	 我记得里面有一个反派Boss超级牛逼！死了以后让他儿子把他的头割下来冷藏到冰箱里面，然后要跟他儿子换头！！！！！！！超级惊悚！            
(5星)	 童年啊            
(5星)	 小时候很喜欢看，也激发了我对计算机的兴趣，导致后来嫁了个搞计算机的老公，呵呵，可谓影响巨大啊~~~            
(3星)	 12年前对这个片子很着迷，当时对里面大反派用的智能手机非常羡慕，没想到10年以后就到处可见了。            
(4星)	 很是迷了一阵子刘兴宇，可惜找了几年的资料都未见，听说经商去了            
(3星)	 关于黑客的新加坡电视剧            
(5星)	 剧情很不错            
(5星)	 很神奇的新加坡科幻剧            
(5星)	 很久很久以前看过 尘封的记忆            
(4星)	 2选1，是刘星宇还是庄明轩？            
(4星)	 有电脑但没网络的时候看的，至今沿用里面系鞋带的方式            
(5星)	 三个主角都超喜欢  看了两遍了  还喜欢里面那首童谣            
(4星)	 当年还很喜欢赖兴祥呢            
(5星)	 TO BE CONTINUE.....            
(4星)	 小时候看的 但是很有印象 我喜欢 刘星宇 也就是赖兴祥            
(4星)	 刘星宇帅啊            
(5星)	 初二暑假吗？忘记了，但是记得自己的第一次叛逆，第一次的翘课，然后还有胆怯~            
(4星)	 很喜欢的一部            
(NA)	 老片子啊，当时很喜欢奥法的            
(5星)	 麻痹给我把续集吐出来。            
(4星)	 小学看的～居然是新加坡的            
(4星)	 tell me the tales that to me were so dear.....也就是从那时开始记住这首歌的，后来学钢琴的那段日子没事就弹这首，结果现在唯一会弹的也就这首歌的前半段了～当时红啊，现在看看多幼稚的玩意～            
(5星)	 童年印象深刻的电视剧，各种神展开之类对幼小的心灵冲击很大明明记得结尾BOSS的头被人拿走换了，而且东山再起显示TO　BECONTINUED，可貌似到现在都没看到续集            
(5星)	 当时看觉得可好看了。。。            
(4星)	 记得曾经一度很迷新加坡的电视剧。。。            
(NA)	 有段时间超迷            
(5星)	 陈汉伟一身白衣服帅到飞起来了            
(4星)	 女主脑中的芯片有木有            
(5星)	 小学看的 巨喜欢！            
(4星)	 对主题曲印象很深            
(4星)	 那个时候喜欢陈汉玮            
(5星)	 看的时候一直把男猪脚想成我暗恋的男生，后来这个男生变成了我的老公            
(3星)	 long long ago            
(4星)	 陈汉玮很白马啊            
(5星)	 一直记得这部电视剧…十一年了…还是觉得不错～那时候好喜欢星宇吖吖吖^_^)Y 还有那首熟悉的long long ago             
(5星)	 小时候的记忆。直接影响了我的本科专业。。。            
(4星)	 十几年前看的电视剧最近终于被我看完了            
(4星)	 头脑里植入芯片的想法很酷            
(2星)	 暑假看的            
(NA)	 小学时候好爱看的，还记得同学的妈妈一直把它叫“巧克力千年虫”笑死了。。。当年好喜欢那里面的刘星宇！！男主要对我的择偶标准的确立负责啊啊啊！！！！            
(4星)	 小时候看得来欲罢不能。            
(4星)	 其实很少看这样的电视剧，但是机缘巧合就一口气看完了。依稀记得“LONG LONG AGO”的的旋律！            
(4星)	 那个时候觉得好酷啊，是初中时吧            
(5星)	 当时超喜欢！结尾留着悬念，还一直在等续集的说！            
(5星)	 我有新加坡情节            
(5星)	 刘星宇太帅了，很man，很有型！超爱的电视剧！            
(NA)	 刘星宇            
(5星)	None
(5星)	 好好看。我喜欢刘星宇            
(5星)	 富有哲理的故事。            
(4星)	 我记得是初中的时候看的了            
(5星)	  童年的记忆~            
(5星)	 如果说我对网络有所热爱的话，那这部片子就是启蒙老师。            
(4星)	 念念不忘            
(NA)	 看这个的时候还没10岁。。刚刚突然想起来名字上豆瓣搜了一下            
(5星)	 好喜欢男猪脚那个胸肌大啊··小时候很喜欢            
(4星)	 刘星宇！！            
(5星)	 当年的最爱！！！男猪脚跟俺爸用一样的手机！他比较不爽 说新加坡人都长得丑..            
(4星)	 小时候看过的电视剧~            
(NA)	 儿时回忆啊！            
(NA)	 哎哟我的妈啊            
(4星)	 喜欢郑惠玉，给4分。期待不知撒时候出的续集。。            
(4星)	 当年很爱~            
(4星)	 喜欢男主的超智商。当年力荐的好片。            
(5星)	 记得小时候超喜欢的。。。            
(4星)	 印象深刻            
(4星)	 结局有点莫名奇妙~~当年怎么那么爱看啊啊……            
(NA)	 还记得那段经典的话：Yesterday is History；Tomorry is a Mystery；Today is a gift，That&#39;s why we call it the present！            
(4星)	 这部我小时候看得很HIGH！            
(4星)	 记得好像挺好看的            
(3星)	 又是一部没有看到过结局的。。。            
(4星)	 当年的新加坡剧红极一时啊！            
(4星)	 当年偶们姐妹团很爱的剧集啊，一直争着是刘星宇好还是庄明轩好，嘿嘿。。。偶素支持刘星宇滴~~            
(4星)	 那时候觉得很好看            
(NA)	 小学暑假在外婆家看的！            
(4星)	 想再看一遍。            
(NA)	 续集等了十年了，别提了            
(5星)	 看了两遍，兴祥兄已退出娱乐圈多年了，现在好像是新加坡某银行行长。当年觉得那高科技好神奇。            
(5星)	 高中的时候看的,很喜欢.因此也喜欢上了Long long ago这歌.            
(5星)	 小时候好喜欢啊！结局还是开放式的~            
(NA)	 = =已经不记得内容了            
(5星)	 一万个力荐！！！            
(NA)	 怎么没有续集了            
(5星)	 最爱的电视。            
(4星)	 我承认那时候有被吓到，还以为真有什么事会发生。            
(5星)	 从此之后，只要是鞋带我就是那么绑，还真没那么容易松。            
(5星)	 Yesterday is HistoryTomorry is a MysteryToday is a gift初中的时候后看的，当时觉得剧情很不错            
(NA)	 很美好的回忆！            
(4星)	 还有原声音乐碟呢，老大从新加坡带回来滴            
(3星)	  赖兴祥天然呆            
(NA)	 梁家星喜欢            
(4星)	 看得太早了，唯一的印象就是男2号真帅啊。。            
(4星)	 神勇的红黑remind me of it~~            
(4星)	 偶的科幻启蒙~~            
(NA)	 哈哈，好老的片兒我都找來了。            
(4星)	 一种启蒙，回味时的拙劣，一种记忆            
(4星)	 LongLongAgo.....            
(4星)	 哦，当年看到了新加坡国难得的一个帅哥。。            
(5星)	 这是我最早对网络的记忆，五年级的            
(4星)	 当年很喜欢赖兴祥，还有那首long long ago            
(3星)	 小时候屁都不懂，什么千年虫            
(5星)	 我当年真是爱死它了~~            
(4星)	 小时候看过的，当时特有当黑客的冲动            
(5星)	 当年的最愛.从此爱上新剧            
(NA)	 2000年的片子一晃10年了。郑惠玉啊郑惠玉            
(3星)	 找不到昔日新加坡电视剧20年前红遍祖国南北的感觉            
(5星)	 我找了四年啊！！！！！！！！！！！！！！！！！！！！！！！11            
(4星)	 真是小时候的美好回忆啊……            
(3星)	 男演员都很帅~            
(5星)	 多有前瞻性的科幻片，那个时候电脑还没有像现在这么普及，黑客只是遥远的一个传说，尽管这么多年过去了，我依然记得那些剧情            
(4星)	 当时是真的爱看啊，还老等着continue            
(4星)	 Long long ago            
(4星)	 回忆啊回忆……主题曲很好听            
(4星)	 小时候看的.........            
(NA)	 到现在真的是long long ago了            
(5星)	 我的电脑启蒙片。            
(3星)	 古早电视剧            
(4星)	 当年很喜欢的片子            
(5星)	 印象灰常深刻。未完待续。续呢。。。            
(4星)	 当时觉得好科幻……            
(5星)	 男猪脚叫什么来着？ms叫流星雨- -|||            
(5星)	 好喜欢alpha啊！！            
(4星)	 印象很深，小时候看的很特别的一部电视剧            
(NA)	 当时看的时候觉得挺高科技了……一直以为那个女主角是容祖儿，记得演员表这么写的，难怪一直觉得和容祖儿不像……然后觉得容祖儿年轻……            
(5星)	 超级经典的片子，超爱里面赖兴祥饰演的星宇，可惜这部片子之后他就跑去结婚做生意了。            
(4星)	 又回味了一遍，哎，庄明轩后来为什么变成那样，我以前一直希望女主角跟他的。现在理智的想一想，最好各自过吧            
(5星)	 天啊～我看了这么多新剧            
(4星)	 啊~~~初一时alfa把我迷的要死要活的啊~~~            
(4星)	 a mirecal in childhood            
(NA)	 那时很狂热            
(5星)	 一直期待续集...            
(5星)	 小时候很爱..            
(4星)	 越看赖兴祥越帅，有段时间超迷            
(4星)	 流星雨啊……            
(5星)	 不是说“To be continue”怎么就没有继续呢~~~            
(5星)	 一直期待续集，可惜啊~            
(4星)	 骗人的to be continued。。。            
(NA)	 据说是最好看的新加坡剧            
(5星)	 看过一点···但没看完··            
(4星)	 超喜欢明轩的，未完待续至今么            
(5星)	 感觉很好啊            
(5星)	 等了那么多年都没个续集，骗子！            
(5星)	 最近很想再看一遍，我高中前两年唯一留下的记忆            
(NA)	 也是忘掉了的            
(4星)	 Today is a gift            
(5星)	 to be continued            
(5星)	 什么时候有下篇啊...我等了很久了...            
(NA)	 桃李满天下，龟仙人桃树下教导熊宝宝，说了句著名的英语谚语： Yesterday is a history,   tomorrow is a mystery,   but today is a gift, 听说是来源于越南的释一行禅师的话            
(5星)	 很简单的片子，高一看的，没有理由的喜欢            
