http://movie.douban.com/subject/2224813/	十八岁的天空
(NA)	 内地的所谓偶像剧实在太假也不美要不就是模仿。。            
(3星)	 在中国，GTO果然不够辣。。。            
(3星)	 很清楚的记得，是济南举办亚洲杯的时候看的。            
(1星)	 伪            
(4星)	 十八岁的天空，因为你而更加灿烂            
(1星)	 什么狗P电视剧            
(4星)	 还行。            
(NA)	 我妈喜欢看 不知道为啥            
(4星)	 适合老师看            
(4星)	 今天看了看`感觉没有以前看的爽``以前觉得这电视剧很不错            
(3星)	 存硬币的灌灌很吸引人。            
(NA)	 虽然很假.但是亦能温暖人心.            
(NA)	 现在想想，好雷。。。演员还挺养眼的            
(4星)	 年轻人。。。            
(4星)	 中国版GTO,比日本要可爱            
(3星)	 还可以，看看无妨。            
(NA)	 怎么说。。= =            
(3星)	 难得的大陆青春片总之我喜欢过不能否认.尽管他有不善之处.但应该肯定他的成功.            
(3星)	 看不下去的。            
(NA)	 个人觉得夸张，不好            
(3星)	 我們的高中哪有那樣            
(3星)	 虽说是模仿的，居然看得很开心。。            
(NA)	 那狗屁女人丑成那个样子还有人喜欢的            
(3星)	 回忆里我的18岁。突然觉得自己挥霍了大把大把的青春。往昔不在，我又在哪里？            
(4星)	 当年那么喜欢保剑锋嘤嘤嘤            
(3星)	 金沙演的内个叫蓝啥来着？？？我一听她说话就着急，能快点儿么，你用的不是南孚电池吧，赶紧换电池去！！！！！            
(3星)	 金莎啊 保剑锋啊 什么的            
(3星)	 至今至今得那首《红色石头》            
(2星)	 简直不想说我看过啊！！！            
(2星)	 就是因为这部剧保剑锋在我心头的形象轰然倒塌。。。            
(NA)	 我居然看过……我居然看过……我居然看过……我居然看过……我居然看过……我居然看过……我居然看过……我居然看过……            
(4星)	 都是想当年的剧啊            
(NA)	 童年..            
(4星)	 唔，好歹我也得有点回忆~            
(3星)	 全看完了还硬要表达不满说无聊的人真没意思            
(5星)	 我只能说 小时候迷得要死。。            
(3星)	   9年了。            
(4星)	 中国版极道鲜师            
(3星)	 那个时候觉得保剑锋长得真好            
(NA)	 那个时候就讨厌偶像剧了！            
(NA)	 小时候好喜欢看的，当时超迷那个叫star的男主角o(╯□╰)o            
(5星)	 初一暑假，这真的很好看呢            
(3星)	 怎么会是2002年？我记得是大学暑假看的，晕。            
(3星)	 好久之前啊……            
(4星)	 原来是抄袭的吗。。不过无所谓拉            
(2星)	 这个囧剧……&gt;&lt;            
(4星)	 三星，多的一星给青春的回忆啦啦啦……            
(3星)	 别笑...我小时候真爆喜欢的...            
(3星)	 当年被迷得不行啊。。。            
(3星)	 弟弟很喜欢的一部。            
(3星)	 小学时候的回忆啊            
(3星)	 想当年有多少人拜倒在了石延风STAR的校裤下……            
(NA)	 当时刚考完中考，临升高中之时看了这么一部电视剧，感动并向外。哎，只感叹现在都快大学毕业了。            
(2星)	 我要去搞一个豆列，名字就叫“我怎么什么都看过！” OTL            
(3星)	 噗            
(4星)	 红色石头，当初很感动因为没多少时间看电视。。这类青春校园的又太少            
(4星)	 保老师帅着呢            
(NA)	 每次重要考试都有拖延剧分我心            
(5星)	 当时可喜欢了            
(NA)	 十八岁那年看过 呃            
(3星)	 当初还是很痴迷的=-=            
(4星)	 虽然没有十七岁不哭经典，但小时候还是蛮喜欢的。            
(3星)	 曾经的天空            
(3星)	 当年边看边感叹人家的中学怎么那么轻松呢，都闲的没事找事了            
(NA)	 老子当年又是从头看到尾啊= =             
(5星)	 这个分数是感情分            
(4星)	 我记得我那时候春节重播啊.......我春晚也不看了就守着看这个啊            
(3星)	 高考那年还有偷看            
(3星)	 蓝菲琳。            
(5星)	 五星 为了小学的时候看的质量至少比芒果台的傻逼剧好得多得多得多的青春剧留给我的美好记忆。。。            
(2星)	 这校园剧也太不符合国情了吧？GTO是日本的，咱别学人家，成不？            
(3星)	 当年觉得很好看，经历过高三以后就。。。            
(NA)	 哎哟斐佩老师            
(3星)	 想当年也是看得津津有味的……            
(2星)	 大家看就看 不然就离群了             
(1星)	 演技都很假            
(3星)	 李智楠现在都没声音了            
(3星)	 除了保剑锋，没觉着这哪儿还成，唉。尤其金莎，美么？美么？            
(4星)	 猴年马月看的。            
(2星)	 国产青春剧的基本水平。            
(NA)	 李智楠绝对帅!!!!!            
(4星)	 - 看了好多遍。            
(4星)	 其实挺励志和好玩的            
(5星)	        我的志愿是：精彩人生，不留遗憾！！！    世界上最遥远的距离 　　不是 生与死 　　而是 我就站在你面前 你却不知道我爱你 　            
(3星)	 我觉得吧，哪个老师敢真这样干，就等着不可能被雇佣和马上被开除吧。            
(4星)	 《麻辣教师》山寨版 =_= 李智楠唱的主题曲还蛮好听的 囧 好像叫《红色石头》~~~金莎还是叫蓝菲琳比较美 =3=            
(5星)	 以前每年高考时，很多电视台都会放的。            
(NA)	 我就擦了            
(3星)	 那个时候在同学中间好流行＝＝            
(4星)	 红色石头            
(4星)	 我当初看的时候挺感动的。。。。            
(NA)	 这个 年少无知啊             
(2星)	 2004年在上海            
(3星)	 要是没金沙我就给四星            
(3星)	 除了人长得丑了点，也还好了...            
(3星)	 又一个抄GTO的            
(3星)	 我当年到底是哪只眼睛瞎了才会觉得石延枫帅……            
(3星)	 当时就蛮喜欢古老师的            
(3星)	 我想到了17岁的XXX那部gay片            
(1星)	 超级无趣            
(3星)	 當時我認為藍菲琳是我見過最美的人!!!我以為高中生活就是這樣!所以後來我才會失望!!!- -            
(3星)	 关于青春的迷惑。            
(3星)	 当时觉得保剑锋很帅~~            
(3星)	 上初中时看得  那时挺喜欢的            
(3星)	 GTO            
(4星)	 那年我还小 以为十八如此美好             
(4星)	 当时也是比较火的，金莎很可爱。            
(4星)	 那时候很迷哇~保剑锋真耍帅            
(3星)	 年轻看完之后一直憧憬着烫蓝菲琳的发型 直到她变为金莎我他妈也没烫出来她那个头            
(3星)	 跟着电视台的脚步看的。。。            
(NA)	 想当年我还看得津津有味= =            
(4星)	 看了好几年~~~            
(3星)	 啊~~  初中那会儿啊~~~            
(4星)	 都是我过去那年看的了 印象还不错            
(3星)	 高三分明就不是这样的，我初三的时候看的，当时老向往高中了，直到都大学了，我发现，你骗我~~呜呜呜            
(3星)	 啊啊啊。我小时候怎么觉得这都挺好看阿。现在想来...ORZ..            
(5星)	 热血笨蛋啊叛逆少年啊双马尾公主啊傲娇妹子啊神马的反正挺欢乐的就是了            
(3星)	 当年看得挺热的            
(1星)	  - -            
(NA)	 咋妹有蓝菲琳呢            
(4星)	 老家人演的自然要支持！            
(3星)	 稚嫩却有模有样            
(2星)	 莫名其妙            
(NA)	 金莎            
(3星)	 想那会，家里没有芒果台。为看结局，跑到超市门口。小时候啊~            
(3星)	 补：谁没有过十八岁啊~            
(4星)	 好歹我当年因为这部片，特别想18岁。            
(3星)	 小时候看的片...            
(5星)	 在初中时期超爱的片子。充满了回忆。            
(2星)	 广告插播电视剧= =            
(3星)	 国产GTO            
(3星)	 其实高中还是挺美的...            
(3星)	 也跟着电视看了N遍            
(2星)	 为毛为毛无数次偶然只看过中间的部分。。。PS：一直觉着李智楠很适合四娘笔下的傅小司。。。            
(3星)	 蛮好的 多校园啊~虽然都是问题少年= =            
(3星)	 当时就想要自己遇见这样的老师。            
(4星)	 挺好的            
(4星)	 风靡一时的内地为数不多的偶像剧。            
(3星)	 哇哈哈我居然看过这个耶~~其实当时并不觉得难看~~~            
(3星)	 人不十三枉少年            
(2星)	 其实我想说这个根本不是抄袭gto，抄袭的是堂本刚演的热血小老师            
(3星)	 闹剧            
(4星)	 小时候的最爱            
(4星)	 傻逼金莎。还蓝菲琳，回家FUCK YOUSELF。赶紧滴。            
(NA)	 其实我喜欢这里的金莎            
(NA)	 &gt;&lt;            
(2星)	 从导表演到后勤没人念过高三吧。            
(4星)	 为了保剑锋，给个推荐~            
(5星)	 我四五年级时候看的,最美的回忆可爱可笑的是，李智楠在里面里演18岁，我11岁，最近太在幸福一定强里演19岁。我16岁呵呵呵。傻笑中 嘿嘿嘿            
(4星)	 裴佩老师很可爱，现在看回来觉得故事情节很2，但就不知道为什么那时候那么迷。让我印象最深刻的是最后一集，班里一个学生的父母死了，他说的那句以为自己不会长大，以为长大是一件很久以后的事情，久到忘记了父母会变老，久到忘记了会有和父母分开的那一天。看到那里我的那个眼泪哟……            
(NA)	 很囧            
(5星)	 先看GTO再看这，没觉得抄到哪里去了。。。            
(3星)	 呃……娱乐             
(1星)	 就这种鸡巴片也敢称作中国的GTO？！            
(2星)	 和妈妈一起看的            
(5星)	 在那些穷困一无所有的岁月里，我看的电视剧比电影还多            
(3星)	 蓝菲琳怎么叫起金莎了。            
(5星)	 喜欢             
(1星)	 就烦金沙内张脸.            
(5星)	 看过后很有感触            
(4星)	     现在已经明显过了这部电视剧的热播时段，自己更是过了18岁的年纪，再次回归学生生活，离剧中的老师也似乎远了很多，但最近半个月把它看完了。最深的感触：期待效应（皮格马利翁效应、实验心理学中的实验者效应、罗森塔尔效应），给予美好期待、充足的信心，一定能成功。            
(3星)	 本来觉得蛮好看的，但是它竟然自诩是中国的GTO,我就忽然没兴趣了            
(3星)	 保剑锋很帅很可爱~~~            
(4星)	 这好看            
(NA)	 挺假的...            
(2星)	 那时候感觉18岁离我还很远啊。里面的金莎，那时候很佩服。            
(NA)	 ....呃            
(3星)	 印象还多好=x=|||（殴烂 +1            
(1星)	 看了一集 果断弃            
(3星)	 记得看过，……            
(NA)	 o(╯□╰)o            
(4星)	 不管是不是根据GTO来的~其实我蛮喜欢的，可能最主要是青春需要这种片子吧~            
(NA)	 哈哈 小学很迷他            
(5星)	 十八岁，青春年少的我们。好美好的一段日子，值得回味和欣赏！            
(2星)	 很久以后又看到所谓的国产偶像剧            
(3星)	 我当初到底为什么会看啊。。。            
(5星)	 相伴高中回忆            
(4星)	 o(∩_∩)o...            
(NA)	 蓝菲琳            
(2星)	 因为同是高三八而看，演员偏年轻，表演有些不自然            
(4星)	 。初三毕业时的最爱。。~石延枫。。            
(4星)	 在内地的校园电视剧里还算不错了！～            
(4星)	 等上了高三才发现 没有人都有自己别样的十八岁的天空            
(3星)	 觉得好看的内地偶像剧            
(3星)	 金莎那时还叫蓝菲玲 囧囧            
(3星)	 在国产剧中算是不错了            
(NA)	 瞄过 轻松校园剧            
(3星)	 看这那阵，心好象在高考那里，没怎么记忆。里面的两个老师倒是很有意思。            
(5星)	 挺喜欢的            
(NA)	 恶心            
(NA)	 保剑锋~~~            
(3星)	 傻死了            
(3星)	 “从没想过，我会自己一个人，总觉得那是长大以后的事，还有很久很久才会到，久到我都忘记自己会长大，久到我都忘了爸爸妈妈会变老，他们会和我分开，久到我都忘了人活在世界上，本来就是要靠自己。我相信，他们现在一定会为我感到高兴的，因为我都做到了，我可以一个人念书上学过日子了。”            
(5星)	 從高三看到大三……            
(3星)	 某个男人长得像我家的凉平。。            
(1星)	 四不像            
(4星)	 还可以吧~蓝菲琳(就是金莎吖)很漂亮的~~喜欢她长头发还要卷的            
(3星)	 偶像剧。。囧。。            
(4星)	 中国版GTO            
(4星)	 国产中比较好的            
(3星)	 剧情什么不错，可那一帮学生长得太老了吧            
(2星)	 当年可幼稚得可以 还觉得立志难特有个性            
(NA)	 记得我和老猪的“star”            
(2星)	 烂片            
(4星)	 国产大陆青春剧中算是不错的一部            
(5星)	 噢噢，现在会说一般般，但当时真的很受感动呀~一度使我形成了每天见到人都一个咋咋呼呼的极度夸张的问好动作~呵呵。            
(3星)	 保剑锋...            
(5星)	 我的智楠...你去哪里鸟~~~~~~~~~            
(3星)	 呼唤青春            
(4星)	 怎么说呢，挺喜欢古越涛这个老师的            
(NA)	 这个好喜欢呀            
(3星)	 高三的时候看，真是乐啊            
(NA)	 恩，18岁            
(2星)	 极度不着调            
(2星)	 默暑假我竟然要看这个来怀念高中生活。脑子坏掉了。            
(NA)	 很久以前还看过不止一遍的说，还不错。            
(4星)	 一群帅哥美女。            
(4星)	 蓝菲林 李智楠 保剑锋 我也想有个这样的老师 这样的题材我总是很喜欢            
(3星)	 这种老师谁都想遇到啦..当然.我现在的班主任跟他还算差不多啧            
(NA)	  从翘首以盼 到回头观望            
(3星)	 看过之后才知道有金莎。难怪看着眼熟。            
(3星)	 有点恶搞            
(3星)	 现在只能是回忆            
(3星)	 高考之前看的..            
(NA)	 高中青春老师的主角戏，难得，是因为差点像我一样的80后老师走上讲台的世代来了？            
(4星)	 内地唯一好看的啦            
(4星)	 啊呜~我觉得不错的几部内地偶像剧之一            
(4星)	 还是喜欢保剑锋这里面的形象            
(4星)	 高考            
(5星)	 看了5遍多 oye            
(NA)	 那个年代的故事，那个年纪的感觉……            
(5星)	 2003            
(NA)	 唐宋我真喜欢你。            
(3星)	 什么叫中国版的GTO，明明就是抄袭。            
(4星)	 好假啊！            
(3星)	 不让人恶心的大陆青春偶像剧就是不容易的            
(3星)	 不错呢，就是女老师长得~~            
(4星)	 内地的，还不错            
(3星)	 一般吧            
(NA)	 其实我高一才看到这部剧            
(4星)	 虽然不太现实的高三生活，但是保剑峰真的还蛮帅的。            
(3星)	 中国版GTO？忒夸张了吧            
(NA)	 很阳光!            
(4星)	 曾经我们也有那一片18岁的天空            
(4星)	 美好的校园生活  遥远却真实            
(4星)	 喜欢star            
(5星)	 最对经典！            
(3星)	 不知该定义为青春剧还是搞笑剧，好像有一个词叫青春搞笑剧。。            
(3星)	 中国版的GTO。虽然现在回想起来只是部平平之作。但它终究代表了曾经的青葱岁月。            
(3星)	 国产青春偶像剧，没啥好看的。            
(4星)	 回首高考的岁月            
(4星)	 18岁的时候看的。。。            
(3星)	 迷倪景阳的时候            
(4星)	 难得的比较好看的大陆拍的青春剧。            
(3星)	 当时觉得李智楠还是挺帅的...            
(3星)	 假了点，其他还好。            
(3星)	 有点苍白的青春剧。            
(5星)	 现在很少有这样的校园电视剧了～～            
(4星)	 这片子不错。适合咱们这些祖国的花朵。hoho，推荐下也是应该的            
(4星)	 star很帅~            
(4星)	 还蛮青春的。。。虽然有点傻．．．            
(3星)	 十八岁的天空总是美好的，怀念            
(NA)	 恩～挺青春的～            
(3星)	 许是同处一个年纪，太多共通点了～～            
(4星)	 天啊，不知道当时为什么那么喜欢。还买了盘……            
(4星)	 国产不错。。。。            
(4星)	 很有学习气氛，很纯很青春            
(5星)	 老套路            
(5星)	  十八岁的天空             
(NA)	 没一个人长得象十八            
(3星)	 虽然很假，但的确被感动了一把            
(5星)	 不错            
(3星)	 我都忘了我还喜欢过李智楠= =太做作的校园剧            
(2星)	 那个姑娘，后来改名叫金莎了。            
(1星)	 我陪我爸爸看的            
(5星)	 青春、励志            
(5星)	 关于青春，有种过来人的感觉。            
(3星)	 我貌似喜欢过那个臭屁男，哈哈。            
(3星)	 不喜歡金啥            
(4星)	 非常喜欢里面李智楠的片头曲～            
(3星)	 国产GTO，居然不难看诶，女1台词不行，含糊不清            
(3星)	 其實女主真的好難看。= =            
(3星)	 貌似有个叫star的，，            
(4星)	 要拍第二部？？？真的么            
(3星)	 那时候就觉得蓝菲琳好漂亮~演员表里显示的真实姓名也是蓝菲琳，真为她有这么个美妙的名字羡慕不已！&gt; &lt;再后来，金莎就出道了。。=_=            
(3星)	 补遗            
(3星)	 哦，我也有纯情的时候            
(5星)	 高考时看的，喜欢金莎。            
(4星)	 06年夏天边吃火腿肠 方便面边看的........怀念了            
(4星)	 挺好看的啊，比现在的电视剧好看多了，以前我就特喜欢蓝校花，就是对这种温柔善良型的女生有好感，男的觉得那个喜欢裴佩的老师超级好啊，人又帅又爱摆弄花花草草，可惜主演竟然没有他。            
(5星)	 小学时代时yy的青春            
(3星)	 还不错，拍出了现实不可能存在的高三。            
(3星)	 有生搬硬套的嫌疑- -不过保剑锋还是蛮灵的            
(4星)	 初中时候看得可是很痴狂啊。。。            
(NA)	 窝巢。当年觉得绝逼好看啊。帅啊。美啊。现在想想真是瞎眼了。但是电视里一放我还是会看！！= =。            
(5星)	 好看。            
(NA)	 只记得名字 剧情忽略            
(5星)	 当年在学生界很流行，唤起了很多人青涩的感觉            
(4星)	 尼玛 我觉得超好看的，插曲超级好听有木有！            
(3星)	 当年觉得武力平比斯达帅- -            
(4星)	 初中时候觉得挺好看，还是班主任推荐的。            
(5星)	 听到那首红色石头，就会想起高一            
(4星)	 結果最後我真的是高三八班畢業的= =            
(NA)	 这片子不成功，嗯。            
(2星)	 盗版缩水牌日本麻辣教师            
(2星)	 没印象了。貌似有保剑锋。            
(5星)	 当时很喜欢啊。。。            
(3星)	 保剑锋还是很帅的            
(3星)	 小学。。            
(3星)	 我不知道那时候为什么金沙不叫金沙。            
(3星)	 国产的经典            
(NA)	 我以前很喜欢蓝菲琳和石延枫的！我到了很久之后才知道原来保剑锋就是古越涛，金莎就是蓝菲琳。            
(3星)	 有一阵还真是流行这种题材            
(NA)	 在大同台看的。记忆深刻            
(NA)	 想当年 我觉得保剑锋很帅的。            
(NA)	 非常喜欢，能引起极大的共鸣感。            
(NA)	 其实感觉这个挺不错的 很喜欢  那时候只错过了前几集  后面全看了啊  这样风格的老师真心喜欢            
(NA)	 。。。            
(2星)	 恶心巴拉的            
(4星)	 曾经各种燃真是……上了大学又突然想起，觉得泥煤这是高中生活？！            
(5星)	 高三寒假和大一寒假看来着！特好看~~正值青春萌动的时节~~            
(5星)	 红色石头这首歌啊 当时爱爆了这部电视剧 虽然女主人公不是那么漂亮            
(3星)	 哎哟喂，青涩的时光            
(5星)	 要是我也是那个五人团体里的谁就好了。            
(3星)	 。。当年瞎了我的眼啊            
(NA)	 = =！老娘当年是有多闲，竟然还看这种剧            
(5星)	 小时候看的时候没有多大感触，直到来到高三，走过高三，才发现，青春是如此短暂。。。            
(NA)	None
(NA)	 哇擦咧居然已经十年了...小时候只觉得保剑锋很帅...            
(3星)	 保剑锋多好看啊，青春多好啊。            
(5星)	 小时候看过的 很喜欢            
(5星)	 目前能通过的校园剧里，这部剧本写的应该算好的了。。。比这假的多的是- -            
(4星)	 听说要续集？            
(3星)	 想当年还是很喜欢看的说。。。            
(3星)	 剧情还是不错的。            
(5星)	 9            
(NA)	 su            
(4星)	 我喜欢！大陆难得的青春电视剧，好喜欢裴老师            
(4星)	 当时觉得贼好看呢，上了高中以后发现，这都是骗人的            
(4星)	 那时候觉得好美            
(NA)	 小时候看得还觉得挺不错的，哈哈，很傻很天真            
(3星)	 当时还上初中 曾经想买碟给当时的班主任看。。            
(4星)	 star            
(4星)	 挺喜欢的片子~            
(4星)	 以前蛮喜欢看的            
(4星)	 嘉定一中啊！！！！！那个时候真的是被蛊惑啊，以为高中就是那样的啊啊啊啊啊啊。。。囧            
(3星)	 小学啊。。。青春？            
(4星)	 这真是2002年的？我记得的是保剑锋和蓝菲琳            
(3星)	 哦我当年还曾经觉得李智楠挺帅的.....            
(4星)	 那些上学的日子啊，当初被保剑锋迷倒了，还有某个男娃。。。            
(3星)	 一般            
(3星)	 可以啊            
(1星)	 你需要知道 当年这个是又多风靡么  小学时代的偶像剧 都很恐怖啊            
(4星)	 蓝菲琳和star 好恶心啊。还好我们高中没这些装逼犯。 剧情垃圾了些，当年我可真无聊透顶了！            
(5星)	 那时候女生迷恋李智楠男生迷恋金莎。            
(3星)	 当时超想有古越涛这样的老师===李智楠啊，当时很喜欢啊啊~~~！！！【前段看千山暮雪觉得他都没什么变化。。。   还有金莎。。。其实我认识的所有认识她的人都说蓝菲琳更好听~            
(3星)	 不为别的,只为当初的那份青春与回忆            
(3星)	 现在回想起来觉得好傻，但02年的时候真的是天天看。。。            
(3星)	 我记得……高中写了篇作文，然后语文老湿面批点评提到了这个= =||没有然后了……            
(NA)	 三星。            
(4星)	 哦，当时好迷男猪脚            
(3星)	 保剑锋，当年觉得他的发型很帅啊。            
