http://movie.douban.com/subject/5908482/	49日 49일
(5星)	 结局真狗血  智贤还是死了  哎            
(2星)	 我就知道这剧结局不对头！！！！看到12集就停手等结局！！！结局尼玛真的就坑爹了有木有！！！！鬼扯！！！            
(2星)	 本来是冲着李瑶媛去的，追了一阵子后超喜欢丁一宇            
(4星)	 感慨很深的一部片，结局刚开始觉得很坑爹，后来也就接受了，现在韩剧不带这么伤的呀            
(2星)	 尼玛的编剧。。这是电视剧版死神来了么！！躲不过死了又死啊！！            
(3星)	 没有遇到过比这位更会在每集结尾时下悬念下得这么吊胃口的编剧了。49天时间之旅，珍惜生命，珍惜爱（噗，好老梗）。这是史上第一次没有对手吻戏的偶像剧男女主角（够新梗了吧）。苹果脸大好。            
(5星)	 当初只为了赵显宰才看的。果然没让我失望。            
(3星)	 虎头蛇尾啊……结局很狗血诶！            
(5星)	 英伦范真绚丽啊郑日宇童鞋            
(3星)	 剧情挺不靠谱，不过，赵显宰，李瑶媛和裴秀斌演得很赞            
(4星)	 坑爹的结局啊！！！！！            
(NA)	 棒子难得讲道理            
(3星)	 拖沓。。。神马破结局啊！！！            
(4星)	 结局实在太敷衍            
(5星)	 只为前18集~            
(NA)	 ````            
(3星)	 兩棵樹!!!我擦!!!!            
(4星)	 over expect as a korean drama            
(5星)	 《49日》的结局是 结局是智贤的灵魂进入的宋伊景的身体和韩江在一起，伊景的灵魂就和调度员走了（那智贤的爸妈不是会很伤心？）             
(4星)	 挺不错的            
(5星)	 赵显宰和日宇哈嗲            
(5星)	 前面好好的~题材也棒剧情也挺精彩，怎么就最后一集弄出来亲姐姐反转狗血了呢？！            
(NA)	 郑日宇啊~~            
(4星)	 既然爱一个人就是爱他的全部，那灵魂与肉身又怎么可以分离。我从不觉得只爱一个人的灵魂就高尚，爱他的肉身就贱卑。分开讨论完全没有意义。            
(4星)	 虽然结局有点坑爹...过程还是不错的~付出或得到真爱，都是幸福的事情吧            
(3星)	 想起一句话，“谁会在我的葬礼上流眼泪。”            
(3星)	 这结局是不是太坑爹了点，悬疑+复仇剧硬生生地变成了身世+励志剧。。。            
(NA)	 好久没有这么投入的看韩剧了 太好看了 哭到不行 好希望身边也有个韩江这样的人            
(3星)	 其实我对这类型的电视剧无爱。            
(4星)	 情节不错~ 很喜欢~ 就是眼泪太多了呜呜            
(4星)	 我们能真心爱几个没有血缘关系的人  我不知道 看了14集   到此为止吧  韩剧的剧情总会相当纠结 果然不出我所料的套路呢            
(5星)	 心里有点难受。。。            
(NA)	 三星半吧 烂尾了            
(1星)	 李瑶媛长这么丑还敢出来混真不理解，南圭丽演技这么差还能主演真不可理喻。男演员再好有什么用，题材再深刻有什么用，两个女角毁掉一部戏。整部戏只靠郑日宇一人撑怎么行==            
(5星)	 能活着就是幸福了。            
(NA)	 韩江            
(4星)	 曾经觉得身边的人都是多么多么好甚至多么多么爱你时，其实你跟本分不清谁是真心！这是多么可怕。49天的说不会发生在我们身上，这是我们可以庆幸的。至少，现在的我，已经学会去分清真心与否，学会其他很多。感谢身边为数不多的真心待我的朋友，有你们就够了，有你们很满足很幸福~            
(5星)	 我觉得这剧能让韩剧回潮...            
(5星)	 故事精妙绝伦，秘密花园后的唯一佳作            
(5星)	 介么介么好一剧！结尾忒坑爹了！！编剧你精分了！！！！            
(4星)	 烂尾了烂尾了，即使烂尾也没能抵挡我给你四星！哎，我就知道主角是漂亮姐姐嘛哈哈哈哈。结尾不要说教多好。            
(5星)	 韩江越看越有味～宋伊景，很蒋雯丽，长了张圆圆的老脸            
(3星)	 为了狗血结局只有三星可给。            
(5星)	 目前也就这一部剧再追，个人感觉《灿烂的遗产》和《检察官公主》都还不错了...            
(4星)	 赵显宰现在还是好帅啊！！            
(NA)	 泡菜剧越来越接受无能了，看了一集之后的就看了分集简介。            
(4星)	 又开始流行灵魂的故事            
(5星)	 寻找真正的爱            
(5星)	 很久没看过剧情这么完美的韩剧了！！！完美啊！！            
(5星)	 看后会令人深思的电视剧            
(4星)	 哈哈 好喜欢男主~~还有那个时间使者 服装太好看了吧            
(4星)	 现在在看到16集了，剧情不拖塌，挺感人的。            
(3星)	 结局会不会太臭了 = =            
(5星)	 科幻新颖作~值得一看~            
(4星)	 李瑶媛还真是显嫩啊...是说南奎丽整得还真是漂亮...于是我只想骂坑爹的最后一集不解释!!!!!!!!!!            
(3星)	 哦尼玛韩江和伊景在一起吧！！！            
(4星)	 结局真是吐槽无能，死了的都死了。不过整体还是值得一看的            
(3星)	 韩剧也玩超越啦            
(4星)	 结局不喜欢！            
(4星)	 继他们生活的世界再看的一部韩剧~经潘同学推荐才看，看的很不爽很气愤！            
(3星)	 本来可以蛮四星一下~ 结局烂透了            
(5星)	 结局太坑爹了            
(5星)	 人都知道会离开。在这活着的49天。会珍惜的活。            
(4星)	 又一个烂尾……            
(4星)	 难得一部可爱的韩剧            
(5星)	 SBS大多数 电视剧都超前了  我就认为很棒啊！            
(4星)	 剧情还算紧凑，最近边看边弃的剧很多，这部能一直看完~            
(3星)	 俗不可耐的我被郑日宇和李瑶媛穿着学生装，在樱花树下亲额头装纯的场景吸引进来。对灵魂穿越的乱扯剧情无感，纯围观郑帅哥和李美人。ps李瑶媛功力了得，南奎丽还需历练，红着眼流着泪的郑日宇让人怜啊。            
(4星)	 《秘密花园》带动了这题材的电视啊。。。            
(5星)	 女主寻找三滴眼泪的同时，赚尽看剧人的眼泪。亲情，友情，爱情串联整个故事情节。            
(5星)	 不是我期待的结局            
(5星)	 看到南圭丽鬼魂总想起张曼玉在天赐良缘里面扮演的女鬼。            
(4星)	 其实还不错！！            
(4星)	 比较现实。            
(4星)	 结局。。。让我减一颗星！            
(4星)	 用别人的眼睛看看那些你以为在爱着你的人。            
(4星)	 剧情有想象力，演员也很到位。南圭丽很漂亮            
(4星)	 整体感觉还挺好 至少没看不下去 不过没网上说的那么好啦            
(NA)	 坑爹啊，阿江好惨啊            
(5星)	 好剧！逝去的人离开了。留下的好好活着。最后爱上了N年没爱上的人是讽刺的。3滴眼泪就坑爹的。            
(3星)	 为毛又是他。。摔。。            
(4星)	 剧情软肋节奏拖沓 但是在意想不到的地方被人戳下泪点笑点什么的感觉还不错            
(5星)	 不能算烂尾。            
(3星)	 灵异爱情剧。。。嘎嘎嘎            
(3星)	 故事一开始很有新意 越到后面越扯 编剧也不知道怎么收尾了            
(4星)	 整体来说值得一看！19集湖边那场戏很感人，前面都不错~~结局是韩剧一贯的虎头蛇尾，虽然反转突破了大团圆，但是个别地方交代不清，比如那个医生是打酱油的？都成双成对之后，韩江和宋伊景？女1女2居然是姐妹，完全不记得？怎么被遗弃的？......            
(4星)	 抛开冲突点设置的逻辑问题，个人以为是看过最好的爱情剧~            
(4星)	 南圭丽整的也太人偶了，无演技可说，纯卖颜，还有一个女主无语大妈脸。。。剧情倒是挺吸引人的，但是麻烦拍快点，拖的列~            
(5星)	 实在太好看了！这个编剧实在太犀利了！啊~~~~~\(≧▽≦)/~            
(4星)	 这个结尾 看不下去 一直在快进了- -，            
(4星)	 友情…珍惜每一天…            
(5星)	 萌啊            
(3星)	 这个结局不喜欢！            
(4星)	 我只想看最后的            
(5星)	 太太太好看了，只是结局有点狗血。江也太帅了！！！！！！            
(5星)	 赵显宰 攒3集下来 李瑶媛气场很强 徐智慧沦落到了女三号的位置了南圭丽 那张别扭的脸希望结局是 显宰和李瑶媛啊             
(3星)	 一宇长大啦～            
(3星)	 这结局。。。。。还是多喜欢李瑶媛的            
(2星)	 烂尾了。。            
(5星)	 近几年制作精良的韩剧之一。令人回味。令人反思。            
(4星)	 虎头蛇尾            
(4星)	 悬念蛮多。因为小日宇而追过来。2个多月来陪伴着笑过哭过。。总体而言是部不错的作品。            
(NA)	 妞推荐            
(4星)	 华丽。调度员，服装百变。大概是看到去年年末的《秘密花园》走奇幻路线大好，这次的玩法还行。故事的前景在预料之中，铺陈的技巧变了一下——学《秘密花园》，只是，没有了那么惊奇的句子。——看到中段，有亮点了。            
(NA)	 郑日宇的角色像死神的精度中金城武的角色,            
(4星)	 10集之前很无聊，之后却越来越给力啊......            
(NA)	 世界哪有那么多的完满和天随人愿，至少这是个现实和欣慰的结局。            
(2星)	 一搜49天, 肉鸡高效饲养49天啊哈哈哈哈            
(5星)	 确实还蛮新颖的！            
(1星)	 烂！尾！最后2集和前18集完全不在一个水平上好吗！            
(4星)	 如果不是烂尾楼绝对给五星，大家都在围攻苏编，的确随便一续写都能有个更好结局。但是，在哭着看完后，突然明白了其用意，一个人在成为爱人朋友甚至儿女前，都先成为一个人，苟且偷生靠着假面终究不是一生可以承受的事，至少每个人在49日里都得到了升华（暖系男韩江是好久没见着的完美男主角了...            
(5星)	 虽然大结局坏了一部好剧，但瑕不掩瑜。申智贤、韩江，我爱你们。            
(5星)	 结局很反转~~            
(3星)	 卡司不错，观望……            
(3星)	 我要殺編劇，必須的。            
