http://movie.douban.com/subject/2209739/	绝代双骄 絕代雙驕
(4星)	 爱林志颖扮演的小鱼儿~超爱            
(5星)	 谢宁~让我明白原来港姐真有美女            
(5星)	 相当爱看，前一阵子还买了盘。花无缺真帅啊，小时候大爱啊            
(4星)	 小鱼儿很生动            
(3星)	 仍对此片有模糊的记忆，记得当时应该是很喜欢的~~但不知为什么，没有再次重看的勇气。            
(5星)	 20多年后重看,很多搞笑的小细节依然鲜活,梁朝伟也有轻狂调皮的时候,演出和自己性格截然不同,同样有说服力.PS我怎么老觉得他在剧中说笑话都很有点即兴表演的感觉,很放松.吴岱融成名作,不多的戏份当中演出了花公子月光般的温柔,打斗很帅.般配.            
(4星)	 当时的吴岱融真的是挺帅的，现在挫的呀。。            
(4星)	 梁朝伟的小鱼儿，谢宁的苏樱，很经典~            
(4星)	 儿时的记忆            
(5星)	 这个绝对是经典中的经典！虽然他改动很多            
(5星)	 吴君如在里面演的是谁？            
(4星)	 哇哇哇，我地呢个年代有边个未睇过啊？有边个唔系历历在目啊？            
(4星)	 哈哈，小鱼儿啊！            
(4星)	 传神小鱼儿            
(4星)	 小时候看过现在又重温，永远的无缺公子            
(NA)	 跌入花丛中，睁眼都是迷人的色。            
(4星)	 还是老版的好看            
(3星)	 痞痞的小鱼儿，可爱的梁朝伟。            
(5星)	 虽然我从小稀罕林志颖，但是小鱼儿就应该是梁朝伟才对！            
(5星)	 明明是电视剧！！！　他的小鱼儿谁也不能超越哇            
(5星)	 至爱的版本            
(5星)	 还是我喜欢的梁朝伟，到现在我家里还珍藏了vcd            
(5星)	 吴岱融的花无缺啊~~黎美娴的铁心兰啊~~梁朝伟的小鱼儿啊~~谢宁的苏樱啊~~这是最经典的绝代双骄了！            
(5星)	 虽然很老的片子，但是梁朝伟版本的是非常之棒的            
(4星)	 演员很好，剧情。。。为什么就要这样对古龙捏~            
(NA)	 经典            
(NA)	 不知道为什么，和你在一起就有很亲切的感觉。。太萌了            
(3星)	 原来改编得和原著小说面目全非了。最后两集江别鹤吃人很吓人，晚上做噩梦！很喜欢谢宁。            
(5星)	 最喜欢的武侠剧            
(5星)	 梁GG的小鱼儿最有爱了，心~            
(5星)	 铁木兰            
(4星)	 童年经典            
(4星)	 梁朝伟的喜剧天分让人念念难忘            
(5星)	 初识梁朝伟的 就是通过此剧，还有侠客行。记得吴岱融真的很帅，谢宁真的很娇俏，黎美娴真的很娴静，还有戚美珍的美丽。那时小鱼儿就是调皮捣蛋的男孩子。            
(5星)	 最中意的版本~~            
(4星)	 记事后第一部有印象的电视剧了，从此记住小鱼儿            
(4星)	 原来我看过这么多的港剧            
(5星)	 就记得梁朝伟那时候灿烂的笑容            
(NA)	 梁朝伟：我最喜欢的一版！            
(NA)	 记忆。。。            
(5星)	 帅哥美女众多，而且年轻的梁帅哥更是将小鱼儿演的惟妙惟肖~~~            
(4星)	 难忘无缺、苏樱            
(5星)	 当年真的很喜欢这个小鱼儿，以至于对小说颇为失望。。。            
(5星)	 经典!            
(4星)	 经典            
(4星)	 小时候的记忆            
(4星)	 很可爱的小鱼儿。后来的都比不上了。            
(4星)	 可怜的邀月，真的为了她讨厌小鱼儿，苏樱是个不错的女孩。            
(5星)	 年轻的梁朝伟，帅气的吴岱融，柔美的黎美娴，娇艳的谢宁，还有苗侨伟和戚美珍夫妇，真真的令人怀念啊            
(4星)	 至少这版有苏樱            
(5星)	 太赞勒            
(4星)	 老版绝代双骄 还不错            
(4星)	 这才是真正的绝代双骄            
(5星)	 哈哈 超级经典 喜欢梁朝伟 刚看完            
(5星)	 永远的小雨儿            
(5星)	 哈哈！说什么呢！吴岱融版花无缺是我四岁时候就“暗恋”的形象。陈美琪的一袭白衣，是除了赵雅芝之外我觉得最美的女人            
(NA)	 小肥鱼            
(5星)	 看多少遍也不会腻            
(5星)	 金庸            
(4星)	 比起2位经典男主，更爱谢宁的苏樱，印象此版改编了许多情节，还好主角基本性格承袭原著            
(5星)	 重新看一次，发现只有20集，怎么以前看录象带的时候觉的很长很长呢？            
(5星)	 由这部电视剧喜欢上了梁朝伟。            
(NA)	 好老的片子            
(NA)	 1988年版经典武侠            
(NA)	 很爱。。。。            
(5星)	 好玩儿！            
(NA)	 想知道梁朝伟在转型为成熟男人之前，也曾经是个可爱的男孩            
