http://movie.douban.com/subject/2136078/	水浒无间道 水滸無間道
(3星)	 only because of chilam...            
(3星)	 Chilam又帅又可爱            
(4星)	 很有趣的片子 张智霖超帅的~            
(5星)	 收视不高但出人意料得爆笑~~不错~            
(5星)	 超爱的 曲折离奇 搞笑到死            
(4星)	 你们这群无知的小辈！            
(3星)	 还算过得去吧            
(5星)	 很好            
(NA)	 自此喜欢了张Sir            
(5星)	 很棒的一部穿越剧            
(NA)	 无厘头。还是可以。            
(5星)	 I——Dai Su ki！哈哈            
(5星)	 很难得的tvb搞笑片            
(NA)	 好看            
(4星)	 轻松搞笑            
(NA)	 不错的片子            
(5星)	 黎姿的那句“西门大官人”，每每想到就想笑            
(NA)	 喜欢            
(4星)	 黎姿太漂亮了。            
(NA)	 没有讨喜的女主～            
(4星)	 为了张智霖            
(NA)	 哈哈哈！            
(4星)	 黎姿演潘金蓮真是美啊            
(NA)	 【2003-12-27】            
(4星)	 很可爱的一部剧，搞笑刺激温情都点到为止~连黑老大都是温情路线的 =v= 说真的，这么多年了，第一次觉得张智霖帅啊，红色卫衣那身萌点全中~以前还一直觉得靓靓配他可惜了。黎姿在里面也很舒服~ 杨怡在里面也还是清爽的样子，不是后来的熟女样。。。结尾再自然点就好了。            
(5星)	 了不起的佳作，不过里面的王喜并不讨喜，本来林冲武松交集有限。但潘金莲与武松的设定值得玩味，与王祖贤的前世今生有异曲同工之妙，金莲身不由己，幸好最后打破了宿命。能够被一个女性角色的一颦一笑所。牵动，只有黎姿做得到。能被一个男子的小酒窝所治愈，只有张智霖做得到。喜欢波哥冬虫草惺惺相惜            
(5星)	 腐剧！！            
(5星)	 超超超喜欢，冬虫草你可爱死啦            
(4星)	 结局简直是要笑死我，太欢乐了……不过，张智霖真心帅啊！！！            
(4星)	 看镁铝们，张智霖啊、黎姿啊。。。            
(4星)	 穿越剧 有趣            
(5星)	 笑死我拉！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 大腐剧。前面的很好看，20集以后开始没意思。头一次觉得黎姿漂亮。             
(4星)	 比起其他警匪或者无间道主题的剧，这部相当的轻松温馨。虽然缺少个性成熟丰满的女主，好在几个男人的对手戏比较好看，尤其是冬虫草对林大哥深深的爱            
(4星)	 大仙！            
(5星)	 腐！！！！！！！！！！！            
(NA)	 后半部分比较好看。。            
(4星)	 歡樂~冬蟲草呀冬蟲草有型啊。。。            
(4星)	 TVB的影子依旧。然而这片子亮点不少萌点许多，看着张智霖唱大戏的感觉太恶搞了。这个男人真的好有感觉，帅气却还有着小酒窝，添一份可爱。黎姿很美好，喜欢她演这样的角色，小结巴也好，万凤莲也好，像把火。尤其是冬虫草那样伤害了她，她居然还是说我喜欢你。能遇到万凤莲，是冬虫草的福气。            
(5星)	 还是老剧正，有笑点无尿点。大仙太帅了，想当年开拍的时候正是我跟老澄迷他迷倒颠三倒四的时候，果然不负当年的HC。王喜做戏有点英国学院派，还是很有层次的。萧显辉果然是有料的，可惜死鬼左…            
(4星)	 无所谓内涵（舍得&amp;把握当下？）无所谓艺术，但真的很好看！着实因它纠结并开心了一把~            
(3星)	 里面张智霖纹身那段笑死我了            
(5星)	 好钟意这部剧            
(NA)	 another time很好听            
(3星)	 天。。那，剧情能不能再狗血一点。要不是小智智我很难坚持下来啊。不过话说回来，小智智啊，能不能拍点质量好的片呢。。。要崩溃了。            
(4星)	 好欢乐的片子啊~~张智霖超帅的~             
(NA)	 林大哥……            
(4星)	 超爱张智霖！！结局圆谎的时候有点牵强啊，不给力！            
(4星)	 唯一一部喜欢张智霖            
(4星)	 我钟意的是张智霖~哈哈哈~花痴ing~            
(3星)	 哈哈！每一次接头太搞笑了！            
(4星)	 哈哈哈，很好看，害的我晚上做梦都带穿越的！            
(4星)	 张智霖最萌了！黎姿最靓了！            
(4星)	 腐啊~~张智霖还是很帅的~娃娃脸大酒窝，又man。            
(5星)	 T,T 又是制服诱惑 冬虫草            
(5星)	 爱死张大仙了~~~~~~~~            
(4星)	 挺好玩的~黎姿很漂亮~            
(NA)	 冬虫草 大仙儿            
(NA)	 我就知道潘金莲跟武松是有奸情的。            
(NA)	 果然是打发时间的好工具            
(3星)	 中上咯            
(5星)	 超喜欢里面王喜的表演…总之不喜欢他在《爸爸闭翳》和《珠光宝气》里面那种好男人形象……            
(4星)	 真搞笑。            
(4星)	 我觉得很好看啊，就是没啥收视= =            
(5星)	 張智霖，你給要那麼帥？每次看一次你，就就就。。。。黎姿，你也太美了吧？            
(4星)	 张智霖好帅啊，武松的造型好残            
(4星)	 搞笑.而且剧情尽在意料之中,张智霖真的是很帅.            
(4星)	 穿越            
(5星)	  张智霖 还要多帅哦            
(5星)	 非常搞笑，哈哈哈            
(4星)	 黎姿就是漂亮没话说。            
(5星)	 chilam好帅            
(3星)	 张智霖帅，黎姿美貌，剧情还成。            
(5星)	 爱煞大仙            
(4星)	 简直恶搞，不过很好看            
(4星)	 （以前看的，纯添加）            
(4星)	 张智霖演喜剧也强的,不过最后的剧情有些....            
(5星)	 太愉快了            
(4星)	 剧情的话 放在几年前看会给力更多。。但素王喜和黎姿真的很出彩~            
(2星)	 后面烂尾的很。            
(5星)	 帅！王喜最帅！！！            
(4星)	 剧情不错，黎姿在里面扮相很时尚很美。            
(4星)	 chilam扮小混混太帅了            
(5星)	 虽然剧情并不新颖，但是三个有爱的主演聚在一起，我还是看得津津有味PS:黎姿真是太漂亮了！            
(5星)	 中意的是大仙的蛊惑仔造型             
(4星)	 满喜欢张智霖的~            
(3星)	 本来就是冲着chilam去看的，看完后最喜欢的戏份还是chilam的，跟黎姿的对手戏好玩又养眼，跟黄sir的几场私下接头戏更是令人捧腹。太帅太可爱了^_^ 花痴ing            
(5星)	 我想要碟～            
(4星)	 张智霖好帅~~~~~~~~~~~~~~~            
(5星)	 我觉得剧情很有意思，当时追着看时都蒙了。            
(5星)	 很好看~            
(4星)	 这部戏里的杨怡真讨厌，还好大仙是跟美女gigi在一起            
(4星)	 冬虫草。。喜欢黎姿。。            
(4星)	 前面还蛮好看的~很好笑。。后面就是走TVB一贯情感路线了~~稍稍有些拖~~~            
(5星)	 很早之前看的...真的很好看...力荐...            
(4星)	 可怕的不会变样的张智霖，这种剧看看笑过就好……            
(4星)	 不知道看没看过，不过看来剧情就很喜欢，呵呵            
(3星)	 怎么说还是挺娱乐的。。            
(4星)	 当潘金莲再次遇到武松            
(3星)	 http://www.imdb.com/title/tt0426370/            
(NA)	 张智霖太帅了            
(3星)	 最后一幕好寒……            
(4星)	 最早看到这个剧名和巡礼中的片段不是很喜欢，穿越的戏码不是很适合我，多年后在朋友的推荐下看了，觉得王喜的确是演技派，张智霖居然还是帅的可以做偶像派。            
(NA)	 乱七八糟的一般吧！            
(2星)	 想当年还是租碟看的            
(4星)	 sg张智霖帅到不行!            
(5星)	 2005            
(4星)	 好看~            
(4星)	 以前看的            
(5星)	 黎姿在里面哈漂亮！            
(NA)	 相当之帅气`            
(3星)	 有他的戏，几乎都好看            
(4星)	 冬虫草很帅很可爱。那个黄SIR简直爆笑啊…            
(4星)	 未睇过水浒原著,唔知D人物关系对不对            
(4星)	 有点想法            
(4星)	 还是喜欢张智霖的酒窝。西西            
(4星)	 冲着杨怡去看这部片，可惜还是黎姿的魅力无可抵挡……张智霖实在太可爱了，尤其是在纹身店里选中那只小老虎的时候~~还有说话时动不动就挥出两个手指……            
(3星)	 后半部分比较好看……前半…… 哎呦…… 无聊啊            
(4星)	 主题曲也好听            
(5星)	 很是喜欢            
(3星)	 张智霖啊张智霖，敢再帅一点点么！！！            
(4星)	 张智霖是妖怪吗 还是吃了长生不老药            
(5星)	 张智霖啊！！！HC了！！！！！            
(5星)	 超級贊！            
(5星)	 很喜欢张智霖，王喜也很可爱，很经典的一部TVB剧，happy ending，虽然最后几集各种转的有点扯，还是很喜欢，主题歌很好听。            
(4星)	 大仙真是太帅了！            
(5星)	 最爱张智霖            
(5星)	 很好看 看了很欢乐 很喜欢张智霖和黎姿            
(4星)	 重温完毕！真心喜欢这部剧~有新意，够搞笑，很曲折，很多意想不到~            
(5星)	 张智霖和黎姿给5星值了            
(NA)	 张智霖真是一如既往的帅啊            
(4星)	 巨欢乐巨腐。黎姿除了会跺脚还会干吗            
(5星)	 非常棒！            
(NA)	 N早看的盘了~            
(5星)	 站在一个搞笑喜剧的角度来看，是一部很满意的警匪片            
(5星)	 张智霖帅死了TT剧情也挺有意思的            
(4星)	 很有意思很搞笑的一部剧啊~很喜欢黎姿的！            
(5星)	 这个好欢乐~            
(3星)	 有点神戳戳的            
(5星)	 张智霖很帅啊            
(4星)	 早就看过 忘记MARK            
(5星)	 TVB            
(3星)	 剧情有bug但是黎姿很漂亮~            
(5星)	 黎姿和张智霖超配的！！！黎姿和张智霖的扮相都好好看啊！！！            
(5星)	 喜欢的港剧之一            
(3星)	 搞笑!            
(5星)	 幽默，有剧情，很喜欢            
(4星)	 娃娃脸大叔好帅啊！！跟王喜两弱攻配起来还不错哦~            
(4星)	 张智霖确实很帅            
(4星)	 年轻真好。。。            
(4星)	 几乎都是稀饭得人呐。            
(4星)	 黎姿好美好美好美好美！！！！            
(2星)	 30分钟弃，真心不喜。大概是因为年代太过久远了。@Home             
(5星)	 如果你想开心一下，就看这部轻松搞笑的剧。谁都有双面性，好坏其实分不清楚，但是心告诉我们该怎么做。万凤莲的那句“我就是喜欢你啊，不管你多坏我还是喜欢你啊”，揭露爱情的真谛。还有里面的各种粤语、英语插曲都强推            
(4星)	 张智霖和王喜都好可爱，前十几集很好玩，有很多情节都笑喷，而且基情满满，后面开始纠结拖戏，TVB的老毛病了。黎姿很靓，杨怡那么多年演技到真没啥变化            
(5星)	 最爱的一部TVB剧，但不知为什么，收视率不好，可惜了            
(4星)	 好看            
(NA)	 暴风上面警匪剧都看光了。。。求推荐            
(5星)	 演员喜欢。剧情喜欢。看起来轻松幽默            
(4星)	 张智霖果然很适合这种搞笑角色            
(5星)	 武松和潘金莲相爱了 不是恶搞很感人            
(4星)	 还是2000年前后的戏经典的多啊            
(5星)	 超级帅~滑头的性格好爱~~~            
(4星)	 电视剧里算不错的～            
(5星)	 于我而言，是一部少见的，百看不厌的TVB片。难得地并不讨厌这里的杨怡。            
(5星)	 诙谐幽默   宿舍的人一起看都说很好笑   很开心 GOOD            
(4星)	 居然有几分黑色幽默 哇咔咔 看着大仙痴笑            
(NA)	     很喜欢张    他很帅哦   黎姿在里面也很有性格、、、                
(4星)	 基情无限 烂尾            
(3星)	 黎姿很美，智霖的痞子样很可爱！但剧情好弱！            
(NA)	 卖腐卖的很欢乐，后几集反转的怪有意思 张智霖也就一般可爱吧，但是好乖好正义，一脸正直的搅基很喜感 那个，为啥我会觉得王喜那副贱贱的样子很帅&gt; &lt;丨丨丨            
(3星)	 挺逗挺好看~~            
(4星)	 大学看的吧 同学推荐的 记忆中挺不错的了            
(4星)	 读大学的时候看过 五一放假 三天就看光了~            
(4星)	 黎姿越看越漂亮。            
(3星)	 看了一点点啊~~            
(4星)	 真搞啊            
(3星)	 没想象的搞笑 但是张智霖意外的帅啊            
(4星)	 蛮好笑            
(4星)	 姥爷爱看警匪片。            
(4星)	 明恋张智霖很久了            
(4星)	 爱上了张智霖了 接下来要把他所有的戏都看了 太帅了！！！            
(4星)	 蛮不错的片 有的地方很喜感 帅哥美女组合~            
(NA)	 冬虫草，正义又补身～大萌            
(3星)	 混搭。。。            
(4星)	 有笑点 有奸情 ！！！            
(5星)	 当年超喜欢这部的，张智霖帅惨了            
(3星)	 冲着张智霖去的，他演武松还挺合适的。            
(4星)	 如果光看剧名，这是不会去看的一部电视剧。张智霖卧底身份被拆穿前这是一部不错的剧，后面编的就有点烂了，玩无间道，却漏洞百出。看了剧情知道张和黎在一起，不然就要弃剧了。三大主演都很喜欢，张智霖人帅演技棒，黎姿超靓，王喜有点搞。杨怡表现一般，在黎姿旁边，演技格外嫩，容易被忽略。            
(3星)	 张智霖的演技真的不错。。chilam，chilam。            
(5星)	 冬虫草啊~~  帅到无以复加 无可奈何 无言以对  好吧 我语无伦次了已经            
(3星)	 3.5            
(4星)	 因为张智霖            
(4星)	 古代人很搞啊～            
(4星)	 张智霖的戏都还行            
(4星)	 过半弃。。剧情还蛮新奇的，大仙也很水，可是我还是没看下去            
(4星)	 看了三遍了有木有啊！！！！张智霖帅得有点过分有木有啊！！！            
(5星)	 最爱冬虫草            
(3星)	 穿越剧...结局也太烂了吧            
(4星)	 夏松荫你前世是武松不是唱大戏的好不。。。            
(5星)	 张智霖和黎姿的绝配 开始发现一个女人要是有魅力跟头发长短一丁点关系都没有 ....            
(4星)	 很。。。。。。腐！            
(4星)	 感情线敢不敢再乱点。。。            
(3星)	 突然之间搞笑起来了。。。没兴趣了            
(5星)	 比想象的好，多多BL萌点，张智霖永远那么萌，王喜那么丑也那么帅！！            
(4星)	 天马行空的想象力，水浒与无间道原来如此和谐~            
(3星)	 chilam和gigi在这里面的扮相好靓啊，特别是gigi            
(NA)	 张智霖、刘家辉、元华都是我喜欢的演员，再加上其他的主角我也不讨厌，所以该片我蛮喜欢。   精彩之处蛮多的，1梁山水浒的故事引用得非常好。2无间道也搞得非常好。3演员阵容强大，如张智霖、王喜、黎姿、刘家辉、元华、杨怡等等，特别是元华手下的那几个黑社会都是戏骨啊。4剧情漏洞不大。            
(4星)	 我就知道...结局走的就是这个模式~            
(4星)	 在说古文的时候情不自禁就笑出来了，张智霖真的很帅，黎姿真的很美，王喜很有型，杨怡说实话没什么亮点，但是黄sir好可爱！配角都亮亮的，我果然配角控。            
(3星)	 快速看了五集，很闷，弃之            
(4星)	 美女就是爱人 师太就是好人~            
(NA)	 这个有。。智霖太萌太可爱!            
(NA)	 好玩~~            
(4星)	 电视播的时候没看全，忽然想看。前面好笑，后面纠结~还不错滴            
(3星)	 越来越对肥皂剧失望了。。            
(5星)	 张智霖大仙帅呆了！！！萌翻了我啊            
(5星)	 爱死了            
(5星)	 好萌小草跟林大哥之间的互动啊~~~~~非常可爱非常可爱~~~这种兄弟情嗷嗷嗷嗷嗷~~~~            
(4星)	 编剧想法不错，但是剧情不够精彩，直到最后4集，亮了！            
(4星)	 前面挺有意思的            
(3星)	 好吧，我想看大仙。            
(3星)	 总会有那么一些原因导致我没能看完            
(5星)	 支持黎姿~张智霖也很型~            
(4星)	 其实无间道的剧情还有男女主人公的感情都有点不够精细，但是喜欢戴墨镜的冬虫草！            
(4星)	 这两兄弟说古语时的样子还挺搞的，最后那个大圈套还真是骗了我一时啊。            
(5星)	 看了好多遍！！            
(4星)	 无理由， 好看 ，演员都是我很喜欢的。            
(5星)	 小草太可爱了&gt;,&lt;            
(3星)	 张智霖是有多帅，黎姿是有多漂亮！            
(3星)	 剧情有点拖拉，张智霖真是帅啊，每次武松上身都好搞笑，还有王喜的林冲也挺好玩的，杨怡的妈就是谈情说案里KINGSLEY的妈，造型变化真成功。PS：这剧里N多小混混都是同事三分亲和毕打里的。            
(4星)	 张智霖里面太有型了！！！            
(4星)	 好腐啊。。。。。            
(5星)	 冬虫草~~            
(5星)	 =_=当年我还未腐，但已经忍唔住暗自YY了……            
(5星)	 是吧，很多时候人会表里不一的，真正有责任有正义感的人反而看起来会有些滑头。剧里黎姿真是漂亮啊，多希望她真是和张智霖一对啊            
(3星)	 冬虫草跟林sir有些戏份真的很像在搞基~~腐啊腐啊            
(5星)	 我觉得这里面的gigi才最靓诶。为毛。。。大仙你始终这么嫩            
(NA)	 跟烈火同时看的 明显更爱喜哥的纪德咯= =这剧就HC大仙Gigi就够了。。。。剧情很搞= =啊 扬名在里面演杨怡的弟弟happy仔 好帅！杨怡的扮相就麻麻地= =            
(4星)	 张大仙啊张大仙 怎么那么萌 那么帅             
(4星)	 最后的kiss很有感觉            
(NA)	 黎姿和张智霖 特配了 袁咏仪tm你来掺和个神魔劲儿哦~！            
(4星)	 黎姿~            
(4星)	 那首歌真不错。            
(4星)	 很好笑            
(4星)	 挺有意思的            
(3星)	 这电视剧拍得，都不知道水浒二字到底对剧情发展有何重要意义。            
(5星)	 张智霖加王喜太有火花了　无线编剧的灵光一现            
(5星)	 这么好看的电视剧，怎么会被忽视！张智霖的冬虫草实在太萌了！！黎姿好美            
(4星)	 张智霖就是帅~虽然我么看过无间道，但还不错            
(4星)	 谁和谁成，都好相配！            
(3星)	 开始很恶搞，后来就乱搞男女关系。比较无聊- -            
(4星)	 好吧，我爱冬虫草，正气又补身            
(3星)	 我怎么不记得里面有杨怡了？Chilam跟黎姿看上去很合衬            
(5星)	 推荐哟，，大仙帮黎姿很有爱 而且还挺搞笑的            
(3星)	 看了一集有点扯 就弃了            
(5星)	 还好是和电影无间道的结尾不同 我认为 它比电影无间道更精彩             
(5星)	 很好看，虽然后面有些郁闷。张智霖好帅。。。。里面的人物都好喜欢，可爱的冬虫草！！！            
(4星)	 為數不多的看了很多遍的劇集。俊男靚女太養眼，劇情也不差。            
(3星)	 腐啊腐~            
(3星)	 很喜欢里面的感情戏，但个人觉得如果按照巡礼时候的剧情来拍会更给力！            
(4星)	 啦啦，大仙，王喜和黎姿，这个阵容            
(4星)	 心两牵，万里阻隔相思爱莫变！            
(4星)	 CHILAM各种帅气&gt;&lt;            
(4星)	 直到现在都记得张智霖俯身强吻黎姿的那一刻            
(5星)	 张智霖的代表作            
(4星)	 腐得我想哭!!!!!!!!!!!!!!救命!!!!!!!!!!!!!            
(4星)	 一部想象力丰富的TVB剧。张智霖。黎姿。            
(NA)	 里边黎姿的衣服件件亮眼            
(4星)	 哎哟我爱张智霖！！            
(4星)	 9。16集才想起来自己是林冲            
(3星)	 孟婆真搞笑            
(4星)	 张智霖，耶            
(3星)	 黎姿很漂亮 ... 大仙很大仙 ... 我很少看电视剧 .. 这个我看了..            
(NA)	 真的好喜欢张智霖！配黎姿更迷人啦！杨怡和王喜在里面也喜欢~            
(5星)	 当年疯狂的重温啊 大爱张智霖和黎姿 黎姿在里面太美了            
(5星)	 好喜欢小眼睛王喜，好喜欢冬虫草，好喜欢黎姿，好喜欢杨怡。。。。            
(4星)	 这两人蛮配的            
(5星)	 这是结婚以后看的，当时爱人特别喜欢看香港的电视剧，我则是不太感冒，总觉得配音怪怪的。直到老婆使劲推荐这一套，我看完了，也喜欢上了TVB。再后来，看了黎姿主演的另外几部。嘿嘿！            
(5星)	 超级喜欢的一部剧 搞笑幽默剧情不错 帅哥配靓女 向身边很多朋友推荐过呢 就是他们都没听说过 总觉得是这部剧的名字取坏了            
(4星)	 大爱智霖 黎姿 多年之后依然经典            
(NA)	 哈哈 冬虫草！            
(5星)	 非常可爱的cast！！！王喜太搞笑了，加埋刘家辉次次出场都让人爆笑。张智霖很可爱。。编剧很有才，实在是大赞啊            
(4星)	 剧情很紧凑            
(5星)	 有创意            
(5星)	 这个我蛮喜欢的，呵呵，潘静莲与武松。。。。。            
(5星)	 基情满满的爆笑剧，爱死了！            
(5星)	 哎呀  4个我都喜欢。nichol。冬从草！！！            
(5星)	 全是喜欢的演员，剧情又轻松搞笑，温馨的感动            
(3星)	 这片儿是亲爱的包推荐我的,很神叨,nicole姐姐很美：）            
(5星)	 冬虫草，我好中意你啊！            
(4星)	 黎姿演潘金莲？？好吧 美貌程度是完全ok 但……            
(4星)	 Chilam和杨怡都是我的菜            
(3星)	 张智霖真是帅啊~前半部很不错，后半部有点拖沓，但逆转的不错~都说这部戏是黎姿最靓的一部，我倒没有特别觉得，漂亮是没错，但那是一贯的水准！            
(3星)	 哈哈，武松的前世今生，大仙当时很水嫩。            
(5星)	 可爱的剧~毛球~哈哈            
(5星)	 很搞笑            
(5星)	 超棒            
(5星)	 喜欢得不得了            
(3星)	 张智霖&amp;黎姿~            
(4星)	 long  long   ago     我还挺喜欢这剧的。。。。            
(3星)	 比想象中好。            
(3星)	 后来看的            
(NA)	 大仙最帅            
(5星)	 张智霖，你太帅了！            
(5星)	 前半部分剧情很好。腐点萌到我了~            
(5星)	 还蛮轻松搞笑的。。            
(4星)	 大爱冬虫草～和刘家良的互动很有爱～            
(NA)	 喜歡黎姿。            
(4星)	 可惜了这几个演员            
(5星)	 黎姿在戏里面的敢爱敢恨。            
(5星)	 王喜和张智霖，最佳拍档。兄弟情，爱情，都很美。值得翻煲。            
(4星)	 张智霖很搞笑！~记得是电影《无间道》的山寨版，不过还不错！~            
(3星)	 我只要最后一集就够了            
(4星)	 张智霖。我爱酒窝。^^ 哈哈。好看~            
(5星)	 喜欢冬虫草 和林冲大哥的相认太搞笑啦 哈哈哈            
(5星)	 当年追着看的，5年后的今天再次回顾，觉得剧本写得真是精彩，结尾的反转相当给力。两男主的表现也可圈可点。今天来看依然是一流的TVB警匪剧。            
(4星)	 好看啊～搞笑又精彩！看那麼多港劇，只有這部戲裡的黎姿讓我喜歡            
(5星)	 我的小心肝冬虫草，帅呆了            
(5星)	 很不错：）有搞笑有剧情有可爱的大仙~            
(5星)	 大爱张智霖！            
(4星)	 还能看，黎姿身材真好。对了，后五集真没什么看头            
(5星)	 TVB还是老剧好看啊。。            
(4星)	 黎姿很漂亮~冬虫草很可爱            
(NA)	 美的潘金莲，帅的武松，花的林冲，痴的林妻。从误解到抵抗，到最终无法抗拒，有情的人终于冲破一切在一起。喜欢的人，喜欢的故事。            
(4星)	 当年看得好欢乐啊            
(4星)	 张智霖。。。            
(4星)	 好好笑            
(4星)	 还不错哦~~            
(5星)	 冬虫草很喜欢跳跳虎啊，靠垫拖鞋，家里的玩偶都是跳跳虎            
(5星)	 Chilam × Gigi            
(4星)	 有轮回吧            
(4星)	 还挺好看的~            
(5星)	 乱啊，不喜欢黎姿的发型。片子还可以。            
(NA)	 又是在回家的轮船上看的。。。短发的黎姿            
(5星)	 萌张智霖，小混混时相当有腔调。            
(NA)	 一般把。倒是张智霖很可爱            
(4星)	 刺老虎的那段有的，有的~~            
(3星)	 = =我还真给看完了···其实没多大意思··尤其是王喜想起自己是林冲之后            
(4星)	 喜欢王喜            
(4星)	 本来准备给五颗星，看了最后一集决定给四颗星。            
(5星)	 黎姿。！绝美！里面潘金莲            
(4星)	 大仙挺帅的，每次二人接头的时候都哈搞笑            
(5星)	 超级爱，大仙不老啊            
(4星)	 给结局加一颗星            
(4星)	 大仙和谁搭戏都是那么舒服~            
(5星)	 乐死我了，尤其刘家辉            
(4星)	 前半段张智霖追着王喜相认很搞笑，真是让人怀疑有一腿，两条男女感情线倒是没什么意思            
(5星)	 《水浒无间道》听名字就知道结合了水浒和无间道两大片子啦！最有趣的是在现代居然还记得八百年前的事虽然是因缘巧合，最搞笑的是武松居然爱上了潘金莲……故事的种种情节让人揪心看了大结局后也令人有种豁然开朗的FEEL！值得一看哦，推荐你！            
(5星)	 我最喜欢的港剧之一            
(3星)	 为了张智霖才看的。。。一般。。。不过很喜欢冬虫草。。。            
(4星)	 赞            
(4星)	 同好们，强推黯然销魂蛋的同人《无题》！去看吧，绝不会令你们失望！！            
(4星)	 张智霖真帅，黎姿真漂亮。            
(4星)	 女主什么的最讨厌了~哈哈！            
(3星)	 张智霖太帅了~~！！黎姿也好漂亮~~！！            
(4星)	 王喜专场^^            
(4星)	 张智霖太帅了，刺青的小老虎还有老虎拖鞋，哈哈，超可爱            
(4星)	 不错            
(4星)	 整部剧算好看 不经典            
(5星)	 这也是TVBL的。。。真是又搞笑又腐的剧，最喜欢张智霖了&gt;&lt;            
(3星)	 为什么我没看出搞笑呢？？····            
(4星)	 雨伞那段 亮了~张智霖 亮我了~为你四星~            
(3星)	 如果智霖和杨怡搭 我就不要看了 亏得是黎美人黎姿那失败的卷发却还是不影响她的美 唉 极品女人就是这样了            
(4星)	 比想象中好看~只不过林sir同波哥实在唔靓仔~哈哈~            
(4星)	 黎姿，我的爱。            
(4星)	 HC大仙+有创意搞笑的剧情...不错~            
(4星)	 张智霖  帅帅帅            
(NA)	 超级的超级~            
(5星)	 原以为是无间道的结局，却忘了还有水浒的前提~~~~~~            
(NA)	 张智霖实在太搞笑了，难得见帅哥如此搞笑，当然王喜那是正常发挥。。            
(5星)	 前面真是挺好玩的，喜欢上张智霖了，又帅又可爱的好男人啊！            
(NA)	 张智霖同学真是萌啊萌            
(5星)	 重温中。。。chilam哥哥真系几时都甘靓仔            
(5星)	 四个都是我喜欢的~——2010.5            
(5星)	 剧情            
(5星)	 我承认我很无聊。把这部剧又完整看了一遍。            
(4星)	 挺好看的，前两天还想重温来着            
(3星)	 还可以，不过和水浒其实没关系啊，硬拗的~~            
(3星)	 那天才看了一遍，依旧搞笑。黎姿依旧妖娆。            
(5星)	 很好看，我看来几遍还是很好看，特别是张智霖在里面的角色，超级帅，超级搞人。            
(4星)	 大仙爱美神 好养眼！！！            
(5星)	 特别有创意            
(4星)	 chilamchilam！！            
(5星)	 哈哈 很经典，尤其是那个 纹身纹个小老虎            
(NA)	 元华好性感            
(5星)	 冬虫草很有爱~            
