http://movie.douban.com/subject/2380261/	你来自哪颗星 넌 어느 별에서 왔니
(5星)	 最喜欢的一部韩剧，甚至超越了三顺和春香。。。            
(NA)	 你来自哪颗星             
(2星)	 越后来越糟 罗嗦啊罗嗦            
(NA)	 如果给我一个象金来元一样的男人就好了 ..看了N遍            
(3星)	 似乎看过一集？            
(2星)	 让我没能坚持看下去的片子但记住了金来沅            
(5星)	 爱情的幸福不需要眼泪。这一对平凡的随处可见的小情侣坦诚的实在可爱让人想起就嘴角上扬，若是世上有情人皆能如此甜蜜，上帝也要搬来人间了吧^_^            
(3星)	 金来沅很灵            
(4星)	 虽然对某人生气，为某人较劲~但还是觉得挺好看~~            
(NA)	 【2006-03-13】            
(3星)	 完全是因为微笑女王才看的~            
(5星)	 高中时候看的。            
(4星)	 郑丽媛也能演成这样　真是笑死了            
(4星)	 各种纠结、痛苦。            
(NA)	 这个要补一补，只记得女主角和金来沅，不记得厚厚了~~~            
(3星)	 郑丽媛真漂亮            
(3星)	 剪辑版 朴s打了个华丽丽的大酱油 身为男二为毛戏份这么少 不过那个时候还真是年轻啊 红唇齿白的            
(4星)	 每个假期都要和麻麻一起看韩剧。。。看到后面几集还觉得OK的韩剧它就是胜利者！！            
(3星)	 托过…………            
(3星)	 总会有动容处            
(4星)	 韩剧脱不掉的剧情框框之一,老套的很.但却由于男女主角的真情投入,赚足了我的眼泪. 现实中 或许没有这般的地位的金钱,但在爱情中的不确定和彼此伤害却绝不少见.其实,只要能够诚实的面对 就可以了.太多人却做不到.幸福生活 其实很简单 不是么.            
(5星)	 非常经典，我很喜欢的韩剧            
(4星)	 跟我妈在电视上一起看的。郑丽媛真的美貌喔            
(NA)	 看了两集，想继续看下去，觉得怎么都应该4星吧            
(NA)	 弃            
(3星)	 单为郑丽媛才看，可惜还是米坚持下来~            
(5星)	 只看女主角            
(4星)	 因为是今天看..            
(3星)	 一贯风格            
(4星)	 因为女王又租了厚厚的一沓VCD，可是这个真的好慢要不是为了看女王我绝对看不下去，因为屋塔房上的小猫对金来沅很厌恶，所以．．．我有偏见            
(2星)	 剧情完全没印象            
(4星)	 有两颗星是给金来沅和郑丽媛的            
(NA)	 老早之前看的            
(3星)	 过了一年才发现其实当初我看的结局不是真的结局。但是已经不想看了！囧~            
(NA)	 四个女的通宵在宿舍看完的，还记得那个时候都是哭得唏哩哗啦呀，还好还好，只要结局是好的就行了            
(NA)	 就是为了去看郑丽媛的~            
(5星)	 2－3年前看的了。。。但是原来那份感动在看见这部戏名字的时候还在～            
(4星)	 金童玉女的组合~~还不错~~金来沅越来越帅了            
(5星)	 我就很俗的喜欢上这部剧。            
(3星)	 影碟店老板推荐的。额。            
(4星)	 很久之前在华娱台看过，打分的给的是当时的感受，那时看过的感受就是剧集里金来沅真的演得很好，他把那种爱真切的表现了出来，即便只是看戏，仍然或有错觉，他们真的在爱，不浓烈，但确实感受到，传递到这里了。谁说感觉不会变，但我仍深信当时的感触，虽然那时年纪还小但凭记忆的话，值4星.....            
(NA)	 两个人都是我喜欢的，但搭配在一起却没了各自原来的风格与光彩。            
(NA)	 女王的全收进~            
(5星)	 很温暖。            
(3星)	 太平淡了，完全是冲着郑丽媛去的..            
(5星)	 只要相爱，一切就会很美好，幸福就会降临在你的身边。平平凡凡的感情，平平凡凡的生活，最适合我们这种平平凡凡的人。            
(3星)	 其实编剧到后来变得挺烂的~郑丽媛我也非好感~不过不能否认的是这女人演技很赞~            
(4星)	 2009年3月 认识了郑丽媛，这个不一样的有意思的女子            
(NA)	 都忘记了。。。            
(4星)	 女孩傻咧咧的笑容 泪汪汪的眼睛 都是男主角大男人主义体现的最佳工具            
(NA)	 看过就忘的那种。。            
(NA)	 喜欢郑丽媛            
(4星)	 韩剧 金来沅 郑丽媛 你来自哪颗星 爱情 电视剧 2006             
(NA)	 喜欢金来沅的笑容，。暖洋洋            
(1星)	 受不了……好好一个郑丽媛搞成这个样子  剧情太土了！            
(NA)	 郑丽媛 挺漂亮的。            
(2星)	 总是忍不住狂拉进度条~~~~            
(4星)	 又是一部不错的连续剧            
(NA)	 原该是姐夫的，变成了丈夫。这个，到底爱是什么，会有天长地久ma？            
(4星)	 喜欢微笑女王~            
(4星)	 为数不多还不错的韩剧。很喜欢郑丽媛。            
(3星)	 给3颗星也是因为我喜欢郑丽媛 她真漂亮            
(5星)	 第一集微笑女王            
(5星)	 爱上女王的开始            
(NA)	 因为郑丽媛但只看了开头            
(4星)	 喜欢看，是因为有人告诉我，像她。结果是。操他吗~            
(NA)	 没得说。。            
(4星)	 两个男女主角要多可爱有多可爱 把年青男女的邹作演绎的真是让人忍俊不禁 因此开始喜欢和欣赏郑丽媛了            
(NA)	 你来自哪颗星            
(3星)	 原来她是我叫金三顺的那个女的            
(NA)	 两个主角我都爱！来沅你好帅哦！呵呵            
(1星)	 可惜了郑丽媛~            
(5星)	 很好看的连续剧            
(3星)	 剧中的音乐很煽情，郑MM还是在三顺里面比较洋气比较好看，这里就是一大村妞，美丽衣服萌不到。。            
(4星)	 主题曲蛮好听的            
(3星)	 剧情一般，整个低于我预期值。我看了金来沅很多片子，仍然没发觉他帅在哪里。郑丽媛MM依然是亮点。            
(5星)	 喜欢郑丽媛            
(4星)	  简简单单的爱情故事 但颇为坎坷            
(2星)	 无聊的剧情 可惜了两位演员            
(3星)	 ……、一般般……            
(3星)	 清哥喜欢看的片子            
(5星)	 这是我最喜欢的韩剧，因为演员，因为生活方式，因为傻傻的纯纯的爱，虽然还是我讨厌的变心题材···            
(NA)	 算是以前看过不错的韩剧            
(3星)	 因为来沅追了这部剧，没有惊喜也没有过多失望，唯一的收获就是不在讨厌郑丽媛。            
(4星)	 悲伤            
(5星)	 你到底来自哪颗星            
(4星)	 微笑女王            
(4星)	 韩剧总是前期好看，后期就麻烦了！            
(3星)	 小沅很帅，女主角很漂亮            
(2星)	 唉……            
(5星)	 好美的 爱情..            
(NA)	 讨厌郑丽媛  不好看            
(NA)	 很喜欢金涞沅，也很喜欢郑丽媛，但是这部剧实在是让人不能说它很好。是审美疲劳么？            
(3星)	 就看看人就行了            
(NA)	 喜欢            
(3星)	 编剧略扯。。。            
(NA)	 看过就忘的那种。。            
(NA)	 我来自遥远的猎户星云，，，            
(NA)	 上学的时候特别爱看，当时希望他俩在一起呢。            
(4星)	 男女主角演得真是好，非常喜欢的平实爱情！不做梦不狗血，真实感人清新可爱点点滴滴，农村女孩与乖僻男。韩剧常有父母不懂得爱，自私，控制，把孩子当作财产和取悦自己的玩具。韩剧前半都是喜剧爱情，后半和父母的搏斗。难怪每次节日与父母相聚后韩国都出现离婚高峰，亚洲离婚第一的国家应该思考一下了            
(3星)	 剧情还是落入了俗套            
(5星)	 当时很喜欢啊啊啊~在考试前从头看到尾的剧~            
(NA)	 还可以，就是剧情不紧凑。            
(3星)	 为了郑丽媛            
(2星)	 当时不觉得郑丽媛漂亮 现在觉得好有味道            
(3星)	 一个男人碰见一个女人，发现她是自己死去前女友的妹妹，排除万难在一起。看电影看惯了的人，会看不了电视剧了吧，尤其是=====韩剧！            
(4星)	 当年很喜欢的- -             
(3星)	 现在的郑丽媛真没法看了            
(4星)	 郑丽媛 还可以吧            
(3星)	 我要成为你一生都想念的人。 高考前看的韩剧之一。            
(5星)	 很喜欢郑丽媛诠释的福实~虽然以前的韩剧真的太老套了，但是现在的韩剧却没有了以前韩剧轻易就能打动人心那种朴实的真挚的感觉了~            
(3星)	 喜欢音乐，金来元不会演戏，郑不大适合这种角色。不过是有一些喜欢的点的。            
(2星)	 敢不敢更难看一点。。            
(3星)	 微笑女王            
(5星)	 金来沅的剧我都很喜欢            
(NA)	 一直觉得金来沅跟辛柏青像            
(2星)	 就拖拉的韩剧，奔着郑丽媛去的。虽然扮村姑，但是完全气质感觉都不是一个村姑。看了开头知道结局的。            
(5星)	 在PPS里选到这本剧的时候，完全是冲着两位主演看的，但是一看就把我吸引住了。是一部很幸福、很甜蜜、偶尔有点搞笑的爱情剧，虽然最后有点小纠结，小曲折，但结局圆满。在看的过程中也享受着幸福的感觉，让人心里好舒服。            
(3星)	 无聊啊无聊，当初买碟也是因为导演是导过“浪漫满屋”的导演，而且主演又是金来沅和郑丽媛，没想那么无聊啊。。第一集的前十分钟很精彩，金来沅和郑丽媛的亲密情侣戏真得很自然，没想在之后的16集中竟然就停留在初级情侣的阶段，而且郑丽媛在本剧的形象我也极其不喜欢，无聊而且还超级拖！！            
(3星)	 整个基调有点悲的韩剧~ 喜欢的金来沅和郑丽媛演的，支持下~            
(3星)	 喜欢郑丽媛！            
(4星)	 郑丽媛的笑容我直接无法抵挡了~~~~            
(3星)	 很早看过的 现在女主已经整的没法看了  唉             
(3星)	 男主尚可            
(2星)	 没觉得好看            
(4星)	 金来沅笑起来很温暖            
(5星)	 因为很喜欢郑丽媛。            
(5星)	 很喜欢郑丽媛的感觉，尤其在哪颗星里，十分干净，像苍井优给人的感觉。            
(5星)	 我爱女王            
(3星)	 相当一般……            
(NA)	 最爱看            
(4星)	 女主很土很单纯很直爽，不同其他剧里的纠结女主，清爽的面容大爱~你来自哪颗星球，如钻石般点亮了我黯淡的命运。你不是公主，他也不是王子。只是普通的男女相爱而已。你是为了被爱而出生的人啊，你是不知从那颗星球来的人啊。            
(2星)	 真的是好神奇，竟然又是孪生姐妹失散。。。            
(2星)	 无聊的。。。。。            
(3星)	 陪妈妈看的            
(3星)	 总而言之，比起什么海枯石烂的爱情，男人更在意的是外表吧！任意一种性格特征，只要外表是我中意的，我就会爱上你，爱你千遍万遍也不厌倦......另，再也见不到这样好看的郑丽媛了。            
(2星)	 没意思            
(5星)	 剧情0.5星，郑丽媛4星半。。。真TMD爱不释手.....            
(4星)	 平凡的两个人，哭哭笑笑的爱情，打打闹闹的在一起。崔承熙是这么迅速地沦陷在福实的海鸥辫下，迅速到让我觉得惠秀不过是个铺垫。。。当然实际上她也是铺垫般的存在。。。            
(4星)	 主题曲好听！            
(4星)	 哭了不少            
(3星)	 喜欢郑丽媛的气质啊！！！            
(3星)	 剧情虽落入了俗套,太多不切实际的巧合。但就是因为这些太多的巧合造就了这段感情，那种一旦开始然后正在发生着的感情却那么真实的存在着，即使曾经山盟海誓的谁都离不了对方，后来过程中一点点的地心偏移像是一种背叛，简直会折磨到死，但是一旦爱开了小口紧接着就波涛汹涌了，其实这已经重新开始了。            
(4星)	 没有走出韩剧的套路，但是我被感动了。            
(4星)	 女主的性格挺招人喜欢的            
(3星)	 觉得女猪的演技很赞。            
(3星)	 男帅女美            
(NA)	 外星人最近很多啊            
(4星)	 男女主互动实在太可爱了，演得真好我爱郑丽媛，这角色的gn太萌了            
(4星)	 女二挺美的，朴施厚能handle天蓝色的西服，厉害。很多很明显的穿帮镜头啊，上一个场景明明把包落在酒店的椅子上了，下一幕一看，包包好好的挎在身上。 还有啊，女主还没哭呢，男主的肩膀已经湿了一块，这个镜头肯定拍了不止一遍            
(4星)	 只是觉得男主失去爱人之后还有vcr可以看着流泪很不错 毕竟脑海中的记忆或许会随着生活的重新开始慢慢淡化最后埋藏心底再不见光 ...好吧 我承认我有回忆收藏癖            
(3星)	 喜欢这两个主演才看的            
(5星)	 赏心悦目            
(5星)	 当时我爱死TN的丽媛姐姐了~&gt;.&lt;            
(3星)	 这类剧真是拍不烂，换两张面孔便可以来报道。            
(3星)	 和同学半夜躲在教室看，我们是有多迷            
(3星)	 赐我个胜希。。V            
(4星)	 个人偏爱之四星。。。其实剧情有点汗。。。就是很喜欢郑丽媛。。。            
(3星)	 纯粹是被女主的笑容吸引            
(5星)	 大爱的那种。只是现在郑丽媛弄的太残了。那个时候的福实多好看啊。            
(3星)	 歌好听            
(3星)	 衣服好看            
(3星)	 蛮~~早的时候看的，一般般吧            
(5星)	 我很爱这部剧耶 郑丽媛可是我的心头好啊！！！            
(3星)	 挺喜欢郑丽媛，可惜她就主演了这一部剧，另外一部《金三顺》只是女二。            
(3星)	 郑丽媛的演技堪称一流。前半部好，很纠结。后面觉得哭戏太多太重了，反而削弱了打动人心的情节。            
(4星)	 我爱这部戏，可以说，从这里开始，我看韩剧一发不可收拾。很喜欢里面的歌，很好听。很喜欢里面的爱情，那么坚定。            
(3星)	 郑丽媛就是韩国的仙女 鉴定完毕 kekeke            
(NA)	 也是个狗血故事。。。            
(3星)	 笑容女王……            
(4星)	 很久之前看过。。开头笑死，中间又哭又笑，最后大团圆结局。似乎这就是韩剧的定律。不过还是挺有看头的——韩剧嘛，想轻松一笑就看看。            
(4星)	 鄭麗媛的笑容很美~            
(3星)	 看了一半没看下去            
(NA)	 轻轻柔柔            
(3星)	 剧情很土.....            
(5星)	 家里一直有碟，一直没看，这两天找出来看一下！            
(4星)	 还没看完            
(5星)	 非常好看，不知道为什么评分这么低，没坚持看完的不要乱评价啊！            
(4星)	 郑丽媛的笑在哪里都迷人~~            
(4星)	 其实我想说，女主角好美好美啊~笑起来更美~~~不过情节老套了点...            
(3星)	 这部剧能撑起来的是男主吧            
(3星)	 前六集还是好看的 插曲也超赞的 还有史上最nice的配角们 可实在是接受不了这土的掉渣的形象贯穿始终 我还是喜欢【熙珍】多一点              
(NA)	 郑丽媛漂亮呀~！            
(4星)	 这部戏比较突出郑丽媛的演技，郑丽媛就是《我的名字叫金三顺》里的女二。My沅演导演，所以会有很多思考ing的脸~            
(3星)	 我就记得金来沅不停的在跑啊跑！            
(4星)	 郑丽媛很美            
(NA)	 记得那阵很喜欢这金来沅和郑丽媛的，主要是颜控            
(NA)	 郑丽媛好土。。            
(3星)	 郑丽媛真的有气质。            
(4星)	 喜欢郑丽媛~~~~            
(3星)	 男一号和二号都好帅呀            
(5星)	 最爱金来沅            
(4星)	 剧情满老套的，细节不错            
(3星)	 郑丽媛演技相当的好。她属于长的不漂亮但极度耐看型的。男猪脚不怎么行，又是个男主很拖沓的故事，目前没看完，正努力中            
(3星)	 金来沅的笑脸好灿烂            
(NA)	 75            
(NA)	 最不喜欢内容的电视剧            
(2星)	 没什么意思            
(5星)	 喜欢，超喜欢，来沅的大手掌，给人以无限的安全感。。。。。。还有就是很喜欢来沅奔跑的样子。。。。            
(4星)	 很喜欢金来沅，单双眼皮，酷酷坏坏的感觉，剧情也轻松搞笑，碰到的事情都是碰巧的自然而不是刻意的，很自然。她妈跟导演的一段对话：“这些日子以来，我对你非常的苛刻，以前非常的不喜欢你，觉得你是那种只知道自己的家伙，觉得你是那种只顾及自尊心，其他一切都不去考虑的家伙，所以才反对你和慧琳，            
(3星)	 没有太多的感觉，比较喜欢 金来沅            
(NA)	 4            
(5星)	 看了无数次 仍想继续看  铭记于心            
(4星)	 这个很好看~~话说郑丽媛哭得很真实呢。。            
(3星)	 冲着两位主角去看的这部电视剧，看到中间有点烦，不过后面两个主人公相处的时候真的感觉很好            
(4星)	 看了这部剧 感觉还不错 情节还挺别致的 看了也挺让人感动的 但是 和其他偶像剧一样 都给人感觉不真实            
(3星)	 看到一半就斩了~~说实话，我觉得郑丽媛是“第一眼美女”额~~一开始觉得她很美的~~可是看多了就腻了~~            
(3星)	 很一般            
(4星)	 不怎么喜欢            
(3星)	 后面的没看            
(NA)	 我把女主角归为实力派，嗯。。。比起现在的韩剧，还是那个时期的好看些            
(3星)	 郑丽媛很漂亮。。演技也很好。气质美女和傻妞都驾轻就熟。。不喜欢男主。。非常不喜欢。。不喜欢他的颜！！不过还算蛮好看。。。            
(2星)	 第一次看韩剧拖着看了十几集，因为下了不想浪费。囧。            
(3星)	 剧情忒闷、大爱郑丽媛。            
(3星)	 三年前在高考后的一个暑假看过这部电视剧，那时候很向往剧情里的爱情，但三年后再回首看这部韩剧，只用一句话来形容“艺术中的爱情高于生活”  艺术本来就是不自然的解释            
(NA)	 看了三顺喜欢郑丽媛，于是又看了这部戏，她除了脸长方了点就没缺点了            
(NA)	 好看            
(5星)	 超喜欢郑丽媛，美妞一个~~~            
(5星)	 金来沅在这个里太可以了。温馨的片子。            
(NA)	 还是不错的···女主角很会穿衣服            
(NA)	 郑丽媛小姐。笑眯眯的很善良。韩剧，就告一段落了。大学就是那么过来的。            
(NA)	 为爱咱大胆往前冲...            
(NA)	 李卓薇借我的牒，郑丽媛她很喜欢。可是这个电视剧剧无聊，让人睡觉            
(3星)	 一般吧 不是很喜欢女一            
(NA)	 团子小姐推荐我看的韩剧，由此喜欢了郑丽媛和金来沅            
(NA)	 郑丽媛的哭好真实啊，是我喜欢的类型女生！            
(2星)	 剧情好差啊            
(3星)	 puji啊~            
(3星)	 俊男+美女            
(4星)	 就是中间有一部分看着好压抑。            
(3星)	 节奏又慢，故事又老土，只是喜欢郑丽媛~            
(4星)	 好看            
(5星)	 很棒~是我看过的很好的为数不多的韩剧~有浪漫幽默也有凄美难过，有我喜欢的金来沅，演技很棒~很细腻~很有灵魂~也很喜欢福实，傻傻的~总之很棒，值得看~            
(3星)	 8知道当时是怎么坚持看完的。            
(3星)	 很久前看的            
(4星)	 “破格西达！！！”            
(4星)	 当时还挺感动            
(3星)	 因为看了三顺电视剧喜欢郑丽媛去看的，没三顺那部剧好看            
(3星)	 微笑女王!            
(NA)	 当年大家簇拥在一起通宵看的，当年...我也年轻过诶            
(5星)	 他们俩太登对了，郑丽媛和丹尼尔也是，郑丽媛是好姑娘一个            
(NA)	 纯朴自然能战胜一切            
(4星)	 那个海鸥头很好看呀…………超级喜欢那个乡下姑娘，还有她的暗恋，出去老套的情节，很搞笑的…………            
(3星)	 你来自哪颗星？            
(2星)	 剧情很俗套。男女主也不待见，不明白当初自己为什么会买碟看。            
(5星)	 最爱来沅            
(4星)	 金来沅~~            
(4星)	 嗯 我喜欢这对儿 挺配的。            
(3星)	 郑丽媛 ，自然漂亮            
(4星)	 喜欢~  淡淡的感动~            
(5星)	 两个我都很喜欢的主角            
(NA)	 没有看完 不喜欢里面女主角的扮相            
(4星)	 那年夏天 通宵了。。。            
(NA)	 刚开始的时候还挺有趣的~~~~女主角还不错~~~~            
(5星)	 很好看            
(5星)	 真是实力派演员~剧情也很好~结局也很好~            
(4星)	 双面角色丽媛演绎得很棒啊！            
(3星)	 过于平淡的剧情            
(5星)	 大爱            
(5星)	 有笑有感动 爱上一个人之后或许真的就不能自已了吧。想找到那个——即使就在身边 也会日夜想念的人 我看到你的时候...会心疼。 据说 这就是爱情...            
(3星)	 太爱郑丽媛了。            
(NA)	 好看            
(2星)	 坚持看到9集看不下去了            
(5星)	 你来自哪颗星~~~            
(NA)	 没啥劲，女主角不好看            
(5星)	 丽媛姐姐~            
(4星)	 惊艳~~            
(4星)	 那是看的时候还在上大学，大家都在看，也跟着看了            
(3星)	 因为剧名和女主角才看的。            
(NA)	 怎么就不爱看韩剧，不是女孩么？一句话可以总结：四角恋。其实这部电视还真没看完，发现从一半开始看韩剧的时候，会觉得那些角色怎么那么傻乎乎的            
(3星)	 喜歡女主角病態的樣子            
(3星)	 又一部在伤心时刻看的书，居然忘了剧情，可见，伤心不过是时间上的一个小点而已            
(NA)	 片头曲好听            
(4星)	 前十集很喜欢，可到了后六集，重蹈了传统韩剧的覆辙，有些没意思            
(3星)	 还行吧，无聊可以看            
(4星)	 超喜欢女主            
(3星)	 两个最喜欢的韩剧演员，只是剧情差了点            
(3星)	 一般，主要还是感觉画面不够明亮            
(4星)	 有几次哭到不行，但还是很喜欢他们的爱情。            
(5星)	 福实··向日葵...            
(2星)	 金三顺的余温看了郑丽媛的狗片            
(4星)	 郑丽媛 你可不可以不要哭啊 害得我眼睛肿了好几天            
(3星)	 你和他好像噢！            
(3星)	 双面郑丽媛 哦也            
(4星)	 看到福实的眼泪 总是忍不住跟着哭起来 很感人很温暖的韩剧            
(4星)	 中意郑丽媛 靓女的样            
(4星)	 其实觉得郑丽媛满漂亮的            
(4星)	 很喜欢男主女主啊~~            
(4星)	 剧情有点老套 郑丽媛演的不错            
(NA)	 有人来自火星.可是我是地球的            
(5星)	 主演的演技都很好！让你不知不觉爱上！很多画面闪现在脑海中。。。开头在澳洲的一幕幕甜蜜的要命。。。            
(5星)	 很好看~            
(4星)	 郑丽媛有很乡土的扮相,,,感覺還比較溫暖吧...            
(3星)	 郑丽媛的确很美,不过 这剧情寒蝉了点说...            
(3星)	 太超现实点了吧？            
(5星)	 郑丽媛，长的很舒服，可能亚洲的中日韩，都有这种长相的女明星吧。但是她是最舒服的一个。当然因为是出一集，看一集，看的很辛苦，但是很值得。            
(2星)	 当时心情不好，SO印象很糟。            
(5星)	 金来沅怎么可以那么帅！！            
(5星)	 看完这个  我就没怎么看过别的比它好玩的韩剧了。。。            
(NA)	 还比较养眼~            
(4星)	 !            
(2星)	 果然韩剧逃不出恶俗的情节            
(4星)	 男女主我很爱            
(3星)	 感觉郑丽媛像个傻子一样，跟她的姐姐原来是两个世界来的。对于有同样的脸性格却完全不同的两个人也会有同样多的爱吗？奇怪····不过很喜欢金来沅在这里面的角色，看起来很帅嘿嘿·            
(4星)	 郑丽媛~虽然是整出来的美女我还是喜欢！            
(2星)	 见标签            
(NA)	 给我一个世纪的温软。            
(5星)	 女主演技顶呱呱。            
(5星)	 我的最爱            
(2星)	 除了看人比较顺眼之外，其他可看的所剩无几了            
(3星)	 悲伤啊悲伤            
(4星)	 太韩剧了            
(3星)	 并不是特别出彩。不过男女主角相当养眼。            
(5星)	 因为金来沅才看的，说实话很没劲...            
(2星)	 无聊的片子            
(4星)	 女神            
(5星)	 爱完姐姐，爱妹妹，都是上天和爱情惹的祸。            
(3星)	 看到一半把它遗忘了            
(3星)	 我还挺喜欢金来沅。不过韩剧总是拖拖拉拉。            
(4星)	 喜欢长发的漂亮女生男主角的处境真的蛮难的~能坚持下来很不容易            
(5星)	 Miracle            
(4星)	 喜欢郑丽媛^0^            
(3星)	 还行            
(3星)	 喜欢金来沅微笑时扬起的嘴角，好帅啊            
(3星)	 看过            
(4星)	 还蛮感动的虽然情节依然老套            
(3星)	 一般 不轰动            
(4星)	 其实没看全，因为只挑自己喜欢的看，不喜欢的skip了~            
(3星)	 双胞胎，如果同时出现，那就真的要两个都爱上吗？            
(5星)	 爱的喜剧~            
(5星)	 真的很喜欢“微笑女王”的笑容，更加因为她是猴子公司的艺人，所以喜欢。。。。。。            
(5星)	 傻姑的爱情            
(4星)	 比较喜欢男二号，从这部剧开始注意朴仕厚            
(3星)	 很搞笑的郑丽媛            
(4星)	 喜欢死了，导演            
(3星)	 看在郑丽媛的份上            
(NA)	 好看的不得了.这样的爱情好美.            
(5星)	 老套的故事，可爱的演员，让我笑了很多次，那就足够了！            
(NA)	 你来自哪颗星             
(NA)	 不错            
(NA)	 很自然的深情，就是这张脸            
(NA)	 年轻有为的导演崔胜希因为自己驾驶的车子发生车祸而使热恋女友惠秀突然死亡而几近绝望，原本就性格孤僻的他更是把自己封闭起来，蛰居在山中。在偶然的机会下遇到了和自己死去的情人长的一模一样的乡下女孩金福实，一向以自我为中心的他渐渐接受了这个乡下……            
(2星)	 没啥特别的。。既不好笑也不感人。。            
(4星)	 丽媛丽媛丽媛丽媛~~            
(NA)	 双胞胎姐妹...这男人真幸福            
(NA)	 蛮有意思的 可以看看            
(4星)	 看了让人想谈恋爱……            
(3星)	 缘分天注定            
(4星)	 金來沅帥氣的笑容和郑丽媛自然而可愛。            
(2星)	 让我看不下去的韩剧            
(NA)	 看完了 就觉得郑丽媛很漂亮            
(NA)	 最最喜欢的韩剧之一，小俗的情节，但是却能让人感动和喜欢，希望自己也成为那样单纯的人吧            
(NA)	 结局好得韩剧格外感人哦！            
(2星)	 男猪脚也长的太可怕了/// 恶心死人了            
(NA)	 喜欢郑丽媛~~            
(5星)	 还是偶像，最最喜欢的韩剧            
(NA)	 一集            
(NA)	 很好笑...            
(5星)	 或许开始的有些迟。然而，自那以后，他们从未停止过相爱，从未放弃过彼此。            
(NA)	 毕业前看的            
(NA)	 你来自哪颗星            
(2星)	 看了2集，好闷，不得不弃之。            
(4星)	 喜欢涞元，哈哈哈            
(3星)	 还行吧            
(4星)	 06年开年的一个好头 不错的剧集            
(4星)	 以前看的。            
(NA)	 要做你一生想念的人            
(5星)	 我喜欢！！            
(3星)	 好玩的，可是不是很出彩            
(4星)	 这里有最帅的来沅 看了这部剧居然开始不讨厌郑丽媛了             
(3星)	  金来沅             
(2星)	 不好看            
(NA)	 看了第二遍才喜欢上它，因为第一集太损坏郑的形象了，让我难过了很久            
(NA)	 郑丽媛 不错            
(NA)	 好美            
(3星)	 推荐大家看看，很好看的一部韩剧            
(5星)	 很好看了            
(4星)	 郑丽媛            
(4星)	 女主角很pp，很会演哭戏。看最后一集，也跟着一起哭。典型韩国苦情戏。            
(2星)	 咕叽咕叽 月球还不太熟，，就是这样啊，而已            
(5星)	 感人之极            
(3星)	 喜欢男主角的样子            
(5星)	 尽管剧情老套,但主角的演技,淳朴的戏风,很是让人感动...            
(3星)	 不太喜欢情节，女主角也不太喜欢根本说不出一句整话来，就会张口睁大眼睛装弱势            
(4星)	 故事很俗气　可是还是能接受的那种　还好还好            
(NA)	 金来沅毛有型的么。            
(4星)	 美丽的故事            
