http://movie.douban.com/subject/2157226/	我本善良
(5星)	 《笑看风云变》和《I don&#39;t know much》是我每次温习这部经典的港剧时必听的歌，像《东京爱情故事》一样这是一部我们那个年代所有理想的爱情的缩影。            
(5星)	 齐浩男啊。。。迷死所有年龄段女性。。            
(4星)	 很不错的电视剧            
(5星)	 80年代的经典，要收藏！            
(NA)	 很赞的坏人            
(5星)	 很好看啊            
(4星)	 已经没有了印象            
(5星)	 tvb那时候的坏人都多么经典            
(NA)	 温sir 我终于决定看你的戏了            
(3星)	 我本善良。            
(5星)	 剧本谁写的？            
(5星)	 非常喜欢！无论是演员还是剧本都不错，演得好，编得好！十分喜欢剧中的齐浩男和石伊明的性格！            
(3星)	 话说我迷过温兆伦            
(NA)	 那时我家的电视是黑白的，楼下同学家的是彩色的，我总是到他家去看温兆伦那时候还是偶像呢，现在谁还说这种样子的男人帅啊            
(5星)	 邵美琪和温兆伦的最佳搭配。            
(NA)	 【1990-05-14】            
(4星)	 当年最红啊，温兆伦。            
(5星)	 齐浩南后，港剧再无可恋之人            
(5星)	 今年的好多流行时尚跟那时候很像，果然时尚是在循环的，此片为经典各个人物都很饱满，现在的编剧拜托多看看以前的片子再写吧            
(5星)	 难忘石家荣和大陆女孩。            
(5星)	 神作！            
(4星)	 年轻的邵美琪，惊为天人~            
(4星)	 念念不忘的，是一路收藏的美好和感动的，如果不这样，怎成为我？... 人和人的差别就在于内心此类收藏品的不同啦！            
(4星)	 到后来 戴安娜被人们遗忘了            
(5星)	 温兆伦演绎的最成功的一个角色            
(NA)	 黎美娴的白衣造型好美￣﹁￣            
(5星)	 这么好的片子才评8.2！！！            
(5星)	 在电视台就看了不下五遍。后来在电脑上又看了两遍。非常耐看。最好时候的温兆伦，遇见了最好时候的邵美琪。            
(5星)	 观后从此憎恨温先生            
(5星)	None
(4星)	 还有这部可以怀旧呢 温兆伦的奸角            
(5星)	 温兆伦最出名的剧集了吧。。。            
(5星)	 坏人也可以这么帅            
(4星)	 温兆伦，好正。邵美琪，好正。            
(NA)	 不记得了            
(4星)	 曾经的温兆伦啊~            
(5星)	 曾江在这片子里简直就是射雕中的完颜洪烈，她老婆就是包惜弱，她前夫那个警察就像杨铁心，温兆伦就像杨康了，也是个坏蛋，印象最深刻也记得相对清楚的片子就是这部了            
(4星)	 温兆伦，棒！            
(5星)	 仍然帅            
(5星)	 港剧经典，我当年还剪过邵美琪的那个发型            
(4星)	 那时候还很小。。。            
(NA)	 对曾江印象深刻            
(5星)	 还是老港剧出色            
(4星)	 挺早以前看的了。记得迷齐浩男迷得不行。其实温sir 也是挺帅的。真的。！！！！            
(4星)	 20年之后再看才知道 这个剧原声有多强大            
(4星)	 温sir！            
(NA)	 齐浩男之后，港剧再无可恋之人            
(4星)	 邵美琪那叫一个美            
(NA)	 温兆伦            
(5星)	 黎美娴在这里是我最美丽的记忆之一            
(5星)	 温兆伦，我靠，我都快忘了他了！前两年他来旅游，老妈还陪他吃过饭嘞！            
(NA)	  温兆伦            
(NA)	 我的最爱，温家伦            
(NA)	 长大后再回首，我本善良依然值得一看。            
(5星)	 最爱的港片~~~最爱片头曲子~浩南和伊明是心目中的憧憬            
(NA)	 最爱的港剧            
(NA)	 看过忘记了            
(5星)	 只是回忆永远太美            
(NA)	 温兆伦 邵美琪            
(5星)	 当年最最喜欢的温兆伦,最最喜欢的电视剧            
(5星)	 石伊明和齐浩男、脚链、淋浴间、钥匙、录像带。            
(5星)	 齐乔正太惨            
(3星)	 我喜欢齐乔正~~            
(5星)	 重返十五年前，我依然如此爱你们两个。            
(5星)	 经典的齐浩南：完美、执着、低调、专一、孝顺            
(4星)	 小时候追看的电视机。            
(5星)	 确实因为这部剧才记住温兆伦和邵美琪            
(5星)	 温兆伦那个坏呀。。。。            
(4星)	 小时候的印象中应该挺好看的吧            
(4星)	 也算是童年的记忆了。。            
(5星)	 这个老故事总是叫人魂牵梦萦。石伊明是我看过的电视里，最好听的名字            
(5星)	 到都是有真性情的人...不知道为什么，每每难过的时候就会翻出来再看看的说。            
(4星)	 当年就是温兆伦呀            
(4星)	 石家豪            
(5星)	 温兆伦、邵美琪。生平最爱的港剧。我前后一共看了三遍。后来是电视台不放了，如果再放，我还会继续看下去......            
(4星)	 齐浩男            
(5星)	 好怀念            
(4星)	 都快忘光了            
(5星)	 当年很迷温兆伦的呢            
(4星)	 温兆伦坏的让人咬牙...            
(4星)	 很早以前看过的片子了            
(5星)	 石伊明，短发的邵美琪。            
(5星)	 你也许在人生的某一个路口，想起过往的时光，惊觉命运早已天注定。            
(NA)	 童年回忆啊!!!            
(3星)	 小时候看的...很经典的...            
(5星)	 超超超级爱看!!!            
(3星)	 记得女主角。。            
(5星)	 齐浩男是梦啊            
(3星)	 坏人演的很不错，邵美琪长相偏老，不稀饭。            
(NA)	 有誰不是善良的，在生命的最初？            
(4星)	 1990            
(5星)	 老片不多说            
(5星)	 太经典了……            
(5星)	 在翻精华区的老评论。又见那句话：齐浩南之后，港剧再无可恋之人。说这话的人是神。            
(3星)	 还真是童年的记忆，曾江宝刀未老            
(NA)	 经典港剧，邵美琪太漂亮了            
(3星)	 童年的记忆啊~            
(5星)	 回忆            
(3星)	 义不容情的姊妹篇，港剧佳作            
(5星)	 又见温sir!            
(5星)	 那时很喜欢的片子            
(NA)	 谁不善良            
(5星)	 爱上温sir和邵美琪配~            
(NA)	 还想再看一次。忘了讲什么。只记得是很好看的。            
(4星)	 经典。。。            
(5星)	 重播必看！最爱齐浩男            
(5星)	 印象中，第一次听说流星雨，就是在这部剧。我想，它值得我，这么多年，看了又看。            
(NA)	 温兆伦成名作            
(5星)	 伊明。。            
(4星)	 经典            
(5星)	 最爱的港剧。这里面有我最喜欢的女子和心目中最好的爱情。            
(5星)	 真他妈的经典            
(NA)	 记得温兆伦，记得这部电影名称，其他…不记得了…            
(5星)	 最爱            
(5星)	 最爱港剧，没有之一            
(5星)	 经典            
(4星)	 经典！            
(5星)	 齐浩男啊齐浩男,完美啊完美.戴安娜瞎了眼才会不选你.            
(5星)	 ！！！            
(3星)	 曾经的最爱啊。            
(5星)	 亦正亦邪，外冷内热的男人总是那么让人难忘~            
(5星)	 这么多年了，最喜欢的剧            
(5星)	 齐浩南最帅            
(4星)	 攻占我多少美好回忆。            
(5星)	 小时候看已经不记得剧情，所以重温一遍，温sir那个时候真是年轻貌美，而且年少轻狂。。曾江演技非常好。。对继子的爱很纠结，虽然浩男一直在其面前表忠心都没有用。爱情倒是很质朴，只是那时的戏太有年代感，拿着个大哥大的日子估计幻想不到现在抓着iphone的日子吧，很羡慕从前的爱情，从一而终            
(5星)	 就喜欢温兆伦这类剧            
(4星)	 被这片子虐的不行，温兆伦是超纠结的一个人，邵美琪还是不错的，怪不得曾经红过。            
(4星)	 邵美琪！！！！！！！！！！！！！            
(4星)	 怀旧了咯~            
(5星)	 哪个人对你好你一定要对她更好，但是你对别人好别人不一定对你好。-----齐乔正            
(4星)	 小时候看过后，温兆伦从此给我留下一个坏人的印象永不翻身……            
(4星)	 温兆伦和邵美琪终于在一起。固执、勇敢、晦涩、自尊、这就是石伊明的爱            
(4星)	 正当红的温兆伦与邵美琪            
(5星)	 值得重温的80年代TVB经典剧！            
(3星)	 传说齐浩南之后，港剧再无人可恋，为毛我木有觉得，果然经典不是每个人都能看懂的。            
(5星)	 为什么大家总爱悲剧人物            
(5星)	 1994年的夏天，无忧无虑的暑假。这是关于那个夏天最深刻的记忆。有午后的雷声暴雨，还有爸爸买回家的烤鸡腿。            
(4星)	 小时侯总把在这部和义不容情混淆            
(5星)	 最经典的 爱情 我向往的            
(3星)	 年轻时候的温兆伦、邵美琪、黎美娴，真是美好呐。连配乐都充满了港式情怀。            
(4星)	 兆伦            
(NA)	 尼玛我小时候到底有多闲啊，这也看过啊！始终不待见温兆伦，只喜欢曾爷！于是反派配角控的属性真心是天生的么！            
(5星)	 那个年月的人总是那么难忘，如今再看台庆总是有面目全非的感觉。也对，六叔都已经交棒了。            
(5星)	 经典的温兆伦            
(5星)	 今天在KTV唱笑看风云变，我又怀旧了。            
(4星)	 最爱的港剧，没有之一            
(5星)	 忒喜欢年轻的温兆伦            
(5星)	 不用说也知道我萌maggie&amp;deric CP了吧~~            
(4星)	 人性            
(4星)	 什么是人生            
(4星)	 温兆伦那些年在TVB还蛮红的。            
(5星)	 无论如何 温兆伦从始至终都会是我心里最帅的男人            
(5星)	 大爱，巨爱，强烈推荐            
(5星)	 确实是港剧辉煌时期的代表啊，浩男之后，港剧再无可依恋之人。            
(5星)	 90年代的香港，经济高景气，电影、电视、音乐全面开花。出自90年的《我本善良》便是香港时装片巅峰之作，自此之后，再无超越。2003年香港衰退，经济、音乐、电影、电视全面滑坡，“齐浩男之后，港剧再无可恋之人“。日本、韩国电影、音乐、电视崛起，但均未超越过巅峰时期的香港。            
(5星)	 齐浩男之后，港剧再无可恋之人            
(4星)	 雖然已經不記得內容了            
(NA)	 范本            
(3星)	 真心记不得            
(NA)	 剧情果然狗血            
(5星)	 最爱的电视剧之一，偶爱你，Maggie!            
(4星)	 温吞水慢慢煮开的剧情，最后曾江简直是枭雄上身了。人设鲜明合理，温兆伦抬眼和笑起来的样子好帅            
(4星)	 温兆伦变好人了，种种不适应            
(4星)	 儿时的回忆。            
(5星)	 也许小时候看会爱憎分明认定齐浩南是个彻头彻尾的大坏蛋，可怜被齐乔正无辜灭口的Sam。但现在，对齐浩南除了理解，还有同情，同情他为了安全感而卖力博取齐乔正认可与信任，打从心底厌恶Sam用自杀这种懦弱被逼方法威胁齐浩南而博取一个女人的同情，瞧不起Diana不辨是非的短见，对爱人的不信            
(5星)	 发现我好像把我本善良和一号法庭搞混了 囧啊囧            
(3星)	 音乐为整部电视增色不少，果然是精品            
(4星)	 只记住歌曲了            
(4星)	 黎美娴很气质            
(5星)	 最后一集还是圆满了，我的学生时代啊，那时多爱温兆伦啊            
(3星)	 港剧时代一去不返了。唉。            
(4星)	 喜欢齐乔正            
(5星)	 因为这个，喜欢邵美琪，无论岁月逝去，容颜不在。。。独立，坚强，执着，爱恨分明，不做作            
(NA)	 温和邵年轻时真好看            
(5星)	 经典~            
(4星)	 可以回顾一下的片子            
(5星)	 ！！！。。。！！！！            
(4星)	 难忘当年的温兆伦和邵美琪！            
(5星)	 15年后来看，一样是经典！            
(4星)	 当时觉得男猪脚很帅呢            
(NA)	 老港剧翻出来睇，会唔会暴露年龄？真是觉得自己好多方面像伊明，这句话会不会很不要脸。。。。。            
(2星)	 小时候看的，对片名印象深刻            
(5星)	 小时候看的 很经典 但是没耐心再看一遍了……            
(NA)	 温兆伦牙痒痒             
(5星)	 经得起时间考验的剧才是经典            
(NA)	 小时侯看过 温很帅              
(5星)	 命中注定我爱你            
(4星)	 温sir你治愈了我因论文而缺氧的脑纸            
(5星)	 记得以前表姐曾说过，因为这部剧里的温兆伦太完美，所以不会去看《义不容情》。直到今天我才明白她说这句话的意思。那时候的剧情和演员，怎么就能这么真切呢。            
(5星)	 断断续续用了几个月的时间看了这部。和这部比起来 现在的TVB家族剧真是太弱了。很多台词写的很妙 人物关系复杂而不混乱 角色刻画的也相当好 特别是几个配角。看得最入戏的 竟然是苏敏和家荣这一段。我本善良 也或许只是个借口罢了。。            
(NA)	 大爷的，这都什么时候的事了……            
(5星)	 非常经典·····            
(4星)	 亦正亦邪的齐浩楠，让人又爱又恨，温sir的经典作品            
(5星)	 每次看都依然那么感动。            
(5星)	 天啊，经典来啦，来啦            
(5星)	 好年轻的温兆伦。神马是气质！！！相对现在偶像剧那些所谓的白马王子神马的，那真是不是一个档次的。            
(NA)	 喜欢邵美琪，还在日记本上写着“我本善良”            
(5星)	 很欣赏女主的个性：难道你认为我会要一个只是陪我吃饭、看电影的男朋友？我要的是关怀和尊重！            
(4星)	 童年的记忆            
(5星)	 一部无法逾越的传奇。            
(4星)	 记忆中，第一部tvb剧            
(4星)	 伊明的蘑菇头好可爱啊。另外我在今天深深的体会到了这句话。            
(5星)	 当浩男不开心的时候，就会一个人躺在游艇上看星星。            
(5星)	 忽然又想起来再看一遍；可是看了老半天那个DIANA怎么还没死.......            
(4星)	 印象很模糊了~~但是陈百强的那首歌却一直都记得。。。。            
(NA)	 依旧不敢标星。就记得这片名、温兆伦、。            
(5星)	 真的很经典，很好看。。。我心中永远的齐浩男！！！            
(4星)	 特别迷人的石伊明            
(5星)	 浩男和伊明 心中永远最美的爱情故事            
(4星)	 看过一点点，很多老片都这样，要再看。            
(5星)	 齐浩男之后,港剧再无可恋之人            
(5星)	 邵美琪，温兆伦～            
(5星)	 就因为这片，还买了温的一本卡带，经典回忆            
(5星)	 昨晚做梦突然出现要看我本的连续剧，所以早上兴匆匆起床就开始回味了，永远那么经典，只是居然没有高清，遗憾啊            
(5星)	 最爱的港剧  再没有齐浩男和石伊明            
(2星)	 应该看过            
(5星)	 最爱港剧,没有之一.            
(5星)	 邵美琪当时的样子放现在潮毙了。。。主题曲笑看风云变亦是心头好。            
(3星)	 看男看女，年轻的时候长得真是好，够格主角。            
(NA)	 永难忘怀啊            
(5星)	 爱极了这部剧，迄今为止最为迷恋，百看不厌的剧。唯有那个浩男与温SIR，唯有那个伊明与美琪能让我如此的心动，举手投足间都散发着致命的吸引力。因为浩男，不再反感抽烟了；因为伊明，恋上了短发。喜欢他们，所以喜欢一切与他们有关的。因为他们，曾经讨厌的也可以变成喜欢的。            
(4星)	 后来，温兆伦去哪了？            
(3星)	 我的英文名是安娜，不是戴安娜，她是我剧中最惋惜的人！那时温sir很有型            
(5星)	 TVB经典！温兆伦的齐浩男啊，有型！喜欢邵美琪的石伊明！！            
(NA)	 变坏真不是我的错！            
(1星)	 这是唯一一部我实在看不下去的风评很好的港剧……            
(5星)	 再次重温，经典依旧，感动不同。            
(4星)	 钟SIR的经典之作。            
(5星)	 经典无需赘述！            
(5星)	 的确很经典，每个人物形象都很鲜活立体，齐浩男，石伊明完美的一对，没有男主角能像齐一样冷酷又温柔，没有女主角能像石一样顶着锅盖头依旧魅力四射~            
(5星)	 有没有影子取决于你是面向还是背对太阳            
(NA)	 重温            
(5星)	 哎呦呦  那时温兆伦帅的呀~~~            
(5星)	 看了无数遍了~每一集都记得很清楚~当年的温sir和邵美琪好般配哦~知道今天我都觉得男人送女人脚链是最浪漫的事~            
(5星)	 我人生第一个偶像啊, 温兆伦............真TM帅啊...............            
(5星)	 男女主角是我心中的经典！            
(5星)	 齐浩男~~            
(5星)	 经典回顾            
(5星)	 美好的记忆。            
(3星)	 琐碎。。            
(5星)	 好想再看一遍。。。温兆伦帅了二十年            
(NA)	 我本善良,温兆伦就这样在生活的边缘挣扎着            
(4星)	 小学三年级看的            
(5星)	 温兆伦坏到家了            
(4星)	 当时觉得温兆伦老灵额..            
(4星)	 我心中最好的TVB剧。里面的所有角色都那么妥帖而出色，不光是主角，连那些配角都及其让人难忘，深深记得那么美艳干练的情妇和善良的小警察，野心勃勃的魅力男石家荣和他的两个女人，女人魅力到爆的戴安娜。隔几年就重温一次，好多台词写得好棒啊。            
(NA)	 初中时看的。            
(NA)	 今生今世齐浩男……            
(5星)	 小时候很喜欢温兆伦……演技派……            
(4星)	 不记得讲什么了            
(4星)	 印象深刻，从此记住温兆伦这个名字            
(2星)	 很早时看的。。印象不深但蛮经典的。。            
(4星)	 只记得结局很意外             
(4星)	 那时他们很配~            
(5星)	 齐浩男啊！            
(3星)	 温习ed            
(5星)	 当年嗷嗷喜欢温兆伦啊            
(5星)	 齐浩男之后，港剧再无可恋之人！我最爱的港剧            
(5星)	 TVB剧最有个性的女主+最有魅力的男主            
(5星)	 经典            
(5星)	 这是我最爱的温兆伦的作品            
(5星)	 就算现在来看，这依然是一部非常棒的片子 ，人物虽然多但一点也不觉得杂。更别提齐浩南和石伊明了， 特别喜欢浩南从监里出来约伊明在海边过生日。 当然全剧中温SIR的眼神有多电人，就不需要多讲了。            
(NA)	 重温下            
(NA)	 忘的差不多了，HOHO~。只记得温兆伦是二弟，坏人。            
(5星)	 至爱的天蝎            
(5星)	 这部剧里的黑帮少爷很斯文呢~冷峻高傲，外冷内热，有血有肉！            
(5星)	 经典的港剧，让我喜欢上齐浩南和石伊明式的爱情，不管别人怎么样，他们的爱是真挚和感动的。            
(5星)	 大爱~~~~经典~~~~永远的伊明！            
(5星)	 你永远都是齐浩男的太太，石伊明。            
(5星)	 温兆伦啊 我要哭泣了。。。            
(5星)	 爱上温兆伦。            
(5星)	 再次找回想一口气看完电视剧的感觉            
(5星)	 温兆伦的高峰~~            
(5星)	 记忆中的经典哪，温兆伦也曾经那般美好过，曾江太无敌了            
(5星)	 经典            
(4星)	 我都不太记得剧情了。昨天一朋友聊到这个，让好多感觉一下都回来了。有空可以重温。            
(4星)	 曾江的演技老辣！            
(5星)	 我所见过的电视剧里最复杂的男性形象            
(5星)	 我小时候就靠这几部片子活了。。。            
(5星)	 听说这个有个老太被温兆伦气死了。。。            
(5星)	 浩男真是太帅了！伊明真是太可爱了！至今仍然是最大爱的港剧男女主角啊！            
(5星)	 港剧的巅峰之作            
(5星)	 温sir当年是多么的有型啊            
(4星)	 曾经超粉温SIR，有他全部专辑，还是正版的            
(5星)	 那时候的邵美琪多年轻            
(5星)	 只有温兆伦的记忆            
(5星)	 说谎            
(5星)	 有人说，港剧独爱齐浩男，我却只喜欢“黄老邪”扮演的乔正            
(4星)	 超级喜欢            
(5星)	 那个年代很迷的~            
(4星)	 很小的时候看过             
(5星)	 cool            
(5星)	 啊啊啊啊            
(5星)	 小学时每天急着回家要看的一部剧，也是喜欢的第一部港剧。            
(3星)	 貌似我的第一部港剧            
(4星)	 曾经的热播剧啊            
(5星)	 这真是,老片            
(5星)	 温兆伦的巅峰之作。            
(4星)	 温兆伦的代表作品            
(5星)	 永远的齐浩南            
(4星)	 大爱伊明            
(5星)	 不能忘却的记忆。当时的几部港剧在北京风靡一时。对我的成长有很大的影响。             
(4星)	 除了主题曲以外 只记得温兆伦很坏            
(5星)	 思念齐浩男和伊明            
(3星)	 除了第一集其他都不行，很多戏假又潦草，对人性的刻画远不及《大时代》，阵容不及《天地男儿》，感情戏不及《天地豪情》，经典在哪？？不尴不尬的的感觉。            
(5星)	 儿时的经典 浩南和一铭的爱情让人心碎 给5分            
(4星)	 忘记是什么年代的记忆了，只知道是记忆。            
(5星)	 谁能跳出这无形界限？            
(5星)	 那个挣扎在善与恶边缘的少年 那个留蘑菇头倔强的女孩 曾经的记忆 这个长假有这部经典TVB剧集陪伴 又回到了以前暑假里 从早到晚 看电视台连播电视剧的日子            
(4星)	 剧情基本记不起来了不过还记得Diana这个名字和温兆伦            
(5星)	 小时候印象深刻            
(4星)	 呵呵            
(NA)	 每个人物都很生动，个性完整，气质统一。剧情跌宕合理，各有深情，背负，坚持，愿望，层次分明清晰有致。何况剧中某人象某人。何况，还有我爱的天文。某个夏天，幸福甚至不需要一支风笛的声音            
(3星)	 那时就记得温兆伦. 现在好像不红了。             
(5星)	 永远的齐浩男            
(4星)	 多么遥远滴回忆啊，俺的初恋原来是给了温sir~            
(NA)	 坏人之首。            
(4星)	 剧情忘了,可剧名还深刻呀.            
(5星)	 最爱温兆伦，源于我本善良，青春最铭刻的记忆，一直珍藏。。。。。。            
(5星)	 如果你深爱港剧，请一定要看《我本善良》，它是一部不能错过的经典！！！            
(5星)	 黎姐姐好美啊            
(5星)	 我永远的齐浩男！            
(5星)	 另一部经典。蘑菇头的石伊明，酷酷的齐浩男            
(5星)	 浩男！！！            
(5星)	 又回到20年前。            
(5星)	 本来温兆伦也可以成为一代巨星或标志性的人物,这部电视剧里他的表现就是证明,可惜这也成了他的巅峰之作,他之后多次转型的失败,使他也伦为一格普普通通的电影明星.            
(3星)	 只记得温兆伦是坏蛋了。。。            
(5星)	 最喜欢的港剧~齐浩男，Man~            
(5星)	 当年的经典之作            
(3星)	 初中时无以伦比的温哥情结            
(NA)	 童年记忆 很喜欢的港剧 没什么好说的 太经典每个演员都是那么出色 除男女主角外 陈庭威也是锋芒毕露             
(5星)	 久远的回忆，经典            
(3星)	 太喜欢曾江了            
(5星)	 曾经的温兆伦            
(5星)	 因为邵美琪，因为齐浩男            
(3星)	 当年还是很喜欢温兆伦的。            
(3星)	 把手放进电风扇的镜头实在恶心，有阴影            
(4星)	 温SIR好帅            
(4星)	 很久前看的，主题歌很好听            
(5星)	 心中港剧NO.1啊~齐浩男之后港剧再无可恋之人~            
(5星)	 |514:635|            
(3星)	 经典            
(3星)	 很小时候跟妈妈一起看的。            
(5星)	 太喜欢这里面的齐浩男了。。。曾经。另外，好片子配角都很好。            
(NA)	 反派给人印象比较深，当然还有温兆轮的转型正派也不错            
(4星)	 温兆伦             
(5星)	 还想看呢            
(NA)	 当时老喜欢温兆伦了呃            
(4星)	 人之初，性本善……主题歌很好听。            
(3星)	 我也很善良的。。            
(NA)	 开始喜欢邵美琪就是在这部片子里。            
(5星)	 很不错的，很经典            
(4星)	 石伊明            
(5星)	 绝对经典之作啊！            
(NA)	 喜欢邵美琪，喜欢温兆伦，喜欢那是的她们，喜欢所有。            
(4星)	 那时很喜欢温兆伦的            
(4星)	 memory of the 80&#39;s            
(5星)	 坏的可以            
(5星)	 当时就觉得温sir很帅，现在评价里就记得罗乐林了呵呵~            
(5星)	 温兆伦 邵美琪             
(NA)	 早些年，看过此剧            
(5星)	 童年的回忆了            
(3星)	 觉得那个时候的温兆伦好帅，哈～            
(NA)	 很小看到            
(NA)	 成人肮脏的世界开始入侵我的童年——原来世界不只花和草。            
(4星)	 挺喜欢的            
(5星)	 最爱。实在经典。最爱温SIR齐浩男的形象。还有黎美娴的造型服装实在太美。            
(5星)	 看过N遍了            
(5星)	 一部很经典的港剧，不久前又重新看了一遍，还是觉得很不错，虽然时代很久远了。            
(5星)	 多少年前看过的啊！            
(5星)	 小学看的 讲什么已经忘记了当时觉得好好看            
(4星)	 隐约记得当年曾追看的片子            
(5星)	 反复看了多遍            
(NA)	 以前挺喜欢的            
(5星)	 真是经典，现在看都强过TVB这几年所有的剧            
(NA)	 感觉还是很好看……，就是土豆很卡            
(NA)	 经典            
(5星)	 去年看的，现在又想再看一遍了            
(5星)	 特喜欢温兆伦，亦正亦邪（童年记忆）            
(5星)	 一部港剧中的经典，有情有意的故事，让我懂得了永远和亲情和血缘，英伦摇滚也是一大亮点和故事情节及场景配合得很好，喜欢邵美琪演的史伊明，坚强而执著            
(4星)	 港剧经典之作，剧情完美，演艺到位。            
(NA)	 那时的温和邵，多美好            
(5星)	 这部经典的电视剧一直没看过，BF曾推荐过，这次终于找到可以下载的地方了，于是乎赶紧看一下。            
