http://movie.douban.com/subject/1920144/	时间隧道 The Time Tunnel
(5星)	 太喜欢了，当时最爱的科幻剧集！            
(5星)	 也是小时候超级喜欢！            
(4星)	 小时候的记忆最深刻的一部科幻剧集。            
(4星)	 匮乏时代的美好回忆！            
(5星)	 小时候要等很晚才能看到的电视剧，一般都是老爸在看的时候我偷窥来着。            
(5星)	 正大剧场最好的片子~怀念啊~            
(4星)	 我最早关于时空穿梭的想法就来源与此, 想象奇特, 经典            
(3星)	 那时候还小，看不懂，什么也不记得了，就记着有个时间隧道。            
(5星)	 我了个去！我TMD的也有找到你的一天啊？？！！            
(4星)	 没放完真是很遗憾            
(4星)	 超级老的片子了，30集，2年时间，终于下完了            
(5星)	 记忆很模糊了。只记得有一集是他们回到过去告诉人们躲避火山喷发            
(3星)	 只记得穿越时间的时候就是到一个巨大的圆形屏幕里。。。            
(5星)	 经典~~~~~~~~~~~~            
(5星)	 经典老片            
(5星)	 每集必看            
(4星)	 小时候的片子，超经典的。            
(5星)	 后来好象突然不放了 等了好久 555            
(4星)	 名字熟，就是想不起剧情~~~            
(3星)	 这片子都有。。那些圆圈到现在都印象好深呀~~            
(NA)	 怀念，好像没看全            
(4星)	 关于记忆。            
(4星)	 科幻启蒙片。惨遭王牌大间谍戏仿。            
(NA)	 穿越式的剧情片呵呵            
(5星)	 经典中的经典            
(5星)	 这个记不清了，只记得一些碎片，但当时确实很喜欢            
(4星)	 小时候在正大剧场看的，主人公通过时间隧道回到了过去，不巧时间隧道被坏人破坏了，他们只能在一个又一个时间点游荡。最有意思的是他们每次去的都是影响历史的关键时刻，为了增加可看性，没办法。片子有点老，推荐给怀旧的人。            
(5星)	 经典科幻            
(5星)	 片头曲很NICE            
(5星)	 小时候最爱看的电视剧啊，为了看这个跟爷爷抢电视被爸爸打屁股- -            
(5星)	 又一古老的记忆被挖出来了~豆瓣里强人真是多呀~也证明我是超级电视迷~            
(5星)	 儿时经典，每周日下午正大剧场            
(5星)	 太经典的一部剧集，当年央视泛着蓝色菱形的 译制片 栏目，14寸上海牌彩色电视前的期待。木哈哈。。            
(NA)	 |125:127|            
(4星)	 童年            
(3星)	 一直想看完整来着。            
(5星)	 当年无比热爱托尼纽曼TAT            
(4星)	 还是正大剧场给我们留下的美好回忆            
(4星)	 那一圈一圈的时间机器真是有创意            
(5星)	 found it on hulu plus!            
(5星)	 儿时经典            
(5星)	 和《大西洋海底来的人》是小时候的最爱            
(5星)	 真的有这样的隧道就好了。            
(NA)	 童年回忆            
(5星)	 我和哥哥一起看的，记不清呢            
(5星)	 小时候很着迷的一部科幻剧，最近正在重温。            
(5星)	 taobao有售，具体就不替别人做广告了。不过这片子真的很经典。            
