http://movie.douban.com/subject/3904560/	水浒传
(3星)	 好汉们不够匪，更像过街老鼠            
(4星)	 从这部剧开始，我逐渐脱离了儿时追求的英雄形象。像武松这样的英雄，当他不分青红皂白胡乱杀人的时候，我就不再爱他敬他。反倒是林冲，鲁智深，卢俊义，晁错这样的，是真心英雄。            
(NA)	 水浒第109将——天歌星大胖子刘欢            
(3星)	 印象里还是老版的好。            
(5星)	 这个是经典            
(3星)	 正宗大陆出版，忠实原著。            
(4星)	 还原得不错。            
(3星)	 小时候看得，当时技术很喜欢用特写，把人物脸上的毛孔油脂放到无限大，慌……            
(3星)	 俺就是俗阿，就记得PJL和阎婆惜那些女人鸟……            
(3星)	 李雪健老师版宋江，不单猥琐而且恶心。            
(NA)	 金翠莲是马大脚            
(4星)	 林冲最帅了            
(5星)	 最好的宋江            
(4星)	 李雪健不愧是戏精，完美的将宋三郎从纸上搬到了银幕上，另外，非常欣赏对林冲的结局的改变            
(4星)	 林教头一表人才            
(4星)	 年輕時看滴            
(4星)	 当年最爱吴用和燕青了。            
(5星)	 李雪健老师的演技冒话港。            
(5星)	 江湖好汉，让人唏嘘。            
(3星)	 每次电视上演这个总是恰好播到西门庆与潘金莲私会，潘金莲总是娇喘：只求官人快些。。。。。。。。。。。。。。。。。。。。。。            
(NA)	 历代宋江李雪健演得最好，没有之一。可惜让配音演员给毁了。            
(NA)	 最爱潘金莲那段            
(5星)	 最迷神行太保戴宗了！！！！！屌爆了！！！！！            
(4星)	 宋江真的很欠扁啊，孔孟之道毒害国人几千年。            
(5星)	 初中看的时候我们班的男生还分角色来着，当时我们心中的偶像是林冲。现在温习一遍突然觉得林冲那性格里还带着不少文艺情怀。显然没有武松，鲁智深式的英雄来的那么爽快。大碗喝酒，广交天下志趣相投的豪杰，纯爷们的方式，过瘾！            
(4星)	 还是这部好！            
(3星)	 李雪健的形象是这本里面被毁了的            
(3星)	 马马虎虎，刘欢的神曲啊            
(5星)	 最后被拍成电视的四大名著。李雪健老师演谄媚宋江真是入骨三分。。。恩，好几个其他角色也印象深刻：林冲、武松、鲁智深、阮氏兄弟、燕青。好汉歌也挺赞滴，草根英雄的气息出来了            
(4星)	 李雪健演宋江，以前不理解，现在理解了            
(5星)	 说实话，拍的水平很高。            
(5星)	 征方腊拍的令我骨摧心折！            
(3星)	 自從這個之後就很不喜歡這個男的李雪健。            
(3星)	 要有字幕多好啊。在精简点            
(4星)	 潘金莲洗澡那一段……            
(3星)	 每天中午吃饭的时候··大河向东流啊···            
(NA)	 大河向东流啊 天上的星星参北斗啊！            
(4星)	 记得有段采访，武松说拍完了三碗不过岗后，他再也不想喝水了……            
(5星)	 wow，平均分才7.7，真让我吃惊。            
(NA)	 招鸟安啊，一看到招安就憋火~！还是武松醉打蒋门神、燕青打擂、李逵坐堂这三集最有看头~！！！            
(4星)	 因为水浒传本身的原因。。还是不打5星吧            
(5星)	 我觉得李师师好漂亮            
(3星)	 我就记得李雪健被招安时叩头时的那个大屁股，那叫一个硕大啊！            
(NA)	 当年跟俺爹一起追着看。。            
(2星)	 真不如早期山东台那版            
(4星)	 较小说差了许多。            
(4星)	 因为拍得晚，没有那两部经典了，三国也是这个问题，80年代繁荣的创造力已经消耗殆尽，只能照本宣科，但即使如此，也比翻拍的好几万倍。周野芒的林冲惊艳啊！！！            
(NA)	 小时候看过点点            
(4星)	 更喜欢原著。            
(4星)	 最后归朝之后就没看了，不是电视剧拍的怎么样，是原作实在太悲情了，受不了...            
(4星)	 央视版和原著出入还是蛮大的，但是也很到位，林冲被修改的我很喜欢，很帅啊~~~~~~            
(4星)	 我家还有全套VCD呢            
(4星)	 这都多少年过去了，几个主演的名字我还记得那么清楚            
(5星)	 其实人家 张纪中还是很有贡献的  林冲 我的林冲            
(5星)	 李雪健把宋江演活了！！！            
(3星)	 大河向东流            
(3星)	 。。。。还真的只有那首歌～            
(3星)	 比起《三国》有一些进步。潘金莲选对演员了，孙二娘也选对演员了。暗笑            
(4星)	 人物刻画是下了功夫的。            
(3星)	 李雪健演的什么啊。。。            
(4星)	 这个也没看完整            
(5星)	 起先看时，对结局那叫一个“恨”呐！            
(4星)	 完全忘了。            
(4星)	 还是很不错的,但看得人心痛,为什么~~~            
(4星)	 那时候潘金莲和西门庆XXOO时，爸妈把我眼睛捂上的。            
(5星)	 路见不平一声吼啊！该出手时就出手！            
(4星)	 再翻拍也很难超越了            
(4星)	 超级喜欢燕青            
(3星)	 个别人物，真的不错。            
(3星)	 四大名著里不太感兴趣的一部～            
(3星)	 三星半            
(5星)	 我真为同姓的那个人感到羞耻。            
(4星)	 真是无敌了。            
(4星)	 还记得看完水浒，就该白娘子了            
(5星)	 经典啊经典            
(4星)	 cctv1            
(NA)	 中国大陆            
(5星)	 除了红楼梦，最爱的就是这部了。。            
(4星)	 [昔日所看]            
(3星)	 我讨厌宋江……还有那个什么李雪健……            
(4星)	 没有书中精彩．．            
(NA)	 主题曲好，武打满意，够血腥，李雪健歇斯底里成功。            
(4星)	 四海之内皆兄弟            
(5星)	 撅着屁股的宋江            
(4星)	 其实这部拍的也不错，但是比《三国演义》要差些。            
(4星)	 年轻的时候看的，不太喜欢这部名著，所以是四大名著中最不dj的一部了，甚至没看完整            
(5星)	 翻拍就得死！            
(5星)	 路見不平 一聲吼啊            
(3星)	 不说了            
(4星)	 结尾修改的很不错            
(4星)	 最早的一部，我也觉得是最经典的一部。            
(4星)	 现在觉得这是多么多么gay的一群汉纸啊~            
(4星)	 好像看到招安我就没看了            
(3星)	 那时候我爸要看水浒，我妈要看琼瑶！            
(5星)	 最爱的电视剧再一            
(4星)	 这个宋江太猥琐            
(4星)	 印象最深的就是潘金蓮和西門慶那段。袁八爺這次還擔任武術執導。            
(4星)	 童年回憶，就記得超級討厭宋江。            
(5星)	 最喜欢剧中经常响起的箫声            
(5星)	 牛逼            
(5星)	 当时恨死李雪健了            
(5星)	 从春天到秋天，完整地重看了一遍，非常好。除了对宋江的改编不满，其余的改编都独具匠心。这一版的演员都是导演要求读金圣叹删过的水浒的，对人物的处理上能看得出来。            
(5星)	 这一版才是经典好么……像是认真地在做成一件事情的样子（新版那是神马玩意- -             
(5星)	 闲来无事重看，还是很喜欢丁武松            
(4星)	 98版看时年纪小，但印象也很深刻，算是较经典的了，后来知道了山东版，也有不少经典韵味，如今11版出现，虽然人物角色有不足编剧也有偏差，但打斗等方面做的也不差。比起新版红楼新版西游，水浒传拍了几版都没有过分的差评，也很难得了。            
(5星)	 看了新版，我决定改五星 = =            
(4星)	 不拖沓 老电视剧的优点 忠于原著            
(5星)	 前头多好呀，自从宋江上山之后一切都被他搅的变味儿了。硬把自己的理想说成是所有人的梦想，让别人给自己当靶子。可怜了林冲，扈三娘，卢俊义。宋江奴性太强了。            
(4星)	 看到最后居然很感动……            
(4星)	 主题曲很好啊。李雪健是个好演员。            
(4星)	 忘不了刘欢那嗓子啊            
(4星)	 人心即是江湖            
(4星)	 这部对比今天的兄弟义气还真实点，那些动作场面实在多了            
(5星)	 好汉歌一响起就让人热血沸腾  梁山好汉的英雄义气深深刺激了当时还比较小的我。 喜欢林冲有血性 喜欢鲁智深憨憨的却又不笨 喜欢武松打虎英雄却有儿女情长的温柔面 喜欢花荣喜欢燕青喜欢时迁喜欢各式各样性格各异却都是为了一个情字而聚在一起的人。 当时不喜欢宋江但是时至今日我们 也懂了宋江的不容易            
(4星)	 当年多爱林冲            
(5星)	 完美啊！难忘啊！            
(4星)	 超喜欢的~            
(4星)	 宋江的憋屈历历在目            
(4星)	 还是这个版本有种！            
(5星)	 有看演义小说的感觉。配乐尤其好。            
(5星)	 李雪健就是一副招安脸,不真假.            
(5星)	 太棒了，人物造型，表演，环境背景都堪称经典            
(3星)	 水浒，我仅看过电视剧，没读过原著，好自卑。。            
(NA)	 看过最多的是武松和潘金莲，最喜欢林冲大叔            
(4星)	 太不忠实原著             
(5星)	 我脑子里水浒的原型和电视剧基本对应~~~演技出众，非常棒            
(4星)	 美好的少年时光回忆，看完电影后又再接再厉花了七天把书给看完了。            
(5星)	 李雪健的演技都妖化了            
(NA)	 小时候看的             
(4星)	 轻生死重大义男儿本色            
(3星)	 我最讨厌宋江了好吗！！！尤其是李雪健的版本！！！（李大叔我不是针对你）            
(5星)	 也许还谈不上经典，但真的很棒！有太多太多环节的值得称赞，是我为数不多看过几遍的影视作品。            
(5星)	 为毛分数这么低？！7.8？！            
(5星)	 哭死了...            
(5星)	 当时看的那个惨烈啊……恨死宋江了，超级喜欢林冲、鲁智深、燕青和阮家三兄弟！嗷嗷嗷好汉歌热血澎湃啊！            
(5星)	 虽然这部剧还是改编了很多压缩了很多 但水准确实精良            
(4星)	 拍的很不错            
(NA)	 洒家就是要找你消遣的！            
(NA)	 一百零八好漢裡面，最鍾意的是林衝，央視播的不止43集吧            
(4星)	 这版还是挺经典的            
(NA)	 央视电视剧那个时候真的火，大家都围着看，第二天爸妈上班讨论孩子上学讨论            
(5星)	 名著改编的经典之作！            
(3星)	 讨厌宋江            
(4星)	 周野芒的林冲，秒杀。            
(5星)	 难得的经典之作            
(5星)	 我想通了，爹娘就爱带我看些悲壮的片子，培养些悲壮的情操。            
(4星)	 前半段看得热血沸腾 后半段看得凄凉又郁闷            
(4星)	 真是太血腥了…吓坏年幼的我了…这4星有一星纯是看在原著面子上加的            
(5星)	 小时候是有多喜欢。。            
(4星)	 记得当时电视上做采访，演员说为了拍这个戏脖子上缝了好几针……还听说，有位阿姨看宋江气的把电视机砸了（那个年代的电视机非常值钱）。这才是艺术            
(5星)	 小時候看得。            
(4星)	 经典中的经典！服装武术特技都非常忠实原著的片子！            
(4星)	 还记得结尾的108将素描~            
(4星)	 2011年看了十集。现在看林冲等，没当年的感觉了，倒是发现高俅等人塑造挺立体。            
(4星)	 以前觉得很不错            
(NA)	 记得小时候看到应该第7集风雪山神庙，最后林冲杀了陆虞候，雪夜上梁山时背景音乐响起，感觉真是很棒            
(5星)	 百看不厌的             
(4星)	 小时看了觉得有不给力的地方，现在才明白原来当年的才是最给力的，现在都是神马玩意。这一评论一样适合各种名著改编的电视剧。            
(5星)	 野芒哥，爱爱爱爱！            
(5星)	 四大名著里最喜欢的一部            
(4星)	 儿时的记忆            
(4星)	 清楚地记得那是在小五的寒假！            
(5星)	 翻拍是没有意义的            
(4星)	 为了武松，还有林冲，算上柴进吧！            
(5星)	 水泊梁山，一百单八将，个个英雄好汉，铁骨铮铮。            
(5星)	 路见不平，拔刀相助。当时那个喜欢啊。            
(4星)	 央视拍的历史剧一般都不错，结局让人痛心。            
(4星)	 四星半吧，配乐相对其他三部名著改编电视剧稍微差了一点，除了主题曲之外没有什么经典的，主要演员的表现都非常精彩啊~            
(2星)	 征辽国是我最想看到的情节。为嘛把林冲那么早就弄死？            
(4星)	 我觉得李雪健的宋江演得非常好            
(4星)	 也是经典 略微差点期待水浒传的人没有不期待潘金莲的吧            
(5星)	 有八十六集就好了，前面很给力，武松和鲁智深拍得尤其出色，以后不管多少版，这两位估计是超越不了了。后面略有松懈，不过总体看是四大名著改编最得我心的了。            
(4星)	 小时候不喜欢打打杀杀            
(5星)	 国母的片尾曲很有一股悲凉的感觉            
(4星)	 血溅鸳鸯楼！！武术指导是袁和平            
(NA)	 2010-11-27            
(3星)	 只看25集以前就可以了。            
(4星)	 小时候不怎么爱看这种题材的。            
(4星)	 小学五年级            
(5星)	 当时恨死宋江了，如今很理解他            
(4星)	 看到后面真是悲凉。。。大爱这版扈三娘啊。。。            
(NA)	 我有多讨厌宋江啊，连带着李雪健我都不喜欢了很多年……            
(5星)	 永恒经典。            
(4星)	 不错的            
(4星)	 小时候看得那叫一个热血沸腾、豪情满怀啊！            
(5星)	 李雪健演的真好 当年我同桌天天给我唱好汉歌逗我笑= =             
(4星)	 人物、背景、服装都很好，配音也绝对有实力。武松、林冲的形象从此定格。            
(1星)	 逼味逼人            
(4星)	 大爱鲁智深            
(4星)	 那时对林冲印象很深。。。还有那个西门庆，哈哈            
(5星)	 我唯一看过完整故事的四大名著就是《水浒传》了，还看的是儿童插图版。那都得益于这部电视剧。当年觉得林冲可帅了，简直就是心目中偶像英雄不可替代。但后来发现他就是个怂货，是万万嫁不得的。            
(5星)	 还是很有感情的~            
(5星)	 最爱林教头风雪山神庙！            
(4星)	 我爱片尾曲 一声吼阿～～            
(5星)	 儿时 总想 砍死 宋江            
(5星)	 拍的有味道...            
(5星)	 我觉得这是当年四大名著之首，制作精良，演员的演技真的是非常棒。            
(5星)	 李雪健啊李雪健~宋江是很锉~但是也没有焦裕禄那种感觉啊。。。            
(NA)	 我奶奶喜欢林冲            
(4星)	 腐剧。。。            
(NA)	 俺咋就那么不喜欢周野芒呢？            
(3星)	 没看过这个的人生是不完整的            
(4星)	 潘金莲是美！            
(5星)	 依当年的水平，很黄很暴力，不错喔            
(4星)	 别重拍别重拍...都是经典的好.            
(4星)	 终于看全了            
(NA)	 水许传            
(5星)	 很不错的电视剧~~ 主题曲也很好呀~~花荣后来演了慕容复、欧阳克~ 呵呵~ 牛莉在里面貌似演杨雄的老婆~~            
(4星)	 108好汉记得全么？            
(3星)	 陪家人看看。。。没啥感觉。。。            
(2星)	 本来就不太喜《水浒传》，电视剧更是将原著改得七零八落。。宋江依然让人恨得咬牙切齿。。独爱燕青            
(NA)	 大场面大制作 潘金莲情节还被家长捂了眼睛... 断了臂后的武松更是浑身萧瑟的侠气 帅死了            
(5星)	 赞。看了N多遍了。            
(4星)	 路见不平一声吼啊~~~现在谁还会吼啊？            
(5星)	 我爸，我和你一起看的吧            
(4星)	 都忘了            
(4星)	 居然把我的林冲气死了，太不尊重原著了            
(NA)	 很小的时候看的~基本没印象了~~当时觉得电视剧里的人死了就是真的死了╮(╯▽╰)╭所以很怕这种会经常死人的电视剧。。            
(5星)	 大爱            
(4星)	 节奏流畅，看起来大快人心。就是很有古典的味道，有那么点意思。我爸说不喜欢这版，看起来土，我觉着土就对了。演员大都比较满意。小时候和爸妈一起看的，印象最深的是林冲和武松部分，看到招安之后一直在哭。记得最后的情景鲁智深在坐禅，燕青和SS一起走了，吴用在蛛丝儿结满雕梁的聚义厅自缢            
(4星)	 内地最好看最暴力最情色的古装电视剧            
(NA)	 一首好汉歌唱了多少个春去冬来的同一首歌。            
(4星)	 我不喜欢大舌头。。。            
(4星)	 初三那年 多么地痴迷武松啊....一遍一遍看醉打蒋门神...帅到极致啦            
(NA)	 哥最近寂寞了            
(5星)	 大河向东流啊~~~~            
(4星)	 大河向东流呀 天上的星星参北斗！            
(5星)	 四大名著电视剧中至为经典，实为第一。            
(3星)	 没看全，都是看了几集。哎，书都没有看过=。=            
(3星)	 补录            
(5星)	 张顺死的时候，我哭得稀里哗啦……            
(4星)	 好看            
(3星)	 真没兴趣             
(5星)	 108个人我倒着背            
(4星)	 悲剧            
(4星)	 记得看了两部吧，都还可以，记忆最多的，可能还是武松            
(5星)	 导演 演员简直堪称完美            
(4星)	 最喜欢的几个人物是：黑旋风李逵、花和尚鲁智深、打虎英雄武松、鼓上蚤时迁、浪子燕青。            
(3星)	 6/10            
(4星)	 当时觉得潘金莲好漂亮[捂脸]，还有片尾背景的一百零八将的轴卷好想要TUT            
(5星)	 经典            
(4星)	 还不错的啦。            
(4星)	 有点虎头蛇尾，不过原著也是如此            
(3星)	 小时候每次播了一集就跟在后面大声狂吼片尾曲 大河向东流啊天上的星星参北斗啊 啊啊啊啊  啊啊啊            
(3星)	 潘金莲出浴的万人空巷            
(4星)	 好汉歌儿            
(4星)	 当初挺喜欢的。            
(3星)	 一直都觉得。。。这部不好看。。。            
(3星)	 潘金莲和武松的戏，唉，婆婆妈妈            
(5星)	 最爱啊            
(4星)	 始终欣赏兄弟之间的义气之情。恨死高俅。最后的宋江招安得好傻，害死多少梁山好汉。            
(5星)	 和老爸的共同爱好。            
(4星)	 那个年代的电视剧拍得真是真，一点不做作。。看着看着对里面结构与人物的分析真的很有趣。不过电视剧的结尾拍得太烂了，严重改掉了原著。可能受当时的政治影响吧。            
(4星)	 不好超越的版本            
(5星)	 小时候看央视版水浒，深感宋江怎么被李雪健演得这么猥琐。后来，长大后才次回顾，才发现宋江就是这么个猥琐的人，只是小说中表现的相对比较隐晦，小时候读来没有抓住。            
(4星)	 刘欢把歌唱绝了。            
(NA)	 真不喜欢农民起义啊            
(3星)	 但现在觉得很好看（潘）!歌曲也没觉得好听。            
(5星)	 很經典的歷史劇改編劇。            
(4星)	 音乐大气            
(NA)	 只记得潘金莲很pp，宋江翘屁股跪拜皇帝...            
(4星)	 如果不是没钱，可以拍的更好。。。            
(3星)	 看书吧大家还是            
(4星)	 差不多就是这样子，再拍好也不会好到哪去，但是想变次就容易很多。            
(4星)	 棒            
(4星)	 那时候非常喜欢            
(4星)	 路见不平一声吼，该出手时就出手，刘欢的歌，最深的记忆。。。            
(4星)	 总共五十多集，潘金莲就占了将近十集……            
(5星)	 拍得不错，光是108将的人物塑造就很下功夫            
(5星)	 绝对经典            
(3星)	 宋朝古惑仔真的潇洒啊！喜欢几个精彩的武松，林冲！！呵呵            
(4星)	 宋江.....林冲..林娘子..  武大武二...潘金莲..西门庆........高俅...            
(3星)	 我应该知道什么叫改编，错只错在我念念不忘有水浒传这么一本书。            
(NA)	 四大名著 谁没看过？            
(3星)	 不喜欢            
(4星)	 这片子让我彻底厌恶李雪健            
(3星)	 太慢了            
(2星)	 主要是我不喜欢水浒这本书            
(NA)	 ~            
(4星)	 该出手时就出手，风风火火闯九州！            
(5星)	 召什么安啊~真窝囊            
(5星)	 宋江你屁股翘得真高。            
(3星)	 就记得潘金莲那段好看            
(5星)	 喜欢鲁达，林冲，武松。。  宋江那废物害了整个梁山兄弟啊。            
(5星)	 最喜欢的还是林冲。现在看里面的明星还真不少，女的就有何晴王思懿牛莉。燕青鲁智深武松阮小七李逵……都是一群真男子！            
(4星)	 最喜欢潘金莲那一段..            
(3星)	 喜欢李师师，喜欢何晴            
(5星)	 当时把潘金莲那段当黄的看。。。            
(5星)	 小学时很看重里面的兄弟情谊...            
(4星)	 短期内应该不会重拍了吧~            
(3星)	 弟弟说不好看            
(4星)	 别再重拍了......看看新版红楼梦啊，那简直是噩梦            
(3星)	 改编得比较尊重原著            
(3星)	 不知为什么，只要我看播的都是武大郎那几集            
(3星)	 感觉一般的说            
(NA)	 打啊河(甩)向咚流挖 填上地星星参北诶斗挖~呼嘿呼嘿参北诶抖挖~            
(3星)	 电视剧拍的不行~~            
(5星)	 改动大了些            
(3星)	 改编的很一般            
(5星)	 啥时候翻版呢 期待            
(5星)	 两个字，纠结            
(5星)	 只看这版的            
(2星)	 宋江是个disaster            
(5星)	 非常喜欢的版本，而且还有不少帅哥……            
(3星)	 家庭电视剧场~            
(5星)	 从中学到了很多智慧            
(4星)	 擦，就爱看这个            
(1星)	 一帮垃圾，把这么好的一部连续剧拍的这么恶心！！！            
(4星)	 难忘豹子头林冲            
(NA)	 嗯...            
(3星)	 可以一看            
(3星)	 7.0            
(4星)	 拍得不错，就是宋江演得让我不满，太窝囊，哪里像英雄；相反，新水浒除了宋江比过去强，其他都不如过去            
(4星)	 古惑仔们的理想与青春（？）            
(4星)	 也是跟着爷爷一起看的，当时一边看爷爷还给我解释人物背景啥的了，不过这一部男人戏，实在喜欢不上来，不过剧中出现的人肉馅儿包子，好像还是吓到了年幼的我。            
(NA)	 燕青            
(3星)	 相比西游记，红楼梦，三国都有自己的经典来说，水浒还没有一部完全让我觉得堪称经典的剧集            
(4星)	 宋江要不是李雪健演的就五星了！            
(3星)	 刚上映的时候看过。越看到最后感觉越窝囊，到最后得出结论：朝廷不靠谱，还是个人英雄主义能救自己。            
(5星)	 小时候很长一段时间一直认为水浒传的第一男主角是武松            
(5星)	 其实选角很完美。            
(4星)	 林教头特别帅-0-            
(5星)	 路见不平一声吼啊            
(4星)	 心中一直抹不去武松把潘金莲和西门亲头割下的阴影！            
(3星)	 看过。但是对经典文学作品，我，还是缺乏了解~            
(4星)	 这个宋江太写实了，让人看得手痒想揍他            
(4星)	 小学时的记忆            
(4星)	 还是喜欢这个版本的水浒            
(5星)	 记忆犹新的是武松潘金莲的段子，哈哈            
(NA)	 我看过的是这版！            
(5星)	 我永远爱林冲            
(3星)	 宋江太面吴用太老            
(4星)	 很正剧            
(5星)	 经典            
(5星)	 有几个角色，刻画的非常到位，也非常喜欢            
(5星)	None
(NA)	 好多年了啊。。。表示。。。嗯。。我只记得宋江跪下时候那个翘屁股了。。。。            
(NA)	 。。。。。。。。。            
(NA)	 读原著吧，做出自己的评判            
(5星)	 经典~~~！！！！！！！！！！！            
(5星)	 只看过这个版本            
(5星)	 四大名著，出电视剧版本最晚的一部            
(4星)	None
(5星)	 宋江就是一渣渣。。。            
(3星)	 李雪健的宋江，额的神！！！            
(5星)	 我讨厌宋江！！！！！！！！！！！！！1            
(5星)	 央视投拍的四大名著电视剧 不是一般的二流剧组随便拉些投资翻拍的版本能比得了的 演员人家找的是最贴近角色的 角色设计人家找的是戴敦邦 音乐人家找的是赵季平 武指人家是袁和平....... 经典就是至少未来十年不会有任何形式的翻拍能超过这个版本             
(1星)	 还是旧文化人的思想            
(4星)	 李雪健老师的宋江才是经典啊！！！！！            
(5星)	None
(5星)	 大爱豹子头林冲，宋江太软弱了。。不过李雪健也是老戏骨            
(4星)	 武松打虎一星，花和尚一星，主题曲一星，施耐庵一星。            
(4星)	 比新的好多了            
(4星)	 那个时候还不知道是四大名著，那时候还当动作片看了，那时候还挺喜欢武松的            
(4星)	 那时片头都不敢看 闪电吓人            
(5星)	 All men are brothers.            
(3星)	 宋雅思太猥琐了吧。。            
(NA)	 当年太火了，街头巷尾都在看。。。省得看原著了。            
(4星)	 ...            
(5星)	 李雪健的扮演的宋江 小碎步 真不愧是老戏骨哟            
(4星)	 主题曲应景。金莲妹子真风情！            
(3星)	 从来就不是我的菜 额            
(4星)	 记得小时候林冲死了以后哭了好久········             
(5星)	 大陆难得的经典。无可挑剔。            
(5星)	 结局改动很大            
