http://movie.douban.com/subject/3285411/	波士顿法律  第三季 Boston Legal (Season 3)
(5星)	 前五季是在2年前看完的，最近连续看了【Suits】【the good wife】让我分外怀念那两个又老又胖的男人，于是重温第四季，那熟悉的音乐，熟悉的黄色笑话，熟悉的每个案件的closing，熟悉的2人的阳台谈话。每个案件的逻辑都值得我们一学再学，而它依然是所有法律剧的经典，无人超越。            
(5星)	 最好看的律政剧，没有之一。为毛停了！为毛停了！为毛停了！            
(5星)	 用了两季的时间都喜欢不来Deniae，但喜欢他绝症男友。生孩子那集Brad很戳hhp            
(5星)	 爱死男主角了.至今最后2集没舍得看捏.想念你们喔.            
(4星)	 胖老头这一季完全打酱油了，那叫一个乱啊            
(5星)	 终于开始有一丁点腻了....            
(5星)	 a good view of american value            
(5星)	 神片            
(5星)	 变装黑人出场            
(5星)	 三季弱了。            
(5星)	 Denny Crane！            
(4星)	 有这么个地方 人们虽然爱自己的国家 却不停的告政府。神奇的是 政府不停的败诉。            
(NA)	 24集            
(5星)	 TOP 3            
(5星)	 ···大一连着看七季··经典中的经典  ~· 每个法学院的学生都值得一看            
(4星)	 不如第一季，拖沓。            
(3星)	 重复了。            
(5星)	 这种片子不要盯着看，时不时看看，很有爱~            
(5星)	 要明白好多东西            
(5星)	 1.这对活宝怎么看都不厌！2.每次看刑事案总觉得最蛋痛的是陪审团，到底是谁杀的呢？是他吗？真的是他吗？就算判了以后回家也恐怕睡不好觉。3.判了无罪大家一团欢喜的时候最害怕看到的是被告露出了阴险的神情，尼玛立刻变身惊悚片啊！            
(5星)	 bang~bang~bang~bang~bang~bang~bang~            
(5星)	 太优秀了！！！            
(5星)	 保持水准，两个大男人太暧昧了            
(5星)	 喜欢食人和scientology的案子。            
(5星)	 虽说他们为有钱人申辩，但是有时真的是关乎人性，并不牵强。。。            
(5星)	 Denny Crane强势&#34;回归&#34;，Alan Shore继续他的超长的结案陈词，而且这俩人越来越有基情。Jerry和Clarence开始充当&#34;调味品&#34;。            
(5星)	 denny crane            
(4星)	 看过近距离看美国之后就理解深刻多了。。= =            
(4星)	 喜剧元素更多，D与A之间的友谊更加让人珍惜宝贵。谋杀，家庭纠纷，财产争夺，越来越多现代元素！14集很有趣，Denise怀孕，Coho的挣扎，那个让人忘记痛苦事件的药丸~ 18集的炸弹和自组复仇事件~ Jerry的回归让我看到了他的感性和思想成熟~ D与A的友谊长存！！            
(5星)	 十八集最好了。            
(5星)	 不喜欢Denny，两个巴斯光年很欢乐的            
(3星)	 关于法律界疯子的故事            
(5星)	 赞就一个字            
(3星)	 结果里面最喜欢的人死了，C&#39;est La Vie  Daniel Post            
(5星)	 经典            
(4星)	 第三季猎奇色彩就重了很多，感情戏也成了卖点了，法庭场景不再变的吸引人。            
(5星)	 居然还可以更好看            
(NA)	 (⊙o⊙)…  我喜欢这部剧，但是我讨厌喜欢这部剧的人，当然除了我自己！            
(5星)	 经典，最爱。            
(5星)	 最喜欢得律政剧            
(5星)	 向第四季进发。            
(4星)	 有点扯啊……不如第一季            
(5星)	 墨西哥小乐队那段令人潸然泪下。            
(5星)	 就是喜欢，没办法            
(5星)	 小色鬼和老色鬼的好笑又好叼的律师生活。            
(5星)	 案情更精彩，台词更出色            
(5星)	 越来越爱alan shore            
(4星)	 没有tara了！            
(5星)	 Jeffrey Coho走的时候着实伤感了一把 巴斯光年 拯救宇宙            
(5星)	 唯一一部我追着看的美剧 享受语速的快感 智慧的碰撞            
(5星)	 很多地方值得学习，特别是后面的结案乘此和俩人在阳台上的对话            
(5星)	 极其给力            
(5星)	 3.4季除了主角之外的人物开始变得鲜活了            
(5星)	 喜欢看法庭的辩论，总会有新奇的年头出现的alan，还有甚至让人已经觉得只有一句台词的danny 也会有闪亮的时候。最让人深刻的是alan不断的维护着自己心中的公平和公正。哪怕对手是自己的曾经的恋人，现在的故交。            
(5星)	 依然大爱alan shore            
(5星)	 神剧没什好说的            
(5星)	 其实我很喜欢COHO...还有他辩护的那个母子恋...还有那个bloody bride...            
(5星)	 既可娱乐 又可扫盲            
(NA)	 开始暧昧的一部，让美女神马都成浮云            
(5星)	 感觉第三季最给力啦            
(5星)	 alan  shore            
(5星)	 已经有清楚的定位了，hands的戏份也多起来了，越来越好看了            
(5星)	 开基了！            
(5星)	 喜欢 Denise 干嘛去生产啊 = = ！故事就这样没了。还是演员没有档期了。            
(4星)	 死活不可能喜欢Alan Shore和Denny Crane            
(5星)	 真的很不错~            
(4星)	 被其中的男女关系搞烦了。            
(3星)	 这一季比起前两季少了很多趣味性，看得有些疲乏~看到18集，不想继续下去了。            
(4星)	 几次危机不错。            
(5星)	 非常喜欢！            
(5星)	 最爱的电视剧            
(5星)	 brad 和denise终成眷属，一起告别~~            
(5星)	 OO，ALAN SHORE            
(5星)	 Jeffrey Coho走的时候着实伤感了一把 巴斯光年 拯救宇宙            
(5星)	 梦想做一个像Alan的律师~            
(5星)	 看看人家国家的法制~~            
(5星)	 看了前7集，下不到……还剩最后两集了……假装看完了            
(4星)	 在这里，似乎任何都可以起诉。我在想，这是自由赋予我们的美好愿景还是美国最潜移默化的国家宣传？            
(5星)	 很多精彩的陈辞！            
(4星)	 好吧 我又喜欢上Dennis            
(5星)	 又一神作！To flamingos!            
(4星)	 水准稍有下降。            
(5星)	 Allen Shore 还是一枝花。。。Allen Shore叫我如何不爱你。。。            
(5星)	 so many controversial issues~            
(5星)	 这个剧集教导我们说，女人真的可以拥有超越时间和外貌的魅力，就像那只永恒的女王蜂            
(5星)	 经典            
(NA)	 开始水            
(5星)	 大爱CLAIRE姐姐~            
(5星)	 经典            
(5星)	 你在我的阳台上永远不会孤独！            
(5星)	 Dear Alan            
(5星)	 最精彩的一季。            
(5星)	 just getting better and better            
(4星)	 新来的两位attorney很喜欢～Brad和Denise终于结婚了，撒花～～            
(5星)	 经典～            
(5星)	 法律剧NO.1            
(5星)	 Alan Shore!            
(3星)	 只有第一第二季算得上经典            
(4星)	 很好看，发觉这一季还是主线剧情很喜欢，语言很好            
(5星)	 看到最后，这还真是BL啊——给我什么我都不换，只要你在我身边，和你一起在阳台上分享我们的软弱。这是个tough的世界。            
(4星)	 没有了Alan Shore的感情戏，感觉逊色了很多。最后那个“世纪审判”，简直就是编剧脑子进水了——被害人只中了一弹、现场只有一支手枪、没有指纹，检方起诉了兄弟两个。检方连谁是凶手都搞不清楚，就敢起诉？            
(5星)	 一直很喜欢法律的东东。 在一切一切荒唐的举动下发现他们的真性情            
(5星)	 最喜欢的一季。我第一次在美剧里看到了隽永。            
(5星)	 还8错            
(3星)	 You&#39;re never alone on my balcony...-Denny            
(5星)	 老男人是多少姑娘的梦想，何况还是俩            
(4星)	 越来越乏味的阳台            
(5星)	 虽然早就懒得动指头打字了但是为了心爱的alan shore 和他心爱的denny crane以及denny crane心爱的shirely schmit我还是由衷的赞一下            
(NA)	 转向背背            
(5星)	 Kinda of Loving It            
(5星)	 这季竟然前后看了一整年~the rest need to speed up!            
(5星)	 Alan真的很有魅力..            
(3星)	 稀奇古怪的诉讼、不够靓的女律师，审美疲劳了，追不下去了……            
(4星)	 有若干集相当精彩！            
(5星)	 全看过。哎。美剧的很好一点就是结束了也不会觉得伤感。可以接着再看嘛。            
(5星)	 Goodbye,my dear Boston Legal,terrific one!            
(5星)	 最后一集真是精彩！            
(5星)	 经典            
(NA)	 the couple of Brad &amp; Denise            
(NA)	 finished            
(5星)	 fantastic            
(5星)	 最爱的五部美剧之一            
(5星)	 两个巴斯光年            
(NA)	 09 4 30夜            
(5星)	 唤起我当律师的梦想，不过始终只是梦想            
(5星)	 巧舌如簧，嬉笑怒骂间匡扶正义。把酒言欢，人生得一知己足矣。            
(5星)	 AlaN!!!            
(5星)	 最爱的            
(5星)	 Brad 和 Coho 的对手戏挺好玩的            
(5星)	 增加了Brad和Dennis的感情线~很喜欢，还有了爱情的结晶呢~~            
(4星)	 前半部分质量下降，最后十集有所回升            
(5星)	 不错，经典。就是人员换的太快了，莫名其妙的来，更是莫名其妙的走。好在主角都在！            
