http://movie.douban.com/subject/1790377/	新娘18岁 낭랑18세
(3星)	 凑合看着~没啥大意思~~李东健那鱼目表情加演技~演啥都一样~            
(2星)	 情況和《放羊的星星》《愛情魔發師》《天國的嫁衣》一樣            
(4星)	 智慧呀            
(4星)	 很搞笑，很温馨            
(4星)	 贞淑和大叔  真的很般配的，太互补了            
(NA)	 他们两个现在分了            
(3星)	 。。            
(4星)	 出师表青年啊啊啊            
(3星)	 韩智慧超级可爱呢!            
(4星)	 很搞笑，我看了两遍            
(4星)	 一颗星星是给李多海减的！            
(5星)	 好像隐约看见了自己结婚后。            
(1星)	 它上映那年我应该就不能接受了，何况现在...            
(3星)	 没有看完……            
(NA)	 这部比较好看，唯一专心看完的韩剧            
(3星)	 先有形式后有爱的韩剧模式            
(3星)	 爱情其实很多时候都是信任和包容吧~两个人一起生活，互相扶持，这才是重要的~            
(5星)	 片首曲很搞笑，布谷鸟的调子，哈哈。智慧是一个简单的女孩，合该遇到一个简单的男生来陪伴一生。感觉非常好。            
(4星)	 可惜分手~            
(5星)	 好看            
(2星)	 女主角怎么会这么丑....            
(NA)	 啊，我爱韩剧。。。            
(2星)	 无语            
(4星)	 在电视上看的中文配音，默许了            
(5星)	 虽然制作不是很惊喜。但是处处有剧情。            
(3星)	 前半部还是很搞笑的。。。。。            
(5星)	 我曾经最迷恋的韩剧，女主背着苹果跑到监察局的搞笑场景我依旧记得，她躺在他脚下的地板上熟睡的像个婴儿般的场景我记得，她因为寂寞在舞厅里狂舞的场景，她坐在床上看着他从怀里拿出热烘烘的红薯而热泪盈眶的场景，她抱成一团在电影院外面一直等他的场景，她和他到旅馆里看到他眼放佛有血红狮子。。。            
(3星)	 大叔            
(3星)	 没感觉            
(4星)	 这个也还不错 当时学校图书馆看得 卡都卡死了 所以记忆犹新            
(NA)	 喜欢这样的爱情，没有猜忌，没有遮掩，多好。            
(4星)	 尽管很扯            
(4星)	 很好玩，韩剧真的可以用来“消磨浪费”时间啊。            
(NA)	 很好玩的，检察官是一个很正义也很木讷的人            
(NA)	 不如电影            
(4星)	 男主角不太帅，女主角不太漂亮，但是看的时候让我很开心。。。            
(4星)	 韩智慧挺可爱的            
(3星)	 一个不谙世事的孩子，还有一个正直的检察官。这是个关于朗朗和检察官的故事。            
(NA)	 可惜一对璧人，现实中却分手咯。            
(3星)	 不喜欢那个女的            
(NA)	 这部跟最近的《不良少妇》没差多少野。            
(3星)	 不堪回首的迷途小羔羊时期            
(5星)	 啊~~发现又一大帅哥！！！不喜欢最后两集，前面都好搞笑~~~            
(NA)	 真搞笑            
(4星)	 开头很好笑哈～～   最近看了普通话配音的～～～整个人晕撅！            
(3星)	 还不错啊            
(NA)	 这是我第一部喜欢的韩剧            
(3星)	 超级讨厌韩智慧 ，所以这个片子也不好看了！            
(3星)	 新娘是个太丑的小丫头喜欢男生因为他会背出师表。            
(3星)	  韩智慧             
(5星)	 大叔~            
(5星)	 百看不厌！            
(NA)	 李东健 新娘18岁 韩剧             
(NA)	 韩姑娘不是一般的可爱哦            
(3星)	 很久以前看的~            
(3星)	 最近无聊解闷            
(NA)	 热爱韩剧的时候看的            
(NA)	 好看呢            
(NA)	 没啥感觉！不喜欢这里的李多海            
(3星)	 高三 星空卫视            
(4星)	 可看            
(NA)	 不错...            
(3星)	 韩智慧 里面的长相实在是...            
(3星)	 一般            
(NA)	 、、、            
(4星)	 笑到脸抽筋            
(4星)	 想起在美然的周末，一起唧唧咕咕~李东健好看~            
(NA)	 喜欢你韩智慧~~呢小太妹            
(3星)	 我妈喜欢            
(2星)	 http://www.imdb.com/title/tt0499174/            
(3星)	 实在有点点幼稚。而且李东健的样子简直太丑了！            
(3星)	 女猪太傻            
(3星)	 没看下去……            
(4星)	 李东健 韩智慧             
(4星)	 呵呵，挺搞笑，挺温馨            
(NA)	 新娘18岁 韩剧             
(4星)	 女主角实在太可爱了。大叔也很不错，有一颗包容的心，默默的爱恋。            
(3星)	 傻妞18岁！            
(3星)	 满轻松的。            
(5星)	 就是喜欢韩智慧。            
(3星)	 韩剧少看点。            
(3星)	 韩智慧 李东健            
(3星)	 我喜欢里面的李多海……            
(4星)	 蛮搞笑的             
(5星)	 超级好看耶！爷爷那个角色演得好好哦！            
(5星)	 喜欢。。。            
(3星)	 搞笑,搞搞笑.            
(4星)	 我也喜欢大叔！            
(3星)	 为啥最后要让“嘿了莫尼”死？喜剧就不要和悲剧混在一起嘛。            
(5星)	 定情见证居然是《出师表》。。。。。。            
(3星)	 相配的一对璧人，可惜分手了~            
(4星)	 真希望他们能够复合，两人一起的时候看着多幸福啊            
(3星)	 有点搞笑。            
(3星)	 挺可爱饿女主角            
(NA)	 新娘18岁            
(4星)	 虽然男女主角都长的不咋样，不过还是可以看看的。            
(3星)	 是因为李东健才看的            
(4星)	 不错的剧情，就是女主角我不太喜欢，又傻又闹心。            
(4星)	 搞笑            
(NA)	 韩智慧演戏好夸张不好看            
(3星)	 有点无厘头，只看了一半！            
(4星)	 出师表！哈 不知道他们理不理解~            
(5星)	 一见钟情到相濡以沫。            
(3星)	 反正就是笑~没什么特别的~            
(3星)	 差异是可以用爱情弥补的。            
(3星)	 新娘18岁            
(4星)	 开头的部分我真的笑死了……            
(4星)	 看过了浪漫满屋、豪杰春香后，这样的剧情不觉新鲜了            
(NA)	 纯纯的爱！            
(5星)	 喜欢韩智慧 可爱死了            
(NA)	 这样的男人很好，相遇的几率也很小。慈祥的爷爷让人难以忘怀。“要保有真心并坚守真心我所能给的也只是真心而已”            
(NA)	 不是叫新娘18岁嘛，促成一对佳偶啊            
(4星)	 随着这部电视剧，刮起了一股１８岁热潮，大叔模式开始流行，看着他们还是很甜蜜的            
(5星)	 配角的演出也不容小觑。。。            
(NA)	 大叔            
(NA)	 18岁就结婚，韩国真够开放！还是结婚后的爱情，先结婚后恋爱，找到真正的爱情喽！            
(5星)	 呵呵，真的很好看            
(NA)	 不错            
(4星)	 太乐了            
(3星)	 一开始感觉挺新鲜的，不过看了7，8集就落入俗套了，又是那些老套的剧情。但是还是坚持看完了，因为不看更无聊，后边几集都是跳着看的。            
(5星)	 在最沮丧的时候看了这部片子,超级搞笑            
(5星)	 很好看！            
(3星)	 在我媽瘋狂的愛上韓劇的時候..我陪她看了不少嘛..            
(3星)	 温馨感人．            
(3星)	 电视台播,无聊就看.断断续续的就看完了.            
(5星)	 可爱的剧剧啊            
(NA)	 俺的2006年司法考试精神伴侣。很是可爱！            
(5星)	 笑起来像金在元，严肃时像裴勇俊，帅气的李东健和可爱的韩智慧，祝他们幸福哦··            
(4星)	 中央八套，电视剧频道—妈妈的最爱            
(NA)	 韩国叫东健的男人很不错~~呵呵，剧情挺俗套的！！             
(3星)	 还是电影版的好看.            
(NA)	 李东健            
(NA)	 也就是无聊的时候看看的东西            
(5星)	 大爱！最喜欢的韩剧了~            
(NA)	 差~~~~            
(3星)	 一口气看完的，觉得他们好幸福            
(4星)	 好喜欢韩国的传统。            
(5星)	 比较喜欢的一部韩剧。同时也非常喜欢剧中的女主角！            
(2星)	 太做作了,丑女作怪？            
(5星)	 看2遍了,全家都爱看            
(3星)	 还满好玩的吧~            
(3星)	 在韩智慧的大饼脸上寻找些许趣味。            
(NA)	 很搞的片子，但不喜欢这样的长像，假            
(NA)	 很搞笑的片            
(NA)	 那个5堂叔超Q~~~最近好像只有看这个的时候，才会笑得肆无忌惮~~~跟着故事走，别的啥都不想            
(5星)	 新娘18岁            
(5星)	 yijingshoucang             
(4星)	 轻松时刻            
(3星)	 看一对情侣演情侣            
(4星)	 最伟大的志向就是要嫁给你！            
(4星)	 挺可爱的            
(3星)	 主角不错            
(3星)	 完全是冲着DongGun哥哥去的，还好算是不负众望。  *我那会儿还真是喜欢李东健。*            
(4星)	 18岁的梦，只有在韩剧中实现，蓦然回首，离那个日子已经遥远            
(NA)	 女高中生的婚姻            
(5星)	 这部韩剧,我最喜欢!!轻松而且感情至美            
(3星)	 只看过一点            
(4星)	 一股风潮            
(3星)	 老牛吃嫩草            
(5星)	 越回味越觉好看的电影。            
(4星)	 女主角虽然不漂亮但表情很可爱            
(5星)	 看后心情大好            
(4星)	 爱情是后天生长出的一颗痣            
(4星)	 男女主角还是很配的，可惜了            
(4星)	 老刘推荐            
(4星)	 天啊，简直是电视剧刷平版            
(3星)	 还行。。。挺搞笑的。。虽然个人觉得女猪脚长得一般了点。。            
(3星)	 以前电视上老放，男女主假戏真做最后又分道扬镳真是可惜了。。。            
(5星)	 劳资最爱的韩剧啊啊啊啊            
(3星)	 又是被各家卫视连番轰炸过的片。            
(NA)	 我表示韩智慧眼睛实在太小，一开始因为这部片子讨厌李多海，后来MY GIRL才改观            
(3星)	 我是冲着男女猪脚因为这部戏在一起才看的，可惜我还没看完，就得知他们分手了，然后女的真的嫁了个检察官            
(4星)	 李东健、韩智慧定情之作。可惜两人后来分手了。            
(3星)	 韩智慧那样的可爱，至少这个时期还没有整容，多么有识别力的一张脸孔，可爱的女孩。这样是不是又让很多的女孩子开始梦想了呢？            
(3星)	 傻傻的新娘十八岁哟嘿            
(4星)	 有趣轻松搞笑            
(4星)	 真的是，当年很喜欢。            
(3星)	 蛮可爱的            
(4星)	 大叔~~大叔~~~~~当然女主= =~~依旧很有爱~~            
(3星)	 看来看去男女猪脚的互识就那模式，假妹妹或假夫妻            
(3星)	 韩智慧好，李东健更好！但是用这个剧本把两人凑一块，好吗?            
(4星)	 李东健很帅气，喜欢贞淑背《出师表》的样子            
(4星)	 萌男主。粉可愛。可惜倆人已分手多年。            
(NA)	 我当时迷死里面的大叔了~~            
(4星)	 可爱的韩智慧~好身材~！            
(5星)	 啊啊啊啊啊啊啊啊我很喜欢看这个！！！大叔真的很帅啊！！！！            
(3星)	 当时只是很羡慕他们结婚好早的            
(4星)	 女主走狗屎运了...            
(NA)	 据说他们分手了..........&gt;&lt;我总觉得韩剧没什么要评论的...            
(5星)	 韩智慧虽说不算漂亮 但是人很可爱 话说开着不有心动的感觉 但至今不能理解的是 他俩分手了            
(4星)	 后来，我开始喜欢女主角了。            
(NA)	 只是看过。围观女主和男主的眼睛            
(3星)	 == 没什么印象啊            
(5星)	 当时看觉得很不错滴说            
(2星)	 真心一般啊。。            
(5星)	 很搞笑~~~            
(5星)	 想当年俺可看了好多韩剧            
(3星)	 郁闷的大叔型。。。。。            
(3星)	 好喜欢那时的韩智慧            
(4星)	 看过的仅有的几部韩剧。。            
(4星)	 韩国的女孩纸为什么皮肤都呢么好类            
(3星)	 太弱了            
(4星)	 老少配            
(4星)	 搞笑还是搞笑~~~            
(4星)	 还行吧……里面的李多海是我后来再次看的时候才认出来的……            
(4星)	 年龄差永远是个好题材啊            
(4星)	 李东健好帅的！            
(3星)	 好像这戏就记住了李东健，女主一个典型的现代版灰姑娘，开始真不能接受这样的长相当女主，那时候很迷张娜拉，想着让张娜拉来演多好啊~~~看到最后还算能接受了。            
(4星)	 還蠻搞笑有趣的，喜歡女主的性格。            
(4星)	 喜欢他们每次回老家的感觉            
(3星)	 我爸比我还早看过、！觉得好神奇！            
(3星)	 木有支持我看到最后的韩剧都不能打4星。            
(NA)	 麻麻很喜欢就拉着我一起看。从这部剧开始控大叔。            
(4星)	 初中看的，当时很喜欢。            
(5星)	 看过的唯一韩剧。挺喜欢的。            
(3星)	 觉得韩智慧一点也不漂亮            
(3星)	 韩国人是真的很爱这样的类型 小小新娘 这个剧制作的很精良 从音乐到剧情到两人的感情脉络 给人感觉很真实很细腻 有的时候会让我觉得 有个大叔真的很好 而爷爷也是其中很出彩的一笔 看到爷爷去世的那里 眼泪都掉下来了 感觉这部戏比起爱情 讨论的更是婚姻与家庭 丈夫和妻子在家庭中的责任            
(4星)	 其中一部经典片            
(3星)	 = =  男女主角全在我的审美之外可是我竟然神奇的看完了            
(5星)	 女主角长得不好看的 但是一点也没有距离感 好可爱啊 笑起来很阳光啊 大叔也很帅啊            
(5星)	 很可爱的大叔与少女的爱情故事。            
(4星)	 韩智慧太可爱了            
(3星)	 真的好喜欢这里的李东健，他不留胡子穿正装超级帅的XD~~~可是现在我不喜欢女主角了= =            
(NA)	 小小新娘..大叔哇大叔..            
(2星)	 谁说好看死的！！！            
(3星)	 大叔和智慧的定情之作？            
(4星)	 我还挺喜欢韩智慧的。不是大众定义中的美女。仍然很耐看啊。            
(3星)	 韩剧观看记录= =5            
(3星)	 女主的那个单眼皮，纯单的啊~话说，她们都不用工作。            
(5星)	 我的权检察官            
(4星)	 曾经经典的情侣……            
(4星)	 7.8 上大学的时候在江西卫视看的            
(5星)	 太欢乐了这个！！            
(3星)	 超级一般的韩剧...            
(4星)	 跟我妈一起看的。。。            
(4星)	 少女时代的玛丽苏            
(4星)	None
(3星)	 亲爱的贞淑 哈哈 这个片子很有爱            
(5星)	 曾经最喜欢的韩剧，很搞笑，很羡慕那个女主角            
(3星)	 我家有碟子= =            
(NA)	 只看了一丁点，不能说看了            
(NA)	 谁还没看过个韩剧了？            
(4星)	 怎么说呢，有个转折。到底是注定的还是善变呢？起初对这部傻瓜剧是嗤之以鼻，谁叫电视台频繁的放，只是几分钟的停留我却喜欢上了这个简单可爱的单眼皮女生，我觉得这似乎就是她自己。            
(4星)	 韩智慧的包子脸很好看  李东健的大叔很魅力            
(4星)	 两个检察官都挺帅的。没想到诸葛亮的《出师表》在韩国这么著名。            
(3星)	 无感            
(4星)	 后来被模仿了无数次            
(3星)	 记得那个红绿灯变成粉红爱心滴画面~            
(NA)	 新娘太小了，什么都不懂。。所以才有意思。哈哈            
(5星)	 这部这么好看，怎么这么低分！            
(4星)	 娃娃脸            
(4星)	 曾经挚爱~            
(4星)	 可惜俩人分手了            
(3星)	 不带脑子看。。            
(3星)	 好吧   既然看過就收了吧。。            
(3星)	 围观李多海            
(4星)	 当年的李东健和韩智慧多配呀～～李多海虽然在其中饰演坏女二号角色，但她却给我眼前一亮的感觉，还是以前漂亮。            
(NA)	 李东健太帅了。女猪脚我讨厌你！            
(5星)	 那时候最搞笑的一部啊            
(3星)	 最后他们真的在一起了。。。。            
(3星)	 李东健很忧郁，蛮有气质，女主角好丑            
(3星)	 一直以为标过这部呢。不管了，再怎么说这两主角的身份年纪相处起来还是会有代沟的吧。PS ：看完《我的女孩》后再次看这部才发现这里面的坏女人是李多海演的            
(NA)	 如果你把所有自己喜欢看的都看完了，可以用这个消遣一下            
(3星)	 又一个亲爱的大叔！            
(NA)	 轻松 好看             
(3星)	 喜欢不是传统美女的韩智慧            
(3星)	 当时看完好希望他们能真得在一起，但又说不出喜欢哪里            
(5星)	 我们小时候都幻想过嫁给一个英俊的男人，他做着为民除害的正义工作，拥有温柔的笑容。            
(2星)	 題材不錯            
(4星)	 跟着老妈一起看            
(4星)	 嘿嘿 当年看着还挺搞笑            
(5星)	 轻松搞笑            
(NA)	 初中生啊 我当时只是 初中生……            
(4星)	 老妈的最爱            
(4星)	 好登对的一对情侣！家里有个小姑娘闹腾闹腾也不错嘛            
(3星)	 笑.            
(4星)	 看到男主背出师表表示很惊讶。            
(3星)	 给韩智慧            
(4星)	 非常轻松的喜剧~白云姐的爱好~像她这么挑剔的人都喜欢我就多赘述了~            
(4星)	 因為李東健 所以喜歡 嘿嘿~            
(3星)	 分手的情侣            
(4星)	 大叔~贞淑~            
(5星)	 不错啊~~~~~            
(3星)	 初中时跟阿嬷一起看的..= =            
(2星)	 看过            
(4星)	 哈哈哈。            
(5星)	 很有爱的片片            
(NA)	 大叔这一概念从这里萌生的            
(5星)	 源于带颜色的小说            
(4星)	 可爱的女主            
(4星)	 还是她演的比较自然，不过韩国也有包办婚姻啊？！！            
(3星)	 搞            
(4星)	 很喜欢这一对呢，但是跟看剧一样，明星的恋情都不过二十集            
(4星)	 小女生和大叔            
(4星)	 陪老妈看的。。。            
(5星)	  特别可爱特别喜欢的一部韩剧了。就是喜欢这种男女主人公现在一起后培养感情的了，而且重点是配角一点儿不会激起我的同情心。            
(3星)	 一般，妈妈爱看，我不喜欢            
