http://movie.douban.com/subject/2301032/	射雕英雄传 射鵰英雄傳
(NA)	 其实一直觉得这对的郭靖黄蓉最传神，这是不是说明我比较年轻= =            
(5星)	 朱茵 朱茵。。。            
(5星)	 這是我摯愛的版本~張智霖同埋朱茵~至有愛            
(4星)	 稀饭朱茵(*￣▽￣)y            
(NA)	 当时很迷恋，2011年重温感觉剧情台词逻辑漏洞百出不符逻辑。因此此片定为烂片            
(4星)	 最喜欢的射雕就是这部。喜欢朱茵            
(4星)	 这个版本最好看            
(5星)	 小时候看着这个长大的，印象超级深刻，尤其是对朱茵的印象，真的很漂亮！            
(4星)	 朱茵版的俏黄蓉～            
(5星)	 张智霖和朱茵~~大爱呀~~~            
(5星)	 哈哈这是小时候看的觉得这一版最经典~            
(5星)	 朱茵版的黄蓉在我的心中无可取代啊            
(4星)	 朱茵好美，很有黄蓉的范儿。张智霖也很郭靖            
(5星)	 最喜欢的武侠剧。            
(NA)	 其實挺喜歡這一版的            
(4星)	 比较喜欢朱茵这个版本            
(5星)	 我觉得这版射雕最好。            
(4星)	 ！！！最喜欢。            
(5星)	None
(4星)	 看着这一张张熟悉的脸 真好            
(NA)	 朱茵版的黄蓉不错的，张智霖也很好            
(4星)	 朱茵朱茵朱茵。            
(4星)	 就是那个时候没事做我熟得可以背得出九阴真经里面的梵语，嚓加吒剥巴……            
(4星)	 朱茵美死啦~~~！！！！【林依晨啊。。。。。乃真不适合黄蓉            
(5星)	 当年的朱茵好灵            
(5星)	 这是我最喜欢的一版射雕，超级喜欢朱茵的黄蓉和张智霖饰演的呆呆傻傻的郭靖。看导演名有点眼熟，一查才知道他也是巾帼枭雄之义海豪情的导演，他的作品真不错！            
(5星)	 为着这一版的蓉儿，我才耐着性子去看神雕。。。虽然我十分非常接受不了中年郭靖夫妇，更接受不了他们的孩子徒弟们。。可是想想这么灵气的蓉儿还是想看她继续出现TT。说来金庸其实对蓉儿后半生实在太不厚道了ORZ。。。            
(5星)	 还是喜欢老顽童~            
(4星)	 原来看我过这么多电视剧            
(5星)	 朱茵什么的最好了~            
(NA)	 丑的那叫一个惊天地 .            
(5星)	 94版的对我来说才是最经典的。            
(4星)	 这叫一个经典。            
(4星)	 朱茵也算是繼翁美玲以後又一個適合演黃蓉的美女 那份靈氣調皮真的很適合她當時的青春美麗            
(5星)	 当年的朱茵真是此剧的一抹亮色 只可惜岁月催人老啊~            
(5星)	 我最爱朱茵版黄蓉！            
(5星)	 只想说，太喜欢朱茵演的黄蓉......            
(4星)	 经典朱茵永远是我心中最美的那个蓉儿            
(4星)	 靖哥哥~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~啊啊啊~~~~~~~~~~~~~可爱得不行啊~~~~~~~~~~~~~~            
(4星)	 我小时候也是个电视剧迷啊有木有。            
(5星)	 best            
(5星)	 靖哥哥！！            
(NA)	 朱茵版翁美玲版看的我都分不清了。。            
(5星)	 怀念！这版的黄蓉、郭靖、洪七公、东邪，都是最爱！            
(4星)	 还是喜欢这个版本~~~            
(5星)	 大爱这对荧幕情侣，活脱脱的靖哥哥和蓉儿            
(4星)	 挺好看~            
(5星)	 最爱的一版！最美朱茵！！！            
(4星)	 这版也挺好的其实。:-D            
(5星)	 最爱这版~            
(4星)	 朱茵漂亮            
(5星)	 比83强百倍，武术设计简直完美            
(5星)	 补过童年            
(5星)	 这也是我最爱的一版射雕啦，真对不起83版的，试着看过，实在看不下去啊。包惜弱也长得很漂亮啊~            
(4星)	 张智霖+朱茵，怎么能不爱。            
(4星)	 朱茵把黄蓉演活了，深入我心呐            
(5星)	 表示最喜欢的一版            
(5星)	 和妈妈一起            
(NA)	 最中意的一版            
(5星)	 最经典的一部，朱茵姐姐好漂亮哦            
(4星)	 那帮人演什么像什么...            
(NA)	 0000            
(5星)	 最喜欢的一版射雕~            
(4星)	 朱茵真的很美，一颦一笑都很动人            
(5星)	 我个人觉得最棒的一版。。。没看过黄日华的。。。            
(5星)	 我最喜欢的一版吧            
(5星)	 这个最经典了！！            
(5星)	 都说83版的经典 可是我最爱看这一版 张智霖真的看的很舒服  朱茵也把蓉儿的娇俏演的很可信            
(NA)	 心中的经典，83是他们的美好回忆，94是我们的            
(5星)	 虽然个别配角给人有所遗憾，但此版郭黄可称之为绝配            
(5星)	 只有朱茵版体现了黄蓉的美貌！            
(4星)	 射雕里的坏人都喜欢欺骗他人说你们正在找的人已经被黄药师杀死了：郭靖被黄药师杀死了，江南七怪被黄药师杀死了，周伯通被黄药师杀死了，洪七公被黄药师杀死了...黄爸爸你的槽点真多，所以我喜欢你。            
(NA)	 靖哥哥            
(4星)	 最喜欢这个黄蓉~虽然也很喜欢胡歌和林依晨，但他演的最好            
(5星)	 哼 这才是真正的黄蓉 女神            
(NA)	 这个组合，嗲啊。张智霖是呆呆小傻瓜，朱茵小巧美丽精灵古怪。            
(5星)	 最好的黄蓉。            
(4星)	 喜欢张智霖跟朱茵这配对。            
(5星)	 最爱这部射雕了，爱里面的黄蓉、郭靖和老顽童，最关键的是能跟神雕连起来，就是穆念慈丑了点。。明天开始看神雕嗷嗷~~            
(4星)	 90后看的经典            
(4星)	 最漂亮的黄蓉了            
(4星)	 两大主角选得这么成功，自然差不到哪去，加上金老爷子的剧情本身就够精彩，又有一般好戏之人充当配角给四星不足为奇啊            
(4星)	 这个版本也是看了好久了呀。。。            
(4星)	 男女主角都很喜欢O(∩_∩)O~~            
(5星)	 朱茵好看啊~~~            
(NA)	 这个虽然没86的射雕好看，但是也是比较经典的一部。            
(NA)	 94版 中规中矩吧            
(5星)	 我最喜欢的一部神雕~大爱朱茵            
(5星)	 83版或许对我们来说，还是久远了一些。这部，是记忆深刻的。喜欢张智霖和朱茵。            
(5星)	 这个版本的射雕英雄传是我认为最经典的。            
(5星)	 朱茵演的黄蓉很活泼可爱。虽然大家都说翁美玲的黄蓉才是最经典。可惜小时候的我只赶上了这个版本            
(5星)	 就算我先入为主，我还是喜欢这个搭配～            
(4星)	 不管是否前有古人，后有来者，我心中的靖哥哥永远是憨厚可爱拥有水一样眼神的张智霖，蓉儿永远是娇俏灵气的朱茵。            
(5星)	 最爱            
(5星)	 說實話我認為這般最好。            
(3星)	 朱茵版的也很不错。            
(5星)	 这个朱茵太美丽            
(4星)	 俏黄蓉朱茵。            
(5星)	 朱茵版的黄蓉！！！！！！！！！！！！！！            
(5星)	 绝对是最好的一版阿！！！！！！！！！！！！！！！！            
(4星)	 我只看过这个版本的 我觉得挺好看的            
(3星)	 终于把射雕看完了，演员演的倒是不错，就是太简陋了。。。我感觉，黄蓉就应该是朱茵演。。。            
(4星)	 相比于83版倾整个TVB所能的投入 94版的投入不多 因为情结和布景没有大进步的原因 这部射雕往往容易被人遗忘 但张朱这对男女主角却再次展现了TVB神乎其神的选角水准            
(NA)	 经典啊            
(4星)	 关宝慧的穆念慈很幻灭呀！            
(5星)	 史上最漂亮的一版黄蓉。            
(5星)	 妈的朱茵太美了            
(4星)	 喜欢这版多过83版~~~            
(5星)	 这么多版本，最爱的就是这个。也是因为这个，爱上张智霖、朱茵。            
(4星)	 朱茵真得美若天仙呀～～            
(5星)	 好喜欢的蓉儿。            
(5星)	 永远的经典            
(3星)	 张智霖可爱的小酒窝            
(4星)	 最爱的是这个版本&gt;&lt;            
(5星)	 最爱            
(5星)	 这是我心中的原著，真的，朱茵张智霖像是书里走出来的一样。。            
(4星)	 其實更喜歡朱茵版的黃蓉，活潑俏麗。            
(5星)	 这版这么久了吗！！！我怎么觉得挺大才看的啊！！！当时真的超爱朱茵            
(5星)	 经典的经典            
(NA)	 朱茵还是很灵的～            
(5星)	  最喜欢这个版本！朱茵好美！            
(4星)	 这个和87版的在我心里并列重要            
(3星)	 郭靖虽然傻傻滴，但是却痴情。            
(4星)	 這個版本的最好看了 靖哥哥            
(5星)	 这是个太过于美好的世界了，好像曾经经历过一样，如果不是，为什么我这么留恋            
(5星)	 朱茵和张智霖都爱，虽然搭在一起不咋地            
(5星)	 我是看着你长大的。            
(5星)	 就是从这开始我爱上了朱茵，朱茵用手捋头发真是娇俏可人无人能敌！这是我最爱的一版射雕！            
(4星)	 我还是最喜欢这个版本的。            
(4星)	 小时候电视上放的时候 觉得朱茵好漂亮啊。张智霖演的也不错 蛮经典的。            
(5星)	 最喜欢这版~            
(4星)	 最喜欢这版射雕~ 张智霖的郭靖真是白面啊，朱茵的黄蓉有时候有点刻意，但是总体很青春~            
(5星)	 我最喜欢的一版射雕，居然是因为喜欢里面的黄老邪和梅超风！！！            
(5星)	 怎么我觉得这个版本才是最好看的啊……            
(3星)	 模仿过重            
(NA)	 一直觉得朱茵的蓉儿不逊于翁美玲的呢~张版靖哥哥天然呆到自然萌嘞XD 极其怨念杨康穆念慈的扮相，罗嘉良当年还是挺帅的好伐怎么古装这么诡异……穆念慈长得还能再难受些么= =            
(3星)	 最喜欢的一版射雕。            
(5星)	 难得看射雕不喜欢康慈喜欢靖蓉，真心喜欢。要是古天乐演杨康就圆满了。            
(5星)	 自认为最好的射雕了~            
(5星)	 看着这版的射雕长大的！在我眼里除了张智霖和朱茵，没有人再适合演这个电视剧了~其实最爱的是黄药师的演员，是一个一直演反派的人，他的脸亦正亦邪！太适合演黄药师……            
(3星)	 朱茵很美。            
(5星)	 童年            
(5星)	 郭靖，黄蓉都演得不错，特别是黄蓉，机灵‘可爱又不失温柔。            
(5星)	 其实这部才是射雕最经典版本，只是生不逢时，播出时83版依然很火            
(4星)	 朱茵很适合黄蓉的的角色            
(4星)	 小时候的经典啊。那时候觉得张智霖太帅了。            
(3星)	 基本上没有什么印象而言            
(4星)	 我比较喜欢这个版本            
(4星)	 朱茵美            
(5星)	 超赞！！永远的张智霖！            
(5星)	 朱茵张智霖演的太好了             
(4星)	None
(4星)	 朱茵真的很适合古装装扮            
(NA)	 有的东西还是要mark一下的。。。朱茵啊！！！            
(5星)	 没看过83版的《射雕》（又或者看过但印象不深），所以这算我的第一部《射雕》。我只觉得很好看、很经典！~            
(4星)	 对于朱茵，怎一个“美”字了得呀。紫霞，你还好么？            
(4星)	 最喜欢的还是这个            
(5星)	 还是喜欢这版的。。            
(5星)	 私以为 这版最好            
(5星)	 最爱这个版本啦~~            
(NA)	 朱茵。            
(4星)	 最爱的还是83的 因为有帅得掉渣的杨康 虽说这里有大仙 但穆念慈杨康不是我心里的那个他们            
(5星)	 一集不落啊！！！            
(4星)	 这版也经典啊             
(4星)	 朱茵美人            
(4星)	 我在重温射雕，我都已经忘记郭靖原来是这么出生的            
(5星)	 我喜欢这部射雕，比任何一部都好。            
(5星)	 射雕 射狮 射虎！！！英雄哥！！！            
(5星)	 这个版本的射雕是印象最深的，朱茵很漂亮            
(4星)	 查良镛            
(5星)	 朱茵 女神！            
(4星)	 最喜欢的一部射雕。            
(4星)	 张智霖的脸 羡慕嫉妒恨            
(NA)	 初中时 我们在桃花岛            
(5星)	 其实我想给六星!超喜欢这版，里面的朱茵美丽聪明俏皮可耐!!            
(3星)	 那会的朱茵好漂亮~~            
(5星)	 朱茵啊，你还能再美一点吗            
(4星)	 黄日华版的没怎么看,不过张智霖版的也是经典.            
(5星)	 我喜欢这个黄蓉            
(4星)	 爱死这一版的张智霖和朱茵~            
(4星)	 看這版長大的= =覺得郭靖黃蓉就是他倆啊!!!! 不過穆念慈怎麼長成那樣........            
(4星)	 最喜欢这版            
(4星)	 朱茵很好看，很爱这版            
(4星)	 还是最喜欢这个版本            
(5星)	 喜欢这个版本呢            
(NA)	 我太喜欢这部了            
(5星)	 最喜欢的版本            
(5星)	 最喜欢这个版本，喜欢朱茵扮演的黄蓉            
(5星)	 朱茵啊 实在是太美了。            
(4星)	 跟83版的比起来，还是最喜欢这一版，其实很多人物都没变，也许先入为主吧             
(4星)	 喜欢朱茵和张智霖，严重讨厌这个黄药师，配不上这个角色            
(3星)	 我！ 的！第!一!部!tvb!            
(5星)	 朱茵演得太好了，张智霖太有感觉！            
(5星)	 朱茵            
(4星)	 83版以后最好的一版射雕，其实我最喜欢朱茵了。我看着长大的，不知道看过多少遍了。            
(2星)	 冲着朱茵看了几集            
(5星)	 儿时的记忆……            
(5星)	 朱茵 唯一的黄蓉！            
(4星)	 我晕，当年跟着这部练过降龙十八掌            
(4星)	 其实这个版本的射雕也不错。            
(4星)	 最喜张智霖和朱茵演的这部            
(5星)	 女神版的黄蓉            
(4星)	 俏黄蓉 . 傻郭靖 ..             
(5星)	 我要再看一遍~~            
(4星)	 我哥很爱看，我就看朱茵很漂亮            
(5星)	 我也没看过传说中最经典的版本 最喜欢这版 朱茵真娇俏 张智霖也好            
(NA)	 张智霖            
(4星)	 小时候朱茵演的黄蓉是我性幻想的对象 为了她给四星            
(4星)	 其实也很不错。朱茵明艳不下翁美玲，但总感觉表演有些程式化，张智霖只表现出一味的戆，没有大巧若拙的感觉。一般港剧粗糙的问题也存在，但还是值得一看的，片头曲的画面和射雕的特写极有塞北雄浑慷慨之义。            
(NA)	 这个组合不喜欢！！！！！！！！            
(4星)	 这个版本的射雕我看全了。郭靖太聪明伤不起啊。            
(5星)	 最爱的射雕，完美的蓉儿            
(NA)	 就是因为这部戏，喜欢张智霖和朱茵喜欢得不得了。心目中的黄蓉，就是这个样子的。            
(5星)	 因为朱茵每个假期都要重温的　其他版本完全看不下去嘛~~            
(4星)	 这是我最喜欢的一个版本～            
(5星)	 经典，人物刻画得当！            
(5星)	 心中的最爱！！            
(5星)	 这是我最喜欢的一部电视剧。我也不知道原因。但是这是我唯一能够看下去的电视剧了。我厌烦看电视剧。            
(5星)	 又是添哥，无比的喜欢。都不能想象没了添哥，我的童年得灰暗成什么样啊？            
(5星)	 好看！！！！！！！！            
(5星)	 最爱这版的黄蓉了~~朱茵~~~            
(5星)	 五星是给大仙和朱茵的，还有那个柯瞎子专业户。            
(3星)	 喜欢杨康的说。。。            
