http://movie.douban.com/subject/2154743/	封神榜
(5星)	 妈呀。。以前被这吓得不行。。。现在再看，觉得很那啥了就~~            
(4星)	 还是主题曲更深入人心吧            
(NA)	 最记得美丽的狐狸精，那时很喜欢模仿那狐媚的表情，然后被母亲严肃批评，从此女人味与罪恶感相连。可是狐狸精很恐怖，记得有一幕把人扔到蛇池子里，是小时候印象深刻的恐怖镜头之一。还记得挖心的情节，恐怖。还记得片尾的曲子好听得不得了，如果有天庭，怕是天庭之乐声。            
(5星)	 全凭当年的感觉 那时候有十岁吗？            
(4星)	 民族的神话            
(5星)	 最喜欢杨戬了            
(NA)	 吓人~            
(3星)	 王后变骷髅那段残害了我幼小的心灵            
(2星)	 N年之后，我再回头看这版，天，那画面效果简直....真不知道当初怎么耐心看完的。是不是自己幼年生活太单调了？            
(4星)	 其实已经几乎不记得内容了，只有一些模糊而零散的片段，当年太小了，看这个的时候还不尽觉得诡异和害怕。            
(4星)	 童年阴影            
(3星)	 可怕啊啊啊 啊 啊啊啊            
(4星)	 我至今都记得里面四大天王有一个的琵琶没撕标签……            
(NA)	 老的一蹋糊涂            
(4星)	 年少时的回忆啊            
(3星)	 内地的电视剧，很多是经典。比如西游记，比如红楼梦，比如封神榜，是无法超越的巅峰。无论是角色剧情，还是人物的造型，现在看来也是丝毫不逊色的。            
(4星)	 哈，小时候经常看            
(3星)	 这个片跟那个白娘子一样，童年总是对妖魔鬼怪特别感兴趣。            
(NA)	 妲己妖得咧~~~太销魂了~~~            
(5星)	 wow            
(4星)	 童年的记忆。            
(4星)	 80            
(3星)	 那个蛇尺子            
(3星)	 还是新的好看 不过我喜欢傅艺伟 嘿嘿            
(2星)	 小时候就不喜欢，造型太扯了            
(3星)	 小时的偶像：杨戬，还有哪咤童鞋            
(5星)	 记忆里面拍得很不错呢~            
(5星)	 好片，但是很少放...            
(NA)	 我喜欢蓝天野爷爷演的姜子牙            
(4星)	 小时候的经典，追着看。虽然现在看来特技很假。再次，主题曲是小学音乐课歌目，但不用教，大家都会唱            
(5星)	 我爱傅同学！！摇旗呐喊ing。。            
(4星)	 原来天上的神仙是这么诞生的。            
(4星)	 傅艺伟很美            
(4星)	 此片相当原始，但那时谁管呀，有的看就不错了。            
(NA)	 看生命化作那朵莲花            
(5星)	 老实说,从此以后觉得妲己和姜子牙就应该是这个样子的~~~            
(2星)	 虽然是童年记忆，依然属于宇宙级囧片            
(2星)	  童年回忆             
(4星)	 哦哦哦哦妲己姐姐～～（/&#39;O&#39;;)/            
(4星)	 那时我还小            
(5星)	 呵呵 那时候看了还会做噩梦呢..妲己很妖艳啊            
(5星)	 经典。            
(3星)	 都要忘记了            
(4星)	 小时候            
(3星)	 外婆家的14寸黑白电视机 木结构的老房子 有点省布料 小时候和《聊斋》让我觉得有点色情            
(3星)	 小时候当恐怖片看的，炮烙、酒池肉林、吃儿子肉包子……一直影响至今，可怕的片子            
(3星)	 以前看过的            
(NA)	 奇怪            
(3星)	 关于道具和舞美，我对这部片的时代背景一直存在疑惑,因为无论就哪个方面看来，都可以接着拍一千零一夜。            
(4星)	 我这标签还做的真绝。小时候最喜欢看的连续剧之一。现在也觉得妲己好漂亮。            
(4星)	 非常出色的一部剧。。。            
(5星)	 哪吒的小短裙太性感了……            
(4星)	 里面的歌好好听啊~~炮烙那里太可怕了，童年的阴影T T            
(5星)	 小时候看简直cult片啊，暗恋杨戬和哪吒嘤嘤嘤嘤！主题曲大爱！            
(4星)	 自己看就发现不了点            
(3星)	 对傅艺伟印象深刻            
(4星)	 愿生命化作那朵莲花            
(5星)	 突然怀旧了。很好看啊很好看！            
(3星)	 现在看来多么俗艳~            
(5星)	 傅艺伟很美的            
(3星)	 我到现在都记得人肉包子那一集 吃的时候眼珠子还掉了出来 而且是亲爹吃儿子的肉做的包子            
(NA)	 小时候觉得妲姬好美啊...            
(NA)	 愿生命化作那朵莲花。            
(4星)	 比干挖眼死去的那集太吓人了！            
(3星)	 虽然不好看，但是很经典啊哈哈            
(5星)	 妈呀，小时候我就当恐怖片看的啊            
(5星)	 小时候把我吓的呀。。。            
(3星)	 幼儿园时期的性启蒙~            
(5星)	 史詩啊！現在仍是最愛。            
(NA)	 收着玩            
(4星)	 心脏拿出来那一段给我幼小的心灵留下了抹不去的阴影。。            
(4星)	 嘿嘿。小时候跟爸爸一起看了好多遍。            
(NA)	 小时候还看不懂的说            
(5星)	 激动悠悠。            
(4星)	 那个年代的三级片            
(5星)	 够邪淫            
(5星)	 男的英俊 女的美丽 主题曲大气 ~            
(NA)	 纯儿恐怖片            
(NA)	 留待复习            
(4星)	 什么都是老的好看            
(4星)	 哇嗷这就是我一直钟爱的大（dài）王读音和坏女人会被丢蛇池的出处啊！！！            
(NA)	 封神榜什么的我最喜欢了 因为我是正义大侠啊！            
(NA)	 小时候我以为是鬼神恐怖片= =            
(4星)	 就记得女娲竟然穿的是白色拉腿袜。。            
(4星)	 那吒好帅！其实 里面帅哥蛮多的＝＝            
(NA)	 年幼的记忆。。狐狸精是大美人儿的代称。。            
(NA)	 小时候觉得傅艺伟超漂亮的            
(3星)	 傅艺伟真美            
(4星)	 这是封神榜的经典版。            
(5星)	 为毛封面还有惊鸿一瞥的伯邑考。妲己真是惊艳啊！炮烙真是吓人啊！服装设计真有想象力啊！他们穿的这么少，也只能在广东拍了。从姜子牙开始，对斯文聪明的老头很有好感。            
(4星)	 傅艺伟当年真美。            
(4星)	 特效很假，但却是回忆。。。            
(4星)	 小时候可喜欢这个了            
(NA)	 我爱哪吒            
(4星)	 我小时候太迷了...            
(3星)	 苑琼丹少有的不扮傻            
(NA)	 嗯  ，在爷爷身边度过的童年            
(4星)	 那个时候米有什么先进技术，但是这片子却能拍的很好看~~啧啧啧~            
(4星)	 哇塞！太黄太暴力了哟！！小朋友是不该看的思密达！            
(4星)	 土行孙！！！            
(3星)	 让生命化作那朵莲花。。。            
(4星)	 对傅艺伟演的苏妲己印象深刻～            
(NA)	 傅艺伟-_-            
(4星)	 小时候看的第一部神话，那个时候对影视很新鲜，觉得那屏幕里怎么会出现这么神奇人物呢，我也好想进去呀~~            
(4星)	 姥姥给我做了一套妲己的衣服穿 O(∩_∩)O哈哈~ 回头率哦~~~            
(5星)	 多年后，只对傅艺伟演的妲己有印象。。。            
(4星)	  比干挖心那儿可是正宗的恐怖片啊！！伤害了我幼小的心灵。。。。||            
(4星)	 一个神话就是浪花一朵 一个神话就是泪珠一颗            
(3星)	 当年就雷死我了一堆山顶洞人。。。            
(4星)	 “花开花落花开花落，悠悠岁月长长的河，一个神话就是浪花一朵，一个神话就是泪珠一颗，聚散中有你有我，你我匆匆皆过客，日出日落日出日落，长长岁月悠悠的歌，一滴苦酒就是史书一册，一滴热血就是丰碑一座，喜怒哀乐都是歌，看千古烟波浩荡”苏妲己啊，那叫一个毒，小时候巴不得姜太公快收了她            
(3星)	 傅艺伟是亮点            
(5星)	 主题曲真好听哇！！！            
(5星)	 哈哈哈，那位童鞋是用镜子看的。。好吧，其实这里面都是用木剑砍人，而且。。。没挨到就死了。。            
(5星)	 那个时候傅艺伟多好看呀~            
(4星)	 我总觉得演妲己的是金巧巧……            
(4星)	 我小时候百看不厌的            
(4星)	 无人能超越的妲己啊。            
(4星)	 不得不说 这个苏妲己真是很到位的            
(3星)	 那个年代，经典了。            
(5星)	 记得里面妲己宫里面的酷刑超级多，有个蛇坑，就把宫女往里一扔，那时我最早的关于虐待的恐怖记忆。            
(5星)	 印象最深的是比干挖心，还有众人的清凉服装            
(5星)	 因为是历史，所以无法超越～            
(4星)	 小时候觉得妲己是这个世界上最漂亮的女人            
(5星)	 那时候的记忆总是好的，尽管这片子就那么回事，哈哈哈！            
(4星)	 电视儿童            
(4星)	 算是那个年代中国的科幻巨片了            
(4星)	 以现在的眼光看的话就不怎么样了 但是小时候看 是觉得很好看的            
(NA)	 以前是不是9点放的？额。。。天天盼着看            
(4星)	 都是记忆。小时候觉得妲己真是大美女。            
(4星)	 当时砍头的特技把我吓得一愣一愣的，现在看起来却觉得很假。女娲凉凉是陈秀珠啊，金枝欲孽里的皇后啊            
(NA)	 好怕好怕。。。好怕那个人肉包子馅            
(NA)	 话说小时候很喜欢看，可是放到妲己他们跳舞的时候我妈就不给我看了。            
(3星)	 陈秀珠演女娲...            
(4星)	 小时候的回忆~            
(5星)	 小时候记忆呀            
(5星)	 太经典了            
(4星)	 印象中最米的狐狸精            
(4星)	 既然每次点首页你都推荐，那我就索性把你收了吧~~            
(3星)	 其实这片完全无有原著所有的技术含量，无论是对白还是场景气氛，特别是打斗，假得不行。姜子牙是唯一的亮点：东方甘道夫！            
(3星)	 至今还怀念纣王的丁字裤。。。童年两大性启蒙：妲己、白娘子。。。            
(5星)	 当时我暗恋着周武王            
(NA)	 噢买嘎！我很乃，哈哈哈。            
(4星)	 傅艺伟好漂亮啊好漂亮啊~哪吒好正太啊~            
(4星)	 当时特喜欢哪吒            
(4星)	 童年回忆            
(3星)	 菜没有心能吃，人没有心能活吗            
(NA)	 现在看简直就是喜剧            
(5星)	 经典啊..........            
(5星)	 第一部有印象的电视剧 里面的人都直接裹块破布很开放            
(4星)	 虽然当时的技术不成熟，但是经典就是经典，是新版《封神榜》无法取代的。            
(4星)	 小时候看得吓死,但还是忍不住看            
(5星)	 小时候很喜欢  看到半夜            
(NA)	 补注。小时候我在操场的单杠上倒吊头发全部倒垂下来有男生就称我为雷震子。。。囧。            
(4星)	 傅艺伟很漂亮。当然，后来再看，就觉得以现在的审美观来说，里面所有的女演员都偏胖……            
(3星)	 傅艺伟简直就是个小妖精。            
(NA)	 哈 哈 哈            
(5星)	 小时候别提多喜欢看了            
(3星)	 妲己真销魂~~~会唱主题曲。。。            
(1星)	 以当时没上小学的我的眼光来看，这片就是垃圾高中时瞥了一眼，认定是垃圾中的垃圾            
(NA)	 很性感            
(4星)	 伯邑考变成兔子了            
(4星)	 记得当年很迷杨戬……            
(NA)	  妲己            
(NA)	 只是感觉里面人的装束。。。。。很有想象力~            
(4星)	 傅艺伟那时候真好看~            
(NA)	 古老            
(4星)	 那时候觉得美女就该是苏妲己那样的            
(3星)	 还记得那个主题歌。            
(4星)	 童年的回忆阿            
(4星)	 有被吓过。。。            
(4星)	 以前的大陆剧其实很不错的            
(5星)	 这版的哪吒居然是短发...和西游记一个毛病,仙人打架凭的全是兵器和道上的兄弟            
(4星)	 现在很想再重温一遍~~我很喜欢这种类型的            
(4星)	 多经典的剧啊~~~童年的回忆            
(3星)	 完全不像小时候记忆中的…            
(5星)	 谁没看过请举手            
(5星)	 传说还有一部很黄很暴力的。            
(3星)	 就是人物造型太雷人，感覺跟古希臘的破布似的            
(5星)	 极模糊的记忆了...还是港台引进的            
(NA)	 小时候看过的！            
(4星)	 喜欢蓝天野爷爷。            
(3星)	 我小时候看得害怕            
(NA)	 完全没有记忆            
(NA)	 以前觉得很好看～现在不一样了～            
(4星)	 很经典            
(4星)	 演繹演繹..我記得有露點鏡頭            
(4星)	 很早很早的回忆。            
(NA)	 小时候看了那个肉饼 几天犯恶心……=。=小时候的我抵抗能力果然很……            
(4星)	 视觉美学启蒙哈。美人：妲己（占据美人榜首长达我整个童年）            
(NA)	 至今爱那服装，女的多性感，雷震子多难忘的发型。            
(5星)	 花开花落，花开花落。悠悠岁月，长长的歌。            
(4星)	 那首歌很好听。妲己很美，杨戬很帅，姜子牙很酷，比干一身正气，当时的我大开眼界，想象力随着各种法术的施展而飘飘欲仙。已经记不得具体的情节，但那种美好的感觉始终都在。            
(3星)	 当年只觉得他们的衣服为啥这么少呢。。。。            
(4星)	 妲己很妖艳            
(5星)	 其實吧，對這個有心理陰影            
(3星)	 当时太小了..小的就只记得这个片名了..            
(4星)	 那个年代拍出来的有感觉，也只有那个年代才能拍出来。            
(5星)	 只记得非常好看，特地买过一个万花筒，其他什么都不记得了            
(3星)	 中国大陆            
(4星)	 妲己是在太漂亮了~~~            
(3星)	 一般            
(4星)	 哪吒，我爱哪吒。            
(4星)	 老哈拧饿……无胆子老小饿……            
(5星)	 儿时的记忆            
(NA)	 with my grandpa.            
(4星)	 小时侯看的             
(3星)	 我记得有人把蛇放进妇女的下体.            
(5星)	 神的传说            
(3星)	 我和姐姐认为，妲己是当时最漂亮的女人！            
(4星)	 小时候特喜欢看            
(NA)	 王后被杀害，挖了眼珠子...吓得我用手蒙住了眼睛            
(4星)	 小时候看得吓死。。。            
(4星)	 这个嘛  大伙都看过 。不过 看惯了港片  就是觉得大陆片节奏有点慢            
(NA)	 还记得那首歌呢 让生命化做那朵莲花            
(5星)	 这是演的最好的妲己！            
(4星)	 小时候觉得有点血腥，用现在的话说很黄很暴力~            
(4星)	 这部电视剧,如果没有看过,那就可惜了.因为如果摆在当年看,绝对是好看.傅艺伟饰演的妲己,那个叫美啊...用如今的眼光去看,自然是不会觉得好了.所以,如果错过了,也只能叹息,不用去补看,因为已经没有那个味儿,            
(3星)	 超喜欢哪吒            
(NA)	 大概是高中重播时看了一下。那时的场景还真是单调。            
(4星)	 比现在的好多了            
(4星)	 小学时期最着迷的电视剧            
(4星)	 看千古烟波浩荡 只留下神的奇迹            
(NA)	 这个印象不深 影响大的是港版--在高二！。。。。。。。            
(3星)	 封神榜            
(3星)	 人的模样好看，歌还好听            
(3星)	 童年幼兒園必聊的話題            
(5星)	 妲己掏心~~竟然还记得~            
(4星)	 爷爷还给我买过一套封神榜的书~@o@            
(4星)	 小时候觉得好神奇            
(3星)	 童年回忆。            
(NA)	 蓝天野是爷爷中之帅首            
(5星)	 那个年代的经典            
(NA)	 小时候觉得妲己真美啊。            
(5星)	 虽然现在再看这个版本，已经觉得不堪入目的简陋了，但是这的确是那个年代的经典。            
(5星)	 那时候的影片，情节真好啊！            
(NA)	 小时候看傅艺伟的妲己还是很惊艳的            
(4星)	 小学的时候看过N遍 有放必不落下 因为觉得里面的女演员很漂亮啊             
(3星)	 “妲己”现在都演人老妈了            
(3星)	 幼稚園至國小階段            
(NA)	 我在天安门广场见过傅艺伟的，SB瞎掰            
(NA)	 这片也是好老好老 当时那服装挺惹眼的 尤其是……            
(5星)	 虽然你有很多很多的缺点，但是不妨碍我爱你永久。            
(5星)	 最美妖孽！！！！！！！！            
(4星)	 当时觉得挺好看的，现在想来好粗糙            
(NA)	 儿童大不宜            
(NA)	 到现在还记得剖心那场戏            
(NA)	 我小时候还胆小            
(4星)	 傅艺伟真美啊、            
(4星)	 童年回忆            
(3星)	 比起剧集本身，主题歌和片尾曲成为了经典。            
(4星)	 儿时的记忆            
(4星)	 傅艺伟多美啊。。我想到这电视剧，第一想到的是那谁被做成了肉饼，那肉饼看起来还蛮美味的。。。            
(4星)	 啊啊啊啊啊，受不了了，小时老爱看这个了            
(5星)	 初中高中陪奶奶一起看的            
(5星)	 就爱这样的啊！！！！            
(4星)	 大爱啊！！！！            
(5星)	 好怕啊妲己那个贱女人！            
(3星)	 纣王的头饰很像以前我家家具的边边。            
(3星)	 够妖            
(5星)	 大爱雷震子，的确无法超越            
(5星)	 好看啊。傅艺伟穿的裹胸。。很前卫哦。。            
(5星)	 特技虽然不怎么样，画面却精美，拍得更是用心了。            
(5星)	 妲己很漂亮~~ 当年很喜欢这剧~~~             
(4星)	 童年记忆            
(5星)	 由新版还珠引发跟朋友讨论起国产电视剧  想起小时候看封神榜还无比激动   那会我们没有电脑没有互联网 很少去电影院  电视在我们儿时的生活里扮演着相当重要的角色  记得当时又害怕又特别想看  算是我心中相当经典的神话电视剧             
(1星)	None
(NA)	 小时候看过的             
(3星)	 吓死了T-T            
(5星)	 ~            
(3星)	 断断续续看了几个片段~只记得那个用藕接手臂啊啥的情节看了好几遍呃            
(3星)	 托儿所的时候的最爱啊，大美人，小美人            
(4星)	 小时候最耐的片儿- -没有之一......            
(5星)	 真他妈经典！            
(4星)	 相当鬼魅            
(NA)	 我被那颗比干的心惊悚到了~            
(5星)	 原来看过的，记得还特别害怕            
(5星)	 苏妲己好漂亮啊！！！！！！！！！！            
(NA)	 小时候的经典恐怖片。。。            
(NA)	 在电视台播放前，我已经看了爸爸带来的录像带。。。。。。。。            
(4星)	 有没有！！！！！            
(5星)	 小时候很喜欢，妲己很美，哪吒很帅，还是十六岁花季上的小男生            
(4星)	 喜欢封神前各种混乱的三界            
(4星)	 童年记忆。            
(4星)	 cult!!!!!!!             
(5星)	 妲己，噢，妲己。。为什么妖精总是那么漂亮。。而且不怀好意呢？            
(3星)	 小时候看，有些镜头还觉得挺恐怖的… = =            
(NA)	 妲己果然诱人。哪咤总是不怕各种摄魂之物，因为他是莲花化身。            
(4星)	 就记得特技非常坑爹            
(5星)	 花开花落            
(NA)	 hiahia~            
(NA)	 小时侯看觉得蛮残忍            
(NA)	 要是沒有藍天野的姜子牙和其他幾個萌老頭，我能打負分（其實也不會去看），不過有了老頭們，我能給打滿分……於是還是不打分得了……            
(3星)	 1990            
(4星)	 傅艺伟这一角色要是搁今日那是非ＦＢＢ莫属了．            
(4星)	 那时候好喜欢哪吒(///(エ)///)            
(NA)	 我妈的大爱！            
(3星)	 让生命化作万朵莲花            
(NA)	 土            
(5星)	 妲己            
(4星)	 那个时候我最喜欢蓝天野大爷啊= =            
(5星)	 配乐到演员到道具，都很经典！            
(NA)	 那个挖眼珠整整困扰了我童年五年的睡眠！！            
(4星)	 哇咔咔            
(5星)	 小时候的最爱之一            
(3星)	 作为对小学就读过很多遍原著的人来说这部片子真的不好看，从小就不太爱看，傅艺伟虽然很美但是不够媚，不过寒暑假没得看了的时候看看也还行吧~            
(4星)	 妲己真美~            
(4星)	 妲己娘娘太美了～            
(4星)	 炮烙刑，当时到现在都不敢看的桥段。            
(4星)	 里面好多帅哥和美女，纯天然滴            
(4星)	 小学时看得津津有味的            
(4星)	 那首主题歌当时老师还教过，不过很多同学跟电视学会的。愿生命化作那朵莲花，功名利禄全抛下。。。。            
(5星)	 作为正太的哪吒好萌            
(5星)	 那个时候觉得傅艺伟美如天仙            
(NA)	 小时候觉得傅艺伟那个美啊 还记得那个裙子后面露出的尾巴尖呢~            
(5星)	 我喜欢杨戬。            
(4星)	 我暗恋长大以后的哪吒来着。。。。并且无比想拥有乾坤圈。。。觉得哪吒说着的时候特帅。。。            
(4星)	 记得当时老爹觉得这是黄片不让我看来着。。。            
(NA)	 2010-11-11            
(5星)	 这个可是看完了。主题曲很好听。            
(NA)	 心理阴影……            
(5星)	 90年= =            
(4星)	 那时觉得傅艺伟好漂亮            
(5星)	 小时候就为了看妲己            
(4星)	 喜欢            
(5星)	 童年回忆啊这是！            
(3星)	 千万不要触怒高职女人，否则你的一切都会毁在这个女人的愤怒里            
(4星)	 妲己姐姐好漂亮            
(2星)	 哎，打斗戏可真是精彩啊···囧            
(5星)	 小时候在我心里是和新白娘子、西游记同地位的电视一放我就心花怒放的电视剧            
(NA)	 看了以后天天晚上做恶梦.....            
(4星)	 那时候小 看到比干掏心的时候快吓死了 妲己很美            
(4星)	 啊哈哈哈太经典            
(4星)	 妲己很漂亮。            
(4星)	 很吓人            
(4星)	 当时很迷恋那个少年哪吒。。。￥@%@%@            
(NA)	 也很经典的            
(4星)	 当时被“比干掏心”吓坏了！            
(4星)	 傅艺伟太美了。。。。            
(NA)	 妲己哈哈            
(4星)	 封神榜是这么牛的故事，可惜写成了三流的小说，所以那个时代的电视剧能这样已经很不错了。            
(5星)	 幼儿园最爱啊            
(4星)	 当年居然还买了图册            
(4星)	 小时候看有的片段心里还是怕怕的            
(5星)	 小时候，首播，看第一集的片头，被炮烙那个镜头吓坏了，于是捂住眼睛不敢看，到后来女娲出现了，妈妈说，有美女了，不吓人了！但我还是不敢看……于是错过了女娲- -.. 以至于到现在还是想不起来女娲的样子&gt;.&lt; 那会儿最喜欢哪吒，哈哈~ 傅艺伟真漂亮！            
(4星)	 虽然特技不咋滴，但看着真实            
(NA)	 那时候傅艺伟真的很媚呀！            
(5星)	 小时候最迷封神榜中的哪吒了...            
(4星)	 一个字 怕那个片头是我永远的阴影            
(4星)	 兔子精            
(4星)	 小时候觉得哪吒好帅            
(NA)	 我小时候看觉得好雷人。。            
(4星)	 傅艺伟啊            
(3星)	 我想说  当时的服装真的很华丽。。。。当时的最华丽纱巾            
(3星)	 童年经典哇 囧 昨天参与的配音终于出成品了！（偶配的妲己果然是太善良了 ==）话说大家还记得哪吒的扮演者就是《十六岁的花季》里袁野的扮演者咩？？噢噢、那时的袁野真得很帅啊 囧            
(4星)	 最记得是当时炮烙成骨头的时候 我竟然是晚上一个人在家看的...爸妈都在隔壁房间睡觉...只好用被子包着头 还是忍不住继续看            
(5星)	 让生命化作那朵莲花。。            
(5星)	 那时候吵着要嫁给姜子牙。。            
(5星)	 看得我当年都发呆了            
(NA)	 出世，谁都很厉害            
(4星)	 我幼年时代对于魔力的向往 大概多源自此片            
(3星)	 吓得我要死~            
(4星)	 最爱看妲己了...妖艳得很...            
(4星)	 那时候是当成“色情片”来看的...            
(3星)	 小学五年级看过的。            
(5星)	 最喜欢姜子牙，剧情嘛，印象比较深的就是妲己把人丢到蛇坑里，呃～～～现在想想这剧还满不适合小孩看的            
(4星)	 一直不觉得妲己有多美，倒是比较喜欢武王的老婆            
(5星)	 我很确定当时我对杨戬的感觉就已经很不纯洁了……6岁……            
(5星)	 那时候的傅艺伟真漂亮            
(5星)	 心中狐狸精的典范……            
(NA)	 哇，记得比干被剖腹的样子。。。            
(4星)	 愿生命化作那朵莲花 功名利禄全抛下            
(4星)	 歌好听            
(3星)	 傅艺伟演的妲己很风骚啊……            
(2星)	 小时候看过，现在完全没什么印象了            
(3星)	 小时候当恐怖片看的~哈哈~            
(4星)	 哇，小时候就看到裸女，鸡冻！            
(3星)	   当时看觉得挺 那啥的，后来知道了 叫cult            
(5星)	 毕生挚爱之一            
(4星)	 小学三年级时每天追看！            
(4星)	 当时觉得很色情……            
(4星)	 儿时伴随着我们成长的剧            
(4星)	 傅艺伟当年真美貌。            
(3星)	 哪吒就算現在看也是帥的            
