http://movie.douban.com/subject/2221708/	永不瞑目
(4星)	 04年？记不清的年少，却记住了他们的生命之殇。            
(NA)	 那时候陆毅还是个爷们呢            
(4星)	 那会觉得真好看呀。            
(4星)	 这个时候的陆毅我还是蛮欣赏的~            
(4星)	 成名剧。            
(3星)	 陆毅和孙红雷合作的次数真不少            
(3星)	 老师说，这是中国首部谍战剧中加入了爱情元素……苏童是为了爱情，不再是为了我党……            
(3星)	 陆毅那时好小白脸。            
(5星)	 你快回来,我一个人承受不来            
(NA)	 初一还是小学？看着觉得成人的世界纷繁。            
(NA)	 小学啊~~~            
(NA)	 苏瑾，有个好的配音，她会是一个好的花瓶，这戏很能说明这问题~            
(3星)	 曾经的经典            
(4星)	 很不错了            
(4星)	 欧庆春。            
(NA)	 印象最深刻的就是..陆毅被摸了            
(3星)	 初中很爱看            
(3星)	 陆毅青涩的嘞。            
(4星)	 我很迷苏瑾JJ那会            
(5星)	 印象比较深的第一步海岩剧            
(4星)	 喜欢欧阳兰兰~讨厌欧庆春~            
(NA)	 陆毅再也帅不回去了，他就帅过这么一回。            
(1星)	 我倒是比较喜欢海岩的作品，但此剧我给十分，百分制            
(4星)	 虽然不喜欢陆毅，但那个时候的我决不会想到N年之后会和处女座人结下那么多不解之缘            
(4星)	 那时候的陆毅。。。            
(3星)	 让我知道了陆毅            
(2星)	 一直没明白这剧和人怎么红起来的            
(5星)	 一个人真真纯纯的爱，象燃烧的烈火，无可阻挡，一无所惧。            
(5星)	 我家买29寸彩电之后看的第一部剧，孙楠就这样红了，陆毅也这样红了            
(5星)	 对这剧就已经达到无语的境界了。录音听，背书，表演，就怎么能爱得这么滥的。            
(NA)	 海岩制造            
(5星)	 小学的记忆            
(4星)	 印象中有好多xxoo            
(3星)	 陆毅就是这么红起来的            
(4星)	 陆毅真的很帅。。。。在这部剧里面。。身材又给人以幻想。。。            
(3星)	 陆毅就只有在这一部里面可以看。            
(4星)	 初识陆毅 孙红雷 袁立 尤勇            
(5星)	 可怜的肖童。他最大的不幸是爱上欧庆春，为她痴狂。            
(3星)	 忘了说什么!            
(3星)	 袁立哪儿看都没个丫头样儿            
(NA)	 那是陆毅最好时吧。。             
(4星)	 现在看 好土啊            
(5星)	 喜欢的紧啊。又是海岩的大作！            
(NA)	 交大哦~            
(4星)	 陆毅的成名作，还不错            
(3星)	 当年是否万人空巷？            
(3星)	 看的第一部海岩剧            
(4星)	 陆毅很帅            
(4星)	 看的第一部海岩作品，印象深刻。从此海岩走了一系列痴情男系列，另辟蹊径总是有市场的。            
(4星)	 海岩的这部还可以  高三时看的 有点压抑感            
(NA)	 印象比较深的是肖童跟着欧阳兰兰他们逃到西藏的时候，戒毒出来在屋顶上念诗的情形。天高云淡的悠远，同样的诗篇。却已往事不堪回首，物是人非。            
(2星)	 对海岩很感冒            
(3星)	 毒之可怕，爱之伟大            
(5星)	 非常非常喜欢的电视剧            
(NA)	 没什么感觉。            
(NA)	 你快回来            
(NA)	 那個女主印象深刻            
(NA)	 那是曾经的赵宝刚            
(3星)	 我记得小时候我姐觉得陆毅特帅！！！            
(4星)	 第一部海岩，陆毅和袁立当年那个清纯，印象好深。            
(4星)	 那个时候是陪我妈看的，但是也没觉得陆毅很帅啊            
(3星)	 居然喜欢过苏瑾，奇怪……            
(5星)	 有了新版的反衬，更觉这版经典~演员都好靠谱啊~            
(5星)	 啊...            
(5星)	 主角多美貌啊            
(4星)	 终于看完了。大陆电视剧海岩赵宝刚李少红应该是最爱了，真想拜海岩为师=3=，可惜朋友说我要是帅哥的话可能性会大一点 = = 最喜欢《河流如血》            
(3星)	 你快回来！！！            
(5星)	 跟着怀旧一下，初中天天中午跑回家看~            
(3星)	 袁立好漂亮。            
(5星)	 小时候看的哎，好喜欢。当时陆毅和袁立还好的，后来就长残了。            
(4星)	 就电视剧而言 拍的很好了已经 但我实在是太不喜欢苏瑾了 欧阳兰兰是很多女孩的一个印记啊~            
(4星)	 这部戏让我了解到：珍爱生命 远离富二代 ！            
(NA)	 小时候看过的             
(3星)	 陪妈妈看的，妈妈很喜欢苏瑾，我一点也不喜欢这个戏。            
(4星)	 这男男女女的扮相也太好了吧！            
(4星)	 这个时候的陆毅和苏锦都还蛮喜欢的            
(4星)	 其实老喜欢欧阳兰兰的．　我还蛮想看新版的～～～～～～～～～～～            
(4星)	 海岩剧。陆毅成名剧。            
(5星)	 越发衬托出新版就是个渣啊，搓手。            
(5星)	 小学5年级的我，端着砖头一样的原著小说，就那么拼命的看啊，收不了手。。。            
(5星)	 儿童时代很迷陆毅的！            
(5星)	 当时说陆毅长的比爸爸帅 妈妈生气了- -}}            
(5星)	 这要翻拍……现在电视除了恶心的翻拍还有什么能提高收视率            
(3星)	 苏瑾真美，现在哪里找这种大青衣？所以害了小正太，也忍了。这就是命啊！当炮灰，要从娃娃抓起。            
(5星)	 最后一集那个哭啊~~~还有那个时候晓得谈恋爱还能女的比男的大            
(4星)	 欧庆春。陆毅。            
(3星)	 你快回来…            
(5星)	 因为是在母校拍摄的            
(4星)	 当年我还在上小学跟我妈一起看到大结局，我就开始嚎啕大哭。。。            
(3星)	 女人利用男人起来更可怕，死都不知道怎么死的            
(3星)	 陆毅还是这个时候帅啊 现在都残了            
(NA)	 当时脚的两个女注脚长的好像            
(4星)	 永不能忘~            
(NA)	 陆毅不胖的时候真的还可以的啊。。哎。现在老了。            
(4星)	 原来也是赵导！这里面陆毅确定经典1~感觉以后反而入俗了            
(4星)	 当年很喜欢的咧            
(4星)	 陆毅总是不温不火的样子 袁立总是风风火火的样子            
(4星)	 跟着妈妈看……            
(4星)	 那时候觉得特好看            
(3星)	 有记忆以来最早的姐弟恋            
(NA)	 很喜欢肖童~~            
(NA)	 冤孽阿            
(NA)	 青春的陆毅。            
(NA)	 多老的片子了。            
(4星)	 和我妈一起看的            
(4星)	 海岩的剧本在那时就是大热的代名词。而我那时竟会迷上陆毅……好在只是一时。。。            
(3星)	 不喜歡。            
(NA)	 好老的。其实我只看了书。            
(4星)	 里面爱情太沉重了，我压的慌            
(3星)	 苏瑾曾说过“独生女真的孤单，你相信吗？-----------我相信。            
(4星)	 看的第一部海岩剧，印象深刻，海岩。。。            
(4星)	 我妈喜欢陆毅。。。我喜欢袁立，欧阳兰兰            
(5星)	 很喜欢肖童。            
(5星)	 那个时候的陆毅真阳光。苏瑾的眼神真深邃。            
(3星)	 跟着大家看呗...            
(NA)	 陆毅还没发福            
(4星)	 我奶奶特喜欢特喜欢当时的袁立。。。            
(5星)	 男主女主都很让我心动，虽然女主常常会说出很囧很党的话            
(3星)	 对陆毅无感+1            
(4星)	 肖童...            
(4星)	 老子就只记得陆毅倒地的那一刻拉            
(5星)	 经典            
(NA)	 小学时候 应该 那时候喜欢的偶像是陆毅和何家劲 哈哈            
(4星)	 估计现在拍不出来了 那时袁立多美好！            
(4星)	 当时多喜欢苏瑾……            
(3星)	 累得哄。天天周旋。            
(NA)	 以前看喜欢苏瑾，现在再看喜欢袁立了            
(5星)	 可能是看过遍数最多的电视剧了。每次看都会很感动。             
(4星)	 陆毅跟袁立的成名作！            
(NA)	 小时候看完了的剧……现在想想当时碰电视机会太少，于是博爱。            
(4星)	 小时候觉得他们的生活那么刺激~陆毅那么帅，兰兰那么血性，其实~~            
(4星)	 那是我第一次看陆毅的戏吧            
(2星)	 我在这里面很讨厌陆毅            
(NA)	 小學四五年級的樣子            
(5星)	 LOVE  LOVE  LOVE            
(3星)	 初见孙红雷            
(4星)	 孫楠片尾曲也頗讚啊            
(NA)	 那时侯他很年轻            
(3星)	 这是海岩的经典, 也是陆毅的起点.            
(NA)	 我大概喜欢的只是肖童。            
(4星)	 我能为你做的，就是为爱牺牲。            
(3星)	 陆毅就那时火的            
(NA)	 那会那陆毅没迷死我            
(NA)	 当年感动的那个一塌            
(5星)	 陆毅的巅峰之作，有点看头的电视剧。            
(4星)	 真怀念啊，每天晚上播的时候，学校都是空巷。            
(3星)	 那时他最帅 后来的任何一部戏都没有当时的好             
(5星)	 那时候特别喜欢陆毅。。。之后就不喜欢了。。            
(3星)	 作为陆毅曾经苗条时期的凭证。。。            
(4星)	 那时候，陆帅演戏还挺自然。            
(3星)	 太早看的，没什么记忆了。            
(5星)	 海岩剧开始走红            
(4星)	 当时正年少～那时的袁立多美呀～            
(4星)	 为了看陆毅            
(4星)	 姑姑说那时的陆毅像小姑娘一样美丽。            
(NA)	 妈妈喜欢陆毅            
(5星)	 最最最最最最最最经典的            
(5星)	 看了50遍也不为过!            
(4星)	 那时的陆毅            
(2星)	 还是喜欢袁立            
(3星)	 陪着老妈看的...            
(4星)	 最先接触的言情片：为爱牺牲了多少？            
(NA)	 N年前看的，不错。            
(NA)	 看的海岩的第一部作品            
(5星)	 比起陆毅，更喜欢肖童。庆春温润的一塌糊涂。            
(4星)	 对海岩本人一直充满着好奇。唉，一个很好的年轻人就这么被毁掉了。            
(4星)	 赵宝刚＋海岩之鼻祖            
(5星)	 这么美好的肖童就这样陨落了。很痛心。            
(4星)	 我不觉得这是海岩最好的电视剧，但我承认，男主角是最帅的。            
(4星)	 只記得陸毅當時很帥            
(3星)	 遥远的已忘记剧情            
(4星)	 上辈子看的 欧庆春绝对克父            
(5星)	 陸毅表現很好嘛            
(4星)	 第一次听到“路易”这个名字还以为是个外国人            
(3星)	 还可以            
(5星)	 我相信陆毅和袁立再也拍不出比这更好的作品了！！！！！！！            
(4星)	 曾经很感动            
(5星)	 陆毅当年真是帅呀            
(2星)	 老爸特喜欢的一个片子那时候太小不让我看 我就偷偷的看过那么几集            
(3星)	   觉得很一般，也不喜欢陆毅！            
(4星)	 怀念那时的陆毅~            
(NA)	 话说当年和奶奶住在一起的时候，看了叫叫惯电视剧~            
(5星)	 白背心格子衬衫牛仔裤，大学男生仿佛应该就是肖童那个样子~            
(3星)	 这个时侯的陆毅是巅峰~            
(5星)	 姐们说陆毅很帅，于是我开始看永不瞑目，我一边看电视一边翻书，然后惊喜的发现——大还原，连欧阳兰兰骂肖童的话都和书里的一字不差，还及其自然，我开始爱上海岩的生活化了。顺便，我喜欢上肖童了            
(2星)	 海岩剧呗            
(3星)	 可惜本少爷的成长的两个环境搞得比较撕裂，于是就直接跳过了伪君子这关。直接来到了流氓的完成型，老娘，我对不起您，没能成长成您喜爱的文学青年系伪君子，后来您喜欢上了装b少年陈坤，这个我倒是经过了，但又是在国外的时间段，也没能让您看见，对不起。。。            
(NA)	 也是老早看的。。记得蛮精彩的。。。苏瑾演的很好，，，            
(3星)	 欧阳兰兰。。。            
(4星)	 苏瑾啊苏瑾            
(3星)	 没什么特别的映像了 小时候看的            
(3星)	 Parts..            
(4星)	 陆毅最帅时。。。            
(NA)	 当时。在中甸。            
(3星)	 苏瑾饰演的女警的气质真的不错。。            
(4星)	 总有一天，要回头捡起丢下的东西            
(4星)	 加这个是为了纪念一下。那些曾经年轻，义无反顾，简单到傻，一错再错的爱情            
(4星)	 海岩热啊海岩热            
(3星)	 表演太用力了。            
(3星)	 始终对海岩不敢冒            
(4星)	 那年在我心里完美的陆毅            
(5星)	 看了后就特喜欢，买了书了，后来送给婆婆了。            
(NA)	 老早了啊            
(4星)	 书和剧集都蛮好            
(4星)	 那会儿陆毅和袁立多好看呀            
(4星)	 陆毅青春，袁立风骚            
(3星)	 很多年前。。            
(4星)	 海岩的电视剧，最记得是这部。            
(4星)	 当初还很年轻的诸位 现在都已青春不再了            
(4星)	 欧阳兰兰，陆毅，海岩剧中的男女好看的是那种风格：神秘而正点。又看一遍。海岩的爱情有一特点：不顾一切。            
(5星)	 经典啊！            
(NA)	 当时的陆毅，还有袁立...多瘦啊||| 一直挺喜欢袁立的，眼睛鼻子都漂亮。            
(4星)	 从这个开始追看了几本海岩的小说            
(5星)	 一眼就瞄上了陆毅。            
(4星)	 妈妈当年痴狂陆毅时我跟着她看的……            
(3星)	 陆毅的处女作，也是在这里知道袁立的，苏瑾长的很像我一同学的妈妈。            
(4星)	 英气的陆毅，现在寻不到那股眉宇了            
(4星)	 陆毅成名作啊            
(5星)	 很经典            
(3星)	 陆毅的不错的一部了            
(4星)	 当时喜欢陆毅和苏瑾            
(5星)	 给我留下了多么深的印象啊……还有孙楠那首歌            
(NA)	 小学时听老师讲的故事            
(4星)	 挺小时看的了            
(3星)	 刚开始知道陆毅的时候，爱情的力量支撑着情节的延续            
(NA)	 看结局还哭了刚~            
(NA)	 人家小时候觉得陆毅好帅呐 欧阳兰兰真漂亮！            
(NA)	 爱情的力量是无限的            
(3星)	 你快回来……            
(3星)	  陆毅             
(3星)	 那时候我又喜欢陆毅~            
(4星)	 当大家都还很年轻的时候，一切都是            
(3星)	 看的第一部海岩剧            
(4星)	 只看了最后一集，狂流泪            
(4星)	 这个是陆毅的成名剧。            
(5星)	 初中为了看这部电影，每天都按时回家把作业给做完了，魅力无穷            
(NA)	 你快回诶来哎哎~~我以扔承嗯受呕不来~            
(NA)	 爱的可怕。             
(3星)	 还可以。不过我觉得小说更好看。            
(NA)	 属于初中的电视剧             
(4星)	 从此爱上陆毅，不过也就截止到此。            
(NA)	 很喜欢孙红雷              
(3星)	 死不瞑目……            
(NA)	 从那时候认识陆毅            
(5星)	 此前   此后   再也没人比他 更对得住“惊艳”二字了            
(4星)	 看得比较完整            
(NA)	 不爱看，可我还是看了            
(3星)	 一般            
(5星)	 很伤感的一部电视剧，也让我的心很痛……            
(5星)	 经典的爱情和故事            
(4星)	 初中看的　那时好萌陆毅　秀气的男生现在发福了　大男人了　也结婚了　            
(NA)	 当年还很轰动过            
(4星)	 一部捧红了陆毅和苏瑾的连续剧            
(4星)	 啧啧,当年陆毅太帅了            
(NA)	 陆毅陆毅            
(5星)	 初二的时候着迷了一样。。。            
(4星)	 不错啦            
(3星)	 当时的那样的爱情和两个主人公还是小小地震撼和感动了我一下            
(3星)	 当年很喜欢的呀            
(NA)	 喜欢苏瑾            
(NA)	 喜欢苏谨            
(NA)	 我也只看过一点点，这部电视剧到底有什么吸引人的？            
(5星)	 当年的经典            
(4星)	 还买了书，当时怎么那么痴迷？            
(4星)	 半部好片            
(NA)	 不喜欢            
(4星)	 从这里,认识了苏瑾;从这里,喜欢了袁立;至于陆毅,略过....            
(5星)	 一段爱的绝响            
(3星)	 小学是我每天8：30睡觉，所以只能听见片头曲片尾曲什么的            
(4星)	 姐弟恋            
(4星)	 小學的時候看了好多遍啊~            
(NA)	 永恒的经典。。。陆毅真心帅            
(4星)	 重播又重播 依旧是陪奶奶看的=_,=            
(5星)	 经典！ 最欣赏的是苏瑾的演技！            
(4星)	 苏瑾美             
(4星)	 如果一切能回到从前该多好。            
(3星)	 豆瓣老是猜的是些什么片子啊！            
(5星)	 欧阳兰兰！            
(5星)	 肖童就是我当时心中的理想型！            
(4星)	 造就了陆毅和袁立这两位我喜欢的演员            
(4星)	 小时候最讨厌那个舒庆春，第二讨厌那个袁立，然后我也不喜欢陆毅。。。可是我记得这个故事让我伤心了很久！            
(4星)	 晚上偷偷看电视的时光。。            
(NA)	 貌似甩好看的样子            
(4星)	 貌似陆毅就是这么出来的？更多的是青春的记忆。有时候人的记忆借助这些外在的东西你就会像泉水般往外涌，喷涌            
(NA)	 小时候和爸妈一起看的，我妈那时候特喜欢苏瑾，不过我从小就不喜欢陆毅。            
(3星)	 没记错的话，这是看的第一部海岩的电视剧？            
(4星)	 跟老妈一起看的。。她的最爱没有之一。。。老是念错片名念成死不瞑目。。。- -            
(NA)	 一直没弄明白剧情=-=            
(4星)	 这是最好的陆毅！            
(4星)	 风靡我全家的剧。。。当时都迷死陆毅了。。。            
(5星)	 陆毅是多少80后，85前的女孩的阳光男孩啊！            
(3星)	 当年要不是我爹爱看，也不会认识陆毅            
(4星)	 性启蒙的年龄，丰腴的欧阳兰兰和欲拒还休的秀气陆毅，永不瞑目以后他就再也没帅过            
(3星)	 经典姐弟恋，悲剧            
(4星)	 十多年前的北京...红黄色公交车,面的,夏利,公共电话,呼机..感慨万千.他的剧为什么都是吃火锅?这能看出性格?省道具钱? 陆毅离家出走委屈嘟嘟嘴太清纯了             
(NA)	 小時候的記憶啊。。             
(4星)	 那时候 是喜欢海岩的            
(5星)	 任何卫视，地方电视台，播最后一集的时候，看到欧庆春吻着肖童冰凉的尸体的时候，我的泪都会无声地滑落，直到那一刻，我到底能否体味这句“永不瞑目”，真的不好说，我只知道，心好痛。是刻骨铭心，是自己如果能，今生今世拥有这样一份爱情，哪怕，只存在于影视作品中的。自此，无缘由一直喜欢袁莉。            
(3星)	 好早了..            
(NA)	 再怎么翻拍也没这味道了啊            
(4星)	 肖童。。。            
(3星)	 姐弟恋啊，真真不是我的菜，可是陆毅好帅！            
(4星)	 比较喜欢陆毅~            
(4星)	 第一次看见陆毅            
(4星)	 不是感动哭的，是气哭的。            
(4星)	 一群人各种威逼利用将一个不谙世事的少年推向火坑，一开始就奠定了牺牲品的角色，当胜利的凯歌响起，各种领导收割战果之时，亲人爱人阴阳两隔，实在堵得慌。海岩说这是命题作文，我怎么越看越像讽刺剧。            
(5星)	 現在有新版了,但這版還是經典中的經典,            
(5星)	 老剧重看。我相信没有人不是怀着压抑与沉痛地心情看完整部剧的，最后肖童遗体告别仪式上庆春吻他的那一刹那，我彻底泪奔了。肖童的死无比悲壮，无限神圣。这样一个纯洁高尚的灵魂是那么的理想化，以至于观者时时为他揪心不已。和他相比，警察的形象是那么地自私无能。毁了他的不是欧阳兰兰，而是警察。            
(4星)	 当年我妈痴迷此剧的时候，我觉得陆毅好丑...事隔多年回头再看，当时陆毅简直太帅太阳光了也！！人的品味真的会变的吧...看这种电视剧都会让人对命运有种无力感...            
(3星)	 有梦想的孩子就长不大吧            
(4星)	 陆毅的经典作            
(5星)	 这是困住我的故事之一            
(4星)	 好看！里面的陆毅好帅啊！！            
(4星)	 小时候和妈妈一起看的电视剧，妈妈那时很喜欢陆毅            
(4星)	 从小就看这么深刻的电视剧。。。。            
(5星)	 一部电视剧，全家人的记忆啊            
(5星)	 我们宿舍竟然没有一个人看过这个！！！海燕三部曲啊。你们竟然都没看过。甚至没听过。。。无奈。。。            
(5星)	 当年的经典。。。            
(4星)	 过了十多年，再看一次。新版恶心。怀抱什么主义让自己一生尽毁的肖，现在看真是天真单纯难能可贵。爱情，欧庆春值得吗？丫就只能当纸壳美人，和她亲密的两个男人都死翘了。ep4里，肖和欧第一次吃饭，饭馆背景的歌是《执迷不悔》。俺堂妹荣荣当年照着陆的样子找的老公，现在也残了。            
(NA)	 经典啊 ！！！            
(5星)	 爱死仨主角了            
(4星)	 话说这些旧电视就不要再翻拍了好不！            
(4星)	 这是陆毅演过的唯一一部我有印象的片子，不管是电影还是电视剧            
(4星)	 当年的陆毅和袁立……            
(3星)	 不太记得剧情了。。            
(5星)	 永远记得那些年在肉串店撸串子的时候总看陆毅帅气的脸            
(5星)	 感动、震撼得无以复加。“上下五千年，英雄万万千。壮士常怀报国心，黄沙百战穿金甲，不破楼兰终不还”当他爬上屋顶，对着蓝天雪山念出这演讲稿时，            
(5星)	 老电视剧了            
(NA)	 从赵导的《永不瞑目》到《男人帮》，在每部戏中可以感受到不同年代的爱情价值观的转变。            
(3星)	 对海岩剧都不太感冒啊。            
(3星)	 一度很熱衷            
(NA)	 又是一部看的梨花带雨的，陆毅年轻的时候也是帅男一枚，帅里带萌~~~            
(5星)	 爱肖痛爱到死有木有！            
(4星)	 我妈很爱看的说            
(4星)	 陆毅帅。            
(5星)	 我永远地记住了那个在司马台长城的拥抱，永远地记住了那个在西藏的天空下疯了一般大声朗诵：黄沙百战穿金甲，不破楼兰终不还！的身影。哀伤依旧，永不瞑目。            
(4星)	 看过很多不海岩的剧，这个应该是最早的            
(5星)	 我最爱的国产爱情电视剧，百看不厌，每次看都会感动。喜欢当时的苏瑾和袁立。。            
(4星)	 我心中海岩的最高剧，陆毅最帅的时光            
(NA)	 陆毅那时候嫩哦            
(3星)	 中国的警察真差劲，不说办案方面，是说对人生命的尊重方面，对人权方面。肖童，完完全全是让警察害死的！            
(4星)	 小时候看的，依稀记得姐弟恋蛮虐的，毒品初次认识吧。海岩的剧是不是都一个味道？            
(3星)	 那会好年轻啊！            
(5星)	 这是爱              
(3星)	 我妈看完此片 一直讨厌陆毅·······            
(4星)	 好看~            
(NA)	 知道了有个男孩叫陆毅            
(NA)	 不喜欢            
(4星)	 那时候的袁立阿姨真的很美！            
(4星)	 初中时的电视剧 陆毅那会儿真帅            
(5星)	 真的挺经典的            
(NA)	 那时的陆毅可真纯            
(4星)	 陆毅算是颜很正的人品都没什么问题 就是不吸人 可怜了这娃了 不过这是我妈公然赞帅的第二位 第一位是古天乐 第三位是王力宏 木有第四位了            
(3星)	 无感的陆毅            
(5星)	 记得那时候我和爷爷眼泪哗哗的流啊            
(3星)	 很小时看的了，就记得陆毅死了            
(NA)	 心中永远的经典            
(NA)	 跟爸妈一起看的，还真怀念三口人窝在一起看电视剧的场景            
(4星)	 陆毅那时好嫩，孙楠那时也因为那首主题曲爆红，那时孙楠的几首歌都很好听的。            
(2星)	 那时候的陆毅啊 帅死了  是梦中情人啊            
(4星)	 刚才没有谁帅不帅的观念。小屁孩儿一个。            
(NA)	 那时候的陆毅真的好阳光            
(5星)	 永远不能超越的经典            
(5星)	 海岩的爱与恨            
(3星)	 小时候看的第一部破案片...=A=            
(5星)	 抑是十多年前的剧……            
(4星)	 后来,我还买了小说....            
(4星)	 苏瑾阿姨当年那个美            
(NA)	 苏瑾版欧庆春毫无魅力可言。            
(NA)	 当时很红的            
(4星)	 陆毅的成名作            
(5星)	 肖童那时好嫩啊。            
(4星)	 偶像剧？狗血剧？            
(NA)	 剧情有多狗血            
(NA)	 印象中看这个时觉得陆毅好帅的，可惜岁月让现在的陆毅变成了发面馒头啊~            
(4星)	 海岩的三部曲，只有这部能看。            
(4星)	 这个么 也必须经典了            
(5星)	 小时候看的，当时不太懂。现在想想，真的感觉很深刻！            
(4星)	 打死也不要碰毒品，否则你就错过很多靓女，即使她说永久追随你。            
(4星)	 这片有点孤绝于世的感觉。            
(4星)	 哎呀我哭惨了当时            
(2星)	 里面的人爱的真痛苦            
(3星)	 那首歌很经典            
(NA)	 纯标记            
(4星)	 没有你，时间寸步难行，我困在原地，任回忆凝积。黑夜里，我祈求黎明快来临，只有你给我温暖晨曦。走到思念的尽头，我终于相信，没有你的世界，爱都无法给予。忧伤反复纠缠，我无法躲闪，心中有个声音总在呼喊。。。            
(4星)	 陆毅火了            
(3星)	 当时还喜欢欧阳兰兰，讨厌那个欧庆春，而且当时觉得这部戏好黄~            
(3星)	 说实在并不喜欢这片，可我的家长们却超喜欢的            
(5星)	 记得当时年纪小 陆毅还是少年郎 手捧《上下五千年》 缉毒重任肩上扛            
