http://movie.douban.com/subject/2279941/	九五至尊
(2星)	 还好直奔最后一集。。。            
(NA)	 其实，从古代穿越到现代的剧才好看。。。在我心里只有两本穿越剧《九五之尊》和《穿越时空的爱恋》            
(4星)	 很久以前TVB的穿越就强过芒果台现在又臭又长的步步惊心了= =             
(4星)	 江华绝了~            
(4星)	 最后几集让人觉得编剧是想赶紧收工领便当了 但是江华演的真的很好！            
(3星)	 一邊刻章一邊看..            
(3星)	 不错 很搞笑~            
(4星)	 第一集就乱有喜感的！江华走路的确很有范儿那~穿越剧中寻秦记最经典了（竟然在14集看到！）这部也算不错..当时的香港时代气息很浓，感觉是很早以前拍的呃~但到后来又有情感纠葛，加上人心难料啊·感觉不是呢么好看了....但最后那个在精神病院的一群大臣乱搞笑！！ps：杜sir配的太好了！            
(3星)	 很早以前的穿越剧。古代穿现代的。            
(3星)	 感觉更喜欢寻秦记，有些东西太受不了~            
(4星)	 搞笑，江华和张可颐演的很好，比中国的《宫》要好多了            
(3星)	 那时候觉得..穿越好神奇啊！！！！            
(2星)	 好像是穿越...            
(2星)	 江华很做作            
(5星)	 最出色的穿越剧            
(5星)	 穿越            
(3星)	 哈哈哈            
(4星)	 江华咸鱼翻身之作，四两拨千斤            
(3星)	 还是满有趣的 哈            
(4星)	 张可颐在这部蛮可爱的，江华也很可爱~~            
(4星)	 那时的张可颐好美啊！            
(3星)	 浓浓的香港电视剧的味道            
(4星)	 港剧还不错            
(4星)	 很早以前看的，不错            
(4星)	 江华笑起来很帅。            
(3星)	 穿越和搞笑永遠掛鉤，但是結局卻這么倉促，估計編輯也榨不出腦汁了。            
(3星)	 3颗半。创意极佳，搞笑有余，商战不足。            
(4星)	 当年的题材实在冲击力。            
(2星)	 太2了            
(4星)	 这个雍正很有魅力^^            
(5星)	 重看N次都觉得好好笑。            
(4星)	 闲得无聊可以当搞笑片看看。江华走路姿势总是一摆一摆的啊~！还是对吴美珩不感冒~！            
(5星)	 小时候的经典            
(4星)	 张可颐@2010            
(NA)	 当年太红了…影碟店经常借不到碟            
(NA)	 寻找回忆...            
(5星)	 经典！！            
(4星)	 继续还少年债…职场人生啊…            
(4星)	 好看，彼时的张二小姐让人怀念            
(3星)	 傻傻的皇帝            
(5星)	 當初超愛這齣劇！劇本好之餘，江華×張可頤太符合審美            
(4星)	 职场如战场            
(3星)	 这个电视剧太扯了。。。            
(3星)	 虽说虎头蛇尾，但还是值得一看。            
(3星)	 剧情构架很好 后面拖沓了点 二小姐至始至终都像古代人上身。江华很有谱            
(4星)	 很搞笑 不过看到后来就不如前面好玩了            
(3星)	 人生哪知什麼時候才是相逢            
(NA)	 江华真帅呀！            
(4星)	 日孝带Keneth回家吃饭的时候 真好            
(4星)	 这部剧几乎忘记了，记得斗过风水，蛮好看的，过几天重温一下            
(5星)	 老二果然是gay！！            
(4星)	 穿越的就是好笑...            
(4星)	 那个暑假很迷江华。            
(NA)	 我只看过最后一集..            
(5星)	 好好睇啊！笑死个大头虾！            
(1星)	 扯得不行，虎头蛇尾，最后结局后现代之极            
(5星)	 江华！！！            
(5星)	 大虾是我的偶像！            
(4星)	 哎哟人家其实就喜欢捣乱，失败，再捣乱，再失败的渣受……            
(4星)	 结局好有趣。            
(5星)	 不止搞笑。            
(3星)	 一口气看完了，喜欢超时空类的情节，其实时代再变，人与人之间的感情，还是这模式            
(4星)	 不错有喜感            
(4星)	 最后结尾很垃圾            
(4星)	 穿越+勾心斗角 大爱            
(4星)	 我最爱的TVB呀！            
(4星)	 [不錯的小品吧] 相同經歷者or志同道合者 居家or事業扶持 唉..要選擇是很難,但有選擇其實是幸福的...            
(4星)	 后面几集过于白痴 情节简单 人物也不是很完整 但 我还是蛮喜欢看的            
(3星)	 cyj            
(4星)	 主角我都好爱啊！！可惜结局大家的归属都很匆忙啊。            
(4星)	 室长在看，看了最后几集，感觉蛮好的， 很少看电视剧，但是这个不是TVB的俗剧，哈哈，有蛮多生活哲理的。啦啦啦啦啦啦。生活不必太深沉，有自己的格局 快乐就行啦。            
(4星)	 挺有趣，就是结尾很莫名            
(NA)	 TVB的“皇帝”不少，但最具气质的还是算江华，而且同时饰演两种角色，江华都发挥得很好，走路的姿势、坐姿、语言都很霸气，很有内地张铁林的架势~：）             
(5星)	 真妖邪            
(3星)	 3.5            
(4星)	 江华演的不错的喔——Excuse 朕~~~            
(4星)	 蛮好玩的 张可颐很漂亮            
(NA)	 真的很好笑…            
(NA)	 还算有新意            
(4星)	 是金子在什么地方都会发光的；有些剧情看起来还很搞笑。值得一看。            
(4星)	 还不错            
(4星)	 男主和女主我都很喜欢 居然gay les都一应俱全 - -            
(4星)	 结局比较那啥。。            
(3星)	 LES总是比GAY悲剧。。。苏苏太灵了！            
(4星)	 喜欢这个组合 江华+可颐            
(3星)	 靠···他们也太淡定了吧···            
(NA)	 强烈推荐，超级好看            
(5星)	 江华 甚好甚好！            
(5星)	 HOHO，这部戏，真离谱，清朝雍正和吕四娘，在一次龙卷风中，卷到2002年的港深公路上，一次车祸，俩人都没死，居然到后面都爱上对方，哈哈！整部戏，看的我从头笑到尾，江华真是宝刀未老，连皇帝像皇帝，连喜剧像喜剧，很喜欢吕四娘的直率的人物！            
(3星)	 在家没电视看的时候            
(2星)	 雍正穿越啊，还能在烂点吗！            
(3星)	 穿梭时空 百看不厌            
(4星)	 很穿越，很港            
(NA)	 生理期一口气看完却不治肚子痛...话说当年的江华也算是启迪我花痴事业的人呢,如今他也是人老珠黄轮为大叔了...            
(3星)	 纯粹是为了看电视穿越            
(4星)	 江華演皇帝真適合            
(4星)	 这片子无意见看的，感觉很不错。            
(3星)	 比较喜欢张可颐            
(5星)	 高三毕业的暑假看其他港剧的时候看到这片的预告，竟然现在才看。果然很好看。有被江华电到的感觉，而张可颐很美，清冷孤高的美，很适合古代侠女。            
(4星)	 虽然是老剧，但过年的时候快速浏览一遍，还是很应景很喜气呢            
(4星)	 前面一段还没有穿越的..编剧编的好锉 = =            
(5星)	 江华还有点王者风范的             
(3星)	 介个穿越太搞了~            
(4星)	 真的蛮有劲的，俗中有新意~            
(4星)	 嘎嘎。。不错不错。。            
(5星)	 好喜歡張可頤            
(4星)	 和《尋秦記》並列兩部最喜歡的TVB無厘頭穿越片，近來翻看一次還是笑爆 XD後半段的劇情和前半段爆笑程度有差別            
(4星)	 呵呵，一年之后，三个人成了项羽、虞姬和吕雉。。。            
(4星)	 好看的不得了            
(5星)	 张可颐的表演很赞，好可爱好英姿飒爽的吕四娘！            
(4星)	 我惆怅啊~            
(5星)	 我想说的是！！ 有的地方太搞了！！ 局部看超过五遍，还能笑死            
(4星)	 江华的表演永远是那么生动～            
(NA)	 对江华的演技和看法始终是两个极端。            
(2星)	 开头还比较吸引人，后面就看不下去了，老套            
(4星)	 江华啊..............            
(NA)	 剧情很混乱，到过中山取景            
(4星)	 印象很深的一部，那时候觉得特别好看~（以前看的，纯添加）            
(5星)	 这部剧是江华在TVB里最好的一部。            
(5星)	 精彩!            
(NA)	 为什么你的背穿了个洞。。。我最记得这个台词！！！            
(4星)	 这个印象最深的就是张可颐在电梯里唱歌那段~笑喷了~            
(NA)	 两个女主角丑了点，但是还是黑喜欢这片，哈哈            
(4星)	 江华/张可颐，一个比较另类的搭配，很早看过的了，还不错。            
(3星)	 搞笑            
(NA)	 很搞笑，可以和3d比一下            
(NA)	 江华很搞笑~            
(4星)	 好久不见江华            
(5星)	 超級無敵好笑!!!!!!!!            
(4星)	 哈哈，这也算穿越。            
(4星)	 20            
(3星)	 穿越了，和皇上斗，简直了。            
(4星)	 超级好玩            
(4星)	 香港精神            
(NA)	 搞笑            
(4星)	 搞笑            
(NA)	 穿越剧。            
(3星)	 如果四爷真来到现在，绝不会这样生活            
(5星)	 超级搞笑            
(4星)	 看了会笑死的            
(4星)	 时间穿越，江华同张可颐的确系真够可爱的古代人！尤其系距地讲果D话，实在笑死现代人！            
(3星)	 穿越时空想法独特            
(3星)	 够有想象力            
(4星)	 他们对现代生活适应的很快呀！一看就知道那老三最阴险            
(4星)	 最近时不时回顾一下曾经错失的老港剧，九五至尊算是还不错的一部，虽然剧情有一点点老套，但是二小姐饰演的吕四娘真是让人印象深刻，最后为心爱的人甘心装疯真是很让人动容啊，不过自己还挺喜欢演反派的林韦辰，真相演得不错啊~~~~            
(4星)	 2003年啊             
(NA)	 搞笑，二小姐和江华都很爱            
(4星)	 搞笑好看            
(4星)	 不得不话当年呀            
(4星)	 超有爱的人物设定啊！            
(4星)	 一看到江华我就想到碧血剑里的金蛇郎君，击中心脏啊            
(5星)	 唔错            
(4星)	 哈哈哈            
(5星)	 这个好笑到爆啊啊啊啊啊啊啊啊            
(5星)	 前不久还又翻了一遍。。。            
(NA)	 也是看了一部分。            
(4星)	 挺搞笑的，江华是我认为演皇帝最有气势的。又是穿越剧，但比较特别的是古人向现代穿越了            
(4星)	 只为看江华            
(4星)	 看了开头和结局，其实算是比较轻松的片子，穿越皇帝变身职场高手，江华的演技自是没话说，不过勾心斗角实在变化的够精彩！            
(4星)	 穿越剧很早就流行了            
(3星)	 没有生病前的张可颐，风华正茂好时候……04年接演《长恨歌》的王琦瑶，没人能逃脱忧郁的命运……            
(5星)	 经典穿越剧，值得思考            
(5星)	 睇得下            
(4星)	 有意思，可惜烂尾了。            
(5星)	 喜欢大虾和四娘，尤其是四娘当保镖的那一段，想起来就想笑            
(3星)	 前段时间某电视台放看了几集~一般            
(4星)	 记得是好看的            
(5星)	 大爱啊  还好最后雍正不是孤家寡人            
(4星)	 萌死这个雍正了，江华和张可颐演技都超好。            
(4星)	 爆笑！！！            
(4星)	 古代人穿越回当代，且生活环境具有极相似之地，十分有趣。江华的摇曳神态很像凯文史派西。可惜三公子变坏得太突然，如果只有前十集会更圆满。            
(NA)	 搞笑的穿越什么的，暑假笑死了            
(NA)	 很有智慧的一步片子            
(3星)	 穿越啊            
(4星)	 江华我怎能不爱            
(4星)	 什么时候行侠仗义要收费啊~~哈哈哈            
(1星)	 刚想到的：我是高级黑            
(5星)	 看了好几遍了，很喜欢~            
(4星)	 重温一下，华哥，你去哪里了？断袖分桃、磨镜之好，太基情了。            
(4星)	 虽然三个演员都不喜欢我还是看了 好好看 林韦辰好帅帅            
(5星)	 二小姐 very good            
(5星)	 这部是古代人穿越到现代，好好笑啊！            
(5星)	 反正我喜欢，呵呵。            
(3星)	 虽然张可颐我很喜欢也是凭这部封后的，但是剧情真心觉得一般般~            
(5星)	 情节不能推敲，但是还挺好看的，嘿嘿，四娘很可爱            
(3星)	 看到后来就无聊了啊。话说虽然时代在变，但处世之道和权利之术似乎从未变过。            
(4星)	 江华很赞～张可颐这个角色也很适合她，傻大姐            
(4星)	 虽然有的地方很扯 但整体风格非常可爱 江华又一次迷倒了我 非常值得一看            
(4星)	 其实这剧很不错的,后来每次在电视上看到都不换台            
(5星)	 记得那会儿是实在没有片子看了才选了这个，还发着高烧，根本没抱太大期望。。。结果，一看差点没把我笑死。。。李大虾！这个名字太屌了！小成本的好剧！            
(5星)	 江华好萌。            
(4星)	 是一部倒穿越的剧，古代人穿越到了现代，各种洋相各种出，但同时不乏讨论了许多当下社会的现状，发人深省，值得一看            
(5星)	None
(4星)	 穿越+职场            
(4星)	 演员的评价自不必多说，江华和张可颐的搭配，一个大气淡定帅气，一个有情有义细腻，同时又不缺乏戏剧的无厘头，可以说二人将此角演得惟妙惟肖。关于感情戏，不是很喜欢那样的结局。            
(4星)	 穿越鼻祖            
(4星)	 超级痛快            
(NA)	 前面穿越的时候很好玩，后来家族戏感情戏就一塌糊涂了。张可颐真漂亮。江华的角色特喜欢。真的是是金子到哪里都会发光。            
(4星)	 雍正穿越到2003年。不说年龄、个性相较于历史是否精准，情节还是蛮有趣的。作为2003年的一部TVB剧，细节表现非常TVB，个别地方难免拖沓，但也有其引人入胜的地方。 2003年的剧，一直在强调内地房地产市场的商机，真是所言不虚啊……李大虾满嘴警言警句，获益不少，这么说还值得看            
(4星)	 这个，穿越得有点小搞笑。特别是江华一本正经讲古文，简直笑到内伤。@Home            
(5星)	 故事精彩..将治国之策与办公室政治巧妙结合...江华真帅!            
(5星)	 基本上没有可以快进的地方。。。太难得            
(5星)	 走路很有范嘛            
(4星)	 要说到穿越剧，这一部满正的。            
(5星)	 看着真欢乐，这部片江华太有魅力了~~~！            
(3星)	 港剧还是老的好，剧情挺老套的，江华是实力派，大虾和四娘的感情戏有点跳跃，四娘开始太傻，后来傻得有点可爱，不喜欢结局。            
(4星)	 皇帝打工仔            
(5星)	 所有人都很可爱很善良 最喜欢这种氛围的感觉了            
(3星)	 雍正皇帝玩穿越            
(5星)	 难得一见的穿越佳剧            
(3星)	 看着好烦躁            
(4星)	 雍正的谋略现在也适用，说明了有实力的人那里都会出人头地。皇帝也要刻苦耐劳，心胸开阔            
(5星)	None
(4星)	 剧情太单薄啦，但是还可以            
(5星)	 绝对的穿越经典喜剧            
(4星)	 经典的片子！又在重温，和老妈都真的很喜欢江华！HOHO！            
(5星)	 白领必看            
(4星)	 超喜欢江华的戏~            
(4星)	 古代人穿到现代~以前竟然没看~            
(4星)	 雍正！不许说我八爷！！！！            
(3星)	 好创意被港式表演给毁了            
(NA)	 江华的古装戏的确强大，即便穿着现代装仍能带出皇帝的气度来，喜剧演的也很好，唉，开始怀念小学时看江华和邓萃雯的时代了！            
(4星)	 TVB的穿越剧，四爷穿越到了香港，蛮好玩的            
(4星)	 很搞笑啊            
(4星)	 不知道说什么了.....            
(3星)	 还行 老了点            
(4星)	 笑的抽筋，TVB以前还是很强悍的            
(4星)	 还蛮好看的，港剧真是十年不变呀。。            
(5星)	 虽然制作上不是很精美 毕竟是03年拍的  不苛求 剧情上比现在泛滥的穿越剧好看多了 仔细回味下不错            
(5星)	 超经典的一部戏，力荐了            
(4星)	 很棒的穿越剧。忒搞笑了O(∩_∩)O哈哈~不过格局小了些。            
(4星)	 小时候看的啊            
(NA)	 也只因为江华演的皇帝            
(5星)	 雍正穿越至2003年的香港，原本感觉很无厘头，但实则想表现一个皇帝面对职场的哲学，挺讨巧也蛮稀罕人的。 在我心中TVB -NO 1的剧            
(5星)	 秦沛好帅~~雍正在现代走路的样子太可爱了~~剧情很有爱~我太喜欢好人一直占上风的片子了~~~            
(5星)	 可惜20集太短了            
(3星)	 早期穿越剧。            
(5星)	 雍正穿越到现代，很搞笑的电视剧，哈哈哈！            
(4星)	 拍的有点傻，江华有点帅，剧情有点囧            
(4星)	 江华演的皇帝好看，有意思            
(4星)	 太无敌了。。。穿越+gay+lesbian+宫廷+职场+家族+感情。。。。            
(5星)	 雍正的适应能力真强，四娘太可爱了            
(4星)	 雍正升职记            
(4星)	 比芒果台的好看多了好么。            
(4星)	 还不错哦             
(3星)	 喜欢没事做的时候把tvb当作“背景音乐”来听，一边干别的事。。。            
(4星)	 江华的演技没话说啊。搞笑的一部剧。            
(3星)	 04春节和天天童鞋薏米童鞋一起看的哦~。。。恩说着说着就想起来为什么不想提这件事了。。。。春节过得挺烂。。。往事不堪回首个爪。。。。            
(4星)	 挺不错的老片子，看着很轻松，也不觉得做作。            
(5星)	 很不错的一部剧            
(5星)	 很搞笑，很温馨，我就是喜欢港剧。            
(4星)	 江华好可爱啊，哈哈，总是把腿张那么开，逗死了            
(4星)	 看到二爷一出场就想未免太gay..............            
(5星)	 以前看过            
(5星)	  江华的从容和淡定，举重若轻，很有范，张可颐的娇媚和可爱，很有女侠的气质，其实最主要的是他们俩的台词很有古代的味道，反观内地的古装剧，谈吐十足是还在现代，这或许就是香港的古装剧始终要比内地好看的原因！            
(5星)	 现在各种清穿里在胡扯雍正  看看这样的雍正才是王道            
(5星)	 一算江华都五十了，这个雍正只能说明，牛B的人到哪都牛B啊            
(4星)	 不错的反穿越剧，比现在套着穿越剧的言情剧好            
(5星)	 HHP被戳爆了！！！相见恨晚            
(4星)	 爆搞笑的穿越剧，花两天时间看完，不错！！！早期的穿越也挺经典！！！            
(3星)	 不能接受一对二            
(5星)	 重温了，虽然是老片但仍很精彩。            
(5星)	 太好看啦！            
(3星)	 雍正还不错，吕四娘用脚后跟想也知道不应该是这样的            
(5星)	 再简易的题材，只要立意好，用心拍，也一样精彩好看，引人沉思。对比一下，大陆剧什么时候能达到同样的水准啊~            
(3星)	 这么早的穿越。。。还是穿回现代的。。。            
(2星)	 看颜色就不舒服了             
(5星)	 挺好的 真的挺好 港剧就是不错            
(4星)	 不太喜欢从古代穿越回现代的戏码            
(5星)	 很早的穿越剧了。            
(4星)	 穿越这种东西也不过是tvb玩剩下的。。            
(4星)	 喜剧、穿越、不错的人物和结构            
(4星)	 典型港片。  既然是电视剧么，就不用太在意逻辑细节方面的小问题了            
(4星)	 结尾烂了，怎么就不让江华齐人之福呢？Rachel和四娘...啧啧            
(4星)	 不错的穿越剧！！！            
(3星)	 本片我个人还真不感觉很好看，不过貌似江华倒演起皇帝来也挺有范的嘛，新还珠里不是只有雯女才盖得过前任嘛，如果也让TVB的江华出演乾隆，虽然铁定比不过张铁林这个皇帝专业户，那也一定比现在这个什么邱心志的压得住气场吧！            
(5星)	 很难得是我从头看到尾的一部电视剧，喜欢江华。虽然是老片了，还是看得好带劲，哈哈            
(3星)	 江华在演话剧( ⊙ o ⊙ )啊！            
(3星)	 俺爹非常爱看            
(3星)	 越到后面剧情逻辑越敷衍观众智商。开头很不错~            
(4星)	 没想过  穿越 也可以 如此 吸引            
(4星)	 搞笑啊。。哈哈。。最早的穿越剧吧             
(4星)	 江华平时走路也是这么霸王步么。。。演寻秦记的时候就已经这么个走法了。。。            
(5星)	 搞笑，雍正多有气场呀！            
(5星)	 同样是穿越剧 比宫神马的好看多了 真搞            
(4星)	 江华很萌啊，卡卡~            
(5星)	None
(NA)	 让穿越来的更猛烈些吧            
(4星)	 挺有记忆的一部.            
(4星)	 江华太帅了。            
(3星)	 哇。原来我看过穿越剧的！            
(NA)	 挺好玩儿的 职场哲学啊            
(NA)	 张可颐演得很真实。片中江华本想说好，无奈更爱雯女。BS无责任臭男人。            
(3星)	 初中时看过这部片，觉得里面的权谋斗争很有趣，很聪明。如今回过头来看，虽然没什么新鲜感了，还是很欣赏剧情里面对人心的揣度和办事的果敢。曾有人发问：为何中国一流的人才总是比不上三流的政客？原因就是不够心狠手辣呗。在现代，能讲好政治和权谋故事的好学者一样当不了大官。政治是游泳，靠练不讲            
(5星)	 智慧            
(3星)	 男女主选对了            
(4星)	 就是一部职场斗争戏，不错。感觉最后结局有点不好。            
(4星)	 原来这么早就有反穿越剧了……其实拍得挺不错，亦庄亦谐。想重温天地男儿了。            
(4星)	 之前就很喜欢江华和张可颐的组合，那时看到他们拿视帝视后还开心死了~重温后感觉这剧混杂了那么多元素还可以那么出彩实在难得，足以看出现在的剧flop得太厉害，虎头蛇尾倒是真的，硬是把三少拗成那样看着也有点难受，不过大虾和四娘实在有爱到爆，让人感觉雍正和吕四娘真的穿越过来相爱也不错哈XD            
(NA)	 江华，。。。。你说我有多恨你，我就有多恨你。。。。。你还是自己找个华丽的坑埋了把            
(2星)	 雍正穿越了...            
(3星)	 木想到还不错看            
(4星)	 高三的时候看的~不错~            
(3星)	 穿越= =            
(3星)	 很爱那个时候的张可颐            
(4星)	 可爱的四娘与可喜的雍正甚是绝配。            
(4星)	 很好玩的剧啊            
(5星)	 港剧那个时候还那么温暖那么让人怀念            
(4星)	 既有穿越，又有科幻；既有隔世家国仇恨，又有三角朦胧情愫；有处世哲理，有温馨幽默；有职场上的相互拼争，也有豪门里的勾心斗角。数英雄风流人物，前朝今朝一个样！今天看了江苏电视台的九五至尊~            
(5星)	 TVB才是穿越剧的始祖。            
(3星)	 古穿今的确实不多，现代人喜欢穿越古代然后成为万能救世主但是我比较同意，其实很多现代人厉害现代设备就什么都不是了…………古人比较厉害，更何况像皇帝这么辛苦的职业出身呢………………江华确实残了……            
(4星)	 哈次~~笑死我了            
(5星)	 有点虎头蛇尾 真希望能像美剧一样 一季一季的演下去 实在是好看至极            
(3星)	 角色剧本都乏善可陈，江华还是奸角味道才对。至于张小姐，首次担纲已是巅峰，永无人可超越的区学儿。用这角色夺冠不晓得是讽刺还是安慰，应该是排排坐。居然为摆明煽情的桥段哭到抽。            
(3星)	 【三星半】            
(4星)	 好一个穿越的皇帝            
(3星)	 江华演得很可爱。            
(4星)	 看张可颐和江华            
(5星)	 超好看            
(4星)	 江华很可爱啊            
(5星)	 张可颐好可爱的！            
(4星)	 经典啊            
(NA)	 这里的雍正不只是个人才啊  完全是个奇才            
(3星)	 没什么特别吸引我的...            
(4星)	 很久之前看的，雍正穿越到现代，那时候看的感觉题材还挺新颖，片子也很搞笑，江华我还是挺喜欢的。            
(3星)	 江华还是很帅滴            
(NA)	 好中意   好好剃   看咗三遍都唔厌            
(4星)	 穿越剧什么的最喜欢了            
(3星)	 我把很多时间花在看港剧上了            
(4星)	 最早的穿越            
(5星)	 经典之作。            
(NA)	 四娘萌死了~好搞笑哈哈。。而且里面的商战都算系咁嘅了~剧情很曲折。。只是20集来说发展太快了。。整个idea是很好的但从刚穿越的适应转变到结尾感情戏收线都仓促了些的感觉。。。古装部分山寨到爆还好只占了一集不到。。总的来说怪好看的^_^女人专爱演这种带点特别的小制作 也算图个轻松~            
(4星)	 职场人事关系看得我心惊胆战的哇！！！原来这么勾心斗角！            
(5星)	 很经典了 就是结局很郁闷            
(4星)	 算是不错的穿越了，可学的也不少            
