http://movie.douban.com/subject/3330144/	巾帼枭雄 巾幗梟雄
(5星)	 很震撼的剧 果然在我心里 情义比爱情动人的多            
(4星)	 2010.12.24绝对最好看的港剧，女老板好爽！我是御街控啊～好崇拜好崇拜！            
(4星)	 黎耀祥太到位了！！！蒋必蠢大概是吴卓羲演过的最有爱的角色了吧～四星是为了给义海留一点空间 哈哈哈            
(5星)	 2009年和2010年的怨念彻底结束...不知明年会怎样            
(5星)	 爱死了。正            
(NA)	 人始终是渺小的。斗不过天意，抗不过时局，拗不过命运。            
(4星)	 人生有几多个十年？最紧要活得痛快！            
(5星)	 人生有几多个十年，最紧要活得痛快！            
(5星)	 人生有几多个十年！            
(3星)	 真是看得太闹心了，简直想把笑面虎大奶奶少根筋二奶奶愚忠祥发叔蠢奸蒋必文懦弱三奶奶一个一个掐死哦……柴九身上有点戏，很狼性，后期转变之后反而没那么真实了。三奶奶很深明大义，永远都能顾全大局永远都“一切都在掌控中”，太高大全了也没啥共鸣。            
(4星)	 演技一流、摄影构图都不错，只是故事稍有老套            
(5星)	 这么好的片子 这么晚看 真是造孽            
(5星)	 必须是视后            
(3星)	 很多的伪高潮~~剧本还算能看~            
(4星)	 受伤只能看电视......俩位主角的表演实在是赞，俩人之间的感情也是令人动容。            
(3星)	 完全没有传说中惊艳！雯女是功力不错 可惜不能挽救大局。            
(5星)	 那啥 封面的表情有点囧...            
(3星)	 发现我同事杰西卡长的很像惠英红            
(5星)	 TVB的好剧~人生有几多个十年，最重要是活得痛快。            
(5星)	 这部片子应该是靠着口碑而出的，之前宣传的时候并没有在意他，去在意了宣传很好的宫心计，但是另我很失望。回过头来这部戏我觉得几个演员的演技真的很棒，剧情也不错，虽然有些地方有些牵强，但是是个很棒的片子。            
(5星)	 太爱男女主角了，不过剧情真是好一般啊            
(3星)	 生死之交            
(5星)	 柴九说：“人生有多少个十年！”            
(3星)	 结尾不俗 只是知己            
(4星)	 人生有幾多个十年            
(4星)	 虽然不错但未免捧得太高了喂..人生有几多个十年！            
(3星)	 DVD-RW            
(NA)	 老套的剧情，但是却不单调。            
(4星)	 很是精彩。人物塑造很棒。            
(5星)	 柴九!!!!!            
(4星)	 知己和爱人是一样的还是不是一样的            
(5星)	 人生有多少个十年，一定要活的痛快            
(NA)	 人生有多少个十年            
(NA)	 今年最好看的            
(5星)	 四奶奶帮。好历练的女人啊。偶像。            
(4星)	 哈哈哈哈哈哈哈，挺好看的~            
(5星)	 确实好看，说的不是感情，说的是坎坷人生。            
(4星)	 人生有几多个十年啊——柴九哥            
(5星)	 所谓人生得知己可以死而无憾            
(5星)	 看看这部戏，学会如何危机公关。            
(4星)	 2011年元旦三天爸妈与我一起看，看完之后我爸妈说，我们终于明白你为啥那么喜欢看香港片了，真好看啊！！我窃喜，心想：还好你们俩看的是这部，要是看别的傻逼兮兮的，你们估计永远没办法理解我。完了之后，我爸还逼我给他下红蝴蝶做铃声，那敢情好，我把我自己的拷给他便是。            
(3星)	 我靠，邓萃雯那铜钱头震死我了！倒数第二三集的时候终于正常了一回。这电视剧好看在哪里啊？简直是郁闷。坏人难道一定要大彻大悟？大奶奶的那个结局真雷人。            
(5星)	 强大的演出。演的太好。除了吴卓羲和他老婆:)..            
(3星)	 现在TVB都喜欢讲圣人故事额。。。不过还是喜欢邓萃雯~            
(4星)	 又是个厉害的女人啊~            
(4星)	 人生有多少个十年 柴九 四奶奶 真的是太震撼了            
(NA)	 四奶奶，柴九。            
(4星)	 火里火里去 水里水里游。            
(5星)	 人生有几多个十年，最紧要活得痛快            
(5星)	 主题曲很好听            
(5星)	 小黎终于主演成功了！            
(5星)	 强烈推荐!!!!            
(5星)	 这个名儿起的好            
(5星)	 邓萃雯!!!!!!!!!!            
(5星)	 好久沒這麽追過TVB啦,唯一可惜的是本來很有力的劇情被[面向師奶受衆]這個框框死了OTZ.            
(4星)	 柴九哥...人生有几个十年.....            
(4星)	 什么都没发生的爱情，和什么都发生过的友情还是那么让人尊重。难得在没有期待的状态下看到了出乎意料的好剧。            
(4星)	 人生有几多个十年！最紧要活的痛快！            
(4星)	 上半年唯一打四星的一部片子啊 黎耀祥的演技真是没话说得好&gt;&lt; 好多配角怎么死都死不了比如必文和舅少            
(4星)	  双鱼女+金牛男            
(5星)	 24（上&amp;下） 完结            
(5星)	 我向来不爱看时局动荡的戏码，可是朴萄说，她看这个一集都没有快进。什么好评都比不上这句推荐语能让我去看            
(5星)	 贱人至贱，义者荡气回肠。            
(5星)	 好睇无得弹！            
(3星)	 看到后面有点看不下去了。。。。。。。。            
(4星)	 柴九哥传记！            
(3星)	 烂尾..            
(4星)	 里面讲述的情感太大了，不是很合口味。顺便嘲讽一下零演技舅老爷~            
(4星)	 好看！！！            
(5星)	 唯一一部完整看完的TVB片子。。。            
(5星)	 = = ...原来我老是忘记记录啊            
(4星)	 好几段眼泪都要流出来了。最近比较易感。            
(5星)	 要是雯女也息影了，TVB可怎么办呢。            
(5星)	 套路虽有，但精彩纷呈。情义原来还能这么呈现，太淋漓太稀世。港剧从小看到大这却是迄今最真切的一次动容。            
(5星)	 给力            
(4星)	 = =我就选精品看看 高潮还是那样迭起= =雯女和黎耀祥在这出戏里面真是发挥的够大的！！！            
(3星)	 没有义海豪情好看·~            
(4星)	 我在北京追普话版TVB            
(5星)	 爱是崇拜是敬仰            
(5星)	 人生有几多个十年啊，最紧要痛快。            
(4星)	 还蛮好看的，在最近消磨时间看的一群TVB里。            
(5星)	 结局太弱了，不过开头已经值得五星评价。            
(4星)	 蛮好看的~            
(4星)	 人生有多少个十年，最重要的是活得痛快！~            
(4星)	 人生有多少个十年~~~            
(5星)	 作为国产的，满分算是一种嘉奖            
(4星)	  钟意柴九。            
(4星)	 哇～～好纯情的励志片！            
(5星)	 还是金枝欲孽最好            
(4星)	 剧情虽然是老剧情，但好看得很            
(NA)	 妻妾成群这个名字真心直白            
(4星)	 难得看了一半左右             
(4星)	 真讨厌这个结局！            
(4星)	 演員都是心頭愛!!            
(5星)	 不错，本来在电视上看的，后来因为有事没看完，就跑来网上看。挺好看的，超赞四奶奶的爱心和智慧：）            
(4星)	 抛开情节有漏洞人物过于面孔化不谈，我觉得柴九的故事还是相当励志的，所以四星。PS 口才和演讲能力是多么重要啊！            
(4星)	 元旦三天某台每天连续8集狂播，于是就这样看完了。柴九的一生大起大落，去到最後為知己而死“死而無憾”。四奶奶為當代女強人，有生意頭腦，做事果斷，受到萬民敬仰。兩個傳奇人物常互遞秋波，可是絕無越界行為，到死都以“知己”相稱，就因為世俗成見，道德枷鎖而壓抑懵動的情愫，可惜了。            
(4星)	 人生有多少个十年，最重要的是活得痛快！~             
(4星)	 放假在家无聊看了 里面一些做人的道理 很对            
(4星)	 港剧上品。感谢安徽卫视～一年有几个三天假期，最重要的是痛快！            
(4星)	 最受不了这种心心相惜的年代戏了，没错，我就是好这口。            
(4星)	 睡觉前的调味品            
(5星)	 非常好看            
(5星)	 邓萃雯的演技炉火纯青，黎耀祥也大好！！！            
(3星)	 也许这个看了七集以上。。觉得还蛮起伏跌宕难以想象的。。。。            
(4星)	 “人生有多少个十年？最要紧是活得痛快！”－－柴九            
(4星)	 人生能有多少個十年~            
(4星)	 算好看的。四奶奶~            
(4星)	 还挺好看的。            
(4星)	 今天早上陪老爸把這個電視瞄了兩三集. 好喜歡那個&#39;四奶奶&#39;!!!啊! 如此的beautiful &amp; brilliant, role model :)            
(4星)	 大奶奶你怎么可以随后从良了！！！谢雪心你耍狠最萌了啊！！！            
(5星)	 那个沙寨主长得有点像我爷爷……            
(4星)	 剧情很紧凑            
(5星)	 竟然米有收藏过。为了小脚妹第N次看。悲剧的殷凤仪无疑是最点睛的人物=o=其实你是个好妈咪。风中凌乱大骂天煞孤星真是虐死人~            
(4星)	 在嫉妒无聊的假期 看看也无妨...大奶奶是不是戴了美瞳呀 瞳孔真深邃            
(5星)	 剧情好，智慧型，还看到恐怖的任性扭曲。            
(5星)	 人生有几多十年            
(4星)	 祥仔终于出咗头，由龙套仔晋身准戏骨啦。            
(NA)	 人生能有几个十年哪            
(4星)	 在TVB的模式下，剧情，表演都算上乘，雯女的角色并不舍我其谁的气势，倒是黎耀祥的发挥来得大，谢雪心的那些粤剧名伶的架势在本剧中恰到好处，窃以为他俩在本剧的表现都高过雯女，好看在于集集相扣的高潮....            
(5星)	 啊，血性！            
(4星)	 四奶奶还是木有九姑娘好看。。。吴卓羲演了个乖仔嘛~我雷雨情结爆发~            
(NA)	 2012-02-06 演员都够不错，可惜编剧有点把观众当白痴，大少爷和三娘两个角色写得不好。只能说在同时期的剧里算不错的，但纵向去比较也就一般了。            
(4星)	 那些衰人让我把五星的戏活生生看成了4星            
(4星)	 人生有幾多個十年 最緊要痛快            
(3星)	 烂尾            
(4星)	 厉害的女人            
(4星)	 黎耀祥终于熬出头了            
(4星)	 对于我这个片还挺压抑的，太TM虐的人生了            
(NA)	 人生有多少个十年！最要紧是活的痛快！人生得一知己，死而无憾。            
(3星)	 人生有几多个十年！！！！(为什么黎耀祥又是咳血症，  这个叫张华标的编剧想不到其他的病吗？)            
(3星)	 凑合着的一部剧。            
(3星)	 完全是因为喜欢鄧萃雯而看的。            
(4星)	 “人生有多少个十年！”            
(4星)	 总感觉像古装版溏心            
(4星)	 TVB里让我看的时间最短但是看到结局的            
(4星)	 人生有多少个十年~就是要痛快！            
(4星)	 人生有幾多個十年 最重要的是活得痛快            
(4星)	 相当好啊~这部和铁马寻桥都还是挺不错的，即使是TVB的一贯路线还是很愿意看下去。柴九和四奶奶大赞！            
(5星)	 我实在不知道这辈子还能等得到多少部这样的连续剧。对比现在的前前后后几年的作品，tvb没有可以超越的了。            
(5星)	 演员使得剧情完美。            
(5星)	 看国产剧的好处就是不用太费脑子也都不用纠结,好人真的好好,坏人就是该死.好分明.这个剧,演的都算很不错了.            
(4星)	 四星半！剧情演员都取胜的TVB是越来越少了。。这个好！            
(4星)	 好看~            
(NA)	 仅看了片刻            
(4星)	 更喜欢邓萃雯金枝欲孽里面的凶悍            
(4星)	 每次看邓萃雯都要想起白小蝶...原来邓萃雯也已经到了演妇人的年龄。            
(4星)	 米铺版孝庄和多尔衮。            
(NA)	 01 - 14            
(NA)	 TVB又一全能型女主角            
(5星)	 太帅气了啊啊啊看得我豪情万丈血脉喷张热泪盈眶荡气回肠啊！四奶奶那奏是女人的榜样，邓萃雯终于媳妇熬成婆拿下tvb视后~ 96年姚小蝶的模样历历在目呀，就是这里的妆和发型太难看了&gt;,&lt;。柴九哥总算当男一了！人生有几多个十年呀~\(≧▽≦)/            
(4星)	 以后少看点这种明争暗斗的剧，否则心理迟早扭曲！            
(NA)	 很好的戏            
(5星)	 不光为谁，一群人都演绎的很好            
(5星)	 好看 好看 好看！！！            
(3星)	 没一个性格讨喜的，俩只主角性子尤其讨人厌。            
(5星)	 現在回想起來 覺得還想再看一邊。            
(5星)	 多亏有港剧  大陆从来拍不出这样的电视剧            
(4星)	 人生有几多个十年。            
(5星)	 我是四奶奶幫和柴九幫的。幾犀利。            
(4星)	 不错 一口气看完的            
(4星)	 差强人意            
(4星)	 基本上来讲，情节紧凑，扣人心弦，算是TVB最近最好的一部剧集了。            
(4星)	 女的越老越让人喜欢的少之又少 邓萃雯算一个            
(5星)	 我就喜欢小人物。            
(4星)	 人生得一知己，死而无憾！            
(4星)	 这是一个说危机管理的办公室政治故事            
(5星)	 人生能有几多个十年，最紧要是活得痛快。最后编剧没有安排四奶奶同柴九在一起是对的，他们的感情从来都不是男女之情，他们是视对方为自己可以舍命相随的知己。            
(4星)	 我原谅黎耀祥拿人气男角色奖。            
(5星)	 好看~！            
(5星)	 立意不俗，一部优秀港剧。视帝视后众望所归。            
(5星)	 超赞！            
(4星)	 比宫心计好多得多了            
(4星)	 邓萃雯和黎耀祥演的都很好            
(5星)	 睇完呢个剧我都变作四奶奶帮嗰人来o架。因为柴帮主好嘢好威猛，我钟意呀！追随追随！——贺峰噶前世果然系有钱人来o架~~哇哦，佢屋企o既大奶奶都几有气势，连同介帮衰人都衰得o甘有型……真系个个我都钟意呀，钟意到短短百四十个字写唔落呀！&gt;o&lt;            
(4星)	 人生有几多个十年？！            
(4星)	 世間什麼愛叫純潔,處在絕望仍力竭,留守最尾一起哪怕歷劫            
(3星)	 下面的影评写得比电视要好看            
(5星)	 看完之后心情很复杂⋯⋯            
(5星)	 好精彩。            
(4星)	 比第二部好多了。            
(4星)	 纯粹是为了黎耀祥~            
(5星)	 人生有多少次机会，有几个十年。            
(NA)	 看不下去，删了！            
(4星)	 随着化妆技术的发展，邓萃雯显得越来越年轻了            
(4星)	 人生有多少个十年。            
(5星)	 女强人            
(5星)	 老戏骨飚戏很过瘾~            
(5星)	 剧情跌宕噢~            
(5星)	 四奶奶～            
(4星)	 注意，彭铿那个丑角也系个亮点--            
(4星)	 虽然气到爆肝，可还是看完了！！！            
(5星)	 很霸气。            
(5星)	 怄气与吐气……            
(3星)	 太有于模式和脸谱化，只完整看了前１０集，后面都是跳着看．            
(3星)	 世界上确实有这样一种人，不招你不惹你，就是一出现，就让人从心底恶心出来。            
(NA)	 老骨牌斗演技，好看            
(5星)	 看得我跌宕起伏风生水起。            
(5星)	 我喜欢邓萃雯，啦啦啦。            
(4星)	 演员很赞，但剧情上的硬伤还是不少。            
(4星)	 邓萃雯怎么就不拿奖？            
(3星)	 邓萃雯真不错。            
(4星)	 邓萃雯撑起了一部好剧            
(5星)	 人生，能有多少个十年？            
(3星)	 个人传记，到最后让我觉得整个故事都在说柴九~            
(5星)	 很欣赏和喜欢四奶奶在上面的性格和勇气，欣赏蒋老板对四奶奶的信任与感情，更欣赏和柴九的那份友谊            
(4星)	 人生有几个十年            
(3星)	 人生有几多个十年！！！   黎耀祥的演技好~~！            
(5星)	 人生能有几个十年            
(NA)	 开头真是好看呀            
(5星)	 看得我高潮迭起，泪流满面的            
(4星)	 看完飞速去做炒米吃，减肥啊            
(3星)	 断断续续地看            
(4星)	 邓萃雯完全独挡。黎耀祥终于男主了。            
(2星)	 看第一集，不是很喜欢            
(5星)	 剧本非常精彩。至于两个主演就更不用说，看他们演的戏本身就是享受了。            
(4星)	 邓萃雯也没有格外表现出演技 谢雪心气场强大得多 彭铿也不错 受不了好人老在忍气吞声            
(4星)	 ★★★★人生得一知己，别无所求。3天看完，相比美剧，感觉还是港剧更能让人一集一集的追下去。            
(5星)	 非常非常精彩！！邓萃雯的演技真是没话说了！！TVB今年最出彩的剧集之一！！            
(5星)	 知己            
(4星)	 人生有多少个十年、最重要是活的痛快。活的无憾。一部很不错的励志剧。斗剧。            
(4星)	 6.4始~6.27毕~柴九总是力挽狂澜~还不错~好人受委屈都不会受太久~好多人都死了呢....            
(4星)	 人生有多少个十年            
(4星)	 众口铄金，积毁销骨，无论对于正义还是邪恶的一方，都是颠扑不破的真理。“人生有几多个十年”，说得未免也太多了一些            
(5星)	 好剧是这样炼出来的，人生有幾多個十年...            
(5星)	 實在喜歡你眼神            
(NA)	 人生有几多个十年？            
(4星)	 还是老套的tvb。看完只有一句说话，我觉得四奶奶最后的发型比黄瓜片好看多了！            
(NA)	 老戏骨即是老戏骨            
(3星)	 有起伏，无高潮            
(5星)	 2009主推的电视剧            
(4星)	 人生得一知己者死            
(5星)	 好劇            
(4星)	 在基本已经对TVB完全失望的情况下 燃起一团火 有雯女果然没错            
(5星)	 澎湃！澎湃！先前对黎耀祥一直都定格在西游记里，现在真是飞跃千山万水去了啊啊！！            
(3星)	 大老婆好讨厌            
(5星)	 这大概是09年最能给我勇气的一部电视剧            
(4星)	 哇！黎耀祥！影帝！GO FOR IT！            
(4星)	 最爱邓萃雯            
(5星)	 我係499幫既人            
(5星)	 知己当如此，患难显真情。此片拍得很有血性，人生有多少十年，最重要痛快！            
(4星)	 终于大结局啦~女人当作康宝琦！            
(5星)	 09-6-17edTVB的寓教于乐，可谓又一经典，2主角都很彪悍~~~喜欢            
(5星)	 柴九柴九，其实看谁都行，演技都HLL的太好了：）            
(5星)	 开年看的荡气回肠，安徽卫视。2011.1.2-3            
(5星)	 人生有几多个十年啊~            
(4星)	 士为知己者死            
(4星)	 就为邓萃雯。人生有多少个十年            
(4星)	 还是二好看            
(NA)	 好看好看好看            
(4星)	 很正统的TVB剧，太正统了，反而没有什么惊喜，尤其是看到那些熟面孔们都老得变形了之后。。。;看了过半以后进来更新一下，剧情太赞了，推荐！            
(NA)	 201101其实我不喜欢古装剧的，但是这片子确实不错，也只有TVB能拍出这样的恩怨情仇来的            
(4星)	 所谓有情有义，所谓儿女情长，所谓生死之交，全在四奶奶和柴九的对手戏里了。            
(4星)	 可惜其实四奶奶和柴九也没能见证一段纯友谊~            
(5星)	 人生有几多个十年？！做人最紧要活得痛快！            
(4星)	 先看义海豪情再看巾帼枭雄，就还是觉得更爱义海啊，一出场就气势逼人，爱奸妃这种口号要喊一百万遍！看这个的时候一直想，还好义海豪情的下世传奇他们算是在一起，还好……义海豪情的妆面同服装都没有这部这么雷。。。            
(4星)	 当年喜欢黎耀祥演的韩信喜欢得不行。终于火了            
(NA)	 【2009-04-27】            
(NA)	None
(4星)	 这部剧里其实有非常多救恩的隐喻。里面的许多角色都是我们生活中真实扮演着的。你选择做里面的谁？我觉得自己和里面一个人很像，最像的地方就是我们都把四奶奶作为榜样。            
(5星)	 真心太棒了！            
(4星)	 之所以给四星推荐看一看呢，是为了做个铺垫，这样在看义海豪情时突然听到第一部的插曲才会倍感惊喜。而且那还是黎耀祥唱的。            
(4星)	 太好看了，各种曲折啊            
(5星)	 “人生有几多个十年？”            
(5星)	 人生如戏，自作孽不可活，人生路上，千万别走恶道，要走正道            
(4星)	 我只舍得给四颗星啦，因为有金枝在前，不过还是很好看。            
(5星)	 估计是tvb近年来难得滴好剧，现在一看，也好久了。哎。。            
(4星)	 我整个人都十年了。。= =            
(3星)	 大奶奶是打不死的小强= =            
(5星)	 惊心动魄的大龙凤            
(5星)	 没人可以这么完美            
(4星)	 事实证明 上面有人比啥子都牛逼！～            
(4星)	 都是老戏骨~            
(3星)	 定睛一看原来这个播出时间早很多。。。            
(4星)	 一天看完了...            
(5星)	 看了两遍，柴九和四奶奶的交情——生死之交。            
(4星)	 四星半，很好看！邓萃雯实力演出！虽然大部分很煽情，但却是表露人性！柴九等个个重情义！讲信用！大奶奶和混蛋儿子活该这结局！            
(4星)	 挺好看！阿九是不喜欢宝琦啊            
(5星)	 看到太晚  结果第二天起不来迟到了有木有。            
(5星)	 黎耀祥的演技好得没话讲   人生有几多个十年，最重要的是活得痛快            
(5星)	 人生有几多个十年，最重要是活的痛快。            
(5星)	 耀祥叔（喂）闪瞎人眼啊！赞！            
(4星)	 开头很精彩，结尾有失望。邓萃雯很霸气。            
(5星)	 巾帼已经足够巾帼，枭雄却还很不够枭雄。但不失为一部经典好剧。            
(4星)	 窠臼中，不过人生能有几个两天，能这么痛快的看个剧呢！柴九哥真的是天生的演讲家啊！            
(4星)	 不系太清楚到底想讲什么。            
(5星)	 一个女人的史诗，一个女人给男人的力量            
(4星)	 还是港剧的节奏好~~            
(3星)	 人生有多少个是十年？            
(NA)	 柴九没法不死。            
(3星)	 前20集都好，后面实在看不下去了，直接拉大结局            
(NA)	 为了个打酱油的蒋必蠢我竟然看了整整25集吖！！！！！            
(3星)	 这个不如义海~~~个人意见            
(3星)	 一个伟大的女人改变了若干男人的一生。四奶奶真是个伟大的人，做女人做到这个地步真是无话可说。但是我真的很难喜欢柴九这样的性格，大概我不够洒脱吧。            
(4星)	 勉强4星，现在的TVB没有90年代好看了。以前挺喜欢猪八戒的，怎么看完之后觉得黎耀祥那么猥琐。。【经过几天的思考，我终于明白了，猥琐的不是黎耀祥，是柴九。。。。。。祥哥还是很帅的            
(3星)	 其实只看了最后几集 笑死我了···我是海棠我儿来纱得起4奶奶和柴九也·            
(5星)	 几有心思一个女人。人生无几个十年，要痛快滴啊。            
(3星)	 小乱学粤语之第一部。剧情太狗血了，好像各个失心疯。吴卓羲蛮好看的嘛。。。哦哈哈哈哈            
(4星)	None
(3星)	 非常奇怪的第二部比第一部好看，第一部黯然失色呀            
(4星)	 确实不错            
(5星)	 剧情很紧凑啊~高潮迭起~            
(5星)	 环环紧扣            
(4星)	 人生有多少个十年？            
(3星)	 我怎么觉得编剧有点不和逻辑啊···            
(4星)	 好看            
(4星)	 很久没看到这么精彩的古装港剧了            
(5星)	 好片哪  现在理解利仔怎么这么迷，确实好看。。            
(3星)	 很贴近现实生活的一部剧。            
(5星)	 邓萃雯演得真好！            
(5星)	 这才是经典            
(5星)	 great！            
(4星)	 人生有几个十年。            
(3星)	 坚持了十来集，看了开头和结尾……            
(5星)	 人生有多少个十年！            
(5星)	 人生有几多个十年？最紧要系痛快！            
(4星)	 场景太少了吧....转来转去就这么几个地方....            
(4星)	 我推荐我的革命家庭看第二部去了。。            
(5星)	 看到一车一车米运回柴九家乡的时候眼泪哗哗的……            
(4星)	 细来来好劲！！！            
(3星)	 妻妾成群这个名字更好~！            
(5星)	 最后看到四婆和柴九的墓碑就差点掉下了眼泪。人生有多少个十年，最重要的是活得痛快。            
(4星)	 相比义海豪情，巾帼就给4星老~            
(4星)	 好看！~            
(4星)	 有情有义!            
(5星)	 人生能有多少个十年！            
(4星)	 四奶奶帮的。            
(4星)	 黎耀祥演的真是出彩。            
(5星)	 力挺邓萃雯            
(3星)	 看过第二部就觉得第一部太一般了！            
(4星)	 也许很不错。但看过艺海豪情，神马都没味道了。。。还是最爱九姑娘和刘醒啊！！！            
(3星)	 前面不错，后面又俗套了~~哎~~还是继续美剧            
(4星)	 先看的后部，再看之前，感觉气场少了很多啊。。。。。            
(4星)	 前面特好看。。后面一般般~~~去看2啦~            
(4星)	 争夺            
(4星)	 正义打败邪恶 奥特曼打败小怪兽            
(4星)	 四奶奶和柴九分明是爱情，而且比一般的爱情更有安全感。如果这是在现代社会，如果柴九大胆的追求四奶奶，也许又不同了。            
(4星)	  放小假在爷爷家看完的。突然感觉以前窝在寝室一起看TVB的日子已经很远了            
