http://movie.douban.com/subject/4848097/	点解阿Sir系阿Sir 點解阿Sir係阿Sir
(3星)	 本来是想看吴卓羲的，，，有点失望。。。ron戏份太少而且是个表白狂= =十次出来7次在跟miss何告白= =            
(3星)	 看完全剧剧透后果断弃啊，TVB编剧是脑残啊。BOSS瘫痪，RON残疾了！剧情我一个星星都不想给，看在几位主演的面子上。。            
(NA)	 元素多了点。。            
(3星)	 和洪武一起看 就觉得这部戏真是弱呀。。。            
(3星)	 20集之后才进入状态            
(3星)	 无语。。。            
(NA)	 各種打醬油            
(4星)	 真心觉得没有评价的那么差啊            
(3星)	 看着carmen和miss Ho觉得好讽刺！~~~            
(3星)	 钟嘉欣演的古嘉岚不错……我喜欢最后马国明的单身爸爸，虽然出场不超过五分钟- -            
(NA)	 好好看呐            
(2星)	 终于忍不住看不下去了。            
(3星)	 钟嘉欣一酷就很有味道。            
(3星)	 剧情不够有看头，但是是欢乐的校园，卧底搞笑剧，陈豪的搞笑风格自成一套，还有蒋志光，挺好看的。            
(1星)	 此片点解无人爆粗口。            
(2星)	None
(3星)	 果然后面好看起来了~罗SIR是个烂人！！            
(2星)	 剧情很烂，人物设定更烂，可惜了演员阵容            
(NA)	 当卧底应该可以拿两份工资吧，表面工作一份，卧底一份。真赚~            
(4星)	 搞笑~~~~~~~~~~            
(4星)	  吃饭的时候看正好。。            
(3星)	 真心希望刘家豪多拍一些像大家族、巨人、龙兄鼠弟之类的经典            
(3星)	 从关爱青少年这个角度来看还是很正面的            
(2星)	 陈豪在这部剧中的搞笑已沦为发贱，但比较喜欢杨怡和钟嘉欣的造型            
(3星)	 虽然情节真的很无聊我还是很欢乐得看完了。。。            
(NA)	 完全冲着miss cool去看的            
(2星)	 一颗星给夹心三分钟哭戏，掉钥匙很传神。一颗星给抢U盘。其余来看就是一部主角烂就算了还很贱的戏。感觉整个戏就在踩各种正面人物，反而黑社会有情有义真诚善良。这是在作甚？陈豪浮夸不是一次两次，杨怡这种三好角色更是惹人生厌，Ron这个角色也是气得人想拿大棒子揍丫！法庭上骂得多对：贱人！贱人！            
(NA)	 没评价，第一集就直接让我弃剧了。            
(3星)	 前面有新鲜感，后面感情戏好烂            
(4星)	 钟嘉欣的角色太惨了            
(3星)	 哈哈哈哈哈            
(5星)	 我是很少看TVB的，这次也就是为多接触白话而看了这部片子。整个片子洋溢着积极向上的气氛，一扫大陆偶像剧恶搞的影子对钟嘉欣特别有好感，第一次发觉自己还会喜欢酷酷的女生            
(4星)	 看到23集了。我发现我还挺喜欢看校园题材的戏的，若干年前的那个《青出于蓝》比这部无聊多了我也看得津津有味。            
(3星)	 陈豪跟他上司每次见面的情侣装好搭哦 哈哈            
(3星)	 灰常的无聊啊。小孩撑不起剧。            
(4星)	 因为爷爷，必须给四星！！！吴卓羲胖了不少。            
(3星)	 看到快结束才开始有点看头            
(3星)	 Jan 13rd, 2012 iTV            
(2星)	 好烂嘅剧集~            
(2星)	 真是看不下去啊陈豪那挫样。。。            
(3星)	 钟嘉欣的翻身之作             
(3星)	 喜欢里面的 Miss Cool ，甜美的嘉欣演起酷酷的角色也很可爱呢。对剧情比较无语，不该这么儿戏感情的            
(3星)	 这里面MISS HO更惨好吧，最苦的是她了。。结局很平常。。。也算满意啦。            
(2星)	 为了陈豪来看的。。顺便说剧名的时候得瑟下粤语。。TVB现在演员也太短缺了吧，什么戏都把杨怡抬出来。。= =            
(2星)	 再也不想看Mo演戏了....            
(3星)	 钟嘉欣演的“miss cool”有眼前一亮            
(3星)	 前半段这个剧没法看，硬着头皮看下去的。钟嘉欣出场了以后感觉还不错。其余三个角色那个坑爹啊，没看完。            
(4星)	 陈豪的傻样一直让我们边看边笑~整部剧带来了无穷欢乐！但是我真的要被贱男打着卧底勤恳工作找证据的旗号玩劈腿的剧情折磨得要骂人了，同问：“警察办案就可以不择手段欺骗他人的感情吗？！” 第27集的钟嘉欣真是让人好心疼……再加一颗星给carman和ceci的姐妹情和好老公倪峰。            
(4星)	 还可以把            
(4星)	 力撑陈豪            
(4星)	 前面各种美好精彩激情~但其实电视剧到27集就可以结束了。。简直狗尾续貂。。扶额头。。            
(2星)	None
(3星)	 Miss Koo            
(5星)	 陈豪还是一如既往的扮傻，不过最后几集还算精彩            
(2星)	 2B！夹心妹子美，马明酱油亮！            
(4星)	 钟嘉欣还是这样的扮相好啊~杨怡演技不错。程sir是个悲催的角色。。。            
(NA)	 求此一首英文插曲，是miss ho 去医院看看弟弟，在22集。。            
(3星)	 这部片看多了 你就觉得身材魁梧的钟嘉欣竟然还蛮好看的。看到一半就发现其实里面最坏的就是那位罗sir。不能如此摧毁一个好女人的生命。不管以什么理由。            
(4星)	 港剧真是背景剧的首选，无论在做什么事都不耽误你理解剧情。所以三天一部的速度我全都看懂了，同时也不耽误做事。对于一向虎头蛇尾的TVB，这部剧并不讨好，前半部轻松的慢节奏让习惯了大场面开戏的TVB迷们觉得很是无聊，难得后半部情节紧凑，整部剧还算不错。顺便提一句，这里的钟嘉欣很顺眼。            
(NA)	 miss koo 阿！！！坐等第二部            
(3星)	 钟嘉欣，虐死了            
(3星)	 听说亮点在嘉欣？            
(NA)	 无解啊！            
(2星)	 什么点解阿sir系阿sir？屌鸡巴不啦噶            
(3星)	 年度囧片。。。            
(3星)	 钟嘉欣的角色确实悲剧，无怪她哭得如斯凄惨。            
(2星)	 实在忍受不了陈豪在里面的傻乎乎，他那个动不动就说不要丢脸给日本人的爷爷才是我想看下去的动力            
(4星)	 我觉得还不错，喜欢            
(4星)	 卧底的确是一个很纠结的角色，牺牲自己的感情、纯洁来换取所谓的大义，价值观不断颠覆。夹心太出彩了，终于摆脱了不是傻哭就是傻笑的角色。mo叔你可不可以不搞笑了，你可以做型男的……            
(3星)	 七七八八的看完了，起初当喜剧看的，结果越来越雷，还夹杂着虐心，结尾也被女一男一雷到了，你们是有多墨迹，又不拍续集了，痛快点不好吗，最后一集硬生生的拼凑出来的。            
(3星)	 吖~里面我喜欢的人还蛮多的哦~之前怎么没看叻...            
(4星)	None
(3星)	 各种觉得钟嘉欣演技好啊...我是肿么了...            
(3星)	 这个片子木有看完~勉强算看过吧~可能过了中学生的年龄~看这种就不再投入~木有投入当然就会感受不到原本影片要传达的讯息啦~所以在我看来这部稍微有点属于恶搞~也许我应该要继续看到Miss Cool出现再做评定~            
(4星)	 好好笑！！哈哈哈 最后出来的小萝莉好可爱~夹心果然是美人胚子！！！            
(2星)	 无聊至极·······              
(1星)	 忍耐着看了第一集，然后死都不想再看了。            
(3星)	 moses真心演的很傻            
(3星)	 各花入各眼啦~~~30集用3天看完，都看得下去~~~杨怡角色其实很好~~特别是跟“港女”相比的话……哈            
(2星)	 神马啊。。。            
(4星)	 钟嘉欣翻身之作。            
(3星)	 贱男是怎么炼成的。            
(2星)	 为陈豪和杨怡来看的~            
(3星)	 O(∩_∩)O哈哈~还不错啦，最重要的是这可是我学习粤语的一大工具啊^^            
(2星)	 无聊+弱智            
(3星)	 值两星半。。。。TVB真不能再拍校园剧了。。。            
(2星)	 人类已经无法阻止。。。            
(3星)	 校园港片~没什么太深的含义，不过偶尔看看~全片倒还是向上青春的基调的~还有点港式的欢乐            
(1星)	 唉~烂~            
(NA)	 老子好中意钟嘉欣了   穿衣服真带感            
(1星)	 果断弃剧了            
(2星)	 天知道 为什么大家都放弃这部剧的时候 我还在坚持看 并且坚持看完了。最后悟出一个道理。一切过后 日子依然继续            
(4星)	 看下来觉得还好吧。不是很烂，miss koo深得人心。阿Mo的演技大赞。Cici真是一个好姐姐。入戏了以后觉得故事的发展和结局不得不发生又令人揪心。            
(3星)	 总结下罗sir和miss ho的感情，行到水穷处，坐看云起时            
(3星)	 很纠结！            
(2星)	 看了一半,没啥好看的,删了            
(4星)	 阿Ron只是来打酱油的，真坑爹，陈mo好做作            
(3星)	 剧情只有两星，因为钟嘉欣所以给三星，从头到尾钟嘉欣真是大突破，看来今年有希望入视后了，TVB易主，编剧心情明显不佳- -则剧情到后阶段已经非人类能够理解，太残忍。尤其是结局- -让我想起来学警2，坏人竟然是被打酱油的人收了的。            
(3星)	 坚持在写实验报告和网速慢的时候看完了            
(2星)	 倒数的烂剧            
(4星)	 钟嘉欣 好戏左咯 真系~            
(3星)	 一般吧            
(3星)	 粤语名字很难读啊            
(2星)	 没很喜欢....            
(5星)	 前十集会让人完全误会这部剧！后半段才是剧情啊啊啊！！！            
(5星)	 真是tvb中难得题材的剧，好看，没话说！！！陈豪演技超赞！中意中女~            
(3星)	 我喜欢陈豪，可是陈豪这角色真的太烂了！！！越看越想把电视给关掉！全剧唯一可取之处就是钟嘉欣的较亮眼演出，所以第三颗星是给Miss Cool的。            
(3星)	 陈豪同学你能不演喜剧吗。。。害我食之无味弃之可惜= =！            
(1星)	 半集弃，唉，还没挨到男二女二出场。            
(1星)	 完全冲着陈豪去看的 结果totally失望了..            
(3星)	 钟嘉欣演技成熟了            
(3星)	 推出了不少新人，大致还可以看看            
(3星)	 越编越渣。。最后改BG纠结了。=33=。。             
(2星)	 钟夹心一铺翻身.            
(2星)	 看得差点睡着......            
(2星)	 三观啊三观！            
(5星)	 我覺得很好看~            
(3星)	 太无厘头了            
(3星)	 吴卓羲整个就是打酱油的嘛   可惜了我家阿Ron            
(3星)	 肉肉很可爱！！鉴定完毕            
(4星)	 其中有颗星是给出镜1分钟的马国明。。哈哈            
(4星)	 解闷~            
(4星)	 多年后又看TVB。。            
(3星)	 卧底不真，意图不明。            
(4星)	 无聊，看看……            
(4星)	 总体来说不错啦，但是结局太烂了，我接受唔到lor~            
(2星)	 重教育味，啰嗦            
(2星)	 无看点吧！看完一集我觉得是我主观问题觉得不好看，看完三集后我断定是真的不好看！            
(1星)	 很垃圾            
(3星)	 ......我不知道我怎么会看过的.....            
(4星)	 这次钟嘉欣的扮相不错哦~            
(4星)	 2011.4.24   电脑            
(2星)	 真的很拖沓，而且结局特无聊~~~            
(2星)	 本来看mo是种乐趣来得！！结果……世纪贱男啊            
(3星)	 貌似没看完            
(4星)	 不错不错，剧情几好啊。另外K4果个女仔好靚啊。。            
(4星)	 看了这部剧以后，我开始喜欢陈豪了，不讨厌钟嘉欣了，萌上K4了，嗯，就是酱紫……            
(NA)	 不好看不好看。。。            
(3星)	 不是为了吴卓羲才不给三星，TVB怎么了            
(5星)	 喜欢Miss 古，被利用好可怜。。            
(2星)	 雷死啦！            
(3星)	 故事挺不錯，但橋段老套！            
(4星)	 冲你那么温情，那么上进，给四星啦            
(NA)	 也是看几集就看不下去的那种。            
(4星)	 校园版&lt;无间道&gt;.初看这剧觉得很幼稚,无趣.而且陈豪的表演很浮夸,没想到越往后看越起劲儿!钟嘉欣的演技一直不错,可就是不喜欢她,但这次的整体造型很好,是我看过唯一顺眼的一次.            
(4星)	 蛮好笑的呀            
(1星)	 也是部烂片，也是部杀了我都看不下去的烂片…            
(4星)	 是不是名字带有港味评分就低？趣味性很高，也有紧张成份，陈豪表演突出，钟嘉欣也很迷人。            
(3星)	 悠闲剧            
(4星)	 中意杨怡。看完想读书有木有            
(3星)	 呃，看到第二集就不想看了。。。            
(4星)	None
(1星)	 无话可说。。。            
(3星)	 吴卓羲，乃就是个打酱油王！！            
(5星)	 陳豪很有人格魅力。            
(4星)	 就是感覺有点点爛尾            
(3星)	 像儿戏一样，陈豪展现机智的时候还真是挺机智的            
(3星)	 剧情有点乱             
(2星)	 最近电视剧的结局是各种不如意啊。。。            
(3星)	 不喜欢陈豪            
(4星)	 有几个戏骨撑架子，剧情虽然一般，但还算养眼啦            
(3星)	 杨怡不错            
(2星)	 很糟糕的一部TVB现代剧，尤其是陈豪的表演，虽然很努力，但是岁月不饶人啊            
(4星)	None
(3星)	 混搭日剧校园热血剧风格的港剧=、= 这个周末结束了，休息质量好差            
(2星)	 我..烂..尾..了！！            
(2星)	 不是我爱的类型。2集弃。            
(NA)	 XD            
(3星)	 没什么看头            
(3星)	 终于看完了,前面一点都不精彩,最后还是有那么一丝的小感动的～            
(3星)	 没看完。。TVB的质量金金是快不行了。。            
(2星)	 吴卓羲加颗星。。            
(2星)	 很无聊一片子            
(3星)	 钟嘉欣演技大增阿~            
(5星)	 挺搞笑的啦~            
(5星)	 本身好出奇TVB拍校园剧，怎知道学生真的没有养眼的。陈豪表演得有点夸张得像喜剧那样拍，卧底那段做表情都跟鬼脸一样，说真的本身他因该很痛苦很悲催的时候，做鬼脸是因为这是个校园剧想要观众笑吗？TVB伟大的编剧又把情节弄得那么悲情，真的笑不出来。。而且真的真有点丑了。。有点怀念王子华，不知道            
(1星)	 无聊之极            
(3星)	 喜欢钟嘉欣，也心疼她，原来不爱也可以做的那么像 。            
(3星)	 有些扯得过了，拖沓了。。            
(3星)	 一如既往的浮夸，都说是《逃学威龙》的电视剧版，可是林志颖才没这么浮夸呢，哼！校园励志剧的背后，其实未尝不是种对价值观的探讨。金盆洗手的男主感叹如果不是机缘巧合隐退江湖坐轮椅的就是自己；重案组A型性格干警转作预防犯罪科；那命换才当上警察的男主最后做回老师…对于职业规划究竟该用怎样的            
(3星)	 现在的港剧真是每况愈下啊。。            
(3星)	 罗SIR有些渣。。            
(2星)	 无聊。            
(3星)	 冲着杨怡看的，结果她的表现中规中矩，反而钟嘉欣很亮眼，一场嚎啕的戏打动我了。陈豪你就不用挤眉弄眼玩儿命搞笑了，你表情正常的时候已经足够搞笑。你这样搞得我想哭。。。            
(3星)	 编剧们，你们花园游的还尽兴吧？            
(2星)	 男主角已经很丑了，又陪杨怡就更难看了。。。哎，别看，看了后悔，剧情也不好            
(2星)	 5集弃...            
(3星)	 只能说一般了，可能是看太多，没什么感觉了，走套路            
(3星)	 钟嘉欣演技加一分。结局太狗血。            
(4星)	 好吧，这部戏里唯一的惊喜是钟嘉欣。            
(3星)	 嚣屎会红。            
(3星)	 对陈豪一直印象不错，只是感觉这几年来怎么越来越残了？伤心呀。校园，教育，卧底，亲情。还可以。            
(3星)	 情节最后就是软堆砌乱拼凑的感觉.            
(4星)	 为了miss cool而看的，确实没有让我失望，她今年多多少都会得个奖得，支持嘉欣！            
(NA)	 剧情不太喜欢。。            
(5星)	 很好看~~为了学生们教师很出色啊~！            
(3星)	 哎！噱頭！            
(3星)	 真的很一般啊 钟嘉欣在里面变美了点。。            
(3星)	 夹心在上面还不错！            
(3星)	 ~~            
(3星)	 miss koo是亮点，            
(3星)	 陈豪又丑了。杨怡鼻子又高了。            
