http://movie.douban.com/subject/2190926/	鉴证实录Ⅱ 鑑證實錄Ⅱ
(4星)	 我为什么就是这么讨厌陈慧珊……            
(5星)	 林保怡X陈慧珊 这个组合最赞了~P.S.：可怜了小唐菜啊~            
(5星)	 林保怡虽然不太帅 但是我觉得超级man啊。            
(4星)	 这个也太经典了点。现在想起来都还想再看一遍，虽然剧情还都历历在目。            
(5星)	 现在的tvb啊。。。叹气            
(5星)	 怀念的港剧啊~            
(3星)	 TVB这种类型剧还看了不少竟然            
(4星)	 惊！原来我看过第二部，因为我发现这部里小棠菜才死了，好吧 我把一的评语挪过来小学一年级回忆，忘不了小棠菜死在新婚那天凶手ms就是他老公= =看到下面有人提刘恺威，他就是那个家乔还是志伦吧            
(4星)	 喜欢聂宝言不喜欢小棠菜～            
(5星)	 第二部中很多案子都是围绕在几个主角发生的。看的人心里毛毛的，虽然小唐菜在开始的时候总是横在曾家原和聂宝言之间，让人很讨厌。但最后还是选择了成全，算是比较无私了。最后的结局还是很惨，为什么会死呢。她和英杰其实可以好好生活下去的，她这么难得才碰到爱她并且她爱的人。            
(4星)	 读初中的时候看的吧。挺有悬念的。反正当时不太敢晚上看。            
(5星)	 TVB的经典警匪片之一，可不知道为什么，近年来TVB拍摄的警匪片却再也达不到以前那种案情扑朔迷离的效果了，往往是案件刚刚发生，观众便能猜到凶手是谁。莫非编剧已审美疲劳，再无新意？            
(3星)	 鉴证实录。。2吗？            
(NA)	 晓棠菜            
(5星)	 反正只要是鉴证实录，不管第几部我都喜欢~            
(5星)	 听说续集小唐菜死了……真可惜……那么爱她的说……            
(4星)	 唯一记得的是小堂菜死掉了，555555，很痴迷的电视剧~~            
(4星)	 不壞的續集            
(4星)	 林保怡太可爱了~            
(5星)	 喜欢这方面的碟            
(3星)	 结局怎么这样呢结局怎么这样呢怎么这样呢            
(4星)	 怀念。。。我爱林保怡            
(5星)	 陈慧珊真的好有气质            
(NA)	 还好最后2个人在一起了            
(4星)	 继续挺林保怡和陈慧珊。            
(3星)	 就是不喜欢李珊珊，真没看出来伊还是一港姐，囧了            
(4星)	 小棠菜竟然。。。            
(4星)	 一的时候感觉真好.飞机场的离别            
(4星)	 很喜欢这部。            
(4星)	 很久以前 很不错            
(5星)	 TVB的又一经典剧 看不厌 超爱陈慧珊            
(5星)	 看得盘都要烂掉了            
(NA)	 续集照样好看            
(NA)	 林保怡是我高中时一个女同学的偶像。。。            
(5星)	 太好看了、            
(5星)	 我想念小棠菜。            
(5星)	 气质            
(3星)	 續集總是不怎麽地            
(3星)	 我多喜欢林保怡呀            
(NA)	 小唐菜好可怜            
(5星)	 爱推理剧没商量！            
(3星)	 第二部永远没有第一部好看。。            
(NA)	 还可以            
(5星)	 情节有点太过跌宕起伏了……            
(4星)	 偶最愛的其實是主題曲《追究》            
(3星)	 不如第一部            
(NA)	 ~~~~~~~~~~~~~~~~~以为大家终成眷属可免不了遗憾...哭死我了，比英杰哭得更厉害            
(5星)	 仍然很喜欢但是情节总是和刑事侦缉档案混在一起.真是莫名记.            
(3星)	 编剧编的很做作            
(3星)	 回头再看没有当年的感觉.            
(4星)	 因为法医            
(NA)	 喜欢聂宝言            
(4星)	 陈慧珊             
(4星)	 鉴证实录            
(NA)	 TVB            
(3星)	 若干年后看的，道具做得好烂的说            
(NA)	 一直不喜欢陈慧珊。            
(5星)	 最爱的港片之一            
(5星)	 现在的TVB，唉~~            
(4星)	 能不能少点脑残的感情戏~            
(5星)	 不管多少年都是我的最爱             
(4星)	 “真正的爱情就是牺牲”真正的爱情就是这么老套啊！            
(NA)	 推tvb剧最红豆列主人的评价：“心水：小棠蔡之死。”            
(5星)	 耶            
(4星)	 嗯小棠菜最後死了大家又都同情她了～            
(5星)	 大团圆！！！！！！！！好失落。。。            
(4星)	 好喜欢主题曲，还是以前的TVB电视剧好看！            
(NA)	 【1999-01-04】            
(4星)	None
(4星)	 回顾老剧永远都是一件拾起童年记忆的微妙的事: 自己不再懵懂,而剧中人就永远是记忆里的样子,如果恰巧这部剧里有记忆深刻的黄金拍档,那就真的是辉煌复兴的感动了.            
(4星)	 煲了两天的剧，话说陈慧珊真是不漂亮也真是有气质~            
(5星)	 从这部剧开始喜欢陈慧珊的 气质哈灵             
(5星)	 我的童年啊            
(4星)	 红白蓝塑胶袋成了我永远的阴影啊。。            
(NA)	 这两个人的爱情啊，看得人揪心。            
(4星)	 tvb只看这一类的。。。。            
(5星)	 开始喜欢李珊珊了            
(NA)	 查漏补缺            
(5星)	 神马叫职业女性、OL范儿，请看陈慧珊            
(4星)	 HP注定没有第三部。遗憾最美好。            
(4星)	 最惋惜的是小唐菜最后死了。            
(4星)	 经典            
(4星)	 以前看的时候年纪小不懂事，光觉得害怕。如今再看一遍，擦，里面没几个正常人，不光是长相还是心理。编辑也很懒，每次写到一个人无以为继的时候就让其死掉            
(4星)	 再看一遍发现自己的记忆出现偏差，以为曾sir和聂宝仪最后因为小棠菜的死没在一起，还一直遗憾着，这回重新看，遗憾解除了，不过很奇怪，为什么会出现这样的记忆偏差捏？            
(4星)	 当年最喜欢的TVB剧            
(4星)	 主角身边的人都慢慢死光了。。。             
(5星)	 港剧里面的经典            
(5星)	 和老妈看得起劲~            
(5星)	 怀旧一把系列~相当的怀念！            
(5星)	 最爱！            
(4星)	 重看 虽然有点拙劣啊现在看来 还是蛮好看的。。。            
(NA)	 我讨厌小唐菜            
(5星)	 陈慧珊，我爱你~~~林保怡~~~baby弄哈有腔调            
(4星)	 林保怡啊            
(4星)	 看了1就必须看2            
(4星)	 继续看这对合作无间。话说因为这剧还对法医灰常有好感            
(4星)	 小棠菜不该死            
(3星)	 小棠菜悲摧            
(5星)	 红白蓝塑胶袋里永远装的都是尸体            
(4星)	 我爱林保怡！            
(5星)	 超喜欢这部剧啊            
(NA)	 活生生的把我最爱的小唐菜弄的死不瞑目            
(4星)	 第二部 还真是没有第一部好            
(5星)	 重温“大佬原”            
(4星)	 喜欢林保怡，当年看鉴证的时候总是吓得半死。            
(5星)	 差点为了小棠蔡不想给五星。。。            
(5星)	 两人依旧很纠结啊            
(NA)	 小时候            
(5星)	 续集也赞的很，终于有情人在一起了            
(5星)	 林保怡，陈慧珊。            
(5星)	 经典~看完这个觉得法医太帅了~伴我度过不知道几个暑假寒假。。            
(5星)	 遥想当年...            
(5星)	 无所不能的DNA            
(3星)	 陈慧珊啊陈慧珊            
(NA)	 看这个后爱上林保怡了            
(4星)	 超级经典系列啊！！我不喜欢陈慧珊            
(3星)	 原来小唐菜是港姐。。            
(5星)	 TVB最经典的系列之一。最爱林保怡和陈慧珊。            
(4星)	 看这片子是几年前了啊。再回味一遍            
(3星)	 原来我看过的啊~~            
(5星)	 经典中的经典，百看不厌。又看完一遍，这次小棠菜死的时候我真的难过得流泪了。            
(4星)	 忘记说什么了            
(4星)	 还算不错啦            
(5星)	 啦啦~            
(5星)	 和一一样精彩,好多人不喜欢小唐菜,我也很讨厌她            
(5星)	 超爱~但是没第一部经典~            
(3星)	 他俩终于在一起了            
(5星)	 可爱的刘恺威~            
(4星)	 跟妈妈一起看            
(4星)	 小棠菜可惜了。。            
(2星)	 讨厌小棠菜 钟丽淇仅此一部算巅峰之作了            
(4星)	 片子很不错   就是老了点            
(5星)	 好            
(3星)	 小糖菜死了，55            
(4星)	  讨厌小棠菜与他爸            
(NA)	 聂宝言。            
(5星)	 经典经典 经典啊            
(4星)	 小时候很喜欢的一部~            
(NA)	 我爱侦探片            
(NA)	 貌似没有看全            
(4星)	 小棠七孔流血的样子还真吓人。            
(5星)	 难得的是和第一部一样好看，赞            
(NA)	 陈慧珊～            
(3星)	 小唐菜            
(4星)	 反正不怎么喜欢小唐菜            
(5星)	 久远。。。消失的人何时归。。。            
(4星)	 老早电视上看的，补遗            
(5星)	 经典之四`            
(NA)	 第二部终于有情人终成眷属。            
(4星)	 除了结局都不错。小唐她怎么能死呢。            
(4星)	 从这部剧爱上林保怡与陈慧珊。            
(4星)	 还是好的            
(5星)	 我们的timing为什么总是不对            
(5星)	 TVB经典之一            
(NA)	 再回顾一遍~~            
(5星)	 当年的扑朔迷离~林保怡让人觉的男人的里子比面子还是重要得多            
(4星)	 案子整体强于第一部，以11-13集区家的案子为最佳            
(3星)	 还可以            
(4星)	 这个系列通通看过，现在周末电视剧频道还老放……            
(3星)	 小棠菜的死太过可惜了。            
(4星)	 flora的经典            
(4星)	 感情戲糾葛太多了。            
(4星)	 我最爱的法医破案类            
(4星)	 电视剧频道滚动播放。。。            
(3星)	 不喜欢小棠菜死掉了。她真的满好的。            
(4星)	 最后，他们怎么还是不在一起~            
(3星)	 延续第一部的好看...            
(4星)	 小棠蔡死的真惨~            
(4星)	 TVB的都喜欢            
(5星)	 经典，林保怡～            
(NA)	 记得主题曲很好听            
(3星)	 普遍的2都没有1好看            
(5星)	 等足2年            
(4星)	 一的延续之作，难得的水准一致。PS:结局女配的死很催泪。。            
(2星)	 所有续集都不好看            
(5星)	 刘恺威很帅            
(4星)	 蔡子健啊~~            
(4星)	 有第一部~ 必然有第二部咯~            
(3星)	 不错            
(5星)	 !!            
(5星)	 林保怡！            
(3星)	 1999            
(5星)	 小棠菜~~你死得好惨啊~~~~            
(4星)	 优柔寡断的聶宝言            
(3星)	 片子还是第一部的好            
(4星)	 最爱的港剧之一，很喜欢陈慧珊和林保怡。            
(4星)	 小唐菜            
(5星)	 难以忘怀            
(4星)	 小棠菜那个不值啊            
(3星)	 超讨厌小棠菜            
(4星)	 喜欢陈慧珊            
(5星)	 当年心心念念追看的剧，还想过做法医来着。。。            
(3星)	 小棠菜的死让我很摸不着头脑，很怨念津津和家乔的分手……续集质量没有第一部好            
(5星)	 周伯通还是那么可爱@@            
(5星)	 这部很喜欢，剧情也不错，黄金搭档也是大爱            
(3星)	 宝言还是比不过小马～            
(4星)	 更喜欢第一部            
(3星)	 喜欢看鉴I,对II不是太感冒。觉得新人的出场就是为了“死”。            
(4星)	 只要你们在一起            
(5星)	 2004            
(4星)	 还可以            
(NA)	 对小棠菜也太惨了点吧。            
(5星)	 老爱看了....            
(4星)	 看了很久了，其实不记得了            
(4星)	 不喜欢小棠。            
(4星)	 最爱的TVB男女主角            
(4星)	 小糖菜死了。            
(4星)	 沒有I好看了，津津為什麼和家喬分手，小棠菜也可以不必死嘛。。。            
(5星)	 1999            
(4星)	 还是第一部好            
(3星)	 还行            
(4星)	 没有1好看            
(4星)	 好看，法医            
(3星)	 肯定是看过             
(4星)	 看过好多遍了            
(5星)	 他们，从此陌路。            
(3星)	 有1必有2，TVB怎么会放弃摇钱树....不过为什么第2部里面男女主一般都会分手。。。。            
(4星)	 很不错            
(3星)	 6.4            
(4星)	 还不错看哦            
(3星)	 小棠菜开始可爱了~            
(4星)	 所有的第二部都不怎么好看            
(5星)	 对最后一个案子好有印象的，当时在堂哥家看的。小唐菜她爹和曾sir他妈简直就是一对JP！刻薄又小气！陈慧珊好有气质！            
(5星)	 陈慧珊陈慧珊~            
(5星)	 经典            
(NA)	 好喜欢啊啊啊啊啊啊            
(4星)	 嗯，重温经典般的看完了，还.....OK吧            
(4星)	 结局也太萎了吧。。。            
(4星)	 津津和家乔  太可惜了。。。            
(5星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(3星)	 林保怡~~~~~~~~            
(4星)	 印象最深的是小唐菜死了            
(5星)	 再创佳绩啊 曾sir！            
(3星)	 小唐菜你别搞破坏了...剧情一般            
(4星)	 为啥接二连三警局身边人物出事？看来警察是个危险行当……            
(NA)	 非常经典的，不说什么了。            
(4星)	 部部都都好看。            
(5星)	 青葱的岁月啊~            
(3星)	 反正就是好人坏人都有死光光            
(NA)	 好看。            
(5星)	 小棠菜和聂宝言的谦让精神发挥得淋漓尽致。            
(5星)	 我爱TVB的警探片！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 小唐菜死的惨！            
(4星)	 相比起两个主角咁婆妈，我反而钟意小棠菜多D。            
(5星)	 大爱            
(5星)	 总算为第一部圆满了…            
(5星)	 霍，怎能不经典            
(4星)	 最喜欢看香港的刑侦剧了。            
(5星)	 陈慧珊占3星。            
(4星)	 那时候的TVB就是有那么几个随便搭配都看得顺眼的情侣~~~~~~比如说。那个林保怡啦。那个陈慧珊啦。还有黎姿。&amp;。吴启华~~~~~            
(5星)	 这一部里面小唐菜死了是不是 T T            
(3星)	 进步了。。            
(5星)	 tvb经典啊            
(NA)	 忘了保存2了            
(4星)	 爱的很 小时候            
(4星)	 虽然是复习小时候看过的探案剧，小棠菜死的时候还是很难过。            
(5星)	 小塘菜最后怎么能死了呢！！！！            
(4星)	 为了救林保怡，伪装漠不关心跟嫌疑人保持情侣关系，在烛光晚餐的时候准确刺人脾脏一刀取样本的，只有陈慧珊的那个法医才能做到，现在回想还觉得经典            
(3星)	 想不起来案子都有啥了。            
(5星)	 II里的家原依然是完美无缺，但是宝言是不是都会有点抽风。结局太仓促，好多都没交代清楚。            
(5星)	 故事喜欢，风格喜欢，人也喜欢。            
(3星)	 啊            
(4星)	 很喜欢陈慧珊，很有气质            
(5星)	 心目中最经典的港片，没有之一。林保怡陈慧珊，我心中最经典的港片荧幕情侣，也没有之一。十几年不变的想法，现在的法证先锋和这部比起来弱爆了            
(4星)	 继续好，专业法医，不喜欢第三者，死了挺好的~~~            
(5星)	 再看也还是经典啊，晓棠菜就那么死了，好可怜            
(5星)	 觉得宝言好知性...只可惜她那个婆婆...还有那个小三- -            
(4星)	None
(4星)	 没有1好。            
(4星)	 90年代，大陆电视荧幕上没有《CSI犯罪现场》和《海军罪案调查处》这样专业题材的美剧，我们不懂啥叫季播剧。《鉴证实录》这部港产类型剧让我们发现原来电视剧可以拍的这么专业，剧中的DNA验证，尸检，现场取证虽然现在对看多了美剧的我们来说略显小儿科，可是在当年，这些剧中场景绝对堪称震撼            
(4星)	 陈慧珊气质不俗            
(5星)	 我到现在还记得小棠菜的结局。。。。            
(5星)	 小时候天天看~~~            
(3星)	 大多数TVB的结局，悲剧的都是女2啊有木有...            
(5星)	None
(4星)	 小唐菜死时，难受死了。=20111127=            
(5星)	 林保怡就是好看的保证啊！            
(4星)	 我当年被那个烧尸案再次吓出了童年阴影....            
(5星)	 两部都是小学的回忆了。            
(5星)	 超爱!!! 为我现在的重口种下了法医的根。。。            
(3星)	 敢不敢多一点推理分析            
(5星)	 哦，我词穷了，我只能简单明了大声的说：我最爱这部刑事犯罪剧！            
(NA)	 好看，回忆ing...            
(4星)	 小棠菜            
(4星)	 周末档什么的最喜欢了。            
(4星)	 感情纠纷太多就不如第一部了~            
(5星)	 最爱这系列的了。小学时候的心头好            
(5星)	 剧情好，演员棒，案情也好，很久么得看完一部剧还不想让它结束的感觉了。真心的喜欢这部剧。            
(3星)	 再度携手            
(5星)	 无可挑剔只因为感情深            
(4星)	 还是以前的TVB剧好看，陈慧珊多有气质，再看现在的徐子珊之流的，云泥之别，看TVB现在这个势头，捧得这些个人，看来很难再会有这么经典的剧啦            
(4星)	 害怕还是爱看！            
(5星)	 童年回忆啊！！！！！！！！！！！！！！！看了起码5遍！！！！！！！！！！！！！！！            
(5星)	 较之1,逊色一些，但是还是很棒            
(5星)	 林保怡和陈慧珊多配啊            
(NA)	 童年时代的恐怖片            
(4星)	 在一起了。。。。。啦啦啦            
(5星)	 能打6stars否？            
(5星)	 小时候经常吓得睡不着            
(4星)	 2里面的案子比1好            
(5星)	 用来学粤语，嘻嘻~~            
(4星)	 我没看完过，好像是因为内地没引进了，但是我记得，小唐菜死了。。呜呜。。            
(3星)	 续集续得真是，难受。            
(4星)	 聂医生好pro好完美，看得我恨不得把自己五颜六色的衣服都扔掉，哈哈。            
(4星)	 怀念tvb            
(4星)	 觉得林保怡很陈慧珊好配啊            
(4星)	 结局不太满意啊。。。。            
(5星)	 小时候的记忆呀            
(3星)	 钟情破案的片子 只是胆儿小 第一部第一级 已经把我吓得不轻 妈呀 那会儿我才多大呀            
(4星)	 以前 觉得 吓人             
(4星)	 好喜欢林保怡呀！            
(5星)	 行吧。小唐菜死的时候我还哭呢            
(4星)	 老面孔了            
(5星)	 我开始看TVB的源头啊！            
(5星)	 大爱            
(3星)	 看到一半差点看不下去。小堂菜和他爸好讨厌！曾家原他妈妈好讨厌！忠叔和曾妈太配了！！津津好讨厌！志伦挺可爱的~小堂菜和英杰挺配的嘛~袁天晴开始也很讨厌，后来还挺好的.王英杰的哥哥简直烦死了！！！连聂宝言都好讨厌！！！20集才演了7个案子！            
(5星)	 我也看过诶~哈哈哈~每次暑假电视台重播都看~            
(4星)	 小时候跟爸爸一起看啊 吓死我了            
(NA)	 在TVB观看记录里，永是最爱            
(NA)	 有的东西还是要mark一下的。。。我记得小时候鉴证实录放完后我问妈妈，怎么没有侦探片了，貌似那个时候希望有源源不断的这种片子看，哈哈。。。            
(4星)	 小时候难得在电视追着看的港剧&gt; &lt;还被吓到……            
(5星)	 终于还是在一起了~~~            
(5星)	 我不喜欢小唐菜！！            
(5星)	 还好最后宝言和家源在一起了            
(5星)	 儿时的记忆            
(5星)	 小唐菜死了 没有和他的老大在一起            
(5星)	 港剧最爱-.-!!!            
(4星)	 小时候我很喜欢看部剧，在某年我还有个志向是当法医。都TM这部剧影响的啊！！！p.s.那时候很喜欢看李珊珊。            
(4星)	 法政题材剧            
(4星)	 我爱港剧！            
(5星)	 经典啊 童年啊            
(5星)	 ！！            
(NA)	 破案我就爱~            
(5星)	 小学时看的看不懂繁体字，我一直默默称它为【监登宝绿】...哈哈，从此爱上林保怡，结局我还哭了==            
(5星)	 神马叫经典，请看这边            
(NA)	 经典            
(5星)	 该在一起的始终要在一起            
(4星)	 林保怡和陈慧珊一直是我认为最般配的TVB情侣            
(NA)	 又把两季鉴证实录扫了一遍，各种狗血~~好像天天都在吃啊吃，民以食为天            
(NA)	 看过最好的刑侦剧了            
(4星)	 第一部永恒经典。            
(3星)	 感情戏什么的实在是无语了            
(5星)	 虽然关于法医专业的内容很少，但其中真挚的情感还是令人感动，尽管在距它首播12年后的今天，还是觉得好看。            
(4星)	 当年真的对这部戏没有多大感觉，只是我旁边的人都在看。            
(5星)	 延续第一部的风格。喜欢聂医生。O(∩_∩)O哈哈~            
(4星)	 小唐菜死了= =            
(4星)	 还是聂医生            
(4星)	 大爱陈慧珊            
(4星)	 喜欢看破案的过程            
(5星)	 UE系列是我的唯一。            
(4星)	 请叫我TVB探案剧达人            
(3星)	 感情戏真的很傻的，可是我还是看完了…            
(4星)	 哎，聂宝言这样的女人谈起恋爱来还是麻烦，果然是太过理性了么，有时候真觉得曾家原可怜啊            
(4星)	 小唐菜 哎            
(5星)	 喜欢~大爱~就是小唐菜的结局很惨啊            
(3星)	 第二部明显拖沓了很多。。很多感情戏是为感情而感情            
(5星)	 小棠菜死的那个场景简直是童年阴影啊。。。蔡子健把失去挚爱的伤痛演得很让人心疼。            
(5星)	 大壮像陈慧珊……            
(NA)	 小唐太可怜            
(5星)	 我以前怎么敢说自己不喜欢鉴证实录？？！！！我疯了我！            
(4星)	 小唐菜死的时候还洒下热泪了。。。死的好冤枉。。。。            
(4星)	 这部里面的案件复杂了些，比较有捉摸的料。比如津津的朋友被害的案件，还有志伦姐姐的案件等等，都不容易猜到结局。幸好最后聂医生没有离开，否则直接拿第一部的最后一集放放算了！            
(4星)	 这何止是看了一遍的剧集呀，只是看到陈慧珊的《搜下留情》之后方明白，很多人很多事只能在记忆中找寻。            
(5星)	 超级喜欢，百看不厌~            
(NA)	 小时候晚上偷着看            
(4星)	 曾经的经典啊，以前似乎特别喜欢这个剧，好像也是从这部开始喜欢探案推理剧的，那时候喜欢里面的某对，很多东西一去不复返啦。。。偶尔还会重温的一个剧            
(5星)	 这部也相当不错  只是案子没有刑侦记得清楚 陈美琪在两部里面都演主角的姐姐 真是不错            
(5星)	 破案 太经典            
(4星)	 小学时候看的，当时又怕又想看啊，还觉得陈慧珊很美的~            
(NA)	 太经典了            
(4星)	 不错~            
(5星)	 与妙手仁心不同，鉴证实录的2是相当不错的！            
(4星)	 覺得沒有第一步好看...            
(5星)	 大爱            
(5星)	 记忆中唯一的港片，永远的港片~            
(3星)	 陈慧珊和林保怡真是绝配            
(5星)	 好片！            
(4星)	 TVB的探案题材，不可以落下啊            
(NA)	 被剧透小唐菜拒绝志伦却跟了志伦姐夫最后便当后就没兴趣看了……为毛我喜欢的CP总不能在一起？= ^ =            
(4星)	 应该看过的是第二部吧            
(3星)	 小棠菜和聂宝意老公的死让人扼腕叹息，为什么总是在幸福最唾手可得的时刻敲碎人最幸福的美梦？一句话，编剧太残忍。            
(5星)	 经典。。            
(4星)	 電視劇頻道重放幾次就看幾次都不會膩            
(4星)	 非常讨厌小棠菜……不过编剧也够狠心的，随便就可以把比较重要的角色给杀掉呀~~感情戏够乱。            
(3星)	 总算追完了            
(5星)	 喜欢小唐菜的部分            
(4星)	 接连着看第二部 就不会有那么一样的感觉了            
(3星)	 言情部分比1差很多，老大你怎么能跟了小唐菜啊！于是她只好死去了有木有！            
(5星)	 一项讨厌的小棠菜死了..            
(4星)	 小棠菜终于死了。余倍感欣慰            
(4星)	 比之前的有续剧的好多了，至少不那么重复，不那么拖踏……也好在，这个没拍三，否则估计也是个杯具。里面有曾SIR还是挺帅的……聂医生很漂亮~~            
(4星)	 虽然一直不喜欢小棠菜，但她确实死得太可怜了。            
(4星)	 林保怡            
(4星)	 回忆 经典 喜欢陈慧珊            
(NA)	 按道理是看过的。。            
(3星)	 =。=光是小棠菜领便当的结局我才第一次意识到，TVB剧也不全是HE            
(4星)	 还好。            
(4星)	 太经典了。暑假还在看呢~            
(5星)	 小棠蔡~ 你还好么？            
(4星)	 继续看你长大好么 还是以前的案件比较经典！            
(4星)	 Bowie+Flora..一时无两的西皮啊            
(5星)	 还是很好看哦，超喜欢宝言和家原            
(4星)	 和1一样经典。            
(5星)	 经典！            
(4星)	 小棠菜。。。。            
(4星)	 小棠菜啊，被杀人犯醉酒忏悔后发现，千万不要劝人自首啊，尤其你还一副警察使命感的口气！可惜了一表人才的王英杰，唉~            
(NA)	 一点都不狗尾续貂，很好看。小棠菜最后死了，成全经典情侣。刘恺威蛮抢眼的，比他老爸刘丹帅且文弱，结果现在总在内地拍纠结民国戏，不知道怎么回事。            
(5星)	 经典。            
(4星)	 大爱林保怡~虽然你是gay一朵~            
(5星)	 小棠菜，可怜啊……            
(4星)	 狗血的第二部，只记得晓棠死了。。            
(4星)	 小棠菜死的好冤...            
(4星)	 小时候看吓死人了好嘛！阴影            
(4星)	 喜欢喜欢，想当年还相当法医来着！            
(4星)	 小时候当恐怖电视剧来看..            
(4星)	 得再看一遍神探, 销下陈慧珊的杀伤力.            
(NA)	 苦逼啊。。。太纠纠结结拖拖拉拉的了 虽说是经典 就是喜欢不起来 远没有妙手那对得我欢心~            
(5星)	 经典！            
(5星)	 小棠菜實在太討厭了!            
(5星)	 不知道看了几遍。。。            
(5星)	 曾经相当一段时间给我内心蒙上一层阴影的TVB剧集，可见此剧对我的人生产生了多大的影响，可能我的推理情结就是因此而起吧。印象最深的镜头，应该算是停尸房里七窍流血的小唐菜吧。。。            
(5星)	 个人偏爱之五星。。。小唐菜最后一个案子竟然死了。。。            
(4星)	 断断续续看。。。            
(3星)	 没第一部好看咩~            
(5星)	 只要是annie和曾sir，就给五星。            
(4星)	 第二辑比第一辑稍微逊色一点，不过还是值得推荐。            
(4星)	 喜欢            
(5星)	 无论是鉴证1还是鉴证2都稀饭  每当不知道看什么电视剧电影消磨时间的时候 我都会搜索鉴证  大爱的TVB佳作            
(4星)	 小时候觉得法医这工作好恐怖，现在很崇拜法医们，尤其是验尸官            
(5星)	 在Bones回来的前一天看了最后一集~如果BB也能发展的这么快该多好……            
(4星)	 记得蛮好的            
(4星)	 保持喜欢~            
(5星)	 最爱《鉴证实录》系列，第二部里，曾家原和聂宝言终于在一起了。            
(5星)	 小时候很喜欢看的一部剧，看过N多遍，好看            
(4星)	 这个续集可以的            
(5星)	 好看，很少有连续看不审美疲劳的。            
(4星)	 好早好早的片子了，现在重温中            
(4星)	 小唐菜            
(4星)	 记得不看春晚的传统从此出的～            
(5星)	 就是从这部剧开始喜欢上TVB的刑侦剧的！            
(5星)	 好            
(5星)	 鉴证实录乃TVB中我喜欢的刑侦剧之一            
(4星)	 我就不明白！志伦那么好小唐菜你眼瞎啊！            
(5星)	 经典~又回顾一遍，仿佛回到初中生活            
(5星)	 没第一部好看，剧情有点难受。            
(NA)	 他们不在一起 天理难容            
(4星)	 太经典了，陈慧珊真是气质美女~            
(5星)	 好多人讨厌李珊珊啊……            
(4星)	 不如第一部            
(5星)	 难忘            
(4星)	 2里最悲催的莫过于小糖菜死了！！！蔡子健，虽然你真的很不错，但你哥真的很变态！杜子俊死的也很无辜             
(4星)	 小学时代的经典剧集之一啊！            
(NA)	 没剧情            
(5星)	 女配死的很可惜            
(5星)	 就是爱这俩人～            
