http://movie.douban.com/subject/4820421/	玻钻之争 แก้วล้อมเพชร
(3星)	 要狗血多狗血。。最重要是我拽个头进去看了哎！            
(3星)	 个别美女还不错哟            
(3星)	 如果没有了DNA检测，泰国的小盆友们该怎么办呀...都搞不清自己的父母是谁了....            
(5星)	 看过凤凰血1，不过这部更好看，最近好迷泰国剧，好想重游泰国啊~            
(4星)	 演员长得都不错。女主的演技很好，可这个角色太柔弱了些（相比于其他泰剧中某些角色），可能因为泰国的阶级观念更严重些。男主的演技实在欠佳，要多历练。剧情算是泰剧里比较好的。泰剧总体给我感觉画面进展太慢了。            
(3星)	 男主角太帅了，女主角好可爱            
(3星)	 非常狗血，相当拖沓            
(1星)	 真麻痹狗血到家了               
(3星)	 女主很美啊 男主很帅啊 但是~觉得有点墨迹...            
(3星)	 男女主角都长得不错 剧情做了比较大的改动 比老版得更合理            
(3星)	 是跟着一阵泰剧风看的。这部比我之前看的麻雀变凤凰好多了。男主帅女主靓。本来这剧一开头，女主那样彪悍对男主，我以为她应该不像&lt;麻雀变凤凰&gt;里一样天天哭，被抽耳光吧？结果......这剧竟然还有泰国人很少拍的强吻戏。不过小白剧就是小白剧，众乐乐不如独乐乐。            
(5星)	 琦文，你帅呆了！好吧，我承认我也是因为男主角那张脸。            
(3星)	 son啊~            
(NA)	 钻石的钻字我愣是没认出来 擦。。。            
(3星)	 主演不好看，一颗星给配乐            
(3星)	 看过一集的一小部分就是求婚那段，但是很没有好感，虽然是son，虽然女主长得比爱在日落之前的好看不少，但是完全不喜欢调调。而且有个什么尼姑一样的人，丑的我饭都有点儿吃不下，急忙换台了。恶心啊啊啊泰国人妖第一绝？ 我觉得是！！！怎么这么没有品位啊。尽管是配角。            
(2星)	 狗血！蠢到吐血！一星给男猪一星给女二的坏            
(3星)	 呕血！！            
(3星)	 女二是在太TM烦了还加她那老妈！！！！太喧宾夺主！！烦躁！我不要看她们哇！！！！Son很帅啊有木有！！！！            
(NA)	 那个男的好像泡菜国的= =            
(4星)	 虽然很狗血，但是心情不好的时候看这种苦情剧还是很爽的～            
(4星)	 算不错的泰剧！坏人真的是坏的够可以。泰剧的坏人表示的好明显！看看那眼神呐！总结就是两女人成天你一巴掌我一巴掌，女猪可怜的一直被欺负。女猪太善良。什么事情都拖拖拉拉不果断抉择！有点失望！            
(3星)	 这 安徽台放着 突然觉得VILL现在好红 看过她好几部戏了            
(3星)	 搭进搭出的慢吞吞慢吞吞慢吞吞的男女主啊！！！所有狗血都用上了！！！女主笨得就是猪啊………………其他人基本也是猪啊………………泰国办事效率太差才使得九猪变成杀人狂魔啊！！！！我脑残了看这脑残片…………T_T都是男主角不好啊……            
(3星)	 我纯粹是来围观帅气无敌的男主的！！！！！！！！！！！            
(3星)	 楠佩哭啊哭啊哭啊哭啊哭啊的 哭的我心烦            
(3星)	 = = 集狗血之大成 son先生神马时候能演一部正常点的T-T            
(NA)	 喜欢男主角，。。太帅了。。就是表情很呆，演技一般吧。。女二号演得很好。。PIKoon也是，我很讨厌这个女人，说明她的演技很不错。。。            
(3星)	 不行啊。。。。。。。。。。            
(3星)	 同为母亲，披坤竟把亲生女和养女的待遇差距拉得如此大，真悲哀            
(3星)	 泰剧太狗血            
(2星)	 傲娇男猪脚有爱啊╮(╯▽╰)╭            
(2星)	 哎呦妈呀我的一口老血...只能忍住不吐槽男猪脚因为他好看~剩下的....才发现热血高校只给3星 这个肿么能跟那个一样...            
(2星)	 熬夜看二剧，我是要二死了么~            
(2星)	 我妈看的时候跟着看了下、不得不说剧情狗血的可以、            
(4星)	 son好帅！但是男主和女主一起的戏份少了点。剧情到后面有点拖沓了。            
(4星)	 狗血。。。            
(NA)	 唉 他们脸简直是 太美了            
(2星)	 看的人真是揪心，阿婆说看的她要气疯了，要不是因为开始看了想看完，才不要看这样的电视剧，节奏慢的阿公嚷嚷了几句说不看了去看报纸。。。            
(NA)	 坏女人~            
(4星)	 剧情老套 富家女和穷人家女儿抱错了 长大后 因缘际会 又相遇了 灰姑娘人见人爱 富家女男友+亲哥哥 狗血啊 但。。。男主角太帅了 女主角像芭比            
(3星)	 泰国是没有警察的~男猪脚是没什么用的~最后那个光头也太丑了点吧~~            
(1星)	 巨狗血!!男女主角没事就面无表情的对视,呆!!            
(2星)	 son像僵尸...            
(4星)	 被砸得满身狗血，男主角真的帅！            
(3星)	 son这款我喜欢            
(3星)	 无聊和妈妈一起看，狗血是泰剧的硬伤，但是故事往往渗入很多佛教伦理，让人明知狗血还是要追。此剧最大的收获是男主角son，实在是我的菜，又去追他其他的剧了。            
(NA)	 安徽卫视看之。。。            
(4星)	 反派配角表演夸张的很得我心啊~~ 鼻孔派对。            
(NA)	 狗血到不行.没一个脑子灵泛的.哎哟喂.            
(3星)	 尽管剧情犯贱的要了不要了,但是总有一股动力推动着我 那就是YUKE的那张脸!!!!!!!!!!!!!!!!!!!!!            
(2星)	 为什么看泰剧呢？一为了帅哥；二为了帅哥；三为了帅哥；该剧呢，一没有帅哥，二没有帅哥，三没有帅哥，四女主超级无敌的丑。不看了！            
(4星)	 看女人打架那个爽！            
(2星)	 这年头怎么这么多调换的故事            
(2星)	 老版好看，还有就是男主长得好像公车上看到的一人            
(NA)	 第一次把一部泰国的连续剧看完了 &gt;&lt;            
(3星)	 跟著我媽看的、她不迷韓劇迷泰劇了、劇情有點狗血～            
(4星)	 熬到这么晚看完了==            
(3星)	 剧情很TVB，演员很台剧            
(NA)	 男主太帅            
(3星)	 看得人心情烦躁，女主被虐得凄惨，让人为她捏把汗啊！            
(5星)	 开始的时候超级狗血后来就越看越好看了 非常非常喜欢SON在这里边的角色啊~~~            
(2星)	 完全因为son啊~不喜欢vii.......每部剧都在哭,不得不佩服泰国剧组的化妆师~            
(3星)	 永远也忘不了这电视剧......            
(NA)	 女主太懦弱了，对于女二还真是打不还手，骂不还口！            
(5星)	 son&amp;vill！！！            
(3星)	 若不是男一很养眼……            
(3星)	 绝症、兄妹、认错亲人、虐杀。有够狗血的六点档。。不得不吐槽            
(3星)	 实在有够狗血的~            
(3星)	 很假的，感觉就是泰国版的台湾偶像剧~            
(3星)	 剧情太傻逼了 但是男主好帅啊......................            
(3星)	 80岁的姥姥最见在看这个＝＝ 我也就跟着了。完全就是蓝色生死恋啊。            
(3星)	 非常的狗血，在家里面做任何事情都会被人看见，女主成天哭，女二及其母亲坏的一米，剧中男银还是相当帅的            
(1星)	 原来是新凤凰血，果然一如既往地展示了泰国人的低智商，看的时候真捉急啊~            
(4星)	 太狗血了，好在男演员真的很有型。            
(4星)	 男主角的脸可以看看            
(3星)	 节奏要是快一倍可能还好点。。。            
(3星)	 除了长的帅，还是有什么值得看的?            
(3星)	 還行 只是這假女兒怎麼可以壞到這種程度 害死了這麼多無辜的人            
(3星)	 住院的时候电视上播的狗血剧            
(3星)	 真的太慢了。。。            
(4星)	 SON和VILL都好好看啊。            
(2星)	 太狗血了，，            
(4星)	 我妈在看            
(3星)	 乖巧的女主            
(NA)	 被那个男的迷倒了。            
(5星)	 九珠。谁说你不是好孩子。            
(3星)	 弱得可以  辣得可怕            
(3星)	 跟韩剧有的一拼            
(3星)	 年輕一輩的男演員演技真的不行!都面攤是怎樣?!最討厭演NOK那傢伙，世襲家族裡的角色只是蠢加好色，在這裡根本是純種變態，超想從他的賤兔臉扁下去~還蠻喜歡爸爸那個角色，面對善良的Nam總是無可奈何的樣子，展現出人性和父愛，血緣本來就不是那麼重要，相較之下她媽簡直是魔鬼            
(NA)	 好看            
(1星)	 低分只因为演员没有原版好！无论演技还是长相            
(3星)	 纠结死啊！！！            
(NA)	 为了男一号 我终于快进看完狗血剧            
(3星)	 第一次看泰剧 可家看完了…            
(3星)	 看个一集就够了……看了一个镜头就猜出剧情了……当年在宿舍看的……两分钟搞完的事情拖了半个多小时……当时那个怨声载道啊……我妈说的对……看的心都要出来了……            
(2星)	 NC            
(3星)	 剧情很狗血，其实是为了Son 而看的！            
(NA)	  剧情发展很狗血啊 那个猪猪太强大 猪猪她亲妈更强大            
(3星)	 九珠太可惡、、壞到極致、、看的咬牙切齒            
(1星)	 怎一个狗血了得....一星献给男主....            
(3星)	 泰版错爱一生么= =  剧情什么的可以忽略            
(4星)	 狗血啊。不过好看，哈哈~            
(3星)	 只有男主的脸才是看剧的动力~son好帅            
(4星)	 让我想起《错爱一生》……            
(3星)	 也看过了哦。。            
(4星)	 son 还是帅呀，穿白衬衫的样子超好看，不过这部剧爱情不是主线，人物也就没那么动人了。            
(3星)	 太冗长了。。            
(4星)	 好喜欢琦文。            
(3星)	 亮点全在珠珠身上。要是我有这么个妈，不要也罢。            
(4星)	 虐死了            
(3星)	 男主角不像泰国人。。。不过长得还不错            
(NA)	 这部真的太拖沓。            
(1星)	 别2了行不            
(3星)	 狗血，而且情节太拖沓了。看得后面反而喜欢男二了。            
(4星)	 男主角够帅 女主角还可以，反派也不错            
(2星)	 在电视台反复的重播中我居然断断续续看完了。            
(NA)	 鸠占鹊巢的故事            
(NA)	 泰国大概就那么几个演员吧 演来演去总是那么几对            
(3星)	 我喜欢九珠和阿诺啊！！！            
(5星)	 看完了，还是觉得原来的好看。            
(NA)	 尼玛是有多狗血啊啊啊！！！多弱智啊啊啊！！！残害我智商丫            
(3星)	 那个狗血呀            
(3星)	 玻璃就是玻璃，就算能在太阳下闪耀，也永远成不了钻石。            
(3星)	 一开始挺喜欢的，觉得剧情比较特别。看到后边觉得就是一个极度变态的亲生母女和一大群傻B的故事。后边的剧情真是拖沓和狗血到一个境界。不过还是要说一句，女主和男二好看哇^_^            
(NA)	 我娘看我就跟着看看，蛮老套的，不过后半部分还挺扣人心悬的哈哈            
(NA)	 在电视里看了两集，果然很粗糙            
(3星)	 木头帅哥。。。            
(3星)	 泰剧怎么那么俗，看得我好欢乐~            
(NA)	 电视在放            
(3星)	 没有逃脱泰剧的一贯风格,只是男女主演漂亮养眼才勉强看了下来...            
(2星)	 虐心            
(NA)	 很老套的剧情 看了一点点            
(4星)	 一般            
(3星)	 一如既往的简单善恶观狗血大团圆……            
(3星)	 就那样吧。。            
(5星)	 很好看            
(4星)	 老版的凤凰血是我看的第一部泰剧，从此爱上了~~这不一样赞！！            
(5星)	None
(5星)	 赫赫 我喜欢男主 SON            
(3星)	 纪念一下我看的第一部泰剧。。。。。。            
(3星)	 在&lt;爱在旅途&gt;觉得女主脸熟,原来是这部戏的关系.这剧看没看过居然要再去看视频才更确定.            
(1星)	 虽然很喜欢女主，但实在做作到家，看不下去。            
(NA)	 我居然陪我妈看完了这部片...            
(3星)	 安徽台总让我看泰剧！剧情都差不多，都是狸猫换太子之类的。剧情没什么新意，作为一个无所事事的人，下午看看这部剧就当打发时间。            
(3星)	 挺好看的            
(3星)	 挺俗套的剧情，但是男主角还算亮眼，勉强看完了            
(3星)	 妈妈级演员好漂亮！            
(4星)	 帅小伙            
(3星)	 这剧里男人帅的闪瞎我的狗眼！泰国何时也开始盛产帅哥了啊！想去泰国了可恶！            
(5星)	 又是一部和妈妈看的电视剧。很幸福，给五星。哎。可是看的人有点感伤。母亲的一辈子，一切都是为了儿女，永远，都是为了儿女。也只有母亲，会无休止地原谅自己的孩子。            
(5星)	 冲着帅哥美女看的~音乐很好听            
(3星)	 男主颜极品演技不行            
(4星)	 貌似很狗血，有空看看。。。。啊，看了三四天终于看完了，这剧竟然有29集！！！支撑着我看下去的就是男主啊！！虽然不妖但也合我口味～            
(5星)	 我喜欢SON。！            
(4星)	 典型的泰剧 son和某人真是像啊            
(3星)	 坏银张力十足吖            
(4星)	 泰剧还是很不错的~~男主角长得真不像传统泰国人~~完全是我的菜啊！@            
(NA)	 也太狗血了             
(4星)	 男主角真帅~~~            
(NA)	 男主帅            
(3星)	 帅哥是王道~            
(5星)	 男主角很帅！！            
(3星)	 不到三星吧 看个热闹……            
(3星)	 Son好帅~！            
(3星)	 泰剧神马的虽然有点儿过火，而且反复就那几个演员= =凸，在不同剧里配对儿都不带变的……不过看得还真蛮开心的=v=            
(4星)	 好狗血的剧情啊！！！从第一集就开始叫唤！我觉得最坏的不是九珠！是她老娘披坤！华丽丽的捧杀啊捧杀！Son好帅呀！！说句脸皮厚的我觉得兔子先生你长得很像Son耶！！！            
(2星)	 泰剧就是好人特别好，坏人特别坏，矛盾很激烈            
(4星)	 家庭伦理剧？？哈哈哈 在老家太无聊 有这个电视剧看是可以的，最主要是中文配音，比泰语能接受很多。            
(NA)	 主题歌很好听，嘿嘿~~            
(4星)	 有一种恐惧叫害怕失去            
(2星)	 最毒女人心啊            
(3星)	 我觉得选角上都有点仿似前一部            
(NA)	 不喜男主son啊，因为fluke比较倾向于ton这个酒窝。vill真的很美才发现啊。。            
(5星)	 SON真真帅气，就是演技要提高哈~            
(3星)	 泰剧还蛮过瘾的，都叫凤凰血原来和央视那个不是一部就说和几年前看的剧情都不一样= =            
(3星)	 超级狗血，狗血无敌            
(4星)	 女主角挺清纯的，男主角的演技真的很一般，比较花瓶~第二女主角在剧中是一个比较坏的人，但是她的演技是最好的。又是一个好人有好报，坏人有恶报的故事。            
(4星)	 男主角蛮亲切的~            
(NA)	 我好喜欢拉达夫人！！！男一号根本就是一傻缺的死酱油嘛&gt;&#34;&lt;            
(3星)	 虽然剧情狗血，但还是看的我心揪着。。            
(1星)	 除了人长得还行，那叫个狗血和烂啊！没有你看不到，只有你想不到的大跌眼镜！都怪我出差中途无聊看了几集，造孽看了这剧。。。真是造孽啊！造孽！            
(4星)	 母亲，孩子，爱情            
(3星)	 女主打扮下还不错            
(3星)	 甜蜜戏不够多。。。女主妈妈太让人愤恨~~~            
(NA)	 看了个结尾。。。。只能说导演太会选演员。。。。那个九珠的行为太对得起这副贱人脸了，泰剧的发展水平绝对赶不上泰国电影的发展，怎么看都不像一个娘胎里带的。。。。            
(3星)	 就是感觉泰国的警察真的很无能，九珠和她亲生妈妈倒是很能干            
(3星)	 安徽卫视周末在放。。。            
(4星)	 老妈就是喜欢这么狗血的剧，不过挺养眼的说            
(5星)	 又是王子和灰姑娘的故事。            
(3星)	 名叫儿子的男演员  长的像BIUBIU的女主角             
(NA)	 小姐的身子，丫鬟的命。            
(4星)	 泰国的小盆友怎么都这么养眼~            
(4星)	 管家的死是转折点，否则一切没那么糟。kaewkao其实是最大的牺牲品。这部泰剧看似俗气，但是看的时候很是吸引人，回忆的时候也很有味道。            
(5星)	 女的靓，男的帅            
(4星)	 貌似是VILL的成名作，还在追翻译。。。            
(4星)	 就觉得女主角没那么好看，拉辛哥也是第一部的比较帅。但是格利很不错啊，有些剧情怎么像大陆的偶像剧得感觉。            
(3星)	 男主角好帅昂            
