http://movie.douban.com/subject/1863923/	鹿鼎记
(4星)	 最喜欢双儿了，小春演得不错            
(4星)	 除了年龄都不是问题，康熙还是蛮帅的            
(4星)	 还行 挺逗乐的 而且跟原著比起来 虽然改了点 但美女多啊 看着心情都好             
(3星)	 我那时候怎么没发现马浚伟那么帅呢？            
(5星)	 比梁朝伟那版好玩            
(3星)	 我看的第一个版本的鹿鼎记            
(NA)	  陈小春             
(4星)	 幸福的小宝。超搞笑。喜欢双儿。            
(4星)	 这么多女人看他吃不吃得消            
(3星)	 拘泥于原著，没意思。            
(5星)	 百看不厌            
(5星)	 1，前阵子每晚吃饭的时候都会看这部电视剧，给我带来无限欢乐；2，在所有版本的《鹿鼎记》中，我觉得这部是最好的，因为太过喜欢，所以赞其为天衣无缝，完美无缺；3，近几年，网上“基”文化泛滥，导致我看这部剧时，越往后越对韦小宝和康熙之间的感情产生怀疑，最后不得不给自己一巴掌才能回过神来。            
(4星)	 古装无敌。            
(5星)	 根本就是韦小宝嘛            
(NA)	 贱不兮兮的韦小宝            
(NA)	 印象最深的居然是康熙= =            
(5星)	 张卫健o(*////▽////*)q            
(5星)	 超爱！            
(4星)	 陈版的韦小宝堪称完美，可惜了姑娘们都不够漂亮~            
(5星)	 最爱的古装剧！十年二十年以后都是！            
(5星)	 百看不厌的经典。            
(5星)	 马浚伟啊马浚伟！！！我记得我有一个学长很像他然后就萌了一阵子。            
(5星)	 认为最好看得鹿鼎记            
(4星)	 梁小冰的陈圆圆太好看            
(4星)	 开始添加TVB...            
(5星)	 超级喜欢了好长一阵子，导致连去海螺沟旅游也满是这个的回忆囧            
(5星)	 最可爱的双儿让我无限喜欢陈小春的一部片            
(5星)	 童年的经典版本！            
(2星)	 小时候的记忆啊·            
(5星)	 特别经典~ 最喜欢看的就是这个版本的            
(5星)	 最爱的韦小宝            
(4星)	 玩得转，比看过的所有版本都好，虽然有时看起来场景和群众演员穷了一点，但是创意不穷。            
(4星)	 完全有必要向忠於原著的鹿鼎記致敬            
(5星)	 陈小春..T T            
(4星)	 曾经是那么的羡慕小桂子~            
(5星)	 我的最爱            
(5星)	 赞！～特喜欢韦小宝的独白            
(5星)	 美妙的年少时光啊~~            
(5星)	 太好看了            
(5星)	 门朝大海....哈哈哈            
(3星)	 一百年前            
(NA)	 韦小宝是多人的梦想            
(4星)	 他是最好的韦小宝            
(4星)	 娃哈哈            
(5星)	 看了好多遍了            
(5星)	 我爱陈小春            
(4星)	 个人很喜欢            
(2星)	 最见不得男人花心成这样的。            
(3星)	 像陈小春一样撒银票阿~            
(NA)	 觉得马浚伟的这个造型最适合他。            
(5星)	 看了一百遍也有了            
(5星)	 轻松搞笑。            
(5星)	 记忆里最喜欢的电视剧            
(3星)	 就是不喜欢            
(3星)	 除了陈小春，这个版的鹿鼎记真的没啥好说的~            
(NA)	 香港            
(5星)	 小春演的太棒啦            
(4星)	 比较起来，我宁愿看这个            
(5星)	 童年美好的回忆啊！            
(4星)	 这样生动才是韦小宝，这样诡计多端，足智多谋才是他的特色。虽然大字不识，虽然贪财好色，虽然嘻嘻哈哈，但他的人生无人可以复制，精彩无比。这一版是拍的最好的版本，无法超越，别的版本不能与之相比较。            
(4星)	 喜欢            
(4星)	 从此韦小宝就是陈小春            
(5星)	 经典。            
(NA)	 现在看觉得蛮傻的            
(5星)	 最好看的鹿鼎记，百看不厌！            
(5星)	 经典啊~的确是经典~同学昨天这么一说还真感觉是~~内地的翻拍版才不要看叻            
(5星)	 我爱小春            
(5星)	 沒看過的拖出去打啊!!            
(4星)	 还是这个好啊~~小春同学的演技虽不怎么样但是比小明还是好很多倍啊~~            
(4星)	 很逗            
(4星)	 美女太少            
(4星)	 虽说陈小春面老，但是耍起宝来挺配小宝的。            
(5星)	 我舅让我看的，发现真的好看，            
(4星)	 粉嫩的小皇帝和恶搞的小宝            
(5星)	 中国最最经典的电视剧，无法超越，唯一的遗憾是场景有点像情景喜剧。            
(4星)	 小春就是一混人~很适合这个角色呢~            
(5星)	 我喜欢陈小春这个版本的            
(3星)	 第一次了解关于“鹿鼎记”的故事。            
(5星)	 稀饭陈小春  看了几遍.            
(4星)	 陈小春果然就是演韦小宝的料。            
(NA)	 小时候看了很多遍            
(5星)	 除了内些老婆丑点儿。小春儿不赖~~~            
(4星)	 很好看，除了女演员……            
(3星)	 陈小春未够般。            
(5星)	 陈小春版本最是经典            
(4星)	 总比明教的强多了            
(4星)	 最喜欢陈小春。            
(4星)	 最喜欢的版本            
(5星)	 缺点也是太经典            
(5星)	 陈小春是绝了，马浚伟的康熙也是，我都不晓得看了多少遍了，太好看了！            
(5星)	 第一次觉得演绎出金庸小说的精华~~~而且马仔的皇帝太帅了~~            
(5星)	 最爱的韦小宝版本。。            
(3星)	 这片只能说一般，但拍得看起来还比较舒服            
(5星)	 比小说好看，再赞TVB的编剧。陈小春演韦小宝真合适。            
(4星)	 陈小春，马浚伟～            
(5星)	 最经典的一部            
(3星)	 时在广州            
(3星)	 看的不全 这是看过的无论电影还是电视剧 唯一一部关于韦小宝的东西            
(NA)	 ???Ӿ? ???? TVB            
(5星)	 同步！            
(5星)	 这好像看了好多遍了，2天时间又看了一遍，哥已经走火入魔了。么么哒            
(5星)	 矮油            
(4星)	 经典呐            
(4星)	 从头看到尾 一集不落             
(5星)	 我的大爱            
(5星)	 十星！！！！！！！！！            
(5星)	 这版真的笑死啊！中文配音也好棒！太钟情的直接原因就是后来看到教主演的那个直接无视了……连陈小春的脚都够不上啊！虽然老婆们都不是很漂酿的老婆，但是我喜欢双儿（无因果……            
(5星)	 녹정기            
(4星)	 无论哪个版本的方怡都很丑。。。            
(4星)	 虽然陈小春很丑，他的老婆们也不好看，但我是如此热爱他们！            
(5星)	 小时候看不觉得，如今重看，发现韦小宝和康熙之间是赤果果的基情啊……            
(NA)	 以前貌似还蛮喜欢内个双双?是不是这样写?...我真的跟鹿鼎记很不熟...            
(5星)	 我只喜欢双儿。            
(5星)	 陈小春永远是我心中的韦小宝            
(5星)	 最爱的一版！！小春好可爱的说~~！            
(5星)	 再重播一次。            
(5星)	 陈小春把韦小宝演活了，马浚伟是最好的小玄子            
(NA)	 韦小宝的故事            
(5星)	 初高中时怎么也看不腻啊，觉得陈小春还是很有魅力的嘛            
(5星)	 嘿嘿 我到现在无聊了还是会看。            
(5星)	 最好的一部 没有之一~！            
(5星)	 哈哈。            
(5星)	 由此知道陈小春这个人 到现在都喜欢 包括歌和电影            
(5星)	 陈小春版的韦小宝 不可颠覆            
(5星)	 经典！            
(5星)	 再看一遍 再乐一遍            
(5星)	 看了N遍 最经典的一部            
(5星)	 当时对它那叫一个痴迷，特喜欢那种贱贱的内心活动            
(5星)	 韦小宝是为陈小春写的~            
(5星)	 只爱这个版本            
(4星)	 小学看的，大学跟隔壁寝室还演过搞笑的鹿鼎记迷你剧，有一个杯具大姐一人分饰郑克爽吴三桂韦春花三角，心里还想不开了一阵儿。            
(5星)	 陈小春演的及其贱呀~~哈哈            
(5星)	 觉得陈小春版的韦小宝是最经典的            
(5星)	 我甚至因为这剧还买了好多小春的卡带……            
(5星)	 霸氣。            
(NA)	 最喜欢的~            
(4星)	 《鹿鼎记》这版最早看，后来一度沉迷于张卫健版，再后来发现还是这版比较强。陈小春啊~形神俱备啊~~~            
(4星)	 阿珂有什么好看的。一张苦脸。            
(5星)	 最经典版            
(5星)	 从小看到大，看了已经不知道多少遍。            
(5星)	 !!!            
(3星)	 这个版本不怎样            
(5星)	 到底好在哪呢？            
(3星)	 哦，先入为主的陈小春版鹿鼎记，以后就接受不了小受一样的韦小宝了            
(1星)	 刘玉翠，我真系顶你唔顺～～            
(5星)	 几百遍了            
(5星)	 我觉得這版的鹿鼎记是最有韦小宝精髓的一部= =            
(5星)	 哎呀呀太好看了，小桂子小玄子，我想歪了~~            
(5星)	 我妈都喜欢看。。不容易。。            
(5星)	 最棒的一版~            
(NA)	 小春            
(4星)	 我和哥哥一起看的···小宝 耶            
(4星)	 陈小春很合适            
(3星)	 陈小春有爱!!!            
(3星)	 小宝很丑，7个老婆一而不漂亮。。。            
(5星)	 大爱            
(5星)	 陈小春真是太适合这角色了~后来再看就觉得女主都不好看。。。            
(NA)	 我竟然把大把的时光都浪费在这种电视剧上            
(4星)	 上小学看的，到现在就只喜欢陈先生这一版            
(4星)	 还是这个版本好一点            
(5星)	 喜欢            
(5星)	 小宝~ 哈哈哈哈~            
(4星)	 鸟生鱼汤！            
(5星)	 这个版本绝对值得收藏与回味            
(5星)	 经典，每年看一次。            
(5星)	 从小到大粤语国语的都照杀，假期有重播一定会看。喜欢双儿的善良，徐濠縈的肤色。            
(NA)	 片头曲都能背了             
(5星)	 至今为止最喜欢的版本            
(4星)	 算是百看不厌的吧            
(4星)	 最喜欢这版鹿鼎记            
(5星)	 小春拍的永远经典            
(5星)	 最爱这版！            
(4星)	 表妹大爱的一部电视剧。初三的暑假有断续的看过。            
(NA)	 忘了            
(5星)	 陈小春就是我心目中的韦小宝            
(4星)	 哇哈哈 经典            
(4星)	 我認為最好的一部鹿鼎記            
(4星)	 也是陪伴了我好一段日子啊 虽然现在觉得那七个老婆质量着实不怎样            
(4星)	 陈小春版是最好的一版            
(5星)	 这一版绝对是最棒的~~百看不厌~            
(5星)	 虽然最开始很鄙视陈小春，但是还是忍不住笑得死去活来。比黄晓明强多了            
(5星)	 迄今为止最好版本的鹿鼎记，陈小春的气质与韦小宝最符合～            
(5星)	 经典。            
(5星)	 曾经的最爱。啊哈哈            
(NA)	 这版本比较有感觉。            
(5星)	 原来见了小宝也会误终身的            
(4星)	 小时候看的  似乎一直没看懂 囧            
(5星)	 记忆            
(NA)	 喜欢陈小春~            
(NA)	 个人觉得是最经典的一般版本。            
(4星)	 年少回忆。            
(5星)	 还是小春演的最好看！            
(4星)	 中小学暑假专看剧。有意思的韦小宝。            
(4星)	 陈小春版韦小宝 还是挺得精髓的 大概因为他本身就是很花的人            
(5星)	 只认陈小春的韦小宝            
(4星)	 我怎么忘了加这个，至今一听叱诧红人就鸡动....            
(4星)	 这个版本除了7个女人丑了点 另外都很OK！            
(NA)	 从此爱上陈小春            
(4星)	 我不得不说 这部剧里除了女人稍微没气质点 拍的真不错 当年还算是百看不厌的那型            
(3星)	 [昔时所看](电视台总是放，零星看了一点)用小宝的心里思考解释背后的内涵，比较有特色~~            
(4星)	 金庸剧还是TVB的好看 有些除外            
(3星)	 7个老婆，没一个是天香国色~ 小春虽然年纪大点，个子高点，但是真的演得不错            
(4星)	 虽然他不够帅~不过还是很好看的！            
(3星)	 我认为《鹿鼎记》最好看的一个版本            
(4星)	 这个韦小宝不错。            
(NA)	 好吧。还是童年。我一直疑惑建宁和小宝间有爱情么。            
(NA)	 经典！！ 我爱春春！            
(NA)	 一个暑假            
(3星)	 满搞笑，可惜这货不是韦小宝。            
(5星)	 最爱里面思想斗争那几部分。。            
(5星)	 没有可能凑齐这么有爱的卡司再拍一遍鹿鼎记了 陈小春演的也是超越不了了 张卫健那部简直就是渣 除了他的口头禅            
(5星)	 陈小春版把小宝演活了，小玄子我也喜欢的            
(3星)	 好吧，anyway，这版韦小宝算最好的 了            
(4星)	 最喜欢的鹿版            
(5星)	 我喜欢陈小春版本的的鹿鼎记。这才有味道嘛。            
(5星)	 小郡主 双儿             
(5星)	 百看不厌!~~            
(5星)	 小春=小宝。            
(NA)	 没看全            
(NA)	 我认为最经典的韦小宝。            
(2星)	  都是托金庸的福            
(5星)	 我最爱的版本。            
(2星)	 有点烂俗哦            
(NA)	 这版最好            
(4星)	 某一天，所有的电视台都开始播放这个电视剧...            
(3星)	 陈小春!演技不错哦!             
(NA)	 那七个女人..嗯老实说,是韵味大于相貌.有好几个我简直觉得不美.            
(4星)	 这个很好玩。觉得陈小春演的蛮好的~            
(4星)	 春式幽默            
(3星)	 陈小春演韦小宝很合适呢。            
(4星)	 虽然几乎是被电视台放烂了，但实在是比黄晓明那版本强太多了            
(4星)	 这部很不错啊^^            
(5星)	 最好的小宝            
(5星)	 没有人可以突破陈小春的演绎 初中的片子            
(NA)	 小春虽然长得不那么好看，但演的这个小宝真的很经典。            
(4星)	 陈小春还是把韦小宝诠释的不错的            
(4星)	 里面的人真是谁演谁像啊            
(4星)	 没看过梁朝伟版，无从比较            
(5星)	 还是这部最经典。            
(4星)	 经典            
(4星)	 搞笑必备佳品            
(5星)	 四天时间重新看完～喜欢双儿和阿珂。            
(5星)	 很喜欢小春版的小宝            
(NA)	 虽然小春很老相，但不得不说这部鹿鼎记是最讨人喜欢的一部~            
(4星)	 陈小春版最高！            
(5星)	 XDDDDDDDD            
(NA)	 陈小春可真是演神了~            
(4星)	 陈小春版似乎最让我接受。            
(5星)	 好兄弟，讲义气！            
(3星)	 陈小春很适合这个角色            
(5星)	 非常喜欢这版，百看不厌            
(5星)	 最好看的一版~            
(5星)	 我喜欢这个版本~            
(NA)	 最爱的版本 百看不厌～            
(4星)	 一个滑稽，圆滑的混混出世了. 呵呵。            
(4星)	 呵呵            
(NA)	 小春天生就应该演韦小宝…………            
(5星)	 鹿鼎记还是这版最好。            
(4星)	 小春真可爱。            
(5星)	 不知道为什么，他说什么，我都相信~~            
(5星)	 不能超越的小春            
(5星)	 多经典的东西～            
(5星)	 还是陈小春版的小宝最经典            
(3星)	 最好的韦小宝啦~            
(3星)	 陈小春演得真的比黄XX好多了。            
(5星)	 陈小春根本就是现实版的韦小宝啊 其他人都演不像的            
(5星)	 陈小春版大智若愚韦小宝是经典！！            
(5星)	 看着最舒服的一部            
(4星)	 看了多少遍都舍不得转台 太经典了 新版的简直没法儿看            
(4星)	 电视剧             
(4星)	 陈小春版的韦小宝除了苍老一点，其他都符合了，古灵精怪，调皮可爱。            
(4星)	 看到陈小春就想到你……            
(5星)	 就喜欢陈小春            
(4星)	 这部高中时蛮火的。            
(4星)	 韦小宝就是和陈小春那样痞痞的            
(5星)	 最好的一版~~            
(4星)	 目前为止最喜欢的一版            
(3星)	 話說挺搞笑的            
(5星)	 多部剧集里我最喜欢的一部,也感觉无法被超越的一部鹿鼎记            
(NA)	 刚买了碟            
(5星)	 小桂子~~~~~~~~            
(4星)	  鹿鼎记就认这个版本。。。            
(5星)	 每年必重看经典剧目            
(1星)	 远远不及梁朝伟            
(5星)	 最喜欢的啊(*^__^*) 嘻嘻……            
(5星)	 最为传神，百看不厌。陈小春真是灵魂附体，把韦小宝演活了。与康熙的友情也令人心生羡慕。            
(5星)	 简直就是绝了~ 演员的气质很棒！隔了十年在电视上看到还是会停留。            
(NA)	 我最喜欢这一版            
(5星)	 太喜欢了，演员选的不错！            
(3星)	 一般            
(5星)	 众多鹿鼎记中我的最爱，小春版的韦小宝实在太深入人心了！7个老婆不够靓又怎样？有小春就足够了！哇哈哈哈            
(3星)	 金庸作品连续剧里最喜欢的.            
(4星)	 长的不好，演的不错            
(5星)	 小宝太传神，舍他取谁？不过小宝的LP们可真难看            
(4星)	 多年后才知道那是马浚伟....            
(5星)	 最喜欢的一部 不知道央视的怎么样            
(4星)	 哎呀，这个经典            
(4星)	 ..            
(5星)	 香港最好看的连续剧之一,当然,如果没看过原作更好            
(NA)	 可爱死了！！！            
(5星)	 我靠，超喜欢            
(5星)	 完美的记忆            
(5星)	 超喜欢里面的心理活动刻画~            
(5星)	 小时候看的            
(5星)	 小春演的的确很好～～～            
(5星)	 可以打十个星麽？            
(4星)	 第一次觉得陈小春不是那么丑            
(4星)	 那时候就暴露出的后宫倾向            
(5星)	 我喜欢            
(5星)	 娶足7个            
(3星)	  TVB的都一样            
(2星)	 不怎么样 总之就是不喜欢            
(NA)	 我喜欢小宝...金墉作品这部我的最爱...            
(5星)	 又是个笑喷掉的            
(5星)	 我认为比较好看的版本！            
(3星)	 非常一般，不过内心独白的桥断设计挺有趣的。演员真够丑的            
(4星)	 陳小春...            
(5星)	 这个版本的小桂子我妈妈很喜欢..            
(5星)	 不知道看了多少遍，最喜欢的就是小宝在潜意识里面使坏，暗搓搓，很好笑！            
(4星)	 桂贝勒~~~~~~~~            
(4星)	 蛮喜欢小春的风格~            
(3星)	 老婆太多啦～～哈哈～～            
(4星)	 嘻嘻，额还是喜欢这个版本的鹿鼎记……内心独白太KUSO了……            
(5星)	 陈小春应该这样一直走下去的            
(5星)	 大功告成,亲个嘴吧!            
(4星)	 好看的。            
(NA)	 喜欢这一版的小宝和康熙            
(4星)	 双儿双儿双儿双儿~~我从小从小就想娶双儿做老婆~好好痛惜~            
(4星)	 这个版本印象深！~            
(NA)	 超爱。            
(5星)	 室片~            
(4星)	 小流氓变叱诧红人。            
(NA)	 陈小春演得和人物形象还是比较贴近的            
(5星)	 就如同87版红楼一样，后人别再翻拍了，没用的。            
(4星)	 刚播的那个暑假里几乎人人都在看 映像中是这样～～            
(3星)	 +            
(4星)	 欣赏陈小春            
(3星)	 改编得太多了...            
(4星)	 小宝那么机灵，那些正义人士比起来就个个呆板、不分青红皂白            
(NA)	 啧啧            
(4星)	 其实这个版本有些地方还是很不错的，可圈可点：）            
(4星)	 香港  电视剧  TVB  港剧  武侠  陈小春  连续剧  喜剧  金庸            
(4星)	 好老婆            
(4星)	 不错            
(NA)	 我一个老婆都没有            
(4星)	 中国香港            
(4星)	 上小学的时候断断续续的看了些，没想到长大了还是断断续续的看            
(5星)	 绝对的经典！！！！任何人也无法超越！！！！！            
(4星)	 经典啊            
(NA)	 好可爱的小宝和双儿，最萌的康熙！            
(5星)	 陈小春演的韦小宝真的最经典了呢~~            
(5星)	 the best            
(4星)	 依旧小时候的记忆了，不过这是鹿鼎记多个版本里最经典的一版。陈小春演的很到位啊。            
(5星)	 最爱这个版本，即使布景效果很烂，陈小春和他老婆们也丑的不像样，但每次只要电视上放，我一定会停下来看。            
(NA)	 麻痹现在才看懂鹿鼎记！自始至终只有小宝和皇帝是一对吧魂淡金庸老儿            
(5星)	 经典永远是经典，教主那一版凑数之作就不要拿来比较了            
(5星)	 最爱这版韦小宝！！！            
(4星)	 马浚伟才是我的菜了  陈小春太适合演这个角色了              
(NA)	 【1998-06-01】            
(NA)	 小玄子萌萌哒o(*////▽////*)q             
(3星)	 陈小春版的韦小宝真是经典啊~            
(5星)	 小玄子激萌啊有木有。            
(5星)	 这部剧也算是相当相当的经典了。            
(4星)	 你爷爷的            
(5星)	 永远的经典，我的青春啊，你爷爷的~            
(4星)	 陪我度过多少个假期            
(5星)	 就是爱看一个男人和很多女人的戏！            
(5星)	 这一版是最经典的了吧。            
(4星)	 当时觉得陈小春演小宝太老  不过和后来的黄晓明版比起来   真是tm太棒了            
(5星)	 看多少遍也不会厌            
(4星)	None
(5星)	 经典教科片！            
(NA)	 那时的马浚伟好萌啊            
(4星)	 对陈小春的颜充满怨念啊~~            
(4星)	 嗷嗷嗷小时候太喜欢陈小春演的韦小宝了！            
(NA)	 当年好喜欢马浚伟的            
(5星)	 连小太监小官都很搞笑，经典不能复制            
(5星)	 我爱死陈小春了            
(5星)	 最正宗的韦小宝            
(5星)	 暑假在新疆的时候翻出来每晚陪我到两点。。。经典！！！            
(5星)	 看的最完整的版本，小玄子当年帅啊~            
(5星)	 看了不知道多少遍了，这一次的粤语版亮点很多啊，哈哈哈            
(5星)	 绝了              
(5星)	 最近每天早晨起来看啊···哈哈哈哈哈 电视剧经典            
(4星)	 相对于金庸的其他剧，我觉得鹿鼎记还是比较好看的。不知道怎么，对金庸就是不感冒。。。            
(5星)	 最爱的版本            
(NA)	 添加之前看过的遗漏             
(5星)	 经典！无人超越！            
(5星)	 百看不厌            
(5星)	 童年记忆  当年好喜欢马浚伟            
(5星)	 神剧... 我都数不清到底看过多少遍了… 不过这七个老婆近几年都不活跃了啊，都干嘛去了？            
(4星)	 跟姥姥看的。。            
(5星)	 经典呀！！！！！！！！            
(4星)	 只有陈小春才能演韦小宝。另：小玄子很萌啊小玄子！            
(5星)	 最爱……没的说 都在心里了！！！！！！！！！！！！            
(5星)	 最经典的版本，真真演活了…            
(5星)	 超爱！！！            
(5星)	 完美！            
(4星)	 看了无数遍！哈哈哈哈哈            
(3星)	 其实我还是喜欢小宝与康熙啊。            
(5星)	 小学的美好回忆啊 太喜欢陈小春版的小宝了            
(5星)	 这个版真是经典啊            
(NA)	 每个男人都相当韦小宝            
(5星)	 真的好喜欢这个版本~            
(4星)	 好经典！！！反复看了七八遍！！！我喜欢这个版本的双儿和阿珂~            
(5星)	 真好看啊，那时候想到晚上有鹿鼎记看整天都觉得很充实。。            
(5星)	 哼！我的一周都送给你了……~真不舍得结束啊……            
(4星)	 其实我喜欢小玄子            
(4星)	 除了女主角一个个的丑点 没什么大毛病            
(5星)	 经典            
(4星)	 最喜欢的版本            
(4星)	 最喜欢这版的少年康熙。。也喜欢陈小春，不过，他的年龄不适合韦小宝            
(NA)	 陈演的太好了，恐怕没有人能超越了。            
(5星)	 儿时的记忆呀~~~！            
(5星)	 百看不厌！！！            
(4星)	 在我心目中韦小宝就是长陈小春这样的~            
(4星)	 还是最喜欢陈小春这版            
(NA)	 嗨~            
(4星)	 经典版。            
(4星)	 做人当如韦小宝            
(4星)	 原来看过的            
(5星)	 最喜欢这个版本的韦小宝            
(5星)	 一天7集，而且我基本都能背下台词来了还爱看。。。。沉迷阿            
(4星)	 哈哈 最贴近形象的韦小宝            
(5星)	 很喜欢这一版的鹿鼎记，尽管没有看过原著。            
(5星)	 =0=            
(5星)	 又是大爱。            
(5星)	 太喜欢了。各种人物，各种搞笑，里面的歌也好听…港剧的巅峰时期。再也没有这样的电视剧了…            
(5星)	 我觉得陈小春把韦小宝演活了 此版的韦小宝太过经典            
(4星)	 韦小宝的经典之作！            
(5星)	 小春是个标榜了啊。            
(5星)	 陈小春演的韦小宝是我看过的得最好的！            
(5星)	 陈小春版的才是经典            
(5星)	 经典啊            
(5星)	 最好的一部            
(5星)	 最经典的一版啦            
(5星)	 小春可爱！            
(5星)	 经典版本，个人最爱，看了N遍……经常觉得陈小春是为韦小宝这个角色量身打造的……（韦小宝这个角色是为了陈小春量身打造的……） 哈哈            
(5星)	 只有他才是韦小宝 好么！            
(4星)	 最好的鹿鼎记电视剧比黄教主的强多了            
(4星)	 最爱的一个版本，            
(5星)	 陈小春~~~            
(5星)	 终于看完了，小玄子好赞啊。            
(5星)	 然后大家都拼命把口头禅从你奶奶的改成你爷爷的            
(3星)	 虽然金庸自己很喜欢《鹿鼎记》，但我还是更喜欢早期那些江湖侠义。            
(5星)	 我有碟我有碟，我爱美人们~~            
(5星)	 小春儿！            
(4星)	 最好的版本。            
(3星)	 哎哟，这个肯定看过啊            
(5星)	 刚刚又重温了一遍，45集，热闹得很，勾起很多儿时回忆。可惜现在的社会再也不像从前那么单纯快乐、、、、            
(5星)	 有意思            
(5星)	 这是最好看的鹿鼎记啊，多年以后我发现我好喜欢陈小春            
(3星)	 我想做韦小宝来着-。-            
(3星)	 喜欢陈小霞的双儿。此剧总体来说是不错，只是陈小春过于痞子气。            
(5星)	 心目中最好的鹿鼎记版本            
(5星)	 陈小春版的韦小宝太特么贱了~            
(NA)	 陈小春很有爱  其他…不敢恭维啊            
(5星)	 小桂子～你爷爷的～朕知道你没那么容易死 想骗你老子 没那么容易～恩哈哈哈哈哈～哈哈哈哈哈            
(5星)	 陈小春=韦小宝            
(5星)	 永远的小宝~            
(3星)	 对原著对各个版本的鹿鼎记都无爱。。。            
(3星)	 :D            
(4星)	 哈哈，这个一定要顶            
(4星)	 喜欢小春那痞气十足的霸气！            
(NA)	 太爱看了。            
(4星)	 就是。。看看啊。。这种            
(5星)	 作为一个女人，我觉得吧，这部片子的确非常好看，对于想超越这部片子的黄教主表示鄙视！            
(5星)	 陈小春演得很好，另外夏韶声扮演的陈近南让我印象深刻。            
(NA)	 2010-11-27            
(5星)	 还是喜欢马浚伟            
(5星)	 真是惊天地泣鬼神，惊天地泣鬼神啊！！            
(4星)	 喜剧片经典之一。            
(4星)	 阿珂哇            
(5星)	 最喜欢的一部鹿鼎记 没有之一            
(5星)	 陈小春才是韦小宝！            
(4星)	 陈小春最有爱了            
(4星)	 还是春爷最正宗            
(4星)	 还是最喜欢这版鹿鼎记，看不腻。            
(5星)	 就觉得康熙好帅！！！！！！！            
(5星)	 百看不厌            
(5星)	 经典无以超越            
(5星)	 超喜欢的一部            
(5星)	 电视剧版比书还要经典的多。太棒了。            
(NA)	 每一集都能背了            
(5星)	 贴陈小春的标签是为了跟教主区别开来~~            
(5星)	 最好看的一版。            
(5星)	 这部鹿鼎记给力，演员找对人。            
(5星)	 死神琉克看过鹿鼎记后、陈小春头上的名字瞬间变成韦小宝、从此得永生...            
(3星)	 陈小春就是韦小宝，韦小宝就是陈小春。            
(5星)	 娱乐效果很好很好  陈小春比那什么小明顺眼多了..哦 不. 那个小明和小春 不是一个层次上的            
(5星)	 还是喜欢陈小春版的            
(5星)	 看了二十几遍还是不会腻            
(5星)	 赢尽了世界一切，你却不见。。。            
