http://movie.douban.com/subject/4300597/	月之恋人 月の恋人～Moon Lovers～
(NA)	 分就不打了 胃口在坚持完第一集后就荡然无存了 连瞥一眼第二集的好奇都没有            
(2星)	 月九神话由大神一手创造，现在又由他一手毁灭。。也算是有始有终了。。            
(2星)	 我不讨厌040，也不讨厌大神，更不讨厌其他CAST，我只是讨厌编剧！编剧你去史啦！！看两集弃！            
(1星)	 要不是大神，我看这个雷剧干嘛！            
(NA)	 莫名其妙开始莫名其妙结束。只爱炮灰了的囧子~            
(2星)	 这个结局太突兀了。。。怎么看也还是觉得大神和志玲姐比较好            
(NA)	 第一集的剧情简直有点儿脑残……翔太呀，为了你我会继续看的……            
(5星)	 木村大叔帥呆了            
(2星)	 很爱筱原凉子姐姐，囧子小姐也可爱，剧是烂到底，多出一颗星给这个好满意的结局，大神下次挑剧本要慎重啊！！！            
(1星)	 雷到了...            
(3星)	 此片真的是没得救了= =            
(1星)	 真不是一般恶心            
(4星)	 看到最后,我满意了.木村还是大神,任何人都不能代替他.            
(1星)	 天雷滚滚 我真的错了！！！            
(2星)	 要不是為了看大神的帥臉。早就棄了。好好一個卡司硬是被搞成這樣。淺野大媽可以洗洗睡了。            
(NA)	 林某某和木某某某真是太不招人喜欢了            
(2星)	 志玲大妈，滚回你的台湾岛吧            
(4星)	 囧啊囧            
(2星)	 看最后一集 想说还行的 但是最后十分钟让剧情变得十分狗血            
(1星)	 瞎了我的眼！！            
(5星)	 全明星阵容配上这么个故事，简直雷上了天。我很不理解为啥日本人在影视剧中总将中国拍得像还处于七八十年代的样子，而040姐姐年龄跨度极大的演出再配上她“无敌”的演技其实已经足以诠释中国人在这部剧中的作用，木村大神周旋于三个女人之间还总保持着一张麻木不仁的脸，浅野大妈你真可谓黑了个遍。            
(4星)	 最后总算是回归日剧了......            
(2星)	 两集弃！要看凉子姐姐啊大神啊什么的我就找别的剧看去~ 反正这个我不要了......  其实也没有不喜欢040，只是实在没办法接受她的声音和演技。            
(1星)	 你愿意做个剩女吗？！！各种狗血，各种雷。。。            
(2星)	 这部剧的烂，是木村拓哉都无法拯救的；林志玲演技的烂，是上帝都无法拯救的。最后大神跟凉子姐在一起，我才稍微心安了点            
(3星)	 看完结尾志玲姐姐只是打了酱油回中国我就关掉优酷了..筱原凉子长好丑...此剧真乃日本众女优对志玲姐姐的完败啊！            
(3星)	 反转剧！            
(2星)	 编剧脑子让门板夹了吧            
(4星)	 看了第一集，被雷到了。但是大神真的好帅！            
(NA)	 有那麼差嗎 雖然編劇是有點硬扯 但不能老是否認林志玲的努力吧             
(NA)	 屎一般的剧情 观看林志玲的感觉就像吃屎一样            
(3星)	 大神好虐，感情线怎么可以白目到如此境界。。囧子绝对没有黑自己，里面最喜欢的就是这个小女人了            
(1星)	 走下神坛的 木村拓哉            
(3星)	 木村这混蛋！真让人羡慕！虽然喜欢林志玲，但更喜欢篠原涼子             
(NA)	 3集之后 弃之            
(4星)	 到底是两个导演还是两个编剧啊就一点都不连贯= =            
(2星)	 我其实欢喜木村拓哉和北川景子在一起 | 爱心比水黾嗲一万倍 | 最后一集力挽狂澜了一下            
(4星)	 怎么说都蹲了一天了            
(2星)	 绵羊君呀绵羊。真的没什么欲望看完，怎么办？            
(4星)	 林志玲在里面真的挺漂亮的啊            
(NA)	 不知所云。            
(4星)	 不管怎么说，林志玲真的很漂亮            
(NA)	 【晓】            
(3星)	 志玲姐真是蛮美的……            
(4星)	 一开始还挺喜欢秀美，可惜后来她变回林志玲了。这里的日本女人都是圣母，只有中国姑娘敢爱敢恨。比起爱情剧，这更像一部励志剧。分低得有点奇怪，但看看“喜欢月之恋人的人也喜欢”，就知道评分的大部分是哪些群体了。            
(3星)	 嗯结局还不错。。。。            
(1星)	 看了一集 只想说 什么乱七八糟的            
(3星)	 哎。。。            
(2星)	 040去死            
(NA)	 面瘫的木村无论怎么样也看不出有让三个女人争抢的人格魅力……诸多对结尾的诟病其实来自于主角的错位，当观影者被线索误导接受了志玲阿姨和男猪脚在一起的事实之后，第一女主凉子姐反而像个在结尾插足的小三。这是编剧者的失误，无论线头有多复杂，也不可模糊主角的地位。            
(2星)	 只看了1-4集。            
(3星)	 一别扭男的后宫故事...可惜了凉子女神的演技，对松田弟弟的评价开始上升            
(5星)	 我要不理智的打上五颗星(至今为止完全无理智的评断) 感谢040前六集的所有雷人铺垫 只为了凸显之后的一切美好 当她脱离主线的时候浅野大妈就爆发了 看到第六集弃剧的上辈子都是折翼的天使= =              
(3星)	 每次都得鼓足勇气点开新一集，林志玲几乎被我骂死了怎么会有人喜欢她，四集后实在没胆继续跟下去，大结局当日蹲直播，结局让我很满意。筱原真美丽，她和大神只演一出纯爱多好            
(3星)	 几乎是拖着看完的，实在不耐烦这些狗血剧情了。            
(2星)	 坚持看完了，真的看不懂这个在说什么            
(NA)	 喜欢的结尾            
(1星)	 林志玲小姐 你那裝模作樣的臉和身體真的讓我無法吃消            
(1星)	 完全不知所云啊。。。            
(2星)	 我是真的受不了每集都要出现的囧囧有神的中文 = =            
(2星)	 林志玲，还我们的木村来！            
(3星)	 很喜欢凉子在里面的穿着。故事的话，就soso；我本来是很认真地欣赏志玲JJ的表演，可是实在是无语了，相比之下，凉子自然很多。莲见很帅很有型哈，不过岁月确实在木村的脸上留下了印记，风见也未免太瘦了吧，好单薄~            
(1星)	 可以当选百年最差日剧了吧，虽然040真的很美~            
(3星)	 浅野大妈你连水黾这样的边缘生物都能联想到幸福，我服了；志玲大姐你还能做作点吗，我确实受不鸟你那日文吐词啊；翔太君你的发型谁设计的，中文还能再顺溜点吗；木村大叔还是很帅啊，就是眼袋小些可以麽；凉子姐你也爱得太辛苦了，好在最后总算痴情没白费啊；囧子！全片最爱的就是囧子了！囧子最可爱！            
(NA)	 我就说嘛肯定还是凉子把大神搞定了啊这种背后一直默默的女人就是终结者啊！！林志玲你能不能不要老是点水啊！！点个毛啊！！            
(NA)	 虽然结局如我所愿，但040无论是形象还是行为都过于像个假人，实在是一个没有说服力的对手，所以凉子姐姐的最终胜利也没能让我感到有多大的欣喜。            
(NA)	 后半段才比较好看。。。            
(NA)	 我再无聊也不能无聊的看这2剧啊 风中凌乱 6集弃            
(NA)	 弃之            
(1星)	 纯粹是为了看翔太才撑到第二集            
(5星)	 5星给木村，木村太有型了！！！彻底拜倒在木村大神脚下。            
(2星)	 一只大猴子，从西跑到东，手长腿也长……            
(3星)	 看得我真的真的真的很想吐槽。            
(3星)	 着一颗一颗的天雷啊            
(1星)	 郁闷期看这剧就是找虐，一个040即使给我10个大神我心里都闷得慌！- -            
(2星)	 看在大神和翔太的份上            
(3星)	 因为040，我生生地降了一颗星            
(3星)	 木村最烂的作品            
(1星)	 林志玲少女你让我吐了。。。            
(NA)	 喜欢凉子，林志玲演的还是看不惯，看不惯日剧里出现臆想中的中国的情形            
(2星)	 志玲姐姐。。OMG            
(3星)	 两集弃~   都是040给毁的。。            
(2星)	 草……            
(3星)	 冲木村多给一颗星……            
(2星)	 感谢编剧。这么强的阵容。浪费了。            
(2星)	 木村老了            
(3星)	 欢乐的雷剧            
(NA)	 为毛是水黾这种边缘微生物啊！！！            
(4星)	 大神！！！            
(2星)	 志玲阿姨，你至于自己把脸贴到车窗上吗！            
(NA)	 真是太难看了！！！大神几乎无魅力，林志玲傻逼一样地只会发嗲。。。还有糟烂的结局……            
(2星)	 脑残脑残脑残脑残脑残脑残~~~大失水准!!!!!!!冲着翔太和凉子姐姐,我忍。。。。忍不下去了。2集弃            
(1星)	 雷是无可匹敌的潮流。。。。            
(3星)	 弃。            
(3星)	 里面人物爱恋关系实在够复杂。但是，喜欢最后一集里面的语言，朴实的作品丰富的内涵感人的出发点。            
(4星)	 拖到大結局，竟然出奇地好看。我揀北川。            
(2星)	 。。。。。。            
(2星)	 太难看了这剧！就不提040大妈那人所共知的做作演技了，木村在这剧里也是装逼得要命            
(2星)	 快进着看完全部。要我说吧，最后一话又臭又长，最好看的是结束后《夏の恋は虹色に輝く》的预告！            
(2星)	 变幻莫测的身高，木村果然能屈能伸。凉子你能忍住哪怕只有一刻不去撩头发或者手托腮吗？            
(2星)	 1集弃            
(4星)	 为了广告片加一颗星。            
(1星)	 你还记得上海工厂的刘秀美么！！！！！！！            
(2星)	 志玲姐姐真猛            
(2星)	 林小姐太雷            
(4星)	 即使又狗血又扯，每集看完了都想骂人，但是，不还是期待着看下一集的发展么？            
(3星)	 这是什么破end啊            
(3星)	 到后来真不知道在讲什么了！            
(3星)	 040颜还是不错的            
(3星)	 看了才发现阵容还是多强大的,篠原涼子anego都来了,拜一下拜一下,阿布力就太囧了..//  看完之后只能说,这结局还算不让我崩溃            
(2星)	 看到阿部力和听到SHOTA的中文，我笑了。。。还有销魂的40姐姐。。。。            
(3星)	 烂尾剧            
(2星)	 除了小女神 再无留恋            
(3星)	 看不下日剧了.......            
(3星)	 完全为了木村大叔！！！            
(3星)	 靠！！！脑残导演。。。你怎么好意思把上海拍成70年代的样子的啊！！还有040姐姐 你那个演技啊。。。僵硬的跟死尸一样了 这就是我期待了这么久的月九啊 望天             
(4星)	 木村果然演什么都一个路数～志玲姐姐可以不要嚎叫了吧。。。演员阵容很强大～            
(3星)	 就最后机场那段，40姐姐说“我收队了！你小子快滚吧”我居然感动了            
(4星)	 看第二次的时候，就明白了这部戏到底想说什么。其实挺有意义的。最后两集我很喜欢，在大神拒绝了秀美之后，这部剧的感觉一下子出来了。            
(3星)	 国人抗议什么时候搞得和足球啦啦队似的了            
(3星)	 只有音乐是亮点的说~            
(1星)	 什么鬼东西啊，最后会发展中日恋情吗。去死吧            
(2星)	 没想到木拓的剧可以下限到这个程度Orz/受不了了,ep03弃......            
(3星)	 怎么有种文革时期的感觉            
(2星)	 水黾原来你真的是亮点啊，大妈想了多久想到的四个硬币画出爱心这个主意的            
(NA)	 林志玲什么的最讨厌了！            
(2星)	 一集。但是不想看了，林MM你……唉- -            
(2星)	 太雷了。。。志玲jj的发音和演技让我想起了我曾经好像也不是那么喜欢她。。。而且阿拉美丽的上海街头充斥着娇滴滴的台湾腔。。。||果然看国外提起中国提起上海的时候我还是很爱国很爱家乡的。。。||顺，囧子演讨厌的女人很合适，松田翔太老帅了~~            
(3星)	 原來志玲姐也是咆哮教教徒啊....╮（￣▽￣）╭翔太的普通話太銷魂了...-_-|||棄了,嗯- -            
(NA)	 林囧林雷得我外焦里嫩。。。            
(5星)	 有0分吗请问？？？？？？？？？？？有0打0有负数绝对打-040！！！！            
(3星)	 筱原凉子、景子和翔太是我看完的唯一动力……可是翔太越到后面越呆……            
(NA)	 才看了一集= =            
(1星)	 要啥没啥，最后一集不想浪费时间了            
(3星)	 淺野大媽你這什麼爛劇本啊！！！！            
(2星)	 我。。。我组织不出语言了。。囧            
(2星)	 我已经不知道该怎么吐槽了……            
(2星)	 这剧真是激励了一批尚在暗恋中的妞儿啊！            
(3星)	 赶在下周新月九开播前终于帮你完结了。。。其实最后几乎没有040戏份的两集也没那么难看啦~~~            
(3星)	 结尾一点都不喜欢....我还是爱志玲姐姐多一点~            
(NA)	 蔡风见            
(NA)	 我x！真他娘的难看啊！            
(NA)	 。。。。。。大叔我替你默哀            
(NA)	 丢弃！嫌弃！            
(3星)	 为了筱原凉子 大神 松田翔太 我先忍着            
(4星)	 还挺好看的嘛 嘻嘻嘻嘻~            
(3星)	 弃之            
(NA)	 春季档向自己第二次致敬！            
(NA)	 最后那个镜头太恶心了，二宫穿着婚纱像上吐下泻的感觉！不喜欢她，真恶心！            
(3星)	 絕對是台灣片的套路  為了保護什麼什麼地方的女人跟貌似壞心其實還是壞心的商人勾搭【到最後最喜歡的竟然是北川囧子 真是好女人男主角永遠的不到】就編劇來講 實在是很一般很平乏啊！！摔！            
(3星)	 剧本狗血，某女缺演技，三星是給其他四位主角的，啊，真想咆哮！！！！！！！！！            
(3星)	 林姐姐！！！            
(3星)	 雷点太多看不下去了……难得这么多我爱的卡司……            
(1星)	 2            
(3星)	 挫            
(NA)	 虽然我喜欢筱原的角色 虽然我十分受不了林志玲的嗲 但是 这结局也太突兀了吧 好呆来点过渡什么的啊            
(2星)	 水黾！水黾！ 浅野大妈你能再矫情点吗！你的雷人三部曲终于完了！            
(3星)	 如果可以的话 明年请好好选剧本            
(2星)	 毫无高潮...........            
(2星)	 2            
(2星)	 年度最雷            
(1星)	 谁是猪脚也不能改变没营养的剧情= =            
(NA)	 1弃之，剧里这个上海，怎么开世博会怎么开世博会啊？编剧你就去YY18代吧~！            
(NA)	 看了一半。。。            
(2星)	 雷死人            
(3星)	 看到第三集！！！姐儿果断地弃了！！！            
(3星)	 剧情真是好玩。要么跳跃章节无头无脑。要么流水账漫漫无期。坚持看完、打三星全为绵羊。            
(NA)	 ..................................            
(3星)	 是说就6集么？真受不了040了.....            
(NA)	 到最後我就又不想看了.......            
(3星)	 这整他妈一出台湾八点档，有囧子，有再多顺眼的，我也弃了            
(3星)	 只看了一集....................            
(2星)	 MD，忍了两话实在看不下去了！！！！！！志玲大妈我恨你一辈子！你还我的大神绵羊还有凉子姐啊！！！！！            
(3星)	 棄之            
(1星)	 神作！！！            
(3星)	 一星給木村，一星給涼子，一星給所有工作人員            
(4星)	 有志玲姐姐看起来好不舒服哦，一律跳过            
(3星)	 6            
(4星)	 我已经不知道该如何形容社长了TwT 社长太美好了！ 其实我不雷林志玲相反觉得她说日文的时候挺可爱的 菜风间太台腔了OTZ  凉子姐姐很萌……干练型的很萌。囧子是被踩的存在 您颧骨那两坨A罩的肉要变B罩了 然后您的双下巴越来越厚了。总的来说这剧很欢乐。            
(2星)	 三集弃！            
(5星)	 看完第四话 我决定力贱了！大神 你老婆叫你回家冲浪 40 你妈叫你回家隆凶            
(3星)	 rensuke的转变有点莫名，但结局真的很萌。总结：2个坏男人和3个圣母的故事            
(1星)	 擦您能别嚎了么太阳太阳太阳==+            
(NA)	 我操再见好么永别。。。。。。。。。。。。。            
(2星)	 我X，你妹！无与伦比的雷剧！！！！10年雷剧诞生！            
(2星)	 被040雷焦了，没有一个角色喜欢，原谅我实在追不下去了，四集后弃之。            
(3星)	 月21 CX 5月10日 久保田利伸 - LOVERAIN～恋の雨～            
(4星)	 就随便看了一下            
(3星)	 真想哔了月九刺客，DT女西奈！            
(2星)	 &lt;08 完结&gt;终于追完了！= =春月九再见，夏月九快来！！！            
(4星)	 但凡遇见杰出的OST，咱就没法理性评分了。            
(2星)	 我看过的最差的 木村剧集！！！ 没有之一！！！            
(2星)	 【扶额】            
(4星)	 4星给最后一集的台词。我擦志玲姐果然好大胸！！！！我很喜欢她说话声音啊，可惜日文稍微有点怪。。里面居然有温水和小矮子滨田！！他们果然是龙套王OTZ。。乃们不要都做大好人好吗简直可以3P了！！！！擦最后居然是他们俩在一起！！好奇怪好吗明明和囧子比较搭！！            
(NA)	 完全冲着木村跟筱原凉子去看的啊！            
(1星)	 雷雷更健康            
(3星)	 三星半吧。040不说话那就是风景。这卡司连配角都强大，说实话，如果没有040，这评分是不是会高很多？            
(3星)	 本来吧，大神，筱原凉子，北川景子，松田翔太，这个剧应该挺好看的……040姐姐一来……收视率马上20一下……            
(NA)	 志玲是主角！绝对的            
(NA)	 = =|| 志玲姐姐，你是无敌的。。。。            
(3星)	 筱原凉子真是美好的无与伦比啊。。            
(3星)	 我是想看凉子姐姐，志玲姐姐出来我就快进            
(1星)	 第一话后面看到声援的时候我以为穿越到了芒果台- -...作为魔都群众果断弃剧            
(2星)	 万恶的旧上海啊。。。。工人起义、强抢民女、黑社会逼债、沦落风尘、卖身救母。。。             
(3星)	 终于还是看了，看完发现还是不看的好。            
(3星)	 太伤了就、太伤了就            
(NA)	 从没觉得原来我大学的专业那么帅。。            
(3星)	 9.3-9.14 大神太帅了~志玲JJ头两集很雷,慢慢地也就习惯了,剧里拍的几个广告还挺好看的~凉子JJ这个角色一般般吧~翔太那头毛太难看了~囧子还蛮可爱的,被大神树袋熊抱了呢~我是一个人,看社长的眼神笑容神马的,我觉得社长和秀美是真爱啊啊啊orz...所以觉得结局转得太快太大.            
(3星)	 挺一般的....            
(4星)	 我喜欢真绘美的个性：p            
(2星)	 大神堕落了，好伤心            
(4星)	 凉子太美了 辞职之后看的第一部剧            
(3星)	 怎么可以这么难看!!!!            
(NA)	 我好想力荐啊 因为木村大神真帅 筱原凉子无比让人向往 松田翔太说中文好玩 北川景子很可爱 可是 志玲姐姐。。。。所以要扣掉一颗星            
(2星)	 头还好，后面完全烂掉！木村没落。。            
(4星)	 木村和凉子在一起 怎么看怎么和谐 林志玲怎么看怎么多余            
(3星)	 果然还是木村拓哉神马的最帅！果然还是林XX神马的是出来打酱油的！林XX你可不可以不要两个词顿一下的说日语！            
(4星)	 囧子的角色太可爱了，木村太帅了，不过不怎么喜欢凉子。。            
(2星)	 老妈强烈推荐的日剧，完整看下来，觉得吧，如果只看最后两集，可能会好点。对这型的男主相当没好感，真绘美配他真是亏了。林志玲的日文和中文听着都超级别扭，她那个人物简直败笔。            
(4星)	 纯爱剧~凉子嗲！            
(3星)	 越来越爱木村了，怎么办啊~~            
(3星)	 唉,拓拓也有发福不那么帅的一天啊.这个角色很让人讨厌.商场里的勾心斗角我都没看进去,我只看到了:要和你爱的人上床,和爱你的人结婚.啧啧.            
(1星)	 完全沒看完地一集。            
(2星)	 木村老了            
(2星)	 丢人            
(5星)	 只是爱上了凉子姐！！！我宁愿被雷劈！！！            
(1星)	 竟然有比韩剧还臭的日剧            
(5星)	 完了，这下才看出来木村有多帅。。。林志玲很有杉菜的范。。。筱原凉子姐姐又得搞姐弟恋了。。松田翔太竟然演中国人。。。            
(NA)	 040被牺牲了。            
(3星)	 中国的脸···都被丢尽了···            
(2星)	 木村哥，志玲姐，这部戏收视率惨烂真是你们不搭的过错            
(4星)	 其实没那么糟糕，最后一集才是亮点            
(3星)	 史上最差月九……那么好的卡司简直了……            
(2星)	 怪不得收视率那么差，剧情果然狗血啊，只有凉子和翔太还比较养眼一点~~``            
(2星)	 月之雷人呀。。。。            
(3星)	 第一次听说找到水黾就是幸福的，编剧你是脑壳进水了吧！            
(1星)	 傻逼电视剧.浪费大爷时间.艹.            
(2星)	 汗阿 完全不想看下去了的我还是坚持看完了 我果然自虐            
(1星)	 我是为了一星而存在。。。囧            
(2星)	 給两星是为什么呢。。。。我也不知道诶。。。。觉得一颗都不給对不起凉子姐。。。            
(1星)	 太脑残的剧，木村大叔麻烦您挑一挑再演，并且040大妈那个日本腔调我看着鸡皮疙瘩一阵一阵的，找到XX就会找到幸福的台词，起码美好一点啊，为毛是水黾，我要吐了。            
(3星)	 幸好是happy ending~~~            
(2星)	 一集弃之。。。            
(4星)	 凉子抱得大神归，最后的结局挺可爱的            
(2星)	 神马东西            
(3星)	 木村大神不容易啊  要垫得多高啊            
(2星)	 【10春 木村拓哉+松田翔太+筱原凉子】在天雷滚滚中满屏幕找翔太，腹黑的绵羊君哦，你真是日渐成熟了            
(3星)	 雷            
(NA)	 最后。。两个我喜欢的人终于在一起了。。。。0之0的戏份。。未免也太重了吧。。。            
(3星)	 木村拓哉是所有理由。结局收得太漂亮~            
(3星)	 喜欢 木村  还有这个结局            
(NA)	 40姐姐的嗲声嗲语，还是无法与凉子姐的率性大气PK。其实木村大神一路以来与其最相配的女主角都是大气范儿的~            
(3星)	 白白浪费那么强的cast，为什么要有040，为什么要编成这样？大神估计要有心理阴影，几年不敢接剧了~            
(1星)	 这剧收视这么低，不妨设计成gal游戏，起码可以玩出莲介X真绘美、莲介X柚月、莲介X秀美、莲介X风见四个结局，比《school days》高端太多了，也许能大卖哦~~~~~            
(1星)	 大神你别再接烂剧本了好么！！！040阿姨你别再出来雷人了好么！！！浅野大妈你别再糟蹋日剧了好么！！！            
(3星)	 这剧唯一的亮点是让我待见点了北川景子。。。            
(3星)	 我真没觉得这片子怎么样，但二宫和柚月的付出很打动我。原来四个铜钱在一起并非水黾而是HEART这么多年的默默守候却敌不过一个突然冒出来的女人，明明难过得要死还要替俩人穿针引线，二宫你很伟大却差点断送自己的幸福。看见柚月对二宫说叶月就拜托给你了我很心酸，你是个好姑娘也一定会幸福的。            
(1星)	 结局太NC了 建议中国人就不要看了  只是一部为了顺应日本人拍的BT剧            
(3星)	 純為涼子姐堅持的            
(3星)	 演员都很好 为啥剧这样呢。。。志玲姐姐以后还是不要挑战跨国合作了            
(3星)	 水黾 找到水黾 就能找到幸福 嘻嘻 哈哈哈 我笑了，            
(NA)	 不喜欢040在里面的演出。还没有赤壁好。            
(3星)	 终于end了，自虐啊……            
(2星)	 林志玲嗲到我想打她，木村老了，翔太有味道，景子变得很可爱啊，凉子也不错~            
(2星)	 丑化中国,日本人傻B            
(3星)	 大叔和大妈幸福快乐地生活在一起了 好吧 我控熟男。。            
(3星)	 很是奇妙。看见水蚊子会西阿哇赛？            
(NA)	 在看完第三集后，毅然决定弃之。            
(2星)	 雷            
(3星)	 受不了林志玲啊！！！看不下去了            
(3星)	 看到第6集弃之 各种不想看下去……            
(3星)	 弃。木村拓哉没什么魅力了。            
(NA)	 纯粹只是看看演员 日剧中算烂的剧情 林志玲：你能把一句台词一口气说完吗?             
(2星)	 翔太我舍不得你喜欢那个大妈，虽然大家都喜欢大妈。啊，对了，你的中文还是很逗的....            
(3星)	 终于鼓起勇气把最后两集看了，只要志玲姐姐不出现，一切都好。为了凉子姐姐，还是把这个无数次想删掉的档下全吧。            
(3星)	 ma na~            
(3星)	 雖然有喜歡的卡司，不過這劇確實弱了，連結局都不想看，可憐了這麼有愛的卡司陣容了...            
(2星)	 雷雷真销魂~弃~            
(3星)	 木村的滑铁卢啊            
(3星)	 木村大叔好有爱&gt; &lt;            
(2星)	 松田翔太阿...洗洗头吧!!!!!            
(NA)	 无论多么烂,大神一样让人沦陷            
(2星)	 杯具啊。。。040。。。大神。。。口年啊。。。            
(4星)	 果然是华丽丽的动态美男~            
(3星)	 木村还是帅啊！！！            
(NA)	 无怪日本女性仇恨她 ....            
(NA)	 奔着大神去的...但是恋爱剧真的很不适合我啊OTL            
(3星)	 给三星完全是为了大神……            
(4星)	 冲着木村去的额 结果有点失望~~~忘不了那天在上海看见大神 全拜此剧所赐~            
(2星)	 大神和shota我都爱得要死，偏偏觉得看这剧很不带劲。。。倒是sm*sm这期挺好玩儿的~040跟日本女人站一起还是长脸的。。。            
(3星)	 结局比较不雷            
(3星)	 谢谢林志玲姐姐，她让小日本的电视剧水准大大下降了~~            
(2星)	 实在受不了之零姐姐的日语...弃之！            
(1星)	 开篇看到040骑自行车，开口讲日文果断弃之。。。TMD，好恶            
