http://movie.douban.com/subject/3275416/	实习医生格蕾  第二季 Grey's Anatomy Season 2
(4星)	 还是原班人马好看。            
(5星)	 最爱Burke和Cristina的爱情。这一季的剧情太精彩了！！！            
(4星)	 最荡气回肠的一季            
(4星)	 炸弹戏 结局戏 我从爱george转移到爱mere  恒久带给我笑点的cristina 还有大爱的addie  我在想为什么美剧最好看的总是第二季            
(4星)	 像纳粹那样的女人需要多么的坚强和多少的信念啊。            
(5星)	 rmvb            
(5星)	 只看过3集，好想看全套。。。。。好想好想...            
(5星)	 好棒的一季            
(5星)	 第二季的精彩把纠结、紧张、压力推向第三季！            
(5星)	 2009年3月 依旧在学习            
(3星)	 burke走了，我受不了了            
(5星)	 大爱            
(5星)	 可以说因为是女孩子还是其他太敏感等等的原因 但却是被感动到深深地 泪流不止的、            
(4星)	 喜欢这部剧，但是实在讨厌梅大妈和Derek这对奸夫淫妇啊！不要脸！皮真贱！第三季看到梅大妈的淫笑快看不下去了我靠！            
(5星)	 好看到内牛满面T^T　什么绯闻女孩狗血剧莫名其妙的各种剧你们都弱爆了。我爱医生T^T　开刀胃管针灸隔离通通都搞过得我从没这么爱医生过T^T            
(5星)	 嗯……            
(5星)	 每个小伤进来的病人都有一颗伤不起的恶性瘤            
(4星)	 第二季竟然是第一季的三倍。。            
(5星)	 最爱美剧。没有之一。             
(5星)	 taught me a lot            
(4星)	 很好看啊！每个人物性格都很鲜明也很可爱！            
(5星)	 Bailey真可爱.            
(4星)	 看了grey现在的样子我真不想看下去了orz最烦凯瑟琳·海格尔！！！！            
(5星)	 醫院，最殘酷，卻也最有人情味。            
(5星)	 能由衷热爱自己的工作，这种感觉真好。            
(3星)	 这群实习生太胆大妄为了            
(5星)	 比S1好看。唯一不知道Derek爱Meredith的就是Derek和Meredith。             
(5星)	 pick mi  choose  mi   and    love  mi            
(5星)	 这季还是值得看的            
(5星)	 Addi美死了~~            
(5星)	 最后一集太难受了。。。。            
(5星)	 抱着纸巾看完了第二季，拖这么久才想起把GAseason2看了，从来没有看一部剧能每集都被感动，好吧，GA你赢了            
(5星)	 开始不那么喜欢derek了... 好想去工作！！！好片子！            
(5星)	 好吧，第一季才9集，这一集竟然给我来个27集！！编导演员都太狠了吧！！而且里面巨多忍心纠结之处，让我频频受不了！！奶奶的美剧！！！去你的Doctor Dream！！            
(5星)	 有一种爱叫虐死你            
(5星)	 感人至深            
(5星)	 Yang好可爱。            
(5星)	 正如一位豆友所說，除了亂睡覺帶來的便是無限的感動！所有的！            
(5星)	 整剧整季质量并不配五星 给五星纯为了17集爆炸案 以及27－28集Izzie和Denny的爱情故事 Dr.Burke和Denny简直把美剧男性角色平均分都拉上去了 更不用说他们俩居然出自如此乱搞男女关系的一部“医务”剧            
(5星)	 最精彩是炸弹那几集~            
(4星)	 twisty的S2，可能因S1无心插柳的收视大爆发搞到编剧颇有难度。但有了Addison的d&amp;m的关系变得很吸引，B&amp;C也是这季很出彩。iz和George可能是注定要走的角色吧，于是也被编剧搞到永远不知自己要做什么。最爱那句：pick me，choose me，love me！            
(4星)	 07 如果爱的力量足够大 我一定会留在你的身旁 18 如果今天是你生命中的最后一天 你会做什么？     你会看向谁？            
(4星)	 我知道很狗血不过正好适合我这种闲着无聊的妇女看            
(5星)	 笑点暴多。            
(5星)	 喜欢上Baily，她生孩子了~~呵呵~~~            
(4星)	 第六集 想要把我哭死啊            
(5星)	 感觉基本上每个美剧 前面三季都是精华 这集有几个地方都碰到我的哭点 呵呵            
(5星)	 大赞的一季            
(5星)	 i love yang and burke            
(NA)	 M andD 期待他们的发展 C 真的爱Burke么？还是为了工作I 害了Denny？            
(5星)	 第二季灰常精彩            
(4星)	 这时候的Geroge和Izzie，这时候的Mere，当他们住在一起。。。多美好啊~可惜。。。            
(5星)	 Dearest Izzie.            
(5星)	 纠结吧             
(5星)	 给五星是因为yang and burke            
(NA)	 精彩的一季            
(5星)	 bc...            
(5星)	 有点揪心了看得。            
(5星)	 我咋就这么喜欢你们这些家伙呢？            
(3星)	 不喜欢，越看越觉得鸡肋！            
(5星)	 最精彩的一季            
(5星)	 Denny死的时候我也很伤心             
(5星)	 我完全想不起来看到哪儿的时候就一直哭。            
(4星)	 很受不了derek和meredith互望的眼神。。            
(3星)	 不喜欢izzie 也不喜欢DS和MG关系如此别扭            
(3星)	 明显不喜第二部的拖沓乱搞模糊不清，死撑着在结尾挺出彩，欧我喜欢Dr. burke            
(5星)	 我是想给四星半...            
(5星)	 大爱的吴珊卓竟然是韩裔……            
(4星)	 这季还是不错的。看点是C和B的感情。            
(NA)	 cried, again and again            
(5星)	 S2            
(NA)	 最终忍受不了里面混乱的性关系 弃之             
(4星)	 Meredith is an affected whore anyway.            
(4星)	 16 17集            
(4星)	 还是Burke最有吸引力了...            
(4星)	 i love Goerge O&#39;Malley!            
(4星)	 Good            
(4星)	 我觉得这一季最精彩阿。            
(4星)	 看到第二季开始喜欢每一位角色            
(NA)	 跟着一起流泪。            
(5星)	 第二季应当是我迄今为止投入最多的一季。并非说拍得越来越不好，只能说第二季最得我欢心是因了齐集天时地利人和。这一季的Mere跟Derek被torture得最厉害，依旧看得我甘之如饴，眉心骤痛，胸腔内的“气”因情动而不能自已。我相信这世界是有真爱的，我只是不相信自己能够遇见真爱而已。            
(5星)	 Wonderful!            
(5星)	 很感人,尤其16,17,26,27集,跌宕起伏,看得都要哭了~             Right here waiting....            
(5星)	 毫无疑问的五星            
(5星)	 我爱的DC.BURKE,唉.~            
(4星)	 really despise the character Derek Shepherd...            
(5星)	 目前看过最好看的美剧            
(5星)	 Burke和Yang，巨萌            
(5星)	 还有比他们更可爱的么?             
(5星)	 恩，一直很好看，ABC每一部剧的配乐都是无敌的            
(4星)	 pick me!choose me!love me!Derek还是在电梯里哭了 麻痹 感情是神马....本季的高潮是火车事故和炮弹事件 完全不喜欢IZZ和DENNY那条线....            
(4星)	 以前室友在看第七季的结尾时候跟着看了一下，搞得那个惊险刺激啊。现在看第二季结尾默默感叹是不是每季都得搞个大事件折腾一回⋯⋯ps，这季唯一比较喜欢的人居然是欧卖力？？(世纪好男人啊⋯⋯)            
(4星)	 他怎么可以死T T            
(5星)	 真心好看。。我的菜~！            
(4星)	 keep moving on            
(NA)	 深深的被derek和grey恶心到了 还有yang真的很丑            
(5星)	 重溫中。            
(5星)	 有几集真心厉害 xD            
(3星)	 给我一个不去讨厌Mere的理由！！！            
(4星)	 讨厌Meredith和mcdreamy啊            
(5星)	 There&#39;s no miracle,actually.            
(5星)	 Season2的确好~            
(4星)	 格蕾越来月whore………………holy sweet mother of god！            
(5星)	 GA永远是我心中的最佳美剧            
(5星)	 top3            
(4星)	 超爱伯克。。。            
(4星)	 这季好混乱= =            
(5星)	 My Izzie T_T            
(5星)	 第二季最好，木有之一            
(NA)	 好長...好幾次都覺得看不下去了，越來越琼瑶阿姨了= =            
(4星)	 11.10.3  看到20集，21-27拖拖沓沓，于是各种跳。实在说。这么好的剧情我拿来做听力挺虐的。以及，大爱B&amp;C啊。现在明白为什么喜欢C了。            
(3星)	 管好你的裤子，不要喝酒，life gets better            
(5星)	 S02更好看啊 不过对meridith和derek之间搞不清楚的关系有点烦了            
(3星)	 够了你们这些狗男女！等Addison一走就弃剧。            
(4星)	 超喜欢Bailey女士！            
(5星)	 每一集都是最精彩的。            
(5星)	 I love Dr.Burke! Realy, deeply, love!            
(5星)	 Denny Duquette这个角色谁想出来的 你麻痹啊 见过虐心的没见过这么虐的好么 编剧这是虐死人不偿命啊            
(5星)	 第二季的确很精彩！就是集数多了点，有些情节确实比较多余，但是主线情节很不错！看完这一季唯一讨厌的就是Izzie，个人感觉这个女人没头脑没理智还很蛮横。很好奇接下来编剧会怎么制造情节冲突，接着看第三季吧。            
(5星)	 全方位完美，病例 情感 细节 人物关系 配乐无一例外，这应该是最好的一季了。              
(5星)	 女主的长相还挺喜欢 还看不看啊= =            
(5星)	 meredith和derek太磨叽了。。。所有角色都喜欢就是越来越不待见他们= =            
(4星)	 真讨厌Derek！！！            
(4星)	 真是不枉我在枪林弹雨的论文和复习中看它，虽然女猪很不讨喜的和有妇之夫纠缠不清，而且基本和医院无关的只负责谈情说爱。但是，其他全部人都是亮点啊。哎，Denny怎么就死了呢            
(4星)	 终于变得好看了！            
(3星)	 我在思考，这种题材怎么可能出那么多季，后面会不会越来越狗血。我已经开始腻了。            
(4星)	 同样是奸情，Meredith表现的像个婊子，Derek也是个贱，他俩就该是对狗男女。addision、Burke和george不错。最后一集的izzie，让我差点直接弃剧。越看越个二。            
(5星)	 Derek..lol            
(5星)	 5,6            
(4星)	 我真是不喜欢M，要死不活的样子，而且严重皮肤松弛。。其他的B和Y。L和k什么的就很好            
(4星)	 低潮寂寞时看了很有效，会被里面的一些东西打动^-^            
(5星)	 瞎猫撞到了死耗子。第2季原来是打分最高的！            
(5星)	 噢哟想打六颗星有木有。狂戳泪点有木有。就算meredith老得全是鱼尾纹还是迷人的天蝎女有木有。            
(4星)	 喜欢burke！！！！~            
(5星)	 oh~~my黑蜀黍            
(1星)	 格蕾是个大傻逼呀格蕾是个大贱人，addision走了再也不看了呀哦也~~~打一星的感觉好爽呀别赖我，赖你们的女主角吧~            
(5星)	 很是精彩的一季，最后的大结局总结的真漂亮。            
(5星)	 超爱Christina&amp;Burke Izzie&amp;Denny Addison&amp;Derek当然还有Baily~~怎么会就越来越讨厌Meredith...            
(5星)	 所有的泪点都在Yang和Burke.             
(5星)	 除了男女主角那狗血恶心的爱情 五星            
(5星)	 越来越好看            
(5星)	 Meredith我很不喜欢她哎。。我喜欢Addison....            
(5星)	 越后面越精彩            
(5星)	 Denny&amp;Izzie的爱情很动人。Meredith实在讨人嫌。            
(4星)	 第二季比第一季有看头。cristina一定是摩羯座吧。            
(NA)	 denny            
(NA)	 denny形似贾维尔巴登~爱他！            
(5星)	 比第一集好得多            
(4星)	 看到后面越来越不想看啊。。这是怎么回事= =不过除了男女主角外，其他角色都很喜欢~还有各种病人和他们的故事。            
(5星)	 pick me, choose me, love me.·            
(NA)	 居然在第二季就看顶了...            
(4星)	 最近很懒惰，就这么看着送饭吧。            
(4星)	 德瑞克你到底想干嘛，让我心酸啊~~~            
(5星)	 其实也蛮狗血的            
(4星)	 最后一集先是给狗狗安乐死让我哭到不行，最后DANNY突然离去我以为自己事先知道剧情可以没感觉的，没想到还是忍不住……哎……原来不止日本温情剧会让我哭啊……            
(5星)	 呼~好不容易~            
(4星)	 some times we just want a taste but always we want more            
(NA)	 补课中！            
(5星)	 Bravo            
(5星)	 All of us need a chance to fix up and know the truth~just learn to face it~            
(5星)	 还是喜欢house            
(5星)	 ALEX冲进酒吧吻IZZIE，said：“good night”。哈哈哈，我在床上滚来滚去，嚎叫：“He is handsome!!!”   IZZIE说：“真他奶奶的爽啊”哈哈哈哈---每集都哭            
(3星)	 美国人真棒 拍了个小三为主角的片 而且还是个让人烦的小三 这种人怎么当的了小3 不容易            
(3星)	 这剧从第几季就可以不用看了？？            
(5星)	 个人感觉这季最棒            
(4星)	 才发现Christina好酷！Geogie is sooooooo cute~~            
(3星)	 认真工作的人最美丽，医生或许真的是幻想中比较让人崇拜的职业了，有别于我们残酷的现实            
(5星)	 GA            
(5星)	 编剧太牛逼了，看的我一愣一愣的            
(4星)	 不喜欢Izzie。。yang和burke太有爱了。。            
(5星)	 这一季的泪点太多            
(4星)	 非常爱那位黑人医生Burke，理想型啊，太理想型了。。。&#34;don&#39;t marry her dr.burke,merry me!&#34;            
(4星)	 我是有多讨厌男女主角！            
(NA)	 快结束的几集看的我哽咽.妈呀.            
(5星)	 世界上第一美好的是大叔，第二美好的是奸情            
(3星)	 前十几集还行，后十几集真是乱阿            
(4星)	 跌宕起伏            
(5星)	 喜欢george那个小女友olivia            
(5星)	 通过剧透。感觉后头太纠结。止步21。以后再说吧。            
(3星)	 为男女主角扣掉两颗星            
(5星)	 我是真不喜欢格蕾。。            
(4星)	 为什么我那么讨厌Meredith！            
(4星)	 绝对爱死yang和burke了……            
(3星)	 谁叫我喜欢倒叙式            
(5星)	 看胸插钢管那集.......突然就暴哭起来....本来医院的背景设定就很打动人.....各种无能为力; - ;) ....第二季!是完美的一季!!!!            
(2星)	 实在是太讨厌格蕾了，实在看不下去了！！！            
(5星)	 世界上最好看的肥皂剧。            
(5星)	 第一季、第二季都堪称极佳            
(5星)	 太佩服编剧了。。m&amp;d好恶心 最喜欢B&amp;C。Cristina的缩写也是C.Y            
(5星)	 can`t stop!!            
(5星)	 有几次泪眼汪汪            
(4星)	 Lizzie &amp; Danny            
(4星)	 go hell, Meredith Grey....BTW I love Christina and Burke!            
(3星)	 izzy!            
(5星)	 经典延续            
(5星)	 很看好黑哥哥和棒子姐姐捏~            
(4星)	 主线是奸情还能如此受欢迎的片子着实不多了            
(4星)	 看了2季..            
(4星)	 被炸弹崩到还向后倒身明显脑震荡，却只是脸上受了点轻伤~太扯了。。。            
(NA)	 愛Addison            
(4星)	 16/17这2集是给足5颗星的！也只有这2集，我没有讨厌grey!            
(5星)	 森森萌了O&#39;MALLEY            
(4星)	 Derek选择了他老婆之后就不想看了...额 这句话听着真别扭...            
(5星)	 这季真好看            
(4星)	 喜欢Dr burke和Christina yang~            
(3星)	 没有自制力不坚强又淫荡的女人,加同样没有自制力没有责任心的男人,给身边的人带来的就是绵绵长长,反反复复的伤害.最可怕的是他们还觉得他们应该被宽恕.            
(5星)	 Burke&amp;Christina最甜蜜美好的时光            
(5星)	 Addison rules!            
(3星)	 被男女主角雷死恶心死…你们能再贱一点表脸一点么？男猪巨蟹女猪双鱼，鉴定完毕            
(5星)	 爱是一种慢性病，总在你猝不及防时发作，让你以为心跳和呼吸都将追随远去。总是不喜欢那些把孩子气当成理所当然的角色，现实抑或剧情。这一次为Addison感动一回。            
(5星)	 就没有人觉得george很可爱吗？            
(5星)	 每个人物的性格都如此的真实，christina是真实的亚洲学生的写照，勤奋、无比的勤奋，并且对于争做第一有偏执的热切            
(5星)	 GA迷            
(5星)	 这一季真是虐死人啊。            
(5星)	 太好看了……            
(5星)	 我才不爱看什么狗血言情剧呢哼..            
(NA)	 Meredith和Derek真够琼瑶的            
(4星)	 炸弹那几集、心脏那几集印象深刻。生活会提醒你，你究竟是谁。~Christina不是我喜欢的型，可我还是喜欢的不得了，知道BC无果，黯然神伤了一阵。            
(4星)	 Grandma Got Run Over By a ReindeerBest            
(5星)	 S02EP27让我彻底地从George那边投向Alex怀里            
(5星)	 我欢喜Alex~看到meredith和derek在一起，我就TMD不爽！我是正妻控！            
(4星)	 没有特别突出的帅哥美女，不过剧情不错。            
(4星)	 《实习医生格蕾》中我最爱的角色是克里斯蒂娜·扬~本来认为扬刻薄古板，为了达到（尽可能多参与手术的）目的无所谓算计好友，后来才发现她是个真性情的女人。懂得让步和妥协，对好友也重情重义——第三季中伯克抛弃了扬哪 TT 偶无法接受啊 OTL            
(4星)	 2010, May online            
(5星)	 其实  这季最好            
(4星)	 IZZIE&amp;DENNY            
(4星)	 比第一季精彩啊            
(5星)	 最好的一季            
(5星)	 这家医院感情太纠结但让人很愉快            
(4星)	 第三集感动 这一季确实强于第一季 但是医生的繁忙早已被编剧忘记            
(5星)	 当Burke还在时。。。            
(3星)	 我对此剧中很多人的很多价值观、是非判断以及行为，表示强烈的不解。比如心脏移植那段，本来有人已经排在Denny之前，这帮家伙为了私心居然想尽办法插队！！谁的命不是命？？居然还拍得很煽情~            
(5星)	 GREY...            
(4星)	 关于苗族的是什么啊。。            
(5星)	 好看 但是实在看不下去了（过一阵又觉得能看下去了）            
(5星)	 精彩的一季            
(4星)	 还成吧            
(5星)	 继续看            
(5星)	 好几集都太好看了。            
(5星)	 life is damn short ,so fight!!!            
(4星)	 渐渐越来越喜欢了            
(4星)	 Izzie            
(5星)	 D一定是处女座            
(5星)	 大爱啊~~~             
(5星)	 这么长这么长的一季居然能这么好看~            
(4星)	 我已经到了几乎每集一哭的地步了。fuck！            
(5星)	 其实会发现很感人，看的不只是救人更多的是人性~~~~~~超喜欢Grey和Derek在一起，好登对啊~~~~~            
(5星)	 本季继续温情，addi开始出现            
(3星)	 暂停一下。。。            
(3星)	 弃之，太复杂。            
(5星)	 很有看头的第二季            
(3星)	 有点拖拉            
(4星)	 相比CM而言，格蕾這一季絕對是高潮迭起，我喜歡曖昧戲~Derek怎麼可以那麼帥！雖然獸醫那一段兒對Grey說出那些話實在狠了點。我應該不會喜歡Grey，可是Ellen著實漂亮。他倆糾結了整整一季，這樣的過程讓我享受了。沒想到我竟然使用final 4 part來跨年的。江河日下啊。            
(5星)	 第二部比第一部更精彩~            
(5星)	 denny is dead, Izzie might gonna leave.meredith did with Derek again. what ll happen next????damn it             
(5星)	 纠结啊纠结            
(4星)	 喜欢GA里面的温暖和人性            
(4星)	 每看到Burke跟Cristina有事 都會哭 太喜歡這一對            
(4星)	 看到gray和george上床，我就看不下去了。有些错误是不能犯的。            
(5星)	 生。离。死。别。            
(5星)	 相当强大的第二季            
(5星)	 可怜的Izzie            
(4星)	 看完这季喜欢Bailey和George的人直线上升吧~            
(4星)	 断断续续终于看完，每集在各种奇特病例和医生们的各种恋情中闪回，当然也有很多面对灾难的重大抉择和感情冲突            
(5星)	 开始漫长了。            
(4星)	 没有一集是不感人的。结局应该献给burke+christina还有izzie+denny。谁在乎meredith他们没完没了的藕断丝连..            
(5星)	 依然有看点~            
(5星)	 Pick me ，choose me ，love me。            
(4星)	 一直看下去的难的的不错的剧            
(4星)	 前一半编剧不行了，后面一半又好看起来了~            
(4星)	 为什么那些女人一个比一个贱？            
(4星)	 炸弹两集真是扣人心弦。。喜欢Denny。。Derek也真的纠结。。            
(NA)	 ep 13  Dean&amp;Sam的Daddy！帅从S101到S215，弃了。果然披着医疗皮的感情戏还是不对我的胃口。到目前为止，喜欢Dr.Bailey。            
(4星)	 Dr Burke....            
(NA)	 除了淫乱，还有感动。            
(5星)	 内牛满面            
(5星)	 两段跨集的长剧情足见编剧功力啊……            
(5星)	 最爱的美剧，几乎每个角色都喜欢……            
(5星)	 我对你爱爱爱不完            
(5星)	 oh,christina            
(5星)	 哦~~~~~~~~~~~~~~~我的愛            
(5星)	 看到第5集。记一下。第9集。8.5第21集。8.9第28集。8.11这不是结局。如果Me和De最后会在一起，那才是人生恶毒的讽刺。            
(4星)	 oh Izzie            
(4星)	 现实中的爱情和理想中的爱情，看你喜欢哪个了。我喜欢现实的。PS：IZ那点儿我真受不了了，可能对于家庭型女人我始终无法宽容            
(4星)	 靠，居然看着看着觉得yang挺顺眼的！            
(5星)	 在动车事故之后重新回顾的S2E06火车事故。生命的脆弱。            
(5星)	 sorry for izzie            
(5星)	 Denny死了。妈的，这编剧居然让Denny死了，shit            
(5星)	 我这排名第一的美剧。            
(5星)	 最好的一季            
(2星)	 自认为Season 2 是最垃圾的一季,男女关系简直乱搞,估计编剧这会儿脑子被水泡过,不知道该写啥            
(5星)	 Grey跟Sheperd真纠结            
(5星)	 最好看的一季！            
(5星)	 最爱这一季~            
(4星)	 渐渐受不了这些反反复复的爱情 chris对burk实在是太冷漠 有时猴看到开头就猜到了结尾 没有第一季好看             
(5星)	 nice！            
(5星)	 第二季很不错！            
(4星)	 外科            
(4星)	 什么怪胎病例都出来了。。。另，我讨厌Izzie            
(5星)	 人性 teamwork            
(NA)	 前两季还不错 ，后面有点拖沓了            
(5星)	 2006            
(4星)	 NOT BAD            
(5星)	 好怀念Burke还在的时候。            
(3星)	 在纠结与无奈中自寻烦恼的医生们。看剧不是为了自虐。弃！            
(4星)	 我最心水的还是Burke跟Christina那一对~            
(5星)	 最好的一季            
(5星)	 完美的狗血。            
(5星)	 当医生真不容易啊！            
(5星)	 很棒的一季！有Addision的加入，更好看了            
(4星)	 随着故事的发展越来越爱了。。。            
(NA)	 addisonmark            
(5星)	 二季实在是经典。            
(5星)	 GA最经典的一季。            
(5星)	 很好看很开心            
(4星)	 yang和bruke，你们当时穿越了一切，成为我心中绝对的主角。。。            
(5星)	 还好            
(5星)	 除了最后几集都很好很好            
(5星)	 第一第二季是最棒的。            
(5星)	 pick me,choose me,love me/yesterdays,u lied,cried and tried/it&#39;s about the choices.            
(4星)	 goodnight,Denny.抱着痛哭的izzie的alex很帅。            
(5星)	 amazing TV drama~            
(5星)	 第二季貌似没有下跌趋势啊。            
(4星)	 just too much sex...            
(4星)	 没看完。。。。            
(5星)	 美剧最爱            
(5星)	 好看~~            
(4星)	 Christna相当炫。希望到第二季她可以继续炫。。。            
(5星)	 继续喜爱。            
(5星)	 哪个好心人把GA也加上来了！大谢！2009/01/01            
(5星)	 最爱这一季~~            
(4星)	 tension and moving            
(4星)	 S2让我爱上这部剧            
(5星)	 S2最好看！            
(5星)	 非常经典的美剧。            
(5星)	 第二季最好看            
(4星)	 超级喜欢burke...            
(5星)	 为什么分那么多啊             
(5星)	 ~把每个季再过滤次~            
(4星)	 好长            
(4星)	 没有第一季好看了……            
(3星)	 格蕾真是太贱了，永远摆出一副自己被伤得很深全世界都欠她的样子。DERERK既想当婊子又要立牌坊。这部剧除了主角都很好，几度看不下去。            
(4星)	 男女猪脚是狗男女！祸害了该剧！            
(NA)	 shut up, i&#39;m your person.            
(5星)	 依旧好看            
(5星)	 冲着16、17力荐~一个地点集中了积蓄所有高潮。这两集拍出了大片的感脚，真心赞！！！            
(5星)	 我怎么开始喜欢burke            
(5星)	 meredith以为derek不记得他们最后一次接吻 没想到derek却记得一清二楚 包括每个细节 我懂meredith每次都叫derek不要那么看着她 那种眼神就是导致最后一集没有hold住 泪点太低 总是能用不多的话语 打动人心             
(4星)	 每一个故事都能闪现出人性的光辉，这是我一直看的理由。            
(3星)	 我居然喜欢那个自私的刻薄的小眼睛单眼皮的棒子···不、看完26集后我决定讨厌她            
(4星)	 喜欢Addison 讨厌Meredith            
(4星)	 Bitch‘s Anatomy            
(5星)	 生活已经简单到每天只有格蕾和8小时时差的语音。我也不知道自己在逃避什么，whatever，还好格蕾有八季。            
(4星)	None
(5星)	 好可爱的男生居然死了。。不要这样。。最后一首是snow petrol，每首配乐都好听。            
(5星)	 addison气场强大，meredith完败            
(3星)	None
(4星)	 就期待着排列组合啊~            
(4星)	 格蕾大妈真心不讨喜。。。眉来眼去的受不了啊啊啊啊！！！依旧喜欢izzie,我是多久没看电视剧鸟。。。难得看看传说中Swift&#39;s favorite, 肿么剧情觉得很狗血。。。大家本来都很正常。。。一瞬间就一根筋抽住。。。但还是很有感悟。关于朋友，竞争，合作，道德以及死亡。            
(4星)	 2012.2.2            
(3星)	 知道了cristina跟Burke没有在一起 我就追不下去了            
(5星)	 前3季实在太好！然后逐渐衰弱...            
(NA)	 靠!!grey跟Derek这对狗男女各种搞暧昧啊!要不要脸了啊亲!我要砸屏幕了啊!Addison快点脱离苦海吧!~~   对Izzie的好感大概是因为Knocked Up=   =~Denny史的时候我滴心碎了一地啊~为什么要史啊~~~~最后Alex的公主抱心又碎了一遍啊!!            
(3星)	 一个贱货不停的瞎搞就那么有意思，玩儿个屁暧昧，想搞就搞呗。如果不算这些复杂无趣让人发酸的瞎搞，这电视绝对是佳作            
(4星)	 没第一季出彩，没第三季让我讨厌            
(5星)	 这一季太感人了，看一集哭一集.......            
(NA)	 事实证明 无论这季多么好看 最后几集字幕没了让我再看此剧的时候条件反射式的头疼            
(5星)	 喜歡YANG和他的黑人男友，忘記他的名字了。            
(4星)	 有种越来越混乱的感觉了 不过美剧么~            
(5星)	 编剧实在是弄巧成拙了，其他角色都可圈可点，惟独男女主的感情戏，实在是狗血，尤其是女主，简直就是一个浪荡的，神经质的loser，大爱.Burke。            
(5星)	 我讨厌meredith！！！喜欢addison和cristina            
(5星)	 被触到无数泪点啊！！！            
(5星)	 第二季真的很棒 各种跌宕起伏 看得各种揪心            
(5星)	 又收入一部好剧，一部让人体会到感受到学习到人生的种种。。。            
(4星)	 剧情同样精彩的同时感情戏越来越多了，不爽。            
(5星)	 learned a lot            
(5星)	 我并不确定自己一定如此，但知道那就是我的人生，无论它还经历什么。看完这季，我就这感觉。            
(5星)	 再这么纠缠不清就不追了，有几集挺心跳。            
(4星)	 denny有什么好的(¬_¬)            
(5星)	 第二和第三季艳冠群芳，撕逼无敌贱男George和无辜清纯三儿Mere有多远滚多远            
(5星)	 每个人都可爱了            
(5星)	 整个系列最喜欢的一季            
(5星)	 更好地面对生命的全部过程            
(4星)	 比第一季好看。反正我是一直追着~            
(4星)	 Dr. Burke出得了厅堂下得了厨房真是完美啊~~~~格蕾整天一副眼泪汪汪神不守舍的样子，越看越让人讨厌。            
(5星)	 每集都有久违的感动            
(4星)	 第二季是在火车上看完的，越看越精彩。            
(5星)	 最喜欢Doctor Bailey            
(4星)	 好喜欢Burke，喜欢addison            
(5星)	 第六集真的很精彩啊。差点哭了。在死亡面前我们还是很渺小的。             
(NA)	 ADDISON是我的女王嗷嗷              
(5星)	 纠结的我心都碎了            
(5星)	 这剧尤其合适血腥又暴力的期末看……            
(5星)	 This season is really good            
