http://movie.douban.com/subject/2279819/	末路天堂
(5星)	 黄渤，乐死我了            
(NA)	 各种笑不动XD            
(3星)	 其实……不错……            
(3星)	 看了一半，看不下去了。剧情太拖沓，康导的成分不多。黄渤扮演的兽医的确是亮点，太招笑了！            
(3星)	 小成本。。天天在林子里钻            
(5星)	 黄渤演的兽医是整部剧的笑点。            
(5星)	 我擦，居然是山寨版的迷失。。。=。=            
(4星)	 胡安之：三三得九~又多活了六天。。。哈哈黄渤真搞笑啊~任程伟我喜欢~张国强也算喜欢~泰哥那演员已经成了康洪雷的代言了~再加上可爱的罗海琼~啥也不说~好好看~            
(4星)	 惊心动魄            
(3星)	 各种扯淡啊            
(5星)	 个人觉得很不错。            
(4星)	 情节紧凑，剧情很紧张，悬念设置不错，还蛮好看的            
(NA)	 牙好胃口就好~~哎！~~你瞅准了——中国山寨！            
(4星)	 黄勃太搞笑 候得宝也挺好玩 周丽霞是精神病 结尾不好            
(3星)	 嗯 演员很卖力，导演也拍的挺跌宕起伏的，可是故事本身不够硬，所以悬疑惊险之余，让人还是觉得失望，食之无味弃之可惜。            
(4星)	 某年某月某日，我看了这片，认识了黄渤。后来他火了- -            
(3星)	 主要是黄渤。。。            
(5星)	 演过《士兵突击》的好多演员都在里头，自己找去，里面黄渤特搞笑。。。            
(5星)	 康导的戏 张国强的表现真的很好 痞痞的 跟七哥和迷龙都不同 看到了不一样的他感觉很好 经历了这一次冒险 所有人都珍惜着从前的生活了 是这样的 要经历一些什么才能知道小生活也很重要吧~ 每一个人都演得很好 尤其罗京民很有气势 不错             
(3星)	 这里的黄渤实在是太搞了“我跟你讲这个药（yue）啊” 呵呵 完全拿喜剧看的 后来竟说是山寨版的迷失 还有悬疑 我真怀疑            
(4星)	 可圈可点~            
(4星)	 真的不错            
(4星)	 不错的片子~~龙哥大爱~~            
(4星)	 每一个人都有亮点            
(NA)	 国产lost            
(5星)	 刀龙出彩！            
(5星)	 非常值得一看的电视剧，里面的人物刻画得都非常到位，推荐大家看一下            
(5星)	 其实我说胶东话也很像，哈哈            
(3星)	 不是偷渡，就是一个旅行团。            
(3星)	 完全是冲着胡兽医看的,笑死我了,片尾曲很好听,陈思成的作品            
(4星)	 我我...哎呀...我我我..我跟你说.哎呀..我...哎呀            
(5星)	 在任程伟博客发现了.....再来豆瓣一看原来曾看过只是那时不知道任程伟罢了            
(3星)	 精彩的开头，可惜中间太拖沓，重复太多了，减去一颗星！            
(5星)	 黄渤在里面是一大亮点啊            
(3星)	 很有悬念，剧情很紧凑，每个人的性格都很鲜明~不太喜欢罗海琼，有点做作，看完才知道原来刀龙就是张国强            
(4星)	 这个片子其实不错            
(NA)	 还不错，很有趣~            
(NA)	 en            
(4星)	 山寨lost吗？还是有区别的，不能称作山寨我觉得。喜欢黄渤一口山东话，也喜欢罗海琼。当然还有七哥张国强。            
(3星)	 不一样的老七 又一部抄袭剧            
(NA)	 人性的优点与弱点，贪婪、自私、邪恶、善良、良知等等，都在偷渡路上的那片森林里表露无疑，真的是一部不错的电视剧，值得一看            
(4星)	 前半段笑死我，后半段哭死我。            
(5星)	 很不错的片子，只是不知道位为什么不红            
(3星)	 《我的团长我的团》导演作品。感觉有点模仿美国的迷失...影片的最后变成主旋律 总体来说值得一看，特别是在野人部落里那段  哈哈~还是不要偷渡的说......            
(3星)	 如果没有结局，应该就是有点烂了            
(2星)	 山寨版LOST            
(4星)	 一开始真的很不错，后面稍微有点烂尾……            
(5星)	 因黄勃说我可爱的家乡话----太逗了，就喜欢上了这部剧。            
(4星)	 看了刀龙就知道，连长其实很善良~！            
(3星)	 还可以，就是太辗转了点            
(4星)	 迷龙崽子前传？            
(NA)	 值得一看，，朋友介绍的哈            
(NA)	 感觉一般。完全是冲着看张国强和某译的            
(NA)	 当一切开始时，没有谁是坏人；可是走了那么远，还有人是好人吗？            
(4星)	 很真实,就是记者的笔记本也太防水了吧,其他的也就是社会挺黑的...到处人吃人            
(5星)	 和舍友看得很happy            
(NA)	 节奏紧凑，每人都有秘密。            
(4星)	 有点模仿《LOST》的套路，但挺好看！            
