http://movie.douban.com/subject/2147129/	萤之光 ホタルノヒカリ
(4星)	 綾瀬はるか 很好看 總覺得男二號側顏很像樸樹……最近看劇都是看人啊（翻滾            
(5星)	 大爱！！！！            
(5星)	 喜欢夏天的人，可以用它在冬季缅怀夏日的清凉。。。            
(4星)	 狠不错            
(4星)	 我可是有多爱干物女的歪             
(4星)	 綾瀨遙和部长...绝妙搭档...            
(3星)	 还用超大型抱枕，太奢侈了吧。廿年段不谈恋爱简直世界末日？又说三十岁女人谈恋爱比街上碰上原子弹的几率还小。要看干物女还不如去看深津里绘。板谷由夏你倒成职场女性代言人了呢。            
(4星)	 我是看国仲凉子来的。。还有藤木大叔            
(4星)	 不算很好看但也不難看，反正看下來了，睡覺去了...明天還要趕火車            
(4星)	 好欢乐啊好欢乐，看部囧跟绫濑遥拌嘴是最欢乐的了~轮胎女~乌龟女~咔咔咔~            
(4星)	 干物女的由来，喜欢直人大树。            
(3星)	 鱼干女加一个很自恋的部长加一个不太王子的帅哥。            
(3星)	 绫濑はるか抱着抱枕在地上滚来滚去好可爱！！！！！！！可惜两个男主都好丑！！！！！！            
(5星)	 部长杀伤力实在太强了！！同事就算ex也那么可爱~~好幸福的片子~~~            
(3星)	 宅            
(4星)	 没有2给力。            
(4星)	 干物女的出处~~~            
(4星)	 简单欢乐            
(5星)	 边看边笑边啃鸭脖，我是不是很干物女咧~~~~            
(NA)	 现实残酷，干物女慎看。            
(5星)	 远离恋爱的鱼干女。。。            
(5星)	 比起恋爱还是更喜欢在家里睡觉，在后廊喝啤酒，看漫画，喂猫。这个后廊是你无处可回的地方，也是你的归宿。            
(NA)	 http://www.youku.com/playlist_show/id_1003412.html，http://www.youku.com/playlist_show/id_999086.html            
(5星)	 部囧T T!!!!!!!!!!!!!!!!!!!!!老天赐我一个部囧吧!!!!!!!!!!!!!!!!!!!!!!!!!!            
(5星)	 我和傻宫一样阿 TAT            
(5星)	 部长~~~~~~~~~~~~~~~果然我也是干物女啊 然后我果然还是爱大叔            
(4星)	 单纯挺小遥的            
(3星)	 没有想象的好，藤木直人很帅            
(NA)	 藤木直人怎么老了? 演的太讨喜了。            
(4星)	 要是没有部长这剧完全不会火...            
(NA)	 藤木大叔很有爱啊~~小遥可爱死的干物女~~            
(2星)	 弃了，太造作            
(3星)	 这个女人实在太可怕了            
(4星)	 03A 土豆ひうらさとる：《萤之光》或名《干物女》米看完            
(NA)	 一帮梦幻般美好的同事啊啊啊啊            
(5星)	 我需要一个这样的部长还有一个这样的设计事务所！            
(4星)	 绫濑遥说自己有小肚子，是真心的。            
(5星)	 谁跟我一样老是倒退回去看藤木直人的笑容啊！！！！！心都快融化了啊！！！            
(3星)	 回头看了看《交响情人梦》我打了两星，我实在吃不消这样脱线的剧集。年纪大了吃不消了。            
(4星)	 部长~~~~~！            
(5星)	 部长！            
(5星)	 请给我一只部长~~~~~~~~~~~~~            
(4星)	 正面 　　“借给我吧”——萤 　　“好啊”——盆 　　 　　反面 　　“一直借哦”——萤 　　“好啊”——盆             
(5星)	 能在他面前做真正的自己            
(3星)	 情节一般 不囧救全场            
(4星)	 傻是世界上最高级的可爱。            
(5星)	 &gt; &lt;我的少女心啊！            
(5星)	 部长我爱您！！！！！您是2011我爱上的第一个人！！！！！！！            
(5星)	 笑翻了！！！            
(NA)	 好喜欢啊。大抱枕。            
(3星)	 真是看不下去啊，哪有这么别扭的人啊。。。！！！            
(3星)	 我邪恶的怪品味啊！            
(5星)	 凌晨一点十五分看完 部长实在是……TAT            
(NA)	 拜求部长＝＝            
(4星)	 人生 就是要朝着干物女前进 厄啊 部长            
(3星)	 090708 看得挺开心的，第一次觉得藤木君有点看头（以前一直觉得他很木头）            
(NA)	 近水楼台先得月            
(3星)	 不知为什么越看女主越气。。藤木叔叔我爱你&gt;_&lt;            
(5星)	 部长，你好棒！~            
(5星)	 一部彻头彻尾讲宅女生活的日剧，也是漫画改编。绫濑遥的表演已经发挥到了极致，让人佩服的五体投地，若手里面她这种级别的演技很少见，太喜欢了。藤木大叔恰到好处的配戏，外加上国仲凉子那令人着迷的气质，超精彩的一部剧。漫画改编里面算相当出众了，再次赞下小遥的表演。            
(5星)	 剧情虽然不算太好，但部长和小萤这一对实在太有爱了。            
(4星)	 看帅哥美女心情好==            
(4星)	 挺可爱的一片子            
(NA)	 又是藤木直人 呃 大叔好            
(5星)	 哎呦正一            
(4星)	 部囧～            
(3星)	 萤之光             
(3星)	 宅女大作战！！            
(5星)	 我也想要这样的不囧~\(≧▽≦)/~            
(3星)	 曾经的花泽类变成大叔了．．．            
(NA)	 海豚抱枕 好想要~            
(5星)	 终于看完了，对我来说还是学到了不少宅女真经啊！            
(3星)	 能夠真正的展現真實的自己的戀愛對象其實很少。我們都是被“干物”的。            
(5星)	 拥抱大好            
(5星)	 当初下的时候只是因为没片子看，但是看了发现挖到宝了～            
(4星)	 身为一个家里蹲型交际花，怎么也该看看这部片子吧！            
(5星)	 部长！！！我真正爱看日剧，就是由此开始            
(3星)	 对绫濑遥没有爱            
(5星)	 oh小莹，原来你也在这里            
(3星)	 07夏            
(5星)	 原来我也算干物女            
(5星)	 干物女!orz            
(3星)	 在喜欢的人面前能够做真实的自己才是王道，可是人与人之间的交往有时候很麻烦不是么。。。有那样的后廊和那屋子里的部长是有多梦幻。。。            
(5星)	 啊 谁不想要部长            
(5星)	 好温馨！！！！！！！！！！！！            
(NA)	 因豆友的三篇豆文，然后今日抽出所有的空闲恶补了一下，看的最完整的日剧应该是《东京爱情故事》。好吧，这个部长让我动心了。            
(5星)	 第一季很给里，部长萌死了            
(5星)	 为了女主角。            
(3星)	 部长怎么看都是人妻受，女主和他一起不像恋人更像闺蜜好吗～             
(5星)	 覺得綾瀨遙好可愛哦 而且主題曲是aiko的橫顏 愛呀～            
(4星)	 打扫卫生、做饭、排解忧愁的好看大叔哇            
(NA)	 有一天你发现自己对纯爱剧无感是件多么可怕的事            
(4星)	 还是喜欢帅大叔多一点            
(4星)	 换个女主角就5星了，实在受不了绫濑遥那魁梧的身躯宽阔的肩膀粗壮的罗圈腿夸张白痴的动作咋咋呼呼的表演了虽然她的长相是我喜欢的型，优华很可爱手岛长得很村。以下是花痴时间：部长部长部长部长部长部长部长部长部长部长部长部长部长我爱你啊部长❤            
(4星)	 搞笑啊~~            
(4星)	 结尾有点牵强啊，，不过还真是好看呢！连宅女都可以有两个帅哥，编剧真是费心了啊！            
(4星)	 给我来十个部长！！！！！！一口气能看完的日剧 一点也不拖沓  人物也很可爱  剧情没什么剧情也挺好  反正就是这样的剧啊    干物女 是个好词~~            
(4星)	 住在南青山沿着表参道奔跑的干物女咳咳            
(NA)	 ！！！干物女……            
(3星)	 不好意思我没看进去 - -            
(4星)	 藤木叔真是我喜欢的类型啊[花痴            
(5星)	 夏天的剧，人生的剧            
(5星)	 很夏天，每个人物都是美好的            
(5星)	 我不是干物女我不是干物女x100000000.........            
(5星)	 不囧！            
(4星)	 呜~近期太有预感了，12日刚说一句，13日心血来潮找来这剧看到目瞪口呆。我也想夏天晚上坐在后廊上和心爱的人一起聊天喝啤酒~~            
(5星)	 ……正牌干物女参上…… 我明白我这辈子是无法脱宅了T T             
(5星)	 还是去补了1回来啊~结果没错!1很值得看啊~~好久没看到这么搞笑又不差质量的日剧了~~            
(4星)	 那是因为你喜欢我啊，我也喜欢你，但是为什么呢，为什么呢，为什么呢            
(3星)	 看到第六集，弃看。            
(3星)	 一般般            
(3星)	 不囧和走廊            
(5星)	 好有爱好有爱。            
(5星)	 很久没有一部电视剧，能让我从头到尾，捂着嘴笑着看完了。三角恋纠结却不虐，又囧又2的傻萤，遭遇外冷内热的吐槽部长，同居生活的点点滴滴笑的我脸都酸了。1-6集傻萤控，7-10集部长控。部长只应天上有，人间能得几回闻~~~~~            
(5星)	 夏天又来了，又到了啤酒最美味的季节。听到这句，真是不由得哭起来。            
(5星)	 也赐给我个部长吧！！            
(5星)	 第一次从心底觉得原来藤木直人可以那么帅那么有表现力啊！！&gt;&lt;            
(5星)	 哈哈,干物女么            
(5星)	 不囧~~~~~~~~~~~~~~~~~~~            
(5星)	 看了这部以后大爱藤木直人啊~            
(3星)	 部长气场不够大            
(5星)	 两个人在一起如果最真实。            
(5星)	 简直是我生活的翻版么。。唔。。赐我一个部长吧~            
(5星)	 完美的“部长”            
(NA)	 部长~~~~~~            
(NA)	 上天，请赐我一枚部长大人吧            
(5星)	 意淫，淘宝，节日少。            
(4星)	 翻滚翻滚～            
(3星)	 恋爱咋办……            
(4星)	 大家集体卖萌，鉴定完毕。            
(5星)	 好可爱的傻宫和好帅气的部长             
(5星)	 部长~~~~大爱            
(5星)	 like it!            
(5星)	 啧啧,,            
(4星)	 题材不错耶，不过第8集弃~            
(5星)	 好看啊~~好看~~            
(3星)	 豆瓣猜其实有时候还是蛮准的            
(4星)	 直人叔 ，你让我叔控大爆发了            
(4星)	 没什么营养，不过挺可爱的，消遣不错~            
(5星)	 诶..我也有我的小诚和部长，可到底哪个是哪个？            
(4星)	 傻傻的单纯的夏天恋爱故事。小日本有一系列的剧非常适合用来培育正能量，看完了之后不做些好事都不行呢。            
(3星)	 部长好萌！！！！！可是演技还是差那么一点点啊。。。            
(5星)	 神啊，赐我个不囧吧！！            
(NA)	 请赐我一个部长吧。            
(3星)	 看来我也是吃草莓命            
(4星)	 是挺爆笑            
(3星)	 部长人真好。。。            
(5星)	 果然还是部长最好。。。            
(4星)	 綾瀨遙演干物女太没说服力了吧，，，             
(4星)	 给我一个部长吧！…同为干物女来着…            
(3星)	 唉~~~~~~``            
(NA)	 全部看完，大爱            
(3星)	 干物女啊            
(4星)	 其实除了大叔们就没啥看头了。。。            
(3星)	 还没等我看完就被和谐了 囧 和谐的相当诡异啊~不过就看过的部分来说没有很吸引我            
(5星)	 干物女好双子.            
(3星)	 为了了解干物女我才看的。。。。            
(5星)	 很喜欢，希望你们可爱的你们都看！            
(3星)	 演员无感，弃！            
(4星)	 总之就是很喜欢            
(3星)	 我基本就是个干物女。            
(3星)	 按照自己想要的样子生活才是真正的享受方式，吃吃喝喝无拘束，谁说只有穿着高跟鞋到处逛才是女人？感觉日本女性都很喜欢喝啤酒，喜欢宿醉的感觉。原来，暗恋是最折磨人的，它让人失去光彩，也让人充满希望。感情，是需要用心选择的，想像和现实从来都不是一样的。            
(4星)	 看的时候好怕自己也变成这样的女子,但整体还是很积极向上的捏.            
(5星)	 小簡單`小幸福`            
(5星)	 不囧和傻宫的幸福生活，继续追2chu一个~~~            
(2星)	 木头哥哥变大叔            
(4星)	 不囧~~不囧~~还是不囧最好啦~~            
(4星)	 干物女的爱情故事            
(3星)	 还是不待见那谁            
(5星)	 當我們宅一起。            
(4星)	 相对情节铺陈的节奏来看，结尾有点潦草，可能是跟集数限制有关吧。            
(5星)	 那个 看得我笑得感动了 哈哈哈哈哈哈哈哈            
(4星)	 白痴小萤~哎哟正太郎,哈哈~~还是喜欢你和部长一起啦..部长好帅帅呀~~            
(5星)	 超爱~好想要个部长~~T^T            
(5星)	 最近发现粤语版的，看着更有趣哦            
(5星)	 沒看最後一集呵呵。            
(4星)	 很喜欢这部电视剧            
(4星)	 其实我是干物女很久了            
(3星)	 宅女，窄女！            
(4星)	 不错哦~很好很喜欢            
(NA)	 我也想要一个部长....&gt;_&lt;....nao桑啊 萌～～～            
(NA)	 日剧-莹之光            
(3星)	 干物女的故事            
(NA)	 100531 终于看完 好有爱 爱大叔            
(5星)	 我最喜欢,满脸笑容的你.            
(4星)	 有点拖沓,不然可以打5星            
(1星)	 看了半集就受不了了~宅女又不等于邋遢~真是脑残到了一个新的境界~~            
(4星)	 宅女的归宿            
(4星)	 好可爱的小遥。            
(4星)	 不错            
(5星)	 哎...OL的另一面~            
(NA)	 鱼干女 遇到喜欢的人 也会改变~ 超喜欢里面那套有日式庭院的房子 有那样一栋房子 我也情愿做宅女 嘎嘎            
(5星)	 很有同感看了才知道我也是宅女啊            
(NA)	 看了三集.........花痴还是算了吧。我这样的才是宅，干物中的干物吧~~~~            
(NA)	 干物女梦想            
(4星)	 朵朵推荐            
(4星)	 藤木直人就适合演部长之类的角色            
(5星)	 部长好帅~~大家干物吧.            
(3星)	 宅女？            
(4星)	 不错的夏季档            
(4星)	 朋友推荐的。还不错哦，满搞笑的。喜欢部长正经八百地说着搞笑的话。            
(4星)	 這個世界上哪里找這麽好的部長呢?            
(4星)	 = =藤木直人太有安全感乐~~住在心里面的好男人.一杯热茶的温暖.            
(5星)	 部長。。。            
(5星)	 部长部长部长…            
(4星)	 部长一样的男人真是可爱啊！            
(4星)	 Oh~最爱高野部长~            
(2星)	 果然是伪干物女物语！为什么我就不能认同绫濑遥的长相呢？一集弃。            
(4星)	 挂了干物女的噱头而已。每个人都有他的爱情。            
(4星)	 我就是有一点不符合干物女的标准，那就是觉得恋爱还说很美好啊……当然了，我们是不能跟名古屋女孩比的啊……            
(4星)	 部长卡哇依………………………………            
(4星)	 干物女的泡开生活、蛮好的、            
(NA)	 正在进行中 好看啦好看 我也干瘪了 要拯救            
(3星)	 这是我第一次听到干物女名词的故事,还不错了,哈,但是..我都没看完,可能是因为男主的魅力太少了,然后女孩子不能叫干物女,那么幻想着谈恋爱...我想有一个不爱恋爱却又恋爱上女主角了...            
(3星)	 不是所有干物女都有春天的....            
(5星)	 能遇到一个不仅理解自己还包容自己的人真好~~~~~~荡漾羡慕ING~            
(4星)	 啊啊啊 花瓶男藤木君化身演技派 这叫人如何是好捏&gt;_&lt;            
(3星)	 快完成.可惜看到第七集電腦就被全部格了            
(NA)	 哇啦啦 干~物~女~~            
(5星)	 我是大叔控            
(4星)	 有趣的片子，藤木直人演的不错            
(NA)	 藤木大叔好英俊&gt;_&lt;萌!偶是毒舌控...小莹的演员感觉和落落长得好像..呃.我眼神不好啦..但是还是萌!!            
(5星)	 部长这人实在是魅力无限啊，无论外貌还是性格，他老婆真的走宝了。穿咸鱼衫好可爱啊藤木直人...            
(4星)	 命好 一切都好            
(5星)	 终于看完萤之光了。。。。。。。。太可爱了~~。。可爱的两个人~。。。可爱的小诚。~居然在最后一集的一半过后才有了戏剧化的转变……= =~~            
(4星)	 everybody likes 部长~            
(4星)	 很好看            
(5星)	 找到组织了...            
(5星)	 王子和部长都那么帅 所以选那个其实都不吃亏的^^            
(4星)	 &#34;ありのままの君が好きだよ&#34;------这样的，是俺这样的每个鱼干女希望听到的话吧，是肯定，是无奈但乐呵呵的接受~~嗷嗷~~            
(5星)	 感觉很好啊，恰到好处的可爱～～            
(3星)	 原本以为它可以成为和交响情人梦一样让我打满分的片子，原本觉得有部长这样一个朋友很不错，可惜结局……落了俗套。            
(4星)	 傻宫还是和部长合适，支持，嘎嘎嘎            
(5星)	 部长最高！！            
(5星)	 超级好看            
(5星)	 小遥的新剧 但是仍走可爱路线            
(5星)	 沒錯,就是干物女!            
(5星)	 干物女            
(4星)	 啊!部囧！！！            
(4星)	 。。。。。。。。花痴剧我爱            
(4星)	 “我怀疑我看所有片都只会得到一个结论，找一个让你觉得自由自在的人。（甚至比你一个人的时候，还要自由自在。）”            
(5星)	 我爱部长！！！！！            
(3星)	 我发现我比较喜欢看她职场的样子            
(5星)	 哈哈哈哈哈 看完了 讲话太快不舍得快进啊! 我也喜欢部长啊!!!!            
(2星)	 看了半集果断放弃            
(5星)	 太美好!            
(4星)	 部长又帅又瘦！！！而且很像玄彬啊= = 噗 反正是很有爱的男人~~~ HC了            
(5星)	 好看到爆！！！社长最大！！！！            
(3星)	 看不下去了，傻宫绝对是个伪干物(￣_￣|||) ，真受不了。部长太萌了，遇到这样的男人就嫁了吧~~            
(5星)	 绫濑遥在我心中的形象瞬间高大了起来..            
(4星)	 要加油！            
(5星)	 这不是我嘛~            
(4星)	 2011.07.11这个工作环境好的~            
(4星)	 就想说，还怪好的            
(3星)	 上海那个什么频道晚上在放，又见国仲凉子            
(4星)	 结局可以预见，为啥电视剧里的人生都是很美好呢？还是干物女的世界很单一的说。            
(NA)	 神阿 赐给吾辈一个不囧吧（合掌---------            
(4星)	 女主角难看扣分            
(3星)	 藤木桑，你是祸水啊.可是,我讨厌白痴女主,吵死啦.弃啊.喂,你还是和天海姐一起比较有爱哦.            
(5星)	 ╮(￣▽￣&#34;)╭ 其实看第一集就知道结局了啦……            
(NA)	 唉 怎么办呢 我越来越朝干物女靠拢了            
(5星)	 我是纯种干物            
(4星)	 傻人有傻福咯了            
(2星)	 看不下去了 好无聊            
(NA)	 宅女啊啊啊啊 ~            
(5星)	 最爱看鱼竿和部囧拌嘴，萤2看完夏天就快来了吧。            
(3星)	 鱼干？我觉得我有做干物女的潜质...            
(5星)	 部长说，如果一个成熟女性和成熟男性一起住的话，就算他们之间没有什么，但世俗可不会这么认为；部长说，我也着迷于你的侧脸，眼睛都要烂了；看着你的侧脸脊髓都要受伤害了，因为你的侧脸神经细胞都臭了；部长说，你不会喜欢上我以外的男人了，死了都不会，重生后也不会，转世后也不会，你只会喜欢我。            
(3星)	 严重抗议干物歧视。            
(4星)	 以前她就是那样。            
(4星)	 部长真帅~~~~~~萤是射手女神马的吧~~~~            
(4星)	 大爱手嶋誠            
(4星)	 郑老师3.0版。            
(4星)	 结尾有加分~            
(4星)	 相信每一个宅女都会有这样的恋爱憧憬：能有一个人，真心诚意地爱上生活中既懒惰又糟糕的自己。。每个人都需要真实。。也憧憬真实            
(5星)	 5星~~ 看得我好欢乐~            
(4星)	 干物女            
(4星)	 我也想做永远的干物女            
(4星)	 干物女神马的- -            
(5星)	 【07夏 藤木直人+绫濑遥】五星都给不囧！！！！            
(4星)	 不是每一个干物女都有遇上部长的命啊！            
(4星)	 部长是巨蟹座的吧！成熟的巨蟹男果然是极品！            
(5星)	 部长!!!!!            
(5星)	 囧姑娘与不囧部长的囧故事。感慨于这样一个囧了又囧的题材拍得居然不囧！            
(5星)	 挺好的.            
(NA)	 干物女也有春天。            
(4星)	 部长人也太好了吧T_T            
(3星)	 鱼干女、狼女、乌龟女...拍得很有趣，那种典型的日剧夸张风格让人看起来很放松、很愉快。男女一号都演得很好~打发时间的话，本剧是不错的选择。            
(5星)	 我也着迷你的侧脸 眼睛都要烂了~            
(5星)	 噢~远距离恋爱万岁            
(4星)	 剧透：部长才是真命天子            
(4星)	 作为一个不折不扣邋遢的干物女，这剧无疑是一副强心剂            
(4星)	 部长好完美啊啊啊啊啊啊啊！小萤很漂酿            
(5星)	 大叔好有爱~~~~~~~~~~~~~~~~~~~~            
(5星)	 好好看。我觉得我在毕业之后，嫁人之前，肯定就是家里乱起八糟的，比这女生家还要乱            
(NA)	 果然浪漫很不靠谱            
(4星)	 小萤真可爱！！            
(5星)	 傻宫的恋爱智商还真不是一般的啊...            
(4星)	 拍得很规矩的日剧啊。藤木直人看得我都苏起来了，当然他要是能多几件西装就更好了…教育：表面功夫一定要做到家，傻宫长得好看，着装品味也不错。至少见人的时候要收拾好…            
(5星)	 欢乐时光~            
(3星)	 干物女也有春天啊 。            
(4星)	 我愛干物女啊。            
(5星)	 宅女什么的最好了。            
(5星)	 喜欢小莹大喊“不囧~~~”            
(NA)	 我也用便当盒的橡皮筋扎过头啊哈哈哈哈            
(4星)	 部长你是大好人 &gt;&lt;            
(NA)	 我对这个大胸女的态度非常的有改变:原来她演技不错，很可爱的。当然这也有可能是她本色。可惜这片子里面她连一件性感衣服都穿过。还好日剧短，一天就能搞定。不然罪过就大了。            
(2星)	 其实很弱智。。。。为了看我家的藤木直人居然还在看，哎，太弱智的日剧，还不如宋慧乔的泡菜剧呢。PS，绫濑遥哪里美，美在哪里，又不可爱，美就更算不上了吧。            
(4星)	 哎日剧真保守一季下来连亲都没有亲一下            
(NA)	 部長跟毛利都是寵物系，能養一個的話一定很有趣w            
(4星)	 恋爱没有正确答案，自己的决定就是答案。爱干物女的生活~~~~~~~            
(4星)	 藤木大叔，太帅了。            
(4星)	 第一季不囧赛高！！！！！！不囧无限好！！！            
(4星)	 努力成为部长的女人吧            
(5星)	 我也是干物女啊。。。怎么没有那么好的部长啊            
(NA)	 难般看看这种还是蛮有劲的~~            
(4星)	 我也是个干物女啊。            
(4星)	 挺逗的！可是为什么我喜欢手嶋阿            
(4星)	 部长！！！诶？诶？？诶？？？            
(5星)	 让人心情变得和女主角一样好~嘎嘎嘎            
(4星)	 10.08 我曾经也是一个这样的女人 部长什么的最迷人了            
(5星)	 女主角胸好大，一跑起来好明显，在地上滚来滚去的时候她都不觉得咯得行吗            
(5星)	 人生的真实写照。。。。。            
(5星)	 换种心情来看曾经被自己弃掉的剧果然会有不一样的效果啊!看来还是得感谢下仁医,毕竟那是我第一次对小遥有了和谐感&gt;&lt;不囧不囧!!!!!你就和傻宫一直在一起吧!            
(4星)	 “双手牵起是民族舞，眼神对视是眼神交流，头和头的接触是恶搞相声，双唇相贴是.....kiss.&#34;            
(4星)	 吃吃喝喝睡睡觉！            
(5星)	 很搞笑，很好看。            
(5星)	 小小的 现在似乎已经快要消失了的 短暂而又微弱的光芒。。。。。。            
(3星)	 就当我看过了。。我这年纪已经不适合看神经大条的爱情剧了            
(4星)	 瓦咔咔。赞！ 细微的人性划分和微笑着允许着存在着。就是日本对人性的尊重～～ 大国的话，就无法细微到这种地步 - - 你明白我说神马哈！            
(4星)	 神啊，请赐给我一个部长吧~            
(NA)	 有可能成为大叔控，都怪藤木直人            
(4星)	 我妈追得比我快啊…不囧睡衣哪里有卖！            
(5星)	 我说的吧。。。喜欢上一个人可以很简单很快的。别再鄙视我了。你们几个            
(4星)	 啊呜。。大叔深得我心。。。            
(4星)	 傻宮,直人大叔神馬的都太有愛了。我也好想在家可以這樣,,,笑死人了!!!!            
(3星)	 “伱不昰害怕自己穿著運動衫 喝著啤酒橫躺在地上的樣子被對方看到。而昰在害怕在一起之後必須認眞的去麵對自己喜歡的人。因為害怕 伱才覺得麻煩。”部長啊部長~ 伱簡直就昰《幹物女》MV裏為幹物女拆牆煲湯的翻版林宇中啊伱!!! 但昰綾瀨遙大媽實在太礙眼 老紙眞恨不得把她拔之而後快啊!!!            
(4星)	 加藤和树演的手嶋誠实在太烂鸟......            
(5星)	 噗 o(*≧▽≦)ツ 藤木直人的部長叔叔吐槽太萌了 HOTARU的哈？哈？哈？怎麼感覺。。。是我的常用句式= =|||||||||            
(4星)	 每次看完都觉得心情大好            
(4星)	 很可爱～～            
(3星)	 2集我放弃了 傻的来么想法            
(4星)	 记忆里最难忘的是你看似冷眼旁观的眼神，里面却只有一个人。            
(5星)	 部长太可爱了~~~&gt;.&lt;!!!            
(4星)	 每次看到莹一出状况  就嗲嗲的叫“部长”的时候~~~~~那种毫无保留的信任，让我觉得真好！就找一个你放心的人吧。某人的评论：我怀疑我看所有片都只会得到一个结论，找一个让你觉得自由自在的人。（甚至比你一个人的时候，还要自由自在。）             
(5星)	 看这剧的时光 就是美好时光 哎哟 令人向往的大叔            
(4星)	 给我不囧吧！！！！！我用蔡康永换！            
(4星)	 比照之下，我就是一活脱脱的干物女啊！！不过世界上上哪找那么个不囧啊~~            
(5星)	 补完!…不囧啊不囧…对藤木直人的印象UP了几个档次小遥也好可爱啊XD（滚地板            
(4星)	 部長大人！！！            
(4星)	 赐我一个高野部长吧！            
(5星)	 部长在哪！后廊在哪！            
(4星)	 部长部长~~!            
(5星)	 小遥太可爱了！            
(4星)	 我深刻的觉得，这是个白羊女和土向男的故事。            
(5星)	 花了三天补完了..GOD赐我一个不囧吧~←这女人也为不囧crazy了~            
(3星)	 ...........我倒希望有你说的那么像。            
(4星)	 不囧~我爱你~傻宫~我也爱你~            
(3星)	 美大叔啊            
(4星)	 部囧！！            
(5星)	 LN也是干物女啊摔！            
(4星)	 恋爱真好啊。。。            
(4星)	 看人看吧。我之前就不看。只是后来状况变了有同感了就看了            
(5星)	 TVT不囧！！            
(5星)	 其实我在家也和雨宫差不多。部长！！！！！            
(4星)	 在家穿运动服有毛线不对啊掀桌。            
(5星)	 能打一百颗星星么=.=   手嶋什么的去四八……            
(5星)	 好喜欢 我也是快乐的干物女！！            
(5星)	 你再也不可能喜欢上我以外的人了，现在不会，以后不会，死了不会，死了以后也不会，转世投胎以后还是不会。果然还是无法抵抗部长这类被美化完全的人物！夏天到了~部长最好~            
(3星)	 对綾瀨遙的脸还是无法有爱 补档失败            
(5星)	 还是第一次腾起了“去日本买原版漫画看！”的念头            
(5星)	 最爱日剧这种小小的不经意的温情！            
(4星)	 我也想要一個部長。            
(5星)	 好看好看好看！            
(4星)	 神啊，賜我一枚部長吧！            
(3星)	 好想有那么一个带后廊的房子！顺便再赐我一个象部长一样的男人！算了，还是房子比较吸引我~            
(5星)	 干物女也有幸福的恋爱生活。。ps：我也想要一个这样的部长啊~~~~~~&gt;&lt;            
(4星)	 恩，确实是“神啊赐我一个不囧吧”！            
(NA)	 上天啊给我个部长吧，咬牙TT（女主的性格其实挺做作= =）            
(4星)	 部长！！！            
(4星)	 找一个能让你感觉最自在的人。。就是这个道理吧            
(3星)	 无比轻松快进着看完这个极品白痴剧             
(5星)	 不囧~~~~~~~~~~~~~~~~~~            
(5星)	 やっば部長が一番！            
(3星)	 = = 为什么我看不进去            
(NA)	 无感无感。            
(5星)	 一直忘記馬克 後半趴腳的還蠻拖沓的 可是前半部份看的我好熱血 那種紗布垃圾宅的要死的單純女人們真是招人喜歡 不囧 蛤            
(5星)	 嗯~Junko走起来！！            
(3星)	 前面真的蛮好笑的，后面节奏比较慢也比较老套，而且最最关键的是！不养眼！            
(4星)	 正在向干物女行列迈进...            
(4星)	 很有爱的电影啊~~很舒服也很窝心            
(NA)	 01            
(5星)	 如果我穿着运动服在地板上打滚喝啤酒 你还会爱我吗？            
