http://movie.douban.com/subject/2119420/	我和僵尸有个约会3 我和殭屍有個約會III 之永恆國度
(4星)	 我曾问过你不死和轮回你会选择什么...我的答案是后者，而你选择了前者.            
(5星)	 梦里不知身是客            
(4星)	 如果真的能穿越时空 这个命题真的好难回答 就像时间线索里的 4天前的我爱上4天前的你 夹这个中间的她是选择前世的你 还是今生的我            
(5星)	 棒！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 好扯···扯到无语···            
(4星)	 永恒国度啊~~~最后出现的那个东东是不是就叫做“方舟”啊？！不知道2012是不是盘古族人为了捉住命运而孕生而出了应世之劫呢~~~好纠结的呢~！            
(2星)	 唉我晕。。完美地体现了每况愈下。。            
(4星)	 万绮雯的腿第三部！            
(3星)	 不怪人家说看1跟2就好了。。不过3里面还是有看点的~            
(4星)	 当年必追啊掩面逃ε=ε=┏( &gt;_&lt;)┛             
(4星)	 其实剧情还是挺狗血的，不过既然看了前两部了，这部当然也是不能错过。            
(3星)	 看不下去了。            
(2星)	 太狗血了……            
(5星)	 记得那年，和妹一起，每天每天晚上准时坐在电视前一起看。最美好的时光，一去不复返。            
(4星)	 第三部其实是三部里面剧情方面最好的，我觉得。但是况的颜实在是。。。。            
(NA)	 比第二部好看哦            
(4星)	 最后他们在一起，我却还是贪心地希望，能许小女孩况天涯一个完美的结尾            
(5星)	 比前两部更天马星空了，不过剧情依然不错，完颜不破真的好帅啊！最后的创意真棒，忒有才了！            
(3星)	 貌似基本没认真看~            
(3星)	 不得不说，瑶池圣母是本集看点~~~            
(3星)	 马小玲的腿太美了！！！！！！！！！！！！            
(NA)	 不得不说编剧很牛逼。            
(4星)	 好看！            
(3星)	 扯的那个叫昏天黑地，造型、台词、情节各处欢乐吐槽点甚多，不过看得出陈十三是有想法的，所以也不是那种弱智的雷。比起每部的结尾拯救全人类，还是喜欢小案子，第三部的“爱丽丝”记忆犹新。            
(5星)	 那个时候觉得万绮雯超美的……            
(4星)	 如果逃避，能逃到几时？            
(4星)	 完颜不破~~粉你            
(5星)	 从完颜不破开始，喜欢上隐忍斯文的男人。            
(5星)	 @201010            
(5星)	 很久很久以前看过, 很喜欢            
(4星)	 整部戏的核心就是剧本 引人入胜.            
(5星)	 复生的出场很惊艳啊~~他算是少有没长残的童星呢~            
(5星)	   回忆            
(4星)	 以前总觉得三拍的很白烂…现在觉得三拍还是不错的            
(4星)	 还是很好看，最后一集好神奇。。。            
(4星)	 剧情拖沓，逻辑不严密。无敌喜欢完颜不破。            
(3星)	 剧情老套，不过为了万绮雯的腿            
(4星)	 好古怪噶一季..            
(5星)	 马小玲！            
(NA)	 我真的很想知道永恒國度的原稿會是個怎樣的故事。            
(2星)	 一部比一部演的差！            
(4星)	 海报弄得像哈利波特，好雷啊            
(4星)	 我和我妈 想当年 租了VCD 看完三部 是何等浩大的工程            
(3星)	 弱智呀拖沓呀就着网购拖进度条呀，最后一集精彩了一下，结局居然无尾⊙﹏⊙b汗            
(NA)	 我最喜欢的影视剧！爱情、科幻、神话、恐怖、动作片的完美结合！！超级无敌好看，歌也好听！~~那里有不死的天神，乘着分手执千古的封印~            
(5星)	 太搞笑了            
(5星)	 结局不太满意…… 不过我和僵尸有个约会的经典三部曲 总算是结束了…… 不舍啊~             
(5星)	 其实很好看的 喜欢天涯 还有小虎            
(4星)	 主角们都老了残了。陈十三的功力还在。            
(4星)	 剧照里面的天佑拍得好像哈利波特~~人人都说第二部最好看~为什么我觉得第三部才好看~~不过第一部才是经典~~这一部的插曲好好听~~            
(3星)	 2006            
(5星)	 万绮雯好美，我心目中的经典港剧。            
(5星)	 有个英俊的男人。            
(4星)	 觉得是很有灵性的作品            
(5星)	 编剧够创意！            
(5星)	 我真是爱极了完颜不破啊            
(4星)	 如果少拍十集会更经典。。。到了第三部，内容已经不如之前，只剩那份感觉。            
(4星)	 御姐大愛！～ATV要爭氣啊！            
(5星)	 发现万绮雯的容貌一如第一部时那样年轻``            
(3星)	 香港的编剧，真的很有想象力，也很够胆。。            
(NA)	 ATV也是有经典的剧集的.这套僵尸很有想象力            
(5星)	 三貌似看得最全,不过没有二好看            
(NA)	   马小玲 MY LOVE~            
(5星)	 结局真的是很出乎意料之外            
(NA)	 强啊～            
(4星)	 不是叫什么菠萝奶包么……？            
(5星)	 很好。            
(3星)	 ~            
(5星)	 感动的无以复加...二次元的爱情            
(3星)	 配音让人太失望了，情节太拖沓            
(3星)	 我在等着你回来             
(5星)	 不破帅得一塌糊涂啊~真配服13的编剧，强大的剧情！感人的地方太多了~复生长大了真帅！            
(4星)	 结尾好狗血。。。            
(NA)	 追不上1和2的水平。            
(5星)	 反复看过N次了，大学期间陪伴了我N多次的通宵生活。            
(4星)	 神一般的结局            
(4星)	 好水准终究没有维持到第三部            
(5星)	 难忘！            
(5星)	 弱弱地希望有续集            
(5星)	 嫦娥姐姐是霓虹金啊！！！！！！！！！            
(3星)	 感觉没有前面两部好看。            
(4星)	 大四那年，一口气干完3部，太猛了。            
(3星)	 第一部里的BOSS性格鲜明，让人过目不忘；第二部里的司徒奋仁不温不火，缺乏特色，虽然基本快遗忘但总归还有印象；至于第三部里的完颜不破么~感觉是这三个角色里塑造的最失败的，导致我那时候吧注意力完全放在了况天佑与马小玲身上。（不过这可能跟三部里缺少杨恭如有关）。看着某人吻秦岚就不自在！            
(NA)	 四星。            
(5星)	 这部剧要说印象最深的，除了马小玲，就是马小玲。            
(4星)	 我一直以为永恒国度是小宇宙，那知它只是昆仑号星际飞船，弱了            
(3星)	 马大龙是个亮点            
(3星)	 没前2部好看            
(5星)	 比之前两部还是逊色了点            
(3星)	 期待值太高            
(1星)	 烂死了            
(4星)	 多了好多个人物啊，但是情节没有了之前的感觉。虽然如此，还是在高中晚上偷偷跟了，毕竟，之前的太诱惑            
(5星)	 僵尸三比较新 自然会招到很多 老牌粉丝的刁难 但是这绝对不是狗尾续貂之作 也是不是普通的灵异故事 通过命运上升到了一个 联合天地人的 世界观 事实证明 陈十三的才能也招架得住 如此的一个高度 整个构想 基本全无抵触 无懈可击 非常完美             
(4星)	 上高中在炒菜馆吃午饭店家就是放的这个吧..            
(5星)	 我喜欢。虽然说拍的不咋地。            
(4星)	 剧情有点乱  不过还是看的挺乐呵  记得尹天照说 陈十三毕竟只是一个人 他也会犯错误 突然很心酸             
(5星)	 这个阵容，我真的好喜欢。不枉我支持亚视那么多年了            
(5星)	 万绮雯好靓女            
(4星)	 复生跟小玲真的好帅啊！好喜欢···好喜欢···            
(4星)	 天哪我小时候是有多喜欢看阿。。            
(3星)	 玮姐碉堡了            
(4星)	 开始走下坡路            
(3星)	 尹天照和马小玲永远在一起            
(NA)	 04年追得欲生欲死，被马小玲迷到天昏地暗。。。。            
(4星)	 剧情编排得有点凌乱，但无疑是最成熟的一部，人物性格也丰满了很多            
(NA)	 第三集已经当另外一部平行时空的 僵尸来体咯~~一和二　先至系自成一体～～～            
(4星)	 记忆啊~            
(3星)	 还是第二部最好看~            
(5星)	 重温了初中时藏在心中的感动，年华逝去，请珍惜眼前的一切。            
(4星)	 结局有点理解不了            
(2星)	 越来越夸张...越来越神呼...            
(4星)	None
(3星)	 疯狂地追了三天，连正经的事情也耽搁了。平行宇宙，俄狄浦斯情结等隐喻也是够深刻，人物的塑造也是各有各特点，而且没有多余的人物，每个角色都承载了某些意义，可是到了中后段实在看不下去了，混乱十足，剧本很多蹩脚频频展现出来，所以直接一笔带过看文字剧情了。            
(NA)	 还好，不过不算看完整            
(4星)	 其实看到最后觉得还好，但果然还是第二部比较好            
(5星)	 雯雯戏份太少了            
(4星)	 加了女娲，后羿这些···有点杂了··            
(4星)	 其实不太喜欢第三部的马小玲。喜欢里面的瑶池圣母！！！            
(5星)	 很喜欢这种风格，不过- -有时候真的好扯。            
(3星)	 最后那段真心坑爹，达叔好萌~~~我直到倒数第二集才意识到啊快大结局了啊。。。。。。。。            
(4星)	 剧情有点弱了            
(5星)	 就算记忆消失，爱情也会留下、、、、天涯是萌点泪点、、、            
(4星)	 大部分人应该都和我一样不太喜欢第三部吧，哈哈。最大的看点是万绮雯美貌更甚当年~引用一段评论【况国华、况天佑、箭头，貌似很混乱，但都是一个人，就是小玲爱的那个人。混乱的只是时间和空间。 】要补充的就是我爱陈十三~这个男人创造了一个有悖常理却合乎逻辑的美好世界。            
(4星)	 1.陈十三爱浪漫但太贪心。2.对毛忧没有意见，但不喜欢这样改动小玲的少女时代。3.人王圣母命运真是造作又自私。4.天涯越看越顺眼。5.最喜欢箭头，可惜注定是炮灰。6.如果万绮雯没有受伤，僵尸系列的这个收尾会不会更好看一点呢？            
(4星)	 其实只能算三星，不过看在第一二部的份上，爱屋及乌，加一颗星，呵呵！            
(3星)	 比较一般            
(NA)	 美瞳大卖从这里开始。            
(4星)	 陈炜好御姐啊御姐啊            
(5星)	 真系好睇            
(NA)	 这个不得不说的大爱啊，十三是个人才~~            
(NA)	 要是她不姓马，我又不是僵屍，我们也许可以做个朋友，因为我们大家有很多相似之处。同样不懂得如何面对某些事、某些人、某些感情，甚至自己。            
(5星)	 敘事結構為三部曲中最宏大最離奇的一部，但是編的偶有脫力            
(4星)	 剧情有点乱……但是，再乱也好看啊……            
(NA)	 想当初5年级一放学就跑回家看= =。。。            
(4星)	 隔了这么多年，终于把真正的大结局补上了。这一系列都算得上是港剧中的经典。            
(4星)	 马小玲            
(4星)	 幸亏没有第四部了。结局差点变成喜剧，马小玲就这么变成经典了，呵呵。            
(5星)	 少有的部部都不错的系列，然后懂得见好就收            
(4星)	 有D睇唔明            
(5星)	 这个是我的吸血鬼启蒙片，另外我特喜欢马晓玲            
(5星)	 娘亲哦。。太好看了。。            
(4星)	 一直在想~~银瓶是不是圣女转世啊？            
(5星)	 经典剧，第三部尤其赚感情分。经典人物马小玲，她的个性极具魅力，而三部我和僵尸有个约会，无论是什么背景，什么结局，都围绕着一个中心，那就是以探讨人的情感和内心世界为主。这是这部捉鬼捉僵尸的剧成为经典的必不可少的原因。            
(3星)	 况天佑说了好多肉麻的话，马小玲也爱的死去活来，可我有一点失望，不仅仅是况天佑不再帅气。也许我们都喜欢传奇，一直爱着的是马小玲和况天佑不死不灭的孤独，被他人的悲剧打动。一旦英雄变为常人，有着寻常的恐惧、忧愁、爱恨纠葛，英雄就陨落了。            
(5星)	 这部最SEXY了、、、、            
(4星)	 没有前两部那么好看。。            
(5星)	 哇咔咔，哈利波特你在模仿我们天佑哥吧            
(5星)	 我爱箭头~！            
(3星)	 最不好看的一集。            
(5星)	 大长腿+吸血僵尸+各总蛇神鬼怪+感情啊感情            
(4星)	 天上掉下来的不是你的17317公主。她记挂着的是另外一个人。你不介意她来自哪里，做过什么，爱谁恨谁，但是要离开的人始终要离开。你出生就是孤儿。不是没有父亲，只是父亲总是不敢相认，直到死之前。但是那最后的全家福，已经慰藉了孤单多年的心。但是你仍然有着宽容慈悲的心，不惜牺牲自己成全他            
(5星)	 虽然结尾还不是很满意，但依然还是最爱的剧之一            
(5星)	 所有演员的演技都有很大提升，只是觉得，万绮雯越来越漂亮，尹天照越来越老，据说当时尹天照已经不想演了，感觉剧本不太好，一切又都是十三在打理，但是又觉得抛下十三不好，力不从心了，还记得当时的感动，现在都有·······            
(NA)	 很扯的故事，但是，有些角色还是很经典的。陈启泰大叔一如既往的有味道，很惊艳的“命运”陈展鹏            
(4星)	 说实话 三部片子里最喜欢的还是无泪和Mr.X 虽然历经三段人生 始终最有缘分的是他们呀 一直在一起 从未没有错过对方 从未认错过对方 也从未放弃过对方 虽然作者总是没给他们两个一个好的结局……            
(NA)	 没看完也没兴致了。            
(4星)	 第三部的各个人物更加鲜明，也精致起来。看来被操纵的人生不是我一个人的想法。            
(NA)	 06年看的，况天佑和王绮雯还是这么搭，画面剧情都好看            
(4星)	 既是经典，何需多言。小玲姐姐、、            
(4星)	 虽然颜都残了，但还是蛮好看的。            
(1星)	 就是搞笑。我评很差是因为给前两部面子。十三真的是为了老婆下降了自己的水准。            
(5星)	 其实我很喜欢这一部，虽然有些比较扯            
(5星)	 让我想起了美少女战士，小小兔穿越了            
(5星)	 一二三部一口气看下来，不得不惊叹，编剧太有才了！很喜欢马小玲况天佑这一对，尤其是一二部里边，很真实很纠结很有爱很美好。            
(3星)	 最後的結局算是好得結局吧            
(5星)	 非常好看，编剧太有才了！            
(4星)	 经典啊~~~            
(4星)	 配音太渣了            
(5星)	 我最喜欢的就是这一部了。虽然主角的戏份变少了，但是整个故事的深度是前两部无法比拟的。这一部把我们耳熟能详的传说用意想不到的方式联系起来了，每个演员都演得非常好。最喜欢的就是人王女娲这条分线。反而不是很喜欢箭头那部分。            
(NA)	 7/10，第四部也演不出来了            
(NA)	 第三部比较有感觉            
(4星)	 最后的最后.            
(4星)	 沒有第四部  遺憾            
(5星)	 我觉得现在那些美剧美影僵尸片跟这个不是同一个级数的。我太爱那个创造出来的异世界了~而且在2004年，这部电视剧真的制作好精良哦~            
(4星)	 编剧真的很强，编了三部古今穿越神话魔幻内容但又不显得累赘，虽然第三部剧情有些弱，画面跟特效比前两部都好            
(5星)	 依然5星            
(5星)	 最喜欢了，感人死了            
(4星)	 不如前两部            
(5星)	 三部我都喜欢，根据剧情人物来讲我可能喜欢第二部吧。            
(4星)	 《僵尸》里人人都最爱马小玲和况天佑，自己却奇怪的始终纠结着山本一夫与王珍珍，完颜不破和岳银瓶~唉，小玲和天佑，纵有无数磨难和坎坷可他们的命运始终是连在一起的，而珍珍和一夫的故事，从上古时代起，每一世的相遇只是为了错过~            
(4星)	 充满母性的马小玲。            
(NA)	 经典之作，僵尸片的典范            
(NA)	 最怨念的就是造型了 还有画面构图什么的完全不连戏啊!!! 然后不该胖的胖了 不该瘦的瘦了..T_T            
(4星)	 没有前两部好看，可能是因为后来改了剧本的原因，但是依然是经典。            
(NA)	 美腿啊            
(NA)	 或许在梦幻国度，能让一颗心活着不老，莫须再装一身的骄傲……            
(NA)	 死与生的诠释。            
(NA)	 第一部到第三部最搞笑的就是多信仰的集合。            
(NA)	 宿舍一起看的。。。            
(4星)	 故事编得天马行空匪夷所思，情节竟然还能自圆其说逻辑上无硬伤，主题上还留有空间让人有所深思，难得难得            
(5星)	 最爱剧中各种各样的爱情故事。            
(3星)	 第三部一般般，但没网上评论写得那么糟糕，况天佑有点胖了有点老了，复生小时候很可爱，长大了很帅气。剧情有些狗血，搞了半天就是为了捕捉命运，废话多了，马小玲的角色被削弱了。完颜无泪和单牙僵尸X之间的恋情很可爱。            
(5星)	 挚爱啊~万绮雯太帅了~            
(5星)	 我想不明白，现在大家那么喜欢暮光之城，有没有人知道，其实我们中国自己也有很好看很好看的电视。            
(4星)	 2011-5-13            
(5星)	 连续剧里面，我的最爱。太寂寞的片子了。            
(5星)	 当年很喜欢，            
(3星)	 好吧，我不再看了。就这样暂告一段落了。开始遗忘。            
(4星)	 某台放的有说话声就没背景音乐，什么SB东西，还好有网络。雯雯在这部里好美啊，大腿……            
(4星)	 没有1、2好看了！！！            
(5星)	 啊啊a              
(4星)	 小玲真靚...蘭後吧，我最愛果然是第二部。喜歡姑姑多過嘛嘛啊...            
(4星)	 4星给了变瘦的马小玲和她的美腿以及帅到爆到人王伏羲            
(4星)	 当年在亲戚家看碟到一半，回去以后一直念念不忘，不过电视上就没有播过            
(5星)	 情节可说是让人想都想不到，香港电视很好看            
(5星)	 岳银萍  演的最差了              
(4星)	 大爱马小玲。            
(3星)	 天涯靓。            
(2星)	 脑残结局            
(5星)	 知道的人与僵尸的感情世界，比起现在的任何一段感情都要真实，都要轰烈，不管是第一部，还是第二部，或是第三部，我看了就收不了手，有时候会让自己化身一只僵尸，去做自己想做的事情，以为会更好地生活，即使我会一世孤独，永远孤独，我可以经历无穷尽的感情历数，其实我是不是在逃避呢？也许是吧。            
(3星)	 遜色于第1、2部。            
(4星)	 变成僵尸的马小玲即使残忍而冷酷，陷入了疯狂，但是她对况天佑的爱却仍然不曾改变。记忆会失去，爱情也会留下来。            
(5星)	 记得好像差不多8年前看过这个片，，那时候就觉得很好，可是只看过第三部。。这次是从第一部到第三部看下来的，，不是很喜欢第二部，还是觉得第三部最好看，，因为真的可以让我一天哭了十几次，，好多让我感动的地方，也许也是我太感性吧，嘻嘻。。本人力推，真的值得看！            
(5星)	 永远的回忆            
(3星)	 沒了黃珍珍，初頭其實還好，尾段就有點悶            
(3星)	 看第三步的时候，已经没有了第一二部的精髓，那种感觉，消失了。            
(2星)	 姐虽然极爱第一第二部，但是第三部太烂了，看不下去了。。。不过还是坚持到了最后，不爱。。。            
(3星)	 隔了4年再拍，可惜第三辑的故事比前两辑差太多了，故事越看越闷，幸好马小玲灵气依然，是唯一看下去的动力。            
(NA)	 虽然没有第一二部精彩 但是还是很爱 诶 万绮雯的美腿是在是令人口水啊            
(5星)	 看完第一二部，隔了很久，一直到最近才把第三部看完。还是很赞。陈十三果然犀利            
(5星)	 都说僵尸3是三部中最差的，但是我的眼泪没有比看1和2的时候少流多少，看完以后依旧唏嘘不已。很遗憾我到今天才看这部电视剧，遗憾我的青春岁月竟然没有如此感人的故事陪伴。幸好我现在还不算太老，以后的岁月，你陪着我就好了。            
(5星)	 僵尸三部曲都是很有誠意的作品，可能只有頻臨破產的電視臺才可以花心思去拍出這樣的電視劇吧~~~真是諷刺了！            
(4星)	 终于完结~            
(NA)	 看一集落一集，可怜的我现在也没看完全集。            
(5星)	 僵尸三部曲，偶滴挚爱，ATV的高质量制作，陈十三的绝妙剧本，尹天照、万绮雯、陈启泰、张文慈、陈展鹏...演得惟妙惟肖，总之空前绝后，直到现在再也没有看过出其右的同类作品了，怀念当初三部连看的痛快感觉。            
(5星)	 一二三，一个不落            
(4星)	 印象最深是那个岳银瓶 - -            
(5星)	 神级，不解释            
(5星)	 结局比前两部差很多。。但依旧五星。            
(5星)	 比芒果台的狗血剧好看多了            
(5星)	 雯雯一直都那么漂亮 年轻            
(3星)	 这部剧完全逻辑不通，扯东扯西，还敢了个流行搞穿越，箭头既然是况天佑的前世，那箭头如果没死况天佑是咋来的，没死去的灵魂投胎转世哪来的来世？莫名其妙。三星，一颗个马小玲一颗给陈启泰一颗给张文慈            
(4星)	 這個系列都很不錯，有內容。很敢想！            
(2星)	 结尾那莫名其妙            
(4星)	 其实，其实这剧演的什么没看明白，，我只是喜欢万绮雯。 。。 。            
(5星)	 千言万语不知道如何说了，神作！！！            
(4星)	 没有1,2好 但是和现在的那些剧集比还是好很多 怀念            
(4星)	 御姐很动人,结局很无语            
(3星)	 看过大概，觉得不知所谓，故事人物太乱。剧情有点牵强，人物性格扭曲了。原本1、2部很好的亮点没有在3里保留。3的出现可以说是毁了整个“僵尸”系列，看着就痛心。所以建议看过1、2部的而且是很喜欢的，就不要看第3部，免得毁了整个感觉。            
(5星)	 大爱。看了很多遍。            
(3星)	 剧情越编越离奇..神都成僵尸了= = ||            
(5星)	 爱万绮雯            
(NA)	 每次不相信爱情、我就看这个            
(4星)	 马小玲            
(5星)	 传说             
(5星)	 还是觉得好看的不得了！            
(4星)	 这部好异样的感觉。            
(5星)	 这部是造型特效最好的一部.虽然评价远远不及前两部.可是我觉得光是马小玲和况天佑.足矣            
(5星)	 大爱            
(2星)	 和前两部比就差多了            
(4星)	 记得个片尾曲貌似唔错            
(NA)	 傻西，系尹唔系伊啊            
(5星)	 依旧如此喜爱。。。            
(3星)	 画面好看，不过剧情太乱了。。。终于看完了。。。            
(4星)	 第三部都穿越乱了……倒是陈启泰在这三部里越来越帅了……            
(5星)	 很好的故事。林正英，陈十三之后，还有谁能继续僵尸的传奇。            
(5星)	 每一部都很精彩，这一部尤其让我震动。只是结局未免有些遗憾吧……            
(5星)	 完全记得            
(4星)	 陈十三的想象发挥到极限了。            
(4星)	 大家都老了，可是还是很喜欢。            
(5星)	 人性            
(4星)	 总是喜欢马小玲和况天佑  虽然狗血~            
(4星)	 虽然不及前两部，不过同样喜爱。。。哪天也来个僵尸把我咬了吧~~~            
(3星)	 不拍第三部就很完美了。            
(5星)	 T_T 真好看，又看了一遍。            
(4星)	 这部里尹天照已经老了好多了~~            
(5星)	 抛开剧情。。。瑶池圣母和马伊咪怎么那么像。。。。            
(NA)	 第三部虽然将第一部和第二部的一些疑惑揭开，但，很混乱。            
(4星)	 至今还只是看过一半，没有第一第二部吸引            
(5星)	 那时侯超爱看的！！我要再看！            
(4星)	 。。。            
(5星)	 这个系列真的是，巨，好看。            
(5星)	 我就是无比喜欢这部，无比喜欢马小玲。            
(4星)	 先看的第三部，所以反而最喜欢这部呢~妆容服饰也更符合我当时的感官，小玲姐姐的长腿……            
(3星)	 一部不如一部。。。            
(5星)	 第三部情节内容神马的…还是非常精彩的。            
(5星)	 强烈喜欢完颜不破            
(4星)	 童年啊童年~~我决定有时间再看一遍~~            
(5星)	 依然很感动，但一口气看完了，也感觉很惆怅，自己不知道干嘛了。            
(5星)	 尹天照越来越残了。第三部看上去像是这个世纪的电视剧了。            
(5星)	 经典,好看.            
(5星)	 没想到多年之后的续集，同样好看精彩            
(5星)	 瑶池圣母和人王伏羲都能扯进来……陈十三真是牛啊……雯雯，你的腿……真是又长又细又白嫩又漂亮……            
(4星)	 银瓶不破！千秋万世~我赢了 还是你赢了            
(5星)	 还是最喜欢第一部啊~~            
(4星)	 有神话有传说有古装有民国有现代有科幻有穿越~第三部明显比较先进的拍摄特效和妆发了呢！而且人人都看起来年轻了，咳咳。男人们的妆都比较张扬啊~男女主角一模一样的眼影颜色！而且还有女版犬夜叉的设定，哈哈！原来那时候就有穿越剧情了。编剧果然什么都敢放~“你还有没有人性？”“没有！”            
(5星)	 第三部前面十集堪称经典！后面。。。。。。。。            
(3星)	 每看一部我都在想，你还能再乱点吗？结果证明，没什么它不可以的。            
(4星)	 好吧，这部真的不如前两部，不过旅馆小姑娘那段吓到我了……            
(5星)	 从电视机前走过的时候眼角里瞟见屏幕上有一全身黑色的女人，说话很慢但声音里有种不容侵犯的神圣感，转过头又认真看了一眼，惊到我了，完全就是想象里女神的样子。当下决定把这部剧找来完整看一遍。那个女人是瑶池圣母。我总是为了某一个角色去看剧。其他的很多角色也很有爱。大概06年看的，想重温。            
(5星)	 最愛的電視劇之一。第三部多了很多新人加入，小玲姐姐受傷真的是個大大的遺憾            
(5星)	 最近真的很爱这些老片      马小玲和况天佑的故事我会永远记得！！            
(5星)	 很好看            
(5星)	 只看这一部。            
(NA)	 我最亦只喜欢万绮雯小姐和陈启泰先生!!!!!!!            
(4星)	 烂俗了            
(NA)	 小时候和许嵩一起看的。马小玲身材很好。            
(2星)	 90年代前的港剧迷都追过的电视剧            
(3星)	 说起来没有完整地看过.只记得剧情不错,但却没有了以前看1and2时那种感觉,陈炜在这里面真漂亮的说.            
(4星)	 受影响看了            
(5星)	 很喜欢            
(4星)	 第三部真的有点吓人 T T 尤其是拍肩膀那部分            
(5星)	 也许是因为拍摄的时间晚了些，画面感比前两部要漂亮。喜欢彼此不再隐藏爱的马小玲和况天佑，无论人也好，僵尸也好，只要在一起，什么都不重要了。            
(2星)	 太离谱了            
(5星)	 非常喜欢，百看不厌！            
(4星)	 有点混乱了 但是还是好看~万绮雯童颜不老啊~            
(NA)	 没看完            
(4星)	 最近在怀旧，马小玲还是我喜欢的那个马小玲。            
(5星)	 - - SKY~            
(4星)	 小时候的记忆            
(3星)	 这部一点也比不上前两部             
(3星)	 惯性关注……            
(3星)	 好像是大二暑假的时候...在家没意思看过...            
(3星)	 不拍更好，留点回忆就好。            
(5星)	 很久以前看的港剧了 好看 小玲姐的美腿啊=..=            
(NA)	 高三的时候？            
(4星)	 再续貂            
(4星)	 把永恒国度看完啦  前面2部没有看 实在看不下去了 还是3好看 虽然结局不是很理想             
(5星)	 和以往的僵屍片類型不一樣，他給人是更多的感動！事隔幾年拿出來看，我依舊那麼感動            
(5星)	 剧中有很多让人感动且落下热泪的对白，感人。。。            
(3星)	 。。第三部真的，，囧            
(5星)	 不要从细节处苛求  不同的人看会有不同的感动            
(3星)	 第三部有些牵强了～            
(1星)	 看不下去了~~            
(NA)	 结局有点搞。万绮雯越看越顺眼，陈启泰在里面也很有型。            
(4星)	 本来应该只给三星，多出来的一颗送给越来越有味道的帅的人神共愤的陈启泰~            
(4星)	 我好像没看结局= =            
(3星)	 这最后部就有点弱了            
(5星)	 我比较喜欢箭头，这一集里的小笑点            
(5星)	 恩，很好看呢~···我咋那么喜欢圣母啊~····            
