http://movie.douban.com/subject/2389554/	天若有情
(NA)	 当年看得泪如雨下。长不大的爱，害怕被丢下的爱，抛弃全世界的爱，再也无法宠溺的爱。            
(4星)	 小时候看过~            
(3星)	 多年前的摯愛阿。車仁表啊！！！！！！！！！！！            
(4星)	 当年看得特感动特喜欢。2005.TV            
(3星)	 剧本很好，非常喜欢对白！！！但无奈演技一般，美术和服装和剪辑师都是瞎糊弄。            
(3星)	 瞎看呢呗，董洁和韩国人拍片还不少。            
(NA)	 这戏的亮点绝对是六月和车仁表的爱情。这才是真的。            
(5星)	 很久以前看得了 不是每个人都能看懂的对白            
(4星)	 那会儿董洁刚出来不久，那时HOT刚解散？只记得中学时期~~~            
(NA)	 依然爱董洁。剧中最欣赏李玮凡            
(4星)	 我喜欢这个姑娘~            
(NA)	 圆舞。            
(3星)	 展颜            
(5星)	 那时候的天真无邪任性美好            
(3星)	 超讨厌董洁演的那个女主            
(4星)	 最喜欢的大陆电视剧。因为。。。里面每个人都有病。。。            
(4星)	 我爱小凡，只爱小凡。她是最好，别的人，都是陪衬。            
(3星)	 05年还小。。。            
(1星)	 我是来打分的。            
(1星)	 车仁表 怎么就找他了 不是毁人家嘛            
(4星)	 董洁。            
(3星)	 爱死李纬凡了！            
(4星)	 其实我更喜欢小凡和季冬阳的爱 不用说什么 因为他们都历经过            
(2星)	 就想看有多乱伦，发现一点都不乱伦...            
(NA)	 静若处子的董洁            
(4星)	 少数几部很爱的国产出品剧目            
(3星)	 还是心疼小凡            
(NA)	 喜欢小凡，那样性格的她是我喜欢的，还是知性；还喜欢王琪（陈孝萱），虽然是一个失败的没有位置的人，虽然有点坏，有点同情。很多人往往会得不到自己喜欢的，却还是一如既往地牺牲。            
(5星)	 喜欢得都要死掉了            
(5星)	 高二的时候看了没感觉，等到大一再看就不一样了。。。喜欢展颜～            
(NA)	 alin很喜歡看的~            
(NA)	 呵呵。经典。            
(4星)	 看过很多次的电视。李纬凡 小凡~            
(1星)	 翻来覆去的不知道在讲什么            
(4星)	 台词很棒            
(4星)	 我的头发都留长了等你......            
(NA)	 记得高中那会还追着看。李纬凡一直以来都是我喜欢的女生的典型，无论是性格还是外表。今天重新看回她最低谷的那段时期，那些侥幸和悲伤，恰恰一语中的。            
(3星)	 大学又跟着室友重看，以前接受的，现在不接受了            
(NA)	 就女主人设看是很有新意的，人物关系看起来也有花音那种若无其事地重口的趋向，放到今天可能会变成清新+黄暴的话题片……但是棒子男主毁了这点新意……另外，听说此作最终收不住毫无逻辑的多进程而烂尾了……只能说活该，敢玩玛丽苏人设就要敢承担后果嘛。            
(4星)	 我从初中看了《火花》就对表哥迷的心神荡漾了啊~~~~车仁表，表动我心啊！！            
(3星)	 黄志玮这个身高演什么都有一种深深的违和感啊！            
(4星)	 我也爱写父女恋啊！！！！            
(5星)	 最喜欢季东阳无论用哪种语气的叫展颜，颜颜~            
(4星)	 时隔几年重温此剧，仍然感慨于这场“不论之恋”            
(3星)	 我想要展颜和季东阳在一起。            
(3星)	 自己都不记得看过            
(5星)	 大爱季东阳            
(3星)	 当时看这个的时候觉得车仁表真是烦啊。不过真心喜欢展颜这个名字，我都想改名了呢。            
(NA)	 不错，好看。            
(4星)	 高中最爱好么~            
(5星)	 展颜            
(5星)	 对白              
(3星)	 我一直没办法理解展颜。            
(4星)	 也是很多年了哦            
(2星)	 其实对车仁表大叔无比有爱，但是董洁的垃圾演技和铁雷的剧情实在太尼玛的坑爹了～～～            
(3星)	 同济拍的~~喜欢小凡，心疼她。车仁表很帅~            
(3星)	 黄志玮！            
(4星)	 当时非常喜欢李玮凡这个角色。            
(3星)	 不喜欢表哥            
(4星)	 整个剧其实相当好看! 车仁表这种蜀黍魅力非凡 董洁的萝莉颜冰冷心能够同时杀死少年与大叔            
(4星)	 六月的角色很喜欢            
(NA)	 喜欢六月            
(NA)	 这爱情。。。唉            
(4星)	 萝莉和大叔，多般配啊~            
(5星)	 我恨我的十八岁            
(3星)	 又一个不爱官配的代表~喜欢隐忍，坚强的女孩儿，所以喜欢李玮凡。喜欢他们之间的淡然，喜欢他们之间的默契，无奈她不是编剧的女主角~            
(5星)	 看了好多遍 以至于歌也变得很喜欢 比较喜欢六月            
(4星)	 李纬凡            
(5星)	 车仁表~~铁手~~~            
(3星)	 俺喜欢六月            
(3星)	 喜欢六月            
(4星)	 迷恋过车仁表啊。。            
(3星)	 喜欢六月，讨厌男二号，更讨厌董洁扮演的角色            
(NA)	 李玮凡好漂亮            
(5星)	 一直喜欢的是李纬凡和季东阳之间的感情 展颜对季东阳有点太偏执了...            
(NA)	 六月            
(4星)	 小凡            
(4星)	 四星全部给董洁！喜欢展颜，心疼展颜…            
(3星)	 天亦老。            
(5星)	 这是改变我人生的故事。意义重大。会时常重看，为那些旧时光，为曾经的执迷不悔，悲伤的落泪。大概这辈子我是忘不了它了。            
(5星)	 李纬凡是我觉得最大的期待和亮点            
(3星)	 车仁表和董洁的互动充分满足了我大叔控的情节。所以其他人我选择性的无视一下。            
(4星)	 喜欢董洁            
(3星)	 喜欢六月            
(4星)	 虽然剧情有点奇怪。。。            
(4星)	 看的很憋屈的一部电视剧，讨厌展颜，喜欢不被人看好的李玮凡和季东阳，即使是虚伪的假象是一时的情迷意乱，但这样温馨甜蜜的一段真的让人无法忘怀。            
(3星)	 喜欢六月和车仁表，哎，怎么就不得善终呢            
(3星)	 我受不了六月的那个男朋友!受同学影响喜欢小凡            
(3星)	 不知为何我不喜欢展颜            
(4星)	 六月给我留下了深刻的印象,让我对心理咨询师产生了膜拜……            
(4星)	 都忘了神马情节了            
(4星)	 喜欢六月            
(5星)	 一个男人可以为爱做到这一步，我服了……            
(NA)	 姐非常喜欢六月这个女的。。。。不过电视剧看得断断续续。。。就不知道在讲神马了。。。            
(5星)	 作为一部国产剧已经非常不错了，大爱六月蔡君茹~~~~            
(5星)	 读高中的时候很喜欢看，被展颜说的话深深吸引，她貌似爱的透不过气来。            
(5星)	 喜欢展颜，她是一块冰，和她相配的只有冬日的暖阳。            
(4星)	 喜欢小凡            
(4星)	 我对纠结的东西貌似一向有好感~ 哪天重温一下。可是季东阳为什么没有和展颜在一起            
(3星)	 为了看陈孝萱看得，却喜欢上了六月。            
(3星)	 我好希望李玮凡和季东阳在一起呀。董洁在里面太讨人厌了。。            
(4星)	 圆舞。            
(NA)	 第一步很好，续集简直是胡编乱造！！            
(NA)	 歌棒！！汶汶我爱你！！虽然你总唱苦情歌但是你要相信我还是爱你的！！            
(4星)	 我的养成系启蒙啊，虽然是BG            
(4星)	 说白了，这就是一群极品的故事啊！！！            
(4星)	 作为大叔控，我很兴奋            
(3星)	 天若有情天亦老            
(5星)	 评给董洁和六月的演技，陈孝萱和黄志玮的外貌~            
(NA)	 我多么想让他们2个在一起啊！！！！！！！！！！！！！！！！！！！            
(5星)	 曾经的最爱            
(4星)	 祝你幸福。            
(3星)	 很早前看的            
(3星)	 忘年恋本来挺美好的~可是那个心理医生的出现真讨厌啊 ==            
(5星)	 小女孩都有爱叔叔清洁，典型的缺乏父爱，我都是            
(4星)	 展颜就是个小疯子哈。            
(3星)	 好像很经典            
(2星)	 不想承认看过的剧之一~            
(5星)	 我是真的真的很喜欢这部剧……因为这部剧对我来说……已经不是一部电视剧这么简单了～～            
(4星)	 爱会吃人。我被爱吃了。尸骨无存。            
(5星)	 我喜欢展颜爱恋季冬阳的样子，我喜欢季冬阳宠溺展颜的样子。            
(NA)	 我靠 这才叫剧情大反转             
(4星)	 恨不生同时，日日与君好            
(5星)	 何时会有第三部？漫长的等待...            
(5星)	 我高一的时候跟天天拿这部剧度日来着。            
(4星)	 “爱情是种遇见，要在对的时间遇见对的人！”这是此剧让我印象最为深刻的一句话！18岁的展颜和36岁的季东阳为何不能在一起？世间忘年恋有很多，他们不过是其中之一而已，既然相爱，又没有任何障碍，不过就是季东阳自己观念上的不认可罢了！说白了，他们还不够自私！            
(4星)	 你爱的都是病孩子。            
(4星)	 想看续集 没想到续集如此让我失望！            
(4星)	 其实我更心疼王琪。。。            
(4星)	 被季东阳这样的男人爱上了，无论什么样的女人也抗拒不了吧？            
(5星)	 对我而言、经典之作！            
(4星)	 高中写的小说与之情节相似 PS：没看之前写的 大叔与少女的爱情还是吸引人的            
(5星)	 为颜颜和季东阳没有在一起而纠结的人可以看看《阵平》，田村正和和松隆子在里面演一对没有血缘的父女，最后……在一起！            
(5星)	 喜欢，尤其是台词            
(1星)	 又是不一般的恶心~~            
(3星)	 我还蛮喜欢这戏里的表叔的~            
(4星)	  -“我愿意照亮你”            
(5星)	 唉...大叔控的必看影片            
(5星)	 车大叔魅力无限啊~~~~            
(4星)	 展颜和李乐有可能吗?            
(4星)	 我一直希望季冬阳能跟展颜在一起，其实到底有什么不可以？            
(5星)	 颜颜            
(3星)	 陪妈妈一起看的...第一部不错...            
(NA)	 呵呵，和心理连上是不是有点牵强啊            
(3星)	 2005            
(4星)	 车仁表呀车仁表~董洁呀董洁~            
(5星)	 大爱~~            
(5星)	 喜欢的电视剧             
(4星)	 第一部挺经典的            
(2星)	 重看才觉得这剧很无聊 玛丽苏 之前喜欢只是因为你            
(5星)	 人生是一个苍凉的手势            
(5星)	 错误的时间错误的地点遇见错误的人。。            
(5星)	 春与秋的距离。            
(NA)	 很喜欢。很喜欢            
(5星)	 溺爱            
(3星)	 车仁表太“冷”了啊~~            
(5星)	 展颜:我对我整个的人生都不满意季:你的人生,你才几岁呀展颜:最该满意的岁月都不满意     以后,只会更不满意    想想。。真的挺没劲的              想想,挺没劲的            
(NA)	 爱死这部剧了            
(4星)	 不错            
(NA)	 心疼的。            
(5星)	 遇见爱情            
(5星)	 内地难得的好戏。            
(4星)	 天若有情 天亦老   爱是什么 可以藏得如此之深            
(4星)	 i cannt say anything            
(4星)	 就看这片儿觉得董洁演的好。            
(3星)	 天若有情天亦老 人间正道是沧桑。。。=_=            
(3星)	 记得某人大爱啊。。。            
(NA)	 看了一半没有看下去            
(3星)	 原来她叫陈孝萱...            
(5星)	 我爱六月            
(NA)	 胡编乱造的剧情。。因为喜欢“表哥”才看！唯一的感慨就是“君生我未生，我生君已老”            
(5星)	 非常经典的连续剧！喜欢董洁和车仁表，希望季和展能够走在一起！            
(5星)	 最喜欢的电视剧！！！！            
(4星)	 董洁的那个角色有着少年老成的意味，剧中多是那些纠折的感情。            
(3星)	 三分给董洁。            
(4星)	 大爱董洁            
(4星)	 喜欢 编剧不错            
(3星)	 這是我所喜歡的大叔蘿莉愛嗎            
(1星)	 剪不断理还乱的感情线。很多年前看得，现在只记得这个了。            
(NA)	 董洁很纯洁。            
(5星)	 最该满意的岁月都不满意，以后只会越来越不满意。对这部电视台词印象深刻。            
(4星)	 初中看的            
(3星)	 片子没多看，对我最大的影响是“爱情，就是在对的时间遇上对的人。”            
(3星)	 看过 觉得挺无聊的            
(4星)	 因为很喜欢六月和陈孝萱，所以深深被迷上了，也深深的为六月的李玮凡心疼，这么一个活得过于清醒的女人，究竟是好还是不好呢？            
(4星)	 太喜欢了。不知为什么。            
(5星)	 一度让我很着迷...小凡这种女性简直是我的偶像！            
(5星)	 绝得当年服了董洁的演技。这个角色很难刻画            
(5星)	 没有季东阳的我             
(4星)	 这个片子虐得… 董洁好喜欢。            
(3星)	 其实觉得黄志玮跟陈孝萱演得更好。            
(3星)	 真的 我真记得这个！...            
(5星)	 展颜            
(NA)	 就是从这部剧开始喜欢洁姐的。。我喜欢展颜这个角色。。真实而不俗套。。剧情很纠结。。也刻苦铭心。。真心喜欢！            
(4星)	None
(5星)	 当时看的时候还是初一啊！一天晚上发着高烧，看着天若有情，想着某人。。当下泪流满面，无法自恃。            
(3星)	 投身于叔控和畸恋的洪流            
(5星)	 只是爱你，与你无关            
(NA)	 固执的爱一个人            
(5星)	 很喜欢的组合==！！！！！！！大叔和少女            
(5星)	 真好看。。。             
(5星)	 曾被感动到，因为爱情的无助            
(5星)	 我爱这部剧。            
(4星)	 前面好看 後面多餘            
(5星)	 当初看剧的时候被车仁表迷死了！            
(4星)	 天若有情天亦老……            
(4星)	 喜欢展颜的名字和固执病态的自闭            
(4星)	 没有一个角色是多余的 喜欢            
(4星)	 分不清是因为展颜喜欢上了董洁，还是因为董洁喜欢上了展颜，感觉内心深处有着类似展颜的性格。            
(4星)	 小时候很迷啊 觉得车仁表特别帅            
(4星)	 六月，董洁，车仁表，原来都是我的菜 啊            
(4星)	 把季东阳和李玮凡那点片段看了好几遍啊~哈哈~喜欢。            
(3星)	 这韩国人一看就不是好人啊。。。 以前就是这么想的。            
(3星)	None
(2星)	 这个剧磨磨唧唧的 对黄志玮和六月的组合印象很深            
(5星)	 还是第一部好看，车仁表和董洁纠缠的爱，是亲情还是爱情，是同情还是相互依赖的离不开，每个人都有自己的钟情，强烈推荐，里面的插曲和台词是真好，演技也不错。            
(NA)	 以前好喜欢这个剧啊，往年恋啊，抑郁症啊，叛逆少女啊有木有。话说六月和在台版《梁山伯与祝英台》里差距好大哦。            
(5星)	 曾经好喜欢好喜欢这部电视剧 TT            
(5星)	 最近又好想再看一遍~~            
(1星)	 不知道为什么很不喜欢这里面的董洁和车仁表            
(4星)	 董洁真是单纯天真无暇啊            
(4星)	 ～            
(5星)	 看这个喜欢死展颜了。            
(1星)	None
(NA)	 车仁表啊            
(5星)	 影响我很多            
(3星)	 车仁表帅...            
(4星)	 车仁表            
(3星)	 剧情太复杂  无力的跪了            
(2星)	 老纸真心欣赏不来董洁啊，黑心女装小白兔戳雷点啊完全不喜欢            
(5星)	 季东阳，我生命中的唯一阳光            
(3星)	 父女恋            
(2星)	 那时候我妈天天看            
(2星)	 很假 剧情也烂            
(5星)	 非常棒！！力荐！！            
(5星)	 老早就科普我们大叔控            
(4星)	 感人的情节非常多，觉得作者很有才，导演拍得也不错。演员形象和演技都很到位，尤其是周大山哈！　本来只是想随便看看，没想真的很好看的！            
(4星)	 那个时候真的纯洁的像只兔子啊....            
(3星)	 我真心不喜欢。。            
(5星)	 我特喜欢            
(3星)	 很久前看的，挺唯美的            
(4星)	 王琪王琪王琪            
(3星)	 狗血。。。但是季东阳真的真的很帅。。。            
(NA)	 喜欢那性子            
(4星)	 任性固执的展颜很特别，董洁演的好清新可人。我一直相信季东阳和展颜之间是爱情，因为他们彼此需要对方的爱。可惜。。。            
(NA)	 挺纠结的剧。。            
(4星)	 现在看觉得在某一程度上季冬阳和展颜都很自私，当时我多么希望他们一起，现在也是~            
(5星)	 从这部电视开始喜欢董洁。            
(4星)	 主题曲&lt;祝你幸福&gt;好听..            
(3星)	 到现在也没看过结尾。            
(NA)	 这部剧后来出到2还是3我看的都不想吐槽了。冷眼。            
(5星)	 太爱这部电视剧了，许多台词都太经典……            
(NA)	 大爱李纬凡            
(5星)	 以前超爱的            
(5星)	 为啥不能在一起？因为要让剧情发展下去！导演是个P！！            
(5星)	 可惜季冬阳走了，如果他们只活在他们的世界多好呀            
(3星)	 有点神经            
(4星)	 当年觉得很好看的剧            
(NA)	 我有那什么什么情节吧            
(4星)	 这部电视剧让我久久不能忘怀~            
(5星)	 爱，多不容易            
(4星)	 我记得我是高中的时候看的，本来没怎么当回事~后来发现真心好看~第一部比第二部好看太多~这种老少恋啥的~是多么的有爱~！插曲《赔偿》觉得好有感觉~奇怪那个歌手怎么一点都不红啊。。            
(4星)	 少年时看过的 车仁表一度成为我的梦中情人 O(∩_∩)O哈哈~            
(5星)	 当年特别喜欢的一部电视剧，展颜和季冬阳，应该在一起啊！            
(5星)	 爱虐恋的开始            
(NA)	 喜欢董洁            
(5星)	 我喜欢你，不是你的一辈子，而是我的一辈子。            
(4星)	 那时觉得挺好的~喜欢董洁~            
(5星)	 里面音乐好好听呢。超喜欢            
(4星)	 一直都是大叔控            
(NA)	 很爱很爱的一部剧 爱到不能再说什么 无论是车仁表还是董洁还是那个心理医生 都大爱···            
(5星)	 还感动的勒！强迫症的小孩都有受伤的以前            
(4星)	 我喜欢 车仁表 董洁            
(NA)	 不能接受的就是展颜最后竟然跟了个长的比季冬阳还老的男的……            
(4星)	 那时候反正就看了            
(4星)	 这部剧总能使我想起亦舒的《圆舞》            
(4星)	None
(5星)	 喜欢小凡~ 我努力的目标！            
(NA)	 当时看这剧的时候真心纠结了！            
(NA)	 对畸形的东西一向有好感            
(NA)	 多萌董洁的当年            
(3星)	None
(3星)	 董洁美呀，车仁表蛮有男人味的，这部也是中韩合拍中水准比较高的一部。            
(4星)	None
(5星)	 爱 没在对的时候            
(3星)	 喜欢董洁说话的语气，字字精炼            
(4星)	 很早看的电视剧了，看片名还以为和亦舒什么关系呢            
(4星)	 那时候的董洁还是个孩子。            
(2星)	 有一阵子很喜欢车仁表啊……            
(4星)	 当时很红的电视剧 董洁演很好 但是我一直没明白剧情 没连着看过            
(4星)	 大叔啊  董洁好萌！            
(4星)	 蜀黍萝莉的鼻祖！            
(5星)	 小时候看苏的要死啊有木有- -            
(NA)	 当年我最爱的电视剧。很喜欢            
(4星)	 很喜欢董洁和六月。            
(NA)	 扯淡            
(4星)	 从那时过来的。感觉。            
(5星)	 爱和道德伦理无关            
(2星)	 超讨厌车仁表啊！！！情商低了。。。            
(2星)	 狗血            
(5星)	 最深爱最理想最感动。            
(5星)	 不能在一起，，，应该是真爱吧，即使是掺杂了一些恋父恋女情节，它仍然是爱情。            
(4星)	 台词很那个，再加上缓慢的台词节奏——            
(4星)	 很干净            
(3星)	 哇~~~几百年前看过的了，当时超爱车仁表哇。。。。。            
(4星)	 虐死了            
(5星)	 想到就難過。            
(2星)	 我就记得，董洁孤僻又纯洁的天使样儿......            
(3星)	 一部莫名其妙的电视剧            
(2星)	 实在是。。。。。不好评论这部  实在是无聊到不行看的片  这位车人才的脸型实在是。。            
(5星)	 这也...太好看了吧~~~            
(3星)	 话说那个时候车仁表还是演了很多中国制造的片子            
(5星)	 看过这部天若有情很多遍。每次看都觉得很好，很让人感动，。总会引我想很多。，董洁演的很有味道。剧情让我很喜欢，却在结局有点小遗憾，也许也因为这种遗憾让我们对这部作品记忆尤新吧。。。            
(3星)	 这个片子还蛮有意思的            
(4星)	 虽然我是个叔控，但我完全不能理解季东阳的魅力在哪里。喜欢李乐，喜欢六月。            
(NA)	 当年觉得车仁表帅呆了！！！            
(4星)	 各种禁忌恋啊~王琦吼的那段话秒杀了我：我有什么毛病？我的毛病不就跟你一样吗？不就是心里爱着一个人吗？！            
(4星)	 其实我们也曾是展颜，我们也爱过一个季冬阳。            
(5星)	 就是很喜欢            
(4星)	 董洁好可爱哦            
(5星)	 请原谅我已无力再坚强，请你相信实非我所想            
(3星)	 那个为了引起重视而偷东西的行为印象至今深刻            
(4星)	 最喜欢的一部国产爱情剧 想再看一遍            
(3星)	 不是蛮喜欢男二号啊            
(NA)	 貌似。。。            
(NA)	 萝莉恋大叔什么的，慢慢成形。啧啧。初三毕业那年看的入迷到死。“你不曾把我放在心上。。。。”            
(NA)	 ！！！！又是一部哭死人的经典。。。            
(4星)	 高二每晚回到哥哥家守着看            
(3星)	None
(4星)	 就是因为这部戏我才那么讨厌六月==            
(NA)	 N年前啊，            
(4星)	 展颜，就是笑开来的样子。            
(NA)	 高中时候的电视，只是记得董洁演的实在太好了，当时我还在分析里面的展颜性格。            
(4星)	 其实现在看来不喜欢颜颜了。            
(4星)	 至少讲了点别的东西……好吧我对国产剧就这么点要求。。            
(4星)	 好爱展颜  好爱小凡             
(1星)	 董洁。。。就感觉她学过舞蹈。。。            
(NA)	 挺喜欢的            
(5星)	 喜歡男女主. 喜歡心理層面的分析. 好劇.            
(5星)	 我也想知道答案。            
(3星)	 董洁            
(5星)	 百看不厌~季展~            
(4星)	 我超超超爱~            
(4星)	 正经挺喜欢车仁表呢　当时～～            
(5星)	 里面情节看后，很久都忘不了。。说明还是很金典滴            
(NA)	 我的恶趣味在于喜欢看禁忌的感情。            
(1星)	  = ,=            
(4星)	 相差18岁的爱情，是多么美丽，又是多么令人绝望啊            
(3星)	 她偷东西只是为了引起他的注意，只是害怕他会丢下他。董洁在里面的表演很有印象            
(5星)	 凄美的爱情故事，曾经一度迷恋不可自拔的恋父情结            
(3星)	 只有董洁值得一看            
(4星)	 我觉得挺好看的啊，为什么分数那么低。。。好吧，我承认我就是看董洁的。。。            
(4星)	 大概是看了这部片子，开始喜欢上叔叔年龄的男人吧. 只是：between spring and autumn, there is always summer.            
(4星)	 清纯的董洁和温暖的车仁表。            
(5星)	 学会爱，是个永恒的课题            
(5星)	 喜欢董洁，喜欢那种单纯的感情，只是季叔你不接受            
(NA)	 还是难看            
(4星)	 天亦老            
(4星)	 前半部分好看，后半部分一般。不过认识了六月。            
(4星)	 都快忘了曾经很爱这部电视剧，也很迷恋车仁表，好像从《星梦奇缘》开始。禁忌的东西总是充满诱惑力。有空我也回顾一下~            
(3星)	 我那时候觉得董洁好漂亮的～            
(3星)	None
(5星)	 喜欢里头的那个心理咨询师，可惜到了第二部她变得很变态，这也导致我第二部看了几集便放弃了。。。~            
(4星)	 感情都很深厚。。。喜欢王琪的声音            
(NA)	 很好看啊·很好看··小时候很喜欢···            
(NA)	 爱畸恋。            
(4星)	 这一个男的怎么那么多人爱            
(4星)	 大爱董洁和车大叔~~~            
(5星)	 从这里喜欢的董洁。。。            
(5星)	 介系重口味地            
(3星)	 有几首插曲还挺好听的            
(4星)	 恩，迷上里面的歌，很好听，恩，董洁还是这个时候最好看啊~~~            
(3星)	 原来里面有六月啊 我都忘了~            
(3星)	 受不了表兄永远都那一个表情            
(4星)	 我恨  哼             
(4星)	 一段不被看好，违背世俗的爱情，在经历了种种考验后，结束了....            
(4星)	 当时看的时候就一直想着展颜应该跟季东阳在一块、、、            
(4星)	 展顏 展顏            
(NA)	 难得让我爱你那么难。            
(5星)	 最爱颜颜 很感人 曾经看过 不过只看了前面 今天突然想重看 坚持到end.            
(3星)	 难得好看的国产电视剧，关键演员选的好啊。车仁表，董洁，陈孝萱，施羽都不错            
(4星)	 畸形            
(5星)	 的确是很喜欢这部电视剧，特别是展颜说的每一句话都直达人心，很希望季展最后能在一起，可是现实就是如此，或许季是太过爱展了所以也不敢踏出那一步！            
(5星)	 我喜欢展颜            
(4星)	 爱让心迷了路。            
(4星)	 六周年了            
(NA)	 挺感人的            
(3星)	 天若有情。。。刚提到过。。。            
(3星)	 董洁            
(5星)	 千言万语             
(5星)	 让我想起亦舒的《圆舞》            
(NA)	 董洁  好纯真  好深情  看的也很难过            
(4星)	 当年 很喜欢看的一部            
(5星)	 这是一部我看过无数遍的电视剧！好看，真好看！            
(4星)	 颜颜，要永远爱着季叔。            
(3星)	 车仁表……            
(2星)	 呃。。。一拖再拖            
(4星)	 这个剧虎头蛇尾的，后来就乱了            
(3星)	 这部片子我记得特别清楚！高考的时候我一直在看……            
(NA)	 萝莉爱上大叔的故事= =            
(4星)	 天若有情 ，天亦老            
(3星)	 第一季的前几集简直太惊艳了 狂爱表叔叔 不过之后的简直就是无法入眼了 不知道编剧在干嘛 难道是编不下去了吗            
(4星)	 于是我发现我看过好多内地片 而且都还记得  - - 这片儿还不错 当年电视台播 看过很多遍             
(NA)	 太魅惑            
(4星)	 我总觉得大多数人心里都有恋父情结的。            
(3星)	 高中的时候看过这么神奇的剧。突然觉得要是个男孩儿就萌了。            
(3星)	 纯粹为了看董MM            
(5星)	 看完此片，就再也放不下董洁了。。ps所谓2就是垃圾。。            
(5星)	 养父养女的忘年恋啊啊啊啊啊！！！结局太坑爹了吧，这俩人叔侄关系，木血缘木同姓神马的也构不成乱伦吧，我勒个我去的所谓和谐大结局。            
(3星)	 一脸忧郁的男主角。            
(4星)	 由此爱上老男人啊！！！            
(4星)	 乱了一腿            
(4星)	 超有感觉的一部电视剧，至今难忘，喜欢董洁演的展颜            
(4星)	 喜欢董洁            
(5星)	 男男女女都爱。            
(NA)	 理智控制情欲            
(4星)	 天若有情天亦老            
(4星)	 董洁在里面演的好嗲            
(4星)	 那个时候特别爱看。            
(4星)	 喜欢             
(4星)	 跟妈妈看的 那时候每天都看            
(4星)	 这个片儿记忆深刻            
(5星)	 我喜欢这样的故事。            
(4星)	 那时侯的那两首歌，看得很心痛，至今都记得！            
(NA)	 其实看过=。=  忽然想再看一遍。。            
(3星)	 我心中的董洁            
(4星)	 董洁，嘻嘻            
(4星)	 第一部好好看，可是第二部就。。。            
(3星)	 评分低的根本原因：不喜欢董洁……            
(3星)	 记得颜颜不止一次地说我就要溺死在你的爱里，o(╯□╰)o            
(NA)	 这是国产剧里面我最喜欢的一部电视剧了            
(5星)	 董洁那个漂亮啊。。。            
(4星)	 看小说的时候突然想起来情节有点类似的这个剧，开头还挺好看的，“父女”恋啊。。。            
(NA)	 是看这个剧喜欢上董洁的            
(3星)	 展颜偷东西。。。            
(NA)	 这个曾经让我哭的稀里哗啦的电视剧            
(5星)	 至今念念不忘            
(3星)	 我还好，某人因为这个迷上车仁表，反反复复看了好几遍.........            
(4星)	 。            
(5星)	 为嘛两人最后没有在一起，好伤心好伤心！！！            
(5星)	 还记得季东阳车祸的那次，展颜的歇斯底里，“只要你能醒过来，我保证不再爱你~”            
(NA)	 天亦老            
(4星)	 六月和董洁，比较喜欢里面的样子。            
(5星)	 我好喜欢展颜            
(3星)	 其实很喜欢那个古怪却又倔强的董洁，和那段畸恋。这个老少配得有点严重@Home            
(4星)	 结局令人郁闷之极，简直怀疑不是一个编剧。p.s.曾认识一个同展颜很像的女孩子，一样的灵气逼人文采出众，一样的性格乖戾心底善良，这样的女孩注定是甲之砒霜乙之蜜糖。            
(4星)	 素来对病态的女子有一种固执。            
(NA)	 我觉得在国语片中真的真的很不错了            
(4星)	 当年看时还是很喜欢            
(4星)	 伦理啊！我稀饭！            
(4星)	 不知道想表达什么，但是忍不住追下去            
