http://movie.douban.com/subject/4303681/	欢乐合唱团  Glee Season 2
(5星)	 比第二季的音樂選擇更贊了哈哈哈哈哈哈~            
(3星)	 可算完了....            
(3星)	 我就看看小甜甜。剧情狗屎到一定境界了……            
(3星)	 6.2/10 勉勉强强拖完，在犹豫还要不要追第三季，finale简直无聊得要死....            
(5星)	 等待秋天！            
(5星)	 好多泪点。。。9月再见！            
(5星)	 ……我真喜欢布兰妮和桑塔纳那对 给那对在舞会上的部分也很萌！！！！！！！！！！            
(4星)	 我就爱音乐            
(5星)	 lucky什么的实在太好听~            
(4星)	 编曲和舞台设计满赞哦 最喜欢了            
(3星)	 弱到爆的一季，买歌附赠剧集哟！            
(5星)	 the gayer the better!最爱Quinn!其次爱Santana,Britney和Kurt!            
(5星)	 剧情就不说了。五星给音乐的            
(5星)	 看这部剧，只想证明，我曾年轻过，并且还在年轻着。            
(3星)	 第一季是由剧情来带动歌曲, 所以觉得每首歌都很精彩很值得回味; 第二季是由歌曲来带动剧情, 所以不免觉得剧情太弱太牵强. 其实从第一季的第13集后这部剧的水准就开始不断下降了, 不过第二季的配角故事线比第一季精彩得多. Kurt这条故事线很值得看.            
(5星)	 喜欢死啦！！            
(5星)	 必须给五星！            
(4星)	 “If you have to make a choice, you have to visualize both of the options.” 在NY只有Kurt想到了去做最浪漫的事啊！！Blaine最后托腮说“I Love You”简直萌翻了了啊！！！            
(4星)	 就是来听歌的 看一些好的表演者唱歌时的表现力 重点是为了让剧继续 就是不能让new direction赢就是了···            
(5星)	 又完了！！！TAT            
(5星)	 很喜欢 视听的享受 让人所有的细胞都能动起来            
(5星)	 很激励人心的歌舞表演，剧情嘛是有点瞎，但此剧的精髓完全不在科学逻辑的剧情上，力荐！            
(4星)	 有狗血，但细节之处又有讨人喜欢的成分，有些翻唱很好听，总体比较欢乐，值得看。            
(4星)	 没有第一部好玩了。            
(4星)	 最后一集真好看（NY，I love you，too            
(5星)	 如果有六星我真想打六星。本来我就是心心爱着百老汇的女人。歌都很好听，很激情，很热血。最后一集很好，rachel和kurt在百老汇上唱的我热泪盈眶。santana我真想和你搞拉拉。jessie又出场了那一首rolling in the deep唱的我真是爱死你了。            
(3星)	 最理性的方式就是放弃，第三集不看了，NND            
(5星)	 完结了好寂寞TVT。。。等第三季！！            
(5星)	 剧情弱什么的谁在乎啊，只要歌舞还glee就行，对于给我欧美流行口水歌的普及功不可没~            
(5星)	 越来越喜欢这部剧给我的惊喜了、很多次让我觉得美好到差点掉眼泪。            
(4星)	 我很疑惑。。这一季看了一半那个有着超级搞笑口音的印度校长怎么突然不见了。。好像没有任何交待就换成了那个专门和合唱团做对的女人了…… 婚礼是我最喜欢的一集，重组的家庭，老爸和老妈平实的表白带来好多好多的感动~~            
(4星)	 这个结尾实在是。。。            
(5星)	 比第一季好，很粉            
(5星)	 大爱！！！好活泼，不像看GG那样越来越没劲，也不像看CM那样这么严肃……最重要的是K和B太有爱了！每集里的歌都翻唱的很好听~~人家是坚定的Klainer!两只甜蜜就是咱的幸福！坐等S3中……            
(5星)	 Amazing Music+部分出彩的剧情+一群可爱的、美丽的、有个性的演员+很不错的台词。最后一集的老纽约和音乐剧情怀都很美好。不过最后的结局比我想象的平淡，不过也好，可以安静地等待下一季的到来。            
(4星)	 求求你了，给Sunshine多一点的戏份吧            
(5星)	 I keep the last episode unwatched untill Season 3 coming hah!!!! gd job new direction. glee go!!!!!!            
(4星)	 有好有坏。。。            
(4星)	 才十二名这是准备拍10季才得冠军吗。。。Finn就那个死样子好丑里八怪怎么办，是只有我一个人觉得Quinn越看越不舒服嘛。。。            
(3星)	 五星都是被粉基们捧起来的吧            
(5星)	 无啥可说，剧情方面加强点就完美了。不要这么跳跃了，别想到什么就编什么剧情            
(5星)	 Pretending            
(NA)	 期望太高不是个好事。            
(4星)	 除去女主我都爱！            
(3星)	 一个路子，看多了就腻，britney的客串也坑爹。实在是讨厌kurt啊！从没遇到个一看就讨厌然后看完2季还这么讨厌的角色            
(3星)	 Kurt刚转校后戏份好少！剧情能不能别这样狗血，再这样狗血偶像受不了了！！狂爱Brittany了！！E18，Kurt终于归校了。我越发爱Brittany和Santana的支线了。讨厌粗眉。            
(4星)	 居然内人是gay~~~ 不过猜也猜到了!            
(4星)	 ……怎么比S1分数高 搞错了吧 这季很多歌都不行啊            
(4星)	 虽然身边没有一个人在追这种剧情烂到飞起直接可以忽略的音乐剧，但我还是超爱百老汇范儿的霸气十足的巨型MTV。。。新加入的山寨justinbieber和小辣椒太棒了！            
(1星)	 没剧情 没人性 一颗星也是为了里面的歌            
(5星)	 KURT实在太迷人太可爱了请一定要让他幸福啊【我怎么有种嫁女儿的心情啊！F唱得不怎样长得不怎样人也恶心【可惜了我的Q啊TAT。全国赛那个kiss简直要气死我。之前男生里除了KURT最爱就是PUCK，我不歧视胖人但PUCK跟那个一点都不可爱的胖妹一起真的太掉价了以至于现在看他不管怎么耍帅都已经完全无感…            
(5星)	 陷进去了这一季            
(3星)	 说实话吧 这片子没有miss sue 基本上没啥看头了            
(4星)	 女主太讨人厌了            
(3星)	 桑它那把头发放下来后 迷死人了            
(3星)	 和第一季比起来差太多……            
(3星)	 除了tik tok 其他歌是真好听            
(3星)	 格温妮丝帕特洛值十星啊啊!            
(5星)	 每首歌都让人热血沸腾啊！            
(4星)	 虽说我不是腐女，但是好喜欢kurt跟他的男友，好般配啊～            
(4星)	 林莺的歌满满都是编辑的基情啊，以后坚决不看同志编剧写的狗血剧了。第二季的歌明显口水了一点。            
(NA)	 我还蛮喜欢santana和那个金发女的            
(4星)	 第二季每个人都是主角，对戏份分担更平均，性格刻画上比第一季丰满的多。格温妮丝客串对着WILL香蕉鞋拔搞笑脸调情有点违和，恶搞JB DIVA那集是真心爆笑。Puckerman又型又蠢，可爱的让人无法直视，其实我一直期待Jessie的惊艳回归...当然Sue姐最屌不解释            
(4星)	 本来想看完第一季就弃的，怎么突然觉得很好看~还有，Rachel那有爱的一对儿爸爸怎么不露脸啊！！            
(5星)	 不信了不信了再也不相信爱情了！！！            
(NA)	 看这个只是为了听歌的。。。。            
(3星)	 这部乱七八糟只能听歌的剧也就值三星吧            
(4星)	 歌依然好听，剧情依然狗血，rachel依然讨厌。            
(NA)	 挺好看的! 质量没有下降吧.～            
(5星)	 最后竟然还是败了，编剧真讨厌！            
(3星)	 已经从第一季的擦边球变成了刻意卖萌卖腐，还好歌选的还不错。            
(5星)	 没有什么比最后一集在ny发生更美好的了～～～～～I love every Glee kid， Finn渣到最后还是没有讨厌起来            
(4星)	 第三季来吧！！！            
(3星)	 编剧们太抽风了。             
(5星)	 Get it right!  CC I LOVE YOU!!!!!!!!! 我爱Glee！！！剧情爱情什么无所谓好不好！有那么多美好的歌曲音乐还挑剔神马？！原创太棒了BRAVO!            
(5星)	 欧亚小混血很Q！！            
(2星)	 好吧，我实在是被高分吸引去的，强行看了5集要吐了。我觉得我还是一个热血校园剧的支持者呢。结果，烂俗的热门歌曲翻唱，空洞无物的支撑情节，你们到底在迷神马？！是偶有大牌客串，是小人物个性有些特色，可是40+分钟一集，煎熬阿            
(NA)	 这一季的歌都好棒 &gt;w&lt;            
(5星)	 他们演高中生挺像的～结果一看都是年龄大的，finn怎么看起来那么嫩呢            
(5星)	 要真夺了冠下季还看什么呀。。            
(4星)	 第二季就这么结束了。。。还要等好久啊！！！            
(5星)	 音乐往新歌发展了。。还有kurt和blain之间的感情，我第一次这么看好一对gay。            
(5星)	 好看到坑爹啊有没有！！！我就是喜欢看这种的！！！            
(4星)	 目前唯一跟的美剧，可以听听美国流行的歌曲+看看歌舞+养眼。还是那美剧通病.. 几个角色关系交差错乱的无奈啊..  角色budget有限，就这么几个人，那就只好乱来来咯.. 体谅体谅..= =   那我还是赞那唯美系的日剧，爱情是贯彻始终曲折婉转，不管几分真实，代表人心里美好的愿望            
(5星)	 等第三季！！！！！！！！！！！            
(5星)	 剧情狗屎烂，歌舞一级棒            
(4星)	 我真的对结尾吐槽无力。。对Finn渣吐槽无力、、、            
(4星)	 剧情狗血，歌太好听了。第一季结束后为了苏姐决定继续看第二季，这一季结束后为了santana决定继续看第三季。            
(4星)	 第二季比第一季给力哈 从今以后我就是为了BLAINE追这剧 无视男女猪脚F和R            
(4星)	 宅在家里把各种美剧都快看了个遍啊。。。            
(4星)	 拜托第三季剧情靠谱点吧            
(NA)	 我爱Finn的颜和他的无辜眼神❤            
(5星)	 比S1更好看了！誒嘿！期待S3啊！            
(4星)	 对剧情没有任何期待的情况下还是觉得结局很是仓促 有木有。。            
(3星)	 呃。正聊着突然唱起来，让我一直闪回《新白娘子传奇》……            
(3星)	 第二季没有一好看。最后几集还行            
(4星)	 千万别计较情节，当成超长MV看吧，绝对有惊喜            
(5星)	 感动与欢乐同在。青春真美好。            
(4星)	 越来越纠结= =            
(4星)	 總算沒了.坐等下一季            
(5星)	 听歌去了            
(5星)	 比赛那首合唱好听/3\            
(4星)	 每当美剧一季结束的时候都让我觉得好孤单好寂寞。那些看完上集等不及下集，生肉一出先过眼瘾的日子要结束了，真的好难过，不过好消息是GLEE续约了下一季！这一部从歌曲选择上我觉得比第一季要好，但是歌曲编排和剧情细腻度没有第一季那般响亮！下一季他们就要毕业了，我想GLEE应该要划上句号了            
(5星)	 好看好看             
(2星)	 It&#39;s boring than before, about couple I still prefer Finn&amp;Rachel. But Kurt is so cute&gt;&lt; I love Kurt! Good-bye..P.s:I still feel uncomfortable when I find finnaly I choose watch this suck commity which always shout about leave out and sex with other&#39;s boyfriend or girlfriend....            
(3星)	 开始正式搅基了，直接从第6集开始看呗            
(4星)	 唱唱又跳跳            
(4星)	 歌舞剧就是欢乐～            
(4星)	 多数观众对翻唱好歌制造音乐剧噱头感兴趣，爱看所谓剧情的还是请回家看韩剧吧谢谢。            
(4星)	 开始新故事了~~            
(NA)	 劇情依然和第一季一樣，就是亂來的。完全是MV串場的故事版而已。還好歌不錯。            
(5星)	 剧情是浮云，萌点需自理            
(NA)	 跟1比起来 第二季多了好多说教的价值观  到最后完全是冲着santana看的！！            
(NA)	 要不是kurt小两口我真得看不下去了。。            
(4星)	 这季是为Britana&lt;3            
(5星)	 给个五星，虽然有些剧情真的很低级和幼稚，但是就是这样的青春励志题材却总是能打动到我&gt;&lt;有些时候看一集Glee都会觉得心情瞬间明朗很多，很喜欢剧里人物乐观向上的心态，也很佩服，而且最关键的就是歌越来越棒了！！Totally awesome！！！            
(5星)	 New York集百老汇，嗯，我的梦啊也是。            
(NA)	 男校什么的能不能不要那么娘啊            
(4星)	 这么烂的电视剧，竟然让我有欲罢不能的感觉。            
(4星)	 还是一样，剧情狗血，歌好听。            
(4星)	 嗯 有几首还是不错的            
(4星)	 始终很讨厌Finn。。。            
(4星)	 22集是本季亮点！            
(NA)	 弃            
(5星)	 尽管这出show有时很雷有时剧情乱七八糟，可让我从第一季第一集就开始追的魅力就是它的ridiculousness x hearts&amp;tears and the songs！！ Oh yes, eat your heart out Kate Middleton~            
(4星)	 最后一集的色彩搭配美呆了~~如果不喜欢听歌的话，就不要看这个剧了。            
(3星)	 腰斩,没什么意思了感觉。            
(5星)	 剧情肿么越来越傻逼了……            
(4星)	 结局还不错 但没有第一季结尾惊艳 brittana最有爱了 我的Jessie啊编剧能不能别让他打酱油了 结尾sam和mecedes好囧             
(4星)	 perfect ending！！！！格温妮丝客串的每集都精彩。越来越喜欢santana！！！！等九月！！！！！！！！！！！！！基友才是闺蜜啊！！！！！！            
(5星)	 越来越讨厌蕾切尔个傻逼            
(3星)	 敢不敢不要乱搞男女关系，你们只是一群傻逼高中生            
(5星)	 好的。。一个学期又过去了。。。            
(4星)	 不管剧情多么狗血，是不是校园版的GA，这都是一个关于梦想的故事。            
(4星)	 剧情减弱 只听歌也能给四颗星了            
(5星)	 amazing！！            
(NA)	 有木有人发现啊kurt唱歌时候包牙的，看不见他上面那排牙齿基本，下面嘴张大才能看见            
(3星)	 好像感情上的平行世界，编剧写不下去的时候就随便找两个角色搞一搞，不需要前因后果。所以，直接忽略情节，纯粹听歌了。            
(5星)	 标记            
(5星)	 第一季我给了几颗星？第二季多给5颗……除了FRQ三个人搅和来搅和去，剧情也很赞。而且@LV 我现在对Sue有些好感鸟。            
(3星)	 请无视剧情的前因后果。。。有的伏笔伏了一下就再没有出来神马的不要在意啊！！！他们只是忘了这个梗而已。。。听歌。。。听歌就行。。。【尼玛说起来我当年看第一季第一集的时候还你妈哭了啊【好吧这一季最后一集我也哭了【尼玛这种剧情我都被戳泪点我是闹哪样啊            
(4星)	 大爱kurt和Blaine这对gay~太有爱了~emma的眼睛大的都快掉出来了...好像小鹿斑比~还是觉得mercedes的唱功比rachel好~santana最美~britney最呆~sam最帅~            
(5星)	 You light up my world！            
(3星)	 为什么就是喜欢不起来……            
(5星)	 第二季的剧情明显弱智很多。刚开场的时候也明显有点用力过猛，直接导致后半场力道不够。不过这季还是有两个亮点很吸引眼球，一个是Charice，另一个是Darren Criss。夏的歌声太惊人了，Darren的眉毛太惊人了。他的贱眉直逼囧瑟夫了。            
(5星)	 这季的选歌大概是史上最强了吧!!!至于剧情。。。just say glee kids have grown up.            
(5星)	 没有第一季的激情            
(5星)	 或许是电视剧篇幅长容下了各种让我感动的细节，又或许是美妙的歌曲给我打了太多鸡血，即使剧情狗血我依然看得有笑有泪还high翻，而且我从来没有像支持klaine般支持gay couple(可能连BBM时都没有)。最重要的是Glee中性格迥异的角色都让人喜欢，总之Glee turns me on            
(4星)	 第二季太好笑了！！控制狂女王Rachel小妞Kurt贱人Santana和小萌神Brittany（等一下里面混着什么……）倒回去看第一季了&gt;&lt;            
(4星)	 剧情越来越弱，歌越来越好听了            
(5星)	 听歌就很欢乐            
(5星)	 果然还是逃不出乱搞么？！不过对这种歌舞剧真是无抵抗力啊！！            
(3星)	None
(4星)	 擦！烦死finn这个呆比脸了！要多傻吊有多傻吊！！            
(4星)	 除了几首特别出彩的 整体好像没有第一季有力了             
(5星)	 我是怎么喜欢上了看这剧情跟屎一样的剧的呢？大概因为Britney那个天然呆简直萌死我了。大概因为这季出柜了一坨子人，kurt越来越可爱。大概只是虽然梦想晚来了些，但总归是来了。            
(4星)	 狗血但是狗血得好看  也很好听= v =            
(4星)	 这一季的卖点是明星+男扮女装的教练+基情            
(5星)	 诶哟~没想到挺好看的！！！！啊！！！还要不要看书呀！！！            
(NA)	 s02e08特别好看。其他的就那么回事儿。我喜欢听punk唱歌~            
(5星)	 为了拍第三季就是不让这些孩子拿奖……容易么            
(3星)	 换点新鲜血液吧，真的没啥突破了，声音也听腻了            
(3星)	 暑假一口气看完的  追下去的理由就是brittan 还有那一对gay cp 剧情弱爆了 当mv看            
(5星)	 如果第一季我打4星 那这一季就是全5星 表示第三季还会追 这一季的原声要继续扒下来...            
(5星)	 在看第三季啦！真是一看就变回高中生啊！！            
(4星)	 编曲上比第一季有进步。            
(5星)	 love santana, sue, and of course, kurt! rachel, bitch!            
(3星)	 超级爱Brittany妹子嗷!!!还有Kurt的爹也好棒XD 另外这季关于x取向的问题真是...噗XD 看来能看到Santany了下季~&gt;&lt;            
(4星)	 剧情其实一般 但是这帮小孩都太会唱歌了             
(5星)	 最喜欢Kurt，Out and Proud。其次是April，她的嗓音太惊艳了，最重要的是我喜欢她在剧中唱的歌。第二季中的那个新橄榄球女教练Beiste也很棒，她有一颗天使般善良闪亮的心。讨厌Finn和Rachel两张方饼子脸，在镜头前晃来晃去的，论长相他俩倒是很般配。另外喜欢大嘴Sam第13集中他唱的《Baby》很有味道～            
(4星)	 后半段越看越感动             
(3星)	 布瑞特你和三塔那都很好玩儿 科特布雷恩两口子也还算招人喜欢            
(5星)	 所以第三季才能赢National么...            
(3星)	 情节和曲目都不如一，可能是我Out了            
(4星)	 校园啊歌舞啊励志啊温馨啊友情啊爱情啊亲情啊师生啊梦想啊舞台啊，对我来说太致命了！即使这第二季的剧情依旧狗血白痴，但我还是痴迷到不行~还是最喜欢Mark Salling！            
(5星)	 我花了两天时间看完的              
(5星)	 期待第三季啊！！            
(4星)	 故事情节确实要比第一季要好但是也避免不了大狗血剧情  MD那些loveline就没有一个省心的 到最后Sam竟然和M在一起了= = 新加的两个角色很喜欢 比其他的好多了= =            
(5星)	 果然还是老剧亲热            
(5星)	 santana的形象更加鲜活，找到几首喜欢的翻唱，不过剧情也太狗血了&gt;&lt;坐等第三季            
(5星)	 我觉得比第一季强~！            
(2星)	 真艰难。            
(4星)	 整体剧情连贯性没有第一季好，每一集故事太独立，不过非常感人            
(4星)	 Miss Holiday！！！！！！！            
(3星)	 有的点子挺蠢的``比如让橄榄球队跳僵尸舞什么的``上季的single lady也是``难道橄榄球就是搞笑来的吗``居然对方球队和观众还真的买账``Are you kinding me?E18很好``你生而美丽``正视缺点``价值观很好``片尾那首歌很励志``            
(4星)	 还要不要追呢？            
(3星)	 弃剧，剧情实在弱智到看不下去了……除了音乐，我对里面的任何一个角色都无爱这也是个奇葩了            
(4星)	 终于折腾完了            
(4星)	 我真的蛮佩服我自己的 忍受了对男一女一和某个配角的巨大厌恶感看完了整季            
(3星)	 超长MTV 越来越闷了            
(4星)	 所以每一季的结尾都是失败就是了= =表示还是很萌Sue姐啊 霸气侧漏的同时流露出一点小脆弱 唔 好萌&gt;_&lt;这季的心头好人数迅速扩充 呆布santana都很有爱 舞步什么的也都升级了 总之就是很萌很萌~~            
(3星)	 美剧怎么搞的。。。总是喜欢玩排列组合的老一套。。。摇摆不定的少男少女们啊！！！不过至少还有MUSIC吸引我~~~            
(NA)	 比第一季好看啊。。            
(4星)	 给两集格温和一集洛基恐怖秀加一星！            
(4星)	 除了那对亚裔 这片子还有谁是直人？            
(4星)	 满满的都是基情。            
(5星)	 剧情狗血，但很欢乐~ santana太正了T T            
(4星)	 终于看完了Glee的第二季，最后两集居然看得我哭得稀里哗啦~~唉~~            
(4星)	 kurtkurtkurt。。。            
(3星)	 为了争取让每个人都有戏份，剧情到第二季已经开始疲软，看来得多挖些八卦才行            
(4星)	 超爱PUCK &amp; rachel 这一对啊！！！原来其他几个角色声音也很棒！            
(5星)	 哪怕去Glee跑个龙套也好！太喜欢这剧了！            
(NA)	 比第一季好太多 结尾有点仓促了 不过姐姐的葬礼确实赚了眼泪 歌依然很好听            
(4星)	 完结了……            
(5星)	 忽略掉女主的脸就更完美了            
(4星)	 如果没有那些歌舞，估计三星都给不了，剧情真的太薄弱太瞎扯了            
(3星)	 每集的歌越来越pop越来越流行 剧情狗血的要死 编剧太随意 纯听歌吧阿门。            
(5星)	 第二季爱听的歌好多。mua。            
(NA)	 除了音乐还是音乐            
(3星)	 第二季的亮点就是Blaine            
(NA)	 只追kurt这条线，其他人爱怎么乱怎么乱去！|16，17超棒            
(4星)	 虽然也幸好不是皆大欢喜的结局            
(5星)	 还是今年最喜欢的美剧！虽然剧情偶尔煽情，但还是狗血巨多。虽然剧情狗血，但有好歌。虽然好多BB榜，但也时不时冒出一两首经典。角色也都越来越讨人喜欢。即使角色惹人烦，演员也很可爱= =……            
(NA)	 欢乐的歌舞日子结束了~第三季下半年见！            
(5星)	 为了看Jesse我花了一天看这剧阿....结果第二季结尾好不容易来了，当个摆设又结束了....................大爱蒂凡尼吃早餐的for good,Rachel和Kurt真像soulmate~结局全国赛的歌都不如第一季地区赛的好!!!            
(5星)	 我还是很喜欢的            
(4星)	 在我們的一生中，遇到愛，遇到性，都不稀罕。稀罕的是遇到瞭解。——For Blaine and Kurt, you are awesome.            
(5星)	 哈哈哈！当我还在对渣贱女主恨之入骨的时候，编剧棋高一着，直接把渣贱到淋淋逼里的男女主角写成了最大反派！！！他们才是阻碍“新方向”获胜的最大障碍。希望第三季能把主角的感情戏砍掉80%。            
(4星)	 还是好欢快~~            
(NA)	 剧情什么的真是浮云            
(4星)	 谁管你特么的剧情啊= =好好给我唱歌就好了！！            
(3星)	 歌舞剧的故事线总是又狗血又无聊，歌还不错……            
(4星)	 话说剧情真是越来越……            
(4星)	 剧情比较狗血。音乐还是不错的。            
(5星)	 结局好无力啊= =不过某两只的的那两句I LOVE U. I LOVE U 2 台词就足够了。。            
(3星)	 Finn真是个dreambreaker，Quinn戏份太少了，Tina根本没捞着唱，Santana：nina,escucha,soy de Lima Heights Adjacent,yo mer(?)el Orgullo.Nocosa pasa en HJ？cosa mala            
(5星)	 so amazing！又好听又励志啊！其实最喜欢奎恩的声音啊~            
(5星)	 剧情渣也挡不住我对歌的爱！            
(3星)	 大家都找到伴儿了，就Quinn落单了。            
(4星)	 超爱超爱！            
(5星)	 S2各种客串各种原创各种肥皂剧式狗血桥段。S3将会是毕业季、S4演员洗牌刷新（倘若续订），望GLEE推陈出新、不要栽在像季终集一样的脑残编排上。况且今年秋季斯皮尔伯格开发的Smash将会用全原创高端走向来与之冲击，好戏在后头。            
(4星)	 mark:empire state of mind,telephone,umbrella,teenage dream,blame it,tik tok,listen,just the way you are,jar of hearts,for good,pretending            
(5星)	 第二季的歌比第一季还要好听，我表示我真的好爱K和B在一起啊，看的我激动死了；这一季真心好看，难怪金球奖上的表现那么养眼。            
(4星)	 看完最后一集，爱死Goolsby了~~他和Sue就是两大吐槽王，居然还一个老基一个拉拉，Gaylee啊            
(5星)	 第二季好看死了 搅基部分真好看            
(5星)	 嘖嘖嘖  迫不及待的追完了！！！強迫癥最喜歡了╮(╯▽╰)╭            
(NA)	 我爱死kurt和blaine！！！戏份太少了啊啊啊啊啊啊啊            
(5星)	 剧情再给力点好吗            
(5星)	 我爱音乐剧！            
(4星)	 这一季竟然开始融入感情在看了。Finn越看越可爱。Santana的长相一直是最喜欢的。Britney每集就几句话但是全是亮点。Rachel就是个贱货。Quinn生完孩子变得好丑。            
(4星)	 矫情死了，得个第一能怎么地啊，这是要打算拍到什么时候啊            
(2星)	 剧情还是那么狗血，但第一季那些好歌都到哪去了？弃掉。            
(4星)	 虽然时常让我想起狗血的GG...whatever this &#34;soaper&#34; has its own value            
(3星)	 未成年系剧情有些无趣⋯⋯            
(4星)	 介就是一歌舞片+几个小可爱，剧情神马的都是浮云            
(5星)	 ep22 每个人都那么可爱            
(5星)	 kurt!!!            
(4星)	 因为russ我才重新追的...纯听歌...            
(5星)	 2011.5.27 季终。            
(3星)	 看到一半 弃剧.            
(NA)	 弃            
(NA)	 戏内戏外soulmate最高- -  RIB我战你妹！！！！！！            
(5星)	 总不会事事都好完美            
(NA)	 又没脸没皮地结束了，高中三年不够折腾啊，要不要集体留个级什么的？            
(NA)	 第二季blaine和kurt超有爱啊~~~~            
(5星)	 超级喜欢Kurt            
(NA)	 Loving now            
(3星)	 剧情好乱            
(4星)	 有几集很好看有几集很难看 最后一集new york theme救场成功 下一季见            
(5星)	 amazing！！            
(1星)	 除了同性恋那位演技可圈可点 其他人都做作的让我忍不住想骂：坑爹呢？            
(4星)	 歌舞真带劲，gwyneth的客串尤其精彩（先前根本都不喜欢她）。但是有硬伤——剧情走类似GG的狗血排列组合路线，总给人以内核疲软之感。            
(2星)	 Worst！            
(5星)	 有音乐谁还管剧情啊。。            
(3星)	 rachel真是让人讨厌            
(4星)	 这一季哈哈哈哈哈哈RIB你们到底是图什么？哈哈哈哈哈            
(5星)	 看Glee已经成为习惯了，发现Brittany是大神。episode 02小甜甜专集很好看；06亮点多多，Kurt终于开启了新的旅程；09 Blaine看Kurt的那个眼神，啧啧啧；10 圣诞特辑最后很感动；14 精彩的大轰趴；15 太劲爆，百合出现；16 Quinn那个美啊。            
(5星)	 第三季快来吧！ = =             
(3星)	 弃之            
(4星)	 歌不错~            
(5星)	 继续追~~XD  第三季快来吧~~` 话说一直很喜欢弹钢琴的大叔~~            
(4星)	 昨天看完空中花园谋杀案忽然想看glee，今天一看，居然觉得满好~奇怪，第一季刚出来的时候明明觉得没意思的啊。。。            
(5星)	 ！！！            
(5星)	 每周陪伴我，每周看着他们唱就会很愉快~哈哈 I AM GLEEK~!            
(4星)	 看完啦看完啦 感觉有点gossip girl 也开始混乱了             
(5星)	 Quinn美死了！只有你是单调着啊！！！            
