http://movie.douban.com/subject/3546712/	一起来看流星雨
(1星)	 我很耐心地看了一个下午，四集吧也许，我很鸡冻，同时很失望，因为我并没有看到那传说中的阿迪王……            
(1星)	 雷死我了，那个广告植入的，那个台词对的，还有那个花轮头...真是要疯了。            
(1星)	 我很想一颗星都不给。。。太囧了！！！咱们一起去淋……硫酸雨。。。            
(1星)	 听说可以向全球转播？？？=-=雷            
(5星)	 你们怎么能这样欺负国产呢？！            
(1星)	 芒果年度独播自制大剧----一起来看雷阵硫酸雨            
(1星)	 昨晚在芒果台撇到，我真想砸电视  还H4.去死吧            
(5星)	 大家一起来看流星雨吧            
(5星)	 夏天，全家都靠它制冷了！            
(1星)	 我每一秒都在吐槽实在太累了！叶朔你太不像话了，好歹姓个令狐和你哥们一起全部复姓啊！其实我们是富人啊！美邦清华同方联想香飘飘舒蕾阿迪王，我怎么可以这么奢侈！最戆卵的是编剧！这片子没有下限的！            
(1星)	 好吧，看之前我还乐观地相信是广大民众主观了愤青了，结果事实证明是我太天真：正片一开始我以为还在广告，看下去才发现是导演把电视剧当广告拍……该剧已有幸击败我心中卫冕偶像雷剧多年的《恶魔在身边》，成功垫底……只能说我服了剧组了……魏晨，看得出造型师比较喜欢你，全剧也只剩你还正常了……            
(5星)	 给山寨一个机会，进入上流社会            
(1星)	 真是雷到我这是一个外焦里嫩啊。。            
(1星)	 没看过，控制不住来点差评的             
(1星)	 不是不支持国产....真的是太有笑点了....雷...so what。。？because 我不喜欢这里.....啊~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~俞灏明那个发型彰显了脸上所有的缺点...            
(1星)	 不给一星 对不起山寨这个词啊。            
(1星)	 看过片花，没有最累只有更雷            
(1星)	 雷公电母齐齐上阵...啥叫看了雷死你，说的就是这个...超越皮卡丘的百万电压~~            
(1星)	 这片子能不能创下豆瓣史上平均评分最低的记录?            
(2星)	 原来雷人不是盖的            
(1星)	 好雷啊！！！            
(1星)	 有毛病的。。。。。            
(1星)	 前年暑假被逼看了两集，真是被雷劈了            
(NA)	 1，植入广告多，以及，把老子雷死算逑。            
(4星)	 其實拍得很別出心裁吧...結局以後豆瓣圍觀團都會空虛好一陣            
(1星)	 又名: 一起来看硫酸雨taibangle            
(1星)	 我手贱,不小心点到,所以就差评了            
(2星)	 这一定是一部喜剧            
(1星)	 这绝对是我看过最恶心的偶像剧！我他妈的连一颗星都不想给！！！            
(NA)	 很有意思嘛            
(NA)	 非常养脑子，非常非常养~~             
(3星)	 抛去无处不在的雷点，最无法让我忍受的是剧情太过反复和纠结，非要把剧中人折腾死才甘心啊？？？            
(1星)	 这就是传说中的立志大片！            
(1星)	 能拍出这样的烂片也是需要很大的勇气的            
(1星)	 继续加油....            
(3星)	 大陸的偶像劇也在進步，給點鼓勵吧。            
(1星)	 这个女主角2死了！！！            
(1星)	 我竟然看了一集还没吐            
(1星)	 到底想逼死多少人            
(1星)	 我肯定是沒有看這部的,但是看到縯員我就已經飽勒            
(1星)	 被雷翻了            
(4星)	 张翰！！！！！！！！！！！！！！！！！！！！！！！！！！看看评价，似乎没多少真看的，有时觉得这才是悲哀。从3.1到3.7，最终会是如何？            
(1星)	 天雷阵阵……            
(5星)	 端木你TMD雷不雷。山寨之王！            
(5星)	 一点也不雷~            
(3星)	 很雷很健康。            
(5星)	 国产剧好有想象力啊~大热天的就是需要这样的！            
(3星)	 烂尾了啊可惜            
(1星)	 杀人不见血            
(2星)	 笑着看完的            
(5星)	 这些人的情商实在是高！            
(5星)	 每晚的期待 雷我啊 你雷我啊！！！富家子弟逛美特斯邦威开名爵 你的头发要用蚕丝蛋白护理！            
(1星)	 看过一段楚雨荨脚瘸了还去参加比赛....完全被雷到  太恶俗了            
(1星)	 自戳双目。。。            
(NA)	 其实朱梓骁不错，哈哈            
(1星)	 其实没看过，但女猪脚太丑，直接一分。我第一次这么情绪评分，反正都那么低了，不要见怪~~            
(1星)	 为什么为什么豆瓣最差也能拿一星！！！！如果计算负分的话我建议，五星！！！给豆瓣一建议让我们扔砖头吧！！广大人民的转头时很多很多的！！！            
(1星)	 一起來看雷陣雨。            
(2星)	 俞灏明怎么可以丑的那么惊天动地....台词很雷 忍不住笑场啊~~            
(3星)	 用最纯真的心去看。还算很OK的。            
(1星)	 必然1星啊            
(2星)	 雷。阵。雨。            
(NA)	 不做评断。            
(1星)	 其实刚开始看觉得虽然剧情很山寨，但演员的演技还不错。到后来的剧情，就让人觉得楚雨荨在两个男的之间玩暧昧，中国女人就这样的么？台版和韩版的虽然女主角也是被两个男孩子喜欢着，但是绝不会和这个交往的时候却因另一个心神不宁。看到最后实在是失望，已无兴致。            
(NA)	 湖南卫视的雷人剧             
(NA)	 雷得名不虚传！            
(1星)	 脑残者治愈系            
(NA)	 一起来看硫酸雨             
(1星)	 我没看过，但我还是要给一星。            
(NA)	 哎呀妈啊，一起来看雷阵雨！这事豆瓣上我第一次看到1颗星那么长的影片！            
(2星)	 纯属鼓励            
(2星)	 要是贵族们没那么囧的努力推荐便宜货，还能看看            
(1星)	 我是来降低平均分的~            
(NA)	 我靠，回来一个礼拜才想起可以看《雷星雨》了！！！            
(1星)	 芒果囧囧更健康！！            
(2星)	 终于还是看不下去了。            
(1星)	 我是来找雷人的            
(1星)	 能不给星么?            
(5星)	 雷人不倦，雷雨不断！你对它的评价在于你从中得到多少快乐。负等于无穷大，所以我给五星，雷人新境界。不走寻常路啊            
(1星)	 雷雷更健康，大家雷才是真的雷            
(1星)	 还真有sb给五星~~            
(5星)	 你们太坏了！这戏带给人民无尽的欢乐你们怎么能如此忘恩负义！！            
(1星)	 自虐啊自虐            
(1星)	 看过1分钟也算的话...            
(1星)	 为什么你这么轻易打破我的最低承受底线            
(1星)	 我没看，但就是想差评~            
(2星)	 唉，广告多确实是问题，大家演技嘛也马马虎虎，可是我觉得不至于一星这么低吧            
(1星)	 越雷越好看.可惜后面不雷了.无聊.            
(1星)	  忒好看了            
(1星)	 台词 雷，造型 雷，剧情 雷，十足雷阵雨，该回家吃饭了。            
(1星)	 堅持看了15分鐘後，胃就開始抽痛了。            
(1星)	 拍成这样居然还烂尾了            
(NA)	 一起来看雷阵雨            
(1星)	 我决意当成cult片来看 |我抗雷指数不行啊..看不下去了= =             
(NA)	 这么好的头发，要用蚕丝蛋白护理哟~~            
(4星)	 可以看，看完不会死。鉴定完毕。            
(5星)	 一边看一边骂，真是过瘾噢。如果想发泄的想呕吐的想抓狂的，强烈推荐此片。此5星的由来。            
(3星)	 感谢给我的笑点……            
(1星)	 喔哦~            
(3星)	 比想象中好多了，还蛮搞笑的。立体的果然比2维的图片上镜很多，也比《天天向上》里宣传的漂亮。。本来想看看厦大怎么美，ms取景的地方没什么长镜头啊。。另外，谁把俞从片子里抠掉？            
(5星)	 我觉得很好看啊，哈哈哈            
(4星)	 我还蛮喜欢郑爽滴。            
(1星)	 V587 雷中奇葩            
(1星)	 编剧智商太低了！            
(1星)	 !!!!!!!!!!!!!!!!            
(4星)	 突然迷上了张翰和郑爽， 连夜看完。            
(2星)	 咱能不这样么            
(3星)	 其实确实还可以            
(NA)	 看完就血洗芒果台。这他妈简直就是贬低大众智慧~！            
(2星)	 马桶台的垃圾电视剧。为了国民大妈哥看了几集            
(NA)	 這個結局分明就是說準備拍下一部……            
(2星)	 。。。。。。。。。。。。            
(1星)	 雷阵雨            
(NA)	 减肥良剧            
(2星)	 你可以更山寨，你可以的。。。            
(3星)	 蛮好看的...            
(1星)	 芒果台已经得道成仙了！            
(1星)	 我纯粹想来评差评的            
(5星)	 哈哈哈哈哈哈哈！            
(3星)	 其实也没那么次            
(3星)	 还可以 比预想中要好的多 爆笑            
(NA)	 广告~            
(5星)	 我逆天了            
(1星)	 演员太山寨。            
(2星)	 基本上不会再回头去看了。一星给厦大，一星给张翰。            
(1星)	 必须得看啊!            
(2星)	 我看啦我看啦 ps:楚雨荨一边说话一边摇头的姿态让我有强迫症地幻想挖心掏肺（巫女炮制毒药状）            
(1星)	 我要给你1星还是5星好.实在太搞笑了!!!!            
(3星)	 名爵。舒蕾。美特斯邦威。香飘飘。哪个是富二儿能用的。。。真崩了。            
(1星)	 哈哈哈豆瓣太可爱了。。火星语一刚。。终于找到一个客观评价这电视剧的地方了。。我真想给极差。。。从上到下从左到右到处都是雷点。。真是山寨的极品极品！！脑残到点了！            
(1星)	 1.AUV！一尼姑和四民工- - 2.丑人多作怪。3.雷公雷母集体出动             
(4星)	 端木,为什么这样对我            
(1星)	 没有0个星吗？            
(3星)	 我只想看的是张翰啊啊啊啊啊···别人不想看··啊啊啊啊····            
(NA)	 天马流星锤            
(1星)	 没有最雷只有更雷~            
(NA)	 八颗牙。眼神，还有高度。            
(1星)	 八月的笑点            
(1星)	 雷阵雨            
(1星)	 谁来掐死我！~~~~真的是“一起来看雷阵雨”啊！！！&#34;台风天看流星雨，听取雷声一片。。。 &#34;            
(NA)	 日本鬼子笑了 高丽棒子笑了 台湾巴子笑了 坍台伐!            
(1星)	 处女鲟居然觉得豆瓣最低分的七龙珠很好看...            
(1星)	 NMB去死吧，哈哈哈            
(1星)	 雷雷更健康            
(1星)	 这是恐怖片··            
(2星)	 “我考上啦！我考上啦！”= =。。。H4也不找好看一点的……            
(5星)	 天鉤地雷裡外焦脆,中國式貼片史詩式大作啊            
(1星)	 硫酸雨可不敢看怕瞎了我的双眼            
(4星)	 毕竟内地偶像剧起步很晚。有很多东西要学习。所以还是应该多多鼓励。不应该动不动就说雷死了。一概的否定。            
(1星)	 没有零星?            
(5星)	 其实我很期待第二部~~~            
(2星)	 其实还好嘛。芒果再雷也敌不过番茄            
(1星)	 雷雨明天公演了七叔你台词背熟了没？背熟了我还悄悄做了一首歌呢老爷看见丫鬟就唱了u r biu~ti~fou, u r biu~ti~fou～丫鬟看到老爷就唱了u r so handsome,ur so smart～3Q马吉～            
(1星)	 我已经快笑翻了 哈哈~             
(1星)	 简直让我崩溃            
(NA)	 最NB的是愣是说自己不是山寨            
(1星)	 一分也不想打            
(1星)	 造型雷人 广告扎堆 这还不山寨你是想怎样 名字都很雷 慕容云朵看了半天才想起来长得像成方圆 俞灏明你是真的囧到我了 这什么编剧 做文艺也不带逻辑性差成这样的 男二和女主在一起如此之久 众多无意义情节 受不了 一颗星完全是因为张翰笑起来很舒服 看完日版忍不住再来吐一把 还我花泽类~            
(1星)	 想不支持都不行啊。。。哈哈哈。。。            
(1星)	 零分怎样给啊？            
(1星)	 為蝦米只有很差。。。            
(2星)	  雷             
(NA)	 其实还不错呀，比想象中好多了            
(2星)	 小鱼同学丑男无敌            
(1星)	 天雷            
(1星)	 kao            
(1星)	 一起来看雷阵雨。俞灏明成功成为继西门大妈后网络最红的国民大妈            
(1星)	 搞笑片            
(1星)	 我只看了10分钟 直接迷茫 那个花泽类怎么会长成这样 雷死我了 哥看的不是流星花园 是寂寞！！            
(5星)	 好伤感好失落  追完了            
(1星)	 2009.8 in Forest @SH 演员布景台词情节看得我都要疯了            
(1星)	 我是来跟队形的            
(3星)	 三星给厦门的景色。其实厦门的景色应该给五星的，但是怕变成帮这剧刷分，就评了三星。            
(3星)	 雷雷更健康            
(1星)	 其实我没看过，就是想打个一星而已&gt;&lt;            
(1星)	 每天洗好澡看一会~收视率就是被我这种无聊人士捧出来的            
(1星)	 太精彩了。知道差。但怎么都没想到还可以拍到这么差的地步。            
(1星)	 其实我没看过！我是为了评价而评价！            
(1星)	 为嘛在厦门 为嘛在厦大            
(5星)	 看到一堆人都打的一顆星，雖然真的很山寨很雷人，可是也沒那麼糟吧。而且張翰很帥耶........而且大家不是都從這部劇裏面得到樂趣了嗎幹嘛這麼苛刻嘛.......那我打五星來補救一下XD            
(1星)	 没笑爆，恶心到了……            
(1星)	 不要这么忧郁的看着我，再看我也要打一颗星            
(1星)	 有没有人玩msnspace的，那个上官不是中国佑佑吗？！            
(NA)	 你们为啥都给差评！！！悲剧啊！            
(1星)	 雷。。。            
(5星)	 不行不行我还是忍不住要给5星口牙~这么欢乐的剧到哪里去找啊!            
(1星)	 脑残            
(NA)	 囧囧更健康！谢谢芒果台！            
(1星)	 硫酸雨o(╯□╰)o            
(3星)	 芒果臺妳贏了 最后時刻賺取到了我的眼淚 ...            
(NA)	 我要用全世界所有的髒話來評價此劇            
(NA)	 喜感喜感..雷雷更健康.            
(NA)	 编剧太雷了，可是给我无聊的生活带来了勃勃生机。还有，我必须承认，其实男一号私下长的非常标致。再换句话说，所有主演本身形象都不错，只是在剧里的造型太惊天地泣鬼神了。            
(1星)	 一起去泼硫酸雨~            
(1星)	 能给半颗星吗             
(1星)	 毕业自xmu后唯一想看的原因是我怀念我的母校，虽四月路遇拍摄。早知造型剧情不堪。            
(1星)	 一起来看雷阵雨= =            
(1星)	 OMG            
(1星)	 一眼万年烂啊            
(2星)	 很仁慈的给分捏~~            
(NA)	 台风天看流星雨，听取雷声一片。。。             
(2星)	 雷雷更健康            
(1星)	 我了个去            
(NA)	 雷剧看多了也就麻木了，但求更雷！！！            
(NA)	 ………………            
(1星)	 大家努力把它拉到3分~            
(5星)	 元素相当丰富            
(1星)	 非一般的可怕。            
(1星)	 一群2B            
(3星)	 研究研究怎么那么差～            
(4星)	 跟韩国是没得比啦~~而且确实雷。但是我喜欢看！！哈哈哈 我喜欢那种纯纯的爱！！            
(2星)	 没敢看 看看剧情介绍，已经心力交瘁了。来吧，让雷阵雨来的更猛烈些吧。            
(1星)	 还有比这更难看的吗？            
(3星)	 我继续孩子啊看“又”  老子就是喜欢张翰            
(NA)	 哇哇哇            
(NA)	 编剧叫什么？？            
(1星)	 Fuck 4們都好帥啊！山菜也好可愛噢！            
(2星)	 深刻对编剧的智商表示怀疑，两颗星分别给魏晨，朱梓骁。因为魏晨长得好看歌唱得好，朱梓骁人特好玩儿。            
(5星)	 誰要是說不好看我就和你們急哼哼！            
(3星)	 矫揉造作的剧。于是我的星星都是给张翰的。嗯。            
(2星)	 雷死人哎...            
(1星)	 竟然还有2人要转让            
(1星)	 无语。。。。。。。。。。。。彻底无语。。。。。。。。。。。。神尾叶子会哭死            
(1星)	 每集寻找雷点。。寻的好开心。            
(NA)	 我竟然一个人脑残地快进着看张翰和郑爽，其它雷雷更欢乐。其实，大家都很努力……            
(3星)	 我心目中内地第一部偶像剧是像雾像雨又像风            
(NA)	 瞄过一些            
(2星)	 在北京的时候很无聊 就看了也不是差到一定极限嘛            
(1星)	 以后我也只捂住一只耳朵说&#34;我不听我不听我不!!!“     － －. 比情景喜剧搞笑, 布满雷点..             
(2星)	 我雷点果然是很高的~            
(1星)	 哥没看过。。。            
(1星)	 我能说张翰很帅嘛!            
(2星)	 说实话我真看了2集~~~我明悟了~~~那几个怪胎~~~最气愤的是那天在西单还碰见了他们的见面会~~~听说还有拍2了~~~~为中国的电视剧愁啊~~~            
(1星)	
(5星)	 神作，你们都不懂            
(1星)	 偶尔看到过画面，不忍心看。控制不住来点差评的            
(1星)	 爲什麽不能好好改編  偏偏要自己瞎編呢？            
(2星)	 广告可以做到这种地步，服了。            
(2星)	 以“雷死人不偿命”为目的制作,这样讲的话挺成功，所以在最低分上加一星，可惜没装避雷针，只看了一集就被雷灭掉了。            
(1星)	 广告剧，看了8集。            
(1星)	 给我一刀            
(NA)	 毕竟······他们赚钱了！！！！！！！！！！！！！            
(2星)	 哈哈哈哈            
(1星)	 其实它连一颗星都不值。            
(1星)	 此剧相当切合芒果台的品味。            
(1星)	 那制服只用一秒钟就让我吐出来了……            
(3星)	 我必须承认介个剧让我看的津津有味十分欢乐呀~是我对它的期待太低了么竟然惊喜连连……俞灏明你是肉版花泽类吗就内发型哎呀我去，张翰童鞋的笑容咋能这么迷人捏！            
(1星)	 俞大妈太销魂了            
(2星)	 原来雷人不是盖的             
(NA)	 舒蕾...            
(1星)	 明明就是山寨版《Gossip Girl》，还仿得那么爆炸，实在忍不住吐槽了。。            
(1星)	 抱着闲的无聊狠狠骂一通人的心态，还是看不下去。            
(1星)	 主要我是想给它个评价。。。            
(NA)	 为了厦大才看的。            
(3星)	 恩，三星是因為看到了你們的努力和不易。            
(1星)	 囧囧更有神!雷雷更健康!            
(1星)	 雷剧的巅峰。            
(1星)	 可以给0星吗？            
(5星)	 非常雷人！！非常搞笑！！一起来看搞笑片吧！！            
(1星)	 湖南卫视山寨的太恶心了～～一不小心转台转到了，失误啊~~~~~~~            
(3星)	 很乌龙很消遣            
(1星)	 我就为了笑。结果都傻了。            
(1星)	 我觉得这是一部喜剧恶搞片……不是爱情青春励志片。            
(1星)	 怎么会变成2颗星的             
(1星)	 抓狂！一起来看雷阵雨。            
(1星)	 我看了一集，整个人都斯巴达了            
(1星)	 只看前后，终究不是90后，有代沟吧，原谅我。第一个一颗星的剧。            
(3星)	 算了算了 看在猪脚长得有点像瑛太 那两个快男真是雷            
(NA)	 做作业时的恶俗好物= =            
(2星)	 无敌了！！！！！！！！！！！！！！            
(5星)	 哟？这个评价有成为“山”型的潜力。            
(2星)	 用了肖邦的降E大调夜曲，还是有一点品味的^_^一半雷人，一半朴实，剧本有点滑稽，抄袭部分还是抄的不错的嘛            
(1星)	 我的妈···            
(NA)	 我就不评星了吧……我弟都比女主角好看！            
(2星)	 看到中间，发现好多雷人的事情和画面！~突然间，咱发现咱也是贵族呢@~            
(5星)	 雷的我外焦里嫩的，端木磊真是个大妈。。。            
(4星)	 哥们姐们，别再看寂寞了，来看雷阵雨吧！            
(1星)	 看着这豆瓣的评星我快要内牛满面。            
(2星)	 看得灰常放松            
(1星)	 其他都罢了，我想不通的是天涯翰姐团，让我这个长期混天涯的女人很理解不能            
(1星)	 *******************************诶……看得给噎住了……            
(1星)	 天雷滚滚            
(NA)	 省空调费啊！！            
(NA)	 其实比想象中好看 也比想象中搞笑            
(NA)	 其实吧。。这里是豆瓣我就不说啥也不打星了            
(1星)	 可悲的內地電視劇...            
(1星)	 简单的冲着厦门看的            
(NA)	 我喜欢魏晨，就这么简单。            
(1星)	 世上最牛逼的集广告与多方位多角度营销与一体的90后青春偶像剧            
(1星)	 。。。。雷阵雨            
(NA)	 我刚发现俩导演的名字迪加+泰罗=泰迪...这不亏是部雷人剧啊~连导演都这么雷...             
(1星)	 不仅是武侠片动作片还是奇幻片六星片            
(4星)	 其实没有外界说的那么不堪，有些地方还是很动人的。            
(5星)	 女主角5※            
(3星)	 看完才有发言权。从开始几集觉得必然一星到看完三星，公平点说除了植入广告和某些造型吐血外，从中间开始还算不错了，没必要这样苛刻和扎堆。何况比这个雷人的国产电视剧多了去了，也从不觉得当年言承和周渝演技有什么好。结局老套但还是蛮用心的，也勉勉强强有点励志。喜欢楚雨荨的坚强和大白牙张翰！            
(2星)	 有勇气是好的……= =            
(5星)	 哈哈~~~好雷的~~            
(5星)	 够雷.            
(1星)	 何必同学何必呢            
(1星)	 一起来看雷星雨落在这地球上~我们吐的落在你肩膀~            
(3星)	 哈哈！现在每天晚上最期待的时刻就是看这个了....开心啊...一起来看雷阵雨！！！            
(1星)	 靠。在穷乡僻壤百无聊赖的一个午后。我终于看到传说中的雷阵雨了。            
(NA)	 昨天看了5分钟，笑了3分钟。            
(1星)	 ...略微看过            
(1星)	 手贱了            
(5星)	 如果不是因为有了先入为主的印象，我以为这部剧实在比不良笑花好多了况且很喜感            
(5星)	 不管别人怎么说看看吧真的很不错            
(1星)	 在哪找这么一群营养不良的男女            
(3星)	 看了大家一直说烂片的这部偶像剧其实还好吧 没大家说的那么雷人            
(3星)	 除了发型那些，还有山寨和寒碜，其余喃，反正还是属于耐看的长相啦！            
(1星)	 FUCK            
(1星)	 F4你MLGB             
(1星)	 天杀的埃利斯顿商学院，借了我们厦大的风景。。。            
(1星)	 慕名而去跳着看了第一集，我五雷轰顶了！！！            
(3星)	 还好吧……一点点雷而已 慕容云海失去记忆那段……雨荨痛不欲生 曾经感同身受过            
(1星)	 一起来看硫酸雨            
(1星)	 看了一集我就再也看不下去了            
(3星)	 一起来看雷阵雨…快雷死我吧…            
(4星)	 比想象中的好看多了            
(2星)	 很雷啊．            
(1星)	 = =   厦大 魔兽 东部华侨城~   看的一集快笑爆了  一起去看雷酸雨！            
(5星)	 我就想被雷 哈哈哈哈哈            
(1星)	 SB们            
(5星)	 小心鱼蛋出没！！（我居然看最后一集的后面的时候泛了泪光/...）这片最重要的问题有俩：一是总打广告，二是配音垃圾。However，看了一集就会想追着看。作为连续剧，它还是成功的。在骂的人不也看了么~~但它绝对不是精品，当消遣罢了。            
(5星)	 硫酸雨            
(1星)	 就是这个！！！害得我无法入眠！！！            
(1星)	 只能看长相            
(5星)	 太他妈精神了~欢乐无穷 和谐中国！            
(1星)	 看了两集 - - 我无悔了            
(2星)	 雷雷更健康~~~            
(4星)	 结局部分很满意，张翰完美的笑颜给了此剧最完整的ending。            
(2星)	 电视本身就不说了。但，只要一看到张翰的笑，一个知性美女就沦为花痴女了。啊哈哈哈～～～            
(1星)	 天雷勾地火            
(1星)	 只看了广告我就毅然决然的给了一星            
(2星)	 bs~~其实还好~~郁闷的时候可以去看下，很有喜感的山寨            
(1星)	 太想把各种人等掐死在厦门的大海里...            
(3星)	 = =            
(1星)	 山寨的太过了            
(1星)	 实在太好看了啊哈哈哈哈哈中国最好的娱乐大片啊哈哈哈哈哈            
(3星)	 稍微打磨点时间~            
(1星)	 真不好意思说我看过 就二十分钟雷的我差点缓不过来 忒可怕了这剧            
(NA)	 我一定要体验一下……            
(1星)	 香飘飘旗舰店，舒蕾蚕丝蛋白，美特斯邦威，名爵跑车，来看广告片啦。            
(4星)	 可好玩了！！不走寻常路！像你这样好的头发 就应该用蚕丝蛋白洗发乳！~~阿迪王 MB 窥探上流社会人类的生活！！            
(3星)	 很丢人地说，我在看，还挺好看            
(2星)	 今年最冷的笑话            
(1星)	 完全是为了看剧中的软广告史如何做的剧情台词真太雷人            
(1星)	 植入广告真强劲啊HLL的美特斯邦威 脑白金 香飘飘 阿迪王 潘婷 哈哈哈哈哈哈            
(1星)	 我也是来保持队形的            
(NA)	 被剧名惹笑了。。。            
(1星)	 自己找雷啊            
(NA)	 一起来看广告雨            
(1星)	 必须凑热闹            
(4星)	 说实话，这部剧如果不是翻拍流星花园，那还不算差，国内比它烂的电视剧能堆成十五座珠穆朗玛峰。所有镜头都是运动的，演员除了某个演花泽类的像猪头，其他还都青春干净，节奏也比台湾版的流星花园快的多，大家不用骂这么难听。至少音乐都是原创的吧，不会总引用好莱坞大片。            
(1星)	 雷到石化，土到销魂，哈哈，真贴切            
(NA)	 陪你去看硫酸雨~落得我好透~            
(1星)	 这个剧可以载进历史了            
(4星)	 其實我想說 看了十集 其實還不錯……            
(1星)	 是冲着魏晨来的  看过之后完全不想给分  做作死   死做作…            
(1星)	 还给一颗星是因为从没见过更脑残的...简直就是课余娱乐的首选...            
(5星)	 五颗星！！！            
(1星)	 观众们，流星雨喊你回家看广告~~！            
(1星)	 我居然忍不住好奇看了10分钟。主啊，饶恕我的罪过吧            
(2星)	 雷、雷阵雨么= =其实只要俞灏明把发型改一改，我一定给这部剧及格分！            
(1星)	 天雷阵阵，无语了。。。            
(NA)	 其實也還好，不會山寨得太誇張。除了俞灝明的形象，鄭爽的演技習慣會有小做作，贊助品牌出現得太頻繁，其他都還好。最後的大團圓結局也是必然的。解悶看看，據說還有2……- -            
(1星)	 很不想说我在看这雷阵雨……            
(1星)	 这真的是烂中之王呀~~~   啊哈哈哈哈              
(5星)	 劲！            
(2星)	 就为了人家这么卖力的搞笑也得多给两颗星啊            
(NA)	 雷死了...看了第一集和最后一集            
(1星)	 真恶心！            
(1星)	 垃圾            
(1星)	 掩盖不了山寨的本质...植入广告太恶心            
(2星)	 给两星是因为片中一开头就自我剖析过了脑残……而且你是广告界的一朵奇葩~            
(1星)	 昨儿看了两集。实在说不了什么好话的。            
(1星)	 我重来没见过嫩个戳的东西  女的丑就算了  那四个男人 搞得像中国内地没得帅哥了！！！！还有  山寨到了极点  虽说不要奢侈  也不至于土到极点吧！！！！            
(NA)	 看到现在我才发现其实是导演的问题,...剧情非常之跳跃，剪辑非常之有问题...这人物的发展关系也太跳跃了吧...            
(NA)	 看这剧 不用开空调 ！！夏日里的一阵寒风！！            
(2星)	 看了一个暑假，大结局了还有点舍不得。我肯定是被雷上瘾了            
(2星)	 oh...被雷的不轻也想继续看....            
(5星)	 热追雷阵雨~~~~~            
(NA)	 原来雷就是卖点？！剧组你们成功了！            
(1星)	 一起去看雷阵雨            
(1星)	 本年度不得不看的无敌剧！            
(1星)	 如果有负星我会毫不犹豫的打下去的……这片子太可怕了……            
(1星)	 哈哈哈哈哈哈哈...太2逼了            
(NA)	 哎呀一起来看看....            
(1星)	 一起来看流星雷            
(1星)	 雷阵雨            
(1星)	 一起来看雷阵雨~~~            
(1星)	 哈哈哈哈哈 我刚看了 女二举起舒蕾说 。洗头 要用蚕丝蛋白。男二转着鞋说 它的设计很好 还有 我很喜欢上面的涂鸦            
(5星)	 灏明~~            
