http://movie.douban.com/subject/3391761/	少年王卫斯理
(2星)	   名字别这么洋气好吗。            
(3星)	 当年很喜欢            
(3星)	 人设神马的都好穿越的剧。            
(3星)	 那时还不知道倪匡写的原来            
(3星)	 好久远的记忆了，小学还是初中来着，片名都想不起了，但是还记得那首《白》            
(4星)	 我是吴奇隆的脑残粉~！            
(5星)	 从小就喜欢，任何剧都比不了它在我心里的位置，因为感情在，长大之后也在看，虽然逻辑上说不通，虽然有许多诟病，但我仍旧非常喜爱。            
(4星)	 小时候的回忆呀~~            
(3星)	 当年脚的白素尊的漂亮            
(4星)	 啊 貌似是小学时看的~!            
(2星)	 其实我当年还觉得挺好看的……就是服装布景神马的实在是无法懂以及廉价            
(4星)	 ！！！阳光。            
(2星)	 有年暑假电视里穷放八放了，搞得我到现在大概都可以哼得出片尾曲是哪能唱的……            
(4星)	 卫斯理啊。。。            
(4星)	 喜欢吴奇隆演的奇幻片，卫斯理傻傻的，白素很漂亮，冰雪聪明，白奇伟很帅气很有正义感。喜欢这几个故事，曹操和灵儿那段抢来的婚姻也挺好玩的，当时看的时候，我竟然希望变种人和白素在一起，宇宙浪子的千年之恋真的好感人好梦幻，美中不足的是没有对卫斯理的身世太多剖析。            
(3星)	 片尾曲也很好听的！！！            
(5星)	 基本每年都会看一遍，蓝血人部分最爱啊            
(4星)	 好看。            
(NA)	 老子都看过HOHO·            
(4星)	 吴奇隆好帅的~~            
(3星)	 跟姐姐一起看的            
(5星)	 还清楚地记得是和谁一起讨论这个剧的……扶额            
(2星)	 那些配角真的让我很无语==；            
(3星)	 我喜欢那个叫白素的姑娘            
(1星)	 烂片            
(4星)	 印象有点模糊，貌似很好看（喜欢这种变来变去的奇幻感）~            
(1星)	 电脑特效做的多让人恶心啊..            
(5星)	 卫斯理系列的入门作，倒是可以一看            
(4星)	 那时候还是觉得挺好看的 喜欢那个片尾曲            
(2星)	 竟然有40集！怎么能忍下来？纵使当时受了《萧十一郎》的荼毒而为了吴奇隆看了此片，那也不能忍啊！女的都那么丑！于波杨俊逸的造型又那么2！            
(4星)	 我很喜欢蓝色情迷这个单元，尽管不是按照原著来拍的，但是依然好看。            
(NA)	 导致我极其不喜欢吴            
(3星)	 美女            
(3星)	 杨光真美            
(3星)	 不喜欢这个版本的卫斯理。            
(3星)	 比不上港版的，其实可能是个人情结吧。白素美爆了。            
(3星)	 囧里个囧            
(NA)	 话说我小一点的时候真的特别喜欢看。o(*￣▽￣*)o            
(3星)	 就是喜欢吴奇隆            
(4星)	 当年粉稀饭滴 美丽的阳光+帅帅的吴奇隆喔            
(3星)	 老是觉得吴奇隆的片子着装真奇特~~            
(3星)	 好雷人喔。            
(4星)	 还是挺不错的~~            
(4星)	 不喜欢白素            
(5星)	 这个老喜欢了！            
(3星)	 嗷，其。其实。。故事也还行。最重要有是吴奇隆嘎~~            
(4星)	 只为顶老大。            
(4星)	 给五星是因为倪匡的书和吴奇隆            
(2星)	 脑残啊            
(3星)	 p.s.童年            
(3星)	 冲着科幻的看了，还好，不过还是和原来的不一样。            
(3星)	 以前看的，还不错~~            
(3星)	 见人而已            
(NA)	 呵呵            
(3星)	 补遗            
(5星)	 逝去的青春！！！！！            
(4星)	 小时候看过，挺好看的            
(5星)	 四年级的时候看的。绝对记得。后来转去看原著基本看完啊。超喜欢白素的说            
(5星)	 大爱            
(NA)	 我隐约记得那个夏天            
(1星)	 蓝色            
(5星)	 看过原著系列，虽然和原著大不相同，但是依然吸引我。不知道为什么就是很喜欢白素，多年不忘            
(4星)	 那时候吴奇隆还年轻，不似现在的四爷..            
(NA)	 白素好漂酿！            
(5星)	 吴奇隆！            
(NA)	 不敢相信自己还看过这种电视剧。。。。            
(3星)	 几年以前看的了，觉得还不错吧~没卫斯理的书好看            
(5星)	 小时候很喜欢好嘛！！！！            
(NA)	 寝室重温中~            
(3星)	 NO 当时就是不喜欢吴奇隆！            
(4星)	 吴奇隆！            
(3星)	 跟着弟弟们看过一些~            
(NA)	 倪匡写得还是挺好的，就是受不鸟那渣造型...            
(4星)	 还是为了吴奇隆            
(3星)	 Orz我当年蛮爱看的说……            
(4星)	 白素            
(5星)	 这部电视还确实不错啊啊啊 《白》蛮好听啊  女角是叫阳光吧？            
(NA)	 各种诡异。。            
(4星)	 小时候回忆！！！            
(4星)	 大乔            
(4星)	 我還給我的芭比做了件金縷玉衣誒 哈哈            
(5星)	 啊偶，突然在人人看到这部，想起来当年真的是十分喜欢的。难得看过的一部科幻电视剧~！我的初中啊……            
(4星)	 好            
(3星)	 想当年被吴奇隆迷了一下 囧            
(5星)	 当年的吴奇隆多帅啊……            
(4星)	 好长时间了、、            
(3星)	 原来看我过这么多电视剧            
(4星)	 不好意思，我看过并且还觉得挺好看&gt;&lt;阳光的白素非常惊艳啊。            
(3星)	 完全就是人物形象的分            
(5星)	 我觉得挺好看的 小时候的记忆            
(5星)	 也是要给五星的，大爱！            
(5星)	 白素好美啊            
(3星)	 年轻那阵还挺迷的            
(4星)	 那个时候真的算很不错了，特效做的不错。发饰很不错！            
(4星)	 小时候超喜欢看 不知道看了多少遍...            
(NA)	 唉 = = 我小时候追着看看了几遍。。。哈哈哈哈            
(4星)	 曾经大爱这部剧            
(4星)	 那个大乔真的好漂亮！！！            
(5星)	 电视剧也能拍得这么酷            
(NA)	 有个挺好看的女的。。。            
(3星)	 那时候看很拍一段讲红磷人的。把片头曲和片尾曲都学唱了。很好看的一部电视剧             
(4星)	 记忆啊            
(4星)	 分成好几个简短的小案子             
(4星)	 剧情改动的挺原创，很喜欢白素，漂亮可爱~~            
(4星)	 我也觉得白素嫁聂远很意外。            
(3星)	 故事还蛮精彩的好伐！            
(5星)	 那时候超迷恋            
(NA)	 最后一个故事一直没看到结局            
(3星)	 只记得有首名为“白”的歌。。。            
(3星)	 冲着倪匡原著小说看得。改得不好。            
(4星)	 还是很好看哒~~            
(4星)	 現在看依然很贊！大家都很喜歡白素呢            
(NA)	 心血来潮决定复习下第一集            
(3星)	 我覺得小喬很漂亮            
(NA)	 女主角真心漂亮啊啊啊~            
(5星)	 无可争议的5星，我的最爱。            
(3星)	 我要是说那个时候看就觉得是很搞的片子，有些东西在穿越。。。。            
(3星)	 我是冲着卫斯理这个名字去的，还以为是穿越片，TMD谁知道都是外星人。到底是不是地球啊？哪来这么多外星人啊！            
(5星)	 回忆啊            
(5星)	 超爱的一部 看过好几遍了            
(4星)	 我原来那么小的时候就看过科幻了            
(NA)	 当时奇幻看得少，觉得这就是最好看的了            
(5星)	 小时候看过……回忆            
(4星)	 当时看了两遍捏～            
(4星)	 当时幻想自己的血是蓝的            
(3星)	 哎呀哎呀，直接跳到结局看的。。。看了结局就没觉得好好看了、、、            
(4星)	 不错呢~卫斯理很帅~杨光很清纯~那个年代的偶像剧~            
(3星)	 我是看吴奇隆滴            
(4星)	 带点奇幻色彩的当年最爱             
(4星)	 记得小时候很爱。            
(4星)	 ...小时候没看懂啊..            
(3星)	 第四单元中的小乔            
(4星)	 能看一下            
(4星)	 我也不知道为什么想给四星啊 雷死人但是男女猪还不错的撒            
(4星)	 当年超爱卫斯理            
(3星)	 那时候很爱看。             
(NA)	None
(4星)	 当时觉得阳光超漂亮的            
(3星)	 好多年前看过  现在室友又在看 才想起来            
(3星)	 小时候看了n遍            
(NA)	 不知道有没有看完整，记得那时吴奇隆又开始在演戏上重新活跃在我们的视野中了。            
(3星)	 天雷滚滚            
(5星)	 很牛逼啊，大爱啊            
(2星)	 吴奇隆            
(3星)	 电视上看过一些，吴奇隆也来内地发展了。。            
(3星)	None
(4星)	 最早意义上的科幻片            
(3星)	 哈哈~齐白和娇娇~            
(3星)	 拍成电视剧就太拖沓了            
(4星)	 怀念            
(4星)	 小时候的回忆，吴奇隆好帅的说！            
(5星)	 我四爷！            
(3星)	 当时很喜欢呢。。            
(4星)	 反正当时看完了            
(4星)	 当初一把鼻涕一把泪的。            
(NA)	 之前看过一部分，就是金缕玉衣和蓝血人，中间的红岩天书没来得及看，现在想补上……            
(5星)	 在当年的那个时候。我是非常喜欢的。回忆。            
(5星)	 小时候看过，迷死了吴奇隆。有一阵子为自己不是蓝血人感到很难过啊。            
(5星)	 从小学看到现在            
(3星)	 那个时候初中，恰好读了许多口水佬倪匡写的卫斯理系列。发现这部人物造型和着装像既山寨又非主流，特技恐怖，配角演技莫名其妙的电视剧纯属偶然。都是为了吴奇隆，还有演白素的那个好看女子一路追了下去。            
(1星)	 无力吐槽。            
(4星)	 我是看着你长大的。            
(4星)	 cool            
(5星)	 小时候的美好回忆啊~            
(3星)	 吴奇隆还算年轻的时候。。讲什么的我忘掉了！            
(5星)	 当年实在太花痴这部剧了啊！各种泪点！            
(4星)	 少年梦            
(NA)	 哈，当年我竟然看完了这个脑残剧            
(5星)	 超级喜欢的科幻剧~ 吴奇隆~！卫斯理~！大爱啊~！            
(4星)	 没看过书 但是当年貌似很喜欢来着            
(3星)	 当时还觉的超帅，怀疑自己会不会也变成鱼人。。。            
(3星)	 那时的科幻片呢~~            
(5星)	 喜欢歌曲            
(NA)	 当年repeat片尾曲N遍啊有木有 还记得歌名是白啊！ 卫斯理X白素黄金西皮啊有木有 很想吴奇隆甩了某女人跟阳光直接在一起啊有木有！！！            
(4星)	 又一部老片~            
(4星)	 看到吴奇隆就想到步步  怎么脸圆成那样了            
(2星)	 年少时的暑假 看到疯狂  现在看来...唉 剧情太脑残了            
(3星)	 触电、、            
(4星)	 起码当时看的时候我觉得很好看……            
(4星)	 我记得当时很喜欢看。。            
(4星)	 我记得很深的是一堆小白鼠。。。密集恐惧症            
(3星)	 之前看的第一感觉是白素真的是漂亮啊            
(3星)	 虽说剧情现在看来有点搞，但是当时是吴奇隆啊，所以就还是喜欢的~            
(4星)	 许多很精彩的桥段和故事            
(3星)	 我是冲着吴奇隆来的。。。另外，主题曲《白》很好听            
(4星)	 喜欢大乔！            
(5星)	 小时候觉得很好看啊 粉红人深蓝人的 白素特机灵又漂亮唉少年回忆啊。。。            
(3星)	 爸爸租的碟子。            
(4星)	 小时候觉得很好看。            
(3星)	 好奇怪的特技哦！！！            
(5星)	 我靠当年电视上追的，不知道为什么那么爱            
(5星)	 曾经那么爱，白素的回眸，记忆清晰            
(3星)	 只为了吴奇隆            
(4星)	 白素，好美            
(4星)	 当年看的时候觉得真不错 - -             
(3星)	 主题曲叫 白。            
(3星)	 篡改功力好强啊！            
(5星)	 那时候觉得还不错= =            
(5星)	 好好看！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 看过的诶            
(3星)	 其实这部还算蛮好的，对自己的幻想世界有帮助            
(3星)	 我只记得  当年吴奇隆很帅            
(3星)	 为啥我姐那么喜欢            
(4星)	 其实我挺喜欢的.以前暑假老放了..我就喜欢这些什么推理的.            
(1星)	 瞎！            
(4星)	 小时候看的。            
(4星)	 就为了一首歌            
(4星)	 初中时非常迷,大学时想怀念当时的感觉,可是再看也就这样.眼光变了,观念不一样了. 为这美好的回忆给四星.            
(3星)	 看过近10年了，那时候好像很喜欢男女主角！            
(4星)	 吴奇隆比较帅哈哈。            
(4星)	 很感动啊..            
(4星)	 那时候看很拍一段讲红磷人的。把片头曲和片尾曲都学唱了。很好看的一部电视剧            
(5星)	 那时候很喜欢看            
(4星)	 那时候的白素还没有现在电视剧中的那么艳俗啊，现在的造型动不动就是粉红的恶心，都认不出是她了            
(4星)	 一段一段的不会腻。            
(4星)	 看过好几遍的一部电视剧            
(2星)	 还没电影好看            
(3星)	 还行            
(5星)	 在当年的我来说这部着实是精彩至极。            
(3星)	 那时候觉得白素特好看            
(3星)	 挺喜欢白素的。。。            
(5星)	 把宇宙的终极问题拍成了诗            
(5星)	 那个唐什么的变异人身上掉的鳞片像玉米……好有阴影！！！！！！            
(5星)	 很好很好看的 小时候最爱的一部国产片子！！！！            
(3星)	 小时候看的，完全不记得怎样了，不过应该好看吧。那时很红啊            
(NA)	 哎哟 我艹 话说 当年很红啊            
(5星)	 小时候看过！！！！1            
(NA)	 为什么我都看过啊这是为什么            
(1星)	 吴奇隆还能再傻一点 真的            
(4星)	 只因卫斯理            
(4星)	 现在看来依然很好看，女主角当年真的是让我惊艳啊。            
(3星)	 天雷滚滚            
(4星)	 觉得很好看啊            
(4星)	 高中的时候很喜欢            
(3星)	 小时候看的乱七八糟的电视还真多            
(3星)	 这版的白素感觉最不同，总感觉走淑女风是怎么回事，OTL虽然也是很剽悍的            
(4星)	 回忆重温中。。            
(3星)	 那时觉得好看= =            
(4星)	 我喜歡帥哥破案還有玄幻。哈哈哈            
(4星)	 啊！！！科幻的一逼啊！！！            
(5星)	 啊呀。那时候超级萌两主啊！            
(5星)	 不解释。。。            
(2星)	 乱七八糟的。            
(3星)	 素素还不错            
(4星)	 曾经的回忆啊            
(4星)	 以前看的时候好喜欢阳光啊！！！            
(NA)	 为什么我以前会看过这种东西啊            
(NA)	 已經不記得了- - 小學2年級的時候看的            
(4星)	 小的时候一切都是好的            
(3星)	 亦舒弟弟的作品，最早接触的科幻应该是            
(4星)	 我还是比较喜欢书的，不过很喜欢白素            
(3星)	 一直纠结卫斯理蓝血人是什么东西…            
(NA)	 我喜欢~            
(5星)	 小时候真的好喜欢            
(5星)	 当年我是多么的爱看这部电视剧啊。。。发现我还蛮喜欢吴奇隆的。萧你妹妹郎            
(5星)	 我小学时的最爱呀。            
(3星)	 一般吧  当时觉得白素好漂亮啊            
(4星)	 想象力很丰富啊～～佩服倪匡，拍得诙谐幽默，挺不错的～～            
(4星)	 当年暑假的回忆啊~~~            
(1星)	 吴奇隆的发型 算了 不想吐槽了            
(5星)	 小时候的最爱            
(3星)	 阳光演的白素还可以，还好当年还没看过小说，不然肯定是接受不了的            
(4星)	 有意思            
(4星)	 梦中情人白素！！            
(1星)	 卫斯理被拍成这样！            
(2星)	 印象最深的是卫斯理拿着一根没有孔的笛子吹的那叫一个声情并茂。            
(NA)	 老大就是最大的亮点            
(2星)	 1.前前后后的看过，很多都忘了；2.喜欢阳光、吴奇隆、余波。。。            
(4星)	 白素很美啊= =            
(4星)	 悬疑电视剧            
(4星)	 此乃穿越剧？很多内容说不通，但是很欢乐。            
(4星)	 蛮神奇的。以前很喜欢            
(4星)	 喜欢看玄幻剧            
(3星)	 说实话 拍的不是很好            
(4星)	 还行！这个里面阳光有点胖。。。            
(4星)	 你是雪我是尘埃，相遇是意外            
(2星)	 一帮挺装B的人，挺不行的一部。。雷剧。。。            
(4星)	 爱白素            
(NA)	 一直都觉得卫斯理应该和大乔在一起..            
(2星)	 还有人给了”阳光“的标签！！！！我想认识那是谁啊……            
(1星)	 这是对卫斯理的侮辱            
(4星)	 小时候看得很欢乐 - -            
(5星)	 初中的时候晚上追着看，现在则喜欢里面的歌。            
(4星)	 冒险            
(4星)	 当时超喜欢阳光演的白素            
(4星)	 小学时看过            
(5星)	 哇，老片老片，好看的老片，~            
(4星)	 很久以前看过的，一直有印象            
(4星)	 記得當時看的時候覺得那個女主角好漂亮的~            
(2星)	 为什么吴奇隆总是演一些奇怪的片子，，。。            
(4星)	 带点奇幻色彩的当年最爱            
(3星)	 初中的时候中午不睡觉的我用来打发时间……            
(3星)	 吴奇隆            
(NA)	 那时候一直很喜欢白素的，幸好最后卫斯理还是回来了。            
(4星)	 用那個年紀什麽都不挑剔的眼光來看，值得推薦。評分尊重我小時候的印象。            
(4星)	 当时绝对一集不落~怀念啊~            
(4星)	 挺好看的！演员选得好，剧情也不错！            
(NA)	 里面的后期制作技术是相当惊人的，至少我喜欢！            
(3星)	 。            
(NA)	 天啊! 原来我这么小就经历过脑残剧!!!!!!!!!!!!!!!!!            
(3星)	 喜欢吴奇隆从这里开始~            
(4星)	 很不错~吴奇隆 于波            
(5星)	 !!! 巨喜欢            
(4星)	 女主角不错~            
(5星)	 看了这片很多遍。因为白素喜欢上杨光。吴奇隆的卫斯理很可爱很聪明。还是挺有趣的。            
(5星)	 故事都讲得不错。以前看过。            
(5星)	 我是不是审美有偏差捏....在一众小清新清新的风格下我逆流而上敢打五分完全就是个五毛托儿啊...巴特，我真的很喜欢。所以。不解释，5星。好吧，一星是吴奇隆，一星是倪匡。            
(3星)	 纯粹为了吴奇隆。。。            
(4星)	 介个..纯粹是因为杨俊毅而看的...他的造型一如既往让我喜欢 嘿嘿 吴奇隆在里面也不错啦  只是..要控制下速度 慢慢看 不能在一天内看完了 最近已经够懒散了.....            
(3星)	 要以搞笑片的角度来看            
(NA)	 虽然老叶说这个白素像小蜜，不过想当年我还是忍不住被迷到不行啊啊啊啊！！            
(5星)	    各种好看 。            
(3星)	 当时的天线真不给力，要我自己撑            
(3星)	 吴奇隆！！！！            
(4星)	 以前神马都好看。。。 ╮(￣▽￣)╭            
(NA)	 这种风格的其实我也挺爱看的~            
(4星)	 当时真是什么都看啊            
(3星)	 多年前，在那没啥奇幻故事的年代，堪称暑假娱乐巨作~            
(NA)	 白素真美。            
(4星)	 小时候看的一部片子，当时觉得很好看呢            
(4星)	 太长了....这个MM哪去了???            
(5星)	 喜欢这种奇幻的电视剧，也是第一次在屏幕上见到杨光，觉得不错，后来看着就越来越不好了，吴奇隆那是一如既往的帅啊            
(NA)	 就是看了这部剧 我喜欢上了卫斯理 喜欢上了吴奇隆             
(4星)	 我觉得它很雷，可电视上放的时候我总看            
(4星)	 当时很喜欢的。。其实现在也蛮喜欢这种题材的            
(3星)	 妈呀            
(4星)	 我很爱看啊·····不喜欢白素，大桥大爱啊～～～～            
(3星)	 冲着卫斯理,印象中应该还可以,勉强能看            
(4星)	 挺欢乐            
(5星)	 适当的年岁看适当的电视剧，回忆里慢慢都是美好。像是那时候就会觉得阳光漂亮的很是口水了。吃多了口味也就慢慢变重了。            
(4星)	 很喜欢的一部剧~喜爱杨光！~            
(5星)	 特别神奇            
(NA)	 我哩童年啊            
(3星)	 吴奇隆好帅的，紧接着各种奇幻剧就开始纷纷上演            
(4星)	         闪亮闪亮的阳光。 美妞儿~            
(4星)	 再次和老妹携手看完的剧。盖章纪念。            
(3星)	 改的太不像话了。。。            
(5星)	 白素，好有爱！            
(4星)	 那时候蛮迷的            
(NA)	 我那个时候好喜欢白素哦！            
(3星)	 那时候还是很喜欢阳光的，聂远的老婆            
(5星)	 看了N遍。。。            
(3星)	 糟蹋书了            
(3星)	 这部电视剧的观看次数可以跟《还珠》 有得一拼，很喜欢一个个小故事，看似单独的，实则相关联。            
(5星)	 小时候迷得七荤八素啊            
(4星)	 阳光好美！            
(4星)	 挺好看的，阳光其实真的很美。吴奇隆那是帅得没话说~            
(3星)	 怎么说···红岩天书和蓝色迷情这两段还是拍得很不错的。按照当时国内的制作水准来看，特效已经很不错了。。            
(5星)	 怎么评分这么低的，记得当时可喜欢白素了，好漂亮，\(^o^)/~            
(NA)	 这里面的世界 像个神话            
(3星)	 白素是大美女            
(5星)	 我最喜欢看白素，虽然剧情有点怪异，跟原作品有差别，但是抛开其他，还是不错的，最喜欢的男人是白奇伟~~帅~~            
(5星)	 其实没看全 哈哈            
(3星)	 好吧，那时被蛊惑了            
(4星)	 那时候阳光真漂亮啊，片尾曲很好听~            
(4星)	 喜欢阳光的白素            
(4星)	 卫斯理好帅啊~嘤嘤~            
(4星)	 当时狂迷啊……喜欢这种电视剧            
(5星)	 最爱阳光。。。。            
(NA)	 我果断都卫斯理情有独钟啊！！！            
(3星)	 一些单元蛮好看的            
(3星)	 小时候每放必看。            
(3星)	 还记得某年暑假电视台的宣传片。其实这类片子还是颇有市场的。。            
(4星)	 我小的时候很喜欢看的。蓝血人那部尤其。            
(5星)	 因为这个偶才迷上卫斯理的书的~虽然电视剧里的故事和书上很不同~但是它还是功不可没的~            
(NA)	 爸爸不让看，我都哭成泪人了            
(5星)	 记得初二寒假期间播放的！！那时，看了第一集就回学校补课了！！可是我的心却对此剧牵挂着！！！！            
(5星)	 男女主角都灰常养眼，大爱!!!~~情节也波涛起伏，赞一个            
(3星)	 当时真是觉得好看的不得了的白素            
(3星)	 喜欢女主角,感觉有当年雪山飞狐里程灵素的味道            
(4星)	 娘啊拍的老好了~            
(5星)	 阳光，是我11岁时的阳光            
(3星)	 就记得女主穿白衣骑自行车好美            
(3星)	 总算弥补了童年的缺憾，嘿嘿            
(3星)	 分全是吴奇隆的            
(2星)	 总体是烂剧，但是有一集蓝血人的，那女的站在一个空旷的钢琴的房子里唱了一首诡异的歌，至今记忆犹新，常常成为梦中的场景            
(NA)	 吴奇隆演的还是不错的，感觉是一部难得奇幻片，也有推理，不过里面有很多东西没有解释清楚，特别是卫斯理的身世之谜、、、不过白素和卫斯理的感情还是很不错的            
(4星)	 最后那个女王蜂的让我很不能够理解啊！总得来讲，能穿越时空是件很爽感的事情。@Home            
(4星)	 第一次广州的时候看的很有意思            
(3星)	 我一直很喜欢吴奇隆            
(5星)	 灭吼吼 看过好多遍            
(NA)	 这个貌似也是周易三宝的戏？但是我心水这个白素，这个姑娘以后再也没有过这么这么好的角色了。现在是嫁给聂远了么~            
(4星)	 好看的，深深爱上蓝色迷情那一段，要是真的有“深蓝”这个星球该多好，一切都是一片深蓝色，血液都是蓝色，那么清澈那么纯粹，一袭蓝纱衣更是美得让人陶醉。喜欢小乔。            
(2星)	 这片让我觉得挺浪费钱的            
(NA)	 这一堆人拍了无数的电视剧。。。还是同一时段。。。            
(NA)	 其实吧 剧情还行            
(4星)	 那个时候啊，觉得白素真的是很漂亮啊            
(NA)	 片尾曲好好听。            
(3星)	 初一的时候我到底在想什么（捶地            
(NA)	 二手烟            
(3星)	 其实还不错啦。哈哈哈            
(4星)	 几个故事还是不错的 就记得 古墓魅影 和 红岩天书 了            
(3星)	 剧情不错            
(4星)	 好白的白素。。。            
(5星)	 小学六年级时，每天准时蹲点看，真的是美好回忆，现在很少有电视剧能这样吸引我            
(NA)	 高中每次下午放学后大家都要在一起看完了才回家（电视台放的）            
(5星)	 我最喜欢的电视剧。自开播以来，每半年都温习一遍。实在演得好啊，尤其是眼神戏。虽然剧情和倪匡原著相去甚远，几乎只是有同名，但其实完全可以将之独立开来看。负责的改编的人，也相当有才啊！            
(3星)	 多少岁的吴奇隆一样帅            
(5星)	 吴奇隆也年轻过。            
(3星)	 女猪脚蛮漂亮的。把倪匡的原著改得离谱，还是罗嘉良那版好。以前暑假陪妹妹看的。。。            
(3星)	 还好，不算特别差~            
(3星)	 剧情还行，但是房子什么的好现代啊，郁闷~            
(2星)	 大家还是去看原作吧            
(4星)	 吴奇隆            
(3星)	 年幼无知的我当年被吴奇隆蛊惑了……            
(5星)	 小学看的，当年的事我记到现在，太过分了，我也忘了是那个电视台了，演到一半，插播了另一部电视剧，等了一个月，这也就算了，最后一集也没看成，给我记到现在，最后一集还是没看，蓝血人真好看            
(5星)	 掺杂了严重的个人感受            
(3星)	 吴奇隆,感觉很异国            
(NA)	 应该是因为这部剧才记住吴奇隆的，虽然以前可能看过他演的电影，但是记不住他是谁。。。还有白素，当时是被惊艳到了，现在看看还好...            
(NA)	 不错哎            
(3星)	 奇怪的片子            
(2星)	 真的是很小时候看的嘛，吴奇隆啊，我只看见你了~~~我真的不花痴的。。            
(4星)	 怎么后来就没发现类似的好玩的电视剧了呢            
(3星)	 我以前居然看过这么多电视剧。。。            
(NA)	 = =            
(2星)	 恶            
(5星)	 吴奇隆的都五分~呀哈哈            
(3星)	 挺喜欢白素的            
(NA)	 冲着吴奇隆来的，不过剧情不错            
(4星)	 想当年多喜欢白素啊            
(4星)	 有段时间挺喜欢的。            
(4星)	 那时候觉得女主很美            
(3星)	 曾经貌似很喜欢女主角的……            
(5星)	 好看啊~片头曲片尾曲好听啊~男主人公好英俊女主人公好美丽啊~那时候由于电视台的局限我没看 萧十一郎 ，但是有了这部，我是多么 满足 又快乐。            
(3星)	 喜欢里面纯洁的白素。。            
(3星)	 吴奇隆那时多稀罕他啊。            
(3星)	 这造型真雷人……            
(3星)	 白素美。据说她嫁了聂远            
(4星)	 喜欢阳光。            
(1星)	 一星给白素啊其他都是什么            
(4星)	 大乔啊大乔~~ 原来你是韩雨芹！！跟哇搭戏的内个！omg 我爱乃！！~            
