http://movie.douban.com/subject/3646587/	美丽生活 The Beautiful Life: TBL
(NA)	 真操蛋，才两集就砍，CW你还是人啊            
(5星)	 不错啊..就只有5集了?!            
(NA)	 真短命            
(3星)	 题材不错，可惜走偏了，活该被砍啊。            
(NA)	 内么快就被砍了..            
(4星)	 挺好看的。为嘛cw要砍啊。。。55555            
(3星)	 才播了两集就被砍了，命真够短的。            
(3星)	 我看过最短的美剧了~莫名的就被砍了。。。。。= =2集~            
(NA)	 倒！！！！两集就砍了。。太惨了。。里面还有个男的长得不错呢。            
(4星)	 够背的，新剧就看中这么一部，这么两集就被砍了            
(3星)	 Mischa Barton            
(3星)	 停了呢...            
(3星)	 才两集就被砍，这速度。。。            
(3星)	 2集，超短命。主要主角都太丑了，一个个像馊了的花生米似的            
(3星)	 2            
(NA)	 2集就被砍了 = =            
(NA)	 砍太快了sigh..            
(2星)	 短命的TBL……            
(3星)	 两集就被砍....            
(NA)	 090926            
(5星)	 mischa 真可惜，这么快就被砍了。            
(4星)	 刚决定追，就被砍了，杯具啊~~~            
(3星)	 出2集就被砍~~杯具            
(NA)	 看了一集就被遗忘了= =|||果然我还是不适合看时尚青春片么            
(4星)	 可惜被砍了。            
(4星)	 挺好看的，至少很养眼，可惜才播了2集就被砍了～～            
(3星)	 有Hustle里的女的，有Call Girl里的女的……英国女人都来美国拍戏了……两集就给砍了。改为看过吧。            
(2星)	 砍啦砍啦砍啦哇哈哈哈            
(3星)	 已经被坎            
(3星)	 没想到在《Sydney White》里面的Sara，还是如此的...Mischa Barton确实漂亮。这剧真的不好看，但没想到被砍的这么快，大吃一惊。            
(4星)	 蛮可惜2集就被砍            
(NA)	 有时候就是需要肤浅又漂亮的东西~~            
(NA)	 还没来及看呢，就被砍了啊            
(3星)	 才播了两集，就惨被CW快刀砍掉。觉得还不错的剧，可能这样的题材太多了。看来传说中的Micha Barton也无力回天了。            
(NA)	 20090921-20090927            
(NA)	 其实我还觉得蛮好看的~对之后的发展也蛮期待的~但搞不懂为什么美国人不喜欢，收视会那么的低，导致2集之后就彻底砍了。。。哎。。。            
(4星)	 目前看过最短命的美剧～            
(NA)	 真遗憾             
(4星)	 还觉得不错 两集就砍了 餐具阿             
(NA)	 才2集就被砍了。。。晕            
(3星)	 2集就被砍了。。。            
(5星)	 我就喜欢帅哥美女搞暧昧~~~               
(NA)	 出了5集就被砍了            
(3星)	 史上最短命的美剧            
(NA)	 2集就被砍.            
(3星)	 可以追一下。第一集走秀，那些鏡頭的晃動光圈，我好像看到了杜可風。            
(3星)	 才两集就被砍了。。。。。。其实我觉得还可以！~            
(NA)	 这片子真适合我呀~ 已被砍……            
(4星)	 才两集就被砍了。震惊了            
(3星)	 好命短的一部剧。。。不过一部时装剧却没什么时装值得看，实在是唉。。。            
(3星)	 真短命            
(NA)	 既然它已经被砍了,我也只得把标签改成&#34;看过&#34;了......两集被砍,你也够经典了....看来街拍女王吸引力有限.....米国的FASHION题材剧可真是艰难啊~囧.....还有HSM那小黑,我真是看你超级不顺眼的........            
(NA)	 喜欢那个叫Cole的男模，男女主角忒抽象... 期待Mischa的发挥~！            
(3星)	 一大推的熟面孔呼呼晃动            
(4星)	 砍的也太快了吧...            
(2星)	 我只是为了mischa barton来看的,其它演员完全感冒不起来啊.目前来讲有点让我失望.演员不好看            
(3星)	 cut            
(1星)	 值得被砍            
(3星)	 硬甩~硬轉頭~~咦，瞄到一隻燕尾下巴女~~內個，白馬王子還不錯~//两集就嗝屁袅~~//重拾~~剧慌的厉害~~~在24H、Spartacus、Lost那些爷们剧还没来之前~~~饥不择食一把~~~            
(3星)	 CW时尚剧的各种狗血 各种乱七八糟乱搞 赶脚就第六集还不错 olivia很美            
(2星)	 被砍了            
(NA)	 果然，才2集就被砍了，我连第2集都没看完……            
(3星)	 我喜欢，就是太短了            
(NA)	 太可惜了            
(NA)	 两集就被Cut。哎...            
(2星)	 我只看过一集。。鉴于此剧的寿命也就无耻地点了看过            
(1星)	 烂烂烂！！！            
(4星)	 这么快被砍 可惜            
(5星)	 似乎有点interesting，就是那男女主角美在哪里了？觉得那些配角美翻了，比如sonja，cole，Olivia和Vivian。            
(4星)	 好几年前看过的了，貌似从第六集就没更新过，其实觉得还蛮好看的。            
(5星)	 砍了....            
(3星)	 播了两集就被砍了的剧 某些男银女淫真的不错            
(3星)	 剧情确实一般，可是米莎还美T T            
(4星)	 当做美丽布景的换场来看，好吧， 我单纯是去看某人出境的……            
(NA)	 大坑这是            
(4星)	 这么好的剧为毛要cut掉!!!!!!!!!            
(4星)	 老早看的，可惜被砍了            
(3星)	 当时追了2集居然就被砍了！            
(4星)	 很喜欢，可惜刚开播就停播了            
(4星)	 是sara主演的竟然~            
(3星)	 到底多少青春可以挥霍            
(4星)	 可惜被砍了            
(4星)	 其实觉得还可以，可惜被砍了。            
(3星)	 这片挺好的呀  讲麻豆什么的不是蛮好嘛 怎么就被砍了！            
(4星)	 其实也没有很糟啊……怎么就那么短命呢……帅哥美女挺多的啊……不过女主raina真不怎么样……还是爱MB啊~            
(4星)	 蛮喜欢的，只因为跟时尚沾点边            
(4星)	 这剧不是被砍了嘛？！神马时候出13集了...美人很多的嘛！巴顿美人沧桑了....男主是160嘛？            
(3星)	 冲着Mischa Barton看的 杯具的是播了几集就被砍。。            
(2星)	 完全不知道它想表达什么。。。            
(NA)	 [弃]            
(3星)	 第一季第二集就被砍掉的剧，你也是个传奇啊……            
(4星)	 感觉蛮好的啊！又被砍了！火大！            
(4星)	 为什么要被砍啊。。丫丫好有爱的女主角SARA PAXTON你笑的时候那么销魂            
(4星)	 不知道为什么 它就没了            
(4星)	 诶哟当年看着看着就被砍..只有3集吧?后面有两集在UTB?            
(5星)	 为什么要砍掉？            
(3星)	 就这么放一半没了 。。            
(4星)	 帅哥美女片...女主美的我都要窒息了= =             
(2星)	 cut            
(3星)	 终于看完了现存的6集，我感觉还是很不错的，为啥就这样短命呢？？            
(4星)	 米沙巴顿啊米沙巴顿..            
(5星)	 被砍了，可惜了~            
(4星)	 如此短命,可惜了            
(4星)	 我觉得还行啊···难道是演员太没有名气···现在到底出了几集···            
(NA)	 短命的剧~还是不说了~            
(5星)	 貌似只出了7集？忘记了，俊男美女云集，都好看，那个黑人卷发的，我真看不出他那里能演明星            
(3星)	 短命的美剧            
(NA)	 看了五集就被砍了  其实也没有那么烂吧            
(3星)	 我是来看Misha Barton的  结果被砍这么早            
(3星)	 为毛我只看到两集！？            
(4星)	 其實這部我覺得還滿好看的,劇情也不錯~人物也帥也美!不知怎麼就被砍了~~~唉!!!            
(3星)	 还没等我猜着谁跟谁就被砍了……            
(2星)	 就看看Gal Gadot            
(4星)	 我喜欢米沙巴顿！！！！！！！！可惜5集就被砍了！！！！！！！！！！！！            
(3星)	  很养眼  但是剧情和演技就有待提高了            
(3星)	 里面帅哥美女倒是多。            
(NA)	 短命剧            
(5星)	 可惜被砍了            
(3星)	 被砍。。。悲伤            
(4星)	 其实挺好看的，只是时机不对吧            
(4星)	 貌似不出了啊~挺好看的~            
(4星)	 眼花缭乱啊。可惜被砍了。            
(NA)	 为什么只有5集！！！            
(4星)	 怎么就5集就被砍了            
(2星)	 。。骗观众的            
(NA)	 多看两眼Eyecandy，此剧相当的短命            
(3星)	 很多半生不熟的脸，剧情真烂，纯粹看脸，想到小时候喜欢的一个讲内衣模特的剧。            
(3星)	 果然被砍，可惜了这么好的题材，编得太烂，女主好丑。我的Jaime Murray啊……            
(5星)	 这么好看竟然被砍了，我的nico tortorella...Mischa Batron演技真是有待提高阿。。。            
(4星)	 完全是为了Nico Tortorella！            
(4星)	 被砍了...看得正在兴头上            
(3星)	 Off            
(3星)	 小帅做的监制，怎么也该播完一季吧，太可惜鸟～            
(3星)	 纳闷了             
(4星)	 说实话，其实还不错啦~不知道为什么没人要看~            
(3星)	 说实话，我觉得没那么烂吧，怎么能说砍就砍了，太欺负人啦            
(4星)	 怎么就被砍了            
(4星)	 为啥砍了~            
(3星)	 被砍了~            
(3星)	 原来都出完一季了，有空继续            
(NA)	 不喜欢米莎巴顿，剧是不错的            
(NA)	 这部美剧不是到第二集就被和谐了么？怎么又冒出来了？            
(3星)	 实在没什么剧看了，到头来看看帅哥美女好了...            
(NA)	 喜欢MISCH...里面几个女的还蛮喜欢的...还有好多帅哥..但是听说这部剧被停了T T            
(3星)	 还不错的剧，就是比较慢热，很多线还没展开，可惜被砍了。            
(3星)	 很可惜 被砍掉 不论剧情 帅哥美女其实很养眼的            
(4星)	 闪光灯的背后，藏了多少不为人知的汗与泪？看了有点心酸。BTW在里面可以看到很多时尚界的名人，很兴奋！            
(1星)	 女豬是婆婆嘴.....mischa barton這個身形演超模不自量力,美腿不僅僅是瘦,還要長啊啊啊啊啊...!            
(3星)	 我觉着挺好的啊 才两集就被砍了  Mischa她容易么  我容易么......            
(4星)	 我还是觉得这部剧挺好看的，可是命不长。说是不房子啊电视台播放，而是放在YOUTUBE上。目前只有五集，估计在youtube上的点击率也不高吧。其实还是很期待会起死回生啦。            
(4星)	 喜欢时装 帅哥 美女又看了一遍 cole 太迷人了~             
(4星)	 终于有个八魔豆圈的了 还给大刀砍了POOR MISCHA            
(4星)	 我觉得不错啊，有飞天大盗的女主。但我不喜欢chris，不觉得帅。            
(5星)	 咋就不出了呢！！！            
(3星)	 挺养眼，没内涵。            
(1星)	 完全是因为Mischa而关注此剧。整个观看过程都在快进，除了mischa的镜头（真美）。男主角又矮又丑，女主角倒还有点味道。剧情很烂。            
(3星)	 养眼！为毛被砍！            
(3星)	 意外的在裡面看到CHAD，只是因為MISCHA而看，被砍也不失理由。            
(3星)	 一般般.没看完            
(5星)	 很可惜没有继续更新的时装剧。            
(5星)	 为什么要被cut！！天~            
(5星)	 第一季，shit，第二季crap...第三-5集.....just brilliant...！！！            
(NA)	 挺好看的            
(4星)	 腰斩            
(5星)	 时尚触觉！            
(3星)	 五集之后就没有了。。。演员长得还是蛮好看的。。。好容易有巴顿的            
(NA)	 居然被砍了nnd            
(4星)	 砍。。。            
(4星)	 额。我很喜欢的。。竟然没了- -郁闷            
(5星)	 有益身心健康            
(NA)	 其实只是看了前两集，停播之后就没有再看过            
(3星)	 个人还是满喜欢的 但是无奈给砍了            
(3星)	 my special luck for choosing a series= =            
(3星)	 虽然有点无聊，但好歹里面的Nico Tortorella还是蛮帅的            
(2星)	 果然被砍。。。呃            
(3星)	 挺好看的，为什么砍了啊？            
(4星)	 其实我觉得女一很一般的说，男一还蛮可爱的^_^ 我是喜欢Mischa Barton，所以给4颗星！！！            
(4星)	 我想说这么好看的剧为什么放到第二集就被砍了。。。悲剧啊。。。剧情蛮有看点的啊            
(5星)	 怎么就砍了呢，巴顿得多郁闷……            
(4星)	 哎···很想看的题材，不过主角太没魅力了····已成炮灰~~            
(3星)	 角色安排太老套了            
(3星)	 米沙巴顿现在看起有点呆呆的。            
(1星)	 cw的杯具            
(3星)	 没办法，他们背后乱七八糟的生活比较让人觉得公平……            
(NA)	 骨干美女很多。            
(4星)	 就看了俩集 ==            
(5星)	 沒了!!!!            
(NA)	 硬生生被砍了。。只有5集。。            
(3星)	 肯定是男主太丑了所以才被砍了~哎~            
(3星)	 不知是否因mischa barton突然发福所以拍不下去- -            
(3星)	 砍了砍了。。。            
(3星)	 我要继续看啦!!!            
(2星)	 8知所云。。5集弃。。            
(4星)	 光鲜的背后是无限的哀伤            
(NA)	 腰斩了.            
(2星)	 我知道了，你想模仿GG，但是观众是冲着T台去的呀！！            
(3星)	 哗兴片时间总是容易过的，且有助节食            
(4星)	 可怜的 被砍了            
(3星)	 才出了一点点没什么特别的感觉            
(4星)	 到第五集故事似乎要展开了，可是放了前两集就被砍，CW急了点，美国人民应该给个机会的哈            
(4星)	 我只为了MISCHA BARTON...虽然她颜不再，她还是一如当年OC在我心中一般，女神。。可是可是。。。            
(NA)	 不想看下去了            
(5星)	 i m loving it            
(NA)	 可惜被砍了            
(NA)	 always back Misha, and crush on Olivia!            
(3星)	 看了5集，被砍在情理之中吧，不过还是喜欢CW的片。。            
(4星)	 复活了，网上播出就播呗！            
(3星)	 个人喜欢            
(4星)	 我跟什么什么被砍。            
(3星)	 弃之～            
(5星)	 非常好看            
(3星)	 短命的剧啊。            
(3星)	 还是有亮点的 至少不至于第一季没拍完就被砍            
(NA)	 S01E05            
(4星)	 被砍了            
(3星)	 创纪录的速度被砍掉了...            
(5星)	 真是我心中滴痛啊 当时每个礼拜最期待的就是他的更新麻痹美国人真是骗子 砍GG也不应该砍他            
(2星)	 没重点。。。难怪被砍            
(3星)	 over 了~            
(4星)	 砍了。。。我刚看两集就砍了。。。╮(╯▽╰)╭其实我觉得还挺好的啊            
(3星)	 却停了            
(NA)	 囧rz            
(4星)	 我是真的想看下去，哪想到他这么快就被砍。。。            
(NA)	 只看了两集   就不播了  男的帅女的美   超喜欢第一集呢条红裙子            
(NA)	 Raina和我家Lily有点像~~            
(2星)	 砍的最快的一本。。豆瓣也不赶紧建立个“看过”标签让我了结了它！！            
(3星)	 可惜只出了两集就被砍了            
(2星)	 有意思  2集就砍他媽的了              
(4星)	 还会继续么？            
(5星)	 5星是給Nico Tortorella的。真的很帥呢。我花痴了- -            
(4星)	 Only 5 ?            
(4星)	 = =            
(3星)	 晕，被砍了。            
(NA)	 就这么被砍了~有够短命的~            
(4星)	 至少给人家一个机会嘛 美帝人民真是 =3=            
(NA)	 被砍了啊。= =果然是时尚剧啊。麻豆们的生活真是不一样。美女美男~            
(3星)	 砍了。。。就两集啊            
(5星)	 别 停播啊            
(3星)	 waiting  ....            
(3星)	 被腰斩了。。            
(3星)	 看了一集居然被砍了。发生什么事了。            
(NA)	 so so many familiar faces~ 可惜被砍了...            
(3星)	 已经被砍了。。。            
(3星)	 最悲惨的 只播了两局就被砍的美剧。            
(4星)	 可怜的小短命鬼            
(3星)	 被砍得有点快。。。| 我喜欢男女主角的长相啦。。。            
(4星)	 mischa barton~            
(3星)	 美丽之外，别无存在            
(NA)	 season1e1,2            
(4星)	  Mischa Barton / Sara Paxton / Ashley Madekwe / Ben Hollingsworth / Nico Tortorella这么多明星，太闪了，没有不看的理由。很喜欢Sara Paxton 。还有barton的声音。2集就被砍。。。。            
(4星)	 ……竟然砍了……刚第二集 TNND            
(4星)	 放了2集就被砍了...真伤心...            
(NA)	 既然被砍了，我也么话好说了            
(4星)	 被砍了。。。            
(4星)	 亲爱的mischa barton...            
(3星)	 诶~居然这么快就被砍勒……            
(3星)	 我晕，才看了两季就被砍~不至于那么差吧~            
(NA)	 刚播了两集，就给砍了！Mischa真美            
(3星)	 还想追着看 居然就被砍了 才第二集            
(NA)	 1            
(3星)	 第二集就被砍，我可不可以算作“看过”。            
(4星)	 还不错，怎么就被cut了呢？            
(NA)	 此鸟剧已经被砍了……= =            
(5星)	 音乐背景很酷。adorable,开始追。-------追不了啦，停拍了，不过在第五季开始发现不好看了o(╯□╰)o            
(3星)	 这年头，这速度，播两集就砍了，抛开其他不说，几个主角的演技，实在是。。。这也算是看过的美剧里，最杯具的一部了。。。            
(NA)	 看了第一集，剧情虽有点弱，还能看,看了第二集实在看不下去了，砍。哪有beautiful，整部都没见着。男模太矮了，也不帅。            
(NA)	 被砍鸟，放弃鸟…………话说其实我觉得这种题材应该蛮好看的啊！！！            
(3星)	 CW正式通知該劇被砍。壽命比我想像的還要短。拍model的片子有點難，特別在男女主角都是半紅不紫的條件下。班底也不夠好。但我還是蠻喜歡Sara Paxton的，她在《美人魚》裏要驚艷很多。Mischa就不提了，我一直不愛他。他這個身高長相怎麼還該接這部戲。            
(2星)	 开始的时候还不错，越来越没意思，难怪2集就被枪毙...网上能看到第5集，但是就这么个发展趋势不看也罢            
(NA)	 腰斩了            
(NA)	 郁闷坏了...才出两集就被砍了            
(5星)	 就出了第一集现在，mischa哦~~~~            
(3星)	 =口=            
(3星)	 先看看吧。。。。            
(3星)	 美国版的天桥风云~被砍了。。。            
(NA)	 被砍了 ~哎             
(4星)	 虽然仅仅是观看了第一集。但是剧情还是可以的。TBL的第一集比GG第三季的第一集更让我有看下去的欲望。            
(NA)	 砍了 哎 youtube上还有已经拍好没来的及播的 去看 寄托郁闷之心~            
(3星)	 被砍~            
(3星)	 OMG!两集就被砍?太迅速了!            
(3星)	 最短命的美剧了，只两集就被砍了，可惜。            
(3星)	 刚看了两集，还觉得不错的时候就被砍了。。真是无语。。            
(2星)	 看了一集，不打算追            
(4星)	 怎么能被切呢！！            
(2星)	 幸好被砍了-·-            
(4星)	 竟然就这样神奇的被砍啦~~            
(4星)	 才播出两集就被砍了~真悲惨            
(NA)	 被砍            
(4星)	 噶好看的美剧 居然第二集就被砍 太惨了            
(2星)	 照理说应该拍得活色生香才对，结果却干巴巴的，失望            
(3星)	 dame ~就这样被砍了            
(2星)	 第一集还凑乎 第2集就傻逼了~不过还是希望剩下的能播出~            
(NA)	 被砍了 笑死我的~~第2集就没了  就算看完了~            
