http://movie.douban.com/subject/2173257/	乞丐皇帝传奇 乞丐皇帝傳奇
(4星)	 小时候喜欢。            
(3星)	 太喜欢陈友谅了，太悲剧了。所以给朱元璋3颗星            
(NA)	 我晕~我发现我怎么什么都看过啊~            
(3星)	 好吧其实我不喜欢何家劲            
(5星)	 重八哥             
(3星)	 印象中这部剧还挺纠结的 = =            
(2星)	 有个女的好可怜            
(3星)	 慢慢翻腾的找下载。            
(4星)	 对这片记忆最深刻的居然是天心，当时还不知道她是谁，只是被惊艳到了，以至现在还记得她角色的名字。            
(3星)	 很小的时候看的，怀念啊~            
(4星)	 童年的回忆            
(3星)	 ……唉。还记得好多剧情呢            
(3星)	 小时候觉得主角好帅啊            
(3星)	 当年还是很喜欢这个滴            
(NA)	 对陈友谅印象太深刻了， 　　 　　一个男人爱一个女人，爱到这种地步，让我从十多年前震憾到现在！ 　　 　　看过这么多的电视电影，如果问我认为最痴情的男人是谁，真是非这里的陈友谅莫属啊！！！&gt;            
(NA)	 那个美女叫啥来着？            
(3星)	 想起来看过啊 朱重八是吗 陈友谅是吗 佩瑶妹妹原来就是天心啊 杨丽菁还是上官无极最漂亮            
(4星)	 古今第一痴情男陈友谅            
(3星)	 那个令人无语的陈友谅……            
(4星)	 小时候看，没看过结局，没看过中间，甚至没看过开头。突然看见这个剧，完全是因为男颜呀。男颜。难道这样的男颜，不是薄情的标准脸么。            
(NA)	 对男二号印象灰常深            
(4星)	 初中时候的最爱            
(4星)	 我确定我看过，虽然我已经什么都记不起来了。。。            
(5星)	 我的小佩瑶啊！天心啊！大爱啊！            
(3星)	 我们爱的和爱我们的            
(NA)	 杨丽菁当年是广大少女的偶像            
(3星)	 天心演的佩瑶            
(4星)	 这应该算唯一一部小时候看过，却情节记得很清楚的一部了，看完以后，不管再有什么剧或小说里有马皇后我都不喜欢了            
(3星)	 太长了~~~~~~~~~~~~~~~~~~~~~好喜欢天心的佩瑶妹妹~~~~~~~~~~~·            
(4星)	 很喜欢里面的郡主            
(5星)	 陈友谅不错。            
(3星)	 天心好美~~~            
(4星)	 陈友谅很帅吖！！            
(4星)	 佩瑶妹妹 哈哈哈            
(3星)	 那个佩瑶好惨，原来是天心演的。            
(3星)	 我记得最开始知道朱元璋就这部剧，虽然这里明显是戏说。小时候非常偏心天心演的佩瑶，后来才觉得杨丽菁的郡主也不错。话说……赵敏郡主跟明霞郡主应该有点关系吧，同是蒙古儿女，同爱上了敌人，同放弃过家国，但最后的最后，还是有了差别，一个相守，一个离别。            
(4星)	 那时候喜欢小小眼睛的徐佩瑶。            
(NA)	 我小学的时候还看过这个呐             
(3星)	 好痴情的陈友谅            
(5星)	 难得我喜欢的角色都是互相喜欢着的……内牛……以及徐达扮相真！心！帅！            
(4星)	 最帅的朱重八！只是两段感情都太过纠结。。。            
(NA)	 ！！！我记得这是个无法原谅的负心汉。。。坏蛋。。            
(NA)	 朱元璋是吧~！            
(4星)	 情节已经基本想不起来，但是佩瑶、重八、王保保，这些名字还是有印象啊！！            
(NA)	 主题曲是个很重要的东西，你会不记得一部剧，它的剧名，它的故事，它的主演，但当主题曲一响起，我们还是会记得。            
(5星)	 是啊，小时候看的电视剧都是经典，哪像现在，电视剧超烂，一年都拍不出一部像样的电视剧……            
(4星)	 当时觉得天心真难看            
(3星)	 惊鸿一瞥            
(NA)	 天心好美            
(4星)	 以前喜欢重八和明霞，讨厌陈友谅，现在除了他们。反而更喜欢陈友谅和佩瑶妹妹            
(3星)	 陈友谅那一对很萌啊            
(4星)	 小时候 4星给佩瑶MM！            
(4星)	 何家劲，杨丽菁，印象深刻。            
(3星)	 那时候喜欢陈友谅            
(5星)	 好吧，就没有重播过~~            
(NA)	 当年佩瑶念的那首儿歌还在小学班上流行过-。-！            
(5星)	 好怀念。关于这剧，只依稀记得“朱重八”和“陈友谅”两个名儿。            
(3星)	 当时觉得男二其实很可怜            
(3星)	 重八哥……            
(NA)	 我记得陈友谅这个变态            
(5星)	 小时候看过的电视剧，如今只有点滴印象但是对那首&#34;做英雄能否做得从容。。。&#34;的歌印象深刻，还有我心疼至今的佩瑶妹妹。最近看到一部《大明嫔妃》导致对明朝史感兴趣起来于是想起小时候看过的这部。            
(3星)	 初中看过            
(3星)	 只记得我最爱佩遥！            
(5星)	 爱明霞            
(5星)	 明霞，太爱了。            
(3星)	 看了好几遍的说~            
(3星)	 我记得里边那个最后成为陈友谅夫人的叫...佩瑤...            
(3星)	 小时候很喜欢            
(3星)	 老片了            
(2星)	 李志希太像张东健，有木有啊有木有！！！            
(NA)	 原來它叫這個名兒，好早的時候看的，都給忘了            
(3星)	 里面的陈友谅让我毛骨悚然            
(3星)	 非常嚣张的戏说啊~~~~~~            
(4星)	 好喜欢佩瑶的，从小就喜欢            
(5星)	 那时候看这部戏觉得好纠结，但是不知道哪里纠结。现在终于才看出来佩瑶是天心演的，重八是展昭演的。这是肿么都想不起来。            
(4星)	 小时候很喜欢看            
(3星)	 我一直在找你，当时我看你看哭了了……啊啊啊……            
(3星)	 还是初中时看的呢，就是觉得很好看啊~特别是何家劲老帅啦~·            
(3星)	 喜欢杨丽菁罢鸟            
(NA)	 马姑娘            
(3星)	 你说这个情节我咋就觉得像极了《倚天屠龙记》呢            
(3星)	 我怎么发现我都看过的啊啊啊            
(3星)	 小时候我总觉得何家劲各种帅= =            
(3星)	 天心太美了            
(NA)	 很久以前            
(3星)	 第一次接触明史。            
(4星)	 史上最帅的朱重八，展昭演的耶            
(5星)	 回憶。            
(NA)	 原来坏人也是那么死心塌地的爱一个人啊            
(5星)	 天心那时候好美            
(2星)	 小学时候看的。。。            
(4星)	 印象最深刻的莫过于那声：重八哥~~            
(3星)	 陈友谅对佩瑶妹妹真是无敌好啊            
(2星)	 我就记得陈友谅的眼睛了，哈哈哈            
(3星)	 古老的回忆了。小时候这个还挺热的，看了两遍            
(5星)	 开始怀旧……            
(5星)	 江山美人，原不可兼得。            
(4星)	 佩瑶啊佩瑶 惨             
(5星)	 印象深刻的电视之一            
(4星)	 天心的长相太让我此生难忘了 佩瑶妹妹简直是妖孽  很喜欢陈友谅  全心为爱  杨丽菁  哎~             
(5星)	 记得那时很喜欢天心~佩瑶~            
(4星)	 佩瑶            
(NA)	 我决定不看古装剧了            
(NA)	 哭了好多次的电视剧 佩瑶失心疯（还是失忆）那会要杀朱重八，还是真给了一刀时看得我心如刀绞的。。。            
(4星)	 很喜欢天心            
(3星)	 天心是亮点~            
(3星)	 多数都不记得了~只依稀记得最后的结局并不是很好~            
(3星)	 说明 里说16很丑啊            
(4星)	 当初看的劲劲儿的            
(4星)	 我一直记得这部片子的主题曲，这么多年了。            
(3星)	 就记得那个片头曲了。。。做英雄能否做得从容。。。天地动明朝又是何梦。。。            
(3星)	 没怎么看，第一次让我知道陈友谅这个人~~            
(NA)	 哈哈，终于知道名字啦            
(3星)	 我喜欢天心和李志奇演的那对啊。“有眼无珠”啊，好悲伤的结局。            
(3星)	 阿勒 原来是这个 一直觉得这里面的感情戏很糟心            
(4星)	 这里面天心好p啊            
(3星)	 我居然还记得佩瑶在白莲教（？？记不太清了）的样子…惊艳啊当时还不知道天心            
(3星)	 里面应该有天心            
(3星)	 很久很久以前            
(4星)	 想当年            
(NA)	 白瞎何家劲了            
(NA)	 潘阳妹妹！重八哥            
(NA)	 这都被我发现了...LONG LONG AGO啊...            
(5星)	 特别喜欢徐佩瑶!!!            
(NA)	 当时很讨厌那个马秀英            
(NA)	 没有佩瑶，我相信你一定不会独活!            
(3星)	 纪念一下小时候喜欢的天心            
(4星)	 很好看             
(NA)	 想再看的东东            
