http://movie.douban.com/subject/4913214/	恶作剧之吻 장난스런 키스
(3星)	 棒子就是是无法超越我们滴……嘎嘎            
(1星)	 只看了一集不到 太恶心了 但是金贤重很帅 演技不怎么样            
(1星)	 看了第一集10分钟 弃~            
(3星)	 为了看贤重            
(4星)	 (金贤重的发型非常山p)消灭垃圾韩剧是我应尽的义务！结局美好的太不现实各有归属            
(4星)	 让我想起了我初恋。            
(3星)	 我看只是为了看金贤重！            
(2星)	  。。。第一集我都看不下去。             
(4星)	 还行吧。女主多看也挺可爱的。            
(4星)	 没有难看，也没有好看，完全因为贤重的四星。每周就盼三四的心情已经过去了。不管之后再怎么感动，永远记得最清楚的是第二集变态大叔江植树的出现。至少现在是不相信这种努力就会成功的喜欢。还有，如果贤重，不，我喜欢的人就好和我说你考试不挂课我就和你结婚，那高数线代概率就是浮云了好么！好么！            
(4星)	 4星完全献给金贤重！帅啊帅啊！            
(1星)	 简直让人无法言语的雷。            
(4星)	 金贤重还有这一面~~~T T~~~            
(5星)	 最经典的是日版的《一吻定情》，最有知名度的是台版的《恶作剧之吻》，至于韩版的《恶作剧KISS》，它也许不是最好的，以至于从一开始我就没抱多少希望，可是看了第一集之后，忽然被感动了，因为韩版的是最用心的，无论是片尾的小熊，还是四人的乐队演唱，都可见其用心良苦。            
(5星)	 我觉得很好啊。。。。。。            
(3星)	 结局真是很orz...            
(4星)	 金贤重是很帅啦，那个女主实在是。。。丑可爱。。。            
(4星)	 我喜欢这个故事~所以爱屋及乌啦~            
(NA)	 还是日本版的柏原崇！ 只能说韩版改的很有韩国特色15            
(NA)	 才看到4，不明白为啥小熊又来。。。。败笔阿败笔。。。（虽然我对那小熊还是有爱的）            
(4星)	 贤重~            
(4星)	 哎，剧终了。什么时候能再见到重重呢？            
(5星)	 五星的金贤重你好帅!!!!!&gt;///&lt;            
(1星)	 事实证明棒子想把意识形态灌输想疯了，最后结果就是泡菜馊了            
(2星)	 果然和我期待的一样差~金贤重演技无语了比流星还差，不要以为没有表情就可以表现植树的内心~那个鼻孔实在受不了最好看的还是台湾版            
(3星)	 2010-09-15--2010--10-24            
(4星)	 但願人世間的每個湘琴都能遇到她的直樹            
(4星)	 我觉得不错啊啊啊啊            
(3星)	 弃            
(NA)	 小贤还是那么帅哈哈哈            
(4星)	 女主叫Honey呐&gt; &lt; 觉得这个名字好萌 老让我想到樱兰~            
(3星)	 我就是想知道它有多雷人 但其实看到后来 就觉得 真的还行            
(2星)	 四集弃            
(3星)	 还是喜欢这种青春偶像漫画式剧集！            
(2星)	 犹豫了犹豫，还是别一颗了= =            
(5星)	 不建议吃饭的时候看。笑死了。。。            
(4星)	 偶尔花痴，KHJ，爱啊爱            
(NA)	 女主角真的很恩惠，一时错觉以为在看宫~其实没那么差啦~不要还没看下去就说看不下去这种话嘛~~~~~~            
(NA)	 就那样吧            
(4星)	 每俩天追一集？嗳呀，难得对上眼了非得等的人着急死么（前10好看，11后哈妮看着不喜欢来，小白喜欢上哈妮后没意思。）            
(3星)	 面瘫~你还面瘫吗？            
(4星)	 台版万岁!!!!            
(NA)	 脑残            
(NA)	 贤重真的是无演技....除了转身笑就只有无表情了....唉...女主角越看越像尹恩惠....            
(5星)	 看过的人大凡都是力荐的 真开心            
(2星)	 =_= 大玷污，亏我还很期待。            
(3星)	 期待期待            
(5星)	 我就是超爱翻拍剧啊  不过大结局得有点离谱 为什么只有16集呢？            
(4星)	 迷人的微笑什么的            
(NA)	 【2010-09-01】            
(3星)	 和舍友一起看的，反正挺轻松可爱的无负担~            
(NA)	 完全是为了金贤重而看。            
(NA)	 棒子的电视剧都是一个套路，冷漠男傻蛋女，干嘛不来冷漠女傻蛋男            
(3星)	 好叭 除了男主很帅 几乎没有亮点。。。            
(4星)	 金贤重有点过于温柔啊！            
(3星)	 真的看不下去了。。。            
(4星)	 好吧，我承认我是有《一吻定情》情结的……            
(4星)	 少女啊  纯爱啊 什什么什么的  男猪脚这款长相没抵抗力啊~\(≧▽≦)/~            
(NA)	 刚开始觉得只是台湾版的翻拍，可后来发现比台湾的好。男主更温情更可爱，女主虽然笨，但没台湾的蠢的那么厉害，结局每个人都收获了爱情。很好。            
(3星)	 讨喜的哈尼 贤重啊 fighting！            
(NA)	 跳着看了几集，完全照搬台湾版嘛！柳大姐的鼻孔男……真的比不上当年的郑元畅啦~~~~~~~~~~            
(NA)	 由日漫怨念到现在……            
(3星)	 大鼻孔又怎样，笑起来很暖男就够了！！！！            
(4星)	 蛮不错的啊~~~呵呵            
(4星)	 额。。。女主角太难看了！            
(4星)	 看他抱着她 我的心都在怦怦跳了             
(3星)	 直树是我最爱的角色~没有之一~            
(2星)	 剧情整个太=   =狗血，，前后链接好差，，完全就是为了个男人瓦，，虽然代入感没有江直树来的强烈，，            
(3星)	 还是爱看台版的，虽然金贤重也很帅，但是比不过小综和依晨的默契啊~            
(4星)	 比想象中好看得多。金贤重在这里真的不是一般的帅。            
(2星)	 实在是没有动力看下去了…… 还我江！直！树！            
(3星)	 又是值班之夜的无聊消遣。            
(2星)	 特意对比了下台版。。。我是有多无聊去看这剧- -还对比。。。有没有。。。            
(3星)	 森林之吻有小激动下            
(4星)	 如果我不愿意看文艺片，却会为韩剧里的泡沫爱情哭或者笑，如果我说不出好听的情话，却会因为你的每个小动作欣喜骄傲……            
(4星)	 = =我果然只是喜欢金贤重才来看的而已。            
(3星)	 IPTV里正好放了 正好无聊了 正好就看了……没啥意思 ED那里放泰迪熊COS剧情桥段这种 第一次做是创意+好玩 第二第三次就没花头了啊……而且内容进展啊啥的太跳跃了……            
(5星)	 诶...我觉得这就是一劫....江直树 你在哪            
(2星)	 女主丑。。            
(3星)	 贤啊，因为剧本你被杯具了，虽然开始差点因为出炉的女猪脚人选放弃这剧，也差点因为开头几集的节奏问题失望差点弃之，可还是因为leader你追完，最后几集表现的很好啊，前面三分之二都白拍了，要是开始就像最后几集那样多好啊，希望下次剧本要给力啊~            
(3星)	 相当失望。            
(2星)	 差远了 差远了 男主光顾着耍帅了            
(3星)	 虽然原作中女主角不是大美女，但是怎么说也要对得起观众吧~~这版的也有点太~~真是配不起金贤重唉~~            
(4星)	 蛮好看的啊             
(3星)	 我纯粹是去消磨时间的。            
(5星)	 女主笑起来像林依晨mm            
(3星)	 还是台湾版最高。这个实在是有点瞎搞。不看也罢。            
(4星)	 女主真不养眼，那比の上湘琴~ 卟过画面很舒服 韩剧一贯の温馨~            
(2星)	 金贤重能不能别永远这副面瘫脸？明明那么帅的，连生气都是一个表情~汗。。还是台湾版的正常            
(NA)	 吃不消这女的            
(4星)	 主要是发现男主角高中生时代的造型像极了山下智久。            
(5星)	 有微笑有感动            
(3星)	 翻拍台湾版的，还是更喜欢台湾版的。            
(NA)	 一边准备CS的case study一面看完的            
(1星)	 。。。这女主角 = =。无敌了。快赶上凤姐了。。            
(5星)	 到现在才全部看完            
(4星)	 还不错啊~~但是肯定没原版好看~(*^__^*) 嘻嘻……男主后来真帅O(∩_∩)O哈哈~            
(4星)	 還不錯，只是，釜山口音聽著難受。            
(3星)	 前面几集有点无趣 不过9集之后是很有爱啊 金贤重演得还是不错的            
(2星)	 卷头发的白胜祖好像苏见信！！！真是雷死我了= =              
(4星)	 还行啦   浓缩版  尽速很快啊            
(3星)	 女主无语            
(3星)	 女主实在是。。有点抱歉            
(5星)	 金贤重太帅！！！白胜祖演得很到位。。。女主其实也挺可爱的~比起台版的没那么蠢了。。。            
(3星)	 金贤重下次该演哑剧了。            
(4星)	 作为偶像剧，已经演得挺好了。至少男主角演技比某男好点~话说女主角还比较耐看，第一眼有点难看，习惯了的话还是挺可爱的，不过，还是比较喜欢林依晨~~            
(5星)	    第五集他们去看音乐剧 “宫”，以为会看见允浩呢，为什么不让允浩出来一下呢？是怕会强了男主角的风头？            
(4星)	 给他配戏的韩国女的还能不能找到更丑的了！！！！！！！！            
(3星)	 有些吻..吻的还真勉强..            
(3星)	 感觉那个金贤重比以前好看点了喃，难道是因为看了我们结婚吧，他和黄浦两个太搞笑了？【没看完~】            
(NA)	 幸而还有可爱&amp;帅气.......            
(2星)	 妈的你个大饼脸，看你妹啊            
(5星)	 爱贤重才看的~~不过台湾版的是不能逾越的经典~~~            
(5星)	 好吧，最近我的偶像是金贤重了，比小综演的好多了            
(NA)	 不行啊不行。            
(5星)	 喜欢郑素敏            
(2星)	 金贤重是帅，但是演技真不怎么样啊，实在没看下去            
(2星)	 纯属练听力            
(5星)	 金贤重真的是帅死了，坏坏的...            
(2星)	 因为金贤重，看了第一集，之后就快进到第四，第十，第十四，第十六集，完，郑素敏整得太恐怖了，同尹恩惠一模一样！！！            
(3星)	 女主不好看耶，还是台湾的最好看            
(4星)	 太爱你了            
(3星)	 冲着金贤重才给3星，女主角太丑了，比可爱更是跟当年的林依晨不是一个层面的~            
(3星)	 我又无聊的开始看韩剧了...            
(3星)	 真就特别一般吧，而且克里斯丁长得好像小鸡lisa= =            
(4星)	 a wonderful christmas eve            
(3星)	 女猪脚像猪一样            
(2星)	 各种版本都有了，漫画&gt;台湾真人版&gt;动画&gt;韩国真人版，明白了吧，韩国版尤其恶劣，生硬的改编让人无法忍受，还有演员，植树不是木头啊，你是木头吗？            
(4星)	 作为漫画改编的韩剧，演技什么的都不错啊            
(5星)	 我爱！！！~            
(NA)	 怎一个难看了得！            
(5星)	 哎呀，我彻底掉进去了，感觉像是谈了一次恋爱，心动的感觉，怎么办怎么办，现在看其他剧都没兴趣了。开始觉得女主角长的不好看，可是越看越可爱啊，明朗的笑容，让人看着就觉得幸福，很喜欢她。希望能继续拍下去            
(4星)	 笑起来好看的男人才是帅的男人~            
(2星)	 我总以为慢慢会好起来，活生生的看完了，可是还是觉得金贤重演技太一般，没感觉到他很爱女猪，还是喜欢日版和港版            
(4星)	 只能讲超越不了台湾版不过蛮好看的  剧情都知道一半了 无聊或者喜欢金贤重的可以看下其实还蛮不错的。因为我就是无聊的。看了前面都知道后面发生什么事太没惊喜了。            
(1星)	 本来很期待，本来也很喜欢郑素敏，觉得她在坏男人里真是可爱死了。但是这电视剧，烂得我都无语，从第四集开始就是憋着看的，到了第8集实在是无法自虐，就彻底放弃。一直知道韩剧烂，不过能烂成这样也算少见吧。另外一个感觉就是，金贤重实在不能细看，细看丑啊            
(4星)	 从中间看起来的，看到后面发现女主角还挺好看的。看了好几遍了，喜欢看让人感觉幸福的电视。            
(5星)	 你让我想起了谁~            
(3星)	 般般            
(3星)	 养眼就好~~            
(4星)	 我觉得蛮好看的啊,女主角挺出彩金贤重有进步,为什么分这么低?            
(4星)	 小时候最喜欢的少女漫画之一。。。从柏原崇的《一吻定情》，到小综的《恶作剧之吻》1&amp;2，再到这个金贤重版本。。。这是唯一一部即使剧情大同小异，却依旧让我看了又看的偶像剧。。。            
(4星)	 这版演员挺不错            
(4星)	 喜欢朋友2号独孤敏雅的独特气质；郊游时那段偷吻以及弟弟恩树，btw,金贤重童鞋的直树还是挺可爱的；但个人还是更喜欢小综+依晨的版本，毕竟他们是我我心中永远的直树和湘琴            
(3星)	 我对这个故事根本就没有抵抗力 ╮(╯▽╰)╭            
(4星)	 没台版好。but我喜欢金贤重，所以嘛，4星好了！            
(4星)	  金贤重 ！            
(2星)	 女主角眼中倒胃口~继续在不能看偶像剧的状态中。            
(3星)	 韩版            
(4星)	 女主居然越看越可愛了..            
(3星)	 我为我全部看完了表示惭愧 = = 没办法。。。花美男什么的怪姐姐最爱了嘿呦，就算是个花瓶，摆在那看着也高兴。。。。            
(4星)	 还是可以看看的，金贤重在这里面确实很帅~~果然直树就必然得是一帅锅吖。            
(3星)	 人物性格和原著不像啊,但是服装很好看..            
(2星)	 周末开始看韩剧《恶作剧之吻》，女主角实在是…长得那么丑（男一的妈妈比她还好看千万倍），表情既夸张（一点都不可爱），做事又笨拙，行为太幼稚，整天做白日梦，实在实在无法让人喜欢。怪不得即使男一是花美男金贤重，也无法扭转收视率低迷的命运。这实在是个失败的搭配，可惜了一个浪漫而有趣的故事            
(3星)	 也就那样吧....            
(5星)	 还拍第二部么？            
(5星)	 没有日剧经典，但绝对比台剧好。一看女主角，差点被雷焦——丑。但是后来发现她是耐看型的，单眼皮女生要看久了才好看。贤重就不用说了，绝对美男啊！谁说他卸妆难看了？他可是韩国卸妆后最美男艺人呢！！            
(3星)	  - - 反正就是个老套韩剧 虽然我看的还蛮起劲的 但是剧情真的很狗血 - -            
(3星)	 女主怎么能这么丑...结尾怎么能这么烂...........................................            
(NA)	 安慰疯狂的我的神经            
(3星)	 为了我家贤重啊~~坚强得看完了~~我实在实在实在。。。不喜欢女主。。。她那里像尹恩惠啦？            
(3星)	 后面好赶 我还以为没完结呢 原来16集就是大结局了            
(3星)	 纯粹看着玩。            
(5星)	 即使很多人说不好，女猪脚很丑之类的，刚 开始我也觉得，但是看久了还是蛮可爱的            
(3星)	 偶像剧就是偶像剧，看看就上瘾，看完就失落！啧啧            
(3星)	 觉得相原琴子和同伴之间的友情表现的很好 很羡慕 喜欢男二号为女主角一直努力的心 感觉很争气可能这个故事看腻了 对入江直树穷追不舍没感觉            
(3星)	 不知道多久没有看过韩国泡沫剧了，但却还是跳着看完了它。和多年以前看过的同名台剧一样，花痴的女主角，冷漠又冷血的男主角，男二号时不时做一些很囧的举动。但是让我有感动到的却是男二号的一些台词，他对女一说，我会是你的家，但是家太久不住人，也是会长草的。如果不能当你的家，那就做你的保险。            
(4星)	 开始觉得女主角很丑，但越看越觉得好看，也许是因为她的善良和单纯，还有那一份执着，她必然会得到真爱。            
(2星)	 女主角挺可爱的，但金同学未免演得太烂了吧            
(4星)	 喜欢金贤重，对这部剧，就不解释了。            
(4星)	 山P型的金贤重  故事情节没多少变化   一切都是浮云抓住曾经的感觉            
(4星)	 终于看完了！就是为了看小贤！！！            
(3星)	 没有完整看过台湾版的恶作剧之吻，也没有看过日版的，更没有看过漫画，为金贤重看的，我承认我是奔着一个长得不是很帅的男主角看的，差不多是快进看的，尽管如此，我看这部电视剧哭的次数很多，我不明白为什么。女主角如果继续拍这种偶像剧的话，我建议减减负，瘦瘦脸。            
(5星)	 越看越欲罢不能 一开始挺不带劲女主的 不过总算有一个不一无是处那么努力的 到后来觉得还挺可爱 植树就是完帅！！            
(NA)	 金贤重哦，你就不要走演戏这条路了……            
(NA)	 你不累么？  我都替你累啊。。。。            
(2星)	 随便浏览了一下，发现剧情实在是太慢了=_=...太过幼稚的...金sir，您就不能拍点不是高中生的戏么？另，手机8错，女2很fashion。            
(3星)	 金贤重真系可以无表情噶喔。。。好野！！！            
(NA)	 原諒我一直覺得那誰鈍氣十足，啊不適合演聰明的直樹啊...還有就是兩個人的手也長得太丑了點。。。。            
(1星)	 第一集都没看完就要崩溃了，，，太难看了。金贤重都没办法让我坚持看下去。支持台版            
(3星)	 随便看看。            
(3星)	 &#34;面无表情帝和全是表情姐之间可说不可说，说了也白说的故事。。。&#34;这话真是一语中的。。。但是其实最败笔的是编剧！            
(2星)	 长好丑            
(2星)	 女主长得像娇娇            
(2星)	 不敢相信我居然把它看完了。。。            
(NA)	 等剧中用来打发。。这么狗血也居然跳着看完了。。            
(NA)	 荷妮就像月亮，胜祖就像地球~~~~我要的就是这个~~~~            
(3星)	 看到Happy Ending怎么觉着那么不现实呢，老了老了~其实有些细节处理的还是可以的，但总体来说就是让人提不起兴趣。或许是初中时佐藤蓝子那版太深入人心？不然就是我老了。。。            
(4星)	 因为我男人给多了一颗星，因为忠于原著没有扣星，因为觉得女二和漫画里的很像，给多一颗星，导演编剧神马的，都是浮云            
(5星)	 虽然剧情很潦草的就带过了。但是我始终是无法不爱里面的男主角。            
(3星)	 看全了所有版本的恶作剧之吻，哎呀。            
(3星)	 越看越好看。。。金贤重，嘿。。。            
(4星)	 后面还可以啦~            
(5星)	 WuLi胜祖&amp;哈妮吖~哈哈哈哈呼呼11.2的网络版本吖~            
(3星)	 我就是看看帅哥儿而已.......            
(3星)	 收视率再怎么不好也不用这么赶吧！！！            
(2星)	 烂透了            
(3星)	 三星全加给wuli贤重，要好好吃饭            
(3星)	 虽然很喜欢这个故事，撇开乱七八糟的改编不谈，这一部里的植树实在是让我有想灭他的冲动。看完之后，觉得还好吧            
(3星)	 就是奔着金贤重去的！！！剧情再狗血，女主角再碍眼，看到金贤重那小嫩颜，姐就喜欢。            
(3星)	 男主长的不错..            
(3星)	 相当一般。没有高低起伏的剧情，没有凸显感情变化的情节，演得不好，人不好看，总一副哀怨表情，做作死了。只是因为有贤重才看的            
(NA)	 混时间的还不错哦            
(5星)	 五星高了點..只為這對很萌的cp~至少,真正認真從頭到尾看過的人,不會覺得它像一些人說的那麼差~截止到這版最終話的劇情,勝祖和哈尼,比直樹和湘琴更有愛~~            
(3星)	 我最爱的恶作剧 总的来说这部剧还可以的 不过有点小失望  不是演员不好 而是前面有台版的  这部剧属于简短概括型的  呵呵             
(2星)	 星神马的是给男主的帅气的。。。。其余的我什么都没看到没看到。。            
(4星)	 最近在看            
(4星)	 各种不舍得...            
(NA)	 金贤重啊金贤重啊~~~女主也很可爱~~~            
(3星)	 一样的内容拍多了没意思            
(4星)	 加一星完全在男主角的性格....来控制我呀!!!            
(2星)	 坚持到第9集终于选择放弃            
(4星)	 老娘最近就以此治愈            
(4星)	 隐约的ヨン様气质。。。真是崩溃啊。。。            
(NA)	 ....我我我...我看完了.= =            
(4星)	 只看前几集吧  后面实在看不下去真的            
(3星)	 哎...            
(4星)	 比台湾的好看，贤重好帅            
(4星)	 贤重太帅了。            
(2星)	 翻拍的很恶，我居然还坚持看到只剩一集，然后放弃。男主角面无表情的时候，我真想打他丫的。最有亮点的是，男主他妈，真可爱。            
(3星)	 埃...    给男猪妈妈+1            
(2星)	 贤重小哥有帅回来Σd(ゝ∀･)            
(3星)	 嗯。。追完了。。一般性，也就是为了看男主            
(3星)	 总觉得这俩孩子的爹有JQ。 - -            
(1星)	 我更喜欢生菜夫妇多过此剧，大概以后都见不到金贤重那么开朗的笑容了。btw他演技真的不够好，不过我怀疑是导演的问题            
(5星)	 唉唉哎。。白胜祖。。你看你。。哈哈哈            
(5星)	 白胜祖。很温柔。            
(NA)	 我真的觉得挺好看~            
(1星)	 之所以在播出中选择“看过”而不是“在看”，是想说我不想看后面几集了。            
(4星)	 我只是很无聊 很无聊            
(3星)	 好吧~ 我洗翻美男！！！            
(3星)	 就喜欢帅哥。            
(3星)	 我帅气的直树啊，为啥越看越像山P呢？看到14集，结局基本出来了就不想看了~            
(3星)	 后面那熊 到底可以循环利用多少次！！！            
(NA)	 看不下去了。            
(2星)	 = =此版最烂。            
(4星)	 就是无法抵御这样的剧情……虽然已经看了之前的两个版本了            
(3星)	 演到结婚了反而看不下去了...             
(3星)	 小新郎~~其实我蛮喜欢花痴时的自己            
(4星)	 有韩剧自己的味道            
(3星)	 CHERRY的最爱。她家男人真MS。            
(NA)	 我承认我大概很空虚            
(2星)	 看韩剧，绝对可以磨练忍耐力            
