http://movie.douban.com/subject/1417946/	成长的烦恼 第一季 Growing Pains
(5星)	 这个应该都看过吧。。。家长们应该学学人家怎么教育孩子的            
(5星)	 无数的大明星都在里面出现            
(4星)	 童年记忆。            
(5星)	 很好笑            
(5星)	 这是小时候没好的回忆            
(5星)	 伴我小时候啊。。。            
(5星)	 童年回忆            
(5星)	 最早接触的美剧            
(5星)	 麦克麦克~            
(5星)	 经典啊经典，看到这个俺就想到大牌也素摸爬滚打上来的~            
(5星)	 第一部美剧。小时侯特别喜欢看的，也许美式思维就是在那个时候形成的吧！            
(5星)	 太经典 以至于我无话可说了。            
(5星)	 好看。。。            
(5星)	 每年放假电视都会放，每次放都还是会看。亲爱的Mike，怎能让人不喜欢～～～            
(NA)	 经典            
(5星)	 美剧启蒙.看他们慢慢长大真好。            
(5星)	 角色各有特点            
(4星)	 认识WILLSMITH就是这出吧 它确实陪伴我成长啊            
(NA)	 我近視的原因。。。55555            
(5星)	 经典!!!!!!!            
(5星)	 經典經典經典！我喜歡本~            
(5星)	 伴随我童年的记忆～            
(5星)	 这是部经典的情景喜剧！！！！！！！我的童年啊            
(NA)	 我不记得了 我确实不记得我看过了。。。。。            
(5星)	 伴随我成长的电视剧。            
(NA)	 COOOL            
(5星)	 我们那个时代最美好的记忆啊 Kirk Cameron太帅了              
(5星)	 很好玩            
(5星)	 从小受到她的影响            
(NA)	 经典            
(5星)	 儿时记忆            
(5星)	 第二次看的时候，发现Mike很帅            
(5星)	 记忆深刻！            
(4星)	 很早很早之前。。。            
(5星)	 Growing Pains             
(5星)	 第一部美剧~            
(5星)	 小时候啊小时候            
(5星)	 这才是最经典的美国情景喜剧！！！！            
(5星)	 说真的，小时候最喜欢的剧，后来看到家有儿女这种真想抽他们。            
(5星)	 最近在重温，美好的童年。一直是心中美剧榜首            
(5星)	 原来不知不觉，真的已经长到这么大了。            
(5星)	 小時候的美劇。。好懷念配音的說。            
(5星)	 小时候喜欢的            
(5星)	 教育台又放了，还是天天晚上看            
(5星)	 欢乐无穷~            
(5星)	 伴我而是成长的最美丽的记忆，西维尔一家对待生活的乐观态度是我们都需要学习的！            
(3星)	 没电视看的时候才看·            
(5星)	  李奥纳多            
(3星)	 谁告诉我Leonardo DiCaprio在里面演了什么？！！            
(5星)	 全集在哪里！            
(5星)	 童年            
(NA)	 这个也可以大？？额～            
(4星)	 已经不敢看的电视剧了，真的老喽~            
(5星)	 最近在看这可爱的一家子            
(NA)	 儿时的记忆哈            
(5星)	 08暑假在厦大的招待所里，有很强的冷气，和很冷的剧集。            
(5星)	 看的第一部美剧            
(5星)	 转身再看            
(NA)	 Brad Pitt？！            
(4星)	 家有儿女原来这么来的            
(NA)	 基本不记得剧情了。。。            
(5星)	 呵呵。。。小时候喜欢的不得了。。有趣的一家            
(NA)	 求带原声的国译配音全集            
(5星)	 。。。那什么，能打六颗星么？            
(5星)	 我喜欢这一家子 那也是我向往的家庭 但最令我魂牵梦绕的还是那个人~~MIKE            
(5星)	 嘿嘿~太好玩了~            
(5星)	 私爱            
(5星)	 小时候吃完饭一家子爷爷奶奶爹妈挤在沙发里看。            
(5星)	 伴我成长的片子            
(4星)	 有点像家有儿女 。不是！家有儿女有点想它            
(5星)	 最初的美剧            
(5星)	 童年回忆            
(NA)	 中了某尤物的毒……彻底投降了！            
(5星)	 重温我成长中的笑声之一。            
(5星)	 小时候哦~            
(5星)	 &gt;,&lt;            
(5星)	 中国家长应该看下            
(5星)	 经典啊经典。。。好看啊好看            
(5星)	 MIKE……            
(5星)	 看到科克现在的照片我都快哭了            
(5星)	 现在到处都在放老片子            
(5星)	 很值得内地情景喜剧借鉴学习，内地情景喜剧乃至很多文艺作品都大有做作抄袭之嫌。并且总是不合时宜的展现出地域或是地方，个人风格的局限性。            
(5星)	 有些年头了．．            
(NA)	 不用介绍了，中国人都知道            
(5星)	 看过的第一部美国电视剧            
(NA)	 相信大家都看过            
(5星)	 .            
(NA)	 考...这个太怀念了!!!当时贼喜欢Mike~            
(5星)	 儿时的 回忆            
(5星)	 虽然是电视剧，但此剧和东爱我无论如何都要添加,这四部伴着我的童年一起成长，永远的seavers,show me the smile again...            
(5星)	 Mike！！！            
(4星)	 永远的回忆 时代的标记            
(5星)	 太怀念了            
(5星)	 陪伴我成长的电视剧，            
(5星)	 好看            
(5星)	 mike原来没死啊            
(5星)	 重看~Show me that smile again Don’t waste another minute on your crying~very good！            
(5星)	 ^_^            
(5星)	 这种才叫幽默            
(5星)	 确实难以忘怀            
(NA)	 呵呵 一个快乐的大家庭            
(4星)	 哈，会有人没看过吗？            
(5星)	 百看不厌            
(5星)	 小时侯            
(5星)	 天哪 实在太精彩了 百看不厌 道尽成长的喜怒哀乐酸甜苦辣悲欢离合 感谢上帝让我成为80后 见证一部经典。            
(5星)	 超级喜欢..不只是搞笑..真的有内涵            
(NA)	 麦克~            
(5星)	 伴我成长            
(4星)	 伴我如今            
(5星)	 开门撬锁呵呵            
(5星)	 真好            
(5星)	 我的少年时代啊            
(NA)	 童年记忆。。            
(5星)	 老东西了            
(5星)	 对美剧的甚至美国的第一印象就是来自它了，现在看起来又兴奋又感动。            
(5星)	 伴随着我们一代人的成长啊            
(5星)	 仍然买不全。。            
(5星)	 经典            
(5星)	 册那 好看!            
(5星)	 小时候看了N遍还笑            
(4星)	 我们共同的的青春喜剧片            
(5星)	 童年美好的回忆阿。。            
(5星)	 成长 喜剧 回忆            
(5星)	 经典！            
(NA)	 美剧启蒙片。。。            
(5星)	 美好的没有烦恼的童年            
(5星)	 常看常感慨...            
(4星)	 旧旧的            
(5星)	 无敌喜欢            
(5星)	 算是在中国最早播映的情景剧            
(5星)	 mike好帅啊。嘿嘿。            
(5星)	 所有人都知道这部片子吧            
(5星)	 童年的记忆。            
(5星)	 永远的经典美剧            
(5星)	 看的就是他，简直超级可爱            
(5星)	 An unforgetable memory.            
(5星)	 成长见证。超爱!超爱            
(5星)	 伴随我们成长的成长的烦恼~怀念同时期的机器娃娃~~            
(5星)	 小学时候最爱看的,反复看都不会厌            
(5星)	 小学时代看的,印象太深刻了..            
(5星)	 this is memory            
(5星)	 经典！！！！！！            
(4星)	 201011051845-copy from Pt            
(5星)	 小时侯最喜欢的片子~~~还想再看~~~!            
(NA)	 @QD            
(NA)	 看完动画片就看这个            
(NA)	 怀念阿~~~            
(5星)	 经典中的经典!            
(4星)	 看这部连续剧的后果是很多人立下了生一窝孩子的志向。            
(5星)	 很不错的适合各个年龄看的            
(5星)	 这是我看过的第一部美剧 哈哈            
(5星)	 童年的记忆            
(5星)	 记得那年我还小            
(5星)	 10分。            
(NA)	 小时候最喜欢看的电视剧，那是就开始梦想有自己的房车！            
(5星)	 小学每年暑假笑疯掉            
(5星)	 本好可爱啊            
(5星)	 童年记忆            
(5星)	 伴我度过好几个暑假寒假的说            
(5星)	 怎么可能没看过，有谁没看过            
(4星)	 看到最萌的本现在的样子我就泪流            
(5星)	 经典，不解释。            
(5星)	 超爱迈克～            
(5星)	 儿时的启蒙啊，，，，            
(5星)	 还需要说什么            
(3星)	 家庭喜剧            
(4星)	 中国仿的那叫一个差            
(5星)	 时代的经典吧，重看这部片子，就不由得想起我的少年时代。            
(5星)	 突然好惆怅啊             
(5星)	 好看的很！            
(5星)	 伴随我的成长            
(5星)	 童年的记忆            
(5星)	 不多说了            
(NA)	 - -            
(4星)	 我都不知道看了多少遍……            
(5星)	 欧~行了~别这样~            
(5星)	 有个从事心理学临床的爹妈, 是不是成长经历就不会太杯具了            
(5星)	 一言难尽，十分神奇的电视剧。            
(5星)	 我的成长也想要这样的烦恼。            
(5星)	 小学，跟老爸一起看            
(5星)	 欢乐屎了            
(5星)	 让我16岁学会独立            
(5星)	 每次看都很欢乐            
(5星)	 经典            
(4星)	 呵呵  其实都是零星片段的记忆了            
(5星)	 对我意义太大了            
(5星)	 真的怀念，那是真的经典！！！！            
(NA)	 这是每个人的童年            
(5星)	 看了N遍            
(NA)	 小时候的记忆            
(4星)	 里面的妈妈很像赵雅芝吖！！！            
(5星)	 我爱BEN!            
(5星)	 真是隔了多久随便从哪集开始都可以萌进去啊~~~~~P.S.中文配音很好很强大。            
(5星)	 这几天发现电视上又重播了~太好看了，Mike是我永远的偶像~            
(4星)	 很不错的电视剧            
(5星)	 永恒的经典            
(5星)	 酱油组            
(5星)	 老经典了~~            
(4星)	 陪伴成长啊....            
(5星)	 最最最最最最最爱的美剧 没有之一            
(5星)	 最近绿叶台又在重播～其实上译的口形现在看来也没有对得狠好，但每个人的语气都拿捏得相当精准～而且就算是以现在的眼光看来，每一集也还是那么好笑又温暖！            
(5星)	 小时候特别喜欢的！！            
(4星)	 好吧~其实没怎么看过。。            
(4星)	 那时的莱奥纳多...            
(5星)	 小时候唯一看过的美剧。。            
(5星)	 很多遍很多遍很多遍很多遍很多遍和很多遍            
(5星)	 好怀念啊，小时候不知道看过多少遍。            
(5星)	 小时候超级喜欢！            
(5星)	 陪伴我们长大的            
(5星)	 我认为最经典的美剧。            
(5星)	 给满分需要理由吗？            
(5星)	 我超爱这片子，很爱这一家子            
(5星)	 我的青葱岁月。            
(4星)	 守着电视一集集等着看的少时记忆啊　＝。＝            
(5星)	 美剧的代表作之一            
(4星)	 为什么我自小就觉得GP特别特别特别好看的。。。            
(5星)	 Growing Pains.无聊的时候就会看。            
(3星)	 很久以前看的了···始终看不出美国喜剧电视剧的笑点~            
(5星)	 应该买一套收藏起来。现在对好多情节还记忆犹新。太多全在沙发上趴在电视机前的暑假。他们，都长大了吧？            
(NA)	 wonderful            
(5星)	 ^-^ 绝对的童年记忆...包括那些幕后的声音们...            
(5星)	 童年回忆~            
(5星)	 还想再看一遍            
(5星)	 好怀念的一家人            
(5星)	 我美好的童年啊            
(5星)	 我好喜欢他们啊，，他们的老爹老妈，还有他们三兄妹弟。重要的是心理成长的健康，而不是经济。            
(NA)	 真是很精彩的美剧呀，可以全家一起看，哈哈            
(5星)	 守在电视前的童年时光啊            
(5星)	 收看前请先摇一摇            
(5星)	 全家一起看            
(5星)	 喜欢喜欢超喜欢            
(5星)	 很小的时候就看过，算是美剧的启蒙            
(5星)	 Ben Ben Ben ....我在我在我在！！！！            
(5星)	 當年我每周的快樂            
(5星)	 怀念...            
(5星)	 其实Maggie Malone是我的理想型            
(5星)	 小时候的经典啊            
(NA)	 我童年最好的朋友            
(NA)	 陪我度过了很多个美好的夏天            
(5星)	 小时候，喜欢Mike张大了，发现Jesson那样的男人太稀有            
(5星)	 每天都看            
(5星)	 成长啊~            
(NA)	 cute teenage boy,             
(5星)	 这就是80后的童年啊！~            
(4星)	 这好像是我第一次看的美国情景剧吧，后来才看的六人行呢            
(4星)	 生逢时，时未了            
(5星)	 看着长大滴            
(3星)	 童年记忆            
(5星)	 儿时的经典、、Jason夫妇一家子的家庭氛围和教育哲学让人难忘            
(5星)	 不用多说了成长教科书            
(4星)	 在不知美剧为何物的时候看到            
(5星)	 童年时代的最爱连续剧！怀念……            
(5星)	 永远的记忆            
(5星)	 打小就看啊 强烈不喜欢本大了以后的样子...            
(5星)	 喜欢喜欢。            
(5星)	 1st             
(5星)	 太不错了 我们的童年            
(5星)	 真怀念            
(5星)	 片头音乐在头脑中的记忆堪比新闻联播的片头曲            
(5星)	 经典            
(NA)	 小时候的家有儿女            
(5星)	 mike was here            
(NA)	 经典的我都没法说了，收藏了吧。。。。            
(5星)	 我希望能有这样的一个家庭。            
(NA)	 Movie             
(NA)	 百看不厌            
(5星)	 很多年以后才知道里面还有里昂那多啊！            
(5星)	 永远不需要理由的支持～！永远的SEAVER一家～！！！！            
(4星)	 我妈都看乐了            
(NA)	 全看了一遍            
(5星)	 伴我成长 铭记一生            
(5星)	 mike是理想型。            
(NA)	 经典            
(5星)	 经典。            
(5星)	 适合带着孩子看            
(5星)	 没看过 人生不完整吖            
(3星)	 第一次见莱昂纳多迪卡普里奥就在这里面！            
(NA)	 最喜欢演麦克的男演员。可惜死得过早。很有魅力的一位演员。也是我最最最喜欢的            
(5星)	 小时候几乎一集不拉的看啊。。。也是现在唯一还能再次认真去看的老片子。            
(5星)	 再回頭看看，依然覺得很有意思。            
(5星)	 可爱的一家人呐~~~            
(5星)	 百看不厌 从小到大 配音大赞!!!!!!!!!!!!!!!!!!!!!!!            
(5星)	 经典。            
(5星)	 感动            
(NA)	 很经典            
(NA)	 i`ve been watchin` it 4 almost 15 yrs..            
(5星)	 永远的经典啊~~~            
(5星)	 看过不知多少遍            
(5星)	 这是至今我最喜欢的一部美剧            
(4星)	 没看全            
(5星)	 经典。            
(4星)	 原来我很小的时候就已经看过了...            
(NA)	 他不是一般定义上的美剧是一个我这个年纪的人封为永恒的童年记忆的片子是第一次也是唯一的一次在吊顶电风扇哗哗声下和爸爸妈妈一看电视的日子            
(NA)	 SEASON 1            
(5星)	 喜欢喜欢~~超喜欢 美国版的家有儿女么             
(NA)	 mike..            
(NA)	 最美好的晚餐记忆            
(5星)	 童年的暑假。。。            
(4星)	 伴我成长。            
(5星)	 小时候看了不知道多少遍            
(5星)	 伴我长大            
(5星)	 爸爸比我喜欢看。            
(NA)	 陪伴我长大的美国连续剧            
(5星)	 我的整个童年            
(5星)	 美剧经典之作！            
(NA)	 重温童年回忆            
(5星)	 除了大爱我还能说什么呢..            
(5星)	 the best love            
(5星)	 小学最爱的情景剧.喜欢~~            
(5星)	 http://cnx264.com/viewthread.php?tid=45896&amp;extra=page%3D5%26amp%3Bfilter%3Dtype%26amp%3Btypeid%3D251            
(5星)	 千看不厌            
(5星)	 呵呵陪伴成长的第一部美剧            
(5星)	 陪伴我走过少年时代。            
(5星)	 没看过的人就没童年了吧...            
(5星)	 一路走来的烦恼            
(5星)	 童年的美好回忆啊～            
(5星)	 小学五六年级的时光            
(5星)	 童年记忆            
(5星)	 是我看过最棒的电视剧，长大后重新看了一遍，第一次眼睁睁看到了天杀的“老去”……            
(5星)	 呵呵，成长的烦恼，伴随我成长            
(NA)	 哇~~第一部美剧！！！超级喜欢羡慕的一家人            
(NA)	 经典            
(NA)	 美国 电视剧             
(5星)	 百看不厌            
(5星)	 sweet            
(5星)	 经典！            
(5星)	 喜欢            
(5星)	 永恒的经典，那个年代的美剧和现在的差别还真是大。。。            
(5星)	 怎能忘了它            
(4星)	 童年的最爱            
(4星)	 小时候特爱看～  现在再看可能是由于太早了，没有那么大的反映了，但是这确实是一部伴随我童年时代的电视剧，很怀念～            
(5星)	 从这里认识美剧            
(5星)	 呵呵 经典            
(5星)	 偶滴最爱。            
(5星)	 曾想我的成长都是快乐鲜有烦恼，现如今大都是烦恼而难有快乐。            
(NA)	 从小看到大呃            
(5星)	 小时候看的。印象不深。            
(5星)	 一辈子的经典，一辈子的回忆。            
(NA)	 最近找回关于这个的记忆了            
(5星)	 我无数的回忆.当时觉得都是中学生看看人家过的日子...            
(5星)	 小时候的记忆阿~            
(5星)	 看的最早的美剧吧？呵呵~狂爱！            
(5星)	 oh,Mike.呆呆的Ben。            
(5星)	 一起长大，希望我的儿子过上麦克一样的生活            
(3星)	 哈哈哈            
(5星)	 Growing Pains            
(5星)	 永恒的经典 每集3遍以上阿            
(5星)	 重播拉,重播拉,在教育台            
(5星)	 感动中的成长            
(4星)	 也.小时候天天看的.那时很喜欢Carol的.            
(4星)	 小时侯爱看的美剧            
(5星)	 百看不厌的片子，喜欢Mike            
(5星)	 经典            
(5星)	 呵呵            
(5星)	 绝对是我小时候看的。很多人竟然没印象。。。哎            
(5星)	 椅子上的电视机 ^_^            
(NA)	 太喜欢            
(NA)	 看过了多少年了            
(NA)	 好看 小时候天天看            
(NA)	 很好的学美语的片子            
(5星)	 如果可以这样成长，那么我会变成什么样呢？喜欢里面的每一个人，永远留在了回忆里。            
(NA)	 我喜欢我喜欢            
(NA)	 好小的时候看的，就觉得真好看~            
(5星)	 MIKE太帅了。            
(5星)	 经典～            
(NA)	 教育台放的时候我每天一集从不脱班            
(5星)	 小时候最爱看的电视            
(5星)	 恩            
(5星)	 一辈子都难忘的经典            
(5星)	 童年的欢乐记忆啊            
(NA)	 我要去买盘～～～            
(NA)	 早忘了 只记得那配着的笑声            
(5星)	 小时候看着只是觉得很喜感，现在才知道成长中真的有烦恼            
(4星)	 还好            
(NA)	 每次我看这个片子傻笑的时候，我妈就说我无聊，哈哈～不过我还真是很喜欢它            
(5星)	 小时候太爱看了            
(4星)	 美剧启蒙。。。            
(4星)	 Growing Pains            
(5星)	 好看！！想再看！            
(5星)	 这是我最喜欢的电视剧之一，看了很多遍，有欢笑，也有思考            
(5星)	 陪伴我们这一代长大的片子。我爱西弗一家~~~            
(5星)	 温馨。童年回忆。            
(5星)	 简直是太逗了!            
(5星)	 沒人不喜歡的一部電視劇，經典            
(5星)	 一边长大一边看的东东            
(5星)	 太好看了，没啥说的            
(5星)	 伴随我成长的故事们            
(5星)	 最爱的一部电视剧            
(5星)	 我喜欢的喜欢的喜欢～            
(5星)	 儿时绿叶台的经典，现在看来，还是经典！            
(4星)	 伴随自己成长中的欢乐            
(4星)	 80后的没有不看的.            
(5星)	 好经典的说。            
(4星)	 我喜欢mike            
(NA)	 和我一起成长            
(5星)	 永远的烦恼。。。            
(NA)	 许多暑假的美好回忆，剧集前半部最逗。            
(5星)	 我小的时候最爱看这个~太逗了!            
(4星)	 纯属童年回忆...            
(4星)	 陪伴我们成长的，就都留存在抽屉的最后一格。            
(NA)	 小时候非常喜欢看            
(5星)	 边看边成长            
(5星)	 属于我们这一代的永远的快乐记忆            
(5星)	 我最爱的电视剧！            
(5星)	 百看不厌！            
(4星)	 最早接触到也是最经典的美剧之一            
(5星)	 太经典了吧            
(NA)	 Mike. Chandler?...            
(5星)	 只可惜DVD只出了第一季，如图。            
(5星)	 經典永遠在心間！            
(4星)	 I LOVE BEN!!            
(5星)	 经典，很经典            
(5星)	 “Show me that smile again”——作为“GP迷”，我们在西弗一家制造的欢乐与烦恼中经历和体验了自己的成长。            
(5星)	 他们从小演到大，我从小看到大            
(NA)	 小时后老看            
(5星)	 有苦有痛有迷惑才有快乐的记忆和成长，每个人其实都是被自己所感动---那些美好的过去时光呀            
(NA)	 我愛麥尅            
(5星)	 原来全世界的孩子都一样。很好看的室内生活喜剧。            
(5星)	 电视台看的,超搞笑,喜欢这一家人,虽然是室内剧,但是有着美国人的幽默.            
(5星)	 童年的大爱            
(4星)	 好像有不错的dvd版本在卖了，不过只看到第一季            
(5星)	 重温童年            
(5星)	 渴望的生活            
(4星)	 小时候都爱看。            
(4星)	 怀旧中、、、、、、、            
(5星)	 伴随成长的影片            
(5星)	 对美国的精彩印象；汉克斯在哪呢？            
(5星)	 它是经久不衰的最有利证据            
(4星)	 简单，不去想太多哪有那么多烦恼。现在看来不值5颗星，但是它陪我度过了童年美好时光。加一            
(NA)	 看这个的时候，还很小很小，想再看看，以现在的心态。            
(5星)	 梦想模型            
(5星)	 好想再看一次~            
(5星)	 还用我说?!            
(4星)	 有点周星弛的感觉            
(3星)	 MikeMikeMike~BenBenBen~            
(5星)	 也看到了自己．            
(5星)	 伴我成长            
(5星)	 我親愛的Leonardo             
(5星)	 love it all the time            
(3星)	 我得说当我在电视上重温这部儿时经典时很大的关注力都投入在少年的里奥纳多身上。这使得我对于他的神般的俊美更加怀念，以及对于他的不知道哪根筋不对把自己整成现在这样痛心疾首。都这么多年了。。。ps话说我小时候觉得迈克特帅。。。            
(3星)	 还不错            
(NA)	 小时候狂喜欢看的美国电视连续剧，它也见证了我们的成长……            
(5星)	 也算是陪着我一起长大的a片，可惜市面上好像买不到正版的。            
(5星)	 电视剧史上的经典 优秀的治家教材            
(NA)	 一直以来都很喜欢...            
(5星)	 不想评论了，每次再看都是淡淡的感动            
(5星)	 地球人都知道            
(NA)	 为什么中国人就拍不出来            
(NA)	 美国            
(4星)	 funny            
(5星)	 太怀念了！            
(5星)	 儿时经典回忆            
(5星)	 GP无敌……            
(5星)	 小时候老看，还看了好些遍。            
(5星)	 童年真是想一天看到晚，一直看下去，总是不停，很多时间如何度过？就这样没有了。            
(5星)	 好吧， 是小时候看的            
(5星)	 岁月是把杀人的刀             
(4星)	 九十年代回忆            
(4星)	 memory啊~~~            
(5星)	 看过的第一部美剧            
(5星)	 这个，太赞了。后来的《家有儿女》就是这部剧的山寨版。            
(5星)	 真好看！！！            
(5星)	 每天晚上必须看的！            
(5星)	 超！棒！的！            
(5星)	 小时候的回忆            
(4星)	 童年的记忆……            
(5星)	 陪伴我长大            
(5星)	 最最最最最最最爱的美剧！            
(5星)	 伴我一同成长啊            
(5星)	 一个时代            
(NA)	 !            
(NA)	 老经典的呀            
(5星)	 比Friends还入门            
(5星)	 在童年的前后还在是不是重温。。。可惜。。麦克居然死了。            
(NA)	 小时候看的呢~            
(5星)	 一直不感厌倦的剧集            
(5星)	 魂淡，太喜欢了啊啊啊啊啊            
(5星)	 回忆的美好！            
(5星)	 果断五星啊            
(5星)	 人生第一部美剧吧            
(5星)	 小时候的记忆            
(5星)	 应该是我美剧的启蒙片,人生看的第一部美剧,想起它就想起童年的每个夏天!            
(5星)	 人生中第一部美剧哎。。。            
(5星)	 这个太有意思了            
(5星)	  永远的回忆            
(5星)	 哇，这个必须推荐！！！            
(4星)	 没看过它的童年是有遗憾的童年。            
(5星)	 这个太好看了！！            
(5星)	 确实没话说            
(5星)	 从幼儿园看到二十岁             
(4星)	 我的启蒙经典！！！            
(5星)	 我记得我还能从这部剧里找基情= =            
(5星)	 这个肿马好不码上 看一万遍也不厌啊            
(5星)	 童年的记忆啊。            
(5星)	 很让我想念的一家人            
(5星)	 除非猪在天上飞            
(5星)	 成长的回忆，怎么能少了它呢？！            
(NA)	 迈克，凯若，本。            
(5星)	 有电台放我就看。下了原版以后顿时觉得这是我看过唯一一个觉得配音比原音好的电视剧            
(5星)	 一个又一个暑假......看一天成长的烦恼....玩一天小霸王。你知道我是多么怀念那段时光。            
(5星)	 经典。             
(5星)	 儿童时期的经典美剧            
(5星)	 两个人的欢乐时光            
(NA)	 好看！比什么家有儿女好看！就是我看的太晚了！            
(4星)	 其实 &#34;成长的烦恼&#34; 结束时，Friends在美国都还没开播。但在中国，这居然算是和Friends齐名的美剧 —— 可能是因为它有中文版吧。我给了Friends五星，你就只好四星啰。抱歉，不是我不爱你，只是我是个有原则的人...... = =b            
(5星)	 哦，BEN，地板真的是打过蜡的...            
(5星)	 show me the smile，dont wast another minute on your crying...            
(5星)	 童年的回忆。。            
(5星)	 每播必看= =跟白娘子一样。。            
(4星)	 高中看的 很老的片子了             
(5星)	 一看到迈克我就苏啊苏            
(5星)	 小时候的最爱!            
(5星)	 童年的记忆            
(5星)	 第一部看哭的喜劇....150集的時候 看哭了 伴著我與丹姐寒假暑假的電視劇 遼寧教育電視臺 懷念我們的年少            
(5星)	 看这部剧长大的：）            
(5星)	 很有趣的家庭片，莱奥来多当年是标准正太            
(5星)	 小学美好的记忆            
(5星)	 哈哈哈哈哈            
(5星)	 最后一季有莱昂纳多！            
(5星)	 难忘的回忆，show me the smile again~            
(4星)	 很早很早的时候看过...            
(5星)	 成长必看!            
(5星)	 电视上放了N多遍...还是觉得不错            
(5星)	 从小看到大的            
(5星)	 话说，这是我的第一部美剧。。。            
(NA)	 小时候看的~            
(5星)	 小时候最爱看            
(5星)	 小时候的快乐记忆。无法用语言描述。            
(5星)	 当时都爱死Mike了，没想到，他长大了，变丑了            
(5星)	 太经典了            
(5星)	 太棒了，童年的美好回忆            
(5星)	 I love the seavers            
(5星)	  童年啊            
(5星)	 曾经的经典！            
(5星)	 原来不是Leonardo主演呢。。            
(5星)	 小时候每个暑假必看！            
(5星)	 儿时陪我长大的片子。最爱迈克。            
(NA)	 some            
(5星)	 美好回忆~            
(4星)	 经典            
(5星)	 经典啊！！小时候大爱！            
(5星)	 奉为经典的，MUA            
(5星)	 经典            
(5星)	 迈克最帅最帅了=  =!暑期的期待什么的,绝对的.            
(5星)	 小时候成长的回忆啊。            
(5星)	 当时的最爱啊，主题曲太经典了 每次一听这个我就特开心             
(5星)	 好喜欢这部美剧啊 现在看起来仍然很好看 太经典了            
(5星)	 陪伴我长大……            
(5星)	 经典不需要语言            
(5星)	 其实我觉得这是最经典的~            
(5星)	 这还要说什么呢，满分。            
(5星)	 小时候超爱啊            
(NA)	 长歪            
(NA)	 最经典的了             
(5星)	 神剧！！！！            
(5星)	 如果我的家长能够借鉴一下这种相处方式 事情是不是就不会如此            
(5星)	 一辈子的经典，一辈子的回忆。             
(5星)	 觉得比friends好            
(5星)	 并不是简单的一句很看所能概括的，它组成了我儿时的一部分记忆            
(5星)	
(5星)	 经典！            
(5星)	 没看过这个说明你的童年不完整            
(4星)	 小時候的最愛            
(5星)	 回忆的痛            
(5星)	 恨不得给六星。我爱小Ben~~            
(5星)	 从这个开始认识美国            
(NA)	 这个打分好高。童年的印象多半都很完美            
(5星)	 小时候看的 不记得看完没            
(5星)	 西弗先生~            
(5星)	 有人问我看过美剧没，我想了半天就想到这            
(5星)	 伴我成长~~            
(5星)	 也            
(5星)	 看此片时正值青春期的我，就想着要有个mike一样的男朋友            
(5星)	 童年的回忆呀            
(NA)	 好笑。只是好老了。片子。            
(5星)	 这是一个永远无法超越的经典            
(5星)	 有关于回忆的 都是美好的            
(NA)	 普通话配音好囧            
(5星)	 到现在看都还能笑出声来~            
(5星)	 有机会再看一遍            
(5星)	 伴随成长的片子。            
(5星)	 Unbeatable            
(5星)	 没有他们就没有我            
(4星)	 上帝啊 Leonardo当年真是青涩到冒泡= =            
(5星)	 也是上视配音合 放了不晓得几百遍了            
