http://movie.douban.com/subject/4317617/	妮基塔 Nikita
(4星)	 到后面就不给力了            
(4星)	 唉，我到底是有多喜欢Maggie Q啊……             
(5星)	 alex。。            
(4星)	 很喜欢，又怕入迷陷进去            
(3星)	 maggieQ 很销魂。但是编剧不给力。            
(4星)	 麦基扣你咋能老这么快。。。            
(2星)	 MAGGIE Q穿得太多了            
(3星)	 看人看人 都很SEXY。 就是剧情越来越扯。。。            
(5星)	 各种有爱！从18集M叔不负众望推倒与被推后萌点爆棚！MIKI赛高！第二季够昂~            
(2星)	 女主太瘦 像男人婆              
(2星)	  MaggieQQQ。看了一半放弃了，其实还可以。就是不想看。。。。            
(NA)	 无感            
(3星)	 真是狗血的剧情，而且Q小姐的胸真小            
(5星)	 Maggie Q很帅气。            
(3星)	 CW台真是盛产垃圾的名台，即使有MaggieQ这样的大美女撑场面还是无力回天，MaggieQ大美女！！！！！            
(4星)	 从第一集就开始追的人到现在才看完，好看            
(NA)	 一季弃。            
(3星)	 弃剧。一般人对于出神入化神秘诡异气场强大美丽冻人的女性都会有异常的好感。            
(NA)	 太弱，果斷棄            
(NA)	 19            
(3星)	 Maggie Q的演技真是不敢恭维            
(3星)	 真的是MaggieQ！！！！！            
(4星)	 耐下心~            
(NA)	 弃了            
(5星)	 这部绝对有私心，和以前的尼基塔剧集相比我更喜欢这部，跌宕起伏的要是拍第二季都不知道能不能有第一季这样出彩            
(2星)	 MQ这种 不符合审美习惯 还是Alias万岁            
(3星)	 第一集剧情紧凑，虽然部分情节有点小幼稚，但大体不错。。。期待后面的发展。            
(4星)	 剧中说MaggieQ的身高是168，同样的个头人家怎么就能瘦到九十斤呢T_T身材真是好到爆了~话说，虽然觉得Michael有时候很装逼，但还是在梦里被我无情的侵犯了。            
(NA)	 just for maggie q            
(5星)	 屁股太小            
(NA)	 细腿儿小脚平胸翘屁股欧耶斯            
(5星)	 大爱复仇片！尤其是这种申张正义的暴力女英雄片（现实中最不可能的）            
(4星)	 曾经的英文名字- -             
(5星)	 Maggie Q美死了            
(2星)	 露一点加一个星。我打2星的意思是：如果maggic Q三点全露的话就给5星。至于剧情什么的，都是浮云。            
(2星)	 为了保证最优的辟谷效果，必须每天看着一个瘦子在我面前晃来当去的啊，虽然演技实在是恭维不起啊            
(3星)	 身材正点，屁股超翘~~·~好翘好翘~~            
(4星)	 本以为这是个粗制滥造的翻版，没想到居然还不错，挺好看的，哈哈。MAGGIE胸太小了，有点美中不足。            
(4星)	None
(4星)	 长腿 性感 还是特工 有什么理由不喜欢?除了有点老            
(3星)	 爱情使人脆弱。            
(4星)	 17集有感动到。。。            
(4星)	 maggie Q好美啊 （¯﹃¯）            
(4星)	 节奏感好~~~~            
(1星)	 破烂剧，剧情BUG超多拿观众当傻逼，唯一点的卖点就是Maggie Q有老又丑集集卖肉实在看不下去啊TMD            
(5星)	 帅~            
(4星)	 消遣            
(3星)	 Maggie q总是这个类型，，，            
(3星)	 开头很精彩，而且MQ也很美艳，但越到后面，剧情的BUG越来越多，美艳的冷面杀手感情越来越丰富，就注定了这部电视剧最终会以虎头蛇尾收场，索性最后一集来了个大反扑，让人还能带着点期待等待第二季，而第二季也的确成为了最后一季，那就拭目以待等等看吧，毕竟MQ在里面的是功不可没的关键，很美艳啊！            
(3星)	 2            
(NA)	 坐等第二季！            
(3星)	 Q太瘦鸟。MIKITA是对cute couple            
(5星)	 第二季敢不敢快点！            
(3星)	 看了13集 决定放弃 没有特别吸引我的地方              
(3星)	 剧情好傻，人（and衣服）好正。            
(4星)	 喜欢美剧特工不解释。            
(4星)	 终于找到一部剧跟。            
(3星)	 老女人了趴.....            
(5星)	 啊啊啊，第一季就酱紫结束了，还没过瘾啊亲            
(4星)	 最后一集yyys            
(4星)	 Maggie Q！！！！！            
(3星)	 感觉就是加长版的赤裸特工。。。。。。。            
(3星)	 最后一集彻底狗血了……            
(3星)	 越看越腻·····弃            
(NA)	 看了两集就看不下去了            
(5星)	 Maggie Q的腿是不是太长了一点！            
(4星)	 目前为止还行，但是吸引力在艾丽克斯而非尼基塔。            
(4星)	 后面精彩            
(NA)	 打戏蛮好看，演员也都顺眼            
(4星)	 maggie Q             
(4星)	 又一对心水的情侣啊。此剧确实是和室友吃午饭时观看的很好选择啦。            
(4星)	 太假了,20集简直不能理解,20:30起Jaden和Alex在门口对话,过程中Alex是靠在门边的,而据Amanda的讲述J的耳机是挂在左耳显眼位置,当时的Alex没理由看不到,只能理解为编剧为尽快让剧情前进而在之后临时加了那段,所以才这么久才更            
(4星)	 Michael is so sexy!            
(3星)	 真难想象尼基塔如此矫情的人还能做成这么多事            
(5星)	 剧情在电影的基础上有很多更丰富的延伸，节奏和剪辑也很不错！            
(5星)	 完全冲着MQ姐~            
(3星)	 当MTV来看还真是赏心悦目啊，，至于情节实在没啥好说的，仿佛看的每一集都是同一集，，，，            
(3星)	 第二季出了我应该还会看~虽然确实有点假的可以了···            
(4星)	 喜欢那个Leader            
(NA)	 maggieQ好耐看❤            
(4星)	 完美得诠释了什么是故弄玄虚和虎头蛇尾～            
(5星)	 总算追完了... 结局还算有起伏，期待第二季Nikita大战Alex，Amanda很给力...            
(3星)	 改编美剧            
(5星)	 5分是给Maggie Q的            
(2星)	 有点弱智 看不下去            
(3星)	 相当扯淡嘛！就单纯为了看Maggie Q而已            
(NA)	 终于把最后一集补完了，众叛亲离的percy啊~            
(4星)	 Maggie Q真是老了，不过还行            
(3星)	 还好，适合冬天看的鸡血美剧            
(4星)	 主要看美女 别的没兴趣·            
(NA)	 性感女神变身老娘们            
(4星)	 就是看美女也值得，Maggie Q真是美艳不可方物啊！！！不过没心情看下去了，当看完吧。。。            
(3星)	  MaggieQ 老了，而且太瘦            
(4星)	 太养眼了            
(4星)	 maggieQ太瘦了点            
(3星)	 MQ的演技掩饰了有点弱智的剧本漏洞            
(3星)	 绿色片            
(4星)	 完全是被MaggieQ吸引的            
(4星)	 我也想会功夫身材超好然后一枪一个准啊！            
(3星)	 虽然漏洞无数，制作粗糙，但是这么长的22集我也楞是看完了。打斗不错，大叔也是有的，另，Maggie Q完全养眼。            
(NA)	 我也觉得一般            
(3星)	 身材不好            
(4星)	 oh Maggie Q...            
(4星)	 期待下一季            
(3星)	 随便瞧瞧            
(4星)	 只有打打杀杀的会有点不想看S2诶。。感情冲突还是制造的不够吸引人            
(3星)	 看了开头，无爱。。。            
(5星)	 MaggieQ 不是一般般的hot            
(NA)	 弃。            
(3星)	 maggie怎么没有赤裸特工里的漂亮呢~            
(4星)	 卖点是各种性感各种调情……但是看起来观众大多数都买这个帐哦！            
(NA)	 sacrifice in dark for justice ===&gt;  powerful and beautiful            
(4星)	 Q~~实在太帅了~~            
(3星)	 没兴趣看下去了            
(4星)	 第一次是赤裸特工。的确很性感。期待第二季。            
(4星)	 Maggie Q太有味道了 美死了美死了美死了            
(4星)	 Maggie Q很帅,剧情却越来越弱的感觉...            
(4星)	 主要看身材            
(4星)	 性感热辣            
(3星)	 无聊 放弃            
(3星)	 跟的别的剧停的时候看了几集，无感，果断弃剧~            
(NA)	 不追了……            
(4星)	 MaggieQ is so hot            
(NA)	 有没有第二季已经无所谓了            
(3星)	 有种美剧，明明很没意思，但你还是会追着看。。            
(4星)	 电视剧版赤裸特工，其实我是来追ShaneWest的。            
(NA)	 鸡肋，弃之。            
(NA)	 CW出品果然都麻麻。。。。弃            
(4星)	 特工片儿八成就是这套路了：心上人被组织或对头灭了，特工大人悲愤交加拍案而起——反了！加上国仇家恨、炫目枪战、精彩打斗、fancy武器，任旧瓶装新酒，老套也得好看。情节设置有些不合理，但好在人hot场面也好看。Q姐还是这么美艳，而且打女范儿也非常适合她。2011.5.21            
(5星)	 美女!            
(4星)	 还行吧~~呵呵·~~            
(4星)	 没几个人能把紧身衣穿得像Maggie Q那样销魂啊！不过她伤心难过的面部表情太生硬了，没有表情就是Maggie Q最好的表情。            
(4星)	 Maggie Q的脸真是越来越长了……            
(NA)	 MGQ好瘦好干不够美。            
(2星)	 性感 。。但是MAGGIEQ演技真是很烂。。            
(4星)	 Nikita是一个让人心动的名字。            
(3星)	 真是只冲着Maggie Q看的...            
(3星)	 很有爱啊            
(4星)	 maggie Q打得太帅气了！！身材简直太棒了            
(2星)	 剧情一般化            
(3星)	 纯粹为了MaggieQ 故事实在是.             
(4星)	 正在看啊，看啊，看            
(4星)	 这样女特工的题材说实话还是蛮吸引我的，Q和Lyndsy的演出我觉得都不错&gt;&lt;很期待下一季的Alex的转变，还有Amanda~~~            
(5星)	 在追哦~~好慢            
(4星)	 女版的伪装者            
(4星)	 好看!!!!            
(4星)	 第一季完了啊！！！Amanda这个大腹黑啊！！Percy这个悲剧啊！！麦扣和Nikita一路顺风啊！！            
(3星)	 看不下去了            
(3星)	 没兴趣跟下去了            
(4星)	 跟邵特是一个路子下来的吗            
(3星)	 科幻不是我的菜…… ps 发现华纳的电视剧普遍很装B = =            
(1星)	 CW今年的新劇無一不傻            
(4星)	 最后一集有点坑爹。。。肿么死而复活那么容易啊！！！            
(4星)	 女特工女杀手什么的最给力了！！！！！            
(1星)	 果断弃剧            
(5星)	 我穿越了……明明是看完了            
(4星)	 Cant wait to see the next season!!!!!            
(5星)	 每个人都不是你想的那样 包括编剧             
(3星)	 alex            
(4星)	 这冷饭炒得嘞……            
(3星)	 正义也是相对而言的；Ｍaggie Q老了。            
(NA)	 一集弃。            
(4星)	 后劲十足            
(3星)	 为嘛《尼基塔》能续期？难道米国人民不觉得“组织”太弱智吗？骨感Q姐姐的木乃伊表情也够持久战了吗？            
(NA)	 四月回归            
(4星)	 MaggieQ太适合演职业杀手了            
(2星)	 这一切是为什么。。。            
(4星)	 勉强四分            
(3星)	 这分数全冲着妞了 ALEX的颜真的好看没话说 NIKITA刚开始很酷后来就为了服务吃瘪无数卖肉无数人见人爱狗血狂撒 阴谋论到审美疲劳 而且有时一点百合气息也是在撑场面吧...后面剧情越来越扯忍不住快进有木有！及时完结一季明智            
(3星)	 maggie Q真是老了...可是为了她还是会追..            
(3星)	 好屁股。。。            
(NA)	 应该会被砍            
(4星)	 一定要多撑几季啊!!!好久不看这类型美剧了,Q表现良好!            
(3星)	 第一集一般..估计这剧拍不了很长，MAGGIE Q真是老了..但是为了MAGGIE Q还会在追...么办法            
(4星)	 Maggie Q is hot~            
(4星)	 整体还不错, 打斗场面还是挺有看头, 最后几集有点狗血╮(╯▽╰)╭            
(NA)	 。。。。。。。。。。。。。看不下去了            
(NA)	 有Maggie Q啊，我最喜欢了            
(3星)	 弃            
(NA)	 for Maggie Q            
(NA)	 3            
(3星)	 你很美,可是你真的没有胸            
(3星)	 平平的剧集，CW台编剧的狗血和弱智和TVB有一拼。但Maggie Q很赞。            
(3星)	 意思不大，硬伤太多，放弃……            
(4星)	 我就是外貌协会的！            
(NA)	 Michael求你别摆造型了……            
(NA)	 棄            
(3星)	 再瞅一眼MQ            
(3星)	 没什么意思            
(4星)	 老去的Maggie还是那么味儿~！剧情到了最后一集有点哗边，坐等BJ下季给力            
(4星)	 只為看胸的寫評論的各位 直接看AV就好啦 跑來這挑什麼刺？            
(NA)	 比想象中好看            
(NA)	 101            
(3星)	 也就NIKITA而已，总的来说不值得有第二季 也拍不出个第二季来。            
(3星)	 maggie Q还是很装逼 看到后面还好没有最开始那么反感 只是这类型cw实在驾驭不了 太空洞也乱 有点不伦不类 砍不砍都那样              
(4星)	 主角光环啊            
(NA)	 MaggieQ那張沒什麼表情的臉只適合演被迫培訓的女殺手            
(3星)	 挺耐看的。。。幸好不用追很久            
(3星)	 前面部分还不错，和Michael上床之后就不好看了…            
(5星)	 12.1-2 杀手型电视剧里情结跌宕的，还是有些内心成分，最基本传达的就是帮助与勇敢了吧，Niki很棒，希望第二季更好            
(3星)	 混血是王道呀，故事么就是woman save woman, woman help woman.弃            
(3星)	 三星！不能再多了！            
(5星)	     美女肉搏械战              
(NA)	 无聊。MQ的大马脸看腻了。。            
(5星)	 不知道为什么特别喜欢...            
(4星)	 MaggieQ 真是性感到我爆鼻血！！！             
(3星)	 终于把第一季看完了，我不会再追第二季了。历史上能大闹CIA总部的，除了伊恩·亨特和尼基塔还有谁么？            
(5星)	 很喜欢的女主，有范儿帅气感性。            
(4星)	 完全就是冲着小ALEX去的            
(5星)	 小A太美了            
(4星)	 然后我的pad屏幕跟着里面的爆破而绿了            
(NA)	 真是又高端又弱智啊。maggie&#39;s gorgeous！            
(4星)	 不能认真看 要不漏洞一大堆            
(3星)	 看了几集看不下去了。。。单纯的拍成一本电影就好了呀，干嘛搞这么复杂            
(4星)	 剧情真的没什么出彩的地方，比比24小时什么的，这部片就可以不看了，纯属消遣娱乐片。            
(NA)	 题外话就是我这种人死得早的原因之一就是如果我跟你说i trust you。。。。那这件事就没得改了。但是，对方不一定。            
(4星)	  Maggie_Q  啊咧啥时候我也能成为这么利索的人            
(4星)	 最洗番看美女打架了。            
(4星)	 大爱Alex啊！            
(5星)	 腿！            
(4星)	 很喜欢她            
(4星)	 看性感美女打打杀杀什么的最美好了~            
(5星)	 觉得Maggie Q还是有点老            
(4星)	 喜欢            
(4星)	 之前一直拖着没看，以为是翻拍而之前的尼基塔的老版本非常赞，这部是她的后续还不错，虽然漏洞很多但是，人物的演技很赞，MaggieQ很迷人！喜欢动作的不要错过。            
(3星)	 就是看美女Lyndsy Fonseca、Maggie Q打鬥耍帥，劇情和邏輯是浮雲，我說組織不如多花點錢裝監視器，這樣很多事情早就解決了            
(4星)	 主要是来看M的美剧            
(3星)	 还行吧只能说。            
(4星)	 漏洞真的太多了   看一季决定弃了            
(3星)	 19            
(4星)	 剧情什么的都是浮云，最大的看点是maggie Q啊！            
(3星)	 没有当年赤裸特工的惊艳，还是挺美的。            
(2星)	 据说美国那边第二部都快拍不下去了 为什么国内引进了就有那么多人说好看呢 看来还是宣传的作用吧搜狐天天挂视频首页            
(3星)	 哎呀最近看过好多美剧的第一季第一集啊......            
(4星)	 四星的最后一星是给MAGGIE Q的，这个女人真美。剧情其实不算太给力。不过很喜欢看迈克和Nikita在一起。            
(4星)	 就是超爱maggieq～            
(5星)	 真是越看越像个游戏            
(4星)	 好看啊，还是觉得美剧比较有逻辑，思维紧凑，可以一边锻炼英文一边催自己赶快跟上步伐，稍微分神下就不知道当下正在发生的是什么事了。MAGGIEQ真的是无敌美艳啊，各种秒杀~~            
(3星)	 丛老师倾情推荐下看了…说实话中间一度觉得看不下去…感觉露洞太多，那么高科技的组织在内部居然没有摄像头！这个一直无法理解…剧情方面也略微乏味…不过最后几集的几个反转处理的倒是不错，让人想追着看看…            
(4星)	 我从小时候就很喜欢MaggieQ不知道为什么= =            
(3星)	 发现看完PB，对这类美剧就无感了。还是喜欢生活化一点的片子，可是想想自己的生活。然后我怎么觉得M-Q老了呢，当然身材还是很辣的。想我请一天假在家里休息，就是把这个看完了。holy shit...从白天到黑夜，我最近的生活是有够怪了。。            
(NA)	 一群老爷们干不过一个小娘们，哇咔咔~看到第十集，想弃了~重新捡起来，剧情越往后，越复杂，也精彩多了~            
(3星)	 Maggie Q。。。不过故事情节有些弱了。。。            
(3星)	 剧情虽然很多漏洞 但是还是继续看了 MaggieQ 好叼            
(5星)	 oh,i love nikita oooor maggie Q.            
(4星)	 個人腳著很好看 MaggieQ讓我找到了潤成的感腳（＞人＜）            
(4星)	 故事的背景和人物设计都是我超喜欢的，让Maggie Q来演尼基塔让我又多了一个观看的理由，她一直都很适合演这种帅到爆的女特工，以前的电影时间太短无法尽兴，这次的电视剧长度真是让人大呼过瘾。Alex的演员很漂亮，身材也很正点，稍稍有些抢女主的风头，Michael完全是我的菜，这部剧的演员都很不错~            
(4星)	 美女特工什么的，怎么能拒绝呢~            
(4星)	 复仇皇帝大？！            
(4星)	 mag Q老了             
(3星)	 虽然知道Nikita必胜，但还是能看下去。越来越喜欢Maggie Q了，Maggie Q和Naya有点像呢，我喜欢这个类型的。            
(4星)	 maggie Q实在是hot的要死 喜欢相爱相杀的这对            
(4星)	None
(4星)	 哦哟            
(5星)	 虽然这种superhero的狗血事情发生在一个女人的身上，并且此女还是金刚不死之身，扯淡到了一定境界。但不妨碍我依旧津津有味的欣赏MAGGIE Q            
(3星)	 肾上腺素直冲大脑 尼基塔也玩魂器这一套？？？？中间有几集实在太水。。            
(4星)	 最爱看这种题材的电影和电视剧了&gt;&lt;            
(3星)	 要不是Q姐，会不会很多人都不看了呢，剧本懒得没法说~            
(5星)	 maggie小姐也是世间奇女子！            
(NA)	 为了看看同事们都在看什么，周末看完了，然后昏迷了            
(4星)	 Michael的小模样还是很不错的~            
(5星)	 太好看了。MAGGIE Q  的身材绝儿了            
(3星)	 能不能专业点，看那拿狙击瞄准的样就知道不熟练            
(4星)	 oh my god , maggie is so damn hot and so is her performance            
(3星)	 其实吧maggieq真的好瘦啊            
(4星)	 很久没看这样的剧了 美越混血。。。            
(5星)	 哎 突然发现一部剧让我觉得好看太简单了呢~~~&gt;_&lt;~~~ 不过…这结尾…我还是看太快了第二季先暂停好了。Michael大加分！！！其实…美剧也是邪不压正主角开外挂的套路吧XD            
(NA)	 就喜欢这个··好喜欢··结果美剧不放了····            
(4星)	 之前看到十三集，两个月后又翻出来看完了。好给力 Maggie Q            
(5星)	 看穿着晚礼服的美女与暴徒搏斗很养眼啊很养眼            
(4星)	 maggie Q的身材真的是无敌了~~~            
(NA)	 刚出来几集确实刺激，后劲不足，女二好看。            
(4星)	 加长版赤裸特工…………            
(4星)	 從開頭幾乎到結尾都是部普普通通的動作電視劇，結果到最後狗血了！各種關係開始混亂了！有意思起來了！            
(NA)	 Maggie Q身材太惹火了，我都受不鸟了。但是确实老了，岁月不饶人啊。。            
(4星)	None
(3星)	 有虎头蛇尾之嫌            
(4星)	 无脑娱乐            
(3星)	 动作 服装 身材 帅哥 美女 都是亮点~可以看看            
(4星)	 李美琪加1            
(4星)	 It&#39;s too late to apologize.It&#39;s too late……全能女战士Nikita为维护世界和平百姓平安一次次出生入死化险为夷还勾搭了一个两个三个男人的故事。死去的男友叫Daniel是巧合咩。打酱油的Ryan。像Barney的Michael。Alex，se            
(4星)	 熬了三天，终于把这部剧看完了~Maggie Q好有型~~就是喜欢这种气场强大的女王~~            
(4星)	 当你知道苏联的 赫鲁晓夫 全名叫Nikita Khrushchev的时候，你就觉得Nikita好诡异了。。。。。            
(NA)	 maggie            
(NA)	 太不冷血了吧            
(4星)	 MaggieQ真的感觉老了好多……            
(5星)	 很好看啊！            
(NA)	 两天看完22集。。。            
(5星)	 显得一比。            
(4星)	 第一季，nikita完败啊……………………            
(4星)	 MQ真帅啊，看下第二季剧情怎么走吧。最好再出几个黑暗级别boss，percy真的长着一张不像boss的脸，amanda姐比较有感觉(･`ω･´;)            
(4星)	 美劇比大多數同題材電影好看多了...唉            
(NA)	 Nikita和那个谁的奸情才是俺关注的重点。            
(3星)	 无聊            
(4星)	 女神就应该这个样子的            
(4星)	 终于知道男主角哪儿怪怪的了……总爱翻白眼            
(4星)	 Maggie Q 老了呐... TAT            
(3星)	 2010 CW             
(3星)	 太土了 每一集都差不多的套路 我居然还看完了 我擦            
(5星)	 最新5碟套装完整版            
(4星)	 用不用这么狗血。。。            
(3星)	 弃在E18            
(5星)	 Brikhoff姓斯坦福，Percy姓伯克利……啧啧……            
(5星)	 期待第二季 动作片什么的 养眼的美女最重要了！            
(4星)	 House 后没东西看了。。。            
(4星)	 暑假没网的日子阿，靠着它度过的。            
(4星)	 Maggie Q 的身材真是赞啊！魔幻厨房的时候就觉得这个女人是祸水级别的尤物。。。            
(4星)	 马基克优还是很美丽的 如果男演员帅点就好了﹁_﹂            
(3星)	 美式女超人无间道            
(NA)	 好好看！            
(4星)	 意外的不错..我其实喜欢Michael..的眼神            
(4星)	 等待第二季= =            
(5星)	 很好。豆瓣評分可以無視。            
(5星)	 MaggieQ身材真不错啊……            
(4星)	 虽然剧情没什么悬念 总之不知道为什么 还想看第二季= =            
(4星)	 好看啊,各种养眼啊，各种基情啊，可惜最后一集没看懂啊.....            
(5星)	 愈到临尾几集愈精彩,期待第二季! 但愿编剧别象越狱那样虎头蛇尾.            
(NA)	 下一季决定不追了 我觉得这种剧情只适合一季 爱情剧我喜欢悲剧结尾 但我还是相信正义会战胜邪恶             
(4星)	 mikita            
(5星)	None
