http://movie.douban.com/subject/1786742/	情深深雨濛濛
(3星)	 这个晚了，记得妈说如果以后哪个男的看你的时候像何书桓那样深情，该多好啊            
(NA)	 放了Ｎ年了．．            
(NA)	 ……            
(2星)	 开始讨厌林心如            
(3星)	 汗颜...我看时太年轻...            
(5星)	 书桓！你等我跑过去！            
(3星)	 古巨基去屎啊！            
(3星)	 也不知怎么的就断断续续地看完了！            
(3星)	 就……很狗血但是很好看啊= =            
(3星)	 AV八的最爱。            
(3星)	 何书桓理想的让人恶心。            
(3星)	 电视台又放了。。。。。。            
(4星)	 情不自禁哼起主题曲            
(2星)	 矫情            
(3星)	 我妈喜欢看            
(4星)	 还成吧 喜欢林心如            
(NA)	 班上就我一人不爱看            
(NA)	 每次找同学都耳濡目染- -             
(3星)	 过。            
(1星)	 2001全是磨叽逼              
(5星)	 我真心诚意的觉得好看，而且最近湖南卫视和浙江卫视都有在重播。。还是很好看。            
(4星)	 我喜欢依萍的倔强不妥协。            
(4星)	 老板娘表现不赖~            
(3星)	 我敢说，原著很好看！            
(4星)	 算很经典了            
(3星)	 何舒桓很深情，我喜欢。其实雪姨我最爱，御姐啊            
(3星)	 那些年是琼瑶剧的天下            
(NA)	 现在听OST的感受就是歌唱得真一般。对那个绿色的字幕印象深刻            
(3星)	 嘶~            
(4星)	 何书桓，I hate you            
(3星)	 哇哈哈哈哈哈哈            
(3星)	 原来我也曾经追过琼瑶剧。。。囧            
(NA)	 天也无尽地无穷            
(NA)	 补遗            
(1星)	 垃圾垃圾垃圾。。。真以为自己的作品多么NB呢。。。顽固不化的老妖精。。。            
(3星)	 琼瑶阿姨 是毒！            
(3星)	 圣约翰大学。。。            
(3星)	 给三星……我太厚道了！            
(2星)	 台词真TM恶心。            
(3星)	 这个电视剧“太霹雳了……”            
(3星)	 这我妈比我爱看            
(3星)	 似乎那时候已经开始不cj了我            
(NA)	 以纪念这个无处可躲的trueman&#39;s world            
(NA)	 BS我吧            
(4星)	 旧旧的回忆。            
(3星)	 第一遍看的时候很感动，后来发觉琼瑶的logo实在是明显，我已经产生免疫了……            
(3星)	 乘胜追击的一部戏，集合了已经当红的两岸明星或艺人，因为还谈不上有演技。唯一出彩的是徐路，把疯癫的可云塑造的很有特点。生活，是因果循环。            
(5星)	 这五颗星不叫做“力荐”，而叫做“十分喜欢”。想当年，初中的我可是为它神魂颠倒啊……            
(4星)	 完整看过的言情片            
(3星)	 不喜欢何书桓            
(4星)	 不得不肯定 赵薇还有古巨基的演技...            
(3星)	 从此以后看见琼瑶就想吐。。。            
(2星)	 书桓走的第一天，想他想他想他。书桓走的第二天，想他想他还是想他。书桓走的的三天，想他想他发了疯地想他……琼瑶奶奶很会用排比句            
(3星)	 崩溃            
(4星)	 改的没有原著的内容好 但是演的还不错            
(1星)	 古巨基真是史上最怂，苏有朋跟他半斤八两            
(2星)	 叹息..            
(2星)	 不喜欢就是不喜欢 那“何书桓”整一个乱世年代的文艺青年+嗲气小白脸。            
(4星)	 当时好迷好迷……            
(1星)	 真恶心            
(3星)	 不喜欢古巨基。            
(NA)	 对于被感动的泪流满面的人我只能摊摊手摆出理解不能的样子...            
(NA)	 赵薇，无论你如何演，你都不是上海人（可是你丫为什么一直要演上海宁呢？）……ps，我讨厌林心如啊讨厌林心如            
(3星)	 也是制造了万人空巷            
(3星)	 我就喜欢看抢婚那段!!!!            
(NA)	 =v= =v=             
(3星)	 ！！！！！！！！！！！！            
(2星)	 诶。。真不知道我以前脑子咋长的，尽看这些            
(NA)	 更垃圾。            
(3星)	 可没少重播            
(5星)	 小时候反复看了无数遍            
(3星)	 一度迷恋            
(NA)	 这种白痴电视剧我看了10遍我会说嘛            
(2星)	 当年就觉得一般。            
(2星)	 我不明白为什么电视台老爱播╮(￣▽￣&#34;)╭            
(5星)	 当年真是像个少女一样追着看呢~╮(╯▽╰)╭            
(3星)	 等的就是赵薇替身跳大桥那段。            
(5星)	 我當年可愛看了            
(4星)	 看了...2遍吧..总之放假就播那种....恨死雪姨了！演技真好！            
(5星)	None
(5星)	 当年觉得可好看了            
(3星)	 曾经非常认真地看过一遍……2011.TV            
(4星)	 美好的回忆~茹萍  和 书桓幸福的生活在一起。。。            
(4星)	 10年了= = 。。。我终于把它看完了。。。我觉得赵薇演的很不错            
(NA)	 ······            
(3星)	 这片儿我看过……            
(3星)	 。。。            
(4星)	 我老妈妈每次重播也不会落下的片子。其实在阿姨的作品里，这部算不错地了~里面的四位都很萌            
(5星)	 真的可好看了！摸着良心说好看！            
(4星)	 我真的看过，琼瑶大妈很厉害。            
(4星)	 那时候琼瑶多火( ﹁ ﹁ ) ~→             
(5星)	 其实很狗血但看了好多遍……喜欢杜飞~            
(5星)	 我是多爱这部啊 每次重播都看            
(NA)	 我只是马克一下            
(4星)	 曾经租碟看的~            
(5星)	 你可知道老故事最甜蜜 往事难忘 往事难忘            
(5星)	 我的爱！ 我要找我的刺！            
(3星)	 前半部分家庭伦理片，中部分是歌舞片，后半部分爱情战争片。            
(5星)	 为什么我觉得很好看，我会唱里面好多歌～            
(4星)	 小学时陪姥姥看的电视剧啊~故事情节不错的说， 陆振华演的太帅了~            
(2星)	 上初二早上出早操的时候，王洁还会滔滔不绝地讲这个故事给其他懵懂的女孩子听，我感兴趣的是接吻那一块。            
(3星)	 看完了的            
(2星)	 你无情，你无耻，你无理取闹！            
(NA)	 我不要听我不要听我不要听嘛！~            
(3星)	 每日早上批判对象            
(5星)	 还改编过主题曲猫深深狗濛濛= =            
(NA)	 其实是好看的。            
(3星)	 小冤家~   赵薇唱的好可爱            
(4星)	 我说实话我考上海州中学都靠它！            
(3星)	 哈哈哈琼瑶剧里我最喜欢的一部            
(NA)	 書桓走的第一天，想他……書桓走的第二天，想他想他……書桓走的第三天，想他想他想他……            
(NA)	 我好洋气啊。。看的是粤语版。。那个~离别的车站蛮好听的。。            
(NA)	 我是真的看过啊啊啊啊啊啊            
(NA)	 古巨基同学堪称雷神！            
(3星)	 小时候还挺喜欢杜飞的            
(5星)	 这个真实太经典了，哦哦哦            
(3星)	 我居然看完过，汗·······            
(3星)	 我会比你无情！？比你残酷！？比你无理取闹！？你才是我见过最无情、最残酷、最无理取闹的人。 ←哈哈哈哈            
(4星)	 你才残酷，无情，无理取闹！！！！！！！！！！！            
(4星)	 哎哟喂我发现我那时候怎么就净看这些个……            
(3星)	 小时候很待见，那时就露出本性了啊，哈哈            
(5星)	 哦哟时至今日还一天到晚模仿剧中桥段            
(3星)	 依萍你在找神马。我在找我的刺啊。我是一只刺猬！            
(4星)	  小学第一次看其实还蛮感动的- -   T T等分数的日子里每日cctv8。。。当中隔了十年 不知重播过多少次 人事几番新             
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 其实这片真的还不错- -可是我不喜欢古巨基……和他那纠结的眉毛            
(4星)	 当年姐姐我是多么爱看啊            
(3星)	 你说我当时怎么把它看完的？            
(3星)	 换了古巨基还能多一星。            
(NA)	 我竟然看过！            
(NA)	 你无情，你残酷，你无理取闹！            
(3星)	 哦，今年琼瑶剧中稍微能接受的，只是因为演员看上去不错，虽然古巨基嘴巴是歪的            
(3星)	 情深深雨蒙蒙世界只在你眼中 ♬            
(3星)	 差强人意            
(5星)	 恩 时光             
(NA)	 多少楼台烟雨中            
(NA)	 想起初中的时光            
(3星)	 其实不那么难看。            
(3星)	 真希望何书桓自杀            
(5星)	 感人至深啊            
(3星)	 其实我很喜欢跳河那集，买了碟之后总是反复看。。。            
(3星)	 当年琼瑶那时一个火啊~~，现在貌似成另一代名词了。。。            
(2星)	 恶心。            
(NA)	 片头歌还是很好听的            
(3星)	 哈哈哈            
(4星)	 向过去妥协。好吧。我承认。大家都看了好几遍，行了吧。            
(5星)	 心血来潮又搜一下            
(3星)	 当时很热播的咯~杜飞不错 很有喜感：）            
(3星)	 小时候和老妈一起看            
(2星)	 真恶心            
(NA)	 小冤家 你干嘛            
(3星)	 我真不喜欢古巨基 里面的人就没几个让我喜欢的 其实我也看过原著 觉得没这么差            
(3星)	 看着牙有点儿酸。那时候我已经长大了一些。那年我正上初三，每到黄昏校园播起赵薇甜甜的“情深深~雨朦朦~”我们就面对着一黑板的数学题就按捺不住了青春的小惆怅O(∩_∩)O            
(4星)	 记得当时大结局时，我还在初中期末考。            
(3星)	 后来发现现实和剧情会有重叠的时候            
(NA)	 小时候和妈妈一起煲过的电视...            
(5星)	 靠台词嫩个叼。            
(3星)	 我奶奶喜欢看。            
(2星)	 【昔时所看】看过部分，这种战乱年代的爱情故事不知道被多少电影电视剧传诵了……当年看的时候，只是感觉好酸呀……            
(NA)	 也不知道当时是怎么忍着恶心看完的，记得首播那会儿还坚持着不看来着……            
(2星)	 这个更加恶俗            
(3星)	 娘亲= =琼瑶阿姨窘窘有神            
(4星)	 书还很摔的。。。。            
(3星)	 年少回忆。            
(3星)	 那个年代的战争与爱情。            
(3星)	 已经到了听到“依萍”“书桓”就想砸电视的地步…电视台你能不能不要再放这个荼毒我们了！？            
(3星)	 我娘爱看的……            
(2星)	  琼瑶大妈~            
(4星)	 嗯···小时候喜欢看得··            
(2星)	 肉麻的台词是琼瑶的特色            
(3星)	 看得我老是脸红呀            
(NA)	 我妈妈~其实跳河那段 我也哭抽了            
(4星)	 我沒看過我沒看過我沒看過…… 我果然還是看過了……            
(3星)	 打发时间挺好的~            
(2星)	 脑残            
(4星)	 继续童年的回忆= =            
(5星)	 心.依.如.梦            
(3星)	 那时候看得我眼泪哗哗下。特别是其中一场戏是赵薇跳下河被救起来以后昏迷不醒，古巨基哭得死去活来。现在回想起来，觉得琼瑶剧中的男主角好像演戏都以夸张著称……            
(NA)	 200块钱买不走我今天的耻辱  我要笑着看你们每一个人哭            
(3星)	 年轻时候……            
(NA)	 我就无奈了，看看豆瓣都猜我喜欢什么来着~！好吧，我承认我看过这个。几集而已！            
(4星)	 又是儿时在被窝里看的电视剧            
(3星)	 嘿            
(2星)	 我一直在研究赵薇跳桥是自己跳还是替身跳            
(4星)	 想当年我也有追。。。            
(NA)	 喜欢心如和友朋            
(NA)	 其实她在歌厅里唱歌的衣服真的很美吖.            
(4星)	 我当初居然花了2天看完了48集            
(3星)	 这个故事我觉得一般。            
(4星)	 不明白为什么会对这样的电视剧念念不忘……            
(NA)	 何书桓绝对是我的菜！！！！！！！            
(NA)	 “我多希望可以爱你少一点”            
(3星)	 初一 不喜欢这个片子             
(4星)	 很怀念那时候在家看这电视剧时候的情景            
(5星)	 超级好看我看了10遍            
(2星)	 赵薇的角色真糟糕...我无论如何也没法子将古巨基和何书桓联系在一块儿            
(NA)	 何从礼物盒子里钻出来时，我的感觉，就是对整出戏的感觉。既感动，又觉得幼稚、滑稽。可是如果真有人把自己打包送上门，真是会感动呢。            
(2星)	 要不要这么煽情撒。            
(4星)	 你可以笑话我喜欢过书桓。            
(NA)	 还珠效应。            
(3星)	 初中时看的。。。            
(4星)	 也是很经典的。            
(NA)	 OMG            
(3星)	 喜欢那里的歌            
(1星)	 太恶心了~!!!!!!            
(3星)	 比较喜欢方瑜和尔豪这一对……            
(5星)	 几乎每次重播我妈必看。。。小学时候很风靡～            
(2星)	 不喜欢 很滥情             
(4星)	 想不通，我奶奶爱死了。看了无数遍，当然，我也陪她看了无数遍。            
(3星)	 古巨基的咸鱼翻身之作            
(3星)	 极为一般，但歌还算好听            
(5星)	 我只想说其实我还挺喜欢~            
(3星)	 这个阵容，我没什么好说的了            
(3星)	 我看到情节。            
(3星)	 其实还满好看的，就是有点太腻了            
(NA)	 当时很喜欢的片子不知道问什么现在看有点想吐，觉得矫情了            
(NA)	 我很喜欢~            
(4星)	 喜欢依萍这个人物的性格，不同于一般琼瑶剧女主，犀利尖锐并且执着坚韧。            
(4星)	 琼瑶阿姨的东西哦~~~~咋个说呢。            
(NA)	 这个初二的时候看的,还是找老老相好借得碟看的,现在都爱看!真傻逼!!            
(1星)	 唉,,,            
(3星)	 年少不懂事            
(3星)	 倔强执拗一去不回但又懦弱需求爱的陆依萍.她的名字注定她的命运.我很喜欢可云.她最终完成了自我救赎.            
(NA)	 一般            
(1星)	 雨朦朦,吐得哗啦啦.            
(3星)	 愛的死去活來的            
(4星)	 我的古巨基阿 毁啦            
(5星)	 就爱看旧戏~            
(NA)	 现在不会去看了吧            
(3星)	 人家不过制造了几个快乐 想不到成了我们的笑柄            
(2星)	 俗。不如原著。            
(3星)	 呃。。。            
(NA)	 这种情歌唱不到今天            
(3星)	 呵呵。我受不了古同学的含情脉脉的眼睛            
(2星)	 陪阿妈追看            
(3星)	 我只能说还行．因为实在太言情了～            
(4星)	 想当年小学时候每天中午去离学校近的舅舅家看这个 迷得要死 上了大学之后发现原来是在我们老校区拍的            
(NA)	 比还珠1和原著难看多了            
(4星)	 鸡皮疙瘩掉了一地...写个日记都酸的不得了，什么书桓走的第一天，想他；书桓走的第二天，想他想他；书桓走的第三天，想他想他想他...太膈应人了！！！！但是想到依萍对着书桓唱情歌的样子，想到她在如萍订婚宴上强颜欢笑，凄婉哀伤的样子又觉得如果不是这些肉麻的句子，也算是不错的了....            
(3星)	 拍的还是精细的，其实节奏快一点，琼瑶戏不难看            
(3星)	 太长太肉麻，喜欢依萍在夜上海唱得那些歌。            
(NA)	 依萍和书桓！！            
(3星)	 寒暑假标签剧之三。比还珠更催泪当年=。=            
(4星)	 春翻我的2的始祖            
(4星)	 我蛮喜欢里面那个谁来着，就是方瑜的男朋友，把一个姑娘弄怀孕了最后人家疯了的那个。。。            
(NA)	 李副官大傻逼~~~~~            
(5星)	 核核 我到现在还会看            
(5星)	 每次播都会看的电视剧。            
(NA)	 哈哈哈哈哈哈哈哈哈哈。            
(4星)	 补标记            
(5星)	 书恒  站那别动 让我飞奔过去  ~            
(4星)	 以前的我会点四颗星的            
(NA)	 【2001-09-03】            
(4星)	 闹了一场            
(5星)	 第一遍是在阿姨开的碟片店看的，如痴如醉啊。            
(NA)	 琼派出品三观不正的多角恋……重点是没有合眼缘的美人，弃番            
(NA)	 琼瑶奶奶威武，实在看不下去            
(3星)	 我爸妈都是勤恳的追剧人啊~高中每天上完自习回家，慢悠悠的喝着牛奶吃着夜宵就为了在电视机前多蹭点时间啊~~~            
(4星)	 最近又看了一遍= = 赵薇演得真不错。            
(3星)	  2001             
(NA)	 我想念跟奶奶爷爷一起看的日子了            
(4星)	 同期播放的还有徐怀钰的那部鱼精啊！我去！这部难道不好看点嘛！            
(3星)	 赵薇发挥得不错，林心如各种不行，古巨基凑活，苏有朋大亮啊！黑豹子干翻小日本那段很不错，其他就是琼瑶琼瑶琼瑶，似乎诞生了很多名台词……            
(3星)	 还珠格格后遗症片。。            
(3星)	 没看完过，不过当喜剧看还不错            
(4星)	 只是为了纪念            
(NA)	 = = 还好啦  打发时间嘛            
(3星)	 噗~~小时候看过~~            
(3星)	 其实挺精品的，除了编剧，原声很好听            
(4星)	 给记忆四颗星。            
(NA)	 哈哈哈哈            
(4星)	 小时候和妹妹一起守在沙发上看，其实根本就是从姥爷手上抢来的遥控器……            
(4星)	 当年那个主题歌的词作很不错……            
(2星)	 哎，当时就不喜欢，现在更不喜欢。            
(4星)	 当年看的时候可是哭的一塌糊涂啊            
(4星)	 泪目             
(4星)	 小时候看的            
(5星)	 哎哟            
(3星)	 为赵薇当时的颜。            
(3星)	 哈哈，狗血！            
(3星)	 曾经曾经曾经的曾经 有人还说某人像书恒            
(5星)	 如萍和书桓结婚依萍去闹场那段不经典啊？？？？！！！！            
(4星)	 虽然是琼瑶 但每次有重播 还是会忍不住停下来看。。            
(NA)	 每年暑假中央八的必备            
(5星)	 想当年初中的时候，班上众多女生天天都在讨论这部剧。印象深刻的是当初暗恋的某长辫子女孩儿，一说起这部剧就鸡冻不已。。。            
(4星)	 啧啧啧~            
(5星)	 前几天CCTV-8每天下午播放就又看了一遍，比起新还珠，这个舒服多了，用这个琼瑶阿姨还算能保晚节...曾经拿这个和小说原著、刘雪华版的做过对比，还是很不一样的。            
(5星)	 每年都看一次            
(3星)	 没看下去            
(4星)	 每个假期 只要它敢放 我就敢看            
(4星)	 中午又在看 戒不掉啊没办法 看来最受欢迎的还是订婚的桥段啊            
(5星)	 好吧，其实挺好看的            
(3星)	 书其实写得还行。            
(4星)	 献给赵薇林心如当年无敌的颜~            
(5星)	 平心而论，还是很经典的。            
(5星)	 年少時候的摯愛啊..還是覺得很好看滴            
(NA)	 讨厌古鸡鸡，苏有喷和林心如配对让我有点接受不能            
(NA)	 =。=            
(3星)	 很不爱看，但是好像看了好多遍。。。。            
(4星)	 补充回来。我真弱哈。            
(5星)	 突然发现何书桓真的很帅，为了书桓和依萍给五星，其他人直接忽略            
(2星)	 每个女人作起来，都是烈女            
(3星)	 =。=            
(NA)	 伦同学的菜            
(3星)	 我操。。我真的看过琼瑶这么多电视剧么。。。            
(NA)	 初中啊这是..            
(4星)	 说实话这类琼瑶剧的片子品质都不错 当年我和妈妈奶奶在电视机前那个哭哟~~~~            
(4星)	 最后一集我只能说卧槽。            
(4星)	 当年啊！都是青春的日子啊            
(5星)	 你无情你残酷你无理取闹！            
(NA)	 琼瑶，摇了一个小时代。            
(4星)	 梦萍说，姐，他们三个，一个一个地上，我好痛啊。噗哈哈哈。            
(NA)	 一点也不喜欢却也追下来            
(4星)	None
(2星)	 何书桓沉痛地说：八年抗战就要开始了 (影志)            
(4星)	 刺呢？我的刺呢？书桓，我要找我刺~             
(5星)	 看一百遍都不腻            
(4星)	 影響一代人啊～            
(3星)	 没看完……无厘头的台词            
(5星)	 其实觉得也是小时候的美好回忆了吧！            
(4星)	 一直觉得林心如就应该跟苏有朋结婚嘛！！！            
(3星)	 其实古巨基也有大鼻孔            
(3星)	 小学时候的记忆阿....            
(5星)	 是挺好看的。。。后面太乱            
(3星)	 应该是因为这个古巨基火了一把的吧？            
(5星)	 。。。尼瑪好囧            
(3星)	 李副官的口音有点重            
(3星)	 这货竟然还有英文翻译！现在看起来一身鸡皮疙瘩。。。            
(3星)	 十年了。。。。。            
(4星)	 杜飞还是很搞笑的。            
(4星)	 主要是觉得亦萍身上有自己的影子 狮子座的吧 倔强自尊            
(2星)	 吻戏很多，吧唧吧唧啵            
(2星)	 古巨基从此成了挫男            
(4星)	 琼瑶剧OTZ            
(3星)	None
(5星)	 我看了好多好多好多好多遍！            
(5星)	 谁也不许阻止我给它五星！我不残酷不无情不无理取闹！            
(4星)	 书桓~~~~，小学至少看了3遍，片头的接吻镜头被我意淫了无数次 &gt; &lt;             
(3星)	 记得我妈一边看一边哭啊。            
(4星)	 不知道咋滴，每次调到有这个剧的台，我都忍不住停下来看一下我喜欢的可云和杜飞。            
(4星)	 怎么看都不腻            
(3星)	 中央1下午天天播~            
(4星)	 看琼瑶剧的女子，你们谁都伤不起……尤其是看琼瑶剧还被感动的稀里哗啦的女子，你们更加伤不起……            
(NA)	 小时候竟爱看琼瑶。            
(NA)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈            
(3星)	 你无情，你残酷，你无理取闹！ 　　 　            
(NA)	 前几天又看了两眼，简直没法看，演的太差了            
(2星)	 说起来，还是我看过的唯一一部言情小说…            
(2星)	 除了老戏骨及苏有朋外，剩下的都叫做作            
(4星)	 好想，好想。。。            
(3星)	 我竟然没有mark这么经典的一部琼瑶剧！            
(NA)	 今天翻电视频道翻到这部，这剧上映前电视上有过演员访问，只记得苏有朋说自己在里面演一个二百五，那时候小，非常小，也不懂是什么意思，今天终于理解了，他说的没错，可惜了我的童年，怎么只记得这么些话。奇怪的是我还能盯着电视看到结束，不觉得肉麻，好感动，我入戏太深，还是我就没有出过戏            
(3星)	 情深深雨蒙蒙，这样的爱情也就琼瑶了            
(3星)	 这几年它的出镜率终于低了，谢天谢地。            
(5星)	 那个时候的回忆，歌不错            
(2星)	 这部剧做得最好的是字幕效果            
(NA)	  太坑爹了！            
(4星)	 心如是森林系~爱她和杜飞的一对！~            
(3星)	 以前他們都在看...我覺得沒有那麼好看。            
(NA)	 其实我想说雪姨演技相当好啊囧，而且我还很喜欢看囧，我真少女，赵薇演的夜很好啊这孩子长大了啊长大了啊（10年过去呀了好不！！！）            
(3星)	 那时候很不愿意苏有朋和赵薇的黄金搭档拆散来着            
(3星)	 又重播了……又重播了……            
(5星)	 那个年岁那个风行的片子。电视剧是一代代更新的，不像电影往回翻依旧经典，只是这些也都是我们见证了那群演员的当年。            
(5星)	 我每次看电视放都不会换台的。。。。怪点。。。            
(4星)	 经典的琼瑶片哟～            
(NA)	 这我都看过= =+            
(1星)	 矫情片一个……            
(NA)	 杜飞 你还记得大明湖畔的夏雨荷吗            
(3星)	 原来古巨基叫咕咕鸡。。。。            
(3星)	 笑点很多的呢            
(2星)	 噗哈哈哈哈            
(4星)	 杜飞很搞笑。            
(4星)	 还是好看  反正比狗血偶像剧好点            
(5星)	 又是一部年年放的经典那，美型的情深深雨蒙蒙，比之林雪华版里的书桓杜飞，这部养眼哪养眼。            
(3星)	 啊哈哈 你们就是很肉麻  可是我就喜欢你们肉麻的很认真！            
(3星)	 我竟然看了这么多现在觉得好雷的片子。。。黄。。。我不该翻你看过的记录。。。。            
(NA)	 浙江台放了就跟着看看            
(3星)	 无聊的时候有个傻片看看也不错。            
(2星)	 受不了超做作的琼瑶式爱情。            
(4星)	 最近各卫视又在轮番播放....o(╯□╰)o            
(4星)	 我喜欢里面的苏有朋！！            
(4星)	 重温有没有...            
(4星)	 姐的小学时代，那个时候那叫一个迷啊，，现在又开始放了。。            
(2星)	 琼瑶出品，必定肉麻！            
(5星)	 电视又在放。当年觉得真好看。            
(2星)	 救命啊，鞭子神马的……            
(4星)	 其实我还蛮喜欢看的            
(4星)	 经典的矫情，可是还是看完了…            
(NA)	 啊。啊。赵薇太漂亮了。            
(4星)	 追过一阵子，那时候超迷恋古巨基的。。杜飞也很可爱啊~~~最受不了的还是林心如。。            
(3星)	 还是丢人。。我看过            
(4星)	 好。看。死。了。消磨时光回忆往昔一绝            
(3星)	 当年十八个台在播 一上来 就是一对对的 互相在吃对方的哈喇子            
(3星)	 琼瑶阿姨我来了…………            
(3星)	 我还挺喜欢看林心如和苏有朋的部分的。就是一到依萍和书桓的时间就烦躁。墨迹。            
(NA)	 你是谁的书桓 谁是你的杜飞 恩哼~~~            
(4星)	 给分那么低当年还不是追着看！！切！！！            
(NA)	 有些台词真的比较雷。但是这部戏里我一直摇摆于到底喜茹萍还是依萍呢？哎，但是明显更喜欢苏有朋。哈哈。雨打沙滩万点坑！            
(NA)	 我只记得当年心目中的美女是梦萍  = =            
(4星)	 打得都是感情分            
(3星)	 贱人！贱人！贱人一堆啊！可是我还挺喜欢看的而且居然和方瑜口味一样喜欢尔豪那个型的……            
(4星)	 我表示里面的歌还不错 还有雪姨很犀利            
(3星)	 感情的纠葛太让人烦心了。            
(3星)	 琼瑶式的经典，中央电视台每年都播，剧情我都会背了。            
(NA)	 哭得哗哗的代表我纯爱过呢            
(3星)	 记得是晚饭期间煲的剧。表示受不了那经常出现的kiss= =I felt soooo uncomfortable....I don&#39;t know why....            
(3星)	 看到赵薇就是喜欢不起来啊 林心如还是不错的            
(3星)	 这剧和那首销魂的主题曲“好想好想”一样，就是唧唧歪歪不断重复。。。            
(NA)	 当时给我哭的。。。            
(3星)	 噗~都是浮云都是浮云~~~            
(3星)	 偶承认当年为依萍哭的很厉害···            
(NA)	 书桓 你不要过来 让我飞奔过去！            
(4星)	 嘻嘻..........................................................            
(3星)	 我真的看过很多琼瑶……            
(4星)	 何书桓｀            
(NA)	 当年为神马会看这种东西啊！！！            
(4星)	 当年好清纯。            
(NA)	 当年被感动过，后来被自己的品味恶心到过，现在回头看，还是不忍心给差评。这里面有逝去的人，逝去的青春芳华，逝去的童年。大爱王琳的雪琴！不知道是否还会有人像琼瑶一样给她绽放的机会？            
(4星)	 歌好聽啊~            
(3星)	 哎...琼瑶奶奶的煽情剧            
(1星)	 蛋疼            
(4星)	 我爱杜飞茹萍那一pair~            
(3星)	 我不好意思的承认我看了不止一遍~            
(NA)	 我竟然还都看过 =_=&#39;&#39;&#39;            
(NA)	 重播到现在,让我们都好好的学会了咆哮这个技能            
(3星)	 你无情你残酷你无理取闹！琼瑶的台词能不能写得正常点。            
(3星)	 投票给古巨基和林心如            
(NA)	 哎，我承认我俗，看得我大半夜狂飙泪。TAT            
(3星)	 挺好看的不然我當時幹嘛缺一集就彆扭!= =            
(3星)	 八年抗战就要开始了            
(3星)	 和AMY在寝室里面唱过多少楼台烟雨中…            
(4星)	 就是觉得歌也很好听            
(NA)	 依萍~~依萍~~~~~            
(5星)	 即使过了那么多年 依旧比现今的那些脑残强            
