http://movie.douban.com/subject/2224160/	宠物情缘
(5星)	 哈哈 小时候狂爱看电视的我好喜欢宣萱啊            
(3星)	 没了。            
(NA)	 只记得小时候看得很欢。。。            
(4星)	 儿时的回忆            
(5星)	 以前看很激动            
(4星)	 怀念啊怀念，永远的回忆。            
(5星)	 萱萱和可颐都是我爱的，古仔无论选谁我都替另一个感动心疼。。。            
(3星)	 老片了,都不记得了            
(3星)	 轻松。。。不过没什么大感觉            
(5星)	 我记得那船~~            
(NA)	 古天乐 宣萱            
(NA)	 配音！！！我要粤语配音！！！E&amp;F。。哈哈            
(5星)	 当然很迷宣萱啊！~~于是特别讨厌郑秀文            
(3星)	 一船一狗。            
(5星)	 美好回忆！            
(NA)	 当时居然没有注意到郑秀文。            
(3星)	 天啊~Sammy~            
(4星)	 到现在都觉得古天乐和宣萱是绝配            
(NA)	 Susan还是太少女了....            
(4星)	 都忘记了天后也拍过电视剧            
(5星)	 好看好看  第一次看这个时候特惊讶的就是。哇。宣萱的胸好大。。。            
(4星)	 经典的片头片尾曲。好看。            
(5星)	 古宣。最爱那时候的古天乐。短短的头发，很少笑。            
(NA)	 小時候和姚同學每天都會討論劇情。            
(4星)	 如果你中意港产片，它就喺一部唔错嘅旧式肥皂剧。            
(4星)	 那时的古仔真是帅到他的巅峰啊。            
(NA)	 瞄过            
(5星)	 rocky和豆豆~            
(2星)	 真不想看到硕仔和阿文在一起的结局.什么让来让去的感情,既然她自己放弃了,就不要硬给她.            
(NA)	 那时郑秀文还是短发，呵呵            
(5星)	 从这部片里喜欢SUSAN这个英文名            
(4星)	 对SAMMI印象很深刻~            
(NA)	 我最快乐那一年。            
(4星)	 郑秀文            
(5星)	 想当初~~~            
(5星)	 古仔年轻的时候多可爱~~            
(3星)	 其实我喜欢SAMMI。我是女二号控。            
(3星)	 喜欢郑秀文~            
(5星)	 啊，经典啊            
(5星)	 里面郑秀文很美真命天子很好听            
(5星)	 虽然历史很久远，可是当初的记忆很清晰            
(4星)	 嘿嘿，其实小时候还满喜欢宣萱的。            
(3星)	 很好看的...反正...我是很喜欢...            
(4星)	 人如同灵魂找到天国护照人随时仍能听到你呼召环游全球仍遇上你遇上真命天子            
(5星)	 依然是他俩的经典组合            
(5星)	 古天乐演的最自然的一部剧            
(3星)	 喜欢宣萱的时期。            
(2星)	 真的很无聊阿            
(5星)	 初中回忆            
(3星)	 鄭秀文的TVB時代...            
(5星)	 超清新的剧!            
(3星)	 只记得是宣萱和古天乐演的 还有那只大狗狗            
(4星)	 喜欢嘿嘿古天乐后看的。            
(5星)	 可爱的爱情            
(4星)	 以后有勇气养狗了,一定要叫古天乐            
(NA)	 古早            
(5星)	 那个时候，觉得古天乐多帅啊。想当初一直想着说要找个这么黑的男朋友，哈哈。            
(5星)	 当时看了这部戏才知道原来郑秀文也演电视剧            
(3星)	 古天乐和宣萱组合的搞笑效果最舒服            
(4星)	 20            
(3星)	 宠物情缘            
(3星)	 从此爱上宣宣            
(4星)	 狗狗可爱~            
(NA)	 养宠物的冲动 电视剧的骗人            
(3星)	 还是喜欢郑秀文和古天乐在一起 这里的郑秀文挺可爱的            
(4星)	 sammi            
(3星)	 真是好看啊……            
(5星)	 一眨眼就十年了            
(4星)	 当年爱死这仨主角了~            
(NA)	 郑秀文 古天乐            
(3星)	 我还是喜欢猫            
(5星)	 阿,好怀念.很久以前看的.            
(3星)	 TVB啊TVB.....            
(NA)	 郑秀文带来了爱情的感觉            
(4星)	 宠物很可爱            
(NA)	 古天乐变黑了。            
(NA)	 古萱啊~            
(3星)	 看过一遍，印象不深，就那样吧            
(5星)	 小时候的我认为：宣萱就是有和狗狗沟通的神奇力量！            
(5星)	 我怎么觉得貌似在内地放的港片基本都看过~~~            
(5星)	 好看            
(5星)	 2000            
(4星)	 小學時最愛, 07年電視重播仍覺得不錯. 會心微笑.            
(4星)	 支持SAMMI的连续剧            
(3星)	 古天乐还很年轻……点解马德钟甘惨，又要卑人拒绝，其实距真系几好咖！            
(3星)	 狗狗很可爱~            
(5星)	 非常好看！            
(2星)	 郑秀文 还不错            
(5星)	 超爱古天乐和宣萱组合！             
(4星)	 清新浪漫啦            
(NA)	 烂            
(4星)	 最喜欢古萱的这部戏，大团圆嘛，嘻嘻            
(4星)	 郑秀文为数不多的电视剧 和古天乐很配啊~            
(4星)	 乐乐~            
(3星)	 我确实看了.....但是没有看到结局！！！！！T︿T            
(NA)	 补遗            
(5星)	 应该比高2 好看100倍            
(3星)	 不大记得了 小时候看的            
(3星)	 古天乐~宣萱~~如今再也看不到了            
(2星)	 強大卡司，無力劇情            
(4星)	 昔日的一对荧屏情侣，留下了多少美好的回忆            
(NA)	 永远夏天 永远年轻 多好            
(5星)	 时间被永恒定格在了夏季——短衫、短裤、拖鞋、沙滩、帆船、海风——「宠物情缘」古天乐黝黑却阳光，萱萱清爽的短发，Sammi干练的身影，            
(4星)	 喜欢金毛，也喜欢三个主角，好看的港剧            
(4星)	 E神千fa的配音太有爱了            
(4星)	 【好無聊的開始馬克看過的TBB】頗有愛~            
(4星)	 还是喜欢那时候的古天乐~            
(3星)	 金毛大狗和退役警犬            
(NA)	 三个主角都是爱            
(3星)	 挺好玩的            
(NA)	 经典。            
(4星)	None
(3星)	 貌似是古天乐宣萱定情之作。。。             
(5星)	None
(4星)	 当时蛮喜欢的            
(5星)	 有日剧feel，硕仔阿wing一对萌货很治愈，古萱官配结局最温馨的一次合作，适合被刑4虐到伤不起的孩纸当解药来看。p个s，我是古仔平头小圆寸的死忠fans~噗~            
(3星)	 我當年打死都沒想到是這種配對。。            
(4星)	 很好看呐，女二号升级女一号的典范。            
(3星)	 以前没看完的，看完吧，TVB的电视剧。            
(5星)	 这部电视剧云集了我最爱的mi 还有我最喜欢的TVB女演员宣萱            
(3星)	 这个相当一般～可看理由大牌明星云集            
(4星)	 阿MI，好美丽            
(5星)	 唉，再无宣萱这样的女主角。。。            
(4星)	 主题曲真命天子，真是爱死了~            
(4星)	 确实没少看港剧啊。            
(4星)	 小男人呆站说            
(4星)	 哈哈哈 我想起我第一个网名【铁面王子】就是这里来的。            
(5星)	 会不会是这部戏让我决定读了动物想当兽医？当年大爱的宣萱和古天乐，有配音的狗狗两只~~  OST：《真命天子》            
(5星)	 里面更喜欢郑秀文            
(4星)	 好久的片子了，小时候看的            
(5星)	 小时候除了玩就是看电视。            
(NA)	 年轻的古天乐            
(4星)	 那时候看到狗狗死了都哭了。            
(3星)	 郑秀文当年很漂亮的 狗很帅 古仔很帅            
(4星)	 当时觉得还不错吧，因为是跟着神雕放的，那时候古天乐还是很白嫩的帅。            
(3星)	 情结都已经记不太清楚了……            
(3星)	 现在想想，这个还是挺好看的，演员搭配得不错。记得当时看到快结尾的时候还一个劲儿的猜结局呢，呵呵。            
(4星)	 冲那时候的古仔就该看            
(3星)	 狗狗很萌            
(3星)	 古天乐那时候还很愣……演技也……俺不喜欢宣萱，也许是因为有人太喜欢了……耸肩……            
(5星)	 萱萱            
(4星)	 充满回忆的电视剧，那年的古天乐，萱萱还有郑秀文都好青涩啊            
(NA)	 第一次见郑秀文            
(4星)	 古萱配。            
(4星)	 宣萱+古仔。。。            
(3星)	 那时的古天乐好嫩啊~只记得片名不记得内容了            
(5星)	 当年很爱的啊            
(5星)	 哇，也是超喜欢。。狗狗很可爱啊。。            
(3星)	 小时候看的            
(4星)	 多好的三人。。            
(3星)	 宣萱和古仔是我最喜欢的香港演员。可是这个故事的剧情真的弱爆了！虽然只有20集可是最后几集真的让我失望透顶，太拖沓了……            
(4星)	 当时没觉得古天乐是帅哥呀，不过挺温馨的，搞笑。            
(NA)	 嘻嘻 那时候的郑秋文 青涩的额很漂亮            
(5星)	 超喜欢！现在还很爱《真命天子》这首歌！            
(NA)	 呵呵，从狗狗之间的爱情发展到了主人之间。            
(4星)	 违背了四季更替的自然规律，时间被永恒定格在了夏季——短衫、短裤、拖鞋、沙滩、帆船、海风——「宠物情缘」就是这样一部洋溢着夏日情怀的生活轻喜剧。在上围下村里居住着这样一群小人物：其貌不扬、情场失意不断却如小强般百折不挠的同事兼哥们铁男，好吃懒做、巴望着不劳而获的叔叔忠义，怀才不遇            
(5星)	 官配的轻松小品。            
(4星)	 一星是给我最爱的古萱的！最近拿出来翻看，小时候看的一点都不记得了。。。我很不赞成阿Wing最后的做法，甚至很气氛，现实中是没有人永远在原地等你的。。。            
(5星)	 这部戏让我 喜欢上了古仔，小平头啊小平头            
(5星)	 虽然依靠电视剧治愈是没有用，但是在这段艰难时刻，遇见硕仔，wing和susan，终究是我的幸事~~~ 突然舍不得一下看完。。。            
(4星)	 我想说这三个女人里我最喜欢李珊珊了，可能是鉴证实录很给人好感。我觉得我一定很另类。            
(5星)	 那时候觉得古天乐帅死了            
(4星)	 当初好爱susan~            
(5星)	 是我的最爱！            
(5星)	 展硕好帅            
(3星)	 里面两只大狗蛮可爱的。这部剧的主角有郑秀文的呢            
(4星)	 那时候郑秀文还是很漂亮。            
(NA)	 记得豆豆和Rocky的配音很可爱            
(NA)	 小学时候的回忆呢就~~~萱萱，古仔~~~            
(5星)	 里边有一首sami唱的插曲好好听            
(4星)	 那时候的古仔真的是颜正青涩的花儿一朵啊            
(4星)	 郑秀文的太妹扮相啊...            
(4星)	 TVB怎么拍都能看得下去的。            
(NA)	 文和宣都好年轻            
(3星)	 这些居然都是90s的。。。我当年看这些情情爱爱的时候还好小啊哈哈哈            
(NA)	 因為這一齣戲，我看到叫rocky的人都覺得這是個狗名字（不要打我&gt;&lt; )            
(5星)	 只因古和宣萱。O(∩_∩)O~            
(3星)	 = =            
(5星)	 最爱的电视剧了。            
(4星)	 歌很好聽的啦            
(5星)	 有笑有泪，我最中意的TVB剧集！睇左好几遍，今次睇的系粤语版!            
(5星)	 喜欢宣萱和古天乐搭档的电视剧~~~            
(5星)	 超级经典            
(4星)	 很多人都像我一样，当年很期盼古天乐和萱萱在一起吧~            
(5星)	 矮油，戴展硕...            
(NA)	 看了就想吃火锅            
(5星)	 我的童年TVB            
(3星)	 好早的连续剧了，貌似还和朋友猜过到底古天乐最后和谁好了，嘿嘿，我猜对了~            
(4星)	 古天乐 宣萱 大爱！不觉得郑秀文好看            
(3星)	 。。            
(4星)	 很好看的。。            
(4星)	 喜欢萱萱啊~            
(4星)	 小时候没看懂，现在才知道自己傻！！！！            
(4星)	 童年的回忆！            
(3星)	 那时候大家都好土哦。。。            
(NA)	 不知道为什么，从这部剧就不喜欢宣萱，一直不喜欢。            
(4星)	 好喜欢的港片            
(5星)	 因为这部戏喜欢SAMMI            
(3星)	 有时间可以找出来再看看            
(4星)	 当年好稀饭            
(4星)	 男主是我的茶            
(4星)	 當年的經典……            
(5星)	 啥都不说啦。。。全是回忆啊。。            
(4星)	 很轻松，很青春，很不错~~~            
(5星)	 哇~  当时很爱啊~   古宣配最合适了~            
(4星)	 当年的TVB都很好看·            
(5星)	 真的是成名作之一了。爱萱萱            
(4星)	 当年的古仔好可爱啊 和狗狗在一起太有爱了。            
(5星)	 早期古天乐的电视剧看了个遍，而且好几遍。            
(5星)	 三个主角 我都喜欢            
(4星)	 不知道为什么。不喜欢郑秀文            
(3星)	 黑黑            
(NA)	 年代越久的TVB就越醇。。。不论是这种小言情还是小刑侦。。            
(4星)	 记得有个雨夜去绑船，是这本吧！            
(3星)	 喜欢古天乐和郑秀文。宣萱有点莫名其妙。            
(4星)	 蛮清新的~            
(4星)	 很好看         love mi            
(5星)	 大金毛……            
(4星)	 挺好看~            
(4星)	 里面的狗狗很有爱            
(5星)	 宣萱和古天乐~            
(3星)	 啊啊啊啊啊啊~这部我想起来啦~~~            
(4星)	 不喜欢sammi            
(5星)	 超级有爱            
(4星)	 曾经的青葱记忆            
(5星)	 陈奕迅和杨芊桦做声优！            
(NA)	 有我爱的古天乐，还不错，宣萱，郑秀文            
(5星)	 一部看了不少于4遍的连续剧主题歌 真好听            
(4星)	 小时候看的，很喜欢，但是不记得是谁演的了，，，，怎么还有吹萌萌？？            
(4星)	 我加萱萱和古仔啊！            
(5星)	 老觉得这部里面，宣萱是第三者···很喜欢这个时候的古天乐和郑秀文···PS：两个狗狗很可爱的··            
(4星)	 好搞笑 很清新 可惜不是郑秀文            
(4星)	 很简单，很平凡，很自然而然地看完。。            
(5星)	 那个时候的古仔简直靓丽无敌啊~~            
(4星)	 喜欢！萱萱跟古仔荧幕就是搭！            
(3星)	 古天乐刚刚晒黑的时候...            
(4星)	 那时我才初中，我弟在刚刚上小学，暑假里住在我家，天天晚上我看时他也看，后来暑假作业里面他有一项要填看了什么电视或电影，写上这个名字的时候。。。他妈瞬间石化            
(5星)	 才20集 都舍不得看了            
(NA)	 eason系边度??完全冇印象嘅???            
(NA)	 好早的xx            
(3星)	 一般，不过狗狗真的可爱            
(NA)	 想起来 就会看看  海边 金毛  想起来让人舒服            
(NA)	 郑秀文  我不喜欢这个结局...            
(3星)	 说的对！太久了，已经模糊一片...            
(4星)	 我愛宣萱。Sammi亦正。            
(3星)	 Sammi + 古天乐 + 萱萱 = 本来应该是很好看的，可是又是剧情不给力的关系。。。不过主题曲很好听，我喜欢。            
(4星)	 那时候可喜欢这部剧了 狗狗灰常可爱~~            
(3星)	 记不清了            
(4星)	 当年这几个人多青春啊~千FA和EASON同狗仔配音超得意~            
(4星)	 很可爱的电视剧            
(5星)	 好看！歌也好听！对于郑秀文和古天乐在剧里最后没在一起很伤心。。            
(3星)	 其实其实我只记得宣和古仔            
(5星)	 好~            
(4星)	 竟然还有点印象,那当然是4星了。N久没看TVB了            
(4星)	 古仔和宣萱向来那么搭，虽说这么没刑四经典            
(3星)	 真是记不清了 这片儿里还有马德钟 陈奕迅啊。。            
(NA)	 古天乐变黑之后好阳光 大男孩样好喜欢 那种不知道自己帅的帅真的。。秒杀~            
(5星)	 狗仔！！            
(3星)	 多么青涩的古天乐吖……这时候的郑秀文还带一点婴儿肥呢            
(5星)	 钟爱的港剧            
(4星)	 很欢乐温馨的一部戏            
(5星)	 萱萱萱萱~~~            
(5星)	 很温馨啊            
(5星)	   很喜欢的题材，而且演员很出色，当时印象最深刻的爱情剧            
(5星)	 古仔和宣萱，rocky            
(3星)	 看过几集            
(4星)	 那只狗真的很听话耶            
(5星)	 返煲！嘀配乐好多都系SAMMI既歌~正吖~不过睇到好心酸T T...            
(4星)	 看了N多遍最后一集~            
(5星)	 经典，看完心情很好很好。那时候古天乐帅的掉渣，这个头发不是谁都能剃的，古天乐专利了！            
(4星)	 啊呀呀呀            
(3星)	 转眼。。。            
(NA)	 小学一二年级看的，大概还记得情节，有空要回顾一下。            
(5星)	 小学时候演的呢，爱疯了!            
(NA)	 中学放学的12点钟剧情就是等它。            
(4星)	 很好的消暑片啊，古少和宣萱这样看起来还挺搭的，呵呵            
(3星)	 迷古天乐迷得不行  = =            
(4星)	 古仔和萱萱 经典荧幕情侣            
(4星)	 喜欢萱萱多一点            
(4星)	 当年真希望古仔和sammi在一起            
(NA)	 哎~灰常美好的回忆~            
(5星)	 其实这是部经典！~~            
(3星)	 宣萱！！郑秀文也很喜欢！！片尾曲也好听！！            
(NA)	 一种感觉            
(5星)	 曾经的大爱啊~~~            
(5星)	 很经典            
(5星)	 戴展蒴曾经很爱很爱susan的。 在TVB的情侣拍档里，这是唯一一部不希望古仔和宣萱在一起的戏。戏里的狗狗好威武哦····吼吼！            
(2星)	 乐哥屈指可数的电视剧。            
(4星)	 Susan            
(3星)	 黑古。            
(5星)	 经典中的经典啦！SAMMI~            
(4星)	 很喜欢郑秀文~            
(3星)	 印象不深了~            
(4星)	 当年我看得很欢乐 剧情挺有意思            
(3星)	 小学时候看的一部电视剧，最后萱萱和古天乐在一起还挺高兴~            
(3星)	 好像神马神马情缘的都看过。。            
(1星)	 看不明白            
(4星)	 还是古天乐和萱萱比较配            
(5星)	 古天乐和宣萱……唉，你们俩干啥不在一起呢……            
(5星)	 帅帅痞痞的戴展硕啊～～～爱死了～            
(5星)	 就是爱宣萱            
(3星)	 当年的偶像剧            
(NA)	 记忆最深的场景是三个男的在酒吧交流跟郑秀文的角色谈恋爱的时间            
(4星)	 啊。那时就觉得古天乐好帅。            
(NA)	 黄金猎犬什么的还蛮可爱的。            
(5星)	 喜欢最后面~~~海~~那只船            
(4星)	 好老的片子～            
(5星)	 《真命天子》到现在还经常哼~            
(5星)	 古老的回忆            
(3星)	 呼呼~注意力都放在乐乐特Rocky身上了~            
(3星)	 里面的狗 我好喜欢。            
(5星)	 总觉得很神奇 狗狗还会恋爱~            
(5星)	 啊啊啊啊年轻时候看的~~~~~            
(NA)	 老片子了 狗狗狗            
(5星)	 經典到啊.            
(4星)	 古天乐好嫩啊~~            
(NA)	 多年多年以前了，土            
(3星)	 也满经典的            
(4星)	 经典啊...            
(4星)	 就是单纯喜欢萱萱和古天乐的组合，所以找了这片子来看~ 里面的爱情成分有点绕，最不喜欢推来推去让来让去的感情了..sigh..不过看在演员的份上，给个4星吧。电视剧原来就是图个顺眼的..哈哈~            
(5星)	 当时老想古天乐为什么不选阿MI啊~            
(4星)	 当年看得很起劲的。冲粤语版是EASON和FA给两只狗配音，重看了一遍，哈哈哈哈…想想就要笑            
(5星)	 劲温情！            
(5星)	 展硕太好了            
(4星)	 那是很早很早以前最喜欢的一部            
(4星)	 好喜欢这么登对的宣萱和一去不复返的如斯古仔！            
(5星)	 原来有那么多大牌在里面啊，当时好小！都不识            
(3星)	 还是喜欢郑秀文的[真命天子]。            
(3星)	 喜欢萱萱和mi~            
(5星)	 无敌经典，歌曲好听到爆~~            
(5星)	 实在太喜欢主题曲了！！            
(3星)	 没看全~我还是对破案的比较有爱            
(5星)	 觉得超经典 郑秀文和古天乐在剧里演的真好            
(4星)	 有得千Fa，就梗系有我挚爱噶Sammie啦。Sammie时隔差唔多10年之后再同TVB拍戏，嗰样已经从肥嘟嘟变到好fit……Anyway，其实我觉得亮点系Eason同千Fa配音噶Rocky同豆豆（狗狗）            
(4星)	 古哥哥那个伸着手指乱比划的姿势真可爱            
(NA)	 十年再一遍 还记得 ありがとう            
(3星)	 因为sammi无同古仔一齐，所以3颗星~            
(4星)	 小时候看的。一直不喜欢萱萱。特别喜欢郑秀文。还记得那艘船。还记得Susan。            
(5星)	 可惜，现在看那些TVB已经找不到当时的感觉了            
(5星)	 佳偶本天成            
(3星)	 宣萱和古天乐真是荧屏绝配。            
(4星)	 陈奕迅？？            
(4星)	 天乐哥肥仔版港剧。。。。什么都不记得了，只记得主题歌与最后那艘写有“susan”的帆船。。。在有光晕的镜头下显得特别的浪漫。。。。            
(4星)	 囧囧的古仔            
(4星)	 很小时候看的竟然还有陈奕迅 杨千嬅!            
(5星)	 小时候超迷得。            
(NA)	 好看            
(5星)	 超级喜欢Susan            
(3星)	 里面的郑秀文让我认不出啊。。。            
(5星)	 非常喜欢            
(4星)	 貌似剛結束TVB這些...這個是第一部？            
(5星)	 有爱            
(3星)	 跟动物有关的都喜欢            
(NA)	 虽然我讨厌狗            
(4星)	 萱萱            
(4星)	 粤语版狗狗ROCKY配音居然是Eason！！！            
(4星)	 難得的組合。。            
(5星)	 仍然能心跳随时能叫嚣,现在对焦锁紧再不会动摇            
(4星)	 看的时候没发觉有那么多明星。。。            
(3星)	 没啥印象了..没啥印象了..╮(╯_╰)╭            
(4星)	 TVB中午的时候重播过三次……            
(4星)	 以前的TVB剧多好看啊！            
(4星)	 当时很不喜欢宣萱 我喜欢给那两只狗配音的人哈哈            
(4星)	 ricky和豆豆~            
(4星)	 当年我看这个剧的时候纠结的啊。。。宣萱和郑秀文都是我地爱啊。。            
(4星)	 我喜欢 那两只 狗            
(4星)	 哈哈哈哈 回忆啊            
(5星)	 美好的回忆，古宣配            
(5星)	 很久很久了……            
(4星)	 好久了 最近突然很想看 还有sammi的那首 唯独你一个 最近repeat 听~~            
(5星)	 小学的美好回忆啊！！！            
(3星)	 原来这个剧里还有陈奕迅的啊            
(3星)	 当时的宣萱好稚嫩！            
(5星)	 当初猜只有一个女的会坐上船，结果是两个，还有一种感情            
(5星)	 超爱那两只狗狗            
(4星)	 其实猫也不错了啊！我们家picko就是的！            
(4星)	 我喜欢看展硕与子珊的爱情            
