http://movie.douban.com/subject/3882839/	千谎百计  第二季 Lie to Me Season 2
(4星)	 208最好，但是怎么没人说……            
(3星)	 真的越来越不好看了            
(5星)	 剧集四星，剩下那一星是特别奖给TimRoth的~            
(4星)	 太萌Tim Roth了！！！            
(4星)	 案子的质量越来越低，但是Cal和Emily的父女关系竟然成了我打动我的地方了。。。            
(4星)	 love Locker!!            
(4星)	 最后几集真的没那么好看了。            
(5星)	 期待下季大叔大婶的感情戏啊！            
(NA)	 螺丝有个螺丝腿...            
(4星)	 终于补完了~            
(4星)	 其实还是可以的 但是没那么惊艳了            
(5星)	 nice try            
(4星)	 怎么就不出了            
(3星)	 烂尾烂尾！            
(4星)	 开始乏力，开始丧失趣味和感动。            
(4星)	 “「深沉的」、「意味深长的」、「与性爱无关的」、「只能意会不可言传的」爱情。”==            
(4星)	 还是Tim大叔一个人在撑场面，其他支线人物的情感啊心理啊给的太少了。            
(3星)	 弃之~            
(5星)	 水            
(5星)	 继续延续这强劲的tim roth 风吧            
(3星)	 第二季完全弱掉了，没那么精彩了。。。还是期待fringe第三季吧！哦哦小奥你要挺住！            
(4星)	 千万别疲软。            
(2星)	 他妈的故事没一个新颖的老子受伤了            
(3星)	 不想看下去            
(NA)	 竟然悄无声息地结束了            
(4星)	 我覺得這劇太英雄主義了..            
(4星)	 从技术流转向剧情流，可看性减弱            
(3星)	 不想看了            
(3星)	 大叔和美女姐姐演得都好，可惜剧情不给力啊。            
(4星)	 有点编不下去的感觉了            
(4星)	 冬眠剧，2010年春天继续.......它眠后我就看不起来了.......突然发现S3都登场了，那我回过去再看看眠后的吧            
(4星)	 破案剧追到二季之后，基本就是追演员而不是追剧情了~~难得有部美剧每个演员我都喜欢，这戏还有生命力，Lightman这个老痞子气场太足了~不过还是希望下一季编剧能编出更劲爆的case            
(NA)	 episode 10            
(3星)	 叔，您要加把劲啊            
(2星)	 太难看了下季无论如何不看了～            
(3星)	 这种剧真的只能看一季，到后面剧情越来越没新意了。            
(4星)	 Truth hurts            
(4星)	 对牛人 lightman大叔 的个人崇拜            
(NA)	 弃            
(NA)	 好烦他自以为是的动作            
(5星)	 热切期待啊~~骚骚大叔！！！还有JB御姐！！！！            
(4星)	 編劇越來越爛但最後一集還是煽到我了。。。走親情路線真討厭啊            
(3星)	 breaking bad的人都去帮忙了……            
(5星)	 滚来滚去……~(～o￣▽￣)～o 。。。滚来滚去……o～(＿△＿o～) ~。。。 雁小南你懂得。。。。            
(3星)	 看到第二季就停了……男主越来越神神叨叨了……囧            
(4星)	 ★★★★☆            
(NA)	 3QI            
(3星)	 再一次觉得男主应该是由nicolas cage来演的。只是人家那么大的腕儿肯定不屑于电视剧吧。哈哈哈 还有这个中文片名译的实在让人很难受。。            
(3星)	 多重人格还是只有诺顿是经典啊！！！            
(NA)	 希望艾米粒和洛克在一起，哈哈            
(4星)	 第二季俨然已成斗智侦探剧：喜欢第一集多重人格、第八集阿富汗间谍、第十集变态连环杀手、十五集濒死警察，最动容的还是Lightman对女儿的那份爱。连这个小个子英国男人那两步走都开始喜欢了。受教。2012.1.8            
(4星)	 还不错。。但是没有第一季那么好看了。。            
(4星)	 虽然内容仍有重复，但为了tim，我忍。另，两个配角实在太般配了啊！            
(4星)	 发现稍微有点审美疲劳了╮(╯_╰)╭            
(3星)	 很多人看了第二季的几集都弃了...真的越来越没意思了，越来越牵强了。            
(4星)	 看了前几集我也想弃了，不过后面越看越好看！！！！            
(3星)	 到了第10集就没有坚持下去，剧情趋向疲软无力            
(4星)	 真喜欢他闺女！            
(4星)	 没有评论的那么差.....喜欢foster....也喜欢一起工作的那个不会说谎的小哥(名字偶忘了....Orz)......            
(5星)	 最爱的美剧            
(5星)	 没有给低于5星的理由，所以。            
(4星)	 Emily越来越水灵了（心） 这里面的女的都很好看啊 果然我喜欢拉丁女 比白人女的带劲儿            
(4星)	 断断续续 终于看完。            
(4星)	 朋友说不好，我觉得还不错啊。            
(4星)	 剧情三星半，就是喜欢看那五个人嘴来嘴去，唾沫横飞嘚，嘿嘿嘿~~~            
(3星)	 如果第一季你就把面相学讲得差不多了你该怎么办？莱曼就这么成了上帝。            
(5星)	 与性爱无关的感情            
(3星)	 被我推荐的同学都从S1看到S3了，我终于把S2搞定了。。。这其实就是单身父亲育儿经啊            
(3星)	 没第一季好看嘛             
(4星)	 如果按顺序看，第二季肯定不如最初那么冲击人心。能够超越打怪兽“超人”片的，是关于“超人”的诞生、抉择、逆境、感情、家庭、自我突破，甚至是中年危机。第二季就精彩于此，收获辨别谎言与人生道理。            
(5星)	 this is life and work            
(2星)	 看不下去了             
(4星)	None
(5星)	 阿富汗的雪花.好美            
(4星)	 看这个片子越来越感觉到人性的美好，各种爱，真让人沉沦~看得很过瘾！            
(5星)	 第二季很注重提问和对话。很好，比微表情更有用。            
(4星)	 这个男的太装了            
(4星)	 这剧真没什么突破了……            
(4星)	 开始不给力了，但是还是很喜欢这种探讨人性的片子……            
(5星)	 拍的很不错，等第三季            
(3星)	 第二季就看得莫激情了            
(3星)	 hot girl戏份骤减~            
(3星)	 越来越喜欢Lightman了，故事也越来越变态了。唉，怎么变父女情深言情片啦？            
(5星)	 完全和老公一起看的为数不多的剧之一            
(5星)	 于是乎  总是会在意人的表情            
(3星)	 不推荐  。。。。这会让我有一个吵架时面无表情的男友            
(5星)	 越来越爱Tim！            
(5星)	 亲了 终于亲了！！！！！！！            
(4星)	 第二季唯有阿富汗那一集荡气回肠。            
(4星)	 读心术视频教学            
(3星)	 Lightman to Emily: Do u know why I trust u? Emily: Because u r smart and a great dad, what other choices u have?            
(5星)	 all  in  double zero   wow 拉斯维加斯 那集超爱的            
(4星)	 第二次归来时的几集很加分~不过又被最后一集拉了下来。            
(3星)	 弃            
(NA)	 么劲            
(4星)	 妈逼终于看完了- -            
(4星)	 剧情比第一季赞啊，开始有血有肉了            
(4星)	 好漫长的一季            
(5星)	 女一号确实像Pheobe啊            
(4星)	 感觉不如第一季惊艳了            
(NA)	 实在不想追了。无亮点，无爆点。感觉有点浪费时间。            
(NA)	 大叔啊 大叔~~第3季11月11~~            
(3星)	 这一季搞得太神乎其玄，感觉已经完全BEYOND THE REALM OF SCIENCE了。= =TIM大叔越来越猥琐，原来只是走路有点吊儿郎当现在就各种WS，- -跟HOUSE大叔一样。关系又各种暧昧不清，我这种OUTSIDER都表示各种吃醋。果然重复太多雷同剧情没意思。            
(NA)	 Melissa George在13，15，17集出演。第三季11月上。不过后面还能拍点啥呢。            
(3星)	 第二季太过平庸，不好看。            
(4星)	 只看JB和女儿Emily的线            
(4星)	 這一季就開始滑坡了，不過更注重情感的表達，可是……希望它能生存下去。            
(4星)	 我觉得s1更好。            
(4星)	 比第一季好哇            
(3星)	 我还跟不跟呢。实在不想看Lightman的脸了。            
(4星)	 中文译名：你骗我试试……无力瘫倒……大叔好帅啊好帅啊好帅啊·            
(NA)	 看到14集就决定弃了算不算看过? = =            
(3星)	 越来越无聊的一季T T第三季要还这样就弃了！            
(3星)	 有些创意不错，但是编剧不给力呀~剧情上的bug还是很多            
(NA)	 只是习惯性追..看多了就觉得没什么 有点假            
(NA)	 我说导演先生,最后一集，我神武的特警就那么轻易的中了两枪，是不是有点混事啊            
(3星)	 其实，编剧越来越不靠谱了，但是能击中我的哭点，很诡异。            
(5星)	 哦~Ria的手机是G3诶~！！！            
(NA)	 這也是典型跟不下去的.(19)            
(4星)	 营养持续 吸收缓慢            
(3星)	 第二季扯淡了            
(NA)	 比第一季给力很多。虽然还是那么夸张不切实际。0.0而且我开始渐渐喜欢上Tim Roth的表演了。            
(4星)	 不如第一季 越来越扯淡了            
(4星)	 有几个故事还是有点意思。            
(NA)	 越来越有趣了啵！            
(4星)	 比第一季好看。            
(NA)	 离犯罪更加接近，于是乎主人公们在情感迷失的情况下进一步升级自己的能力。看着比上一季累。            
(3星)	 越来越瞎编了            
(5星)	 第二季好看過第一季             
(5星)	 恩恩 学习学习            
(4星)	 大量反恐元素的出现说明走下坡路了            
(NA)	 12集不好看。不过完结的时候总算内什么了            
(3星)	 好好坏坏也总算看完了，第三季还能有新意思么？            
(3星)	 不能再拍了——            
(5星)	 剧情比前一季令人激动不已~很赞!不过啊看到这季最后有点审美疲劳了~另：Gillian的声音和眼神太美了，优雅知性，温柔有爱。大爱！            
(4星)	 不要家常下去啊。。            
(4星)	 被砍了吗？这么久了只到第十集。。。            
(4星)	 为毛只有十集= =            
(3星)	 看到后来，有点像柯南了。接下来要看的美剧，老友记吧？            
(4星)	 没有第一季的技术性强了.都是场面活.            
(3星)	 好无聊，看不下去了            
(5星)	 locker 好嗓子            
(4星)	 第二季快点出完吧！            
(5星)	 New Episodes Return     MON Jun 7th 8/7c            
(5星)	 S02E04，忍不住淚目.            
(3星)	 第二季更神话了，摸下巴            
(4星)	 不知道为什么不想看了            
(5星)	 Tim Roth你这个老流氓，我喜欢！            
(5星)	 喜欢跟学生挑战，连输二次的那集。            
(5星)	 愿我们能像他们一样。            
(3星)	 扔            
(3星)	 42分钟的休息时间            
(4星)	 越来越讨厌LOKER。。可是测试居然做出来我就是他。。            
(NA)	 好像少了第一季的激情            
(NA)	 british accent ftw            
(4星)	 FOSTER这样的女人陪LIGHTMAN这样的男人就是我的菜。            
(5星)	 tim叔 越老越有味道啊 啊啊啊啊啊啊啊啊啊啊            
(5星)	 越来越火爆了哦也！            
(3星)	 越来越没意思            
(3星)	 越看越无趣 剧情不够紧凑            
(NA)	 等呀等呀            
(2星)	 浪费时间            
(2星)	 没第一季好看            
(5星)	 有点意思。            
(NA)	 2季前十集            
(3星)	 第21集 那是house吗            
(3星)	 感觉续集无第一季禁精彩~~不过察言观的剧情，都几好睇的。今季的剧情还加入左好多情感路线。            
(4星)	 没有第一季震撼呀~复杂化啦~            
(3星)	 比第一季差很多            
(3星)	 一看就上瘾            
(5星)	 我觉得比第一季还好看呢~~快点回归吧！            
(3星)	 老是差不多的桥段，对于我这种喜新厌旧到了一定境界的人来讲，就是鸡肋啊。不过觉得这一部在效果上胜过第一部，音效啦，视觉啦，似乎比上一部引人入胜点。            
(3星)	 被神化again            
(3星)	 与第一部相比,新鲜感全无,怀疑是否还能继续            
(4星)	 10            
(4星)	 想玩德州扑克赢钱的话，学学lightman            
(5星)	 可以现学现用，哈哈。            
(3星)	 希望越大 失望越大 哎。。完全不对胃口            
(NA)	 弃之。            
(3星)	 发誓不追了            
(4星)	 果然有点混乱~            
(4星)	 终于跟完结了。。期待第三季~            
(3星)	 这季鸡肋了            
(3星)	 整体感觉没第一季好看。亮点在讲人格分裂的那集！            
(4星)	 忽然发现虽然是标准美剧，虽然不功不过，可我依然舍不得看完最后2集            
(3星)	 最后两集娱乐至死啊，又重燃我追的欲望            
(2星)	 第二季不行啊            
(3星)	 有点疲劳            
(5星)	 被Loker萌到了！！！            
(3星)	 越看越累啊后来            
(3星)	 3.5  第一季吸引人的微表情、心理推理等等变得很少，拿刺激情节来充数....看到第6集不想看了            
(4星)	 开始有点审美疲劳了            
(3星)	 每况愈下            
(5星)	 用赵本山的话说就是：“好”            
(4星)	 就觉得越来越好看            
(4星)	 大叔大爱~！            
(3星)	 于是美剧每季最后一集都要有人中弹嘛！            
(NA)	 Lightman，你真是个性感的老男人。            
(5星)	 其实我想给它四星半。            
(4星)	 你骗我试试            
(4星)	 细节会不服气。。男猪疯过了不太可爱了。。            
(5星)	 虽然少了一些细节的镜头，但还是很有戏剧张力的一部片。编剧和导演太tmd有才了。。。            
(5星)	 LOCKER超萌哦~~~第三季快点、、不要越拍越难看就好、、            
(NA)	 不要又虎頭蛇尾啊……            
(4星)	 我也想跟你一样招人喜欢。            
(3星)	 和第一季相比，部分故事有点散，除了那个变态连环杀手还值得说。蒂姆罗斯的神经质，有些看烦了。第三季还会看，也许是冲着习惯看的。习惯做一件事后，总会继续持续下去，看片也是如此。三星。            
(NA)	 喜欢locker～～            
(4星)	 永远支持tim            
(4星)	 这不是测谎。。。。但是更多的开始探讨情感问题了            
(4星)	 持续关注。            
(4星)	 看到第七集，弃。越来越没新意！            
(4星)	 迷恋Tim Roth的英国口音，含糊而快速，充满紧张感。            
(3星)	 跟第一季差远了……            
(4星)	 好像FBI真有这样的部门            
(3星)	 真差劲            
(3星)	 我承认我看这个只是为了看我们的T叔~             
(5星)	 就这样结束了？？？我不要！！！            
(4星)	 半途而废了又            
(4星)	 四个主角的感情线越来越明显了，虽然cal和gillian的新欢还是一个一个的出现~不过那些都是浮云啊浮云~torres太有事业心了，害得loker一阵失望……            
(NA)	 很多人说不好我没感觉到啊            
(3星)	 派头越来越大，剧越来越不经看            
(4星)	 still my love TIM            
(3星)	 越看越没意思。            
(3星)	 跟不上故事线，跟不上情绪。也许也就不跟这部剧了？第二季真的非常令人失望。            
(3星)	 Locker也支撑不了我下去。Tim的口音啊，我受不住受不住。            
(4星)	 没第一季有意思            
(NA)	 中途弃 编剧 阴暗了            
(3星)	 故事还可以，但实在是受不了男主角越来越屌的屌样了，抱着善始善终的态度，硬着头皮看完的，不看第三季了            
(4星)	 期待第三季啦            
(4星)	 被砍了。。。            
(3星)	 我姑且算看完了。。。这季说不清楚的感觉            
(5星)	 第一集一上来的多重人格就让人鼓掌叫好，接下来的一集又一集的紧凑让人目不暇接。第九集连阿富汗战争都上了，场面可以再宏大么？下次难道要ET了么？太佩服编剧的思路和制片的不计成本了！看到13集那句She&#39;s my leo真讓人心碎。19集的17年前的案子也讓人印象深刻呼吸緊醒。            
(3星)	 噢事到如今我只记得TimRoth撒丫子二流子撇步了……            
(NA)	 看不下去了。弃            
(3星)	 重新追。            
(3星)	 3.5            
(3星)	 看到第9集我决定弃了= =            
(4星)	 超爱            
(3星)	 第八集 弃！            
(NA)	 弃之            
(3星)	 听英国口音            
(5星)	 太精彩了 让人不能自拔。            
(4星)	 续追。            
(5星)	 觉得比第一季有看头了。            
(4星)	 lightman和他女儿让我最感动&gt;&lt;            
(5星)	 依旧精彩            
(5星)	 听说要六月回归……            
(3星)	 腻了 - -            
(3星)	 本季剧情不如第一季精彩啊，停追。。            
(5星)	 剧情复杂了 叔叔更拽了             
(4星)	 最后一集太失望了。。            
(4星)	 不知道还能怎么继续编下去感觉和微表情关联似乎越来越小，cal和foster最后能成一对么？？？            
(4星)	 此季截止，不追了            
(4星)	 感觉没什么看下去的动力哎            
(4星)	 越来越像神话故事了            
(4星)	 慢慢的追它成了一种惯性，毕竟第一季我曾经那么喜欢~            
(4星)	 不追了……            
(NA)	 也就到此完结吧，隔了两年才看完，还是因为山寨港剧的提醒~越来越有点豪斯医生的味道了，也不知道谁学谁。            
(4星)	 好像没有第一季好看了。。。            
(4星)	 FOX怎么这么喜欢大叔……我觉得Lightman和House有很多相似的地方。            
(4星)	 大爱Emily～Loker沧桑了....            
(5星)	 大家都觉得第二季没有第一季好看了。但是，我觉得第二季挺好的啊。每季专注一个案件，不像第一季一集有两个案件。            
(NA)	 哎，没追完～            
(5星)	 lightman和foster你们赶紧在一起吧，除了对方，你们还可能跟其他人在一起么，真是的。lightman对家里的小loli还真是封建呢，看不出啊看不出~            
(3星)	 S2 没有S1 来得新鲜了，不过倒是还原了Cal Lightman 的本来面目。            
(4星)	 第二季很无力，让我失去了看第三季的欲望。镜头晃啊，节奏奇怪啊，案件给我一种赃兮兮粘乎乎的感觉。            
(4星)	 看过cm，再看这个觉得不给力啊            
(3星)	 果然是没有了。。            
(4星)	 第二季也看完了，还是越来越喜欢foster            
(5星)	 大爱大爱大爱爱爱。            
(4星)	 这类剧还是舍弃不了呀~            
(4星)	 老男人老男人！温情了。            
(4星)	 S02E18看罢，决定放弃，这片子的编剧走火入魔了……            
(NA)	 Tim Roth做作死了 第十一集不看了            
(3星)	 我承认我完全是冲着TIM ROTH去的 满扯的一剧 不想看了~            
(NA)	 E10后恢复水准。            
(4星)	 不放长线就是不给力啊            
(5星)	 Cal~我的神！            
(4星)	 前三集很傻比，后面还OK。第二季圆满结束╮(╯▽╰)╭            
(5星)	 哇哇哇~~~            
(5星)	 托勒斯越看越迷人啊~ 期待第三季~            
(4星)	 She&#39;s my leo. Cal的这句话果真很让人伤心啊...            
(4星)	 剧情开始有点扯，不过演员个人魅力十足，继续看~小萝莉Emily渐入佳境哦，最后一集最后很温馨呢。            
(5星)	 没时间看美剧，所以不关注了。            
(3星)	 后几集的剧情真的好傻好天真啊。            
(5星)	 第一集老霸道了              
(3星)	 真是喜欢死了那个大眼睛的小LOLI。难道，我心理有问题？            
(5星)	 戏里的演员都是我的菜~            
(3星)	 看完第一集我来吐槽了。1.多重人格的转换真的太扯了点吧。2.说真的，Foster你还是穿黑色的好看，粉色系真的有点雷。3.都第二季了，拜托赶紧来点主线吧，每集都一个套路让人怎么追下去啊…（12.12更新：最终我还是只看了S2EP01，弃之。）            
(5星)	 Tim Roth逆回去了！！！            
(3星)	 其实看完第一季就可以了.            
(3星)	 lightman和他的神棍团……            
(4星)	 第二季又完了，无论如何，不看到大叔和Foster，Loker和Torres这两对终成眷属我就会一直一直的追下去的啊！！！            
(4星)	 看的米有字幕版。。还不错            
(5星)	 不管这一季一开始多么的摸不着头脑，最后一集实在是太出彩了！！！小EN啊，你多幸福啊            
(4星)	 21 全指着这帅哥Eli locker和lightman他女儿看了；第10 出来太阳落山后会自动爆炸 恩 柯南桥段.11集等了好久。久到已经不记得前面。太久不看有点害怕.17集好烂.21集拉丁妹妹和白正太终于搞上了            
(5星)	 还是很自大。。。            
(3星)	 结尾字幕组的点评相当到位：做父亲你是当之无愧的第一，做测谎你是世界少有的王牌，但做爱人，你是让人抓狂的存在。            
(4星)	 比第一季最后 和第二季开头几集 明显水平在回升            
(3星)	 不要看了.终结.这弱智片怎么还有这么多人看。。。。            
(4星)	 烦Tim Roth的痞子样            
(NA)	 22            
(NA)	 不幸被砍，哦了            
(4星)	 EZTV是我以后看美剧的唯一途径了咩。            
(4星)	 不如第一季惊艳了            
(5星)	 比第一季精彩            
(4星)	 夭折了么= =            
(4星)	 Ligtman竟然和那个丑逼富婆搞了一腿，这什么和什么嘛！            
(5星)	 看起来不更新的，关闭            
(NA)	 将弃未弃，在所追美剧都歇工的夏天还是把它给追完了。emi很正，她妈妈也正~~噢Bette！无数个案子告诉我们，政客们都是混蛋。            
(4星)	 Tim Roth!!!!!!muh hah hah            
(4星)	 Lightman kissed Foster, Loker slept with Torres... what a season finale!            
(3星)	 not as good as the previous one            
(5星)	 看了七集。以后无聊时再接着看。            
(3星)	 风格有点飘了            
(3星)	 追完了，loli长残了TAT            
(3星)	 姐姐我不追了！            
(5星)	 看多几集腻            
(3星)	 看到中间停播前就弃了            
(3星)	 看不进去了！            
(NA)	 大叔你是个好爸爸！            
(3星)	 终于看不下去了            
(3星)	 弃            
(3星)	 后来纯粹是为了看电男滚被单看的。滚到季末才勾搭上富家女。这季太漫长了，只有他闺女和loker那段还给力点            
(4星)	 最后几集实在是看不下去了。。。我放弃它了。。。            
(3星)	 第二季明显感觉到编剧开始吃力了。            
(4星)	 ep21            
(5星)	 928            
(3星)	 越看越没劲 不看了            
(4星)	 觉得完全学不到那些个技巧 所以不看了吧~            
(4星)	 你们就好好在一起会死啊。。。。            
(NA)	 9.28 人格分裂这场戏，还是香港演员演得比较好~10~11千万别挑战大叔~12past time~13have to move on~14友军炮火15租房16一人一人分饰两角~17政客、萝莉之吻~22决裂FBI            
(3星)	 S2E05            
(4星)	 经典的lightman            
(3星)	 弃了！！            
(4星)	 Tim Roth啊 老了发福了还是很有魅力 但是走路说话的样子看多了还是稍有反感的宝贝            
(NA)	 我就是光冲着loker这熊孩子去的            
(4星)	 喜欢死这对父女了！女儿长得好漂亮！            
(5星)	 几个主角性格不够饱满，过去交代得不清楚，前后形象也有点不统一…很多地方感觉有点假，比如去伊拉克的那集…但是一部不能否认的吸引人的好剧。            
(3星)	 越看越觉得无趣，弃了            
(3星)	 第一季还好，第二季明显不行了，就是没想到这季这么受到注目，日本跟香港都抄它            
(5星)	 最爱心理 学            
(3星)	 第三季看不下去了            
(3星)	 我总是想起钢琴师啊！            
(4星)	 美劇；心理/犯罪            
(4星)	 看了一半丢在那里，终于给看完了。由于第一季基本已经把理论上的包袱抖的差不多了，所以这一季主要就靠剧情和几个主演了，表现还算是不错吧，后面有几个故事差了一些。据说这季后期Lightman的神经质在下一季大爆发，很担心第四季出不来了啊            
(3星)	 还要警察干吗 都去干这个算了            
(5星)	 當年的1900除了彈鋼琴基本不會說話 現在的lightman一集40分鐘嘴巴就沒閉上過……            
(3星)	 這貨越來越像個神經病了，而且注重了劇情，偽造了科學。無聊了。            
(5星)	 悬疑迭起，精彩依旧。            
(NA)	 被砍让我很伤心            
(4星)	 越看越乏味了。再不改模式的话，真看不下去了。            
(3星)	 第一季是惊艳，第二季就是失望，往往是开头很精彩，结果普摆得太大，一直就在填坑，最后草草收尾，编剧你们集体脑残了么？            
(4星)	 集数太多 看到后来想快进。13集其实就够了。乱七八糟的感情戏真烦人。            
(4星)	 没有第一季那么有吸引力了。            
(4星)	 CAL LIGHTMAN的表演让我想起了越狱的T-BAG！            
(3星)	 大不如第一季            
(4星)	 感觉没有第一季给力了。。。弃之            
(4星)	 微表情什么的继续淡化，更多时候是在看男主盯着人家用各种语言刺激对方，然后就给出了一个是不是撒谎的结论。当然，进入第二季，理论没必要被反复提及，但是没整个剧情就显得十分的不靠谱……整季最引人注目的当然是大叔的前尘往事。大叔的表演当然还是给力，乖张不羁疯疯癫癫，但让人审美疲劳。            
(3星)	 已经不想再追了            
(5星)	 Cal太强了！！！            
