http://movie.douban.com/subject/4320241/	孽缘
(3星)	 剧情很紧凑，内容很揪心            
(4星)	 要不要这么惨啊            
(4星)	 还有比她更苦命的嘛~~诶~            
(3星)	 演员不错，但故事实在是太狗血太狗血了。。。            
(NA)	 好女人坚强就是很坚强，好男人就是好好好好，坏男人就是坏坏坏坏，傻女人就是傻傻傻傻，，，            
(5星)	 全剧精华落在最后一集上，大吐为快。            
(3星)	 忽略剧情硬伤，其实这是个不错的剧。            
(5星)	 人性的坚强、毅力、忠诚、善良与无私。很悲很励志。            
(NA)	 饶恕我看过这样的电视剧            
(5星)	 很喜欢李晨演的保全，太好的男人了，最后为了不拖累自己爱的人自杀了。            
(3星)	 当时觉得李晨太灵了╮(╯▽╰)╭当时也觉得霍思燕很美            
(3星)	  有点矫情但还是挺感动的~李晨也老了啊!            
(3星)	 在昆明拍的，有一天我去财富中心还看到他们在拍戏。            
(4星)	 剧情很大众化 很现实的故事 有感于几位演员的精彩演绎 印象最深的是玉梅 一个为爱而生而死的女人 在我旁观者的角度看来她的结局悲剧，过得是悲剧的人生。希望我周围不要有这样的人，太痛苦了。            
(3星)	 辛辛苦苦到最后还是逃不掉又死了的结局，怎么李晨拍戏都这么惨。。            
(3星)	 被室友逼着看的，一般般吧，太拖沓了            
(4星)	 难得的好片，各方面（演员、结构、节奏）质量都不错，剧情稍差一点。            
(4星)	 保全哥over的瞬间。。。我的心就彻底凉了...55555虐死人了！            
(5星)	 真的很感人，本来我是没有充裕的时间看电视剧的，不过是看到霍思燕了才看了一点，没忍住，一集不落的在家看了18集，没办法又到网上看完，太好看了...一流的剧本，一流的演员.....支持霍思燕，演技无话可说....真爱            
(4星)	 简宁长大后就是李保全，这句话说得太好了。呵呵，就冲晨哥就值四星！            
(5星)	 看完以后我觉得我就是个堂客。而且我还是五天看了六遍，然后有一不留神喜欢李晨。            
(NA)	 女人的励志故事。            
(5星)	 感动！            
(3星)	 编剧太2了。他想说明什么？漂亮女人是祸害？一点儿也不觉得女主可怜坚强善良心好。。。反正从头2到脚。这样的女人会有人喜欢吗？嗯，漂亮很管用。            
(5星)	 女神霍思燕的片子我必看！！为什么豆瓣评分这么低，我好久没看过这么吸引人的电视剧了，为了看完这个熬夜一晚上            
(4星)	 啊~~~~保全哥            
(4星)	 开始喜欢李晨的……            
(NA)	 怎么就能这么感人呢 看一集哭一集 太揪心了 直到最后一集的最后的最后一点才觉得.....            
(NA)	 邪不压正，大快人心。真爱在什么情况下都不会变质！            
(4星)	 我爱霍思燕~~我爱汪海灵~~            
(4星)	 爱是这个世上最温暖的力量。            
(5星)	 生命中，若能遇到保全这样的男人!            
(4星)	 挺感动的            
(1星)	 把天朝法律理想化了            
(5星)	 太想哭了看这个电视剧            
(4星)	 后面感动的地方有很多。在里面很喜欢李晨，可惜最后还是死了，或许，就是要这点遗憾吧。  海灵很坚强，没想到这样一个女孩子，有那样坚强的心。但是海灵又是幸福得，因为后面她遇到了一个什么都愿意为她付出，一直保护她，爱护她得李保全。当李保全死后，又有另外一个男人同样的爱护她，保护她·            
(4星)	 因为有爱。            
(4星)	 霍思燕太销魂了..最后一集那东北爷们的亮相彻底颠覆我的世界观。            
(5星)	   虽然有时候电视剧高于现实，可是往往这种高于现实的东西让我们的心回归了纯真，喜欢这部电视剧，因为每个人就像是社会上很多人的缩影，很纠结。。。每个人面对自己的懦弱，面对自己的种种情感，电视上的完美告诉了我们坚持，赚取了我们眼泪，可是我希望这样的感动能自己身上停留久点。。。。            
(NA)	 一个优秀的女大学生的幸福，就这样被毁了。可是，老天有眼让她找到真爱并最终将罪犯绳之于法。            
(5星)	 真爱            
(NA)	 室友看的，跟着看            
(2星)	 我居然会看这个名字的电视剧说- -||||            
(3星)	 剧情很BT            
(3星)	 像山一样的男人！            
(4星)	 唉哟，保全哥你死的好惨。            
(3星)	 一个强奸案引发的种种杯具，剧情弱并狗血着~演得不错，李晨同学太完美了，霍思燕演坚强女性要比柔弱的好~            
(5星)	 哭死了            
(5星)	 超爱李晨..俺们家保全啊..好可惜的..            
(4星)	 感人的励志片，教人如何去爱，如何面对生活的种种，我们可以选择笑着活，或者悲哀的哭……            
(4星)	 女友非常爱看            
(4星)	 说好了不哭泣。保全怎么就离开了呢~            
(5星)	 难得一见的好片子            
(4星)	 一个女性独立自强的奋斗史。楚楚可怜的霍霍把海灵演得那么坚强，喜欢李晨的表演，才知道他就是“十七岁不哭”“花季雨季”的偶像演员            
(3星)	 太假了，太假了。除了李晨。            
(NA)	    海灵的坚强、善良感动了很多人。  她这样说：有过悲伤，有过感动，有过微笑，学会用法律保护自己，就是要善良去爱，哪怕是痛苦或伤痕累累，也要坚信，爱是世上最温暖的力量，因为有爱才能治愈我的伤口，让我永远不放弃阳光，不放弃希望！            
(NA)	 很感人的题材            
(4星)	 人性、爱情、友情、尊严、这是一部让人看了一会就会发狂的电视剧。气死了。我真觉得这个编剧很变态，变态阿。。。最后才判了5年。我觉得死刑都不为过。就这么一个人渣。害得女主角家破人亡。才判了5年。妈的！！！            
(4星)	 还不错的女性励志电视剧            
(5星)	 霍思燕演得还是不错滴，李晨演了个好男人啊，中间有点虐到。            
(NA)	 我极其佩服这导演，太孽了。            
(5星)	 我看一集哭一次的            
(NA)	 整体来说属于很生活的那种严肃剧。很喜欢。很贴合实际。但从一开始到13集，男女主刚开始有好生活，男主角只有两集还算不错的命运，就植物人了。很郁闷。情节安排的有点太过于快了，不是很连贯，感觉就是为了那个剧情而演的，一切都显得苍白。毋庸置疑，演员都不错，让我认识了李晨，李曼，还有孙玮            
(NA)	 霍思燕太棒了~！！            
(3星)	 喜欢霍思燕和李晨 我的泪点很低 这么狗血的剧情 哭了好多遍            
(3星)	 怎么什么倒霉事都让海灵给碰见了 编剧真不厚道 李晨帅阿 好man好man好man            
(4星)	 晨哥真喜欢挑这种纠结的角色演．为了保全和海灵给四星．            
(5星)	 人活着就是要活出口气来，要勇敢、坚强，坚持自己的原则，才能活的精彩。            
(4星)	 最可惜李宝全。。。            
(5星)	 贴近实际            
(4星)	 有一种爱叫做保全~关键是保全也就是李晨长得像郑立君！！！            
(NA)	 感动于海灵的坚强            
(4星)	 挺压抑，挺虐人，但是为了保全哥值了。。。            
(4星)	 女主角悲惨的让我第二天有了熊猫眼            
(NA)	 发现最近自己越来越能看电视了。居然开始频频看国产剧。不得不说看这个主要是为了李晨去看的。深情的男人结局倒是我想不到的。其实其他的也就一般            
(3星)	 时光荏苒，不复当初，可是你眼睛依旧清亮，依旧沉默而深情，依旧是我曾经迷恋的你。这一部，完完全全只为看你TAT好吧好吧，我只要一个像李保全那样的老公TATTTTTTTTTTTTT            
(5星)	 我觉得霍思燕和李晨真的太配了 你们俩能在一起不？哭得我稀里哗啦的！！！！            
(4星)	 我认为强奸应该是死罪的！！            
(4星)	 一个坚强女人= =和N个倒霉男人的故事            
(4星)	 搞得现在一看到李晨就想哭~            
(4星)	 漂亮女人故事总是特别曲折            
(3星)	 好狗血            
(4星)	 真坚强。            
(3星)	 有李晨，《十七岁不哭》的那个李晨            
(4星)	 一个李保全就够了！最大的喜感其实是最后一集的东北司机。明显电视剧想告诉大家的是，坚持到底，你才能收获惊喜！            
(4星)	 李保全超级好男人TAT！要嫁当嫁李保全TAT            
(3星)	 气死我了，这编剧也真TMD脑残。为了啥啊，就为了突出汪海灵很坎坷，你也不能让人家死了全家啊，好不容易有了一个李保全，还竟然让他死了？？？！！！就为了煽情嘛，真实一点好不啦            
(4星)	 就这个剧情来看，或许有很多不合理的地方，很多人评价说导演为了悲而极力在苦情，但也不得不说，看过之后，我很感动，我喜欢理想的结局，可惜导演让保全死了，这或许就是人生的不如意之处吧            
(4星)	 暑假生活之。。编剧你可真不嫌累。。            
(5星)	 喜欢 李晨            
(5星)	 李保全这样的男人怎么能忍心让他离去啊，想到这样的结局心理就难过。            
(5星)	 感人，喜欢李晨~~            
(1星)	 对编剧佩服的五体投地。。。。            
(3星)	 李晨哥哥、、这么快我就对你的激情消退了……你说你枕么能shi了呢、            
(4星)	 一直很喜欢霍思燕，以前觉得她更适合演绎一个温婉的古代美女，这个电视剧让我认识到一个不一样的她，倔强，独立，自信，坚强的现代女性。。。            
(3星)	 李晨真帅！            
(NA)	 全为李晨。            
(4星)	 正义终将战胜邪恶，只是这过程太多坎坷。            
(3星)	 断断续续的看了 还不错~ 男主的结局有点OOXX            
(2星)	 受不了了，因为李晨才看了二眼，真苦情啊             
(3星)	 五年判的有点轻。            
(5星)	 真的好感人啊，通宵看完了这部片子，海灵的善良，坚强真的打动了我，保全和海灵的爱让我震撼，只要有爱就没有什么做不到的，这也一直是我坚信的，其实爱不一定是物质上的，有的只是心灵依靠，李保全不帅但是他的气魄深深地映在我的脑海中，我也希望用我的努力换取一份真爱，即使距离再远！            
(4星)	 这悲惨的小命运            
(1星)	 这编剧和导演也都太差劲了？演这么假的个电视剧！浪费时间，生命！生下来那孩子就是为了告他~！但是生下来却因为朋友不告了，搞笑...现在拍片子的不知道你们到底是拍这部垃圾的片子什么~！唉...更为之搞笑的是还有些傻帽说这片子好！...现在的社会...煞笔越来越多了            
(5星)	 一个恶棍毁了多少人的幸福，现实中我们还是离这些“小人”远一点            
(4星)	 看到了一个人生的命运抗争，可以说我们看到了她的胜利，但我更看到了保全的静静离去，看到江浩的无助远离，这或许也是人生。            
(4星)	 看着李晨就喜欢~            
(4星)	 很喜欢霍思燕,我觉得她是有演技的,这让我想到了黄奕,除了&lt;上错花轿嫁对郎&gt;以外,她就再也没有好的能让人看的片子了...特别是她在还珠**里的哭相,真想砸电视~支持霍思燕~            
(5星)	 坚强的人总会笑得更灿烂，幸福的人总会把幸福感恩于心。坚强了幸福就会有，即使短暂也是一辈子的阳光，满满的可以享受一辈子。             
(4星)	 要是我的生活中有个保全，那我可以放弃一切跟着他。            
(3星)	 犹豫一下还是给3星吧，算客观的。在家宅得主妇了。。。这类型的片大陆拍得很多且都很好，多年没看，又感动我一把。。。保全是个好男人啊！但是个别演员有时演的还是很假            
(5星)	 励志,深刻..&#34;李保全&#34;只在电视剧里..            
(3星)	 结果令人太不满意了。最喜欢的男主角居然就那样死掉了。。。。            
(4星)	 世上再也找不到像“保全”这样的男人了......真正的爱情是要用深创剧痛来换取的......            
(4星)	 太虐了~~快哭死了。。            
(5星)	 喜欢刘恩佑，穿西装真帅            
(4星)	 我要学的东西。。。。            
(5星)	 很好            
(3星)	 也不知道谁想出来的 这么苦的故事  主角苦到家了都音乐也配杯具了  好像恐怖片一样的音乐其实是想看李晨  看到一半就弃了太苦了  让人看不下去了            
(4星)	 只剩最后一集了。            
(4星)	 这类命运多舛却依然坚强的女性被编剧一厢情愿地塑造过太多了.可是不得不说,霍思燕演得真好.            
(4星)	 被海灵的精神气魄鼓舞            
(2星)	 如同一盆狗血临头....纵然喜欢晨儿吧....它还是狗血加烂！            
