http://movie.douban.com/subject/5320205/	拜金女王
(2星)	熊黛林很漂亮但太做作……吴建豪怎么越来越油了，下一站幸福的时候明明还很好的说……剧情烂成这样居然还敢剪成22集……
(2星)	给2星是因为衣服什么的还行吧= = 这演的也忒傻了
(2星)	剧情一度跑偏了，这故事就是想告诉我们，女孩们要相信还是有真爱的，但是最好也要有包包啦~ 拍摄的场景蛮美的！
(3星)	我一直以为蔡康永会在结尾的时候再出来一下的= =
(2星)	三十岁还拜金，就是你的不对了。
(4星)	相比较而言
(4星)	金钱和真爱，到底哪个才是我最爱？
(3星)	不是玛丽苏就好
(3星)	2011—11.12
(3星)	就总有点东西不对劲
(2星)	就男女主角之间那身高差老子不忍吐槽啊！！！好吧我承认我是冲着唐禹哲看的
(3星)	开头很吸引人，中间很拖，结尾无新意！自从耿得基出来开始，就已经猜到一切都只是试探而已！
(3星)	熊黛林美，剧情拖沓，结尾狗血牵强
(3星)	故事很扯，但是画面很漂亮~
(4星)	家豪他爸那段还是蛮感人的,总体还是可以的,就是对Vanness以外的那些主演们有点不太感冒...
(NA)	挺没意见
(5星)	我觉得是下一站幸福的落难版，吴建豪就是那个落难的任光唏，这种类型的反正就是很夸张，但是没啥，我觉得还是蛮好看的。越来越喜欢小V。
(5星)	Lynn很漂亮，演戏也很好，里面的衣服很好看，陈晓东总算小小出头了，个人认为Vanness的长相比较偏欧美的审美。。。但是真是受不了台湾偶像剧里面千篇一律的家人，聒噪，集群但是善良的要命，，本剧后面真是很狗血，捐肝什么都出来了。。。
(4星)	开头还不错，后面就太拖曳了吧
(2星)	除了唐禹哲还有啥看头???
(5星)	很纠结的一部剧。
(3星)	拜金女王和穷酸小子相爱了，结果就是拜金的不拜金了，穷酸的不穷酸了。女主角看着总不太舒服，特别是和男主角配戏的时候，这高度有点太接近了吧
(2星)	蔡家豪很讨厌
(2星)	服装配饰拍摄地点，这回台剧都动真格儿了，女一号也终于很正了，算是摆脱了台剧一贯的灰姑娘俗套。本来是冲着男人味的吴建豪去的，结果最失望的就是这个角色了，演技也大跳水。这剧是冲着挑战去的，败就败在一贯狗血的剧情和男主角了，就不明白了女主角装扮如此有考究，男的怎么就这么忽视呢？
(3星)	鸡肋。弃之可惜，食之无味。台词巨恶。
(3星)	陈晓东，有气场，如果我再动感情，就是浪费时间。还有那个漂亮的女配角，依娴。好吧，还有蔡康永，嘿嘿。然后，没有了。。。
(3星)	三星给vanness  剧情真的很狗血  没劲啊
(3星)	完全是為了patricia fields看得
(3星)	严凯铭老帅了~~~虐死了，吴建豪真丑~熊不会骑马耶，我也想遇到一个小上帝，帮我掌控美好生活~~~最后的老头不就是个小上帝么~~人都有掌控改变他人生活的欲望
(3星)	一分给程晓东，一分给造型师，一分给熊黛林这样的女人！只看前15集，程晓东戏份没了果断弃剧~
(4星)	知道自己要什么
(4星)	111111那天晚上看的直播 真的超有感觉 不知道 就是很喜欢很喜欢
(3星)	唐禹哲！！！！！！！！！！！！！！！！
(4星)	其实演的挺好，女王做作得很坦然，后面越来越精彩。
(2星)	a total waste ~~~
(4星)	一颗星给熊黛林，虽然演技很差但也算合适这个角色，别人也许演不出这个劲。还有半颗给华丽的衣服，这个片拖着看还是不错。不过熊黛林是不是整过头，眼珠子戴了美瞳老有种要掉下来的感觉。
(4星)	李海和依娴真配呢...
(1星)	巨乳脑残二逼片
(2星)	蔡康永那段搞得跟无极一样！再来真的觉得吴建豪长得很一般，实在没看出来帅在那！
(5星)	很现实的一部片子，吴建豪扮演的有点稚气，熊黛林完美呈现。
(2星)	陈玉珊和陈慧翎这次有点失策加失常...
(5星)	我管你情节拖沓也罢，吴建豪很挫也罢，我就是喜欢熊黛林，面若桃花。大爱。
(2星)	熊黛林眼大神呆，身体太大反射弧太长。。。唉。。。
(3星)	看了“有你在”MV，闲来无事就下了看看，比想象中好看呢！
(3星)	巴黎、Patricia Field的服装造型和名牌们的戏份真的好看
(4星)	随之体验奇妙感情历程。即便真实感很闪烁亦足够。
(3星)	第10集各种虐啊 楚曼好可怜 严凯铭之后也不出现了 早知道只看到第9集就好
(2星)	某位亲，你还是演叶问太太比较靠谱。
(3星)	總體一般，但是真的比那些弱女陪多金男的設定好得多
(4星)	这个被天朝和谐了的剧，还是会给你一些人生的启示。有钱人的霸道、自私，得不到就毁掉的扭曲心理，穷人间的情义..........还没有播完，不知道结局是不是跟书里的一样，男女主在一起了，其实我觉得不在一起更好，有时候不完美的结局让人感触更深。
(5星)	我是不是病了?竟然喜欢看台湾偶像剧?可是拜金女王真的好好看!演员都本色出演!台词也很有内涵!熊黛林真的演的很好哎 别压抑自己追偶像剧的冲动了!快去看!
(2星)	越到后面越看不下去
(2星)	实在没法看下啊
(NA)	-。-
(3星)	弃之。
(3星)	“不过也许除了爱情，女人还是需要一个名牌包包的。”~Fine~
(2星)	开头还行，后面越来越狗血。
(3星)	其实有22集
(4星)	其实剧本还可以… 但是熊黛林吧… 就是… 唉…
(3星)	Vanness的演技还是不错的。熊小姐前半段本色演出？有那么点样子~后面装纯装懵懂装痴情看起来就比较吃力了噢~
(4星)	面包与爱情。
(5星)	为了V奈斯
(NA)	我一集都看不下去！！
(5星)	好的配乐&#39;画面&#39;故事&#39;美术 扣题
(2星)	除了吴建豪很帅，没有其他任何感觉
(3星)	之前都挺有看点，，，看到最后一集被牵强的剧情狗血到了，，，
(2星)	直接跳到大结局。
(3星)	没啥可看的= =|||看一半~不看了。。。
(1星)	熊黛林你不是南京人嘛？？？？？装什么港台腔！！！！！
(5星)	真的很好看！！！值得大家去看！跟以往的那些偶像剧不一样，真的要力推！太喜欢了！！！
(4星)	美丽的童话
(5星)	这是继《下一站，幸福》之后，喜欢的第二部台剧了。。
(4星)	好看，好喜欢
(2星)	一小般啊一小般。。。找不到好看台剧了啊
(3星)	看了8集 无法继续
(2星)	熊黛林真丑
(5星)	不管怎么样   是我的菜  嘿嘿
(3星)	最后一集看的我又哭又笑的~总之剧集里的爱情很动人啊~~
(3星)	终于看到东东了T T 可是熊黛林实在看不下去...........EP07弃。
(2星)	巴黎景色和衣服两颗星
(4星)	小提琴手和拜金女的故事，场景布置地很美，虽然依然是真爱无敌的结局，但过程有喜有悲，是最近比较不错的台剧之一
(3星)	最后几集给弃了。。。。。。。后面剧情好拖沓。。。。还我女王范
(4星)	林楚曼“拜金，不拜心。”熊黛林，很有魅力。
(4星)	我主要是来看里面的衣服和包包的。
(3星)	简直难以想象，《下一站，幸福》的原班制作人马，怎么做出这样一部电视剧。只能说一般，亏还砸了那么多钱。
(4星)	吴建豪，你怎么这么迷人。中间一直不爽，坚持着没有放弃，结局还好，比想象中要好
(3星)	要说熊美女有什么演技都是扯淡了。。。她其实就是在演她自己嘛。。努力是努力，但本色出演才是最难敌啊~
(1星)	01弃.剧情就毫不吸引，欺骗平民，唯独造型值得一提。
(4星)	剧情饱满很有张力！
(5星)	还是穷穷的时候最可爱~
(3星)	尼玛的为什么不是安以轩。。。
(4星)	so beautiful.
(3星)	男女主角的搭配怎么这么奇怪...完全没爱啊...V先生的五官好扭曲
(NA)	女主角其实挺漂亮的。。就是在这里整个人都是晃晃悠悠的，而且说话就不能好好说嘛。。不过身材不错
(NA)	吴建豪- -崇拜~~~
(NA)	为了Vanness看的
(5星)	结局太戏剧话了···
(3星)	实在不喜欢熊嫂~~~
(3星)	喜欢这样有着奢华场景的偶像剧。主演的服饰和造型设计精心，时尚前卫，有品味且养眼。林楚曼的形象很具典型性，她爱慕虚荣，拜金物质，甚至有些矫揉造作，但是她真实，可爱，懂得用手段让自己生活有依靠，让自己过得更好。
(4星)	搞笑，老套爱情片
(NA)	美术什么的很不错啊 熊黛林的大脸接受无能...
(5星)	前两集不是很讨喜！第3集之后开始好看了！
(2星)	居然法语，居然有蔡康永，这个电视台真有钱
(2星)	开头是法语，没想到是装X。互吼式呕像剧一部，4集果断弃！看到开头就能猜到结局的电视剧，豪门、亲人遗弃、穷小子的追求、金钱。。。。。。。无趣吴建豪演了那么多年电视剧也就这点水平，相比熊黛林还是很出彩的！@Home
(2星)	哎....两星都是给吴建豪的，歌不错。
(3星)	看熊黛林演戏是在太不自然···很怕她下一秒就凸槌···不过看着看着···也就习惯了···习惯真是可怕的东西。
(4星)	熊黛林小姐，请回家安心做天王嫂吧，不是所有的OS都适合念出来的！
(1星)	呵 开头摆明是丑化大陆 真不要脸 不知道3星都怎么来的！懒得说
(2星)	下一站 幸福 倒是好看
(3星)	不错，对我的口味。最爱女主傲慢地提起下巴悠悠说一句：“姐姐告诉你”~~~
(2星)	除了场景选择不错。。。熊黛林的演技哟。。。很假。吴建豪，大嘴。丑。。但是熊黛林场外比较好玩
(3星)	Van Ness帅的没话说！巴黎真的是女人的梦想！美景和顶级的生活享受，可惜这梦想的实现注定付出一定的代价！就看你有没有那个勇气！！！女主角最出彩的地方就是当回自己本职工作模特的时候，气场很足！PS：幕后花絮是最近台剧的新宠？不过都挺有爱！
(NA)	无聊
(3星)	弃了
(3星)	冲着高成本看的，熊黛林的样子太适合拜金女了。可惜太高的女人会显得男人没气场，他们两完全不搭呀。。对吴建豪没特别喜好，但也觉得这戏对他是折磨，为什么不给他配个娇小点的女人，唉，看着头疼
(2星)	看了一集就像弃了 太狗血了吧 太俗了吧 虽然造型很华丽啊 还选在典型“拜金”（导演说的）的巴黎拍 但还是脱离不了烂渣的剧情 还有那个山东的王董 摆明就是摆上台嘲笑大陆人啊
(2星)	狗血的剧情， 杯具的女主， 只是为了巴黎和法语的情调给了两星。
(3星)	这剧从开始就知道显然是老套的偶像剧情节啦~说20集，结果放了22集。最后那个拖沓啊。。。演技什么的也就不说了。感慨下熊黛林身材好啊~~~巴黎风景美啊~~~名牌衣服饰品什么的倒是看得蛮爽的！哈哈
(3星)	1.5倍速加不停10秒快进的看法还是可以忍受他们的无知
(2星)	看了第一集  没意思
(4星)	虽然很多人都说熊黛林有点超过，虽然很多人都倚着《下站》来期盼这部戏，但是我觉得陈慧翎导演依旧倚着《下站》，依旧以女性为主的特色上演了这出剧，从单亲妈妈到拜金女，女性主导的特色未曾消失。从台湾到巴黎，显然各方面都做足了准备。熊黛林的演技在我看来反倒挺可爱。
(3星)	熊黛林气质女王啊，不过吴建豪好像有点不够给力… 剧情也很狗血。
(NA)	中断
(3星)	真的 真的 真的 极其失望。一集都没办法看完。陈慧翎还是做乡土味的剧比较牛逼。
(2星)	不喜欢女主角，不自然
(4星)	终于追完了，我居然看下来了，回顾了之前的评论，我还真是苛刻呢，一路见证熊同学的演技的成长，从男女2号配角开始各个演技精湛了~！无聊时光下每周必追之台剧。
(3星)	熊黛林还是好好走秀就好.....
(2星)	相比或圣母或脑残的台剧女主，多点现实的意味，虽然作为开台大戏分量依然不足
(NA)	熊黛林比吴建豪还高啊……好羡慕~~
(1星)	弃
(4星)	有尚美的呦！！
(3星)	跳着把精华都看了下，就这样吧，意外发现唐禹哲，算是惊喜
(3星)	第一集居然有蔡康永~又是法语又是fairy tale~啧啧啧
(2星)	熊黛林假的好恶心，超做作，弃
(5星)	还不错，吴建豪总算可爱起来了~
(3星)	四分为吴建豪，喜欢这样单眼皮的男生，希望他早点有个幸福的家
(3星)	这分不是摸良心给的。。。。
(3星)	又开始无聊泡沫剧的日子了
(3星)	拜金女遇到了贫穷男 贫穷男变成了富裕男 拜金女变的不拜金 然后什么都乱套了
(4星)	敢碰郭富城的女人！！！！
(3星)	剧本还行 但是找熊黛林演就是个错误
(3星)	康永哥有出演。。。
(1星)	什么烂片
(3星)	这是陈玉珊离开三立的第一部作品。比较失望。虽然陈慧翎的画面依旧干净，可惜情节太乏善可陈，感觉就是台剧以往的老梗不说，完全就是做出来的戏，如同最后一集演的那样。不过，比起内地的偶像剧，还是好太多了！
(NA)	啊哈哈，现实中有钱宁绝大多数是变态啊。这剧的警示啊，希望各位美女找有钱宁的时候注意啦
(2星)	看了一集，实在看不下去。。。
(NA)	渐入佳境
(3星)	华丽丽的衣服和配饰三星，剧情无感。
(4星)	唉 这部其实真的蛮不错 可惜被广电禁了 不过我还是没放弃 下载着看！里面讲到亲情的东西 我的泪腺就无比发达 哎哟！&gt;&lt; 后面蔡家豪变富豪 虐林楚曼的戏份 真揪心！
(3星)	这剧的亮点其实是王董和Peter~..蔡家豪也很可爱，就是有点单纯过头了..
(3星)	为了V看的
(2星)	女主实在是一大败笔。
