http://movie.douban.com/subject/2248757/	铁齿铜牙纪晓岚
(4星)	 当时很喜欢 杜小月啥的，活灵活现！！！【好基友 一辈子！！！！！            
(NA)	 看得还算津津有味            
(4星)	 回头再看，这真的是国内唯一能媲美夏洛克的天朝第一腐剧            
(4星)	 贫！            
(3星)	 吃饭必看            
(4星)	 当年的我还不腐            
(4星)	 毫不夸张的说，当年也是万人空巷看这剧。现在续集越来越泛滥，直教人怀恋那三个又有阶级又亲密的又暗斗又联合的死党。            
(NA)	 童年..            
(3星)	 太喜感了，和珅也越发可爱了~~~            
(4星)	 第一部，情节上明显的纰漏太多。但是表达的那种中国自古以来的微妙又复杂的人际关系，上下级关系拿捏的很得当，也许也是因为这种约定俗成的关系早已发展成熟，自然也就亘古不变了。与人逗其乐无穷。            
(5星)	 反正我小时候特喜欢啊囧            
(4星)	 这货绝对就是我梦到张国立的罪魁祸首！！！就是它！！！            
(4星)	 铁三角是经典。            
(4星)	 蛮喜欢他们三个搭戏。            
(5星)	 经典之。            
(NA)	 看过之后还真是觉得这个片儿腐的不得了啊。。。。。。三个大叔的黄昏之恋么            
(NA)	 他们是基友            
(5星)	 谁说 书生 百无一用╮(￣▽￣&#34;)╭             
(4星)	 就看王刚和张国立在那边贫啦~京味十足。            
(5星)	 喜欢看打嘴仗            
(4星)	 不记得了~我觉得这是童年的印记哈哈哈哈哈~            
(4星)	 这个前两部挺不错，挺逗乐的。            
(4星)	 第一部好看，后来就挫了。            
(NA)	 学着罗锅动耳朵            
(NA)	 谁说~书生~百无~~~~~~~~~~~~~~~~~一~~~~~~用~~~~~~            
(NA)	 杜小月多好            
(NA)	 。。。。。。。。。            
(3星)	 三个基友扯呗就            
(3星)	 怎么跟欢喜冤家似的？和珅要不要这么可爱呀。。。            
(3星)	 以前的时候还挺喜欢看这种所谓以历史为题材的电视剧的，后来就不看了。人为的不真实不如不看。这和野史还不一样。            
(5星)	 就是这个系列活活毁了本来和砷俊美的影像  说起和砷就会想起王刚  可是我是真的喜欢这个系列的电视剧啊！            
(3星)	 为莫愁还记得，却成就了杜小月。            
(NA)	 第一部的杜小月啊~~~            
(3星)	 不明白这电视怎么能拍那么多部。            
(4星)	 贫嘴纪晓岚的宫廷故事。和珅晓岚站身旁，从此君王不早朝。。。            
(4星)	 从纯粹娱乐的角度，是很好的            
(5星)	 剧情烂点无所谓 就喜欢看臭贫~            
(4星)	 我看这铁三角都看腻了……            
(5星)	 看你三抬杠太过瘾了            
(4星)	 铁三角曾经给我很多欢乐。            
(4星)	 耍贫嘴 不过里面有些对联很妙            
(4星)	 哈哈哈哈哈哈啊啊哈哈哈哈哈啊            
(3星)	 和绅挺有喜感            
(4星)	 够抵死，欲罢不能~            
(3星)	 还行给小月            
(4星)	 好看  没解释            
(5星)	 惯例，1还是过得去的。。。            
(5星)	 这他妈好看到爆！！！            
(5星)	 鐵三角什麼的，童年偶像不解釋。片頭曲可好聽了！            
(3星)	 几个老男人的戏            
(4星)	 好歹也是童年            
(4星)	 一直很爱看。            
(4星)	 就这个不错，后面续的都很狗血。            
(4星)	 第一部还是很意犹未尽的，但若不会见好就收，就没意思了。            
(5星)	 纪晓岚里最好的一部            
(3星)	 我现在是觉得，皇帝的脸就是张国立那样的            
(4星)	 我爸爸爱看~~            
(5星)	 多怀念和爸爸一起看这剧的日子啊。2010.06.01            
(NA)	 黄昏恋什么的。。。            
(5星)	 很经典,当时很喜欢看的~~            
(3星)	 MS整个系列都看过= =            
(4星)	 貌似袁立是从那时候开始红的？            
(3星)	 豆瓣上的剧情简介是照搬人教版初中历史书的么。            
(NA)	 呵呵，笑掉大牙            
(4星)	 其实第一部的时候也挺有爱的。。。。            
(4星)	 一开始还挺喜欢 多了就腻歪了             
(2星)	 好像电视台就没停止过播放。。。            
(4星)	 - -~贫嘴晓岚            
(4星)	 铁三角第一次合作。其实真的挺可乐的，特别喜欢袁立的杜小月。            
(3星)	 1            
(4星)	 感觉好久之前看过的~~应该是很好看的╮(╯▽╰)╭~~我喜欢张铁林张国立王刚的组合~~~            
(3星)	 小时候跟着我爸看的…            
(5星)	 个人觉得和珅演得好，当初没完守着看的            
(NA)	 哈。            
(NA)	 续集太多 掉价了            
(4星)	 第一部觉得不错~第二部还可以~第三部没感觉了~现在第四部我都不看了~~            
(NA)	 大年重温。            
(4星)	 哇！！！！！受不了。            
(4星)	 莫愁篇~            
(4星)	 这个系列都不错！            
(4星)	 看起来很轻松的剧，虽然有些年头了            
(3星)	 他和和珅是搭子吧？联合演戏给皇上逗乐来着            
(4星)	 纪宝宝~~            
(5星)	 还是最喜欢这部，幽默            
(5星)	 嗯。十年前。            
(4星)	 嗯 当年迷死在这里头了            
(4星)	 很久很久以前很喜欢杨丽菁的。。。。。            
(4星)	 铁三角 喜欢啊            
(3星)	 实在没事做时的最佳选择...            
(4星)	 8/10            
(4星)	 金三角            
(4星)	 还是很喜欢的电视剧啊，很喜欢他们仨吵嘴的样子！            
(3星)	 后来张庭不知在几里出现的。            
(5星)	 独爱粤语配音！            
(4星)	 有愛的鐵三角            
(3星)	 说实话   想不看一样都难    哪台都播                
(NA)	 谁说书生百无一用            
(4星)	 袁立那个时候很好看            
(3星)	 前几部挺好看的。            
(3星)	 忘得差不多了            
(4星)	 好看，经典。张国立的古装戏都挺好看的。            
(3星)	 按它与我的价值很想打4星，但并不值得推荐给他人            
(5星)	 喜欢里面的斗志斗勇 喜欢那工整的对联            
(4星)	 看着喜庆            
(NA)	 真贫            
(5星)	 大陆的古装剧，这个算好的了。            
(4星)	 那时候也曾迷倒要死，每天必看。            
(3星)	 那时候还觉得蛮好看的            
(NA)	 外婆很喜欢和申            
(5星)	 我外婆一见王刚就喊“和珅”            
(3星)	 喜欢纪晓岚！！当年都刘惠玩开心            
(3星)	 王刚整出的胖和珅            
(3星)	 铁三角 那个 我最讨厌张铁林！            
(NA)	 忘了内容了 不过小时候绝对看过            
(4星)	 第一部最好看            
(4星)	 不管多么“戏说”，真的很好看~            
(NA)	 全家一起看。            
(NA)	 张铁林 张国立 轮番意淫皇上。            
(4星)	 太逗了。相当爱看。            
(4星)	 仨实力派，喜欢的，风趣的故事　            
(5星)	 对纪晓岚的敬佩从此开始——……            
(4星)	 我妈唯一不讨厌的”长衫子“剧            
(4星)	 王刚吟诗：鹅             
(4星)	 没事看热闹            
(4星)	 张国立~            
(3星)	 對片頭曲情有獨鐘            
(5星)	 我就是特喜欢...            
(4星)	 这其实是一腐片，真的            
(4星)	 哼。            
(4星)	 还是一最好看。            
(4星)	 哎这种片子算凑数的            
(NA)	 小时候            
(4星)	  喜剧 张国立             
(3星)	 和老爸一起看的            
(5星)	 很棒的电视剧            
(4星)	 挺喜欢看这个的            
(4星)	 鐵三角拌嘴還是很嘈的            
(2星)	 看过            
(3星)	 我还看过1234            
(4星)	 很不错的系列连续剧            
(NA)	 戴娆的主题曲好听            
(4星)	 虽然张国立和张铁林都很那个...这个的某些部分还是很好看的            
(5星)	 结局有点唐突            
(NA)	 瞄过            
(3星)	 补漏            
(5星)	 袁立很不错。            
(4星)	 三个人演的都很好撒~尤其喜欢王刚大叔的演技~他就是我心目中的和珅！！！（虽然本来的和珅应该是个帅哥……            
(4星)	 还不错            
(NA)	 还可以 有些剧情回想之后还想再看一遍 可是真又看了一遍之后又觉得很没劲……            
(3星)	 还不错            
(4星)	 好看，这三个人，绝配。。。            
(4星)	 那麽多清装戏，还是这个是最好的。            
(2星)	 越往后越恶心            
(3星)	 不错            
(3星)	 台词不错            
(4星)	 记忆当中登峰造极的搞笑片            
(5星)	 2001            
(4星)	 逗闷子            
(NA)	 本应在不错的电视剧里的 但现在拍的越来越无聊            
(NA)	 铁齿铜牙纪晓岚            
(4星)	 当时也算一个小小的突破吧            
(NA)	 很喜欢看呢！            
(NA)	 很老很娱乐。            
(NA)	 红就一个字 可喜欢袁立了            
(4星)	 算是讲了不少老百姓的心声吧            
(3星)	 到后面有些做作            
(4星)	 三个很经典的人，。。            
(4星)	 从这部开始，认识铁三角的巨大威力了。            
(NA)	 虽然这部电视剧有许多失实之处，但还是很有意思的。            
(4星)	 其实挺好看的            
(5星)	 真的不错～时代呼唤纪晓岚            
(4星)	 笑。。。。            
(3星)	 因荷而得藕，有杏不须梅。            
(NA)	 不错            
(4星)	 消磨时间很好的道具。。            
(4星)	 很搞笑            
(3星)	 袁立很可爱啊！            
(3星)	 其实还是挺喜欢看            
(5星)	 呵呵老男人的魅力啊            
(4星)	 第一部还是不错的。            
(4星)	 小时候看的            
(4星)	 铁三角。            
(NA)	 打发时间看确实不错            
(3星)	 比第二部好看~他们三个成型了，谁都打不破，尤其是和珅的形象···            
(4星)	 铁三角,哈哈~~~            
(3星)	 听了纪连海的正说和绅，就很佩服这个人。感觉和绅让王刚给糟蹋了。            
(NA)	 呵呵～好笑！            
(5星)	 居家必备            
(NA)	 红啊            
(4星)	 这三位铁三角的戏，虽然演来演去都是那个套路，但是就是好看。            
(4星)	 不错！            
(3星)	 不是历史，而是狗屎            
(4星)	 陪着爸爸、奶奶看过好多遍啊            
(3星)	 剧情还是那么慢哎。看得不爽。            
(4星)	 其实有点假正经            
(4星)	 三足鼎立            
(5星)	 我麻麻灰常喜欢看的一国产电视剧            
(4星)	 喜欢这样的幽默            
(NA)	 张默事件后看张国立都觉得怪            
(3星)	 王刚不错。            
(4星)	 可喜欢和珅纪晓岚斗嘴了。            
(4星)	 漂亮又泼辣的袁立            
(4星)	 随便哪集都能立马入戏都好看~！铁三角经典之作            
(4星)	 7.7            
(4星)	 再看            
(4星)	 第一部最好。            
(3星)	 补遗            
(NA)	 存档。            
(4星)	 突然发现这才是国产腐剧的祖师爷            
(4星)	 就喜欢看别人斗嘴，哈哈            
(5星)	 真贫            
(4星)	 多年前看的了，竟是幽默浓郁得很呐，多年后再看还是会笑得很开心~            
(4星)	 喜欢王刚演的和珅。。。            
(4星)	 挺好的，看他们斗嘴~            
(5星)	 第一步是经典，后面就滥了~            
(3星)	 这个系列应该全看过 看到后面很烦。            
(5星)	 好看就俩字！            
(5星)	 哈哈哈哈这个也是腐剧            
(4星)	 不错的还是            
(NA)	 这就一纯粹逗贫的片子，实在无聊了，可以看看。            
(4星)	 那段时期，中国电视剧出过不少好剧，这也算是一部，前几部最好看            
(3星)	 铁三角            
(3星)	 小时候觉得那情节真惊险，现在只剩下了闹剧。            
(4星)	 记忆犹新            
(5星)	 铁三角，（我更喜欢看和绅）            
(4星)	 尼玛12年啦！！！            
(4星)	 脑补一世为臣调剂心情的良药~=3= 小时候看的欢乐死了！那时候的袁晓月多可爱……            
(3星)	 这和珅演的太喜感了            
(5星)	 还记得小学有一阵子在学校飞速写完作业，回家先是小神龙俱乐部然后纪晓岚，少了哪个都能难受一晚上……            
(5星)	 强烈推荐呀~            
(4星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(4星)	 第一部的时候看的很欢乐。            
(4星)	 铁三角~            
(5星)	 小時候超愛            
(NA)	 一直不怎么讨厌和珅，因为王刚很萌~            
(5星)	 第一部永远是最经典最好的            
(NA)	 诶呀 这是我们一家三口一起围坐在电视旁看的一部剧 虽然内容完全没印象 不过贵怀念在看时的氛围            
(5星)	 9            
(4星)	 一晃儿都12年了？真快啊！            
(4星)	 片尾曲到现在还会唱= =            
(5星)	 Clever is a New Sexy~哈哈哈~            
(5星)	 里面的段子超逗的。            
(NA)	 看多了也 沒意思了            
(4星)	 童年歡樂~            
(4星)	 君臣关系很逗，纪晓岚与和珅也是冤家活宝（后来怎么就成CP了呢）            
(4星)	 虽然不知道现在的张国立在干什么，但我知道那时候的张国立是纪晓岚。            
(4星)	 没事的时候在家天天看，一看看一天            
(3星)	 不错            
(4星)	 那个时候可喜欢袁立了 - -            
(5星)	 永远的铁三角==【想到瓶邪胖子了==            
(5星)	  哈！小时候超级爱看！            
(4星)	 电视上经常播，拿来打发时间的东西。。。            
(3星)	 当年完全是陪老爸看的            
(3星)	 当时觉得纪晓岚太聪明了            
(4星)	 这部还是挺好看的其实……            
(NA)	 三星。            
(4星)	 小时候可喜欢了……            
(2星)	 演技行，            
(4星)	 三个男人也是一台戏。            
(4星)	 第一部不错。            
(4星)	 我喜欢张国立.王刚            
(NA)	 小時候的記憶啊。。             
(3星)	 凭什么一帮老男人都那么有艳遇            
(4星)	 不错            
(NA)	 好怀念！！！            
(5星)	 这是我唯一爱看的电视剧。。。。。            
(5星)	 四部我都爱 可惜越来越差            
(5星)	 因为这个戏 我觉得和珅很萌...            
(5星)	 哈哈哈哈。            
(5星)	 当时我还看到剧组拍摄了呢            
(5星)	 我跟我爸我妹一起看的，哈            
(5星)	 还记得当时跟姥姥姥爷一起看那个小电视的日子。。。每天下午都守着看哦。。            
(4星)	 ...            
(5星)	 教会我贫嘴的剧集！            
(NA)	 就前几部好看啊太多了烂大街            
(4星)	 还是第一部比较好 还挺逗的            
(3星)	 当年太小看不懂~~~            
(3星)	 张国立。            
(4星)	 多逗啊。             
(3星)	 黄金铁三角            
(4星)	 小时候看的时候真的觉得和珅就应该是胖的流油，纪晓岚就应该是一脸正气。当时看的特别欢乐！            
(3星)	 当时觉得挺好看的，现在再看就不心水了            
(3星)	 虽扭曲了历史，但对白还真是挺风趣的，就看王刚和张国立斗戏法。            
(4星)	 张国立啊张国立。。。            
(4星)	 做官的道理            
(NA)	 三个男人的欢乐故事~很有爱            
(4星)	 小时候看的 还不错啦            
(5星)	 超豪华阵容，绝对的经典！~~            
(3星)	 = =。。。。            
(3星)	 誰說————————書生——————————百~~~~無~~~~~~~~~~一~~~~~~用~~~~~~~~~~~~~~（然後我就自動接上康熙微服私訪記的“金瓦金鑾殿 皇上看不見”……）            
(NA)	 那时候每天练完半个小时二胡 就盼着看这个。。。            
(3星)	 小学跟着我爸一起看的，一直没听懂片头歌词。刚开始觉得还挺好的，后来续集越来越多，都一套路的，腻死了。            
(5星)	 挺好看的，小时候爱惨了，上大学还把最新的看完了            
(NA)	 各种调侃。            
(5星)	 其实第一部拍的都不错，后来的都是不太好的半成品，就像仙剑奇侠传一样            
(4星)	 儿时的回忆 其实编剧还算可以 虽然不符合历史，但幽默风趣就行了，电视剧嘛            
(4星)	 铁三角的魅力            
(4星)	 铁三角最开始多讨喜啊，连杜小月我都是喜欢的            
(3星)	 也就是第一部，之后的琐碎和絮叨是难以承受之负            
(4星)	 至少小时候看得有滋有味的。            
(5星)	 小时候可喜欢看这种电视剧啦！巨好看            
(4星)	 各种有的没的的，挺好看的...            
(4星)	 喜欢他们三个搭档            
(4星)	 铁三角组合            
(NA)	 喜欢那个时候的袁立            
(4星)	 喜欢杜小月            
(3星)	 后来才知道历史上真正的和珅是个俊秀帅哥            
(4星)	 这3人在一起搞笑的飞起。童年的回忆。            
(3星)	 一蓑一笠一渔舟，一个渔翁一钓钩。 一拍一呼还一笑，一人独占一江秋。            
(5星)	 如果现在的我肯定觉得纪晓岚和和珅相亲相杀OTZ            
(4星)	 我说这个也好看呢。            
(4星)	 铁三角，杜小月，欢乐时光。            
(5星)	 这连续剧很有趣            
(5星)	 好            
(NA)	 好看！            
(4星)	 铁三角成型之作            
(4星)	 唯一一部全家人一起看的电视剧~~大人小孩儿一起，难得难得，为此也要顶一下            
(4星)	 记得那时候好爱看            
(4星)	 三人行，必能扯淡            
(4星)	 這是鐵三角            
(3星)	 我爸的爱！！！            
(2星)	 ～～～            
(4星)	 小时候看过的电视剧15            
(4星)	 喜欢王刚啊！！！！！            
(NA)	 谁说书生白无一用？第一句是这样的吧            
(4星)	 童年情深啊            
(5星)	 百看不厌            
(3星)	 其实挺好看的，杜小月很漂亮呀            
(NA)	 小时候看得多乐呵呀。            
(5星)	 一部接一部的看啊            
(NA)	 续集就不喜欢了            
(3星)	 我真不好意思承认我看过。。            
(4星)	 嘿嘿  好看....            
(5星)	 内地经典铁三角。            
(4星)	 跟老爸一起            
(3星)	 后面几部越看越烦            
(4星)	 喜欢啊喜欢啊，小月很贴心，和珅很可爱。            
(4星)	 和珅好可爱啊JQ满满            
(2星)	 一部教会人们口诛笔伐的国产剧。            
(3星)	 铁三角啊            
(4星)	 那时年少各种剧~            
(NA)	 爱死小月了            
(4星)	 第一部            
(5星)	 经典！好看！            
(3星)	 铁三角            
(5星)	 好喜歡紀曉嵐！！紀曉嵐和和珅一搭一唱啊～～            
(4星)	 铁三角的铁齿铜牙纪晓岚啊            
(4星)	 我特爱看纪晓岚连续剧，但只看到第二级。应该说第一级最好看。崇拜纪先生的我，找来纪先生著作却看不懂，果然纪先生厉害（只不过我的汉语能里太差而已？)。            
(3星)	 其实我蛮喜欢王刚的            
(3星)	 喜欢，现在看到哪个台在放也还会看。。            
(3星)	 袁立挺漂亮的            
(4星)	 第一部还不错            
(4星)	 看电视打发时间的好剧            
(2星)	 我爸爱看的            
(5星)	 电视上演一遍就看一遍。。。囧。。。            
(4星)	 这铁三角，这次是最铁的。            
(NA)	 看了几部之后的最大疑惑是，为什么每部里面纪晓岚和小月的感情关系都不一样            
(NA)	 其实吧 还是挺有味道的嘛            
(4星)	 三个男人的一台戏实在太过瘾了，感觉甚至不输《让子弹飞》里的三人组            
(5星)	 喜欢这三个人的组合诶！            
(NA)	 我当时真的好像也很迷这部剧，至今还记得这部剧的片尾曲呢，很喜欢。            
(3星)	 第一部最正经            
(4星)	 很有味道的。            
(4星)	 和珅            
(4星)	 这三个好基友真是绝对的搭啊！            
(5星)	 呵呵。。。印象很深的时 中午看完这个，让回去吃完烩面。哈哈            
(3星)	 感觉着4不都没什么区别            
(5星)	 铁三角。            
(4星)	 后面除了这么多，还是第一部最精彩的啊！            
(5星)	 贫嘴是种乐趣，纪晓岚和珅相爱相杀连皇上也觉得欢快啊。            
(5星)	 小时候因为这部片一直以为和珅是好人 我了个去            
(4星)	 小时候的回忆            
(5星)	 陪奶奶一起            
(5星)	 一直是最喜欢的国产电视剧            
(5星)	 哈哈哈 我最爱看了。。。            
(3星)	 中考刚刚完电视上就开始放，很不喜欢杜小月。。。            
(4星)	 那个时候真是喜欢看啊            
(5星)	 我是看着你长大的。            
(4星)	 当时连书也看，一晚就看完了。都很好看            
(5星)	 铁三角，我支持，很好笑            
(5星)	 铁三角没有不看的理由            
(3星)	 小时候超喜欢。            
(NA)	 大概每一部都看过吧            
(3星)	 张国立来主演是最大的败笔            
(3星)	 还行吧~            
(4星)	 作为电视剧还是可以的            
(4星)	 亮点还是和珅呀            
(4星)	 和家里一起追的好喜欢的剧子，纪晓岚深入民心呐，当然和珅也是很搞。            
(2星)	 自从刘罗锅以后，他们拍的东西都差不多了……只不过有的好点，有的差点，有的…………            
(5星)	 算是经典吧            
(3星)	 铁三角的经典            
(3星)	 三剑客。            
(4星)	 张国立 顶            
(5星)	 这个真是超级经典，记得小时候夏天趴在凉席上看，看了就一点也不热了。            
(NA)	 记得当年爷爷每天都在看- -            
(4星)	 第一次去深圳的时候跟着姑奶奶看的，然后就发现深圳放电视剧普遍比其他地方都要先啊            
(5星)	 超喜欢的三人组，少了谁都不可以····嗯哈···虽然历史里面应该是和珅比纪晓岚帅哇，不过完全不影响电视剧哇···可惜后面怎么会有杨千嬅，有点小不适应···            
(4星)	 哎呦，小时候一直迷着            
(5星)	 我很喜欢啊- -            
(3星)	 爸爸很喜欢看。            
(NA)	 有的东西还是要mark一下的。。。            
(5星)	 纪大人=3=皇上=3=和大人其实我是来看你的=3=            
(4星)	 第一部最好看。            
(4星)	 还不错的。之后的几部就不行了。            
(5星)	 这三个人的配合天衣无缝啊，最喜欢王刚了~            
(3星)	 纪晓岚被塑造成了一个插科打诨腹儒舌剑的书生，反倒是和珅一团和气很可爱            
(4星)	 挺好看的            
(3星)	 纪晓岗真是很有才啊            
(5星)	 行色匆匆中，谁会遇上谁。            
(NA)	 竟看你们仨斗嘴取乐了。            
(3星)	 我不知道我看到过的是哪部了？            
(5星)	 谁敢说三个老爷们儿不是一台戏？            
(5星)	 小时候很admire的智者            
(NA)	 小时候陪我奶奶看            
(4星)	 大叔三角黄昏恋啥也甭说了。。。            
(4星)	 铁三角还有片尾曲·····            
(4星)	 铁三角...            
(3星)	 之后王刚给我的感觉就是 和珅 哈哈哈            
(3星)	 还是森哥买的碟呢，我居然看出了福尔摩斯的味道- -各种基情无限啊！            
(4星)	 还不错啊            
(3星)	 小月那时候还是不错的。            
(4星)	 编剧算很难得            
(3星)	 除了演员，一概印象不深了。            
(4星)	 纪晓岚！            
(5星)	 这才是幽默啊            
(NA)	 我始终觉得张国立和张铁林长得很像            
(4星)	 哈哈，和胖子，最爱和胖子，太逗了            
(4星)	 看这部电视剧最大的收获就是越是能担当的人越是容易遭罪，不过越遭罪就越是能担当。有点悖论，不过就是死循环。            
(5星)	 和爸爸妈妈一起看的都要五星！            
(5星)	 其实回想起剧中的情节，和现在很多状况都是相对应的            
(4星)	 随便看看！            
(3星)	 这个贫啊            
(4星)	 王刚的和珅绝对是一代经典了            
(4星)	 和珅真是可爱，每次奸计都不得逞～铁三角加杜小月是在是精彩。            
(5星)	 喜欢~难得的编剧            
(4星)	 三个大叔的恋情纠葛。。。            
(4星)	 小时候可爱看了- -            
(3星)	 做作            
(NA)	 这个翻来覆去看了好多遍···很好看··但是现在···应该不会看了···            
(NA)	 那烟花巷，那八大胡同（民国），这才是我心中的中国文人形象。            
(5星)	 铁三角哟亲！            
(4星)	 那时候每天晚上都看这个            
(3星)	 就是不喜欢，但电视上老播，搞得我时不时的就看一下            
(4星)	 =W=            
(NA)	 原来这世界还有那么多我看过的电视剧呀            
(4星)	 真的像豆友所說，適可而止            
(5星)	 喜欢他们三个在一起嬉笑怒骂耍心眼的样子，很多情节很经典。只有这一部好看，后面的都是浮云。            
(NA)	 先生            
(4星)	 正史上和珅是个美男子，而纪晓岚是个孬种。。。            
(5星)	 百看不厌，最爱            
(3星)	None
(5星)	 我就喜欢这类有事件 要破案的剧啊~演员也很好阿            
(4星)	 3p！！！            
(4星)	 挺有意思的 虽然不符合历史 当年全家人一起看            
(5星)	 谁说~~~~~~~~~书生~~~~~~~~~~百无~~~~~~~~一用~~~~            
(5星)	 3P剧            
(4星)	 绝对腐剧啊。哈哈，看过这个以后看一世为臣的时候千万不要脑补王刚大叔哦~            
(3星)	 忘了，当年还在当电视儿童的时候，没东西看才会勉强看得戏啊            
(NA)	 没说的。。。            
(4星)	 我爸的最爱。像爱动物世界一样爱            
(4星)	 记得还是每天守着电视机的年代。谁说书生百无~一~用~            
(4星)	 童年呀~！！            
(NA)	 喜欢这样合情合理的电视剧。            
(3星)	 铁三角的戏，还行            
(3星)	None
(4星)	 纯属爷们聊天，有点君不君，臣不臣，除此之外没啥不好            
