http://movie.douban.com/subject/2138507/	奋斗
(4星)	 唉            
(4星)	 挺喜欢看的，说我俗吧。里面好多台词儿还是挺值得深思的。            
(3星)	 感情部分的戏还成，奋斗就算了吧。PS，王珞丹那劲儿真像老徐。            
(NA)	 很喜欢米莱。            
(2星)	 奋斗个粑粑            
(3星)	 说不清楚，总有无聊情绪缭绕。。            
(4星)	 台词相当棒            
(NA)	 我必须推荐            
(NA)	 不错            
(NA)	 这片子傻逼 一直没跟风 但我爱它 我爱里面的人物 没有任何借口！！！            
(3星)	 或许因为太多人推荐，所以看了些，感觉还可以，但一直没耐性再将全剧看完~因为听到太多人谈论里面的情节，结尾，似乎看不看意义都不很大了。            
(NA)	 主角们的名字都成了形容词            
(3星)	 有个叫米莱的美女..and很摇滚气质的华子            
(2星)	 不过我坚信陆涛同学会选择米莱。            
(NA)	 多看几遍就觉得一遍比一遍不靠谱            
(3星)	 看不下去。            
(4星)	 年轻的国产高水准有深度偶像剧            
(4星)	 现代童话            
(NA)	 米莱，，裙子，，大叔            
(5星)	 奋斗             
(4星)	 跟我的生活没关系...不过喜欢里面的台词            
(2星)	 哦...            
(4星)	 80&#39;s的我们 必看            
(NA)	 拍的一般，不过里面有些东西还是真实的            
(4星)	 还没有完整的看＝  ＝            
(5星)	 看了三遍            
(5星)	 好看。。。            
(NA)	 不怎么真实            
(3星)	 比RPG游戏还假的现实生活。            
(5星)	 纯石康手笔，一路走高            
(NA)	 我就纳闷了 我怎么会看这部电视剧 只为杀时间            
(3星)	 米莱。            
(NA)	 我就是要对你好            
(NA)	 我好好好好好喜欢米莱            
(5星)	 很青春，很奋斗～～我喜欢！！            
(1星)	 ☆ 在外面没事的时候零零碎碎看的。很傻很天真，主角都是我讨厌得想杀人的类型。我觉得石康就是想黑八十后。            
(NA)	 越看越假的东西~~！            
(NA)	 还可以　也不太现实的            
(3星)	 挺假的。            
(1星)	 做作至极            
(4星)	 石康的东西还是原著比电视剧好看，除了《大腕》            
(3星)	 就只看过两部国产剧- -            
(3星)	 耍嘴皮子，恶心的爱情，扯淡的奋斗            
(NA)	
(3星)	 纯当相声听 挺乐 情节方面不说啥了 纯属扯淡 至今想不明白咋有嫩大一票人感动的喉喉的 演员方面 喜欢王珞丹和文章            
(3星)	 台词不错。但真是一假大空电视剧            
(4星)	 青春与爱情的童话。奋斗吧，粪斗吧！            
(NA)	 很好的一部片子。            
(4星)	 看的过程很颠覆 最后和开始完全不一样的态度            
(NA)	 现实的环境和理想化的感情+人们            
(2星)	 在线看了几集就看不下去了，评论中的“奋你妈个斗！通篇的自我欺骗  ”（http://www.douban.com/review/1222169/）写的非常有爱，写出了我的心声啊！            
(3星)	 看上去到真像是个装做70年代人的80后人的作品            
(4星)	 比较喜欢夏林！            
(5星)	 看了这个片子以后我都觉得我不是80后了//2010年一月我重新看了这部片子，不仅爱上了马伊琍，也爱上了这部青春乌托邦//青春最残酷的地方在于它对于任何人来说都只有一次。            
(NA)	  石康             
(3星)	 没觉得哪点好看啊。            
(3星)	 一边雷着一边煽情着            
(4星)	 刺青小妹妹又出現了,真神奇!            
(NA)	 我哪里像 马伊琍 了?            
(3星)	 10/7,23集里有ColdPlay的yellow~            
(NA)	 看得多有共鸣的一片儿啊．从晃晃悠悠就觉得石康不是盖的．            
(2星)	 不合我胃口。            
(3星)	 没觉得很好            
(3星)	 某天呼风唤雨 某天失魂落魄 一切权当是经历 没经历的就尽情经历 管它好还是坏             
(3星)	 质量很不好，拍得水平很低，但是一些生活还是让我想到一些            
(5星)	 喜欢上陈意涵            
(NA)	 年轻才是奋斗的资本和力量，我们都年轻着，我们也在奋斗着，为着那些梦想而奋斗。            
(5星)	 那就奋斗吧            
(4星)	 现实            
(3星)	 就一青春偶像剧            
(3星)	 年轻时候觉得特有意思的一部电视剧            
(4星)	 我爱死这帮流氓了            
(5星)	 大爱京味喜剧励志剧。            
(2星)	 除了奋斗俩字，差不多所有价值观都是错乱的            
(4星)	 佟大为 马伊琍 文章 李小璐o(*////▽////*)q            
(NA)	 火的莫名            
(4星)	 除了米莱、向南和杨晓芸，其他谁都不喜欢，尤其是夏琳和陆涛，什么玩意儿。            
(5星)	 臺詞太帶勁兒了~            
(4星)	 我就喜欢杨小云和她妈！            
(3星)	 都说好的东西我就是觉得挺矫情的，唉            
(3星)	 后来喜欢夏琳了            
(NA)	 =_____=            
(2星)	 从第一集就开始觉得矫情，剧情傻逼            
(2星)	 两星是给向南夫妇打的.            
(4星)	 让我想一想            
(3星)	 越看越tm假，越看越假啊！            
(2星)	 看到第二集 矫情的不行            
(NA)	 要車有車 要樓有樓 要女人有女人  這算哪門子奮鬥            
(1星)	 谁说这帮混蛋代表八零后我抽死TA！            
(1星)	 去他妈的奋斗，陆涛就一纨绔子弟靠着女人玩弄理想罢了，倒是‘朱雨辰’奋斗了，但最后连自己女人都跑了。            
(1星)	 感觉剧情像漫画改编 真人版 说不好什么漫画            
(1星)	 还能说什么呢  卑躬屈膝的导演 拍的nc剧被            
(1星)	 超级烂片            
(3星)	 没感觉是励志 比较装逼的片子  唯一的亮点是台词不错 2008年于迅雷看看            
(NA)	 天上掉下个徐志森,这泥马哪里是奋斗,都得瑟,得瑟去吧            
(4星)	 奋斗？            
(2星)	 太那个啥了            
(4星)	 挺好 有点假 恋爱奋斗史一部            
(NA)	 它的糟粕与其精华一样执着。            
(2星)	 除了王珞丹，谁像北京人？            
(NA)	 补遗            
(3星)	 没事偷得浮生半闲看看人物的磨叽吧~            
(1星)	 看完女博士的评论，特地给了个差            
(5星)	 太好看了            
(NA)	 乌托邦            
(NA)	 欺骗消费者的故事            
(4星)	 有点假 有点做 有点扯 有点拖 但还是值得一看的            
(1星)	 实在太SB了！严重鄙视本片的演员，编剧            
(NA)	 虽然我不喜欢杨晓云，但是我觉得她和她妈过得很滋润            
(1星)	 我讨厌京腔            
(NA)	 说实话没有看出“奋斗”的情节            
(3星)	 還是不現實            
(4星)	 消遣～            
(5星)	 我很喜欢台词            
(4星)	 除了主角陸濤以外,都挺招人稀罕的.青春是什麽呀,是貧呀!            
(NA)	 米莱。。。            
(1星)	 能不能別讓內啥靈珊說話，我現在巨討厭台灣人。            
(NA)	 奋斗            
(3星)	 一般，我其实不是很喜欢            
(2星)	 假！            
(4星)	 好看            
(4星)	 毁誉参半            
(5星)	 看奋斗 只是随大家一起看罢了 都知道青春是怎么回子事情            
(1星)	 蠢            
(4星)	 但是没大看全            
(4星)	 大三宿舍            
(4星)	 夏琳，我学不来。。            
(4星)	 關於這個，就不多說什麽了            
(1星)	 我真讨厌这个破电视剧            
(3星)	 没事打发无聊            
(4星)	 喜欢里面的调侃，虽然剧情矫情了点            
(NA)	 从里面学到一些东西            
(3星)	 ..            
(NA)	 虽说故事很假（就像多年前的那个《流氓花园》一样），不过演员演得还是不错的！里面的配乐也挺好的~            
(2星)	 受不了那个石康式的对白也受不了这个石康式的意识形态,好象年轻人不这么着就不算奋斗似的,但是这样就真叫奋斗么?我看不如叫:我是你爸爸!有人说昆德拉的小说不好是因为昆德拉放了太多自己的意识形态进去,那么这部奋斗不过就是个故事版的:那些值钱的经验嘛~IS THAT TOO TRANSPARENT?            
(3星)	 当我电脑硬盘空间不够的时候首先把它删了。            
(4星)	 我喜欢老爸的话            
(5星)	 看了多少遍也看不够            
(2星)	 这部剧谁在奋斗呀···········            
(NA)	 唯一一部在网上看完的中国电视剧，非常贴近人生观的想法，做法和目标，人物 也很棒。            
(NA)	 经典            
(3星)	 特别喜欢米莱            
(4星)	 我就是喜欢米莱，喜欢她那固执地，不顾一切地，爱着陆涛。有钱女又怎样，她只是要一份爱情。            
(NA)	 这能叫奋斗么？            
(4星)	 京味儿            
(4星)	 十分80后，十分熟悉            
(NA)	 N+1=？？总之我喜欢。。            
(2星)	 在酒店里看这个其实还挺high的 只要陆涛一出现我就能睡着 然后第二天出去疯特有体力            
(3星)	 向梦想敬礼。然后回望            
(NA)	 神秘的认同感            
(1星)	 我看到第二集就被情话雷得看不下去了。。。            
(1星)	 阿姐我看过一集            
(5星)	 我他妈的要不是为了那啥，···哎            
(NA)	 国产            
(NA)	 只为心中那个米莱            
(3星)	 我们的成长            
(1星)	 徐志森才是主角            
(4星)	 夏林穿的太他妈的丑了            
(5星)	 边看边想自己            
(4星)	 最看不起佟大为的品味            
(3星)	 众男闺蜜都推荐我看。            
(4星)	 一起奋斗吧！！            
(2星)	 只能看一遍的电视剧            
(4星)	 80后的電視劇。            
(5星)	 你的死突然提醒我，生命原来是这样的脆弱，死亡和我们如此的接近。我要回去好好想想，什么是生命中最重要的。我要想，如何度过我的一生。            
(4星)	 够贫,够热闹,够YY            
(5星)	 台词很强大~！            
(NA)	 蒽            
(5星)	 为什么一看就哭了。            
(5星)	 憧憬　奋斗　乌托邦精神            
(2星)	 我不喜欢里面的台词，可是为什么这么多人喜欢。            
(2星)	 我就是不喜欢 很不喜欢 觉得太假了 一群人莫名其妙            
(5星)	 哈哈哈，我大爱！            
(4星)	 当年那叫一掰扯,后来才发现都是瞎掰！            
(NA)	 剧情简介 · · · · · · 对前途充满了憧憬与期望的陆涛（佟大为 饰）刚刚大学毕业，女友米莱（王络丹 饰）带来好友夏琳（马伊俐 饰）一起庆祝。没想到陆涛和夏琳一见钟情，爱情火花燃烧得浓烈的二人不顾一切地相爱了。为了不伤害身边的人，他们没有选择公开，却被早已疑心的米莱撞破，伤心的米莱远走他乡。身处热恋中的陆涛和夏琳也希望好友能感染爱情的魔力，介绍了向南和杨晓芸（李小璐 饰）认识，这两人来个闪电结婚，杀得周围的人都措手不及。面对事业，刚刚毕业的他们不是碰了一头灰，就是认识到了理想与现实的落差，这个时            
(1星)	 看不下去了，真叫人恶心。            
(3星)	 很多台词都很牛.很多台词都能带给我意义.....            
(5星)	 爱生活，爱石康            
(NA)	 纪念搁浅的春天。            
(3星)	 我是向南 我怂            
(1星)	 佟大为演苹果多好啊!比这个有意思一百倍啊! 我谢谢你们 别让我看这个了...看了两集你就会知道后边什么情况了...现在的80后哪有这个样的啊 这他妈就胡扯            
(5星)	 国产中之极品            
(NA)	 米莱 我爱你             
(4星)	 教人做生意教人谈恋爱教人做人。可免不了这一切只发生在虚拟乌托邦。            
(1星)	 什么时候已经沦落到这种地步，自我欺骗成为主流。讨厌随意的定义，什么80后的生活写照，谁也代表不了80后，请不要糟蹋成长起来的年轻一代。只看了两三集，就实在无法忍受了，什么样的智商写成这样？好演员没遇到好剧本，极其厌恶经不起事总是哭的向南，怎么不去撞墙卧轨？            
(4星)	 夢想是艱難的。            
(5星)	 喜欢潇洒的陆涛 喜欢独立的夏林             
(1星)	 垃圾。。一个60后带着偏见和脏心眼儿写的。。            
(4星)	 確實是場好看的意淫。            
(1星)	 无聊。生硬。扯淡。            
(3星)	 奋斗了大半月~奋完也好几天了            
(3星)	 美女很养眼,性格很分明,只是不像生活,只像小说.            
(NA)	 石康怎么这么不靠谱了。一群大忽悠。            
(NA)	 就想看 米莱. 和            
(NA)	 不错不错            
(NA)	 残酷的命运 灿烂的青春            
(4星)	 很爱佟大为            
(4星)	 谁不看谁落伍            
(3星)	 没看出励志成分，关键是要有个好爸爸            
(3星)	 剧情不错，就是人都太老了            
(NA)	 妈的 给我一个富爸爸，给我一个富家女，别理我，我抽风呢            
(3星)	 同学在放，一块看的。几个女主角的戏好看。            
(5星)	 没什么说的，就是爱看~            
(3星)	 不喜欢夏琳和陆涛两个人爱情故事的开始。一开始不喜欢夏琳，后面比较喜欢。一开始喜欢杨晓芸，后面不喜欢。奇怪哦完了，我又看不下去了            
(3星)	 假 假 假            
(3星)	 也去看看另外一种青春吧。            
(3星)	 哎            
(4星)	 好看            
(4星)	 奋斗。            
(NA)	 最记得的是米莱说：作为你个过气女友我也只配喝过期可乐！我以后说话也得这样哈哈。            
(1星)	 过家家呢吧这是。长那样还干穿衬衫立着领子。            
(5星)	 让你乐个够            
(3星)	 一开始被台词唬住了 后来才发现拍得太脱离实际——假 不具备普适性 而且还浪费了“奋斗”二字的内在含义 完全是流于表面之作。            
(5星)	 看完之后感触很深            
(3星)	 华子是亮点            
(1星)	 忍耐着看了三集，实在看不下去了            
(3星)	 第一遍,第二遍看的时候都很喜欢,绝对五星.再后来台词的魅力渐渐褪去,剧情开始让我反感.越来越觉得是50后的编剧+60后的导演+一群70后的演员集体来黑80后的电视剧..里面真正像样的是陆涛的两个爸爸,那才叫奋斗呢.            
(5星)	 我们是被时代湮没的一群人。            
(2星)	 陪伴我度过easter holiday的电视剧而已。里面的人没个正常。            
(4星)	 里面还是有好些东西值得思考            
(NA)	 好歹看到了15集啊,再加上看的内些个剧透,我算我看完了...感受是,女人通常不可信,蜘蛛触角的男人不可碰.还有啥.对.最关键的是来个有银子的爹就齐活了            
(4星)	 其中的经典对白有点《梦里花落知多少》的味，我果然爱听京片子。向南和杨晓芸是个经典啊，陆涛和夏琳折腾程度跟我有得一拼。米莱更应该是经典中的经典吧，经典到我词穷勒，您老人家怎么这么伟大。最后华子和春晓的搭配我实在是喷饭，太喷勒。缺点一是名字太俗气，二是剧情太啰嗦太长勒，三是我看的过程一直再感叹“怎么还没完啊”。            
(NA)	 显然，父辈的剧情更有看头。            
(2星)	 浮誇的電視劇。            
(NA)	 相信大家都看过了吧！实在是搞笑啊！            
(NA)	 有人推薦            
(2星)	 失望            
(3星)	 台词太台词            
(5星)	 很好看             
(3星)	 狗屁价值观。这不是害我为米莱哭泣嘛～爱如米莱，我被打动了。            
(1星)	 真的很无聊，对石康失望            
(1星)	 唯一的看點就是米萊和大為啊。。            
(4星)	 夸张了点            
(NA)	 北京            
(NA)	 海报真丑            
(4星)	 其实我也不是特别喜欢米莱            
(1星)	 破烂电视，看了恶心，竟然鼓励第三者，有个富爹还奋斗个P～给我们80后抹黑！            
(1星)	 虽然说看过,但是我看到第五集就看不下去了...太失望了            
(3星)	 情节不咋地，台词太绝了            
(2星)	 越来越多的人跟我说喜欢里面的米莱,让我非常的不解.这个角色一看就知道是石康的调调呀,好象无论多好的女人，一遇到男人都没招数似的,去他妈的。            
(4星)	 难得我看国产片  结果台词很搞            
(NA)	 奋斗            
(NA)	 无法评论的一部片子，感觉上是一群不靠谱的人在干着一堆不靠谱的事，可是还是能感悟些什么。            
(3星)	 人物不讨好，剧情不着调，主线不值一提，更喜欢一些细节，正负相加，得失相抵，马马虎虎过得去            
(2星)	 我还是觉得　这电视剧太矫情            
(4星)	 比起《支离破碎》和《晃晃悠悠》，石康终于写了一部比较接近我们状态的东西。。。            
(3星)	 看了部这么委琐的片子            
(NA)	 现实主义            
(NA)	 都说这是80后，但你要是80后的话却看不到其中任何80后的影子，可以说这是一部魔幻现实主义色彩的80后电视剧            
(5星)	 原来是京味吸引了我            
(3星)	 刚开始觉得北方那味特劲 不过多了觉得不够阳光 倒希望赵宝刚的言情剧色彩基调能换换 老这么冷色调大块大块的 又，看这个剧开始纯粹是为一演员文章奔来的            
(4星)	 压缩DVD            
(4星)	 看完后会想到很多，似乎有影子在浮现            
(5星)	 奋斗我们的青春，青春，无论贫富，其实都一样彷徨            
(NA)	 石康。赵宝刚。不喜欢佟大为这个人，但是演的还不错。            
(NA)	 向南呢            
(1星)	 有两个爹的人你伤不起，尤其是一个有钱一个有权。李刚算么子？浮云而已。            
(2星)	 这也叫奋斗？            
(4星)	 对一个同龄人来说，多少有些有辱现实的感觉。不过还好，还有片刻真实留存。            
(3星)	 前16集还能看。后16集无语。陆涛要不是有2个好爸爸，他就是一laji            
(NA)	 80后 必看             
(3星)	 很假，真的很假....            
(5星)	 nb的片！！！喜欢春晓！            
(2星)	 只为最后的米莱而感动            
(5星)	 超经典的剧作，周末两天连轴看愣是不烦            
(NA)	 感觉就是中国版的《富爸爸穷爸爸》            
(5星)	 http://www.douban.com/review/1274952/电视笔记            
(2星)	 劈腿万岁...            
(NA)	 这片子说励志有点扯，都市年轻剧更适合些。诙谐的语言充斥整篇，剧情的发展大体合乎常理，向南这人物像我，可一直有人说杨晓云像我女朋友            
(2星)	 太假了~~            
(3星)	 满口京腔儿还不错，就是情节有点傻            
(NA)	 这个电视剧相当经典。            
(NA)	 所有关于建筑师的我都看            
(2星)	 结尾不太好.我可喜欢向南杨晓芸啦。看到陆夏米三个人就犯恶心。当然，其实里面最贴近实际的还是华子啊露露阿这样的人            
(3星)	 很现实的电视剧，值得一看!            
(5星)	 青春和梦想            
(4星)	 陆涛够坚持，夏琳够讨厌，杨晓芸够可爱，米莱够坚强。            
(NA)	 听无数人说好看的电视剧。有待证明。            
(4星)	 看了奋斗 落下点后遗症 ——老是想踢谁的屁股  然后说一句“滚！@”  啊~友谊该是多么的满足啊！            
(NA)	 要说的很多，要想的很多，要做的很多，却要从哪一步开始。            
(4星)	 不是古装，不是纯情，看完能有所得，就是好片。            
(3星)	 青春,该为什么奋斗...            
(NA)	 我说不清楚我喜欢里面的谁，对文章演的向南我是最爱最恨的，因为他最弱最浪漫最招人怜悯和憎恶~            
(3星)	 还行，本子不错            
(NA)	 看了２遍。很好。喜欢那样的生活。            
(4星)	 听说不错            
(4星)	 喜欢佟大为的亲爸，喜欢那样的老头。台球，三对情侣，学生时代，很多，很多            
(5星)	 关乎厉志，关乎爱情，关乎友谊，关乎事业．．关乎少年狂．．             
(NA)	 导演: 赵宝刚主演: 马伊琍 / 佟大为 / 文章 / 李小璐 / 朱雨辰 / 王珞丹上映年度: 2007集数: 32语言: 普通话官方网站: http://blog.sina.com.cn/zhaobaogang制片国家/地区: 中国大陆            
(3星)	 谁能告诉我为什么我喜欢夏林            
(4星)	 恩，基本是快进了一半看了一半。可看的那一半是很喜欢的。            
(3星)	 2007-10,意义不大，给小孩看看还行            
(1星)	 励什么志啊,奋什么斗啊，除了感情，他们都过得太顺了.看到后面真让人恶心。            
(4星)	 我哭了……有一种美好叫米莱，每个女孩一生中都要做一次米莱，也只能做一次。但是我不喜欢没责任感的结局。还有，奋斗应该是有自己的梦想和目标，而不是以别人的梦想作为目标！            
(1星)	 假！            
(3星)	 都在说不是....跟着看呗~可咱第一集这话别恩师真让我有点儿那个啥.....            
(1星)	 恶            
(3星)	 为我们所有的人不得不碰见的所有的坏事儿……我自己先喝一个……            
(2星)	 十分之喜欢米莱。            
(NA)	 我要向南            
(1星)	 贫吧就            
(3星)	 给以后打打预防针...不至于事情来了之后崩溃掉            
(3星)	 很一般.            
(3星)	 太累看着~            
(4星)	 对白很是经典            
(3星)	 不现实，纯粹为了好玩儿。也可以说，一半梦想，一半现实            
(3星)	 京味儿的对白和较为真实的情感状态，后来则越发拖沓，长谈过多，画面太弱。且人物仍有不靠谱。难道说我们的国产剧水平只能如此么？？？            
(5星)	 为了青春奋斗奋斗。            
(4星)	 有些台词还不错，就是到后面有些拖沓了。            
(5星)	 向南好可爱啊。。。            
(NA)	 狗屁事儿            
(3星)	 总算看了第一集的前半部，然后就减了两星。            
(NA)	 有点贫很喜欢loft            
(4星)	 很有感触~~~            
(5星)	 刚刚看完`````````想说的太多了吧            
(4星)	 有点假!            
(4星)	 生活不是这样的...如果有个儿子像陆涛有个女儿像米莱应该是最幸福的事            
(4星)	 我特想看他们大学时的样子。8过估计没我们乱&gt;&lt;            
(3星)	 贫            
(5星)	 梦想             
(4星)	 作为偶像剧还是可以。但是丫贫嘴就叫奋斗啦？            
(NA)	 为了最重要的东西奋斗 然后找到自己            
(3星)	 很早就看完的电视剧,都说好看,很现实.我似乎没感觉到什么,他们的所谓的奋斗原来就是如此.            
(5星)	 just 奋斗！            
(5星)	 米来  北京            
(3星)	 从梦中醒来，剩下了好多残酷，让我们还来不及选择，就已经走过了青春            
(5星)	 评论看得太多,反而没有了自己的想法.我就是喜欢夏琳,然后记住了一句话说:我必须奋斗            
(NA)	 台词像相声的电视剧            
(5星)	 好剧            
(4星)	 我只喜欢米莱……            
(1星)	 这也叫经典？这也叫大学生必看？这根本不是真实大学生活！我看到的只有做作，矫情，翘别人的女友，利用两个老爸和前女友赚钱，却口口声声说他为了自己的事业而奋斗．明明开始还在傍大款的女人，却装起清高，变化的如此之快，真是让人不习惯呢．            
(NA)	 我曾经很爱石康 但以前没看过这本书            
(5星)	 听说的，不错            
(5星)	 看过一遍。。很贫。。很感动            
(NA)	 臺詞特貧！            
(1星)	 我简直都不想说我看过            
(5星)	 励志             
(3星)	 有点拖沓            
(4星)	 就 很喜歡楊曉雲哦            
(4星)	 只是当时已惘然。。111121又了了一个心结。。白白。。            
(2星)	 傻了吧唧的            
(4星)	 高中毕业的夏天            
(3星)	 最不喜欢的人物就是米莱！            
(4星)	 搁几年前 肯定就当青春偶像剧给看喽 以及向南实在是太逗了 文章把这个角色演绎得太传神了            
(2星)	 铺天盖地的王珞丹，看着就烦            
(2星)	 对号入座，陆涛太让人讨厌了。            
(3星)	 简陋了点。            
(5星)	 知道什么叫对你好吗？你不知道，也许你知道了你就长大了，也许你知道了我就不喜欢你了            
(4星)	 所有正在奋斗的人  都值得看一下            
(NA)	 米莱精神。            
(5星)	 最喜欢杨晓芸的妈            
(4星)	  那时候觉得这B运气也太好 但也太装逼了 剧情也很假      不过片子里很多地方还是能有共鸣的   有些对白还挺好笑            
(4星)	 我爱米莱            
(4星)	 只为了米莱            
(4星)	 喜欢米莱。            
(2星)	 打着现实主义的偶像剧。            
(4星)	 自己眼里的夏琳，没想到是米莱            
(4星)	 年轻，就要奋斗。            
(4星)	 我基本是在看享乐啊，小三劈腿啊，偷泡最好哥们马子啊，民政局对骂这种非常有乐的段子哈哈            
(2星)	 生活中给你一米莱这样的女孩你敢要啊，一见面就不停地提醒你这辈子都对不起她。要是陆涛和米莱性别互换一下，搞出个情杀来都不是没可能的。            
(NA)	 咱不说话- -            
(3星)	 米莱米莱！！            
(4星)	 突然明白米莱的立场            
(3星)	 最近电视上播，第一次看，看了最后几集，哭的死去活来，比上琼瑶剧了。            
(4星)	 虽然有点不真实，但那种青春、梦想、哥们间的情谊，还是感动了我            
(2星)	 2集就挂- -            
(2星)	 好2的电视剧  小王在里面太出彩了             
(4星)	 我就是喜欢杨小芸            
(5星)	 喜欢台词陆涛和夏琳我都喜欢            
(NA)	 奋斗个毛线            
(3星)	 其实就一爱情片。            
(3星)	 单单只是北京80后的故事吧            
(3星)	 恩，最近几年的大陆电视剧吸引我的都不是主线的剧情，反而是男二女二的那几段故事            
(3星)	 米莱 你让我说什么好             
(3星)	 建议改名为《天上掉下个富爸爸》。            
(4星)	 练京腔专用            
(3星)	 我同学说，在他们拍过的明星里，马伊琍最不是东西。            
(5星)	 不管多少遍我爱看这个            
(3星)	 我喜欢陆涛他后爸            
(NA)	 其实吧我特喜欢米莱            
(3星)	 行吧行吧 我忒不喜欢王珞丹了            
(NA)	 喜欢米莱            
(4星)	 励志的经典            
(1星)	 如果你相信奋斗，那说明你已经完全没有逻辑可言。            
(4星)	 这个片子很衰咖            
(5星)	 陆亚迅是亮点、            
(NA)	 大学里看的第一部电视剧。。。“奋斗”            
(3星)	 总归觉得小说好。            
(4星)	 米莱可以，长得乖。佟大为继续《无处安放的青春》的王八蛋样子。石康老油子，剧情太过偶像剧。            
(3星)	 如果不是美女，一定是1分。            
(3星)	 不就是在意淫嘛            
(1星)	 YY界的不朽名篇，蒙骗了多少少男少女啊            
(2星)	 因為有春曉。❤            
(2星)	 剧名严重与剧情不符！佟大为的演技呢？！            
(3星)	 看了几集 还行 就是觉得没看出他们怎么奋斗了 就看见他们天天谈恋爱 然后就暴富了。。。            
(3星)	 当偶像剧看好啦 我超级讨厌陆涛和夏琳 去死吧靠            
(3星)	 几年前我读大学，扫了一眼这个戏一下子记住了。好像是因为主人公穿的挺花哨，台词挺贫，那些人特折腾，乌托邦那废房子是五星级的吧。今天我又看，觉得好虚假。不过，那些年轻人，还算外表光鲜。            
(4星)	 我爱你 米莱            
(2星)	 2星給臺詞和米萊            
(4星)	 第四颗星给台词            
(4星)	 向南和杨晓芸分手那段很有点意思。            
(4星)	 米莱            
(3星)	 空壳 全都是虚的！            
(1星)	 这部剧告诉我们没有富爸爸的全都是配角，唯一奋斗的刚子屡奋屡败最后连女人都跑了傍了款爷。《奋斗个毛》比较合适。            
(4星)	 米莱。。。米莱。。。米莱            
(4星)	 陆涛的任性妄为是配不起米莱的痴情的            
(4星)	 各种扯 最讨厌米莱            
(3星)	 那个时候你说你喜欢米莱。            
(4星)	 算是看完了，所有男人都在YY有米莱去爱他            
(5星)	 看第一遍的时候看的是友情，所以打4分，看第二遍的时候看的是爱情所以打4分，之所以会这样打分并不是因为这有多么的真实，演员演得多么的好，而是因为我期待这样的友情，这样的爱情。直到前几天在电视台中看到第三遍时才看到他的奋斗，这种奋斗并不像其他人所说的穷爸爸富爸爸的故事，我看更是            
