http://movie.douban.com/subject/2301064/	五星大饭店
(3星)	 潘爱的是汤，怜惜的是金，敬重的是杨。结局是海岩没有金庸果断。            
(5星)	 哦稀饭硕，你稀饭吗            
(4星)	 结局有些生硬，似是为了让人遗憾而故作的遗憾，做作痕迹比较明显。            
(4星)	 又一部虎头蛇尾。            
(3星)	 过分矫情,为了营造氛围,走路的戏份太多,走来走去走来走去,磨磨唧唧磨磨唧唧的,不喜欢不清不楚的爱情,没有结局 不习惯这个没有结局,没有结局是为了拍season2吗?  ps至爱很可爱            
(3星)	 最后也没看懂说的是什么 不过音乐好 真实很好听            
(3星)	 看了，没看懂~            
(4星)	 牛萌萌竟然叫豆豆 气死我了            
(3星)	 半途而废的            
(4星)	 没看完，不过喜欢里面的音乐。情节还一般。            
(NA)	 。。我真的很喜欢杨悦~            
(3星)	 这是一部让人看着头晕的电视剧，镜头晃得厉害。            
(5星)	 不错 值得一看            
(2星)	 很差……            
(4星)	 我和朋友一致觉得有张峻宁就可以了            
(4星)	 3.5星            
(4星)	 張峻寧可不可以不要那么帥呢~            
(NA)	 到底什么是真实？            
(3星)	 真实            
(NA)	 喜欢曹曦文，总会惋惜情场上落败的人。            
(NA)	 不知道为什么火            
(5星)	 这是我看过的最棒的国产偶像剧！！说明不只韩国能拍，我们也能，而且很好！！            
(4星)	 喜欢韩国那女的说中文            
(4星)	 台词……了点，大陆剧里算不错的了            
(2星)	 节奏太慢了~只喜欢金小姐，男主角的气质被故事压制~            
(4星)	 女二號。            
(4星)	 据说为了在日本放映，特意加拍了结局。让潘和豆豆在一起啊。我很不爽。我喜欢那个韩国人。            
(NA)	 慢慢被吸引，哈哈&amp;杨悦            
(3星)	 喜欢里面的音乐            
(NA)	 一部很不尽人意的电视剧。。。            
(5星)	 我最喜欢的海岩剧。色彩。人物。            
(5星)	 大陆已经好久没有那么上乘的青春剧了。            
(3星)	 金钱+爱情,俗气的事            
(NA)	 很帅的张峻宁。            
(2星)	 2颗星星给音乐，其他都很差 //20081006 End.            
(5星)	 很不错的大陆电视剧，期待续集~            
(NA)	 5星大饭店.            
(3星)	 典型的虎头蛇尾            
(4星)	 不错啦            
(5星)	 看后郁闷2天~为什么没有结局~            
(NA)	 2007年上班时间看完整个片子            
(NA)	 真实  每个人到最后都不属于真实 自我的改变  是历练的 可是在我觉得 也许正是这种不真实  点醒我们 我们在挣扎的同时  也可以去获得...            
(1星)	 做作的要命!!没耐心看完~            
(3星)	 有些别扭阿 我老妈爱看这啥子。。            
(3星)	 爱情，遗产，争夺，            
(5星)	 张峻宁太漂亮了...            
(2星)	 不伦不类               
(NA)	 6            
(2星)	 这个结尾也太仓促了吧，为什么一定要选一个女人过活，自己过日子不是挺好的嘛！            
(4星)	 我老爸超喜欢金志爱，而我更喜欢杨悦，虽然结果还是个谜，但我相信平凡而无私的爱            
(NA)	 卻總給人不那么真實的感覺。            
(3星)	 喜欢豆豆            
(NA)	 华丽            
(NA)	 如果导演和编剧野心再小一点，也许会更完美            
(4星)	 唯美、梦幻、动听！            
(4星)	 什么叫真实？            
(3星)	 越看越失望,结局无语跟奋斗偏题,五星饭店也没讲得不多,爱情更是混乱,真实?讲明白了吗?总之我不理解            
(3星)	 期望太高，没看完。            
(4星)	 真实            
(NA)	 还是喜欢潘能跟豆豆在一起的结局            
(NA)	 海岩经典爱情剧作            
(3星)	 没看过一本海岩的小说            
(3星)	 真实是唯一坚持的骄傲。            
(5星)	 那难以忘记的男女主            
(4星)	 我要结局！！！            
(4星)	 记得当时挺喜欢的，刚看完一度重温，还读了小说。现在却没什么感觉了。            
(5星)	 怎么评分那么低，这是唯一喜欢的一部海岩电视剧。当初中央八套播的时候还高三，几年过去了再重温一遍还是觉得很好看。海岩的电视剧好像都离不开女人和美景，那种贯穿起来的感觉，虽然文艺了，但是很喜欢。喜欢张峻宁。            
(4星)	 他为啥子就不喜欢金志爱嘛。。。这个四星只为她~            
(2星)	 亏了海岩的本子，演技太拙劣。。            
(3星)	 海岩剧，好文艺啊，不够犀利了~            
(NA)	 噗。            
(5星)	 爱情的改变谁都说不清楚从什么时候开始的。            
(5星)	 不知道为什么很多人不待见这部剧，个人很喜欢，能感觉导演之作精良，不论是拍摄角度还是演员，都大爱            
(3星)	 原著不错的，拍得也不错啊            
(3星)	 其实我也挺烦潘玉龙！            
(5星)	 一个关于真实的故事             
(4星)	 不错哇，说矫情的 自己矫情吧！            
(4星)	 窗外忽然下起大雨。。            
(5星)	 没有结局的电视剧...            
(5星)	 评个五星给志爱            
(3星)	 男版灰姑娘+三女恋一男+无数摔门            
(NA)	 爱死            
(3星)	 金志爱好漂亮            
(3星)	 一部淡淡味道的电视剧            
(3星)	 刚上映那年时与我妈一起看的，当时的我还那么单纯，窝在生母怀里撒娇，没有一点挑剔，虽然任性就是我，我就是任性。我还记得新年的时候我喜欢将零食一个个细心摆放在盒子里，制造那种温馨感。            
(NA)	 刚进大学的时候看的~~~   配乐不错~~   感觉是我刚进大学的记忆            
(5星)	 真心希望他喜欢的人是杨悦，但是似乎这个剧一直都很模糊他和三位女主角的关系            
(3星)	 亲亲郑柔美的小嘴            
(3星)	 客厅的沙发。。。            
(4星)	 張峻寧那麼有演技，怎麼沒紅啊！            
(5星)	 里面的情节  简单的不能再简单。这也是吸引人之处            
(5星)	 大爱            
(3星)	 海岩的剧开始走下坡路了。            
(3星)	 好久之前看过的海岩剧，今天突然想起最后一集没看到，那时候的张峻宁还不像现在这样虚            
(3星)	 有些慢摇的镜头很美，有电影的质感            
(4星)	 海岩的剧本写得很好，结局耐人寻味~            
(5星)	 至少看5遍了，摄影、音乐、剧本、演员都相当喜欢            
(3星)	 上高中时候跟老爸一起看的电视剧            
(5星)	 看进去了，好看，帅气的岩男郎啊，还有牛萌萌            
(NA)	 当时蛮喜欢看的，里面那个韩国女的好漂亮。            
(4星)	 男女主角跑到玉龙雪山这一段是这部戏的最大亮点，唯美真实，但又仿佛在天上人间一样若梦若幻。            
(3星)	 前面被张峻宁帅到，后来的剧情残了。。。            
(4星)	 挺适合刚就业的毕业生做职业参考。            
(4星)	None
(4星)	 三星半。主题曲还为好，加半颗。            
(4星)	 关于真实             
(2星)	 什么烂玩意啊            
(5星)	 一个关于真实的故事，一段难忘的美好回忆            
(3星)	 酒店的老板说得话很精彩。结局很意外。            
(4星)	 很喜欢看            
(4星)	 一个关于真实的故事，后面的情节略显拖沓。            
(3星)	 怎么说 海岩的剧选角都很有特点            
(NA)	 张峻宁好帅啊我初中时候每天看这个剧…            
(5星)	 上大学时能看到这部电视剧，难            
(5星)	 喜欢杨悦            
(2星)	 主题曲不错。。。剧情很傻逼            
(5星)	 悲情            
(4星)	 大陆拍的这种偶像剧还是很不错的            
(2星)	 完全不知道结尾是神马。。。            
(2星)	 如果蛋疼            
(5星)	 柔美！            
(4星)	 男主真帅~            
(5星)	 真实。。            
(3星)	 这个结局让人很是感慨！            
(NA)	 那时候觉得志爱好飘娘~~            
(NA)	      这部小说  曾让我无数次通宵  看了一次又一次  总觉得很喜欢            
(NA)	 该忘的都且忘了。            
(5星)	 拍得很好，很有FEEL            
(3星)	 大雨挺好听的啊            
(2星)	 好沉重的感觉。。。。剧情一点儿都不好看。。。。            
(4星)	 1.我就喜欢张峻宁那小伙儿；2.小张和郑柔美在一起吧，别理牛萌萌。            
(3星)	 高中时看的，当时蛮喜欢的，昨晚一时想起下了一集看了下，就一部很普通的文艺片。            
(4星)	 喜欢里面的女主角            
(5星)	 海岩的剧就是那么触动着我。            
(4星)	 因为这个爱上张峻宁~            
(4星)	 印象特别深，当年高考前的最后一个星期已经放假自由复习了，刚好饭点的时候电视台都会播这部剧。我每晚必看，特别爱金志爱。这部剧算是伴随我高考的电视剧啦            
(3星)	 看了几集            
(2星)	 一派说教。            
(NA)	None
(5星)	 现实几多无奈，谎言充斥街角，我只想说，真实是唯一坚持的骄傲。            
(4星)	 书也挺好看的~~            
(4星)	 从言情剧的角度上说。拍得不错。只是剧情有些地方，个人觉得很牵强。            
(4星)	 人生若只如初见            
(4星)	 一个关于真实的故事            
(5星)	 感人            
(3星)	 我喜欢牛萌萌…和她在剧中穿的一条牛仔裤。            
(3星)	 很多年后 我听说张峻宁是中国版木村拓哉 牛萌萌是内地版张曼玉 shit。。。            
(NA)	 很令人难忘的一部电视剧            
(NA)	 没看下去            
(4星)	 怎么就没红呢？虽然情节一般，可也有很可以红起来的因素啊。帅哥靓女音乐.......            
(NA)	 看了好多遍            
(NA)	 因为它 我去了玉龙雪山            
(3星)	 感觉很多是废话　姓牛的得换个人　            
(4星)	 如果只有“真实”而没有“宽容”和“信任”，那就是偏执了。不敢苟同这部剧里所谓的“真实”。            
(3星)	 原来是海岩的剧，怪不得配乐如此玉观音.....和家人一起看的春节剧之二            
(4星)	 关于真实的故事，一个男人和三个女人的感情纠葛，好吧，后面真的有点拖沓了....耳朵边老回响起那个怨念的惊悚背景音乐，主题曲很好听。            
(5星)	 就这样喜欢上志爱 。            
(NA)	 其实，当我们也想得到某样东西时，我们将付出的会更多，到头来得到的却是别的。潘玉龙也是一样，他追求真实，得到的却是责任。            
(4星)	 郑柔美。            
(5星)	 很唯美的大陆剧，很像韩剧。。。            
(4星)	 涐喜欢这个，真的真的。可是为啥有人不喜欢？            
(5星)	 我哥叫我看的，挺好。            
(5星)	 绝对好看啊            
(3星)	 还是觉得没有书来得给力            
(3星)	 不知道从什么时候开始，不喜欢看连续剧！尤其是国内的一些偶像剧！剧情简单，处理技术不高！            
(4星)	 那个韩国的小MM很可爱哦，可惜以后再没看到她演的片            
(NA)	 再看一遍吧            
(4星)	 潘玉龙，你还是个现实的人么？            
(4星)	 压抑死了            
(NA)	 跟着室友的妈真看了不少剧            
(4星)	 这是什么时候看的...早已经忘了 不过 记得当时是迷死了~~！！            
(5星)	 我只要属于我的真实            
(5星)	 国产片里算好看的了，看了比较压抑，男主很帅。            
(5星)	 值得一看            
(2星)	 感觉整部戏里镜头技巧的卖弄比剧情本身更夸张，阴森森的画面基调不知是想营造一种怎样的气氛。说通俗点，这部电视剧不好看。            
(3星)	 还不错，3星足已            
(4星)	 海岩派。            
(5星)	 说实话，我挺喜欢的，还想知道最后的结局，可惜没有了。。。。            
(2星)	 如果不是男演员这么受受，我怕是看不下去，这部剧太弱了            
(4星)	 韩国美眉没得说，喜欢她            
(4星)	 我喜欢那个韩国女孩儿            
(5星)	 把中国人写的好卑鄙            
(5星)	 真实的让人心痛的电影。让我对什么是现实什么又是电影有点恍惚。            
(3星)	 我爱张峻宁            
(2星)	 不喜欢潘玉龙            
(3星)	 喜欢牛萌萌的戏份。对那韩国人无感。            
(5星)	 这是至今为止我最喜欢的电视剧……关于真实，关于真实……            
(4星)	 喜欢志爱            
(3星)	 偶像剧            
(NA)	 4            
(4星)	 我想要一个真实、透明的人。            
(4星)	 喜欢真实，喜欢雪的透彻            
(5星)	 追求真实            
(3星)	 喜欢张峻宁            
(4星)	 至爱和玉龙没有在一起。真纠结，真怨念啊。            
(5星)	 我喜欢这种工作，也喜欢这种女孩，跳舞的；尽管我觉得剧本有些过于浮夸，但毕竟是创作需要            
(NA)	 很喜欢海岩自编自导的这部电视剧，有主人公为自己理想顽强奋斗励志的精神，也有多种感情的纠葛使之难以抉择，对每一位女主角都难以割舍，剧情不错一波三折。对五星饭店的整体运作表现很到位，不愧是经营饭店的经理人。顶            
(NA)	 当年觉得真好            
(4星)	 张峻宁很帅            
(4星)	
(3星)	 俄 剧情其实也很扯的            
(4星)	 挺好的，但看不下去了。            
(NA)	 没看完，看不下去········            
(NA)	 太假了。            
(3星)	 虽然说情节一般，但是受众较广，适合大，中学生观看。            
(4星)	 金志爱、            
(5星)	 记得还是在高中的时候看过这部海岩的爱情大剧，可因学业繁忙，却只能看过一小部分。虽然没有看完，但那时候给我留下的印象就是这是一个关于真实的故事，还有志爱......没看过结局的时候，就很希望玉龙和志爱在一起，我知道我很随大众的。看过结局后，仍然希望他们在一起，因为有梦想才有真实。            
(5星)	 我只要一小片属于我的洁白            
(3星)	 一般了。            
(3星)	 这张海报好好看。没见过 。            
(NA)	 垃圾垃圾            
(4星)	 真实~~最沉重的力量~我爱真实            
(4星)	 还是看书好            
(4星)	 好吧，我就是被那句“Bulter Survice ”，萌翻的！            
(3星)	 张峻宁究竟爱哪个？～            
(3星)	 只对片头有爱            
(3星)	 真的不咋样。。这故事到底想说明啥？说是学韩剧。。但没学到人家的优点嘛~~~            
(4星)	 和老爸一起看滴~~            
(4星)	 汤豆豆信仰真实。兰花为象征，母亲的事影响，与同父异母的哥哥争遗产，放弃钱财，追求真实。平等的邻居关系金至爱渴望忠诚。雪玉为象征，父亲的事影响，与同父异母的弟弟争遗产，为钱妥协。上下他们都爱潘，因误会分开杨悦开始对潘有好感，曾说谎帮助他。同事关系潘爱牛，同情金，感激杨            
(3星)	 我喜欢牛萌萌~            
(5星)	 非常喜欢的一部电视剧，张峻宁超帅的，看完之后我一度想学饭店管理专业。            
(4星)	 有点不太真实..            
(3星)	 超级讨厌里面内男的            
(3星)	 看得挺闷的..            
(3星)	 真实...            
(5星)	 真的很好看，很感动人            
(3星)	 悬疑？爱情？            
(5星)	  有没有完全真实的东西。            
(2星)	 唯美。人是真诚真实的吗？            
(2星)	 好难看            
(5星)	 快乐与痛苦交织的画面给我留下了深刻的印象，在真实与现实中徘徊奔波的少年，是迷失?还是梦想的实现？            
(5星)	 帶著平靜的心態看...我覺得還不錯...            
(NA)	 海盐经典作品            
(2星)	 叫五星不能给五星            
(4星)	 呼唤真实  重回佛理   回归之作            
(4星)	 一晃08年十月小励志片            
(4星)	 音乐确实太恐怖了很多时候；            
(5星)	 世上绝对的真实有吗？最后的结局有点遗憾，很想看到潘和金志爱在一起。如果真的有爱的话，豆豆和志爱为了一点小事就去怪潘，那和他们在一起也蛮累的。也许潘和杨悦在一起才是真实的生活。            
(5星)	 哦呵呵 难得的国产偶像剧啊            
(5星)	 峻宁 ~峻宁 ！            
(5星)	 真实是唯一坚持的骄傲            
(2星)	 风格太暗~看不下去！本来很喜欢去酒店工作的~被弄得没了激情！            
(2星)	 男主角很帅，有王子的气质。            
(3星)	 很少看到以饭店题材的电视剧   有些新鲜              
(3星)	 最恨开放式结尾            
(NA)	 有点纠结呀 虽然没看全             
(NA)	 不知道汤豆豆咋会不相信潘玉龙对她的爱  哎~~~~~            
(NA)	 结局很诡异            
(4星)	 你一直要追求真实 最后发现真实也并不纯粹            
(3星)	 有点乱，书好些            
(5星)	 只是因为志爱……看完了也不觉得志爱没能和潘在一起是个悲剧了。这个男人不值得。            
(5星)	 喜欢海岩的小说。            
(3星)	 我不喜欢汤豆豆.            
(5星)	 很喜欢的一部电视剧            
(3星)	 喜欢杨悦            
(NA)	 没劲            
(4星)	 看的书            
(3星)	 节奏太慢了，50%不必要的镜头            
(4星)	 喜欢郑柔美。            
(3星)	 向主角学习            
(3星)	 恩。因为有我亲爱的MS丁的老公的弟弟。            
(1星)	 垃圾            
(5星)	 最喜欢的内地连续剧            
(NA)	 追求自己梦想的同时坚持自己的原则，不同流合污            
(3星)	 有时候选择很简单!            
(2星)	 烂，张峻宁的演技实在是。。。。            
(NA)	 三个女人和一个男人的故事，有很唯美的情节，很感人的语言……            
(3星)	 我就是很花痴地冲着张峻宁才看的……            
(3星)	 只看了前几集，有点漂亮有点帅，哈哈。            
(3星)	 更喜欢原著。            
(3星)	 看着看着就上瘾了看来连续剧是无聊时间太多滋生出来的            
(5星)	 这部电视剧的讲述方式很提别，好像不紧不慢，娓娓道来，却感染力十足！！！            
(5星)	 以前特别反感韩剧，五星大饭店的这种融合，让我没有一点反感的感觉，反而对金志爱和潘玉龙在一起的剧情更多了点期待            
(NA)	 汤豆豆的真实与愚蠢            
(3星)	 很乱，什么男人            
(3星)	 萌萌的踢踏舞            
(5星)	 海岩的故事永远适合我！充满了青春，快乐，忧伤！这也是我喜欢之一！ 还有他们出色的表演！都是那麽的真实！            
(2星)	 都第七集了才给金智爱一正脸，整一堆背影干嘛，故弄玄虚。这大饭店的服务看上去真的很nice啊。话说主题是弘扬“真实”，也不用这样反反复复地复诵吧。如果不是因为我喜欢金志爱小姐，这片就更没啥看头了。            
(NA)	 羽羽喜欢那个韩国女。             
(5星)	 难得一见的男生纯净            
(3星)	 速度比韩剧还慢啊……            
(3星)	 他到底爱谁            
(5星)	 关于一个＂真实＂的故事            
(5星)	 好看但是没火起来啊！            
(3星)	 真实的虚伪，虚伪的真实。            
(3星)	 不可否认张峻宁那年很青春很青涩很美好，让我不敢染指。            
(NA)	 大一第一学期在学校闷杂的网吧给予温存.            
(NA)	 skip to my lou!            
(NA)	 蛮喜欢的.            
(4星)	 难得的喜欢            
(NA)	 节奏有点慢，但是剧中青春靓丽的演员，还是有点看头。            
(4星)	  镜头的拍摄方式我很喜欢!            
(NA)	 用三天看完了！快吧            
(NA)	 追求真实很难            
(NA)	 要是能给我重新选择上大学的话,我也会读饭店管理的,哈哈哈哈            
(4星)	 其实这也是少有的几部我看完的电视剧 张峻宁真的很帅的 不过结局没有交待清楚 现在还在期待中 还有完美的杨悦 可爱的韩国mm            
(NA)	 悲。            
(3星)	 雪山不错 也算满足了我对五星的好奇 其余的，很不海岩            
(4星)	 真实？？？            
(NA)	 越来越喜欢海岩了！            
(5星)	 没有几个大学生能比潘玉龙做得好            
(3星)	 海岩的，还好            
(NA)	 男主角很帅            
(3星)	 真实 究竟还剩多少？            
(4星)	 主人公比较好。            
(3星)	 有续集吗？当时在寝室看，觉得还行            
(3星)	 我从来都是一个看了开始就一定要结局的人，但是这个我看不下去~~~~喜欢杨悦，不过不要她那么傻~~里面的衣服很漂亮            
(NA)	 五星大饭店            
(5星)	 上乘的摄影 上乘的情感 上乘的结局 这部电视总的来说真是上乘的艺术            
(5星)	 张峻宁             
(1星)	 相当不喜欢            
(3星)	 很一般            
(NA)	 电视没有书好看            
(3星)	 当初播的时候，觉得还不错            
(4星)	 比较有新意，拍摄、取景不错，但有时镜头切换太过。一段记忆，一段回忆。            
(NA)	 过于华丽的场景；只喜欢那高原的苍凉...            
(3星)	 太过冗长了，不过可以了解一些酒店的事            
(NA)	 不咋地            
(NA)	 看后让人觉得 理想和现实是不同的 现实中有太多想不到 相爱的人最终也不一定会在一起            
(NA)	 2007年       又名: 五星饭店            
(NA)	 寂寞的人之间的混乱            
(5星)	 把我们几个大男人全征服了 好看 期待续集            
(NA)	 一口气看完，不错            
(NA)	 郑柔美真可爱啊!!            
(NA)	 只有结局是真实的            
(3星)	 我不喜欢这么面的男人千万别爱上不爱你的人            
(5星)	 在细水长流般的平淡铺陈中突现焦点！！！            
(3星)	 我正在看这部电视剧，还有四集就结束了，这部剧的确像有的网友说的，故事情节进展太慢了。            
(3星)	 节奏缓慢，故事性不是太强．男主角不是我喜欢的类型．唯一可看的是，普及了普通人对顶级酒店管理的了解．            
(5星)	 真实的忧伤            
(5星)	 很好            
(3星)	 鄙视汤豆豆，她以为自己是不食人间烟火的小龙女吗，装什么清纯            
(5星)	 真实的感动与领悟～～            
(3星)	 搞得像黑帮片            
(4星)	 内地剧里算好看的了            
(4星)	 真的不错            
