http://movie.douban.com/subject/4861422/	怪侠一枝梅
(5星)	 为了霍建华和刘诗诗打满分。这是看霍建华演的戏最好的一部，从李靖到离歌笑，是一个大突破呀。为什么觉得里面的人都演技好好，尤其是萧正楠，简直让我惊讶。诗诗太可爱~            
(5星)	 没看够就完了。。。            
(4星)	 给力~~~            
(3星)	 无感            
(4星)	 近年能够全部看完的古装电视剧            
(5星)	 抛开理性的角度不谈, 这片就是值5星!! 哈哈哈            
(4星)	 真不错，超过期望            
(4星)	 还挺好看的            
(5星)	 当建筑是真不错丫，都有时间看偶像剧了。哈哈哈。继续赶作业。            
(4星)	 目前国产剧中难得的好剧，完全跟着编剧的思路，猜不到下一步会发生什么，而且俊男靓女、轻喜剧、基情等各种讨喜元素兼备。。。相当不错啦~~            
(4星)	 硬伤很多，适合娱乐。一颗星是给霍锅锅的，眼神太销魂了~            
(3星)	 中国版Leverage            
(3星)	 剧情中规中矩 演员是亮点 霍建华好帅【和步步里的四爷是一个人配音哎】 马天宇好娘【好的那种】 女主好傲娇啊~~  中间叉的漫画真可爱 ^ ^              
(5星)	 这部剧怎么这么腐啊 首先是应无求跟严嵩 一个愿打一个愿挨 SM级啊 然后是郑东流跟离歌笑 妻儿可以不要命也可以不要了啊 贺小梅更是小受一枚 最后连柴胡都被感动了             
(5星)	 片中老蹦出来的动画片段是肿么回事！            
(5星)	 完全戳中萌点……            
(4星)	 我家诗诗啊~~&gt;&lt;            
(4星)	 令人意外的是 其实挺好看的            
(5星)	 人设太有爱了！！！！            
(4星)	 30集啊！！老纸好久没看这么多集的电视剧了啊！！我嚼的还挺好看的呢！！用萧公子的话说~为什么给4星！！因为公子喜欢~~~hiahiahia            
(4星)	 看完了，有点小寂寞啊！三娘和歌哥的感情戏不够哇━┳━　━┳━             
(4星)	 霍建华真是帅惨了~~            
(5星)	 哎呦 看得我这个爽            
(4星)	 难得的国产好剧公子喜欢~            
(3星)	 看到第十集弃，公子喜~欢！            
(4星)	 梅梅，你还记得歌哥么？唐人出品，至少不残。            
(NA)	 假的想一直看下去！！！呵呵！！！台词很前卫！！！            
(5星)	 很好看啊啊，最喜欢霍建华了            
(5星)	 白豆腐。。哇。。            
(5星)	 内地难得好看的片子！而且创新精神十足，值得鼓励！霍君很帅，诗诗也很帅气也！特别适合这样的角色！看了半天才发现！原来小梅是马天宇啊！我的神！我说咋看着那么眼熟呢！突破了啊亲！好看！强烈推荐！马桶台可以去死了！还是唐人靠谱！期待步步！            
(3星)	 虽然选角也不错，造型也不错，中途切的漫画也很有feel，但是为什么。。就是没有看下去的欲望呢╮(￣▽￣&#34;)╭ 。唐人拍的片子总是会把人带入这种怪圈么            
(4星)	 比棒子国的好看多了！！！            
(NA)	 我操 这片子 哪儿来的那么多五星            
(4星)	 每次听贺小梅喊歌哥，我总是情不自禁的想到哥哥`````            
(4星)	 情节计策设计的挺巧妙的，就是回忆太多了烦人。最喜欢的一个故事就是“公~子~喜~欢~”！            
(4星)	 呃~            
(4星)	 无聊的时候看不错，卖萌卖腐全齐了，梅梅和来硬哥萌死了。            
(5星)	 霍建华太尼玛帅了！！！            
(4星)	 挺好的，没看完。            
(4星)	 其实还不错，国产电视剧版神奇四侠            
(5星)	 嫌后面长的可以只看第一个故事，前4集。很精彩。不过我最喜欢的还是云公子和萧本那段，哈哈，霍建华耍流氓怎么也那么帅！~            
(4星)	 大爱刘诗诗~            
(4星)	 嗯。。難得還有部看得下去的古裝武俠劇。。雖是拖著看但也還不錯            
(4星)	 有爱,借古讽今.虽也拖沓、荒唐.            
(4星)	 喜欢里面的漫画~~小梅太清秀了我同学爱死了~~~            
(5星)	 最后的结局真坑爹啊！！不过简言之感情线我可以发现，应爱严嵩，严嵩爱离歌笑，应得不到严，就虐离。离爱他老婆。贺和柴胡爱离歌笑，发现离歌笑不爱他们，遂日久生情。至于三娘，是个炮灰么~！！来掩盖这剧真的很腐这个事实~！！！            
(5星)	 霍建华还是蛮有搞笑天赋的            
(1星)	 垃圾中的战斗鸡。。。编剧，导演脑残            
(5星)	 很喜欢的电视剧，演员个个都顺眼。            
(4星)	 霍建华好帅，三娘不够漂亮。。。            
(5星)	 小梅是亮点            
(5星)	 期待第二部！！！！！！！！！！！！！！！！！！！            
(NA)	 都说了少看电视剧TT 可是忍不住呀，比三剑好多了~            
(4星)	 为什么在家看着挺蠢的，回来后PPS上从头看这么好看？哇哇哇！马天宇啊你这个伪娘            
(5星)	 很有电影范儿，霍建华太帅了！            
(5星)	 顶。等天地梅花开。~            
(4星)	 那样多好，从来不会成为谁的负担。            
(4星)	 国产也就唐人可以看了。。终于可以不看杨幂了，耶！！！刘诗诗不错~~~            
(3星)	 前几集赈灾银那个案子还不错，后面就开始渐渐不行了，不过唐人嘛，也不能指望它拍出多有水准的玩意儿，闲得无聊时娱乐一下看看罢了            
(4星)	 过年那阵一起床吃完饭就对着电视看一下午            
(5星)	 马天宇挺可爱的            
(4星)	 里面佟丽娅很漂亮，不只是外貌，而且还是那种胸怀            
(3星)	 打发时间看还挺好的，突然发现霍大叔演戏还真是越来越好了            
(5星)	 最爱贺小梅            
(5星)	 服装很好，剧情很好，人很好，很不错！萧正楠演的很好            
(4星)	 反贪腐的古装剧哦~            
(4星)	 今年看完的第一部电视剧            
(4星)	 很有新意~            
(4星)	 呵呵，好友的力荐之下终于把他看完了，出色的理由多的数不过来了！最重要的是支持创新！            
(5星)	 bug漫天飘，吐槽点满载什么的都已经失去诠释力了，不知沪审实在是尺度太大还是故作小白，B级什么的SM什么的果真就一点都看不出来么？            
(4星)	 冲着我们家wallace去的            
(3星)	 前面还不错，后面从回忆如忆那段开始就很难看了，而且越来越扯。刘诗诗很美！            
(4星)	 天涯四美之一啊            
(4星)	 都还行            
(3星)	 情节trop紧凑也不是好事呀            
(4星)	 还不错啦。            
(4星)	 3.5星。            
(3星)	 挺好玩            
(4星)	 啧啧啧口味太重了……兄弟父子师徒各种下克上……            
(5星)	 很好看啊！！梅梅好萌            
(NA)	 伴我度过了最艰难的日子！            
(NA)	 很欢乐            
(NA)	 过渡部分的漫画有前途            
(5星)	 马天宇啊马天宇，不得不说　你可谓真是本色出演啊。            
(3星)	 这么高分一定是因为广大豆友看到了和谐社会的曙光            
(5星)	 哎呀呀 梅梅你真是娘的太可爱了！！！            
(NA)	 我萌上霍建华了。。。            
(4星)	 喜欢刘诗诗童鞋~~很欢乐，有新意，喜欢里面的漫画            
(4星)	 谁让他帅呢            
(5星)	 比较给力的武侠了~            
(4星)	 剧情不怎么样，人设倒是不错，四个主角的形象都很丰富饱满，在烂片大行其道的时候，有这样一部剧看也还可以啦~            
(5星)	 哎哟。。。我的霍霍太帅气了。。怎样都帅~和诗诗姑凉好配的            
(3星)	 这么多年了，我还是觉得霍建华挺入眼的...            
(4星)	 比于妈的戏好看多了。。。但是。。。目前看到的离歌笑比张豹的那段吊在天上打和令狐冲与田伯光的坐着打有什么不一样。。。4星是给萧正楠的，哥你终于瘦回去了，还是帅哥一枚~~            
(4星)	 唐人这次很给力            
(4星)	 前面5星，后面3星            
(5星)	 马天宇萌到爆！！            
(4星)	 古装剧里面不错的了            
(NA)	 梅梅好萌~~            
(5星)	 四人帮都好萌好萌，闷骚受离锅，帅气别扭三娘和闺蜜梅梅，还有誓死捍卫一枝梅的柴胡，离锅CP忒多，BG三娘如忆，BL有师徒，最爱自然鹦鹉球，忍人家一辈子人家当然要缠着你不放了，死了也要抱着一起死。            
(5星)	 打戏很精彩            
(4星)	 武侠是国产电视剧一个独特的题材，拍得好的话一定不亚于美剧日剧。此戏的剪辑、配乐和演员都很不错，编剧再给力一点就好了。马天宇和萧正楠演的不错。            
(3星)	 这片子分怎么这么高。。。。。。。            
(NA)	 这个寒假我到底是看了多少电视剧！！！~            
(4星)	 挺好的 挺逗的 打情骂俏挺有爱的 就是歌哥梅梅什么的有点雷到了~            
(4星)	 完全是为了霍建华的颜啊            
(4星)	 这种新武侠形式比穿越神马的好太多~            
(4星)	 有亮点呀            
(5星)	 除了剧情有些许硬伤、抄袭，总体上真的很好很强大，不管是颜、技、情都很细致很到位很给力~最喜欢[虫之患]一章，霍哥哥和小本本很萌很可爱~哎，其实萌的腐的傲娇的数不尽。。。            
(3星)	 刘诗诗是精致            
(4星)	 配乐很好应无求演技很好来硬哥这种角色都是天生的悲剧胚子            
(NA)	 还不错看            
(5星)	 公子喜欢！！！！！！！！！！！            
(2星)	 很腐很有爱又怎样！！！伪娘又怎样！！！傲娇女又怎样！！！杀狗官又怎样！！！不好看就是不好看！！！！！现在的小孩都肿马了！！！！明明是又雷又囧啊！！！！！            
(2星)	 为毛第一集忽然漫画的让我想到了罪恶之城。  小白脸霍建华  还有喜欢的佟丽娅!!————————————武打剧。。弃，不是我的菜。尽管有喜欢的霍霍= =            
(5星)	 至少是这几年看到最正常的了.... 男女主角要爱就爱 搞的那么吊胃口            
(4星)	 我说老离啊，你早该从了三娘            
(4星)	 各种腐啊....            
(4星)	 算是近年来大陆不错的古装武侠片了   值得一看            
(5星)	 不只是霍建华。            
(NA)	 连我爹都猜得到下一步的故事，嘿嘿，放松脑子不错，原来豆瓣分都给在腐上了@@            
(3星)	 这个算不算抄袭韩国李准基版的呢？这个和张纪中大胡子的武侠剧不一样，耳目一新，推荐看一看            
(4星)	 leverage的国产山寨腐剧。内声哥哥是亮点。            
(5星)	 我关心梅梅到底跟谁一起？！！！            
(4星)	 超出预期。霍建华一如既往的帅。马天宇本色出演了一位娘娘腔。            
(4星)	 做好人需要一生去努力，而做坏人只需要一个念头。。。杀人只需要一眨眼的功夫，爱人却需要一生一世。。。一碗酒，一个朋友。多豪情。。剧情能够猜得到。。。在老夫子死的时候外面明明有大打过一场怎么会瞬间尸体都没了只剩下大牛了呢。。。            
(3星)	 白豆腐！！！！！            
(5星)	 公子喜～～～欢～～～！            
(4星)	 喜欢霍建华啊！            
(3星)	 我心中有个大侠，白衣飘飘~            
(NA)	 介个和李俊基那个有什么关系么~            
(4星)	 佟丽娅什么的，韩国别什么的。            
(4星)	 很棒的武侠剧！            
(3星)	 我还是老老实实去追电视剧吧。            
(3星)	 马天宇人才            
(4星)	 在家过年看得另一部电视剧。很有点感觉的游侠剧，行走江湖伸张正义，这种系列剧比传统武侠连续剧更有点小清新哦。            
(3星)	 怎么这么多台波啊。。反复的调台都会把他看完。。            
(4星)	 这一枝梅的四个人个个戳中我萌点。            
(2星)	 这个剧情才真狗血            
(4星)	 马天宇原来可以演戏~~~            
(4星)	 霍建华，刘诗诗，马天宇都好萌~            
(3星)	 基情满满~应无求乃这只被歌哥抛弃了的邪恶受，就知道报复！报复乃就能再回到歌哥怀抱吗？？？            
(5星)	 第一次给大陆电视剧评5星，片子给力啊！！在深圳卫视高清频道断断续续看完，中间漏掉好多，但PPS上实在不清晰，所以没补全。据说电影版就从前几集剪出来的，可见画质相当好！一枝梅4人个性鲜明，各有特色，看的几个故事都不错，武侠、反贪腐、阴谋、爱情、友情等等都全了，好看！大爱离哥和小梅！            
(4星)	 還蠻好看的...霍建華還是風韻猶存哇...這詞用的似乎不對呀...            
(5星)	 为了“离燕”给5颗&gt;&lt;            
(4星)	 虽然剧情傻逼 bug多多 但是我就是喜欢啊！&gt; &lt; 而且从武侠电视剧的角度来说，形式不错噢！……不过每个人的故事讲完了续集怎么拍呢！            
(5星)	 离歌笑其实最爱的是应无求吧。            
(5星)	 霍叔叔摔死了，小梅姐销魂死了，啊欧。            
(4星)	 圈内又一大腥风血雨            
(5星)	 结局华哥那一跪 眼泪哗哗的 诗诗好看 梅梅美 大块头快娶了他！            
(3星)	 霍建华就是一个帅。            
(5星)	 熬通宵加一整天，终于看完了。这个实在是有爱啊~反贪反腐剧啊！！！有没有？！！！有没有？！！！霍建华是犀利哥造型的文艺青年，还会弹古代版吉他。刘诗诗是古装RPG网游造型的侠女，打架老牛逼了。我从第一集开始就盼着他俩在一起了。后来真的在一起了~            
(4星)	 我觉得还蛮特别的诶~看完对刘诗诗和马天宇印象大改观~            
(5星)	 就这样看完了，真舍不得啊。。。内地难得出好看的剧。。。            
(5星)	 作为山寨leverage还是不错滴 就是霍童鞋的演技还要加强 当年的美貌真是残了不少啊            
(3星)	 因为霍建华才看得啊！！！！            
(4星)	 虽然BUG不少，但是人物倒很养眼的说~贺小梅挺可爱~            
(3星)	 唐人做的片子太会拖时间了，时不时穿越回忆一下，就是两集=。=完全犯花痴让我坚持看完的，霍霍还是蛮帅的。            
(4星)	 这到底是电影还是电视剧==            
(4星)	 啊啊啊比我想象得好看许多！！！马天宇大亮点呀怎能如此妩媚竟然还有点像林青霞~~霍建华好帅~~刘诗诗我喜欢我喜欢~~大奸角萧正楠也够味儿~~总体感觉很特别的戏。            
(5星)	 11.1  好看，四个人的组合，算是部认真且华丽的电视剧。            
(3星)	 贺小梅是亮点! 此剧腐点(离萧一吻正销魂), 笑点颇多, 就是感情戏有点弱...编剧小邪恶啊!            
(2星)	 漫画穿插的很好 剧情拖沓 裹精 糊弄 不可原谅            
(4星)	 最主要霍霍在啊~~            
(NA)	 也许因为从小喜欢武侠，而这部整体线路还算是完整吧，符合我喜欢的传统武侠的模式，也没有太雷人。竟然熬夜看完了。好像N久没有这样看过一部电视剧。            
(5星)	 分镜头处理极佳，剪辑风格凌厉明快，富有视觉冲击力，毫无拖沓繁冗之感，我以为，不强调历史厚重感的古装武侠片的“影像语言”该当如此。            
(4星)	 漫画加的不错~主角都太招人喜欢了~回忆的部分处理的有点硬……难得啊，国产片拍成这样，太惊喜了！赞！            
(4星)	 MD美剧全线封锁！！如今只能开始看什么国产古装片了！！！苦逼阿苦逼！！！！            
(5星)	 情节挺吸引人的            
(4星)	 陪我麻麻一起看&gt; &lt;  乱入漫画的感觉其实很好～ 星星都是给那只不容易的伪娘的。。。你辛苦了！            
(5星)	 = =这剧绝对不俗。= =够腐够好笑够正义。我现在就爱看欢乐的电视剧。            
(4星)	 大家被美剧喂饱了，大陆能出这样的剧我真的已经内牛满面了。另外在微博上看到一个作家说写剧本写烂了水平的事情，我真的是相信的，编剧们加油啊。。。。            
(5星)	 虽然不怎么喜欢唐人，但是在荧屏被张纪中等傻逼闹腾了很多年的时候，很久没看到这么好看的武侠剧了。            
(4星)	 腐剧，咳，好有爱            
(NA)	 哦，华华，叫我如何不爱你！            
(4星)	 还不错~哈哈            
(1星)	 电影居然是从电视剧中剪出来的，要不要这么勇猛啊            
(4星)	 在某天无聊的时候看的特High，到后面就没力气了。回忆那段就直接跳过了。            
(3星)	 话说，不喜欢现在大陆古装剧这种语言和场景风格。。。            
(4星)	 做人 应该为离别而高歌欢笑  那时候我不懂 后来我发现 为离别而哭 内疚 痛心  是因为在一起的时候 为了没有做好而哭 原来是为了自己的不懂珍惜而痛心 拥有的时候懂得珍惜  离别的时候才不会有遗憾            
(4星)	 妹子萌~            
(4星)	 离歌笑有帅到，至少在讲小梅那部分貌似恐怖的剧情时，看到离叔，我觉得现世安稳了~            
(5星)	 各种萌！            
(5星)	 前半部分很给力，唐人选的演员都太和我心意了            
