http://movie.douban.com/subject/1459021/	霹雳游侠 Knight Rider
(4星)	 面对面很多次才想起来小时候看过，而且很喜欢            
(4星)	 的确很经典，如今有了霹雳游侠2008了            
(4星)	 智能化,人性化的跑车! 黑色很酷            
(3星)	 这个剧一般阿，很老套的说~            
(3星)	 小时候爱疯了啊...            
(NA)	 貌似男主角现在在美国达人当评委了。。。。            
(5星)	 终于找到这部片子了！！！！            
(3星)	 [昔日所看]            
(NA)	 很怀恋的电视剧            
(4星)	 有爱的电视剧啊……            
(5星)	 那辆车以前很想要            
(4星)	 怀旧依然啊 `````            
(5星)	 ！！！！！！            
(NA)	 那个车，我现在都想要。            
(4星)	 哎。。            
(3星)	 很典型的大下巴美国俊男，开着一辆非常拉风的高科技车，做着英雄该做的事情。            
(5星)	 小时候看的  中央一台            
(NA)	 这个家伙是不是还演过海岸救生队那个？            
(5星)	 毋庸置疑的！小时候看的谁HIGH的美剧！            
(5星)	 小时候着迷的美剧！            
(3星)	 小时候的追求阿            
(NA)	 很久前看的。印象颇深。            
(4星)	 高中时的迷恋            
(NA)	 那时候对此是神往啊            
(4星)	 小时候有线电视放的，嘿嘿            
(4星)	 看的第一部美剧,很小的时候看的,剧情也忘光了，却还记得那辆超级cool车            
(NA)	 酷车            
(NA)	 哇，竟然碰上这个片子，小时候就超级爱看～我也想要基特！！！！            
(5星)	 这种车咋到现在也没出啊            
(5星)	 童年经典！            
(5星)	 memory            
(4星)	 依稀还有印象            
(5星)	 操  这个都有。。。            
(5星)	 神作            
(NA)	 每周日我都要看的那时候            
(5星)	None
(5星)	 这是我的童年英雄之一··            
(5星)	 how could i forget kitt。    基特，30秒后到我这里来。            
(4星)	 那辆车真是无所不能啊。。            
(NA)	 小时候绝对看过@@            
(NA)	 哎呀，就是那部会说话的小车车——基特！！            
(4星)	 飞狼比霹雳游侠帅。。。            
(5星)	 这辆车曾经是我的梦想~~~            
(4星)	 大概是我追的第一部美剧。嗯。            
(5星)	 童年记忆啊QAQ 当时觉得超级好看！！！            
(4星)	 想当年啊             
(5星)	 童年回忆 mike night            
(4星)	 正大剧场，神车            
(3星)	 小学            
(5星)	 一直幻想着有能有这么一辆车             
(5星)	 小学二年级和三年级看的！！！            
(4星)	 小时候觉得红光一闪一闪小轿车好牛逼呢！！！！！            
(4星)	 就记得车了            
(4星)	 儿时美好的回忆            
(5星)	 小时候很喜欢看的，那辆全自动的小车……            
(4星)	 麦克，O(∩_∩)O~            
(5星)	 拖鼻涕的时候完全被男主和他的车迷住了......还为他每一集就爱上一个姑娘而伤心万分,长大才明白其实男人都这样,噗            
(5星)	 哗哗哗~谜一样的智能车            
(NA)	 是不是会说话的汽车？            
(4星)	 对车的兴趣可以说也是因为它吧，心里的梦想似曾像是，无尽的力量，无比的强大。            
(5星)	 超爱！            
(4星)	 小时候看的电影和电视剧嗯            
(5星)	 想起一边吃鸡蛋饼一边看它的日子~            
(4星)	 会说话、很爱跟你抬杠的酷车            
(4星)	 我也想有辆会说话的车            
(5星)	 不可超越的经典！            
(4星)	 车子很帅，而且每一集都有一个美女投入怀抱，这个让人难以释怀            
(NA)	 小时候好喜欢啊            
(4星)	 这时候就上初中了            
(4星)	 小时候追着看追着看追着看            
(4星)	 童年记忆            
(NA)	 欧！那部牛车！！！就是它！！！            
(4星)	 看TBBTS4E02才想起来嗷嗷，这剧我很小的时候就和老爸一起追了~~想当年爱死那车了cool!!!!!当时心目中的帅男绝对一霹雳游侠一007啊= =            
(NA)	 哦。。David Hasselhoff            
(5星)	 当初中央台每周日播出，应该是第一季。            
(5星)	 永久的回忆            
(5星)	 终于找到了！！特喜欢这车            
(5星)	 回忆呀            
(5星)	 我爱你 会说话的车            
(5星)	 小时候不知道有多喜欢呢~            
(5星)	 又是儿时经典~~~~            
(4星)	 又一部小时候的经典            
(4星)	 小时候看的，真牛逼啊            
(3星)	 哇塞，这是什么年代的。。。            
(4星)	 每次看着这车都流口水。            
(5星)	 幼儿园的美好回忆            
(5星)	 儿时记忆深刻的一部电视剧~            
(5星)	 小时候喜欢看            
(5星)	 那辆车太帅了            
(4星)	 哎呀呀，这车真不错，82年人家就拍出来了，落后果然50+啊            
(5星)	 那车至今还在我脑中拉风！            
(NA)	 原来这么老了。。。            
(5星)	 怀念啊~ 我和我哥那段&#34;飞车&#34;的日子            
(5星)	 记忆里最早的美剧……            
(5星)	 看过~小时候超喜欢！！！！            
(4星)	 我小时候可是超喜欢看这部电视剧的呀 囧 记得是有线台播的~~那时觉得车子会说话好神奇 囧 加之男主又很帅~~后来长大一点才发觉男主演反派才是王道 =&#34;= 接触这部电视剧后才看了GPX的 =W=&#34; 日本人的创意都是取之有道的哪 |||            
(3星)	 飞车族            
(5星)	 童年的经典            
(5星)	 曾经坐在地上边看KR，边跟小朋友吃方便面……哈哈哈            
(NA)	 小时候天天看，还记得那辆车开起来的酷音乐哈哈            
(4星)	 车子太帅了。。。小学时很喜欢看            
(4星)	 哈哈，童年记忆            
(4星)	 童年记忆~~~            
(5星)	 太喜欢奈特工业2000了~~~~~~~超可爱啊！！！！！！！            
(5星)	 我的天，我人生的第一部美剧。我貌似记得那男主角叫Michael，车会说话超帅！！            
(5星)	 和成长的烦恼一样是最初的美剧的启蒙教育啊，好像现在有新版本了            
(NA)	 天哪……我都快忘了它了………………            
(4星)	 这个男主，长得好像海滩救援队的男主            
(4星)	 那个片头的音乐啊            
(4星)	 很早就看美剧了。            
(4星)	 啊啊啊啊啊！会说话的车！我喜欢那辆白的……            
(5星)	 偶像！            
(NA)	  Charles Bail/Gil Bettman            
(5星)	 智能车太拉风了！……            
(5星)	 爸爸很喜欢哦。            
(3星)	 童年            
(4星)	 男猪脚应该是那部车            
(5星)	 KIT ^^            
(3星)	 这是小时候的记忆了。            
(5星)	 童年的经典啊，美式科幻的经典作之一啊！！            
(4星)	 当时的神剧啊            
(3星)	 比起剧情，更多的是回忆            
(3星)	 我还记得那辆车            
(4星)	 当时太想要那辆车了            
(5星)	 小时候大爱啊~            
(5星)	 那时候觉得这部汽车真是超级无敌可爱，喜欢的不得了！            
(NA)	 哎。。小学时候看过的经典啊~            
(4星)	 儿时记忆            
(4星)	 小时候做过很多这辆车的模型！            
(5星)	 这可是儿时的记忆啊。。。。            
(5星)	 童年精神支柱之一            
(5星)	 记得车很帅~            
(3星)	 记忆...            
(4星)	 当时爱的死去活来，每集必录，和老爸看的上窜下跳。迷到用录像机录了好几盘磁带：D 梦想有一辆这么高科技的只能车，YY无数夜。            
(NA)	 我童年的回忆！！！翻然醒悟原来我这么小就追美剧了。。。            
(4星)	 那车。。。            
(NA)	 时隔多年居然拍第二季。。。            
(3星)	 记忆中那部车很帅            
(4星)	 上海有线电视播放的，怀念当时啊！！很多好片都是它播放的            
(5星)	 小时候天天在家看            
(NA)	 儿时的回忆  huhu               
(5星)	 童年的记忆永远是美好的            
(4星)	 怎一个帅字了得~！            
(NA)	 最惊叹的科幻片~~~            
(3星)	 小时候显然有强迫症，不好看还天天看            
(5星)	 太酷了，我爱吉特，我爱麦克，我爱波妮            
(5星)	 做梦也想有部车            
(5星)	 哈哈            
(4星)	 儿时记忆。            
(5星)	 儿时的快乐            
(5星)	 我小时候超爱他的车子            
(4星)	 小时候在中央一套看的？            
(5星)	 小时候的梦想            
(5星)	 哈哈哈，童年回忆啊            
(5星)	 小时候崇拜死了            
(NA)	 好古老啊。。。            
(NA)	 好车~            
(5星)	 内辆车在小时候简直是太想要了！            
(4星)	 小时候很喜欢看大～～            
(2星)	 娱乐片，乱七八糟            
(5星)	 小时候很深刻的记忆~            
(5星)	 很 酷的车            
(NA)	 夥計            
(4星)	 原来叫这名儿~            
(5星)	 超帅的基特～            
(5星)	 非常喜欢男主跟他的车,还有他的头儿~            
(5星)	 回到小时候～美剧启蒙            
(4星)	 但是还是没有老版的好看…………            
(5星)	 Shelby GT500KR,庞蒂克特伦萨火鸟……到底是哪一輛啊            
(4星)	 又找回了一样东西~~            
(5星)	 HEY，把那辆车给我吧。。。液态氢做燃料的哎~有够拉风的内~~            
(4星)	 小时侯很入迷的片子！哈哈            
(4星)	 无法抵挡            
(3星)	 当年觉得我靠这车真拉风            
(4星)	 会说话的智能车 小时候印象很深              
(4星)	 儿时的记忆~~            
(4星)	 这个完全是伴长大的电视 很喜欢看 有个会说话的智能车 真是酷毙了 呵呵~~            
(NA)	 小时侯很爱看            
(3星)	 车~            
(NA)	 麦克～哈哈            
(5星)	 哈喜欢那辆车！            
(4星)	 童年时代仰慕的大帅哥            
(5星)	  霹雳游侠             
(5星)	 哈哈!            
(5星)	 好喜欢老版的KITT！            
(5星)	 那辆车帅啊            
(5星)	 初中的时候有线电视有播出，那时候就很喜欢了，一直没有全部看完，现在补上            
(5星)	 童年。。。。            
(5星)	 好羡慕呀。            
(5星)	 小时候小时候！！！            
(4星)	 我的妈呀，又老又经典~~~            
(4星)	 哈哈            
(3星)	 好久好久了            
(4星)	 当年的老霹雳游侠还是耐看啊            
(5星)	 小时候真的很喜欢呐            
(4星)	 内容忘了，就记得那部会说话的车。            
(5星)	 当时好喜欢            
(5星)	  陪伴過去的幻想.  救生員            
(NA)	 小时候最想有一辆这种神奇的汽车            
(3星)	 超强的车            
(4星)	 那时候天天晚上守看，做梦都梦到过好几次，片头曲真的很过瘾！            
(NA)	 小时候对车最早的记忆几是从这个里面来的.            
(5星)	 我们在没有遇见的时候看同一部片子            
(3星)	 那车我也想有            
(NA)	 帅车,酷车            
(3星)	 &#34;走四方,路迢迢,水长长,迷迷茫茫,一村又一庄!&#34;            
(3星)	 内车太酷了            
(5星)	 小时候很爱看的东西            
(4星)	 最早的回忆~~~            
(NA)	 这应该是我喜欢的第一部美剧了。            
(5星)	 虽然他就是和著名脱衣舞娘演Beach和给美国达人当评委的那主，但是小时候我还挺喜欢他...那车的            
(4星)	 男人的梦幻车。            
(3星)	 那辆车太帅了~~~            
(5星)	 经典之作。小时候的记忆。            
(NA)	 童年的时候喜欢            
(5星)	 男人都想要一部会说话的车            
(5星)	 童年记忆            
(4星)	 不睡午觉也要看            
(NA)	 车比人好            
(4星)	 飞狼结束后放的，感觉雷同            
(NA)	 好车..            
(5星)	 儿时的记忆            
(NA)	 真TM老的片子啊~~            
(5星)	 小时候觉得超酷呀~星星眼            
(3星)	 小时候看的，觉得他的车很牛，音乐很有特点，很容易让人记住            
(4星)	 很久以前，一家人坐在电视前看那辆车。            
(5星)	 小时候最想拥有的交通工具……            
(5星)	 还能有比着更帅的·········车吗？            
(4星)	 一个美国精典，我也想要一辆那样的车……            
(4星)	 这可能是我最早看的美剧，现在国内不知道为什么不引进美剧了，想八十年代，九十年代初期那是繁华时啊，还记得那辆车            
(3星)	 我也看过，会说话的跑车            
(3星)	 小时候看过的            
(5星)	 喜欢那辆车！             
(NA)	 小时候的电视            
(4星)	 1982-86            
(NA)	 好人就是一种熟悉的感觉            
(NA)	 2008新版电视电影            
(4星)	 当年觉得麦克好帅            
(4星)	 靠..会说话的车..太经典了..            
(NA)	 突然想起来好象看过，就是个有会自己动的车嘛            
(4星)	 小时候很迷，一直占着电视机不肯让            
(5星)	 曾经有两年每个周日的守候啊！            
(4星)	 小时候很想要一辆~            
(4星)	 小时候没看过那么多高科技，觉得这个壮汉装备真多，那时候也没咋接触西方那些花哨玩意，觉得这哥们比中国大侠酷多了            
(5星)	 这可是小时候的最爱呀！好好回忆下去！            
(4星)	 小时候看过，忘了，准备再看看。            
(5星)	 小学每天守着看。            
(4星)	 对于一个没有想象力的国度来说，霹雳游侠和飞狼真是碉堡了。            
(4星)	 特想要这辆车~            
(5星)	 童年美好的回忆，看到那辆帅帅的智能汽车就激动。            
(5星)	 童年的回忆，感觉我小时候看过的东西比现在的孩子们看得有营养多了，至少树立起的是正义感和热心肠，而不是麻木围观和瞎胡闹            
(5星)	 我相信小男孩们都想要一部这样的车            
(5星)	 吉特太帅了，当年很多踏板摩托也装上了那种扫描灯            
(1星)	 EEEEEEEEEEEEX的最爱 shi一样            
(5星)	 那车实在是酷！            
(4星)	 小时候的大爱            
(5星)	 小时候最大的愿望就是有一辆那牛逼的车啊啊啊啊啊            
(4星)	 大概是我小学时候看的一部片子，那时候集集看，里面的车忒牛逼了！            
(5星)	 哎呀，还记不记得这个会说话的车车，当时多想要一台啊。            
(3星)	 童年回忆...            
(5星)	 儿时记忆深刻，那辆神奇的车            
(5星)	 车子的个性让人印象深刻！！！            
(NA)	 原来这才是我看过的最早的美剧            
(NA)	 太喜欢这辆车了！ 有时间重温一下！！            
(4星)	 小时候超爱看~~~那辆车简直是太帅了~~~            
(5星)	 回不去的时光，回不去的记忆            
(5星)	 童年记忆            
(4星)	 车美人靓~            
(NA)	 很小很小的时候···            
(5星)	 yeah baby            
(4星)	 这是儿时的那部神车吗？            
(4星)	 主角是辆有幽默感的车            
(5星)	 小时候的记忆模模糊糊  唯一留下得就是——酷！            
(5星)	 当年我超爱的！！看这部剧的时候还是用的老家的黑白电视机！！            
(4星)	 都没什么印象了，就记得男猪脚很帅            
(5星)	 儿时的经典，但是永远回不去了。            
(4星)	 有一辆这样的车是多少人儿时的梦想啊。            
(5星)	 1995 1996 那辆车超级NB的有木有！！！！！男主角不畏女色诱惑有木有！！！            
(5星)	 哈，那会说话的调皮小汽车，你去哪里了？            
(5星)	 陪伴80后长大的一部美剧，很精彩！            
(5星)	 概念车儿~~~            
(4星)	 没什么印象了，但是这车我印象却很深刻啊            
(2星)	 车帅，剧情不咋地            
(5星)	 小时候曾那么幻想自己能有一辆会说话的车带着自己周游世界行侠仗义。            
(5星)	 TAT 好怀念！！记得当时还没有线 一放学回家 就开始调天线 等这个片子！那时候真好！            
(4星)	 小时候的最爱啊            
(4星)	 我意淫过自己也有那么一辆车            
(5星)	 siri能帮我们实现吗？            
(3星)	 就那车直接秒杀007几百遍            
(NA)	 差不多跟恐龙特技克塞号那样的悠久历史啦！不过呢，男主角至今还是很有魅力的哦！            
(5星)	 当当当当~~当当当当~~当当当当当当~~~            
(5星)	 小时候的最爱，神奇的车子，帅气的男主人公~！            
(4星)	 那辆车在今天来说都是屌的！            
(5星)	 当年太牛逼了            
(4星)	 小时候的回忆啊            
(4星)	 童年記憶啊～            
(5星)	 儿时的经典            
(4星)	 美版的阿苏拉达。            
(3星)	 我就记得车前面那个来回转的红灯，小时候觉得深不可测。这部剧确实是经典呀，童年呀！            
(4星)	 经典的说~            
(5星)	 童年记忆啊！！            
(3星)	 曾经反复重播过的剧集，车的造型还是不错的，不知道是否有人真的把同款式的跑车改装车那样。            
(5星)	 男主现在在美国达人当评委。。。。            
(5星)	 我小时候的梦想啊，做梦都想有一辆基特车子，结果大了一点后竟然对前面有滚动条指示灯的踏板摩托深有好感            
(4星)	 狗狗们特别喜欢这个车！            
(5星)	 小时候最喜欢看的片子！            
(4星)	 无比帅的汽车            
(5星)	 哦，我小时候赤裸裸的美好回忆            
(4星)	 我觉得这就是小时候看过的那部电视剧，里边有一部超棒的会说话的车！没想到小时候在电视上还能看美剧，现在的电视除了广告就是广告你妹！            
(5星)	 车很酷。小时候很喜欢            
(4星)	 小时候就想着：长大我也要个这样的车，然后住在里面不出来了！            
(NA)	 怀旧            
(4星)	 当年的梦想            
(NA)	 我的童年            
(5星)	 82年真是出好东西啊！            
(5星)	 经典啊。            
(5星)	 小时候很很很喜欢看的片子！和粑粑一起看得津津有味~            
(5星)	 会说话的智能车！哈哈            
(5星)	 还是小时候看的呢，当时觉得那车简直太帅了！            
(4星)	 多少年了啊……            
(4星)	 当时那个迷啊            
(3星)	 当时觉得挺好看            
(4星)	 又是一部小时候的回忆，不过这部还蛮古老的，当时觉得那部车超酷，只要对着说几句话就能做到要求的，即使三十年过去了，这个想法到现在也还没有完全实现呢。我们那个年代的小时候真得挺幸福的，放了那么多经典的电影和电视剧，在我们现在的心中仍是一个美好的回忆。            
(5星)	 好懷念啊！！！            
(5星)	 都是回忆！            
(5星)	 那车。。。。            
(5星)	 小时候            
(4星)	 小时候，那部车是我的梦想            
(3星)	 只记得车了和主旋律了...看看今天的Hasselholf，唉，岁月呀...            
(NA)	 暴露年龄啊            
(5星)	 超Q的机器车            
(5星)	 绝对精彩的科幻片儿啊!            
(5星)	 memory            
(NA)	 Michael Knight            
(4星)	 怀恋啊怀恋，哈哈            
(3星)	 小时候超喜欢来着。            
(4星)	 一直都觉得这个车好帅            
(4星)	 童年啊！            
(4星)	 那车太酷太拉风太贤惠了~~~【喂。。            
(5星)	 从此有了汽车梦            
(4星)	 那时候感觉那车太牛x了            
(5星)	 当年的经典mike～            
(5星)	 童年时的经典，超爱！            
(5星)	 小时候可喜欢了那会觉得kitt太酷了好想有一辆kitt            
(4星)	 只记得车了            
(3星)	 童年回忆            
(5星)	 小时候的最爱哪~            
(4星)	 结果下载的是08版……            
(5星)	 看过的第一部美剧，幻想着拥有一部这样的汽车            
(3星)	 小时候超爱的~~~            
(NA)	 基塔，不错的车！            
(4星)	 小时候看过这部电视剧，崇拜Mike的正义和强悍，向往拥有像Kitt这样的车。现在看它能帮我回忆起小时候很多带着童真的快乐。            
(5星)	 小时候看的，经典中的经典。那部飞狼记忆深刻            
(4星)	 好像看过！            
(5星)	 童年美好的回忆            
(NA)	 小的时候看过，觉得那辆车真神奇            
(5星)	 我小时候的经典，模糊的记忆            
(3星)	 记忆里的帅哥和大美女~            
(5星)	 小时候最喜欢的 ！1  基特            
(3星)	 美剧启蒙。看后买了一大堆车模。            
(5星)	 小时候的记忆 男主角特棒 加上一辆人工智能的车子 极品啊            
(4星)	 会说话 会自己开动的车  多好            
(5星)	 我的童年啊！~~~~            
(5星)	 儿时的印象还很深刻呢。            
(4星)	 老婆，超级喜欢这部美剧，那时候还小，就特喜欢这车子，中央2套演的，呼呼，老婆，很帅的说，嗯，老婆，等你回来啊，你陪我看吧，就看几集就好，抱抱！我就想带你走一遍我最爱的事和地方，老婆，我爱你！            
(5星)	 年花了一个月时间将其下载完，又看了遍，那地址去年下了下居然还能下下来！美好的童年回忆啊！            
(4星)	 好看，小时候好想有这样一部车。            
(4星)	 原来想当年在电视上看的就是这部剧啊！爱死那部车了！！！            
(5星)	 这部车真牛啊，其实是美女真多啊            
(5星)	 在我幼小的心灵买下科技的种子~~            
(5星)	 看的时候想要kit的愿望堪比看机器猫的时候想要小叮当~            
(4星)	 哥小时候也是看过美剧的。原声真好听            
(5星)	 童年的梦想！            
(4星)	 我看的第一部美剧            
(5星)	 最喜欢的电视剧 没有之一            
(4星)	 启蒙的美剧之一。那辆令人惊叹的跑车，让当时的我们领略了何为科技。还有麦克的风流不羁，甚至那时幼小的我看了《成长的烦恼》和这部后，以为老外长得帅的都是mike，凡是叫麦克的都是这样风流不羁的···囧~~~            
(5星)	 媽逼啊！！！！！！！！！！！！！！童年最愛啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！後來發現大家都是這樣！！！！！！！！！！！！！！！！！！！！好溫馨啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 哇~~這個經典！！N年沒看過了。。。            
(5星)	 央视引进，超喜欢的            
(3星)	 童年的回忆～            
(4星)	 小时候看过的，当时一直想有这么一部车。。            
(5星)	 谁小时候没梦想过有这么一部有情有义高性能多用途的牛比车呢            
(NA)	 小时候看了，算是接触比较早的美剧，没想到在豆瓣上找到了，内流满面啊~以前觉得那部车老nb了            
(NA)	 还能找到 超感动啊            
(NA)	 儿时的回忆啊 呵呵 现在都长大啦             
(4星)	 没错！！！就是那个会说话的车子！！！            
(4星)	 周日上午中央一台播放 就记得这个            
(4星)	 基特            
(3星)	 且不管好看不好看，话说没看过这部剧的人因为基本属于没有童年吧。。。            
(5星)	 回忆            
(4星)	 就是这部剧和《F1赛车》让我相信车都会思考和讲话的。。。            
(5星)	 小时候总希望大了能拥有那样一部车。现在有车了，又发现烧不起油，停不起车了...            
(NA)	 老喜欢了            
(4星)	 初中那会一度着迷            
(NA)	 记忆深刻。            
(NA)	 哦唷，星期天早上中央台放的，片头是个车子在长长的旷野道路上开呀开呀～            
(5星)	 当年特别喜欢            
(4星)	 直接童年回忆            
(5星)	 前面闪着红光的霹雳游侠            
(4星)	 尖端科技的结晶            
(5星)	 KITT才是主角！！！            
(4星)	 车会说话            
(5星)	 小时候的记忆~            
(4星)	 好老的经典啊            
(4星)	 爱吐槽爱讲冷笑话的超级智能车，童年至爱。            
(4星)	 小时候很喜欢的说            
(5星)	 小时候的最爱            
(5星)	 人不就是活回忆吗…            
(4星)	 原来我这么早就在接受美剧的熏陶了。超酷的会说话的车！            
(5星)	 童年回忆啊            
(5星)	 儿时经典            
(5星)	 麦克和车车酷毙了~~            
(4星)	 帅哥和帅车            
(4星)	 是一部那个时候觉得很D的片子……我只能这么形容，有一个镜头到现在还记得，车上一个按钮一按。。。车牌就换了……            
(5星)	 太感动了。终于晓得这部片子叫啥子名字了。小时候的最爱啊。。。            
(5星)	 小时候央视播过，超爱那辆车！            
(5星)	 经典啊            
(5星)	 小时候很喜欢            
(4星)	 小时候每天下午坐在家的理由。            
(4星)	 怀念，小时候感觉那车真是太先进了            
(5星)	 至今记得开场前的那段令人振奋的旁白~            
(5星)	 牛B啊，人生第一部美剧，童年终极梦想。            
(5星)	 我艹我当年多想也有这么一辆车啊            
(4星)	 人车爱，有印象的是主角先失忆记不起车子，我年幼的时候就在想，看着吧马上车子也会失忆了！第二天车就掉XX里需要重装失忆了。            
(NA)	 想起小时候            
(5星)	 nice car            
(4星)	 很小的时候看的，现在还记得            
(5星)	 这车很厉害~记得有天发烧在家的时候看的车也晕乎乎的            
(4星)	 印象最深的是那辆高智能的车子。            
(3星)	 so old, but at that time it&#39;s ok            
(5星)	 小时候好想要那辆车            
(3星)	 就记得车很彪            
(5星)	 多想拥有一辆这个车            
(NA)	 看了两集，实在是没有兴趣追下去了，电影还不错            
(4星)	    当年迷死我了，那车呀            
(4星)	 那车好像叫吉特，超棒的            
(NA)	 也是儿童时代天天伴随左右的记忆 当时被男主迷得七荤八素 一度脚得他是世界上最帅的男人..原来我从小就是HC的料            
(4星)	 哈哈～我才记得小时候自己是特崇拜这个来着的～            
(5星)	 啥时候引进的中国啊            
(5星)	 小时候觉得主角真是帅呆了，到处惩恶扬善，还能顺便泡妞，美少女美少妇风韵犹存的小妈妈主角泡了个遍……            
(5星)	 小时候很爱很爱            
(NA)	 哇塞这个也有            
(5星)	 我勒个去，到现在才知道这片子叫什么。            
(5星)	 童年回忆！            
(4星)	 车子会说话的，就是这个吧            
(NA)	 啓蒙之一            
(5星)	 在台灣造成轟動的名作            
(4星)	 只记得一个镜头了，真假霹雳游侠对撞那个            
(5星)	 外婆的最爱            
(5星)	 oh  no ！！！！！            
(NA)	 哇。儿时美好回忆啊。            
(5星)	 不然我就不学DOUBLE E了!            
(4星)	 感谢CCTV            
(5星)	 My dream car!            
(4星)	 我想要那辆车            
(5星)	 童年就这个和飞狼印象深刻哈哈            
(NA)	 汽车会说话！            
(4星)	 有一集，小车掉到沼泽里了。。。。心里好难受。。。            
(4星)	 小时候多爱看啊，就觉得那车好神奇。            
