http://movie.douban.com/subject/1294791/	机器战警 RoboCop
(2星)	 不知道为什么, 看这个电影有一种反胃的感觉            
(4星)	 美好的童年回忆。。。            
(5星)	 小时候特别希望自己变成机械战警！            
(4星)	 令人热血沸腾的铁血柔情            
(4星)	 机器人中能给人留下深刻印象中的一个！            
(3星)	 其实这片子挺傻的，但是我童年的一部分            
(5星)	 童年最深刻的记忆            
(4星)	 为了那个年代给四分，也算是此类片子的开山之作！            
(4星)	 重温经典            
(3星)	 啊，這片我看過耶，遊戲也玩過，賞個臉吧！            
(NA)	 2012.01.07            
(5星)	 “你有权保持沉默。。。”和小时候看一样的感觉。。。中国到现在也没有能与之叫板的技术和片子。。。            
(5星)	 小学看的电影 当时绝对是大片            
(5星)	 我喜欢这个家伙            
(5星)	 小时候不知道看过多少遍……但每一次都看的热血澎湃，今年好莱坞各路超级英雄都重回银幕，墨菲不见了踪影……在这部电影里对“搭档”这个词印象特深……            
(4星)	 不如终结者好看，但也算是当时两大机器人片了            
(4星)	 不仅仅是娱乐            
(3星)	 小时候看动画片记得挺欢乐啊！没想到电影这么重口味！又是断手又是泼硫酸的！            
(4星)	 小时候觉得特别牛逼!            
(5星)	 堪比终结者的80年代神片            
(5星)	 童年的美好回忆。            
(4星)	 很不错，推荐大家看看            
(4星)	 儿时不灭的回忆之一            
(5星)	 有什么好说的，80后的最爱！            
(3星)	 太血腥了，处处冷战思维            
(3星)	 小时候很喜欢的，觉得他很有形，甚至在商店拿起一个一样的玩具就跑。现在再看就觉得一般了。物是人非            
(4星)	 很小的时候看的恩            
(4星)	 早就忘了看得是哪部            
(4星)	 经典 机器战警            
(NA)	 墨菲被杀死了2次，一次是犯罪分子，一次是警察。            
(3星)	 小时候坚定不移滴认为机器警察就是施瓦辛格演的            
(5星)	 不，让我来。            
(4星)	 完全忘记了            
(5星)	 儿时的记忆            
(4星)	 经典啊！            
(3星)	 每当重温儿时的经典时，却总找不到当初的感觉。            
(5星)	 必看            
(NA)	 初中时看过的电影~            
(4星)	 这是一部由拥有物理和数学双博士头衔的导演保罗·范霍文所指导的经典科幻片。本片是一部在电影视觉与叙事艺术上都相当成功的好莱坞影片。片中的都市摩天大楼场景、机器人的电脑动画与音效、机器战警的造型与穿插在影片中关于高科技的新闻报道与广告，将后现代的未来刻画的淋漓尽致。推荐。四星半。            
(4星)	 印象里同类题材看过最早的一部，对还是孩子的俺产生了不小的暗示……            
(4星)	 1987年经典电影，“你有权保持沉默，但你所说的将成为呈堂证供”，呵呵，还是第一部最有味道，最后还一个笑容，就是一小部分片段太恶心，干嘛非拍成R级。。。不过分级是有好处，总有些片段你接受不了的你不看就是了            
(4星)	 那肆虐的破坏欲。            
(3星)	 回味..            
(5星)	 内涵。            
(5星)	 小时候做梦都梦见自己变成机械战警            
(5星)	 哥接触到美国英雄的鼻祖。            
(5星)	 最爱看的片子之一。            
(5星)	 导评音轨            
(5星)	 啥也别说了，前两天电视台播又看了一遍，童年的美好回忆啊            
(5星)	 一枪穿过姑娘裙子打爆强奸犯的xdd太震撼了！            
(4星)	 好老的片子，那时候我还是朦胧不懂的孩童。但的确对电影中机器人机械的行动方式印象深刻。            
(NA)	 小时候看的，记忆中的英雄            
(3星)	 还以为是女猪脚是杰克吉伦哈尔的姐姐呢，长得真的很像。            
(3星)	 凑合看吧            
(4星)	 很久很久前看的了，当时感觉……唉说不出的震惊啊！！！！！！！            
(4星)	 如果没有终结者 他会是老大            
(5星)	 我最喜欢的经典科幻片，机械战警是一个让人印象深刻的英雄。            
(4星)	 小时候印象深刻的记忆            
(4星)	 小时候印象深刻的记忆            
(4星)	 小时候的经典。。。            
(5星)	 作为这个系列开创性的第一部作品，拍得还是不错的，剧情发展也很合理。全片无硬伤。值得推荐。后面的续作就沦为特技演示了。花絮：早年国内某电视台的翻译水平不高，把高潮部分一句关键台词“You are fired（你被解雇了）”译成了“快开枪啊”。            
(4星)	 挺好看的            
(5星)	 经典！            
(3星)	 看得我心惊肉跳的，汤不牢            
(4星)	 看了无数遍            
(5星)	 当年初看  是何等的惊叹            
(4星)	 记忆深处的一部电影啊，各别场景还历历在目            
(4星)	 第一次看（初中时）到这样的特效，兴奋得快要失禁了            
(4星)	 英雄主义式的以暴制暴。            
(5星)	 那是我儿时的英雄、偶像            
(4星)	 小时候真的觉得很精彩。            
(3星)	 不多说，童年的回忆            
(4星)	 当时觉得挺好的，而且觉得有秒年害怕            
(4星)	 小时候看对墨菲被杀的场景有点阴影            
(4星)	 对于身体和心灵异化的欢迎与恐惧            
(5星)	 激动人心啊..            
(4星)	 主题曲一响起就热血沸腾，童年的最爱！            
(4星)	 儿时印象的经典            
(NA)	 小学时的电影，当时特喜欢他的那把枪            
(5星)	 五星给童年的回忆，这个太经典了！            
(4星)	 童年的最爱，红白机还有个游戏，墨菲被攻击了就会发出放屁的声音。            
(5星)	 温馨            
(3星)	None
(4星)	 挺有深度的            
(5星)	 儿时的回忆            
(3星)	 小时候觉得好恐怖啊，尤其是机器警察把坏机器人的脑子和脊髓拉出来得那一幕简直是儿时的梦魇啊            
(NA)	 如今看图片来温故 也依旧觉得很帅啊            
(5星)	 破旧的工厂，从火焰中重生的莫非～            
(5星)	 小时候最喜欢的！            
(4星)	 保罗范霍文果然有料......            
(3星)	 小时候收到最喜欢的生日礼物里面就有它            
(3星)	 演员记不清了            
(4星)	 灰常经典！            
(NA)	 haixing            
(5星)	 简单粗暴直接            
(4星)	 节奏好            
(4星)	 打发无聊的夜晚,没想到钢铁侠什么的都是从这里山寨来的…            
(5星)	 里面那个大恶人的印象实在太深了，绝对可以排入影史十大恶人，相比之下，我们的墨菲警官的境遇让人觉得揪心，正是生不如死啊            
(4星)	 童年回忆啊！！            
(4星)	 经典系列            
(3星)	 看了片子觉得玩具做得太粗糙了。            
(5星)	 小时候记忆深刻的电影            
(4星)	 太经典了。            
(2星)	 弱            
(5星)	 童年回忆            
(5星)	 机器战警V5            
(3星)	 兒時回憶            
(3星)	 再过N年会重拍的...            
(4星)	 收尾收的不错 哈哈            
(4星)	 还记得是小学时在堂哥家消防大院的露天荧屏上看的            
(5星)	 童年回忆~            
(4星)	 拉风得无与伦比啊，儿时好多记忆都又鲜活起来了啊！            
(4星)	 折腾死人。。。            
(3星)	 一般般吧            
(5星)	 最后一幕太傻了。。。这片子对底特律的现状神预言了            
(4星)	 经典电影不用多说，当年我居然还是在电影院看的。             
(5星)	 这部电影里同样潜伏着一种与《银翼杀手》同样的关于科技与人的矛盾凄凉气氛，我喜欢这个气氛。            
(2星)	 很经典的美国英雄模式剧情，生活美满—遭遇邪恶—身体受创—获得力量—复仇，相信观众在经过了近几年来更加成熟和多元化的商业片洗礼之后在观之可能剩下的只是一丝童年的回味和怀旧。看的时候还会止不住的想为什么Hero的子弹是无限的啊，还有大反派的枪一点后坐力都没有...评分低纯属个人喜好。            
(NA)	 机器的感情有时比人都要好上几倍。            
(NA)	 小时候电视上有看过，真人版和动画版都有，以前在小霸王上还玩过呢  重新看，虽然剧情就这样，但还是很怀念的    06062011晚重新看完            
(4星)	 很老的一部科幻片咯！对我影响挺大！            
(3星)	 今天无意偶遇这部片子，非常深的印象，童年对与科幻片机器人的理解就是那样子的，虽然现在看不怎么样了~            
(3星)	 毕竟是老电影，有些地方感觉假。但经典性是不容质疑的。对“一美元买美女”这句台词印象很深            
(3星)	 一个叫墨菲的机器人 最早接触的美国个人英雄主义机器人类型 没小时候觉得那么神气了            
(3星)	 超级英雄的别称就是：打不死的小强            
(3星)	 很早前看的，那身行头还是记得            
(4星)	 标准的商业大片体系……最难忘的是科研人员竟然卸了他一条胳膊            
(5星)	 永远的墨菲,转手枪那一段依然历历在目。            
(NA)	 记得他 哈哈            
(5星)	 HBO播放。。。。            
(5星)	 当初LD影院（镭射电影）坐在第一排看的第一部电影，完全被震撼了，记忆中不可磨灭。            
(5星)	 小时候看的 真的觉得很感人            
(3星)	 小学的时候看的            
(4星)	 小时看的还可以，要是以现在的眼光来看，烂片一部！            
(5星)	 经典人物            
(5星)	 当年很激动啊            
(4星)	 墨菲被杀那段真是印象深刻啊 那得多少枪啊 - -            
(4星)	 2011-05-14 20年前的回忆            
(5星)	 第一部这种片子。。。好怀念呀。            
(4星)	 造型记得.            
(5星)	 这才是钢铁侠。。。            
(NA)	  机器战警 RoboCop   一个符号            
(4星)	 時過境遷，關於劇情我已忘記許久，但是我仍然記得這部與馬蓋先並齊的經典大作!!            
(4星)	 剧情很简单，但主角让人很high！            
(4星)	 影片开始的剧情糟糕的一塌糊涂，没想到越来越精彩，让人欲罢不能！            
(4星)	 比较粗糙，不过很完整，并且让人有对以前的回忆。            
(3星)	 古时候的电影            
(5星)	 我最喜欢的电影，小时候看过20几遍            
(5星)	 邪恶的世界需要一个正义的英雄来摧毁.            
(5星)	 痴迷到很久很久，特别想看他之前是怎么残废的。。            
(4星)	 --1--TV            
(5星)	 很少见的技术宣传技术的优点的片子            
(5星)	 跟我一样的年份，今天我又回顾了一下，还是那么有亮点            
(4星)	 保罗范霍文的标签就是别出心裁的恶搞电视新闻和广告，在机器警察和星河战队里都特别明显。            
(3星)	 看 保罗·范霍文 的片，总感觉怪怪的。。            
(4星)	 玩过电玩……            
(4星)	 他是我少年时的梦，我的人格塑造与机器战警有关！            
(NA)	 小时候特喜欢看            
(5星)	 这个应该是我接触的第一部科幻片了~            
(4星)	 阿西巴，太小的时候看过吧，当时觉得太cool了            
(3星)	 3.9            
(5星)	 以现在的眼光来看都不过时。。。            
(3星)	 还蛮好看的            
(4星)	 当年觉得他实在很猛            
(NA)	 小时候的回忆            
(3星)	 小时候觉得好看。。。            
(4星)	 录像带年代的经典，儿时关于机器人的唯一记忆。            
(NA)	 被萌到了。            
(2星)	 傻啊~~            
(2星)	 依稀记得看过。            
(5星)	 我特别， 特别喜欢这个            
(4星)	 墨菲的眼部摄像头自动记录下安妮临死前的画面，年幼的我坐在电视机前，蓦然间就泪珠成串了~            
(4星)	 小时候印象最深的电影。。。。之一            
(4星)	 又一个给我留下童年阴影的片儿            
(5星)	 经典            
(5星)	 很难忘啊  当年看的时候真小            
(5星)	 科幻影响力的助推器            
(3星)	 童年呀            
(4星)	 小学看的。            
(4星)	 so fucking cool man.            
(4星)	 很帅嘛~            
(5星)	 并不是说有多好，而它是我看过的第一部科幻……CCTV1的国际剧场            
(4星)	 很久没看了            
(5星)	 记得当年死乞白赖的要看，中央一套播的。            
(4星)	 小时候一直想看头盔后的脸            
(4星)	 墨菲~~~那把枪很吊啊~~~            
(5星)	 经典的回忆！            
(4星)	 这是美国人20多年前想的东西，看看我们……            
(4星)	 小时候记忆深刻的一部影片            
(4星)	 小时候看过很多遍，这个创意那是来说。。很新颖。            
(4星)	 小时候看的非常经典的片子，也许当时也没有什么碟，就存了这几张            
(4星)	 经典的漫画改电影。            
(3星)	 额···看完了有种后现代的感觉            
(4星)	 小怀念啊            
(4星)	 最早看的科幻世界的小说（似乎），后来终于看过一次录像带，那个时代科幻片不多，个个印象都很深。还有同名 游戏，基本都不好玩。这部电影不同于其他同时代电影之处，就是影片残酷的背景，记得里面许多警察牺牲了，给我印象很深，也让我当时感觉这个 影片很深刻。            
(5星)	 不管情节如何，不管续集如何，那威风凛凛的造型，我就坚决上5星。记得小时候和奶奶一起看，奶奶看的说得都要扛不住了。我是觉得机械战警简直酷毙了。不过那个硫酸人的镜头似乎还是太过了，当时幼小的心灵实在有点吃不消。            
(4星)	 记得第一次看是电视台播放的            
(NA)	 那时候的编剧            
(5星)	 我小时候好爱好好爱这个片子不停看反复看，在当年，人改造机器人什么的太特别了好不好太帅了好不好，机器人！            
(5星)	 我就是喜欢这个钢铁侠            
(5星)	 儿时的经典呀~            
(5星)	 温暖的灰色底特律            
(5星)	 印象中和老爸看的第一部美国片儿            
