http://movie.douban.com/subject/2978224/	流星花园 流星花園
(3星)	哈哈，都鄙视吧。我就是以庸俗为荣，我恨不得让全世界知道我的庸俗！不过我记得那时候为了一点不落的看，每天放学都要背着书包跑回家。
(NA)	太搞笑了，哈哈哈
(5星)	这是我看过的唯一一部台湾偶像剧。。之后还买了漫画来看 虽然漫画比这个牛逼多了但是童年回忆什么的简直没法超越了。。当年我最喜欢的居然是美作我还会唱那个什么你不爱我你爱谁呢- - 事实证明我还是挺有远见的现在就数他最帅啊哈哈
(4星)	难以忘记初次见你，一双迷人的眼睛~
(5星)	绝对经典。
(NA)	看这个记住了钟汉良然后整天挖苦室友神马的～
(5星)	台湾版的最经典
(NA)	2天恶补= =
(4星)	070813第二次，沅陵新依网吧，佳
(3星)	记得初中那时还买了一整套的CD，通宵哭着看完。。╮(╯▽╰)╭
(4星)	过。
(5星)	！！！！花泽类
(5星)	你知道你为什么值五星嘛，因为芒果台。
(5星)	因为各种原因看过三遍，怎能不打五星！而且我真的哭的很厉害耶~当时觉得言承旭是世界上最帅的！
(5星)	真迷过
(NA)	某人，水瓶座，一边吐糟之一边看了无数次，某人你何苦这样……（纯回忆，某人不是我）
(5星)	初中啊初中!
(5星)	美好得回忆
(3星)	好怀念的小学三年级片！
(3星)	我居然看过这个！
(3星)	快10年了。。。
(2星)	初中看就不喜欢，不知道为神马
(NA)	我初中的时候很爱看喔
(4星)	9年前我在看它
(4星)	想当年我也是周太。。。汗
(NA)	oh～道明寺
(4星)	我在重温呢
(NA)	我KAO，那时我还是个小盆有。。。
(NA)	史上最可怕
(1星)	傻逼信徒的产物。
(NA)	偶像剧！北鼻！~~
(5星)	应该算是看完的第一部偶像剧，感觉非常好~以后一直喜欢霸气的男人~
(4星)	花澤類 ... 一輩子的夢想 ...
(NA)	2002.3.8/2003.1.28/2009.9.15-12.17
(4星)	09年重温。黑大帅恶趣味回暖。
(NA)	....
(NA)	只有这里有。
(4星)	比芒果的好太多太多了10年前看的
(NA)	错过了时间
(NA)	补遗    
(5星)	我能背情节哦~
(4星)	难得看偶像剧，比内地雷阵雨好多了。
(5星)	当时一天看十集
(NA)	那时候看到第十集的时候我简直哭的
(5星)	道明寺，你这个大猪头。。
(4星)	嗯哼，回过头来看，这还是做得最精致的.......可是，我还是买不到最漂亮的鞋~
(NA)	童年完整了……   恩，我必须P.S一下——道明寺是个得儿神！！哈哈哈哈……
(3星)	想当年……
(4星)	我后知后觉 大热的时候坚决bs
(5星)	惊艳！
(5星)	比韩版的好多了~（个人意见）看了好多遍还是喜欢··
(5星)	怎么说都是经典。小学时候因为看它,第二天升旗迟到
(5星)	我只能说，经典到一定境界就无法忘记了
(4星)	当年真是万人空巷啊
(5星)	我曾经的青涩年华~~~
(3星)	不得不承认它的影响力
(4星)	作爲偶像劇，還是不錯的。
(5星)	花泽类：范开她，我跟里说了范开她！
(3星)	忘了。。。分乱打
(3星)	高中毕业补习的，其实还是没看完。。。也算里程碑剧吧 = = 
(NA)	偶像剧必看经典~
(4星)	读小学的时候火成那样
(NA)	师范时代，去同学家玩，几个同学一起看了一晚上~~泪~~
(2星)	哈 我有病
(5星)	小时候看疯了的电视剧
(4星)	直到现在我才明白为什么杉菜会选择道明寺。。。
(NA)	一响起里面的那首this is my moment..我就会想起初一下的那些早晨。想起那个会打篮球的学长，可是我们竟然在6年后才开始说话。真实时间弄人啊。
(4星)	= =
(4星)	偶像剧的开山鼻祖了吧。印象中是这样。
(3星)	当年花痴时的爱好
(4星)	不知为什么，最近很想再看一遍。昨晚(08.12.22)宿舍有女生在等小熊座流星雨，说“《流星花园》没有流星……”囧，然后就唱起了流星雨。
(3星)	陪我走过年少时不懂事的快乐
(3星)	当年被打就为了看这啊
(NA)	偶像剧啊。。
(NA)	朋友送的生日礼物 当年还是很喜欢的
(1星)	我一定是无事可做，既然有心情看这么无聊的片子。哎，当时要是能省出时间来好好学习多好。
(3星)	唯一看过的偶像剧，集诸多意淫之法于一身，完全不可超越，所以我要打高分
(2星)	想当年 我也是个2B...
(4星)	当时真的很火。连我老妈都爱看。
(3星)	很俗很偶像，童年的感动~
(5星)	怀念吧..
(5星)	虽然现在觉得是很老而且有点土的不片子了，但不得不说他还是很经典的！
(3星)	台式嗲腔听得顶唔顺
(4星)	算是比较好的偶像剧了~在偶像剧泛滥烂俗的现在~
(NA)	蛤蛤，我的偶像剧启蒙
(4星)	初中`
(5星)	我就是觉得青春可爱是偶像剧的典范
(5星)	想起了小学4年级
(4星)	偶像剧就是最喜欢这个。
(4星)	现在看来，多么可怕
(4星)	忍不住看了好多次。哦也。
(4星)	那时候看得挺喜庆的
(4星)	当年风靡一时
(3星)	当初不吃饭也要看的电视剧
(5星)	很怀念
(4星)	其实  还不错啦
(NA)	这封面的色彩真是无与伦比的土啊
(3星)	杉菜蔬辫子蛮可爱的
(3星)	虽然那时候红得发紫，我真是一点不感冒啊，就是里面的原声还值得听听
(3星)	高中的回忆
(4星)	遥远的记忆了 似乎是我最初的台湾偶像剧
(3星)	这个片子那个年代红啊....
(2星)	看了几集，是在坚持不下去了。
(NA)	也算了解了世上还有个F4~~
(4星)	我也曾經fan過F4的捏……
(NA)	初三的最爱
(4星)	初中阿。。。
(5星)	高中的经典，不要PIA我～
(4星)	2002年火爆全年
(4星)	那时也稍微迷了一下，注意，只是一下。
(3星)	那时就想着和身边的“兄弟”组个F4 真逗。
(4星)	这部剧用所向披靡形容也不为过吧。
(5星)	我说过要永远爱他们……
(3星)	台湾偶像剧的鼻祖
(4星)	过去现在我一直很爱他们。
(3星)	初中的时候一帮人窝在同学家看了两天... 看完之后dvd发烫 开口都是港台腔....Orz
(4星)	一还是很不错的，怎么说也掀起了F4的热潮啊！
(2星)	为什么会红呢为什么会红呢？！！
(4星)	哈哈，纯情的19岁~
(5星)	这部戏在当年太红了。
(NA)	小周同学人说像白马王子我愣是觉得他怎么看都像是一农民...周饭估计跟我急.当全民流星花园的时候.我暗恋的内女生也没免俗.于是我为了追求把共同语言.遂也跟着看了几集...
(5星)	那可是风靡一时挖。
(4星)	当年看来还不错~
(3星)	还记得中考之后的那个昼夜，与闺密一起的幸福时光
(NA)	经典的
(3星)	这种片子也是时代意义
(3星)	那个年月！
(4星)	那个流行啊~
(4星)	你要的爱
(4星)	我曾经那么纯洁
(4星)	喜欢
(4星)	气息还是这么干净。
(3星)	当初我喜欢看单纯因为它是改编自我多喜欢的漫画的。居然还是我姑妈推荐我看的。
(3星)	第一部还可以
(NA)	大S的脸依然鞋拔子。但是表情还是很正常。。
(5星)	老大上个星期把它看了一遍，话说她是第一次看  (╯^╰)
(5星)	就因为这个剧当年开始很喜欢仔仔。
(5星)	最爱的。
(4星)	说不出对这剧啥感想= =好像那会还是先听了f4一张专辑才去看的这个，那时候对大s的感觉就是：哇塞脸好平……结果没想到最近的化妆技术进步的这么好了。
(NA)	真不好意思说只看过几秒……
(NA)	刚刚在看，室友吐槽：您没童年啊~~我也觉得~~
(4星)	小学的回忆啊。。。
(4星)	矮油
(3星)	童年= =
(4星)	当年还上小学呢 喜欢的不得了哇 
(NA)	当年我是有多爱看！
(4星)	青春时光啊！！
(5星)	经典哦。小时候我喜欢类那样忧郁气质的男生，但是现在看喜欢阿寺，觉得他率直又可爱。这也算成长吧~~
(4星)	完结了，十年。
(5星)	那时看过好几遍。
(4星)	看的時候才初一誒...10年了
(5星)	那年，我初中……
(4星)	青春，你好。
(5星)	最爱的一部偶像剧。因为，女主不脑残。F4真是帅
(4星)	曾经啊曾经~
(5星)	我有颗少女的心好么。。
(5星)	只要倒立，眼泪就不会流出来。
(5星)	啧啧啧  
(5星)	呼，10年了诶！
(5星)	就快十年了 我还记得和谁谁窝着一起看呢 在冬天里 !!!
(4星)	只属于当年的美好。
(3星)	偶像剧鼻祖
(4星)	当年还是很喜欢的，
(5星)	当时的经典，怎么着也不能否认它巨大的存在
(1星)	从小就对偶像剧无感，真没看过完整的一集。
(5星)	儿时经典、
(3星)	算是看过这类型的片咯
(4星)	初中时候去网吧看的那个美，谁都是这么着过来的吧
(3星)	真心不喜欢大S也不喜欢台版的流星花园
(3星)	流星花园都在 艋胛都不在。。。。
(2星)	我无耻的只是为了增加与大美的共同爱好
(4星)	瞭解台灣偶像劇的開始。
(4星)	好歹童年回忆吧~
(5星)	青春的回忆！！！
(5星)	当年我奉为神作，我的大爱杂草杉菜！
(NA)	这个都有，哈哈
(4星)	当年很迷的，好不好！
(4星)	别跟我说韩版嗲 我讨厌韩国人。
(NA)	买了原声带。。这个类多好看。。
(3星)	這個當年是真火，現在再看覺得好做作。
(5星)	当年的偶棉如此纯洁无暇
(5星)	李民浩算神码，张翰算神马，他才是我心目中的道明寺！——from 人人
(NA)	想当时 哎 这就跟还珠格格给我的感觉是一样一样的 你们明白的 
(5星)	我的记忆是从流星花园开始的
(5星)	最经典的台湾偶像剧
(5星)	最爱！！
(4星)	是我大一的珍贵记忆。依然还深刻记得整宿泡在网吧看这部片子的记忆。往事不能重演。。。
(5星)	我在看流星花园……
(5星)	还是很经典、看了心砰砰跳~
(4星)	当时不迷都不能否认。毕竟是因为类才学得小提琴呐。
(NA)	重温又一轮
(4星)	这个，也是东风卫视追看完的。
(5星)	类啊~~~~~~~~~ 哎呀呀~~~~~~~··
(5星)	当时正值分手期，每看一集都哭得稀里哗啦。我爱的不是言承旭，我爱的是道明寺。不管后来有多少版本的流星，每个道明寺我都很心动……
(NA)	...
(NA)	....
(4星)	高二到高三那一年的经典啊…… 到现在也觉得这个版好像最靠谱= =
(5星)	偶像剧入门
(5星)	初中的幻想 现在想起觉得很恶 不敢再看 怕破坏当时的感觉
(4星)	经典
(5星)	时间点
(NA)	F4傳奇
(4星)	oh my god！！
(NA)	说对不起有用的话要警察来干嘛！　　　　－。－中学时代的台剧儿二。
(3星)	高一。。
(4星)	偶像剧的开端作，不可代替。
(4星)	哈哈哈 我竟然重温这个
(4星)	偶像剧开山之作。
(5星)	一个不可能真实的梦  但是足够动人
(5星)	为九年前的我 都得给五星！
(NA)	现象级作品。
(4星)	那阵时候真是迷死了，放学回家就等着开播！
(5星)	或许每个女生都会先爱上花泽类，最后却都选了道明寺。
(4星)	这是台剧的神作。。。
(4星)	哈哈，我想起来了
(5星)	最最最最经典了……
(4星)	经典
(3星)	那个时候喜欢小优。。。
(4星)	2002年的春天，当时给了那么些梦幻的感觉。
(NA)	经典呀。
(4星)	最经典
(NA)	毕竟依然是我最喜欢的台湾电视剧
(4星)	道明寺的霸道。
(3星)	高中记忆
(NA)	囧3
(4星)	当初那叫一个迷恋啊。记得初中时班里还有女生偷溜出去包夜看。
(4星)	记忆中最美好的台湾偶像剧！
(3星)	虽然现在想起来言师弟一股农民气~但是小时候真的觉得好好看
(5星)	言承旭！
(3星)	我勇敢地承认自己曾经看过这部搞笑片！
(NA)	啊哈哈哈哈哈哈... 初一还是初二?
(5星)	大学时代最美好的回忆之一
(5星)	F4里面除了朱孝天其他都喜欢
(4星)	台版是初恋，日版是最爱，韩版打酱油，芒果版外焦里嫩
(4星)	补课完毕~
(4星)	哈哈 喜欢杉菜！
(4星)	说实话我是第一次看。
(4星)	说实话 小时候大家都在看的时候还真的没看过 不知道干嘛去了
(NA)	小学租VCD两天看完的
(4星)	言承旭的道明寺好经典~~~~~
(4星)	只因当时太年轻
(3星)	那时候同学过生日了就把大家叫去家里看一天这个片子。。。
(5星)	初中···我们都不喜欢门当户对 哈哈哈哈
(5星)	哦 我的花泽类
(5星)	陪你去看流星雨……
(4星)	不比不知道
(2星)	真俗
(4星)	最近又看了一遍，挺经典的，想起了我的大学时光和那些事儿
(4星)	很久以前看的，现在收藏就是刺激芒果台的。
(5星)	当时的神作~
(4星)	台湾偶像剧从这里开始
(NA)	在点播台巴巴地看了一点。
(5星)	花泽类呀花泽类~
(4星)	比含具好  一当年的审美来说  顺毛美作我就不说了
(4星)	经典 - -
(4星)	看来我那时候就开始讨厌大诶死了
(5星)	我必须诚实的向我的少女情怀妥协
(4星)	我要说的是我很完看的这片子..真的很晚..
(3星)	初二
(4星)	虽然当年我年幼无知，是很HC
(NA)	哇塞  回忆当时
(4星)	小时候吖小时候！
(4星)	怀念啊怀念，台湾偶像剧的启蒙片
(NA)	farmer4.
(NA)	这个豆瓣也给我推荐啊 
(4星)	初中时那个红啊 。。俺偷偷半夜看碟的
(4星)	高中为了此片翻墙去网吧看通宵~
(5星)	那是我的青春 不可抹去的美好时光。
(4星)	小时后
(3星)	我承认，我很低俗。
(5星)	看来看去，还是台湾这一版拍的最好
(5星)	那个时侯真是疯了。流星成灾。菠萝头，杉菜，(⊙o⊙)哦，再也回不去了。
(5星)	这部片子承载了太多人的回忆。
(4星)	其实台湾这版还是不错的，
(5星)	比日本的版本好～
(4星)	青春偶像剧
(5星)	演技好点就更好了。。。剧情还是遵循原著不错地~
(5星)	其实我挺喜欢和妈妈一起看的。。
(5星)	必须的
(3星)	好歹捧出一堆偶像来
(5星)	当时看了三四遍，迷恋道明寺到不行。现在想来，依然觉得那样的男子是值得爱的。过了那么多年，还是对剧情念念不忘，别人说恶俗也好，幼稚也罢，喜欢就是喜欢，他真是记录了我的整个少女时代呢。哈哈^_^
(NA)	小时候和妈妈一起煲过的电视...
(4星)	……谁没看过？其实挺好的一个片。必经阶段。还是王子和灰姑娘。只不过长大之后觉得王子，也必须有大脑。那样有钱专一傻傻的男生，初中喜欢下也就罢了。
(NA)	当时年轻，唯一看过的偶像剧。
(4星)	當時確實覺得好看~~~以後應該也不會再看了~
(5星)	怀念
(3星)	现在这个故事已经被人拍烂了，估计先入为主，我倒还是最喜欢台湾版，日版也还行但是有点华丽过头了。毕竟这里四个男生都是新人大家都期待他们的表现不像日版和韩版都是以花泽类和道明寺的演员做重头戏……
(4星)	台，日，韩 三个版本看下来，还是这个好些，嘻嘻
(4星)	这是我看的第一部偶像剧
(4星)	其实我没看完，但没看过的人也太过分了？！
(5星)	我擦这太经典了谁都得看过/ll/ll
(3星)	无聊的情节啊，看的时候太年轻... 
(4星)	-。- 我其实挺喜欢的
(4星)	台版日版韩版-----------大陆版估计不入流
(4星)	阿寺好可爱，爱死阿寺了！不过杉菜演得很做作
(NA)	有人说“乐手也要看《流星花园》的啊”囧
(5星)	当时那个青春期啊
(NA)	我终于看鸟。。。
(5星)	看了韩版，又回来看这版，果然是不能超越的。
(4星)	我不知道为什么拿出来复习 
(4星)	唯一好看的台剧。
(3星)	台湾制造。
(5星)	非常永恒之经典
(4星)	当年连续一口气在网吧看完了，知道了有戴佩妮这个人，音乐还不错。唉，真实年轻不懂事啊。
(5星)	初中
(5星)	The first.The best.
(5星)	纪念我的青春，初一看的时候觉得巨好看
(5星)	让我说什么好啊，真的是大学时候美好到不行的记忆啊!
(4星)	漫画挺好看的
(5星)	让我认识到台湾青春偶像剧的鼻祖，也让我了解了言承旭和f4
(4星)	重温
(4星)	唔，其实我有复习过。
(3星)	我深信，每个女孩都有灰姑娘的梦想，正如，每个男人都有英雄的愿望。
(3星)	被笑翻的剧
(4星)	我低俗了我。。现在在看韩版的，还下了日版的。。。我低俗了我~
(5星)	棒子版的出来了之后，全宿舍的女人们按捺不住地去下了台版来看，发觉好太多了！！！
(4星)	这部片子承载了太多人的回忆
(NA)	风靡一时啊
(NA)	还是这个版的经典
(5星)	第一部台湾偶像剧
(NA)	杉菜 飞上枝头变凤凰！
(3星)	我承认，我也有过少女情节……
(NA)	小时候还挺要看的
(5星)	还是喜欢台版的。喜欢那样韧性的杉菜和孩子气霸道的道明寺
(5星)	见证我们青涩年华的电视剧，每次看都有许多回忆···
(3星)	呃……我想问问哪个女生没看过这部偶像剧……
(3星)	我为什么就不觉得好看呢？
(4星)	哈哈哈
(5星)	太经典了。。。
(4星)	当年还是很稀饭的呀
(3星)	那个盛况空前啊当年，我那叫一个麻啊
(4星)	不得不说流花是偶像剧的经典
(4星)	第二天要还，所以看了通宵
(3星)	那年下流星雨。。。
(5星)	类 类 类...
(5星)	突然就回忆起这部片子。这么多年了，我居然还是被它感动。虽然已经物是人非，但是看到你们还生动的存在于影像之中，我就觉得好感动。
(3星)	你知道吗？你总是口是心非，对每个人都照顾周到。然后，把你千金大小姐的模样保持的很好！即使有人为你的反复无常而受伤，你也从来不去收拾。——汗，为什么偏偏记住了这几句。。。
(5星)	你可以说它不好看。但你不能说你没看过。我歧视每一个和我共同年代但是装清高说自己没看过的人。相当歧视。
(4星)	算是台湾偶像剧的鼻祖了。虽然当初在看的时候一直觉得F4演技一般～和动画片相比实在是有一段距离。
(2星)	当时还是挺喜欢
(4星)	最早看的偶像剧。
(3星)	等待中考的那段日子，我偷偷摸摸的看了
(4星)	...什么狗F4 我看电视剧只能记住女的.
(3星)	我竟然看过。。。囧。。。
(NA)	我很疯狂的在大一第一学期快考试时追看，总是凭着小聪明，大家都在温书，我却在学校机房一直看一直看，毫无自制力，所以那点小聪明到第二学期就让我挂了一门统计学，大学唯一的一次挂科。
(2星)	囧片
(5星)	第一年奖学金买了全套VCD
(3星)	当年红到不行的说...
(4星)	看过的第一部偶像剧。。。
(5星)	越看越好看了~~~喜欢他们，喜欢他们的爱情观。2011年重温，哦耶。
(5星)	在当时够经典吧。
(4星)	高三时冒着被pia的危险看，真傻。
(3星)	以前睇仲可以，依家林翻想杀人
(NA)	这么多年过去了我还是觉得花泽类是最帅的！
(3星)	当时红惨了。
(5星)	星空卫视又在重播，是的，它承载着太多人的记忆……
(3星)	很久以前
(3星)	算是第一次看到偶像劇這種劇種
(3星)	虽然很做作,但当年确实很红啊~~
(4星)	好怀念那时的仔仔.
(4星)	这才是真正偶像剧的开篇之作啊~上小学时高孩哥就给我说，后来好像是跟我姐一块看的
(3星)	额。。。。。。。。假了点 。。。。。。。
(NA)	先看的动画。当时还是很饭的。哈哈
(5星)	还在读初中的时候看的 对于那时候的我来说一点抵抗力都没有啊 而且那时候觉得杉菜和道明寺好配啊 杉菜说要有杂草的精神
(4星)	这个貌似是台湾偶像剧的鼻祖啊~~~前无古人后无来者
(5星)	回忆啊。。。
(4星)	以前嘛~
(3星)	偶像剧的鼻祖。。
(NA)	偷看，没有声音，关掉了，在每天零点之后
(NA)	这剧似乎大家都看过吧。。
(5星)	台湾偶像剧 始祖
(5星)	当年看了九遍啊。。。
(5星)	最近在ppstream上面看
(4星)	我台剧的鼻祖~
(4星)	哈哈吼。
(5星)	杉菜的杂草精神．．
(2星)	脑残。
(4星)	吼吼
(3星)	看着非常想给它4颗星.回头想想就只想给2颗..它就是这样一部电视剧啊!
(4星)	F4刚亮相的时候简直太2了。。。
(NA)	小学的时候好喜欢看啊!!
(NA)	怀念那时通宵看片
(4星)	台剧的启蒙，当时真的可以为了看寝食难安
(3星)	别说你没看过。
(5星)	当时真的是红透半边天啊，本人也迷的不行~~
(5星)	仅限于当年来讲，我觉得，先锋似的开始。
(4星)	这这这……不要问我为什么加……这是小学看的八？（颤）好吧说实话当时觉得挺好看的亚。开山之作开山之作。哎呀呀歌好怀念啊~~~~回忆可以加分。
(4星)	非常之经典，不仅捧红那四个，且承载了太多太多回忆。
(5星)	经典啊看了N遍
(4星)	一段记忆
(NA)	全民疯狂！
(4星)	嗯尽管十分恶俗还是必须承认那时候租碟全寝室的疯狂，对于台剧具有里程碑般的意义。
(3星)	中学时期看的，当时觉得特别过瘾，多年之后觉得很是傻逼
(4星)	回忆总是美好
(NA)	大二全民折腾，上下包厢，两本同放。
(NA)	我发现我小学的时候看了不少电视剧
(NA)	记得当时看疯了很多人
(5星)	其实它就是经典啦~~`现在看再怎么恶俗但毕竟它是那个时代的一个代表~
(4星)	电视剧 
(NA)	洗眼睛。我最喜欢道明寺，也许还有一点点言承旭。他让我觉得，仿佛只有他在爱，他的爱是那样笨拙而又小心翼翼且坚定。所以我死也不认为，失忆的道明寺会喜欢上别的女人。偶像剧最大的功劳，大概是借着一张好看的脸，表现出人们渴求的爱的永恒和唯一吧。
(5星)	Anyway, 不能否认曾经对它多么狂热。
(3星)	现在看起来俗到了极致 但毕竟它带来了偶像剧时代 风靡一时
(NA)	那时候，天上有还在地面，他那么像花泽类。
(5星)	on my heart
(5星)	事隔多年我还是要给它五星
(3星)	拜张某人所赐，追她的男生送了我们全套盗版该光碟，在那个VCD盛行的年代。。。
(4星)	当年曾经迷过。回过头来看，和日版的比起来，真的是农村版的花样男子啊。
(4星)	我的青春啊~热血啊
(4星)	当年死活不看流星花园. 当年死活不看哈利波特. 后来从了一. 没从二.
(4星)	当年的神话。台湾偶像剧的转折。
(5星)	喜欢啊~~
(5星)	蔡岳勋总是可以把暴龙拍得很有爱啊......最高最高，杉菜最高.......
(4星)	那时候有多喜欢周渝民哦
(4星)	初一时还真的喜欢过~~~
(NA)	初中吧。我还记得饭堂讨论的情形。。。=___________=
(5星)	一家人一起看的偶像剧~
(5星)	当年是人都应该去看的片子！
(4星)	曾经的大爱 代表一个时期我的心理吧
(4星)	台剧经典
(4星)	好看！
(4星)	我也够无聊的，这些天在家把这部电视剧又看了一遍，还是很喜欢
(4星)	当年很红，当年想不喜欢都难的剧作。
(NA)	不可否认的风靡一时啊。
(4星)	比现在的台湾偶像剧好看多了
(2星)	青春偶像肥皂剧的极品。
(NA)	连我自己都没想到，现在的我我居然还会这么有兴致的看几个小时。
(4星)	没有出众的演技，甚至是有些老套的剧情可还是打了四颗，因为，它承载了对过去的怀念
(NA)	还是日本版的好
(NA)	OMG
(NA)	a coincidence
(NA)	流星花园
(4星)	曾经觉得非常好看，不知道现在再看会是什么感觉
(3星)	高中时看的
(3星)	我是颜饭
(4星)	周渝民是唯一让我喜欢的角色.我是初三才看的.才发现初三看了很多台湾偶像剧.这是源头.治愈系男2号的源头.
(4星)	初中的时候很迷
(NA)	瓦～女孩子看了都发痴了～
(4星)	当时年纪很小 大多数内容已经忘记了 但我还是记得当初很沉迷的样子
(3星)	里面有QUEEN的歌
(NA)	当年爱的要死的片子，现在也还不会太落伍，喜欢画面干净的片子
(NA)	嘿嘿 我喜欢V
(NA)	当年真TMD流行
(3星)	很轰动的当时可惜我不是很喜欢
(NA)	汗~我还是看过哦无知的见证啊
(NA)	一集电视剧引起的关于一个书包的惨案
(3星)	又是一部影响深远的台湾偶像剧
(NA)	地球人都知道
(4星)	跟日剧比起来，差远了～
(4星)	中考结束
(NA)	高中的回忆..
(5星)	虽然是偶像剧，但是能经典成这样也不容易啊。。第一部还是挺好看的~
(4星)	大概是初中的时候 现在看真是好笑的场景 暴龙头 o(∩_∩)o
(4星)	初中第一次接觸臺灣偶像劇
(5星)	我就滥俗！喜欢！！哈哈哈
(4星)	虽然只有仔仔帅点，但当年很多经典台词啊。。。流行~
(5星)	好吧，我没有办法把它从我的青春里刨掉........
(3星)	初中的四人小团体.
(4星)	其实真的是很经典的啦
(5星)	那份很美好的初中回忆。我的寺和类。想当初我还给Jerry写过信呢。=   =
(5星)	very moment.
(4星)	高中时代看的电视剧！
(NA)	还行
(5星)	一个时代审美的革命
(NA)	四个美好男人的故事，不那么真实……但是却那么美好
(3星)	唉，奇怪，五年过去了，为什么还是觉得花泽类是我喜欢的男孩子。
(5星)	给5星都不够，我爱这个片子。忧郁的类，像婴儿一样纯净的道明寺，经典！无可争议的经典~
(3星)	呵呵
(NA)	炒得很热时没看过。后来不看得。一般
(3星)	俺备考gre的时候看的，一下午看完
(3星)	花泽类。(看看这设定) 自闭, 忧郁, 嗜睡, 安静, 温柔,  ......只爱藤堂静。  ( 王子呐.........)
(5星)	不能跟人分享的另外一件事
(4星)	其实真的挺好看的。灰姑娘嘛，女孩子都喜欢嘛。
(5星)	当时超喜欢``
(3星)	纯粹的偶像剧。
(4星)	4个帅哥围着自己转,多好啊...呼
(5星)	还想看一遍
(4星)	也曾万人空巷
(5星)	最喜欢的偶像剧
(4星)	很！！
(NA)	言承旭放頭髮落黎之後太似我呀爸,所以再無睇落去.
(5星)	你把我升华成星星眼少女
(3星)	我承认我喜欢忧郁气质，花泽类如是。所以这也算是曾经喜欢过的东西吧，这里留个纪念好了，毕竟我变了。
(4星)	很榜样的偶像剧
