http://movie.douban.com/subject/2295771/	水浒后传
(4星)	 多一星给自己年少的青春~~~            
(3星)	 为了吴京看的，其余都普普            
(3星)	 读小学的时候我是有多HC你。。。            
(2星)	 还是能凑和一看的，虽说其实也不怎么样。            
(3星)	 背叛情歌            
(NA)	 女主角很好看            
(3星)	 没多少印象了            
(4星)	 最喜欢片尾曲《背叛情歌》。。。            
(3星)	 非常奇怪的一部电视剧！但在回忆里很美好……=v=            
(3星)	 原来我那么喜欢看吴京的啊            
(NA)	 他是演西门庆的后人还是武松的后人来的？            
(NA)	    那时小，记忆长.            
