http://movie.douban.com/subject/1960302/	太极宗师
(4星)	 《英雄谁属》是时不时就会翻唱来听的歌！！！热血尽化尘与土。吴京这样长得好看打得漂亮的人为什么没有红就好想不明白啊            
(3星)	 凑合吧            
(4星)	 记忆中最质朴纯粹的武侠电视剧            
(2星)	 不喜欢这个片子。            
(3星)	 我喜欢樊亦敏~            
(4星)	 可好看了！            
(4星)	 武打动作设计的非常好，太极拳打的真好看。歌也很好听，开头的和结尾的都好听            
(4星)	 以前看的，不错的电视剧            
(4星)	 挺不错，吴京当年娃娃脸的哦            
(5星)	 当年看得多开心啊。            
(4星)	 哈哈，夏天演的            
(5星)	 儿时回忆啊=  =还记得我弟弟边唱片头曲边学吴京乱比划武功，以及我们两个一起切磋的样子……            
(NA)	 那时候吴京跟现在一样二愣子            
(5星)	 想当年，我是多么多么喜欢吴京啊！            
(3星)	 惠英红····我还记得当年吴京去塔上一层层去挑战的事            
(3星)	 我记得缠胸！给我羡慕坏了。            
(5星)	 袁和平指导的五星电视剧，吴京威武            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 此剧我曾经在某个暑假追看过，一集不落。            
(3星)	 陈氏。。            
(5星)	 美好的回忆片头曲写的很有意境            
(4星)	 当时多喜欢吴京啊            
(5星)	 太极宗师依旧属于回忆里的味道，呵呵～            
(3星)	 不喜欢吴京            
(4星)	 当时吴京那温暖无边的笑脸啊            
(4星)	 在我记忆中似乎這个男主角就拍过這一部戏= =            
(NA)	 当年火的时候就觉得一般            
(4星)	 当年看的时候，睡觉前还要回味半天呢~            
(4星)	 诶我小时候觉得好好看啊。。            
(4星)	 偶尔看过几集，当时觉得吴京不好看。            
(5星)	 嘿嘿嘿嘿~            
(2星)	 真的很难看。。            
(4星)	 剧情还能记起许多的一部片，可喜欢那里面女扮男装的主角了            
(4星)	 中考完的那个暑假 每天晚上追着看            
(NA)	 记不得说什么的了，就记得好看。。            
(3星)	 娘诶~这剧是张鑫炎导的~            
(3星)	 小时候看此片对武侠痴迷不已  日日拿水桶练功            
(4星)	 原来我还看过这片儿，还挺喜欢，吴京小朋友，你咋就没能一直这么讨人喜欢呢            
(4星)	 吴京出道的戏，那时候好纯……            
(NA)	 好像是小学毕业那年暑假，踢球+看这部电视剧            
(4星)	 吴京那时候演得可好了。。俺喜欢。            
(4星)	 年轻的吴京~怀念呀            
(3星)	 不知为什么老爸很喜欢这个片子，小时候跟着他看了好几遍。            
(4星)	 那个手在大坛子里转啊转最后大坛子爆掉的情节还是记忆深刻……            
(4星)	 只是你回眸一笑 惹的百花報春早            
(3星)	 天呐，又一个会唱主题曲的电视剧还魂出现，天已暮，月如故~~~~            
(4星)	 英雄谁属..非我莫属            
(5星)	 非常干净的片子            
(4星)	 当年吴京是青涩的~            
(5星)	 那时的大爱。            
(3星)	 歌很有气势            
(NA)	 话说樊亦敏和我一个同学很像，那时候吴京真是非常年轻，可惜这么多年了，他始终还无法进入一线男星，没有原因的时候，我说这是命。            
(4星)	 吴京的最高            
(NA)	 很喜欢杨昱乾~            
(3星)	 小时候住在外婆家的时候天天看的。。。            
(NA)	 歌很好听            
(4星)	 好早看过的  导演居然是袁和平            
(NA)	 梦醒处 来时路 晨风吹动谁家旗鼓            
(3星)	 最近才发现片里的女主角还在香港主持了《AV事务所》。。总觉得有点幻灭！            
(2星)	 又一个看了就头疼的典范。。。            
(4星)	 那会儿特别喜欢看            
(4星)	 吴京出道了            
(4星)	 女演员都好漂亮》《            
(NA)	 喜欢看。片尾曲也还可以            
(5星)	 肯定不是2005年的。。。            
(4星)	 第一次看这部片子的时候，是在某个暑假，印象深刻～～            
(NA)	 想起了初二时的那张饼            
(NA)	 05年？这么晚？            
(3星)	 这个片子不长，但还蛮好看的，吴京刚出道时候，打得还是很卖力的。            
(4星)	 吴京真的很适合武侠片。这部剧是个经典。            
(NA)	 那个时候山东卫视播的，每集中间还只有一支广告。。。            
(5星)	 小时候超爱啊啊！！            
(3星)	 对吴京不感冒。            
(NA)	 最后一集的时候正好动身去威海...于是再看也记不清结尾。            
(5星)	 主题曲特别漂亮            
(5星)	 童年回憶。            
(NA)	 在市里面看过了然后回老家，家里的电视台才又放，依稀记得是过年，不少人看。            
(5星)	 年少的记忆            
(5星)	 小时候的记忆啊，很喜欢樊亦敏            
(4星)	 我竟然没标注！我当初是有多爱看的啊！            
(NA)	 经典！吴京！            
(3星)	 小学的戏...又一次在大街上听到这个主题曲 还激动了一下..现在看是大腕云集啊            
(4星)	 小时候非常喜欢。对吴京闯塔关及惠红英印象非常深刻。            
(4星)	 当年那么爱看            
(5星)	 对主题曲和片尾曲还记忆犹新            
(4星)	 天已暮，月如初。            
(5星)	 小时候最喜欢的电视剧，主题曲让我体会到剪辑的魅力~            
(4星)	 哎呦，当时我得有多爱看这部剧啊~            
(3星)	 女主角昙花一现            
(3星)	 吴京那个时候还是蛮帅的。            
(NA)	 以前电视上放就看呢            
(4星)	 我大姨夫就是从此开始太极拳的。。。            
(4星)	 我记得那个时候很喜欢吴京            
(5星)	 热血尽，化尘与土，只为博你嫣然一睹~            
(4星)	 室友到现在还看着呐！            
(5星)	 小时候狂喜欢看啊！还记得那时候课间满操场的推手的童鞋们啊！            
(3星)	 一直没有看下去            
(5星)	 小时候看n遍的片！            
(4星)	 矮油老只好喜欢吴京~！！            
(4星)	 ooo！            
(4星)	 吴京超级超级帅的~~~童年的梦啊!            
(5星)	 初二时看的这部电视剧。。大受触动。。直接促成了大二时选修了太极课。。回过头来看，袁和平的武打设计很过瘾，不过也不太真实。。管它呢，当年我就是喜欢它。现在也一样。            
(4星)	 怀旧，猛然想起这部戏。重看片段，痴迷不减啊。唉，想重回当年而不能！            
(4星)	 我怎记着我当时特爱看啊，哈哈。那几年吴京特火~~            
(3星)	 都是回忆了            
(NA)	 当时觉得没人能比吴京再帅了！！            
(4星)	 大师兄可帅了！！大师兄你要红起来啊！！！            
(4星)	 小学的时候和爸爸妈妈一起看的，那时候是暑假播的，我记得            
(4星)	 这可能是吴京拍得最好的一片了，尽管他很年轻，但是前途渺茫……英雄谁数非我莫属            
(4星)	 小时候的记忆            
(4星)	 吴京正角的巅峰是太极宗师，反角的巅峰是男儿本色~~~喜欢死了，真是            
(4星)	 少时回忆。            
(4星)	 吴京            
(4星)	 吴京之爱那时候来的吧，不过女主长的不是俺的菜，棋武士里依旧不是。            
(4星)	 真的还蛮好看的哎~            
(4星)	 小时候的经典，超级喜欢            
(NA)	 吴京3的巅峰之作，此后一路下坡…            
(5星)	 小时候超喜欢            
(NA)	 囧少啊啊啊啊啊啊啊            
(4星)	 算是不错了，就记得他们剧组的人好可怜，什么格格阿哥，来来去去进进出出都是一套戏服~~~~            
(5星)	 我最怀念的电视剧。没有之一。            
(5星)	 童年的回忆啊            
(3星)	 天已暮～～～月色如初～～～～～            
(5星)	 里面的歌曲真好听            
(4星)	 吴京很阳光，这个剧很健康            
(4星)	 恩 小学时候看的 那时每天放学都哼这主题曲来着~            
(NA)	 跟妈妈一起看的            
(3星)	 1998年暑假            
(3星)	 很久以前。跟姐姐一起。            
(5星)	 某一个春节我的娱乐活动……            
(4星)	 那首歌听着旋律还会唱吧？            
(5星)	 吳京╭(╯3╰)╮吳京~~            
(5星)	 应该是看吴京的第一部剧吧  那时候好喜欢他啊            
(4星)	 我真的只能说少那一颗星必须因为和吴京好的姑娘长的忒丑了            
(5星)	 经典啊....            
(4星)	 太极宗师            
(5星)	 我不想说当年我也萌过吴京！！！            
(5星)	 出色的武打动作与主题曲            
(4星)	 青春的吴京            
(4星)	 经典!!            
(4星)	 小时候超爱            
(5星)	 差一点去拜师学艺            
(4星)	 暑假轮播系列……            
(4星)	 我记得我没有看完 &gt; &lt;             
(3星)	 当年吴京还是多帅的，话说吴京和惠英红这搭档相当不错，很有火花的说~            
(5星)	 吴京真是太帅啦！            
(3星)	 当年和老爸一起看的，老妈特费解，怎么能爱看这个            
(NA)	 小学四年级            
(4星)	 我挺喜欢的。            
(4星)	 补：这就是我初中时候各大省台轮番播放的电视……            
(4星)	 从这里开始喜欢吴京 这孩子怎么还不火呢            
(5星)	 那时候真的很喜欢这部剧。吴京多帅啊。            
(4星)	 当时追看啊！            
(NA)	 因为谁谁谁说我长得像谁谁谁            
(4星)	 当年抄歌词啊啊~~            
(3星)	 正派吴京            
(NA)	 小时候超爱看的~            
(4星)	 还是不错的，就是节奏太慢了，毕竟不是电影            
(4星)	 我只是喜欢吴京而已！只是喜欢吴京而已！还有少琪姑娘女扮男装……完全不违和嘛！            
(4星)	 小时候看有想嫁给吴京的冲动            
(4星)	 吴京当年嫩啊            
(4星)	 依然记得&#34;三叔&#34;靠着烛光的影子教太极的那一幕呢..            
(5星)	 ！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 一个夏天的回忆            
(4星)	 那时候的少爷多瘦啊脸多小啊眼多大啊！            
(5星)	 小时候的回忆阿～特别有感情            
(4星)	 那时候可喜欢吴京了。            
(4星)	 儿时爱&gt;&lt;            
(2星)	 喜欢爷爷那边人很喜欢看，我不怎么喜欢            
(5星)	 小时候超级喜欢的 就给他五分            
(4星)	 一层一层的过关的塔里。有点喜欢那种过五关斩六将的剧情。话说吴京的打功可是真过硬！            
(3星)	 曾经觉得樊亦敏特漂亮。。。            
(NA)	 我可服我自己了~            
(4星)	 某个寒假一直在追.时光啊时光...            
(4星)	 吴京啊吴京 武侠啊武侠            
(4星)	 这这这，这可是我的最爱，当年的最爱！            
(5星)	 看的时候好像还很小  吴京从此就成了我的偶像            
(4星)	 我喜欢吴同学的傻样子            
(4星)	 小时候跟妈妈一起看            
(3星)	 和妈妈一起看电视的记忆。            
(3星)	 小时候            
(4星)	 片尾曲很喜欢            
(3星)	 杨露禅才对            
(3星)	 囧 大刘真出息啊。。。。。            
(5星)	 最爱那微笑。            
(3星)	 长城上打太极。            
(NA)	 弥漫着一股暑假西瓜味儿的回忆。我的最爱。            
(4星)	 不错！            
(4星)	 吳京，喜歡那大男孩的笑            
(4星)	 “英雄谁属非我莫属”            
(5星)	 片头片尾曲都很好听。吴京的表现让人惊艳。            
(4星)	 因为我也是练太极的，所以很喜欢。吴京的架势不错，看起来很有气质。            
(4星)	 当时还挺喜欢的哎            
(4星)	 小时候很喜欢看的一部            
(4星)	 这个很好看。樊亦敏男装女装都好看~。只是后来她消失了            
(4星)	 第一次认识吴京，里面的歌也好听            
(NA)	 重温一遍，好久好久之前看过的一个连续剧，印象很深，也喜欢吴京，对女扮男装的少琪也印象很深。            
(5星)	 很久之前的片子呀~~            
(3星)	 哥哥~~            
(NA)	 踩豆子             
(NA)	 我的妈妈极其喜爱。            
(4星)	 從小到大喜歡的。            
(5星)	 童年时的感动            
(4星)	 儿时的记忆，怨念             
(5星)	 想当年很迷吴京            
(4星)	 那个时候迷上吴京的微笑            
(3星)	 最近在重温。打斗很精彩。            
(4星)	 吴京，喜欢的吴京。。。            
(3星)	 当年觉得比较好看。            
(4星)	 那个时候的吴京挺好的            
(2星)	 补漏            
(3星)	 情节太拖沓，吴京太装            
(3星)	 三星半            
(NA)	 这部电视剧对我来说 唯一的好处就是让我认识了很多当时不知名后来很有名的演员…… -_-!            
(4星)	 那个时候年轻的吴京。不错的老片。            
(4星)	 当初看的时候吴京好像根哥哥啊~全家人都觉得像~            
(4星)	 这里的吴京还挺帅的            
(4星)	 其实不错的~            
(4星)	 最是那回眸一笑，惹得百花争春摇。晓风暗月歌声飘，红颜正为君来摇。            
(3星)	 毕竟是吴京演得。            
(3星)	 哈,这是袁和平的?~!!!实在觉得女猪很讨厌~~`            
(4星)	 难忘的武侠剧            
(5星)	 但是觉得那个格格好看            
(NA)	 这是，小时候的事了            
(3星)	 年轻的吴京啊，那是个暑假            
(4星)	 原来导演是袁和平            
(4星)	 少时最爱            
(5星)	 好喜欢的，家人也好喜欢，也喜欢吴京。只不过他现在戏路变了            
(3星)	 一度还是追着看完了的            
(3星)	 吴京            
(4星)	 以前喜欢的跟什么似的，那会吴京刚出道吧，觉得这部片挺好看的，也很专一的看了。而且片尾曲貌似也很好听的样子，因为偶至今还记得呢            
(NA)	 好久好久了～            
(3星)	 小时候的记忆            
(4星)	 从那时候就开始喜欢吴京．            
(3星)	 印象中挺好的            
(4星)	 吴京            
(3星)	 儿时的记忆            
(3星)	 应该是从这部电视剧开始让大家知道了吴京这个名字。            
(5星)	 蛮有意思的剧集            
(3星)	 小时候从来不敢确定那个女的是女的            
(3星)	 吴京，挺可爱一小子            
(5星)	 童年的甜蜜回忆            
(4星)	 超哈吴京和樊亦敏            
(NA)	 小时候非常喜欢啊。。。            
(4星)	 只记得那个片头还是片尾的歌曲特别好听，现在还能哼哼！            
(3星)	 红姐。我爱你。            
(3星)	 7.0            
(4星)	 记得当时还一直学那电视剧主题曲            
(5星)	 其实都忘记了，除了那首《情缘不了》，给个感情分儿=。。=            
(4星)	None
(5星)	 小时候的回忆啊！！超好看的~去打那栋七层塔那段印象深刻啊！            
(4星)	 当年超爱的            
(NA)	 小学在青妈大大家看的            
(5星)	 童年美好记忆            
(4星)	 小时候看的。怀念。            
(NA)	 当年好爱这部剧的喔，袁爷爷亲身指导喔，那时候觉得樊亦敏超正喔，可惜跟李若彤一样人美戏不红，TVB完全没有继承邵氏精髓，尽捧些胡杏儿廖碧儿之类的。。。            
(4星)	 童年回忆哇            
(5星)	 小时候老爱看了 主题曲也贼好听            
(5星)	 小时候不看不行啊。。。            
(NA)	 不记得了，但是对吴京印象很深            
(5星)	 绝对百看不厌，觉得这是吴京最好的作品了。            
(5星)	 一部经典            
(NA)	 儿时回忆            
(4星)	 哇 小时候看的很不错的 老在那比划太极拳啊啊啊            
(NA)	 当时真心很喜欢啊            
(5星)	 帅到不行啊！！            
(5星)	None
(5星)	 太极无敌的第一印象。英雄谁属？            
(4星)	 吴京的青葱时代            
(3星)	 有一段时间好多台都播这个            
(5星)	 我怎么就TM的长大啦！！！            
(NA)	 当年很爱啊~~            
(4星)	 那时候觉得吴京好可爱，樊亦敏好可爱，俩人在一起各种好可爱呀~            
(4星)	 哈，吴京笑起来的时候真好玩啊            
(4星)	 当年很喜欢，现在忘得一干二净            
(4星)	 惠英红很漂亮            
(5星)	 看的我是雄心荡漾            
(5星)	 小时候看的啊·······            
(4星)	 帅就一个字！！！从此就喜欢吴京了=V=            
(5星)	 童年对太极的好感皆来源于此，当时属于很不错的电视剧。            
(4星)	 满脸都是笑的吴京，很可爱的时候            
(NA)	 三星。            
(4星)	 80后的回忆            
(3星)	 吴京成名作吧            
(4星)	 不卑不亢            
(4星)	 女主竟然穿男装比穿女装好看            
(3星)	 不爱清古装剧，不爱功夫剧，不爱清宫阴谋论，不爱女扮男装剧，但这部剧，还凑合。            
(4星)	 这个是真喜欢看            
(4星)	 小时候就是喜欢看各种武打片- -            
(3星)	 小时候可喜欢看这些个了。。            
(4星)	 吴京就是无法彻底大红大紫            
(5星)	 这个挺好看的。吴京的功夫不差的，可惜这是个只讲特效的年代了。            
(5星)	 这都多少年了            
(4星)	 小时候很喜欢……            
(4星)	 小时候妈妈最爱吴京。非常经典，里面的太极招式非常专业，应该是八爷指导之下的太极美学。于海、惠英红也都非常出色。可叹现在的吴京一直怎么就没大红起来            
(5星)	 想我当年多喜欢看阿！！！！！！！！！！！            
(3星)	 哈哈哈哈哈哈            
(NA)	 当年简直爱死吴京了。。。可惜一直米有火起来。。。            
(5星)	 80后的记忆            
(5星)	 好想嫁给阿乾！            
(5星)	 袁和平是个牛逼的武指！！！！！！！            
(5星)	 小时候看过十多遍            
(4星)	 看过N遍~还是会看的~            
(5星)	 那个时候吴京是真的帅啊 O O            
(5星)	 啊呀啊呀小时候的经典啊~最近挨个怀念就怀念到它了！            
(3星)	 小学那段时期特爱看武侠剧，导致现在再也不想看这些题材了            
(4星)	 这段时间老想起这部老片，想了好久才想起来            
(4星)	 老电视剧，很好看当时            
(5星)	 我是多么的喜欢杨昱乾哪！那时候内地的烂剧可没现在这么多，难道随着改革开放的发展编剧和导演的智商在下降……            
(5星)	 吴京还是在这部戏里最帅            
(5星)	 想当年我可是在放松最终集的下午都抛开了同学的约会留在家中等着看啊            
(4星)	 童年的回忆。。            
(5星)	 当年迷死了，吴京太帅了            
(4星)	 有关“太极拳”这个拳种最好的电视剧。            
(5星)	 当时对吴京的爱达到巅峰            
(4星)	 小时候好爱            
(4星)	 小时候的记忆！！！            
(4星)	 再次重温了小时候看过的经典电视剧之一！！虽然文戏不是特别出彩，台词对白比较生硬，但太极宗师里面的武戏确实好的没的说！！不但都是真打，演员更是个个有来头，功夫好手，看的真是过瘾！！            
(5星)	 我的青葱啊            
(4星)	 当初很喜欢            
(4星)	 还不错啊            
(5星)	 小时候非常喜欢看，吴京武打帅气            
(4星)	 吴京早年的作品，印象颇深            
(5星)	 唯一完整看完的 额武打片？            
(5星)	 小学的暑假啊~            
(5星)	 童年！            
(5星)	 绝对难忘啊~还有经典的主题曲，其实中间情节有些拖沓，不过那是最好的吴京~            
(4星)	 一听片头曲我就热血沸腾，吴京似乎一点也没变老            
(NA)	 这个好看            
(5星)	None
(5星)	 小时候觉得特好            
(3星)	 当年看的时候热血沸腾的，流行歌曲很上口            
(3星)	 那时年少各种剧~~            
(5星)	 啊啊啊啊啊啊，年少的记忆啊~~~            
(4星)	 这个风格多适合吴京啊,多英俊啊...以至于后来在杀破狼里跟甄子丹打得那么帅都觉得怪怪的            
(NA)	 大一暑假吧 迷了几天            
(5星)	 当年挺红的，太极很有范。            
(5星)	 当年的经典            
(4星)	 大概就是从这部电视剧开始爱上女扮男装的爱情的吧。。也许是花木兰？？            
(5星)	 小时候和爸爸一起看完的电视剧，好怀念那感觉。            
(4星)	 吴京帅            
(5星)	 吴京的巅峰            
(5星)	 这个震撼。尤为推荐七重塔！            
(5星)	 看的时候自己大概只有十岁吧！真是太经典的一部剧了，比起现在很多风中凌乱雷到一定境地的武侠剧不知道要好上多少倍啊。当时觉得吴京特别地帅啊！！！            
(5星)	 当时觉得很不错。            
(4星)	 太极宗师。。。。            
(4星)	 当时是多么喜欢吴京啊。。。            
(4星)	 挺喜欢吴京的。。和那个师傅。。。            
(4星)	 真是好看啊            
(4星)	 当年的吴京好嫩哦。            
(4星)	 经典啊！！！            
(4星)	 热血尽 化尘与土            
(5星)	 好喜欢啊。当年的至爱。            
(5星)	 超好看的            
(4星)	 最是那回眸一笑，惹得百花报春早，晓露春风时辰好，芳心正为君来摇。            
(5星)	 这部剧太精彩了！怀念！            
(4星)	 初中时一直看的，蛮喜欢吴京的。            
(4星)	 原来最容易记住的吴京在这里。            
(NA)	 我看过最早的武侠电视剧            
(5星)	 OMG，好老的片子，非常经典~ 主题曲超好~            
(5星)	 太怀念了太好看了！            
(4星)	 记忆之中的帅吴京。            
(4星)	 吴京那个时候看起来就是很阳光单纯，很喜欢这样的感觉            
(5星)	 太喜欢 这部剧了，一直在重复看            
(5星)	 童年的经典啊            
(4星)	 小时候的武侠剧啊   也是看了好几遍。 当时多喜欢女猪脚的呢。。            
(4星)	 嗯哼 小时候的回忆            
(4星)	 初中的记忆呀            
(5星)	 小时候超级爱看~！！            
(3星)	 噢噢噢，这个有点印象喔。记得吴京。            
(5星)	 老子要买碟 一定！！！！            
(5星)	 太极宗师让我的童年更完美            
(4星)	 吳京鼎盛時期啊            
(4星)	 当时连着主题曲片尾曲一块儿喜欢……            
(5星)	 看了一遍又一遍，好喜欢女主角。            
(4星)	 儿时看的经典剧            
(5星)	 “最是那回头一笑，惹得百花报春早”            
(4星)	 原来这都是上世纪的片子了，所以算是较比经典了！樊亦敏很漂亮呢~~还有喜欢惠英红~吴京相当不错呢~~            
(5星)	 最后那个一层一层打上去，像游戏一样的！            
(NA)	 小时候姥姥家的不朽传奇VI            
(4星)	 经典啊            
(5星)	 熱血盡，化塵與土。            
(4星)	 哈哈哈~~~            
(5星)	 因为这部剧从而喜欢上吴京。            
(5星)	 我喜欢里面那个格格远多于女主            
(NA)	 男主长着一张笑脸            
(5星)	 那时候那么快乐啊，在那个房子里            
(4星)	 武打真好看，歌也好听，我还会唱，讨厌女主角。            
(3星)	 主题曲不错            
(4星)	 武打干净利落，不花哨。            
(4星)	 小时候看过好多遍            
(NA)	 吴京还很萌的时候            
(NA)	 有的东西还是要mark一下的。。。            
(4星)	 不知道吴京为什么没有靠这部戏红起来啊            
(5星)	 小时候超级爱看~樊亦敏很漂亮不知为神马不怎么红~到时惠英红近些年越来越红了~~~            
(4星)	 很漂亮的动作设计。情节也不错。吴京当年真瘦啊。老爸最爱之一。            
(3星)	 武打真不错，情节比较弱            
(5星)	 又是小时候的经典电视剧，怀念~            
(4星)	 小时候            
(4星)	 童年记忆 吴京就从这红的            
(3星)	 还行吧，一前中央八看的            
(NA)	 那时还专门找邻家爷爷学了简易24式太极            
(3星)	 但是当年很喜欢看            
(3星)	 这时候的吴京还可一看            
(3星)	 小时候看的。。。对吴京印象很深啊，为什么为什么为什么呢            
(NA)	 記得挺精緻，很神奇，尤其用內力把小鳥吸在手掌那一段~            
(5星)	 小学那会儿相当喜欢啊            
(3星)	 有印象 对人对剧情 只是现在能想起的不多            
(5星)	 小时候在派出所看的时候……            
(NA)	 喜欢            
(4星)	 真心觉得挺好看的。            
(5星)	 强大的明星阵容，好看的剧情，最完美的武侠电视剧之一            
(3星)	 那时候觉得吴京长得真好看啊！            
(3星)	 看这个时，因暑假作业需交观后感，我看这个写了一篇 哈哈            
(5星)	 很好看啊。。            
(4星)	 小时候很喜欢的电视剧。如今，吴京还在奋斗着，樊亦敏就这么渐渐的不见了。            
(5星)	 当年来说，实属不错。            
(4星)	 矮油，当时吴京把我迷的哟            
(4星)	 帅呆了            
(4星)	 都是小学时候喜欢的电视剧            
(5星)	 小学的记忆了            
(5星)	 正像人们评价的是一部货真价实的武打剧、杨昱乾连破七大高手的过程场场精彩。现在大陆剧浮躁，好几年没看到好的武打剧了。都靠潜规则上位哪有什么真功夫。英雄谁属非我莫属！            
(4星)	 我怀旧了= =+ 童年~            
(4星)	 吴京过关斩将，连续PK那部分简直看得我欲罢不能啊。            
(4星)	 经典武打剧！注意：武打二字！犹记得当时这部电视剧播出的盛况，同一时间段2~3个电视台同时在播，更别说每天的不同时间段了            
(5星)	 国产电视剧的代表作  小时候太喜欢看了            
(5星)	 主题曲好听，情缘不了~吴京萌哦，对女主无感。            
(4星)	 童年的回忆⋯⋯            
(4星)	 其實我當初是看這個才第一次認識了惠英紅            
(5星)	 初中时一部太极宗师让我痴迷吴京。然后新少林寺，水浒后传，小李飞刀。。。这种痴迷到高中毕业。进入大学后，似乎找不到什么他的剧可追。后来偶尔在长途汽车上看他演港片，把人当菜砍的杀手，这么干净的面容温暖的笑，不应该是这样的呀，想着会觉得心酸。            
(5星)	 怎一个经典了得            
(4星)	 当年看过的好吗！还很喜欢的好吗！吴京怎么拍完这个就好像忽然间销声匿迹了呢！            
(4星)	 特別喜歡女豬             
(4星)	 幼儿园看的。。。            
(NA)	 小时候追着一遍遍看            
(4星)	 年少心事            
(5星)	None
(4星)	 居然是豆瓣猜帮我找到这部电视剧的，偶滴神，这是我小学四年级的最爱。            
(4星)	 童年啊！！            
(NA)	 看了这部以后迷上了太极  非常赞            
(NA)	 小小~~            
(4星)	 少琪不漂亮            
(4星)	 吴小京~~可爱的娃娃脸·~            
(3星)	 从头开到尾都很纳闷为啥让吴京当主角……            
(NA)	 和爷爷一起看的            
(4星)	 小时候妈妈带我看的            
(5星)	 吴京吴京            
(4星)	 都1997的了            
(4星)	 也是陪我度过了很多个假期～～            
(5星)	 吴京超级帅啊！！            
(4星)	 吴京打太极帅极了...            
(2星)	 那会惠英红还年轻...            
(4星)	 几年前的某个夜里醒来，妈妈正在看这部戏。当时，它就已经是可以拿来怀旧的东西了。            
(NA)	 昨晚K歌的时候看到了  想到了 ~            
(4星)	 片头曲和片尾曲真的很好听。            
(5星)	 小时候喜欢看的电视剧            
(5星)	 早年吴京演正派人物好，现在吴京演反派才是他的才气。吴京大爱            
(4星)	 小学的剧啊！！那个时候都喜欢杨昱乾啊！！！            
(4星)	 又是一段关于太极的记忆。            
(5星)	 经典啊~            
(4星)	 好凶的小姐            
(4星)	 新少林寺里面感觉那么一大家子人在印象中就没有老过，这样感觉真好。            
(4星)	 吴京 是小时候的偶像            
(4星)	 小时候可2B的学那个杨玉乾了~            
(4星)	 吴京的代表作            
(5星)	 小时候觉得吴京帅死了……            
(5星)	 这么实在的功夫电视剧，恐怕是空前绝后了。袁和平导演！            
(2星)	 孝、悌、忠、信、仁、义、礼、智。。。。            
(4星)	 乌鸦滋味，千里江山            
(5星)	 爱死吴京了。。            
(4星)	 中学时好喜欢这部戏~吴京在里面好帅！            
(5星)	 吴京，太极拳就是这么来的。。            
(4星)	 我只记得一个女的叫二娘，还会敲钟好像            
(4星)	 看过很多遍小时候            
(5星)	 小时候翻来覆去看的             
(5星)	 小学时看过            
(4星)	 这挺好看            
(5星)	 好看            
(4星)	 曾经的曾经            
(4星)	 当时，很多人迷吴京的。            
